dpd_drug_code,din,dpd_named_ingredient_name,combination_product_defined
"93251","02446944","SACUBITRIL (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","f"
"93251","02446944","VALSARTAN (SACUBITRIL VALSARTAN SODIUM HYDRATE COMPLEX)","f"
"93532","02449498","COBICISTAT","f"
"93677","02450615","NADROPARIN CALCIUM","f"
"93678","02450623","NADROPARIN CALCIUM","f"
"93679","02450631","NADROPARIN CALCIUM","f"
"93680","02450658","NADROPARIN CALCIUM","f"
"93681","02450666","NADROPARIN CALCIUM","f"
"93682","02450674","NADROPARIN CALCIUM","f"
"93683","02450682","ABACAVIR (ABACAVIR SULFATE)","f"
"94109","02454513","ABACAVIR (ABACAVIR SULFATE)","f"
"94550","02458381","ABACAVIR (ABACAVIR SULFATE)","f"
"95117","02463261","ELIGLUSTAT (ELIGLUSTAT TARTRATE)","f"
"95437","02466074","ACITRETIN","f"
"95723","02468751","NEISSERIA MENINGITIDIS GRP B RECOMBINANT LIPOPROTEIN 2086 SUBFAMILY A","f"
"95723","02468751","NEISSERIA MENINGITIDIS GRP B RECOMBINANT LIPOPROTEIN 2086 SUBFAMILY B","f"
"95745","02468840","ACITRETIN","f"
"95746","02468859","ACITRETIN","f"
"96058","02471469","SEMAGLUTIDE","f"
"96059","02471477","SEMAGLUTIDE","f"
