din,mp_formal_name,drug_code,unit_of_presentation,uop_size_amount,uop_size_unit
"02304546","CIPROFLOXACIN INTRAVENOUS INFUSION, BP (ciprofloxacin 200 mg per 100 mL solution for injection bag) APOTEX INC","78981","bag","100","mL"
"02304546","CIPROFLOXACIN INTRAVENOUS INFUSION, BP (ciprofloxacin 400 mg per 200 mL solution for injection bag) APOTEX INC","78981","bag","200","mL"
"02304708","GRANISETRON HYDROCHLORIDE INJECTION (granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED","78998","vial","1","mL"
"02304708","GRANISETRON HYDROCHLORIDE INJECTION (granisetron (granisetron hydrochloride) 4 mg per 4 mL solution for injection vial) SANDOZ CANADA INCORPORATED","78998","vial","4","mL"
"02304759","CIPROFLOXACIN INTRAVENOUS INFUSION BP (ciprofloxacin 400 mg per 200 mL solution for injection bag) SANDOZ CANADA INCORPORATED","79003","bag","200","mL"
"02304759","CIPROFLOXACIN INTRAVENOUS INFUSION BP (ciprofloxacin 200 mg per 100 mL solution for injection bag) SANDOZ CANADA INCORPORATED","79003","bag","100","mL"
"02322765","GRANISETRON HYDROCHLORIDE INJECTION (granisetron (granisetron hydrochloride) 4 mg per 4 mL solution for injection vial) OMEGA LABORATORIES LTD","80824","vial","4","mL"
"02322765","GRANISETRON HYDROCHLORIDE INJECTION (granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection vial) OMEGA LABORATORIES LTD","80824","vial","1","mL"
"02377535","CIPROFLOXACIN INJECTION (ciprofloxacin (ciprofloxacin lactate) 400 mg per 200 mL solution for injection bag) OMEGA LABORATORIES LTD","86325","bag","200","mL"
"02377535","CIPROFLOXACIN INJECTION (ciprofloxacin (ciprofloxacin lactate) 200 mg per 100 mL solution for injection bag) OMEGA LABORATORIES LTD","86325","bag","100","mL"
"02385414","GRANISETRON HYDROCHLORIDE INJECTION SDZ (granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","87104","ampoule","1","mL"
"02385414","GRANISETRON HYDROCHLORIDE INJECTION SDZ (granisetron (granisetron hydrochloride) 3 mg per 3 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","87104","ampoule","3","mL"
"02390019","ONDANSETRON INJECTION, USP WITHOUT PRESERVATIVES (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection ampoule) MYLAN PHARMACEUTICALS ULC","87549","ampoule","2","mL"
"02390019","ONDANSETRON INJECTION, USP WITHOUT PRESERVATIVES (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) MYLAN PHARMACEUTICALS ULC","87549","vial","4","mL"
"02390019","ONDANSETRON INJECTION, USP WITHOUT PRESERVATIVES (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection ampoule) MYLAN PHARMACEUTICALS ULC","87549","ampoule","4","mL"
"02390019","ONDANSETRON INJECTION, USP WITHOUT PRESERVATIVES (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) MYLAN PHARMACEUTICALS ULC","87549","vial","2","mL"
"02412187","IRINOTECAN HYDROCHLORIDE INJECTION (irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 40 mg per 2 mL solution for injection vial) TELIGENT OU","89675","vial","2","mL"
"02412187","IRINOTECAN HYDROCHLORIDE INJECTION (irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 100 mg per 5 mL solution for injection vial) TELIGENT OU","89675","vial","5","mL"
"02412187","IRINOTECAN HYDROCHLORIDE INJECTION (irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 500 mg per 25 mL solution for injection vial) TELIGENT OU","89675","vial","25","mL"
"02412187","IRINOTECAN HYDROCHLORIDE INJECTION (irinotecan hydrochloride (irinotecan hydrochloride trihydrate) 300 mg per 15 mL solution for injection vial) TELIGENT OU","89675","vial","15","mL"
"02420414","JAMP-ONDANSETRON SINGLE-DOSE VIAL (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection ampoule) JAMP PHARMA CORPORATION","90500","ampoule","2","mL"
"02420414","JAMP-ONDANSETRON SINGLE-DOSE VIAL (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection vial) JAMP PHARMA CORPORATION","90500","vial","4","mL"
"02420414","JAMP-ONDANSETRON SINGLE-DOSE VIAL (ondansetron (ondansetron hydrochloride dihydrate) 8 mg per 4 mL solution for injection ampoule) JAMP PHARMA CORPORATION","90500","ampoule","4","mL"
"02420414","JAMP-ONDANSETRON SINGLE-DOSE VIAL (ondansetron (ondansetron hydrochloride dihydrate) 4 mg per 2 mL solution for injection vial) JAMP PHARMA CORPORATION","90500","vial","2","mL"
"02437147","PRECEDEX (dexmedetomidine (dexmedetomidine hydrochloride) 400 mcg per 100 mL solution for injection vial) PFIZER CANADA INC","92145","vial","100","mL"
"02437147","PRECEDEX (dexmedetomidine (dexmedetomidine hydrochloride) 80 mcg per 20 mL solution for injection vial) PFIZER CANADA INC","92145","vial","20","mL"
"02437147","PRECEDEX (dexmedetomidine (dexmedetomidine hydrochloride) 200 mcg per 50 mL solution for injection vial) PFIZER CANADA INC","92145","vial","50","mL"
"02468816","IMFINZI (durvalumab 120 mg per 2.4 mL solution for injection vial) ASTRAZENECA CANADA INC","95736","vial","2.4","mL"
"02468816","IMFINZI (durvalumab 500 mg per 10 mL solution for injection vial) ASTRAZENECA CANADA INC","95736","vial","10","mL"
