ntp_code,ntp_formal_name,ntp_status,ntp_type,ntp_status_effective_time,tm_is_publishable
NA,"dexmedetomidine (dexmedetomidine hydrochloride) 80 mcg per 20 mL solution for injection vial","ACTIVE",NA,"20160509","f"
NA,"dupilumab 300 mg per 2 mL solution for injection syringe","ACTIVE",NA,"20180206","f"
NA,"durvalumab 120 mg per 2.4 mL solution for injection vial","ACTIVE",NA,"20171120","f"
NA,"durvalumab 500 mg per 10 mL solution for injection vial","ACTIVE",NA,"20171120","f"
NA,"epinephrine 10 mg per 10 mL solution for injection syringe","ACTIVE",NA,"19871231","f"
NA,"granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"20121219","f"
NA,"granisetron (granisetron hydrochloride) 1 mg per 1 mL solution for injection vial","ACTIVE",NA,"20090220","f"
NA,"granisetron (granisetron hydrochloride) 3 mg per 3 mL solution for injection ampoule","ACTIVE",NA,"20121219","f"
NA,"granisetron (granisetron hydrochloride) 4 mg per 4 mL solution for injection vial","ACTIVE",NA,"20090220","f"
NA,"guselkumab 100 mg per 1 mL solution for injection syringe","ACTIVE",NA,"20171127","f"
NA,"ibutilide fumrate 1 mg per 10 mL solution for injection vial","ACTIVE",NA,"20001128","f"
NA,"insulin degludec 100 unit per mL solution for injection 3 mL pen","ACTIVE",NA,"20170915","f"
NA,"insulin degludec 200 unit per mL solution for injection 3 mL pen","ACTIVE",NA,"20170915","f"
NA,"irinotecan hydrochloride (irinotecan hydrochloride) 100 mg per 5 mL solution for injection vial","ACTIVE",NA,"20150528","f"
NA,"irinotecan hydrochloride (irinotecan hydrochloride) 20 mg per mL solution for injection","ACTIVE",NA,"20110527","f"
NA,"irinotecan hydrochloride (irinotecan hydrochloride) 300 mg per 15 mL solution for injection vial","ACTIVE",NA,"20150528","f"
NA,"irinotecan hydrochloride (irinotecan hydrochloride) 40 mg per 2 mL solution for injection vial","ACTIVE",NA,"20150528","f"
NA,"irinotecan hydrochloride (irinotecan hydrochloride) 500 mg per 25 mL solution for injection vial","ACTIVE",NA,"20150528","f"
NA,"letermovir 240 mg per 12 mL solution for injection vial","ACTIVE",NA,"20171220","f"
NA,"letermovir 480 mg per 24 mL solution for injection vial","ACTIVE",NA,"20171220","f"
NA,"levofloxacin 240 mg per 2.4 mL inhalation solution unit dose ampoule","ACTIVE",NA,"20161212","f"
NA,"lifitegrast 5 % ophthalmic drops","ACTIVE",NA,"20180212","f"
NA,"lixisenatide 0.05 mg per mL and lixisenatide 0.1 mg per mL solution for injection","ACTIVE",NA,"20170912","f"
NA,"mepolizumab 100 mg per vial powder for solution for injection","ACTIVE",NA,"20160314","f"
NA,"metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 2 mg oral tablet","INACTIVE",NA,"20160713","f"
NA,"metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet","INACTIVE",NA,"20160324","f"
NA,"metformin hydrochloride 500 mg and rosiglitazone (rosiglitazone maleate) 2 mg oral tablet","INACTIVE",NA,"20160607","f"
NA,"metformin hydrochloride 500 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet","INACTIVE",NA,"20170425","f"
NA,"methotrexate (methotrexate sodium) 20 mg per 2 mL solution for injection","INACTIVE",NA,"20170519","f"
NA,"methotrexate (methotrexate sodium) 25 mg per 2.5 mL solution for injection","INACTIVE",NA,"20170519","f"
NA,"methotrimeprazine (methotrimeprazine hydrochloride) 25 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19581231","f"
NA,"migalastat (migalastat hydrochloride) 123 mg oral capsule","ACTIVE",NA,"20180115","f"
NA,"mupirocin (mupirocin calcium) 2 % cutaneous cream","ACTIVE",NA,"19990413","f"
NA,"naloxone hydrochloride 0.4 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19951231","f"
NA,"naloxone hydrochloride 0.4 mg per 1 mL solution for injection vial","ACTIVE",NA,"20131003","f"
NA,"naloxone hydrochloride 2 mg per 2 mL solution for injection vial","ACTIVE",NA,"19951231","f"
NA,"naloxone hydrochloride 4 mg per 10 mL solution for injection vial","ACTIVE",NA,"19951231","f"
NA,"netupitant 300 mg and palonosetron (palonosetron hydrochloride) 0.5 mg oral capsule","ACTIVE",NA,"20171120","f"
NA,"nusinersen (nusinersen sodium) 12 mg per 5 mL solution for injection vial","ACTIVE",NA,"20170829","f"
NA,"ocrelizumab 300 mg per 10 mL solution for injection vial","ACTIVE",NA,"20170921","f"
NA,"olaratumab 500 mg per 50 mL solution for injection vial","ACTIVE",NA,"20171222","f"
NA,"omalizumab 150 mg per mL solution for injection syringe","ACTIVE",NA,"20170706","f"
NA,"omalizumab 75 mg per 0.5 mL solution for injection syringe","ACTIVE",NA,"20170628","f"
NA,"ondansetron (ondansetron hydrochloride) 2 mg per mL solution for injection 20 mL vial","ACTIVE",NA,"19990801","f"
NA,"ondansetron (ondansetron hydrochloride) 4 mg per 2 mL solution for injection ampoule","ACTIVE",NA,"19990801","f"
NA,"ondansetron (ondansetron hydrochloride) 4 mg per 2 mL solution for injection vial","ACTIVE",NA,"20060419","f"
NA,"ondansetron (ondansetron hydrochloride) 4 mg per 5 mL oral solution","ACTIVE",NA,"19961113","f"
NA,"ondansetron (ondansetron hydrochloride) 8 mg per 4 mL solution for injection ampoule","ACTIVE",NA,"19990801","f"
NA,"ondansetron (ondansetron hydrochloride) 8 mg per 4 mL solution for injection vial","ACTIVE",NA,"20060419","f"
NA,"peramivir 200 mg per 20 mL solution for injection vial","ACTIVE",NA,"20180103","f"
NA,"roflumilast 500 mcg oral tablet","ACTIVE",NA,"20101230","f"
NA,"sofosbuvir 400 mg and velpatasvir 100 mg and voxilaprevir 100 mg oral tablet","ACTIVE",NA,"20170918","f"
NA,"testosterone 1 % transdermal gel","ACTIVE",NA,"20040920","f"
NA,"testosterone 1 % transdermal gel 2.5 g sachet","ACTIVE",NA,"20020506","f"
NA,"testosterone 1 % transdermal gel 5 g sachet","ACTIVE",NA,"20020506","f"
NA,"testosterone 1 % transdermal gel 5 g tube","ACTIVE",NA,"20070417","f"
NA,"testosterone 2 % NA","ACTIVE",NA,"20130508","f"
NA,"triamcinolone diacetate 40 mg per mL suspension for injection","INACTIVE",NA,"20170803","f"
NA,"umeclidinium (umeclidinium bromide) 62.5 mcg per actuation and vilanterol (vilanterol trifenatate) 25 mcg per actuation inhalation powder","ACTIVE",NA,"20140314","f"
NA,"valproic acid (sodium valproate) 250 mg oral capsule","INACTIVE",NA,"20170516","f"
NA,"vernakalant hydrochloride 500 mg per 25 mL solution for injection vial","ACTIVE",NA,"20180123","f"
NA,"vilazodone hydrochloride 10 mg oral tablet","ACTIVE",NA,"20180131","f"
NA,"vilazodone hydrochloride 20 mg oral tablet","ACTIVE",NA,"20180131","f"
NA,"vilazodone hydrochloride 40 mg oral tablet","ACTIVE",NA,"20180131","f"
NA,"zolmitriptan 2.5 mg per actuation nasal spray","ACTIVE",NA,"20041223","f"
NA,"zolmitriptan 5 mg per actuation nasal spray","ACTIVE",NA,"20041223","f"
