ntp_code,ntp_formal_name,ntp_status,ntp_type,ntp_status_effective_time
"9000161","alprazolam 0.25 mg oral tablet","ACTIVE",NA,"19811231"
"9012367","aminophylline 250 mg per 10 mL solution for injection vial","ACTIVE",NA,"19811231"
"9001943","isosorbide dinitrate 30 mg oral tablet","ACTIVE",NA,"19821231"
"9000174","acyclovir 5 % cutaneous ointment","ACTIVE",NA,"19821231"
"9000177","indapamide 2.5 mg oral tablet","ACTIVE",NA,"19821231"
"9001947","nabilone 1 mg oral capsule","ACTIVE",NA,"19821231"
"9001942","isosorbide dinitrate 10 mg oral tablet","ACTIVE",NA,"19821231"
"9001934","benzoyl peroxide 5 % cutaneous cream","ACTIVE",NA,"19821231"
"9000180","sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL solution for injection ampoule","ACTIVE",NA,"19821231"
"9001927","acetaminophen 325 mg and codeine phosphate 8 mg and doxylamine succinate 5 mg oral tablet","ACTIVE",NA,"19821231"
"9000178","naproxen 125 mg oral tablet","ACTIVE",NA,"19821231"
"9000179","naproxen 250 mg oral tablet","ACTIVE",NA,"19821231"
"9000189","ibuprofen 300 mg oral tablet","ACTIVE",NA,"19831231"
"9001997","tobramycin (tobramycin sulfate) 1.2 g per vial powder for solution for injection","ACTIVE",NA,"19831231"
"9000184","erythromycin 250 mg gastro-resistant capsule","ACTIVE",NA,"19831231"
"9000182","codeine phosphate 30 mg oral tablet","ACTIVE",NA,"19831231"
"9000181","codeine phosphate 15 mg oral tablet","ACTIVE",NA,"19831231"
"9000190","ibuprofen 400 mg oral tablet","ACTIVE",NA,"19831231"
"9011504","prazosin (prazosin hydrochloride) 1 mg oral tablet","ACTIVE",NA,"19831231"
"9009877","hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet","ACTIVE",NA,"19831231"
"9009876","hydrochlorothiazide 50 mg and pindolol 10 mg oral tablet","ACTIVE",NA,"19831231"
"9011505","prazosin (prazosin hydrochloride) 2 mg oral tablet","ACTIVE",NA,"19831231"
"9011506","prazosin (prazosin hydrochloride) 5 mg oral tablet","ACTIVE",NA,"19831231"
"9000191","metoprolol tartrate 200 mg prolonged-release oral tablet","ACTIVE",NA,"19831231"
"9006201","alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup","ACTIVE",NA,"19831231"
"9000192","naproxen 375 mg oral tablet","ACTIVE",NA,"19831231"
"9009865","hydrochlorothiazide 25 mg and pindolol 10 mg oral tablet","ACTIVE",NA,"19831231"
"9000187","hydrocortisone 2.5 % cutaneous cream","ACTIVE",NA,"19831231"
"9000193","naproxen 500 mg oral tablet","ACTIVE",NA,"19831231"
"9000188","hydrocortisone acetate 10 % rectal foam","ACTIVE",NA,"19831231"
"9000195","acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet","ACTIVE",NA,"19841231"
"9012370","aminophylline 500 mg per 10 mL solution for injection vial","ACTIVE",NA,"19841231"
"9000207","ibuprofen 600 mg oral tablet","ACTIVE",NA,"19841231"
"9000202","hydromorphone hydrochloride 2 mg oral tablet","ACTIVE",NA,"19841231"
"9006204","hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial","ACTIVE",NA,"19841231"
"9000215","valproic acid (divalproex sodium) 250 mg gastro-resistant tablet","ACTIVE",NA,"19841231"
"9000214","valproic acid (divalproex sodium) 125 mg gastro-resistant tablet","ACTIVE",NA,"19841231"
"9000212","morphine sulfate 5 mg per mL syrup","ACTIVE",NA,"19841231"
"9002020","fusidate sodium 2 % cutaneous ointment","ACTIVE",NA,"19841231"
"9000209","morphine hydrochloride 1 mg per mL syrup","ACTIVE",NA,"19841231"
"9000201","hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial","ACTIVE",NA,"19841231"
"9000194","acetaminophen 300 mg and codeine phosphate 30 mg oral tablet","ACTIVE",NA,"19841231"
"9000199","fusidic acid 2 % cutaneous cream","ACTIVE",NA,"19841231"
"9002035","tobramycin 0.3 % ophthalmic ointment","ACTIVE",NA,"19841231"
"9000203","hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule","ACTIVE",NA,"19841231"
"9001298","epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe","ACTIVE",NA,"19841231"
"9000206","hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial","ACTIVE",NA,"19841231"
"9000213","procyclidine hydrochloride 2.5 mg per 5 mL oral solution","ACTIVE",NA,"19841231"
"9000216","valproic acid (divalproex sodium) 500 mg gastro-resistant tablet","ACTIVE",NA,"19841231"
"9000208","methylphenidate hydrochloride 20 mg prolonged-release oral tablet","ACTIVE",NA,"19841231"
"9000210","morphine sulfate 1 mg per mL syrup","ACTIVE",NA,"19841231"
"9000204","hydromorphone hydrochloride 4 mg oral tablet","ACTIVE",NA,"19841231"
"9000200","haloperidol 5 mg oral tablet","ACTIVE",NA,"19841231"
"9000211","morphine sulfate 20 mg per mL oral drops","ACTIVE",NA,"19841231"
"9000225","lorazepam 1 mg oral tablet","ACTIVE",NA,"19851231"
"9000223","diclofenac sodium 50 mg suppository","ACTIVE",NA,"19851231"
"9000219","carbamazepine 100 mg chewable tablet","ACTIVE",NA,"19851231"
"9000231","morphine sulfate 20 mg suppository","ACTIVE",NA,"19851231"
"9000218","baclofen 20 mg oral tablet","ACTIVE",NA,"19851231"
"9000239","procyclidine hydrochloride 5 mg oral tablet","ACTIVE",NA,"19851231"
"9000228","morphine hydrochloride 5 mg per mL syrup","ACTIVE",NA,"19851231"
"9002048","isosorbide dinitrate 5 mg sublingual tablet","ACTIVE",NA,"19851231"
"9000229","morphine sulfate 10 mg oral tablet","ACTIVE",NA,"19851231"
"9000221","diclofenac sodium 100 mg prolonged-release oral tablet","ACTIVE",NA,"19851231"
"9000227","metoprolol tartrate 100 mg prolonged-release oral tablet","ACTIVE",NA,"19851231"
"9000222","diclofenac sodium 100 mg suppository","ACTIVE",NA,"19851231"
"9000220","carbamazepine 200 mg chewable tablet","ACTIVE",NA,"19851231"
"9000224","lorazepam 0.5 mg oral tablet","ACTIVE",NA,"19851231"
"9002047","docusate sodium 100 mg oral capsule","ACTIVE",NA,"19851231"
"9002038","acetaminophen 160 mg per 5 mL syrup","ACTIVE",NA,"19851231"
"9000238","procyclidine hydrochloride 2.5 mg oral tablet","ACTIVE",NA,"19851231"
"9000233","morphine sulfate 5 mg oral tablet","ACTIVE",NA,"19851231"
"9010881","nitroglycerin 2 % cutaneous ointment","ACTIVE",NA,"19851231"
"9000226","lorazepam 2 mg oral tablet","ACTIVE",NA,"19851231"
"9006206","penicillin v potassium 300 mg oral tablet","ACTIVE",NA,"19851231"
"9000230","morphine sulfate 10 mg suppository","ACTIVE",NA,"19851231"
"9000232","morphine sulfate 25 mg oral tablet","ACTIVE",NA,"19851231"
"9006207","codeine phosphate 25 mg per 5 mL syrup","ACTIVE",NA,"19861218"
"9000251","haloperidol 10 mg oral tablet","ACTIVE",NA,"19861231"
"9000262","morphine sulfate 30 mg per 30 mL solution for injection vial","ACTIVE",NA,"19861231"
"9006208","meperidine hydrochloride 10 mg per mL solution for injection 30 mL vial","ACTIVE",NA,"19861231"
"9000258","morphine hydrochloride 10 mg per mL syrup","ACTIVE",NA,"19861231"
"9000256","hydroxyzine hydrochloride 50 mg oral capsule","ACTIVE",NA,"19861231"
"9000250","glyburide 5 mg oral tablet","ACTIVE",NA,"19861231"
"9000255","hydroxyzine hydrochloride 25 mg oral capsule","ACTIVE",NA,"19861231"
"9000242","acebutolol (acebutolol hydrochloride) 200 mg oral tablet","ACTIVE",NA,"19861231"
"9010195","lactulose 667 mg per mL oral solution","ACTIVE",NA,"19861231"
"9000265","propranolol hydrochloride 20 mg oral tablet","ACTIVE",NA,"19861231"
"9000315","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial","ACTIVE",NA,"19861231"
"9000263","morphine sulfate 50 mg oral tablet","ACTIVE",NA,"19861231"
"9009625","furosemide 80 mg oral tablet","ACTIVE",NA,"19861231"
"9000241","acebutolol (acebutolol hydrochloride) 100 mg oral tablet","ACTIVE",NA,"19861231"
"9002070","docusate calcium 240 mg oral capsule","ACTIVE",NA,"19861231"
