"ntp_code","ntp_formal_name","n_mp","greater_than_5_AIs","ntp_status_effective_time","en_display","fr_display"
9000050,"metronidazole 10 % vaginal cream",1,FALSE,1970-12-31,NA,NA
9000051,"pentazocine (pentazocine hydrochloride) 50 mg oral tablet",1,FALSE,1970-12-31,NA,NA
9000559,"cephalexin 125 mg per 5 mL oral suspension",4,FALSE,1971-12-31,NA,NA
9000560,"cephalexin 250 mg per 5 mL oral suspension",4,FALSE,1971-12-31,NA,NA
9000054,"lithium carbonate 300 mg oral capsule",4,FALSE,1971-12-31,NA,NA
9000055,"metronidazole 250 mg oral tablet",3,FALSE,1971-12-31,NA,NA
9000056,"amitriptyline hydrochloride 25 mg oral tablet",11,FALSE,1972-12-31,NA,NA
9000057,"cephalexin 500 mg oral tablet",6,FALSE,1972-12-31,NA,NA
9000058,"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",1,FALSE,1972-12-31,NA,NA
9000059,"ibuprofen 200 mg oral tablet",16,FALSE,1972-12-31,NA,NA
9000060,"nitroglycerin 0.3 mg sublingual tablet",1,FALSE,1972-12-31,NA,NA
9000061,"nitroglycerin 0.6 mg sublingual tablet",1,FALSE,1972-12-31,NA,NA
9000062,"norethindrone 0.35 mg oral tablet",3,FALSE,1972-12-31,NA,NA
9000063,"prednisone 50 mg oral tablet",2,FALSE,1972-12-31,NA,NA
9000064,"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",4,FALSE,1973-12-31,NA,NA
9000065,"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",4,FALSE,1973-12-31,NA,NA
9000066,"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",2,FALSE,1973-12-31,NA,NA
9000067,"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",4,FALSE,1973-12-31,NA,NA
9000068,"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",1,FALSE,1973-12-31,NA,NA
9000069,"oxycodone hydrochloride 10 mg suppository",1,FALSE,1973-12-31,NA,NA
9000070,"oxycodone hydrochloride 20 mg suppository",1,FALSE,1973-12-31,NA,NA
9000071,"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",3,FALSE,1973-12-31,NA,NA
9000072,"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",2,FALSE,1973-12-31,NA,NA
9000073,"allopurinol 300 mg oral tablet",6,FALSE,1974-12-31,NA,NA
9000074,"colchicine 0.6 mg oral tablet",4,FALSE,1974-12-31,NA,NA
9000075,"diazepam 5 mg oral tablet",5,FALSE,1974-12-31,NA,NA
9000076,"ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet",2,FALSE,1974-12-31,NA,NA
9000078,"levothyroxine sodium 150 mcg oral tablet",2,FALSE,1974-12-31,NA,NA
9000079,"nitrofurantoin 100 mg oral tablet",1,FALSE,1974-12-31,NA,NA
9000080,"nitrofurantoin 50 mg oral tablet",1,FALSE,1974-12-31,NA,NA
9000081,"prednisolone acetate 0.12 % ophthalmic drops",1,FALSE,1974-12-31,NA,NA
9000082,"prednisolone acetate 1 % ophthalmic drops",4,FALSE,1974-12-31,NA,NA
9000083,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",1,FALSE,1975-12-31,NA,NA
9000084,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",1,FALSE,1975-12-31,NA,NA
9000085,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",2,FALSE,1975-12-31,NA,NA
9000086,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",7,FALSE,1975-12-31,NA,NA
9000087,"carbidopa 25 mg and levodopa 250 mg oral tablet",4,FALSE,1975-12-31,NA,NA
9000089,"folic acid 25 mg oral tablet",1,FALSE,1975-12-31,NA,NA
9000090,"spironolactone 100 mg oral tablet",2,FALSE,1975-12-31,NA,NA
9000091,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",6,FALSE,1976-12-31,NA,NA
9000092,"furosemide 20 mg oral tablet",6,FALSE,1976-12-31,NA,NA
9000093,"furosemide 40 mg oral tablet",6,FALSE,1976-12-31,NA,NA
9000095,"betamethasone (betamethasone dipropionate) 0.05 % lotion",7,FALSE,1977-12-31,NA,NA
9000096,"cephalexin 250 mg oral tablet",5,FALSE,1977-12-31,NA,NA
9000097,"clonazepam 0.5 mg oral tablet",16,FALSE,1977-12-31,NA,NA
9000098,"clonazepam 2 mg oral tablet",13,FALSE,1977-12-31,NA,NA
9000099,"dexamethasone 0.1 % ophthalmic drops",1,FALSE,1977-12-31,NA,NA
9000100,"metoprolol tartrate 100 mg oral tablet",15,FALSE,1977-12-31,NA,NA
9000101,"metoprolol tartrate 50 mg oral tablet",15,FALSE,1977-12-31,NA,NA
9000103,"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",4,FALSE,1978-12-31,NA,NA
9000104,"baclofen 10 mg oral tablet",10,FALSE,1978-12-31,NA,NA
9000105,"benztropine mesylate 2 mg oral tablet",2,FALSE,1978-12-31,NA,NA
9000107,"codeine phosphate 30 mg per 1 mL solution for injection ampoule",2,FALSE,1978-12-31,NA,NA
9000108,"diazepam 10 mg oral tablet",4,FALSE,1978-12-31,NA,NA
9000109,"folic acid 5 mg oral tablet",4,FALSE,1978-12-31,NA,NA
9000299,"morphine sulfate 10 mg per 1 mL solution for injection ampoule",3,FALSE,1978-12-31,NA,NA
9000111,"morphine sulfate 15 mg per 1 mL solution for injection ampoule",2,FALSE,1978-12-31,NA,NA
9000112,"prednisone 1 mg oral tablet",2,FALSE,1978-12-31,NA,NA
9000113,"valproic acid (sodium valproate) 50 mg per mL oral solution",1,FALSE,1978-12-31,NA,NA
9000114,"amitriptyline hydrochloride 75 mg oral tablet",5,FALSE,1979-12-31,NA,NA
9000373,"amoxicillin 125 mg per 5 mL oral suspension",5,FALSE,1979-12-31,NA,NA
9000116,"amoxicillin 250 mg oral capsule",9,FALSE,1979-12-31,NA,NA
9000374,"amoxicillin 250 mg per 5 mL oral suspension",8,FALSE,1979-12-31,NA,NA
9000118,"amoxicillin 500 mg oral capsule",10,FALSE,1979-12-31,NA,NA
9000119,"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",3,FALSE,1979-12-31,NA,NA
9000120,"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",2,FALSE,1979-12-31,NA,NA
9000163,"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",4,FALSE,1979-12-31,NA,NA
9000121,"betamethasone (betamethasone valerate) 0.1 % lotion",5,FALSE,1979-12-31,NA,NA
9000123,"calcitriol 0.25 mcg oral capsule",2,FALSE,1979-12-31,NA,NA
9000124,"calcitriol 0.5 mcg oral capsule",2,FALSE,1979-12-31,NA,NA
9000126,"cephalexin 250 mg oral capsule",1,FALSE,1979-12-31,NA,NA
9000127,"cephalexin 500 mg oral capsule",1,FALSE,1979-12-31,NA,NA
9000128,"diazepam 2 mg oral tablet",3,FALSE,1979-12-31,NA,NA
9000129,"hydrochlorothiazide 100 mg oral tablet",2,FALSE,1979-12-31,NA,NA
9000130,"lithium carbonate 150 mg oral capsule",4,FALSE,1979-12-31,NA,NA
9000131,"metronidazole 500 mg oral capsule",3,FALSE,1979-12-31,NA,NA
9000132,"nystatin 100000 unit per g cutaneous cream",2,FALSE,1979-12-31,NA,NA
9000133,"nystatin 100000 unit per g cutaneous ointment",2,FALSE,1979-12-31,NA,NA
9000134,"nystatin 25000 unit per g vaginal cream",1,FALSE,1979-12-31,NA,NA
9000135,"oxazepam 10 mg oral tablet",6,FALSE,1979-12-31,NA,NA
9000136,"oxazepam 15 mg oral tablet",6,FALSE,1979-12-31,NA,NA
9000137,"oxazepam 30 mg oral tablet",6,FALSE,1979-12-31,NA,NA
9000138,"sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet",1,FALSE,1979-12-31,NA,NA
9000139,"sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet",2,FALSE,1979-12-31,NA,NA
9000140,"sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet",3,FALSE,1979-12-31,NA,NA
9000141,"timolol (timolol maleate) 0.5 % ophthalmic drops",8,FALSE,1979-12-31,NA,NA
9000142,"triamcinolone acetonide 0.025 % cutaneous cream",1,FALSE,1979-12-31,NA,NA
9000143,"triamcinolone acetonide 0.1 % cutaneous cream",2,FALSE,1979-12-31,NA,NA
9000144,"carbidopa 25 mg and levodopa 100 mg oral tablet",6,FALSE,1980-12-31,NA,NA
9000145,"diazepam 20 mg per 2 mL solution for injection ampoule",3,FALSE,1980-12-31,NA,NA
9000146,"diclofenac sodium 50 mg gastro-resistant tablet",8,FALSE,1980-12-31,NA,NA
9001299,"epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe",2,FALSE,1980-12-31,NA,NA
9000148,"ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet",3,FALSE,1980-12-31,NA,NA
9000149,"haloperidol 0.5 mg oral tablet",2,FALSE,1980-12-31,NA,NA
9000150,"haloperidol 1 mg oral tablet",2,FALSE,1980-12-31,NA,NA
9000151,"indomethacin 25 mg oral capsule",3,FALSE,1980-12-31,NA,NA
9000152,"indomethacin 50 mg oral capsule",3,FALSE,1980-12-31,NA,NA
9000153,"oxycodone hydrochloride 10 mg oral tablet",4,FALSE,1980-12-31,NA,NA
9000154,"propranolol hydrochloride 10 mg oral tablet",3,FALSE,1980-12-31,NA,NA
9000155,"propranolol hydrochloride 40 mg oral tablet",3,FALSE,1980-12-31,NA,NA
9000156,"propranolol hydrochloride 80 mg oral tablet",3,FALSE,1980-12-31,NA,NA
9000157,"temazepam 15 mg oral capsule",5,FALSE,1980-12-31,NA,NA
9000158,"temazepam 30 mg oral capsule",5,FALSE,1980-12-31,NA,NA
9000159,"allopurinol 100 mg oral tablet",5,FALSE,1981-12-31,NA,NA
9000160,"allopurinol 200 mg oral tablet",5,FALSE,1981-12-31,NA,NA
9000161,"alprazolam 0.25 mg oral tablet",9,FALSE,1981-12-31,NA,NA
9000162,"alprazolam 0.5 mg oral tablet",9,FALSE,1981-12-31,NA,NA
9000164,"bromazepam 3 mg oral tablet",4,FALSE,1981-12-31,NA,NA
9000165,"bromazepam 6 mg oral tablet",4,FALSE,1981-12-31,NA,NA
9000166,"codeine phosphate 60 mg per 1 mL solution for injection ampoule",1,FALSE,1981-12-31,NA,NA
9000167,"erythromycin (erythromycin stearate) 250 mg oral tablet",1,FALSE,1981-12-31,NA,NA
9000168,"flurazepam hydrochloride 15 mg oral capsule",5,FALSE,1981-12-31,NA,NA
9000169,"flurazepam hydrochloride 30 mg oral capsule",4,FALSE,1981-12-31,NA,NA
9000170,"furosemide 20 mg per 2 mL solution for injection ampoule",3,FALSE,1981-12-31,NA,NA
9000171,"furosemide 40 mg per 4 mL solution for injection ampoule",3,FALSE,1981-12-31,NA,NA
9000172,"hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet",3,FALSE,1981-12-31,NA,NA
9000173,"propranolol hydrochloride 120 mg oral tablet",2,FALSE,1981-12-31,NA,NA
9000174,"acyclovir 5 % cutaneous ointment",1,FALSE,1982-12-31,NA,NA
9000175,"furosemide 20 mg per 2 mL solution for injection syringe",1,FALSE,1982-12-31,NA,NA
9000176,"furosemide 40 mg per 4 mL solution for injection syringe",1,FALSE,1982-12-31,NA,NA
9000177,"indapamide 2.5 mg oral tablet",10,FALSE,1982-12-31,NA,NA
9000178,"naproxen 125 mg oral tablet",1,FALSE,1982-12-31,NA,NA
9000179,"naproxen 250 mg oral tablet",4,FALSE,1982-12-31,NA,NA
9000180,"sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL solution for injection ampoule",1,FALSE,1982-12-31,NA,NA
9000181,"codeine phosphate 15 mg oral tablet",3,FALSE,1983-12-31,NA,NA
9000182,"codeine phosphate 30 mg oral tablet",3,FALSE,1983-12-31,NA,NA
9000183,"conjugated estrogens 1.25 mg oral tablet",2,FALSE,1983-12-31,NA,NA
9000184,"erythromycin 250 mg gastro-resistant capsule",1,FALSE,1983-12-31,NA,NA
9000186,"haloperidol 2 mg per mL oral solution",2,FALSE,1983-12-31,NA,NA
9000187,"hydrocortisone 2.5 % cutaneous cream",1,FALSE,1983-12-31,NA,NA
9000188,"hydrocortisone acetate 10 % rectal foam",1,FALSE,1983-12-31,NA,NA
9000189,"ibuprofen 300 mg oral tablet",3,FALSE,1983-12-31,NA,NA
9000190,"ibuprofen 400 mg oral tablet",16,FALSE,1983-12-31,NA,NA
9000191,"metoprolol tartrate 200 mg prolonged-release oral tablet",4,FALSE,1983-12-31,NA,NA
9000192,"naproxen 375 mg oral tablet",4,FALSE,1983-12-31,NA,NA
9000193,"naproxen 500 mg oral tablet",4,FALSE,1983-12-31,NA,NA
9000194,"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",5,FALSE,1984-12-31,NA,NA
9000094,"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",8,FALSE,1984-12-31,NA,NA
9000195,"acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet",1,FALSE,1984-12-31,NA,NA
9001298,"epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe",3,FALSE,1984-12-31,NA,NA
9000199,"fusidic acid 2 % cutaneous cream",1,FALSE,1984-12-31,NA,NA
9000200,"haloperidol 5 mg oral tablet",2,FALSE,1984-12-31,NA,NA
9000201,"hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial",3,FALSE,1984-12-31,NA,NA
9000202,"hydromorphone hydrochloride 2 mg oral tablet",4,FALSE,1984-12-31,NA,NA
9000203,"hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule",3,FALSE,1984-12-31,NA,NA
9000204,"hydromorphone hydrochloride 4 mg oral tablet",4,FALSE,1984-12-31,NA,NA
9000206,"hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial",3,FALSE,1984-12-31,NA,NA
9000207,"ibuprofen 600 mg oral tablet",3,FALSE,1984-12-31,NA,NA
9000208,"methylphenidate hydrochloride 20 mg prolonged-release oral tablet",3,FALSE,1984-12-31,NA,NA
9000209,"morphine hydrochloride 1 mg per mL syrup",2,FALSE,1984-12-31,NA,NA
9000210,"morphine sulfate 1 mg per mL syrup",1,FALSE,1984-12-31,NA,NA
9000211,"morphine sulfate 20 mg per mL oral drops",1,FALSE,1984-12-31,NA,NA
9000212,"morphine sulfate 5 mg per mL syrup",1,FALSE,1984-12-31,NA,NA
9000213,"procyclidine hydrochloride 2.5 mg per 5 mL oral solution",1,FALSE,1984-12-31,NA,NA
9000214,"valproic acid (divalproex sodium) 125 mg gastro-resistant tablet",8,FALSE,1984-12-31,NA,NA
9000215,"valproic acid (divalproex sodium) 250 mg gastro-resistant tablet",7,FALSE,1984-12-31,NA,NA
9000216,"valproic acid (divalproex sodium) 500 mg gastro-resistant tablet",7,FALSE,1984-12-31,NA,NA
9000217,"amoxicillin 250 mg per 5 mL powder for oral solution",1,FALSE,1985-12-31,NA,NA
9000218,"baclofen 20 mg oral tablet",10,FALSE,1985-12-31,NA,NA
9000219,"carbamazepine 100 mg chewable tablet",4,FALSE,1985-12-31,NA,NA
9000220,"carbamazepine 200 mg chewable tablet",4,FALSE,1985-12-31,NA,NA
9000221,"diclofenac sodium 100 mg prolonged-release oral tablet",6,FALSE,1985-12-31,NA,NA
9000222,"diclofenac sodium 100 mg suppository",4,FALSE,1985-12-31,NA,NA
9000223,"diclofenac sodium 50 mg suppository",4,FALSE,1985-12-31,NA,NA
9000224,"lorazepam 0.5 mg oral tablet",8,FALSE,1985-12-31,NA,NA
9000225,"lorazepam 1 mg oral tablet",8,FALSE,1985-12-31,NA,NA
9000226,"lorazepam 2 mg oral tablet",8,FALSE,1985-12-31,NA,NA
9000227,"metoprolol tartrate 100 mg prolonged-release oral tablet",4,FALSE,1985-12-31,NA,NA
9000228,"morphine hydrochloride 5 mg per mL syrup",2,FALSE,1985-12-31,NA,NA
9000229,"morphine sulfate 10 mg oral tablet",2,FALSE,1985-12-31,NA,NA
9000230,"morphine sulfate 10 mg suppository",1,FALSE,1985-12-31,NA,NA
9000231,"morphine sulfate 20 mg suppository",1,FALSE,1985-12-31,NA,NA
9000232,"morphine sulfate 25 mg oral tablet",1,FALSE,1985-12-31,NA,NA
9000233,"morphine sulfate 5 mg oral tablet",2,FALSE,1985-12-31,NA,NA
9000234,"nitroglycerin 2 % cutaneous ointment",1,FALSE,1985-12-31,NA,NA
9000238,"procyclidine hydrochloride 2.5 mg oral tablet",1,FALSE,1985-12-31,NA,NA
9000239,"procyclidine hydrochloride 5 mg oral tablet",1,FALSE,1985-12-31,NA,NA
9000241,"acebutolol (acebutolol hydrochloride) 100 mg oral tablet",7,FALSE,1986-12-31,NA,NA
9000242,"acebutolol (acebutolol hydrochloride) 200 mg oral tablet",7,FALSE,1986-12-31,NA,NA
9000243,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9,FALSE,1986-12-31,NA,NA
9000244,"betamethasone (betamethasone valerate) 0.05 % lotion",1,FALSE,1986-12-31,NA,NA
9000315,"dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial",3,FALSE,1986-12-31,NA,NA
9000246,"erythromycin 250 mg oral tablet",1,FALSE,1986-12-31,NA,NA
9000247,"erythromycin (erythromycin ethylsuccinate) 600 mg oral tablet",1,FALSE,1986-12-31,NA,NA
9000248,"erythromycin (erythromycin stearate) 500 mg oral tablet",1,FALSE,1986-12-31,NA,NA
9000249,"furosemide 80 mg oral tablet",4,FALSE,1986-12-31,NA,NA
9000250,"glyburide 5 mg oral tablet",10,FALSE,1986-12-31,NA,NA
9000251,"haloperidol 10 mg oral tablet",2,FALSE,1986-12-31,NA,NA
9000252,"haloperidol 2 mg oral tablet",2,FALSE,1986-12-31,NA,NA
9000253,"hydromorphone hydrochloride 1 mg oral tablet",4,FALSE,1986-12-31,NA,NA
9000254,"hydroxyzine hydrochloride 10 mg oral capsule",3,FALSE,1986-12-31,NA,NA
9000255,"hydroxyzine hydrochloride 25 mg oral capsule",3,FALSE,1986-12-31,NA,NA
9000256,"hydroxyzine hydrochloride 50 mg oral capsule",3,FALSE,1986-12-31,NA,NA
9000258,"morphine hydrochloride 10 mg per mL syrup",1,FALSE,1986-12-31,NA,NA
9000259,"morphine hydrochloride 20 mg per mL syrup",1,FALSE,1986-12-31,NA,NA
9000362,"morphine sulfate 100 mg per 4 mL solution for injection ampoule",2,FALSE,1986-12-31,NA,NA
9000260,"morphine sulfate 150 mg per 30 mL solution for injection vial",1,FALSE,1986-12-31,NA,NA
9000364,"morphine sulfate 25 mg per 1 mL solution for injection ampoule",2,FALSE,1986-12-31,NA,NA
9000262,"morphine sulfate 30 mg per 30 mL solution for injection vial",1,FALSE,1986-12-31,NA,NA
9000263,"morphine sulfate 50 mg oral tablet",1,FALSE,1986-12-31,NA,NA
9000264,"morphine sulfate 50 mg per mL oral drops",1,FALSE,1986-12-31,NA,NA
9000265,"propranolol hydrochloride 20 mg oral tablet",2,FALSE,1986-12-31,NA,NA
9000266,"acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",3,FALSE,1987-12-31,NA,NA
9000267,"benztropine mesylate 1 mg oral tablet",1,FALSE,1987-12-31,NA,NA
9000268,"doxycycline (doxycycline hyclate) 100 mg oral capsule",5,FALSE,1987-12-31,NA,NA
9000269,"enalapril sodium 16 mg oral tablet",9,FALSE,1987-12-31,NA,NA
9000270,"enalapril sodium 4 mg oral tablet",9,FALSE,1987-12-31,NA,NA
9000271,"enalapril sodium 8 mg oral tablet",9,FALSE,1987-12-31,NA,NA
9000272,"epinephrine 1 mg per 10 mL solution for injection syringe",1,FALSE,1987-12-31,NA,NA
9000274,"hydroxyzine hydrochloride 50 mg per 1 mL solution for injection vial",1,FALSE,1987-12-31,NA,NA
9000275,"medroxyprogesterone acetate 10 mg oral tablet",3,FALSE,1987-12-31,NA,NA
9000276,"meperidine (meperidine hydrochloride) 50 mg per mL solution for injection",1,FALSE,1987-12-31,NA,NA
9000277,"meperidine (meperidine hydrochloride) 75 mg per mL solution for injection",1,FALSE,1987-12-31,NA,NA
9000278,"metoprolol tartrate 5 mg per 5 mL solution for injection ampoule",1,FALSE,1987-12-31,NA,NA
9000279,"metronidazole 500 mg per 100 mL solution for injection bag",2,FALSE,1987-12-31,NA,NA
9000280,"morphine sulfate 10 mg per mL syrup",1,FALSE,1987-12-31,NA,NA
9000282,"ranitidine (ranitidine hydrochloride) 150 mg oral tablet",19,FALSE,1987-12-31,NA,NA
9000283,"ranitidine (ranitidine hydrochloride) 300 mg oral tablet",13,FALSE,1987-12-31,NA,NA
9000284,"sulfamethoxazole 40 mg per mL and trimethoprim 8 mg per mL oral suspension",1,FALSE,1987-12-31,NA,NA
9000285,"atenolol 100 mg oral tablet",16,FALSE,1988-12-31,NA,NA
9000286,"atenolol 50 mg oral tablet",16,FALSE,1988-12-31,NA,NA
9001366,"betamethasone (betamethasone valerate) 0.1 % cutaneous ointment",2,FALSE,1988-12-31,NA,NA
9000288,"carbamazepine 200 mg prolonged-release oral tablet",6,FALSE,1988-12-31,NA,NA
9000289,"carbamazepine 400 mg prolonged-release oral tablet",6,FALSE,1988-12-31,NA,NA
9000290,"clotrimazole 1 % cutaneous cream",4,FALSE,1988-12-31,NA,NA
9000291,"diltiazem hydrochloride 30 mg oral tablet",2,FALSE,1988-12-31,NA,NA
9000292,"diltiazem hydrochloride 60 mg oral tablet",2,FALSE,1988-12-31,NA,NA
9000294,"epinephrine 1 mg per 1 mL solution for injection ampoule",3,FALSE,1988-12-31,NA,NA
9000295,"erythromycin (erythromycin lactobionate) 1 g per vial powder for solution for injection",1,FALSE,1988-12-31,NA,NA
9000296,"erythromycin (erythromycin lactobionate) 500 mg per vial powder for solution for injection",1,FALSE,1988-12-31,NA,NA
9000297,"haloperidol 20 mg oral tablet",1,FALSE,1988-12-31,NA,NA
9000298,"meperidine (meperidine hydrochloride) 100 mg per mL solution for injection",1,FALSE,1988-12-31,NA,NA
9000300,"naproxen sodium 275 mg oral tablet",5,FALSE,1988-12-31,NA,NA
9000301,"nifedipine 10 mg oral capsule",2,FALSE,1988-12-31,NA,NA
9000303,"phenytoin sodium 100 mg per 2 mL solution for injection ampoule",2,FALSE,1988-12-31,NA,NA
