"ntp_formal_name","ccdd","n_mp","greater_than_5_AIs","ntp_status","ntp_status_effective_time","ntp_type","ntp_code"
"pentazocine (pentazocine lactate) 30 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,"active","20021101",NA,9006559
"moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bag",TRUE,1,FALSE,"active","20030624",NA,9006560
"moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL solution for injection 250 mL bottle",TRUE,1,FALSE,"active","20030624",NA,9006561
"ethinyl estradiol 35 mcg per 24 hours and norelgestromin 20 mcg per 24 hours transdermal patch",TRUE,1,FALSE,"active","20031224",NA,9006562
"risperidone 37.5 mg per vial powder for prolonged-release suspension for injection with diluent solution",TRUE,1,FALSE,"active","20040908",NA,9006563
"drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet",TRUE,3,FALSE,"active","20041222",NA,9006564
"drospirenone 3 mg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet",TRUE,3,FALSE,"active","20041222",NA,9006565
"ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet",TRUE,2,TRUE,"active","20050127","comb",9006566
"ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet",TRUE,2,TRUE,"active","20050127","comb",9006567
"desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet",TRUE,1,TRUE,"active","20060613","comb",9006568
"desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet",TRUE,1,TRUE,"active","20060613","comb",9006569
"ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet",TRUE,3,FALSE,"active","20070814",NA,9006570
"varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet",TRUE,1,FALSE,"active","20071002","comb",9006571
"drospirenone 3 mg and ethinyl estradiol 20 mcg oral tablet with lactose oral tablet",TRUE,2,FALSE,"active","20090106",NA,9006572
"ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol100 mcg oral tablet",TRUE,1,FALSE,"active","20110418","comb",9006573
"ethinyl estradiol 100 mcg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 100 mcg oral tablet with lactose oral tablet",TRUE,1,FALSE,"active","20140324","comb",9006574
"betamethasone valerate 0.1 % cutaneous patch",TRUE,1,FALSE,"active","20160405",NA,9006575
"propranolol (propranolol hydrochloride) 3.75 mg per mL oral solution",TRUE,1,FALSE,"active","20170323",NA,9006576
"dextran 10 % and dextrose 5 % solution for injection",FALSE,1,FALSE,"active","19681231",NA,9006577
"atropine sulfate 0.1 mg per mL solution for injection",FALSE,1,FALSE,"active","19751231",NA,9006578
"miconazole nitrate 2 % and miconazole nitrate 100 mg NA",FALSE,1,FALSE,"active","19941231",NA,9006579
"dobutamine (dobutamine hydrochloride) 250 mg per 20 mL solution for injection",FALSE,1,FALSE,"active","19961024",NA,9006580
"dimenhydrinate 15 mg per 5 mL oral solution",FALSE,1,FALSE,"active","19961231",NA,9006581
"bupivacaine hydrochloride 15 mg per 2 mL solution for injection",FALSE,1,FALSE,"active","20001201",NA,9006582
"bupivacaine hydrochloride 100 mg per 20 mL and epinephrine bitartrate 0.182 mg per 20 mL solution for injection",FALSE,1,FALSE,"active","20010715",NA,9006583
"bupivacaine hydrochloride 50 mg per 20 mL and epinephrine bitartrate 0.182 mg per 20 mL solution for injection",FALSE,1,FALSE,"active","20010715",NA,9006584
"bupivacaine hydrochloride 150 mg per 20 mL solution for injection",FALSE,1,FALSE,"active","20010915",NA,9006585
"bupivacaine hydrochloride 250 mg per 50 mL solution for injection",FALSE,1,FALSE,"active","20080917",NA,9006586
"bupivacaine hydrochloride 125 mg per 50 mL solution for injection",FALSE,1,FALSE,"active","20081008",NA,9006587
"calcium chloride 40 mcmol per mL and thrombin (human) 500 unit per mL and NA 125 mg per mL and NA 3000 kiu per mL cutaneous solution",FALSE,1,FALSE,"active","20110620",NA,9006588
"fluticasone propionate 50 mcg per actuation and NA 137 mcg per actuation nasal spray",FALSE,1,FALSE,"active","20150331",NA,9006589
"avobenzone 3 % and homosalate 10 % and octinoxate 7.5 % and octisalate 5 % and octocrylene 5 % cutaneous spray",FALSE,1,FALSE,"active","20160412",NA,9006590
"avobenzone 3 % and homosalate 6 % and octinoxate 7.5 % and octisalate 5 % and zinc oxide 2.5 % cutaneous cream",FALSE,1,FALSE,"active","20160412",NA,9006591
"erythromycin (erythromycin ethylsuccinate) 200 mg per 5 mL and sulfisoxazole (sulfisoxazole acetyl) 600 mg per 5 mL oral suspension",FALSE,1,FALSE,"inactive","20170717",NA,9006592
"betamethasone (betamethasone sodium phosphate) 1 mg per mL and gentamicin (gentamicin sulfate) 3 mg per mL ophthalmic/otic drops",FALSE,1,FALSE,"inactive","20170801",NA,9006593
"avobenzone 2 % and homosalate 8 % and octinoxate 7.5 % and octisalate 5 % and octocrylene 1.5 % and oxybenzone 4 % lotion",FALSE,1,TRUE,"inactive","20170803",NA,9006594
"interferon alfa-2b 18 miu per vial and water 1 mL per vial NA",FALSE,1,FALSE,"inactive","20170809",NA,9006595
