ccdd,mp_code,greater_than_5_AIs,drug_identification_number,brand_name,company_name,mp_formal_name,mp_en_description,mp_fr_description,mp_status,mp_status_effective_time
FALSE,38229,FALSE,38229,STERILE WATER FOR IRRIGATION USP,ICU MEDICAL CANADA INC,STERILE WATER FOR IRRIGATION USP (water 100 % NA) ICU MEDICAL CANADA INC,NA,NA,Active,19641231
FALSE,213071,FALSE,213071,COSMEGEN,RECORDATI RARE DISEASES INC,COSMEGEN (dactinomycin 0.5 mg per vial powder for solution for injection) RECORDATI RARE DISEASES INC,NA,NA,Active,19631231
FALSE,35017,FALSE,35017,ISOPTO ATROPINE,NOVARTIS PHARMACEUTICALS CANADA INC,ISOPTO ATROPINE (atropine sulfate 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19641231
FALSE,42676,FALSE,42676,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,MAXITROL (dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19631231
FALSE,981,FALSE,981,MYDRIACYL,NOVARTIS PHARMACEUTICALS CANADA INC,MYDRIACYL (tropicamide 0.5 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19511231
FALSE,16055,FALSE,16055,CUPRIMINE,VALEANT CANADA LP/VALEANT CANADA S.E.C.,CUPRIMINE (d-penicillamine 250 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.,NA,NA,Active,19641231
TRUE,21016,FALSE,21016,TEVA-QUININE,TEVA CANADA LIMITED,TEVA-QUININE (quinine sulfate 300 mg oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19661231
TRUE,24694,FALSE,24694,ATARAX SYRUP 2MG/ML,ERFA CANADA 2012 INC,ATARAX SYRUP 2MG/ML (hydroxyzine hydrochloride 10 mg per 5 mL syrup) ERFA CANADA 2012 INC,NA,NA,Active,19561231
TRUE,28096,FALSE,28096,CELESTONE SOLUSPAN,MERCK CANADA INC,CELESTONE SOLUSPAN (betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection) MERCK CANADA INC,NA,NA,Active,19651231
TRUE,178799,FALSE,178799,PHENOBARB,PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,PHENOBARB (phenobarbital 15 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19571231
TRUE,178802,FALSE,178802,PHENOBARB,PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,PHENOBARB (phenobarbital 30 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19571231
TRUE,178810,FALSE,178810,PHENOBARB,PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,PHENOBARB (phenobarbital 60 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19571231
TRUE,178829,FALSE,178829,PHENOBARB,PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,PHENOBARB (phenobarbital 100 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19571231
FALSE,27243,FALSE,27243,"DIHYDROERGOTAMINE (DHE), 1MG/ML",STERIMAX INC,"DIHYDROERGOTAMINE (DHE), 1MG/ML (dihydroergotamine mesylate 1 mg per mL solution for injection) STERIMAX INC",NA,NA,Active,19461231
TRUE,30937,FALSE,30937,PROVERA 5MG TABLETS,PFIZER CANADA INC,PROVERA 5MG TABLETS (medroxyprogesterone acetate 5 mg oral tablet) PFIZER CANADA INC,NA,NA,Active,19611231
FALSE,30708,FALSE,30708,BACITRACIN USP,PFIZER CANADA INC,BACITRACIN USP (bacitracin 50000 unit per 10 mL powder for solution for injection) PFIZER CANADA INC,NA,NA,Active,19511231
TRUE,30910,FALSE,30910,CORTEF TABLETS 10MG,PFIZER CANADA INC,CORTEF TABLETS 10MG (hydrocortisone 10 mg oral tablet) PFIZER CANADA INC,NA,NA,Active,19541231
TRUE,30929,FALSE,30929,CORTEF TABLETS 20 MG,PFIZER CANADA INC,CORTEF TABLETS 20 MG (hydrocortisone 20 mg oral tablet) PFIZER CANADA INC,NA,NA,Active,19541231
TRUE,30848,FALSE,30848,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML,PFIZER CANADA INC,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA INC,NA,NA,Active,19601231
TRUE,10340,FALSE,10340,ENTROPHEN ECT 650MG,PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,ENTROPHEN ECT 650MG (acetylsalicylic acid 650 mg gastro-resistant tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC,NA,NA,Active,19671231
TRUE,21695,FALSE,21695,TEVA-PREDNISONE,TEVA CANADA LIMITED,TEVA-PREDNISONE (prednisone 5 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19671231
FALSE,21423,FALSE,21423,TEVA-DIMENATE,TEVA CANADA LIMITED,TEVA-DIMENATE (dimenhydrinate 50 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19671231
FALSE,21288,FALSE,21288,NOVO-PHENIRAM,TEVA CANADA LIMITED,NOVO-PHENIRAM (chlorpheniramine maleate 4 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19671231
FALSE,1732,FALSE,1732,XYLOCAINE 1%,ASPEN PHARMACARE CANADA INC.,XYLOCAINE 1% (lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19541231
FALSE,36641,FALSE,36641,XYLOCAINE 2%,ASPEN PHARMACARE CANADA INC.,XYLOCAINE 2% (lidocaine hydrochloride 20 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19541231
FALSE,1791,FALSE,1791,XYLOCAINE 1% W EPINEPHRINE 1:100000,ASPEN PHARMACARE CANADA INC.,XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19541231
FALSE,1805,FALSE,1805,XYLOCAINE 1% W EPINEPHRINE 1:200000,ASPEN PHARMACARE CANADA INC.,XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19541231
TRUE,268313,FALSE,268313,SODIUM EDECRIN,VALEANT CANADA LP/VALEANT CANADA S.E.C.,SODIUM EDECRIN (ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection) VALEANT CANADA LP/VALEANT CANADA S.E.C.,NA,NA,Active,19681231
FALSE,74462,FALSE,74462,LOCACORTEN VIOFORM,PALADIN LABS INC,LOCACORTEN VIOFORM (clioquinol 3 % and flumethasone pivalate 0.02 % cutaneous cream) PALADIN LABS INC,NA,NA,Active,19681231
FALSE,151874,FALSE,151874,OCTOCAINE HCL 2% EPINEPHRINE 1:50000,NOVOCOL PHARMACEUTICAL OF CANADA INC,OCTOCAINE HCL 2% EPINEPHRINE 1:50000 (epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC,NA,NA,Active,19641231
FALSE,151866,FALSE,151866,OCTOCAINE HCL 2% EPINEPHRINE 1:100000,NOVOCOL PHARMACEUTICAL OF CANADA INC,OCTOCAINE HCL 2% EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) NOVOCOL PHARMACEUTICAL OF CANADA INC,NA,NA,Active,19641231
TRUE,21008,FALSE,21008,TEVA-QUININE,TEVA CANADA LIMITED,TEVA-QUININE (quinine sulfate 200 mg oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19661231
FALSE,21261,FALSE,21261,TEVA-CHLOROQUINE,TEVA CANADA LIMITED,TEVA-CHLOROQUINE (chloroquine diphosphate 250 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19681231
FALSE,176176,FALSE,176176,"HYDERGINE TABLETS, 1MG",STERIMAX INC,"HYDERGINE TABLETS, 1MG (ergoloid mesylates 1 mg oral tablet) STERIMAX INC",NA,NA,Active,19681231
FALSE,107875,FALSE,107875,FLEET ENEMA MINERAL OIL,C B FLEET COMPANY INC,FLEET ENEMA MINERAL OIL (mineral oil 100 % rectal liquid) C B FLEET COMPANY INC,NA,NA,Active,19691231
FALSE,115630,FALSE,115630,LIBRAX,VALEANT CANADA LP/VALEANT CANADA S.E.C.,LIBRAX (chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.,NA,NA,Active,19611231
FALSE,23485,FALSE,23485,ZARONTIN SYR 250MG/5ML,ERFA CANADA 2012 INC,ZARONTIN SYR 250MG/5ML (ethosuximide 250 mg per 5 mL syrup) ERFA CANADA 2012 INC,NA,NA,Active,19641231
TRUE,156876,FALSE,156876,PREDNISONE TAB 5MG,PRO DOC LIMITEE,PREDNISONE TAB 5MG (prednisone 5 mg oral tablet) PRO DOC LIMITEE,NA,NA,Active,19591231
FALSE,39411,FALSE,39411,ELLIOTT'S SOLUTION A,HOSPIRA HEALTHCARE CORPORATION,ELLIOTT'S SOLUTION A (calcium chloride 0.2 mg per mL and magnesium chloride 0.116 mg per mL and potassium chloride 0.3 mg per mL and sodium chloride 8.6 mg per mL solution for injection) HOSPIRA HEALTHCARE CORPORATION,NA,NA,Active,19691231
FALSE,22799,FALSE,22799,ZARONTIN CAP 250MG,ERFA CANADA 2012 INC,ZARONTIN CAP 250MG (ethosuximide 250 mg oral capsule) ERFA CANADA 2012 INC,NA,NA,Active,19601231
FALSE,23949,FALSE,23949,THYROID TAB 30MG,ERFA CANADA 2012 INC,THYROID TAB 30MG (thyroid 30 mg oral tablet) ERFA CANADA 2012 INC,NA,NA,Active,19511231
TRUE,23450,FALSE,23450,DILANTIN-125 SUSPENSION,PFIZER CANADA INC,DILANTIN-125 SUSPENSION (phenytoin 125 mg per 5 mL oral suspension) PFIZER CANADA INC,NA,NA,Active,19531231
TRUE,23442,FALSE,23442,DILANTIN-30 SUSPENSION,PFIZER CANADA INC,DILANTIN-30 SUSPENSION (phenytoin 30 mg per 5 mL oral suspension) PFIZER CANADA INC,NA,NA,Active,19681231
FALSE,23957,FALSE,23957,THYROID TAB 60MG,ERFA CANADA 2012 INC,THYROID TAB 60MG (thyroid 60 mg oral tablet) ERFA CANADA 2012 INC,NA,NA,Active,19511231
FALSE,23965,FALSE,23965,THYROID TAB 125MG,ERFA CANADA 2012 INC,THYROID TAB 125MG (thyroid 125 mg oral tablet) ERFA CANADA 2012 INC,NA,NA,Active,19511231
TRUE,10405,FALSE,10405,TEGRETOL 200MG,NOVARTIS PHARMACEUTICALS CANADA INC,TEGRETOL 200MG (carbamazepine 200 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19691231
TRUE,21474,FALSE,21474,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 25 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19681231
FALSE,1007,FALSE,1007,MYDRIACYL,NOVARTIS PHARMACEUTICALS CANADA INC,MYDRIACYL (tropicamide 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19691231
FALSE,30767,FALSE,30767,DEPO-MEDROL 80 MG/ML,PFIZER CANADA INC,DEPO-MEDROL 80 MG/ML (methylprednisolone acetate 80 mg per mL NA) PFIZER CANADA INC,NA,NA,Active,19691231
TRUE,38121,FALSE,38121,EPHEDRINE SULFATE INJECTION USP,PFIZER CANADA INC,EPHEDRINE SULFATE INJECTION USP (ephedrine sulfate 50 mg per 1 mL solution for injection ampoule) PFIZER CANADA INC,NA,NA,Active,19661231
FALSE,809,FALSE,809,ISOPTO TEARS 0.5%,NOVARTIS PHARMACEUTICALS CANADA INC,ISOPTO TEARS 0.5% (hypromellose 0.5 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19691231
FALSE,817,FALSE,817,ISOPTO TEARS 1%,NOVARTIS PHARMACEUTICALS CANADA INC,ISOPTO TEARS 1% (hypromellose 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19701231
TRUE,5606,FALSE,5606,RITALIN 10MG,NOVARTIS PHARMACEUTICALS CANADA INC,RITALIN 10MG (methylphenidate hydrochloride 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19561231
TRUE,5614,FALSE,5614,RITALIN 20MG,NOVARTIS PHARMACEUTICALS CANADA INC,RITALIN 20MG (methylphenidate hydrochloride 20 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19581231
FALSE,74500,FALSE,74500,VIOFORM HYDROCORTISONE,PALADIN LABS INC,VIOFORM HYDROCORTISONE (clioquinol 3 % and hydrocortisone 1 % cutaneous cream) PALADIN LABS INC,NA,NA,Active,19571231
TRUE,21482,FALSE,21482,TEVA-HYDROCHLOROTHIAZIDE,TEVA CANADA LIMITED,TEVA-HYDROCHLOROTHIAZIDE (hydrochlorothiazide 50 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19681231
FALSE,177016,FALSE,177016,VALISONE-G CREAM,VALEANT CANADA LP/VALEANT CANADA S.E.C.,VALISONE-G CREAM (betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C.,NA,NA,Active,19701231
FALSE,37796,FALSE,37796,SODIUM CHLORIDE INJECTION USP,PFIZER CANADA INC,SODIUM CHLORIDE INJECTION USP (sodium chloride 9 mg per mL solution for injection) PFIZER CANADA INC,NA,NA,Active,19671231
FALSE,74454,FALSE,74454,LOCACORTEN VIOFORM EARDROPS,PALADIN LABS INC,LOCACORTEN VIOFORM EARDROPS (clioquinol 1 % and flumethasone pivalate 0.02 % otic drops) PALADIN LABS INC,NA,NA,Active,19691231
FALSE,176192,FALSE,176192,FIORINAL C1/4,TRIBUTE PHARMACEUTICALS CANADA INC,FIORINAL C1/4 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg oral capsule) TRIBUTE PHARMACEUTICALS CANADA INC,NA,NA,Active,19701231
FALSE,176206,FALSE,176206,FIORINAL C1/2,TRIBUTE PHARMACEUTICALS CANADA INC,FIORINAL C1/2 (acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg oral capsule) TRIBUTE PHARMACEUTICALS CANADA INC,NA,NA,Active,19701231
TRUE,30570,FALSE,30570,DALACIN C 150 MG,PFIZER CANADA INC,DALACIN C 150 MG (clindamycin (clindamycin hydrochloride) 150 mg oral capsule) PFIZER CANADA INC,NA,NA,Active,19701231
TRUE,2162806,FALSE,2162806,MINITRAN,VALEANT CANADA LP/VALEANT CANADA S.E.C.,MINITRAN (nitroglycerin 0.2 mg per hour transdermal patch) VALEANT CANADA LP/VALEANT CANADA S.E.C.,NA,NA,Active,19951231
FALSE,131237,FALSE,131237,CONRAY 60,LIEBEL-FLARSHEIM CANADA INC,CONRAY 60 (iothalamate meglumine 600 mg per mL solution for injection) LIEBEL-FLARSHEIM CANADA INC,NA,NA,Active,19511231
FALSE,29149,FALSE,29149,FUNGIZONE INTRAVENOUS INJECTION 50MG,BRISTOL-MYERS SQUIBB CANADA,FUNGIZONE INTRAVENOUS INJECTION 50MG (amphotericin b 50 mg per vial powder for solution for injection) BRISTOL-MYERS SQUIBB CANADA,NA,NA,Active,19581231
FALSE,1147,FALSE,1147,ALBALON,ALLERGAN INC,ALBALON (naphazoline hydrochloride 0.1 % ophthalmic drops) ALLERGAN INC,NA,NA,Active,19701231
FALSE,36323,FALSE,36323,LOMOTIL,PFIZER CANADA INC,LOMOTIL (atropine sulfate 0.025 mg and diphenoxylate hydrochloride 2.5 mg oral tablet) PFIZER CANADA INC,NA,NA,Active,19601231
TRUE,155357,FALSE,155357,ADRENALIN CHLORIDE SOL 1:1000 AMP,ERFA CANADA 2012 INC,ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule) ERFA CANADA 2012 INC,NA,NA,Active,19511231
TRUE,155357,FALSE,155357,ADRENALIN CHLORIDE SOL 1:1000 AMP,ERFA CANADA 2012 INC,ADRENALIN CHLORIDE SOL 1:1000 AMP (epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule) ERFA CANADA 2012 INC,NA,NA,Active,19511231
TRUE,50024,FALSE,50024,CODEINE PHOSPHATE SYRUP,LABORATOIRE ATLAS INC,CODEINE PHOSPHATE SYRUP (codeine phosphate 25 mg per 5 mL syrup) LABORATOIRE ATLAS INC,NA,NA,Active,19861218
FALSE,68594,FALSE,68594,COACTIFED,GLAXOSMITHKLINE INC,COACTIFED (codeine phosphate 10 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL and triprolidine hydrochloride 2 mg per 5 mL syrup) GLAXOSMITHKLINE INC,NA,NA,Active,19601231
FALSE,4618,FALSE,4618,MYLERAN,ASPEN PHARMACARE CANADA INC.,MYLERAN (busulfan 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19541231
FALSE,4723,FALSE,4723,PURINETHOL,TEVA CANADA LIMITED,PURINETHOL (mercaptopurine 50 mg oral tablet) TEVA CANADA LIMITED,NA,NA,Active,19541231
TRUE,22772,FALSE,22772,DILANTIN,PFIZER CANADA INC,DILANTIN (phenytoin sodium 30 mg oral capsule) PFIZER CANADA INC,NA,NA,Active,19511231
TRUE,22780,FALSE,22780,DILANTIN,PFIZER CANADA INC,DILANTIN (phenytoin sodium 100 mg oral capsule) PFIZER CANADA INC,NA,NA,Active,19511231
FALSE,70254,FALSE,70254,CORA CAINE,CORALITE DENTAL PRODUCTS,CORA CAINE (benzocaine 23 % and methyl heptyl colamino formylmethyl pyridinium chl 0.1 % oromucosal paste) CORALITE DENTAL PRODUCTS,NA,NA,Active,19801104
FALSE,10391,FALSE,10391,SINTROM,PALADIN LABS INC,SINTROM (acenocoumarol 4 mg oral tablet) PALADIN LABS INC,NA,NA,Active,19571231
TRUE,23698,FALSE,23698,DILANTIN INFATABS,PFIZER CANADA INC,DILANTIN INFATABS (phenytoin 50 mg oral tablet) PFIZER CANADA INC,NA,NA,Active,19521231
FALSE,65927,FALSE,65927,NEO-LARYNGOBIS,TEVA CANADA LIMITED,NEO-LARYNGOBIS (bismuth dipropylacetate 135 mg suppository) TEVA CANADA LIMITED,NA,NA,Active,19501231
FALSE,221570,FALSE,221570,CERUMOL,THORNTON & ROSS LTD,CERUMOL (chlorobutanol 5 % per 11 mL and dichlorobenzene 2 % per 11 mL and oil of turpentine 10 % per 11 mL and peanut oil 57 % per 11 mL otic drops) THORNTON & ROSS LTD,NA,NA,Active,19711231
FALSE,10383,FALSE,10383,SINTROM,PALADIN LABS INC,SINTROM (acenocoumarol 1 mg oral tablet) PALADIN LABS INC,NA,NA,Active,19621231
NA,20885,FALSE,20885,TEVA-AMPICILLIN,TEVA CANADA LIMITED,TEVA-AMPICILLIN (NA oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19711231
NA,20877,FALSE,20877,TEVA-AMPICILLIN,TEVA CANADA LIMITED,TEVA-AMPICILLIN (NA oral capsule) TEVA CANADA LIMITED,NA,NA,Active,19711231
FALSE,36137,FALSE,36137,SOLU-MEDROL,PFIZER CANADA INC,SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 1 g per vial NA) PFIZER CANADA INC,NA,NA,Active,19711231
FALSE,30678,FALSE,30678,SOLU-MEDROL,PFIZER CANADA INC,SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial NA) PFIZER CANADA INC,NA,NA,Active,19701231
FALSE,30759,FALSE,30759,DEPO-MEDROL 40 MG/ML,PFIZER CANADA INC,DEPO-MEDROL 40 MG/ML (methylprednisolone acetate 40 mg per mL NA) PFIZER CANADA INC,NA,NA,Active,19601231
TRUE,27944,FALSE,27944,VALISONE SCALP LOTION,VALEANT CANADA LP/VALEANT CANADA S.E.C.,VALISONE SCALP LOTION (betamethasone (betamethasone valerate) 0.1 % lotion) VALEANT CANADA LP/VALEANT CANADA S.E.C.,NA,NA,Active,19801104
NA,35076,FALSE,35076,ALCAINE,NOVARTIS PHARMACEUTICALS CANADA INC,ALCAINE (NA ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC,NA,NA,Active,19711231
FALSE,38024,FALSE,38024,MANNITOL INJECTION USP,PFIZER CANADA INC,MANNITOL INJECTION USP (mannitol 12.5 g per 50 mL solution for injection) PFIZER CANADA INC,NA,NA,Active,19701231
TRUE,4596,FALSE,4596,IMURAN,ASPEN PHARMACARE CANADA INC.,IMURAN (azathioprine 50 mg oral tablet) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19661231
TRUE,4626,FALSE,4626,LEUKERAN,ASPEN PHARMACARE CANADA INC.,LEUKERAN (chlorambucil 2 mg oral tablet) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19571231
NA,4715,FALSE,4715,ALKERAN,ASPEN PHARMACARE CANADA INC.,ALKERAN (NA oral tablet) ASPEN PHARMACARE CANADA INC.,NA,NA,Active,19641231
