"ntp_formal_name","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code","en_display","fr_display"
"metronidazole 250 mg oral tablet",3,FALSE,1971-12-31,9000055,NA,NA
"amitriptyline hydrochloride 25 mg oral tablet",11,FALSE,1972-12-31,9000056,NA,NA
"cephalexin 500 mg oral tablet",6,FALSE,1972-12-31,9000057,NA,NA
"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",1,FALSE,1972-12-31,9000058,NA,NA
"ibuprofen 200 mg oral tablet",16,FALSE,1972-12-31,9000059,NA,NA
"nitroglycerin 0.3 mg sublingual tablet",1,FALSE,1972-12-31,9000060,NA,NA
"nitroglycerin 0.6 mg sublingual tablet",1,FALSE,1972-12-31,9000061,NA,NA
"norethindrone 0.35 mg oral tablet",3,FALSE,1972-12-31,9000062,NA,NA
"prednisone 50 mg oral tablet",3,FALSE,1972-12-31,9000063,NA,NA
"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",4,FALSE,1973-12-31,9000064,NA,NA
"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",4,FALSE,1973-12-31,9000065,NA,NA
"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",2,FALSE,1973-12-31,9000066,NA,NA
"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",4,FALSE,1973-12-31,9000067,NA,NA
"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",1,FALSE,1973-12-31,9000068,NA,NA
"oxycodone hydrochloride 10 mg suppository",1,FALSE,1973-12-31,9000069,NA,NA
"oxycodone hydrochloride 20 mg suppository",1,FALSE,1973-12-31,9000070,NA,NA
"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",2,FALSE,1973-12-31,9000071,NA,NA
"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",2,FALSE,1973-12-31,9000072,NA,NA
"allopurinol 300 mg oral tablet",6,FALSE,1974-12-31,9000073,NA,NA
"colchicine 0.6 mg oral tablet",4,FALSE,1974-12-31,9000074,NA,NA
"diazepam 5 mg oral tablet",5,FALSE,1974-12-31,9000075,NA,NA
"ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet",4,FALSE,1974-12-31,9000076,NA,NA
"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet",2,FALSE,1974-12-31,9000077,NA,NA
"levothyroxine sodium 150 mcg oral tablet",2,FALSE,1974-12-31,9000078,NA,NA
"nitrofurantoin 100 mg oral tablet",1,FALSE,1974-12-31,9000079,NA,NA
"nitrofurantoin 50 mg oral tablet",1,FALSE,1974-12-31,9000080,NA,NA
"prednisolone acetate 0.12 % ophthalmic drops",2,FALSE,1974-12-31,9000081,NA,NA
"prednisolone acetate 1 % ophthalmic drops",4,FALSE,1974-12-31,9000082,NA,NA
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",1,FALSE,1975-12-31,9000083,NA,NA
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",1,FALSE,1975-12-31,9000084,NA,NA
"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",2,FALSE,1975-12-31,9000085,NA,NA
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",6,FALSE,1975-12-31,9000086,NA,NA
"carbidopa 25 mg and levodopa 250 mg oral tablet",4,FALSE,1975-12-31,9000087,NA,NA
"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet",2,FALSE,1975-12-31,9000088,NA,NA
"folic acid 25 mg oral tablet",1,FALSE,1975-12-31,9000089,NA,NA
"spironolactone 100 mg oral tablet",2,FALSE,1975-12-31,9000090,NA,NA
"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",6,FALSE,1976-12-31,9000091,NA,NA
"furosemide 20 mg oral tablet",6,FALSE,1976-12-31,9000092,NA,NA
"furosemide 40 mg oral tablet",6,FALSE,1976-12-31,9000093,NA,NA
"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9,FALSE,1977-12-31,9000094,NA,NA
"betamethasone (betamethasone dipropionate) 0.05 % lotion",7,FALSE,1977-12-31,9000095,NA,NA
"cephalexin 250 mg oral tablet",5,FALSE,1977-12-31,9000096,NA,NA
"clonazepam 0.5 mg oral tablet",16,FALSE,1977-12-31,9000097,NA,NA
"clonazepam 2 mg oral tablet",13,FALSE,1977-12-31,9000098,NA,NA
"dexamethasone 0.1 % ophthalmic drops",1,FALSE,1977-12-31,9000099,NA,NA
"metoprolol tartrate 100 mg oral tablet",15,FALSE,1977-12-31,9000100,NA,NA
"metoprolol tartrate 50 mg oral tablet",15,FALSE,1977-12-31,9000101,NA,NA
"penicillin v potassium 500000 unit per 5 mL powder for oral solution",1,FALSE,1977-12-31,9000102,NA,NA
"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",4,FALSE,1978-12-31,9000103,NA,NA
"baclofen 10 mg oral tablet",10,FALSE,1978-12-31,9000104,NA,NA
"benztropine mesylate 2 mg oral tablet",2,FALSE,1978-12-31,9000105,NA,NA
"codeine phosphate 0.2 % oral liquid",1,FALSE,1978-12-31,9000106,NA,NA
"codeine phosphate 30 mg per 1 mL solution for injection ampoule",2,FALSE,1978-12-31,9000107,NA,NA
"diazepam 10 mg oral tablet",4,FALSE,1978-12-31,9000108,NA,NA
"folic acid 5 mg oral tablet",4,FALSE,1978-12-31,9000109,NA,NA
"morphine sulfate 10 mg per 1 mL solution for injection ampoule",3,FALSE,1978-12-31,9000299,NA,NA
"morphine sulfate 15 mg per 1 mL solution for injection ampoule",2,FALSE,1978-12-31,9000111,NA,NA
"prednisone 1 mg oral tablet",3,FALSE,1978-12-31,9000112,NA,NA
"valproic acid (sodium valproate) 50 mg per mL oral solution",1,FALSE,1978-12-31,9000113,NA,NA
"amitriptyline hydrochloride 75 mg oral tablet",5,FALSE,1979-12-31,9000114,NA,NA
"amoxicillin 125 mg per 5 mL oral suspension",8,FALSE,1979-12-31,9000373,NA,NA
"amoxicillin 250 mg oral capsule",10,FALSE,1979-12-31,9000116,NA,NA
"amoxicillin 250 mg per 5 mL oral suspension",9,FALSE,1979-12-31,9000374,NA,NA
"amoxicillin 500 mg oral capsule",11,FALSE,1979-12-31,9000118,NA,NA
"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",3,FALSE,1979-12-31,9000119,NA,NA
"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",2,FALSE,1979-12-31,9000120,NA,NA
"betamethasone (betamethasone valerate) 0.1 % lotion",5,FALSE,1979-12-31,9000121,NA,NA
"betamethasone valerate 0.1 % cutaneous cream",1,FALSE,1979-12-31,9000122,NA,NA
"calcitriol 0.25 mcg oral capsule",2,FALSE,1979-12-31,9000123,NA,NA
"calcitriol 0.5 mcg oral capsule",2,FALSE,1979-12-31,9000124,NA,NA
"carbidopa 10 mg and levodopa 100 mg oral tablet",4,FALSE,1979-12-31,9000125,NA,NA
"cephalexin 250 mg oral capsule",1,FALSE,1979-12-31,9000126,NA,NA
"cephalexin 500 mg oral capsule",1,FALSE,1979-12-31,9000127,NA,NA
"diazepam 2 mg oral tablet",3,FALSE,1979-12-31,9000128,NA,NA
"hydrochlorothiazide 100 mg oral tablet",2,FALSE,1979-12-31,9000129,NA,NA
"lithium carbonate 150 mg oral capsule",4,FALSE,1979-12-31,9000130,NA,NA
"metronidazole 500 mg oral capsule",3,FALSE,1979-12-31,9000131,NA,NA
"nystatin 100000 unit per g cutaneous cream",2,FALSE,1979-12-31,9000132,NA,NA
"nystatin 100000 unit per g cutaneous ointment",2,FALSE,1979-12-31,9000133,NA,NA
"nystatin 25000 unit per g vaginal cream",1,FALSE,1979-12-31,9000134,NA,NA
"oxazepam 10 mg oral tablet",6,FALSE,1979-12-31,9000135,NA,NA
"oxazepam 15 mg oral tablet",6,FALSE,1979-12-31,9000136,NA,NA
"oxazepam 30 mg oral tablet",6,FALSE,1979-12-31,9000137,NA,NA
"sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet",1,FALSE,1979-12-31,9000138,NA,NA
"sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet",2,FALSE,1979-12-31,9000139,NA,NA
"sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet",3,FALSE,1979-12-31,9000140,NA,NA
"timolol (timolol maleate) 0.5 % ophthalmic drops",8,FALSE,1979-12-31,9000141,NA,NA
"triamcinolone acetonide 0.025 % cutaneous cream",1,FALSE,1979-12-31,9000142,NA,NA
"triamcinolone acetonide 0.1 % cutaneous cream",2,FALSE,1979-12-31,9000143,NA,NA
"carbidopa 25 mg and levodopa 100 mg oral tablet",6,FALSE,1980-12-31,9000144,NA,NA
"diazepam 20 mg per 2 mL solution for injection ampoule",3,FALSE,1980-12-31,9000145,NA,NA
"diclofenac sodium 50 mg gastro-resistant tablet",7,FALSE,1980-12-31,9000146,NA,NA
"epinephrine 0.3 mg per 0.3 mL solution for injection syringe",2,FALSE,1980-12-31,9000147,NA,NA
"ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet",6,FALSE,1980-12-31,9000148,NA,NA
"haloperidol 0.5 mg oral tablet",2,FALSE,1980-12-31,9000149,NA,NA
"haloperidol 1 mg oral tablet",2,FALSE,1980-12-31,9000150,NA,NA
"indomethacin 25 mg oral capsule",3,FALSE,1980-12-31,9000151,NA,NA
"indomethacin 50 mg oral capsule",3,FALSE,1980-12-31,9000152,NA,NA
"oxycodone hydrochloride 10 mg oral tablet",4,FALSE,1980-12-31,9000153,NA,NA
"propranolol hydrochloride 10 mg oral tablet",3,FALSE,1980-12-31,9000154,NA,NA
"propranolol hydrochloride 40 mg oral tablet",3,FALSE,1980-12-31,9000155,NA,NA
"propranolol hydrochloride 80 mg oral tablet",3,FALSE,1980-12-31,9000156,NA,NA
"temazepam 15 mg oral capsule",5,FALSE,1980-12-31,9000157,NA,NA
"temazepam 30 mg oral capsule",5,FALSE,1980-12-31,9000158,NA,NA
"allopurinol 100 mg oral tablet",5,FALSE,1981-12-31,9000159,NA,NA
"allopurinol 200 mg oral tablet",5,FALSE,1981-12-31,9000160,NA,NA
"alprazolam 0.25 mg oral tablet",9,FALSE,1981-12-31,9000161,NA,NA
"alprazolam 0.5 mg oral tablet",9,FALSE,1981-12-31,9000162,NA,NA
"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",3,FALSE,1981-12-31,9000163,NA,NA
"bromazepam 3 mg oral tablet",4,FALSE,1981-12-31,9000164,NA,NA
"bromazepam 6 mg oral tablet",4,FALSE,1981-12-31,9000165,NA,NA
"codeine phosphate 60 mg per 1 mL solution for injection ampoule",1,FALSE,1981-12-31,9000166,NA,NA
"erythromycin (erythromycin stearate) 250 mg oral tablet",1,FALSE,1981-12-31,9000167,NA,NA
"flurazepam hydrochloride 15 mg oral capsule",5,FALSE,1981-12-31,9000168,NA,NA
"flurazepam hydrochloride 30 mg oral capsule",4,FALSE,1981-12-31,9000169,NA,NA
"furosemide 20 mg per 2 mL solution for injection ampoule",4,FALSE,1981-12-31,9000170,NA,NA
"furosemide 40 mg per 4 mL solution for injection ampoule",3,FALSE,1981-12-31,9000171,NA,NA
"hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet",3,FALSE,1981-12-31,9000172,NA,NA
"propranolol hydrochloride 120 mg oral tablet",2,FALSE,1981-12-31,9000173,NA,NA
"acyclovir 5 % cutaneous ointment",1,FALSE,1982-12-31,9000174,NA,NA
"furosemide 20 mg per 2 mL solution for injection syringe",1,FALSE,1982-12-31,9000175,NA,NA
"furosemide 40 mg per 4 mL solution for injection syringe",1,FALSE,1982-12-31,9000176,NA,NA
"indapamide 2.5 mg oral tablet",11,FALSE,1982-12-31,9000177,NA,NA
"naproxen 125 mg oral tablet",1,FALSE,1982-12-31,9000178,NA,NA
"naproxen 250 mg oral tablet",4,FALSE,1982-12-31,9000179,NA,NA
"sulfamethoxazole 400 mg per 5 mL and trimethoprim 80 mg per 5 mL solution for injection ampoule",1,FALSE,1982-12-31,9000180,NA,NA
"alcohol anhydrous 0.05 mL per mL and doxylamine succinate 1.2 mg per mL and etafedrin hydrochloride 3.33 mg per mL and hydrocodone bitartrate 0.33 mg per mL and sodium citrate 40 mg per mL oral liquid",2,FALSE,1983-12-31,9001958,NA,NA
"codeine phosphate 15 mg oral tablet",3,FALSE,1983-12-31,9000181,NA,NA
"codeine phosphate 30 mg oral tablet",3,FALSE,1983-12-31,9000182,NA,NA
"conjugated estrogens 1.25 mg oral tablet",3,FALSE,1983-12-31,9000183,NA,NA
"erythromycin 250 mg gastro-resistant capsule",1,FALSE,1983-12-31,9000184,NA,NA
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norethindrone 0.5 mg and norethindrone 0.75 mg and norethindrone 1 mg oral tablet",2,TRUE,1983-12-31,9000185,NA,NA
"haloperidol 2 mg per mL oral solution",2,FALSE,1983-12-31,9000186,NA,NA
"hydrocortisone 2.5 % cutaneous cream",1,FALSE,1983-12-31,9000187,NA,NA
"hydrocortisone acetate 10 % rectal foam",1,FALSE,1983-12-31,9000188,NA,NA
"ibuprofen 300 mg oral tablet",3,FALSE,1983-12-31,9000189,NA,NA
"ibuprofen 400 mg oral tablet",16,FALSE,1983-12-31,9000190,NA,NA
"metoprolol tartrate 200 mg prolonged-release oral tablet",4,FALSE,1983-12-31,9000191,NA,NA
"naproxen 375 mg oral tablet",4,FALSE,1983-12-31,9000192,NA,NA
"naproxen 500 mg oral tablet",4,FALSE,1983-12-31,9000193,NA,NA
"acetaminophen 300 mg and codeine phosphate 30 mg oral tablet",5,FALSE,1984-12-31,9000194,NA,NA
"acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet",1,FALSE,1984-12-31,9000195,NA,NA
"epinephrine 0.15 mg per 0.3 mL solution for injection syringe",2,FALSE,1984-12-31,9000198,NA,NA
"fusidic acid 2 % cutaneous cream",1,FALSE,1984-12-31,9000199,NA,NA
"haloperidol 5 mg oral tablet",2,FALSE,1984-12-31,9000200,NA,NA
"hydromorphone hydrochloride 10 mg per 1 mL solution for injection vial",3,FALSE,1984-12-31,9000201,NA,NA
"hydromorphone hydrochloride 2 mg oral tablet",4,FALSE,1984-12-31,9000202,NA,NA
"hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule",3,FALSE,1984-12-31,9000203,NA,NA
"hydromorphone hydrochloride 4 mg oral tablet",4,FALSE,1984-12-31,9000204,NA,NA
"hydromorphone hydrochloride 50 mg per 5 mL solution for injection vial",3,FALSE,1984-12-31,9000206,NA,NA
"ibuprofen 600 mg oral tablet",3,FALSE,1984-12-31,9000207,NA,NA
"methylphenidate hydrochloride 20 mg prolonged-release oral tablet",3,FALSE,1984-12-31,9000208,NA,NA
"morphine hydrochloride 1 mg per mL syrup",2,FALSE,1984-12-31,9000209,NA,NA
"morphine sulfate 1 mg per mL syrup",1,FALSE,1984-12-31,9000210,NA,NA
"morphine sulfate 20 mg per mL oral drops",1,FALSE,1984-12-31,9000211,NA,NA
"morphine sulfate 5 mg per mL syrup",1,FALSE,1984-12-31,9000212,NA,NA
"procyclidine hydrochloride 2.5 mg per 5 mL oral solution",1,FALSE,1984-12-31,9000213,NA,NA
"valproic acid (divalproex sodium) 125 mg gastro-resistant tablet",8,FALSE,1984-12-31,9000214,NA,NA
"valproic acid (divalproex sodium) 250 mg gastro-resistant tablet",8,FALSE,1984-12-31,9000215,NA,NA
"valproic acid (divalproex sodium) 500 mg gastro-resistant tablet",8,FALSE,1984-12-31,9000216,NA,NA
"amoxicillin 250 mg per 5 mL powder for oral solution",1,FALSE,1985-12-31,9000217,NA,NA
"baclofen 20 mg oral tablet",10,FALSE,1985-12-31,9000218,NA,NA
"carbamazepine 100 mg chewable tablet",4,FALSE,1985-12-31,9000219,NA,NA
"carbamazepine 200 mg chewable tablet",4,FALSE,1985-12-31,9000220,NA,NA
"diclofenac sodium 100 mg prolonged-release oral tablet",6,FALSE,1985-12-31,9000221,NA,NA
"diclofenac sodium 100 mg suppository",4,FALSE,1985-12-31,9000222,NA,NA
"diclofenac sodium 50 mg suppository",4,FALSE,1985-12-31,9000223,NA,NA
"lorazepam 0.5 mg oral tablet",8,FALSE,1985-12-31,9000224,NA,NA
"lorazepam 1 mg oral tablet",8,FALSE,1985-12-31,9000225,NA,NA
"lorazepam 2 mg oral tablet",8,FALSE,1985-12-31,9000226,NA,NA
"metoprolol tartrate 100 mg prolonged-release oral tablet",4,FALSE,1985-12-31,9000227,NA,NA
"morphine hydrochloride 5 mg per mL syrup",2,FALSE,1985-12-31,9000228,NA,NA
"morphine sulfate 10 mg oral tablet",2,FALSE,1985-12-31,9000229,NA,NA
"morphine sulfate 10 mg suppository",1,FALSE,1985-12-31,9000230,NA,NA
"morphine sulfate 20 mg suppository",1,FALSE,1985-12-31,9000231,NA,NA
"morphine sulfate 25 mg oral tablet",1,FALSE,1985-12-31,9000232,NA,NA
"morphine sulfate 5 mg oral tablet",2,FALSE,1985-12-31,9000233,NA,NA
"nitroglycerin 2 % cutaneous ointment",1,FALSE,1985-12-31,9000234,NA,NA
"penicillin v potassium 200000 unit per 5 mL powder for oral solution",1,FALSE,1985-12-31,9000235,NA,NA
"penicillin v potassium 480000 unit oral tablet",1,FALSE,1985-12-31,9000236,NA,NA
"penicillin v potassium 480000 unit per 5 mL powder for oral solution",1,FALSE,1985-12-31,9000237,NA,NA
"procyclidine hydrochloride 2.5 mg oral tablet",1,FALSE,1985-12-31,9000238,NA,NA
"procyclidine hydrochloride 5 mg oral tablet",1,FALSE,1985-12-31,9000239,NA,NA
"codeine phosphate 5 mg per mL syrup",1,FALSE,1986-12-18,9000240,NA,NA
"acebutolol (acebutolol hydrochloride) 100 mg oral tablet",7,FALSE,1986-12-31,9000241,NA,NA
"acebutolol (acebutolol hydrochloride) 200 mg oral tablet",7,FALSE,1986-12-31,9000242,NA,NA
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",9,FALSE,1986-12-31,9000243,NA,NA
"betamethasone (betamethasone valerate) 0.05 % lotion",1,FALSE,1986-12-31,9000244,NA,NA
"dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL solution for injection vial",3,FALSE,1986-12-31,9000315,NA,NA
"erythromycin 250 mg oral tablet",1,FALSE,1986-12-31,9000246,NA,NA
"erythromycin (erythromycin ethylsuccinate) 600 mg oral tablet",1,FALSE,1986-12-31,9000247,NA,NA
"erythromycin (erythromycin stearate) 500 mg oral tablet",1,FALSE,1986-12-31,9000248,NA,NA
"furosemide 80 mg oral tablet",4,FALSE,1986-12-31,9000249,NA,NA
"glyburide 5 mg oral tablet",11,FALSE,1986-12-31,9000250,NA,NA
"haloperidol 10 mg oral tablet",2,FALSE,1986-12-31,9000251,NA,NA
"haloperidol 2 mg oral tablet",2,FALSE,1986-12-31,9000252,NA,NA
"hydromorphone hydrochloride 1 mg oral tablet",4,FALSE,1986-12-31,9000253,NA,NA
"hydroxyzine hydrochloride 10 mg oral capsule",3,FALSE,1986-12-31,9000254,NA,NA
"hydroxyzine hydrochloride 25 mg oral capsule",3,FALSE,1986-12-31,9000255,NA,NA
"hydroxyzine hydrochloride 50 mg oral capsule",3,FALSE,1986-12-31,9000256,NA,NA
"morphine hydrochloride 10 mg per mL syrup",1,FALSE,1986-12-31,9000258,NA,NA
"morphine hydrochloride 20 mg per mL syrup",1,FALSE,1986-12-31,9000259,NA,NA
"morphine sulfate 100 mg per 4 mL solution for injection ampoule",2,FALSE,1986-12-31,9000362,NA,NA
"morphine sulfate 150 mg per 30 mL solution for injection vial",1,FALSE,1986-12-31,9000260,NA,NA
"morphine sulfate 25 mg per 1 mL solution for injection ampoule",2,FALSE,1986-12-31,9000364,NA,NA
"morphine sulfate 30 mg per 30 mL solution for injection vial",1,FALSE,1986-12-31,9000262,NA,NA
"morphine sulfate 50 mg oral tablet",1,FALSE,1986-12-31,9000263,NA,NA
"morphine sulfate 50 mg per mL oral drops",1,FALSE,1986-12-31,9000264,NA,NA
"propranolol hydrochloride 20 mg oral tablet",2,FALSE,1986-12-31,9000265,NA,NA
"acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",3,FALSE,1987-12-31,9000266,NA,NA
"benztropine mesylate 1 mg oral tablet",1,FALSE,1987-12-31,9000267,NA,NA
"doxycycline (doxycycline hyclate) 100 mg oral capsule",5,FALSE,1987-12-31,9000268,NA,NA
"enalapril sodium 16 mg oral tablet",9,FALSE,1987-12-31,9000269,NA,NA
"enalapril sodium 4 mg oral tablet",9,FALSE,1987-12-31,9000270,NA,NA
"enalapril sodium 8 mg oral tablet",9,FALSE,1987-12-31,9000271,NA,NA
"epinephrine 1 mg per 10 mL solution for injection syringe",1,FALSE,1987-12-31,9000272,NA,NA
"ethinyl estradiol 30 mcg and ethinyl estradiol 30 mcg and ethinyl estradiol 40 mcg and levonorgestrel 125 mcg and levonorgestrel 50 mcg and levonorgestrel 75 mcg oral tablet",2,TRUE,1987-12-31,9000273,NA,NA
"hydroxyzine hydrochloride 50 mg per 1 mL solution for injection vial",1,FALSE,1987-12-31,9000274,NA,NA
"medroxyprogesterone acetate 10 mg oral tablet",3,FALSE,1987-12-31,9000275,NA,NA
"meperidine (meperidine hydrochloride) 50 mg per mL solution for injection",1,FALSE,1987-12-31,9000276,NA,NA
"meperidine (meperidine hydrochloride) 75 mg per mL solution for injection",1,FALSE,1987-12-31,9000277,NA,NA
"metoprolol tartrate 5 mg per 5 mL solution for injection ampoule",1,FALSE,1987-12-31,9000278,NA,NA
"metronidazole 500 mg per 100 mL solution for injection bag",2,FALSE,1987-12-31,9000279,NA,NA
"morphine sulfate 10 mg per mL syrup",1,FALSE,1987-12-31,9000280,NA,NA
