"tm_code","tm_formal_name","n_dins","n_ntps","status","tm_status_effective_time","en_display","fr_display"
8000188,"terbinafine",15,3,"active",1993-12-31,NA,NA
8000189,"trazodone",24,2,"active",1993-12-31,NA,NA
8000196,"cyclobenzaprine",12,1,"active",1994-12-31,NA,NA
8000198,"digoxin",9,3,"active",1994-12-31,NA,NA
8000200,"gabapentin",90,2,"active",1994-12-31,NA,NA
8000201,"hydrochlorothiazide and lisinopril",18,1,"active",1994-12-31,NA,NA
8000781,"hydrocodone and phenylephrine",2,1,"active",1994-12-31,NA,NA
8000202,"ipratropium",18,4,"active",1994-12-31,NA,NA
8000203,"isosorbide mononitrate",5,1,"active",1994-12-31,NA,NA
8000204,"lithium (ion)",1,1,"active",1994-12-31,NA,NA
8000205,"minocycline",20,2,"active",1994-12-31,NA,NA
8000206,"perindopril",3,1,"active",1994-12-31,NA,NA
8000208,"beclomethasone",6,4,"active",1995-12-31,NA,NA
8000210,"cefprozil",18,2,"active",1995-12-31,NA,NA
8000213,"estradiol",26,5,"active",1995-12-31,NA,NA
8000214,"lamotrigine",29,1,"active",1995-12-31,NA,NA
8000215,"lansoprazole",26,2,"active",1995-12-31,NA,NA
8000216,"losartan",54,1,"active",1995-12-31,NA,NA
8000217,"methotrexate",24,2,"active",1995-12-31,NA,NA
8000219,"oxybutynin",16,4,"active",1995-12-31,NA,NA
8000220,"progesterone",5,4,"active",1995-12-31,NA,NA
8000221,"valproic acid",10,2,"active",1995-12-31,NA,NA
8000222,"tacrolimus",13,4,"active",1996-08-14,NA,NA
8000224,"azithromycin",38,4,"active",1996-09-26,NA,NA
8000225,"fenofibrate",25,2,"active",1996-10-02,NA,NA
8000226,"olanzapine",144,3,"active",1996-11-04,NA,NA
8000787,"insulin lispro",4,1,"active",1996-11-15,NA,NA
8000229,"hydrochlorothiazide and losartan",40,1,"active",1996-11-22,NA,NA
8000230,"ciclopirox",8,4,"active",1996-12-03,NA,NA
8000233,"valacyclovir",21,1,"active",1996-12-31,NA,NA
8000784,"normethadone and p-hydroxyephedrine",1,1,"active",1997-01-23,NA,NA
8000234,"sumatriptan",35,3,"active",1997-02-11,NA,NA
8000235,"atorvastatin",80,1,"active",1997-03-05,NA,NA
8000236,"pantoprazole",39,2,"active",1997-03-05,NA,NA
8000237,"cetirizine",20,4,"active",1997-03-06,NA,NA
8000238,"clobazam",5,1,"active",1997-03-24,NA,NA
8000239,"ramipril",76,2,"active",1997-03-24,NA,NA
8000240,"topiramate",62,2,"active",1997-03-25,NA,NA
8000244,"latanoprost",8,1,"active",1997-07-28,NA,NA
8000246,"donepezil",48,2,"active",1997-08-20,NA,NA
8000247,"terazosin",28,1,"active",1997-09-26,NA,NA
8000248,"quetiapine",113,2,"active",1997-12-10,NA,NA
8000249,"valsartan",54,2,"active",1997-12-15,NA,NA
8000250,"trandolapril",4,1,"active",1998-01-07,NA,NA
8000251,"olopatadine",9,1,"active",1998-02-09,NA,NA
8000253,"pramipexole",42,1,"active",1998-02-26,NA,NA
8000254,"venlafaxine",48,1,"active",1998-03-04,NA,NA
8000256,"cyproterone and ethinyl estradiol",5,1,"active",1998-04-08,NA,NA
8000257,"bupropion",18,1,"active",1998-05-05,NA,NA
8000259,"irbesartan",58,1,"active",1998-06-22,NA,NA
8000261,"montelukast",49,3,"active",1998-08-21,NA,NA
8000262,"hydrochlorothiazide and quinapril",6,1,"active",1998-10-01,NA,NA
8000263,"clopidogrel",20,1,"active",1998-10-13,NA,NA
8000265,"tolterodine",16,2,"active",1998-11-23,NA,NA
8000266,"candesartan",58,1,"active",1998-12-07,NA,NA
8000267,"citalopram",75,1,"active",1999-03-08,NA,NA
8000268,"sildenafil",48,2,"active",1999-03-09,NA,NA
8000269,"amiodarone",17,2,"active",1999-03-29,NA,NA
8000271,"celecoxib",42,1,"active",1999-04-19,NA,NA
8000272,"dorzolamide and timolol",11,1,"active",1999-05-27,NA,NA
8000273,"repaglinide",21,1,"active",1999-06-21,NA,NA
8000276,"rizatriptan",37,2,"active",1999-08-31,NA,NA
8000277,"telmisartan",30,1,"active",1999-09-01,NA,NA
8000278,"risedronate",25,2,"active",1999-09-07,NA,NA
8000279,"fluticasone and salmeterol",5,2,"active",1999-09-24,NA,NA
8000284,"hydrochlorothiazide and irbesartan",41,1,"active",2000-03-16,NA,NA
8000285,"methadone",10,3,"active",2000-05-05,NA,NA
8000286,"hydrochlorothiazide and valsartan",38,1,"active",2000-05-10,NA,NA
8000287,"rivastigmine",44,3,"active",2000-05-15,NA,NA
8000776,"butorphanol",2,1,"active",2000-08-01,NA,NA
8000289,"pioglitazone",51,1,"active",2000-08-28,NA,NA
8000290,"meloxicam",22,1,"active",2000-09-26,NA,NA
8000291,"moxifloxacin",16,3,"active",2000-10-20,NA,NA
8000298,"mirtazapine",32,2,"active",2001-05-24,NA,NA
8000300,"candesartan and hydrochlorothiazide",19,1,"active",2001-06-26,NA,NA
8000301,"hydrochlorothiazide and telmisartan",26,1,"active",2001-08-16,NA,NA
8000302,"betahistine",12,1,"active",2001-08-17,NA,NA
8000303,"esomeprazole",18,3,"active",2001-08-20,NA,NA
8000780,"brompheniramine and guaifenesin and hydrocodone and phenylephrine",1,1,"active",2001-09-06,NA,NA
8000307,"insulin aspart",6,1,"active",2001-10-31,NA,NA
8000312,"alendronic acid",36,1,"active",2002-02-14,NA,NA
8000313,"alfuzosin",7,1,"active",2002-02-21,NA,NA
8000314,"rabeprazole",23,1,"active",2002-04-02,NA,NA
8000315,"bimatoprost",4,2,"active",2002-05-24,NA,NA
8000317,"insulin glargine",6,1,"active",2002-07-24,NA,NA
8000320,"tiotropium",2,2,"active",2002-11-21,NA,NA
8000321,"indapamide and perindopril",3,1,"active",2002-12-19,NA,NA
8000322,"rosuvastatin",82,1,"active",2003-02-19,NA,NA
8000325,"bisoprolol",18,1,"active",2003-04-24,NA,NA
8000326,"ezetimibe",17,1,"active",2003-06-15,NA,NA
8000328,"levetiracetam",52,1,"active",2003-07-23,NA,NA
8000329,"carvedilol",44,1,"active",2003-08-04,NA,NA
8000330,"dutasteride",12,1,"active",2003-11-14,NA,NA
8000331,"tadalafil",53,1,"active",2003-11-25,NA,NA
8000332,"fosinopril",16,1,"active",2003-12-05,NA,NA
8000334,"ethinyl estradiol and norelgestromin",1,1,"active",2003-12-24,NA,NA
8000338,"ciprofloxacin and dexamethasone (base)",1,1,"active",2004-05-13,NA,NA
8000343,"ethinyl estradiol and etonogestrel",1,1,"active",2004-12-02,NA,NA
8000345,"drospirenone and ethinyl estradiol",8,1,"active",2004-12-22,NA,NA
8000346,"escitalopram",42,2,"active",2005-02-14,NA,NA
8000347,"atomoxetine",57,1,"active",2005-02-24,NA,NA
8000348,"pregabalin",82,1,"active",2005-07-18,NA,NA
8000349,"acetaminophen and tramadol",14,1,"active",2005-07-22,NA,NA
8000352,"tamsulosin",10,2,"active",2005-10-11,NA,NA
8000353,"insulin detemir",2,1,"active",2005-11-14,NA,NA
8000413,"alendronic acid and vitamin D3 (cholecalciferol)",7,1,"active",2006-03-13,NA,NA
8000360,"solifenacin",26,1,"active",2006-06-23,NA,NA
8000367,"ciclesonide",4,2,"active",2006-09-27,NA,NA
8000368,"hydrochlorothiazide and ramipril",17,1,"active",2006-11-16,NA,NA
8000369,"tramadol",20,3,"active",2006-12-07,NA,NA
8000371,"varenicline",3,2,"active",2007-04-11,NA,NA
8000372,"buprenorphine and naloxone",6,1,"active",2007-11-26,NA,NA
8000374,"sitagliptin",3,1,"active",2008-01-02,NA,NA
8000375,"duloxetine",28,1,"active",2008-01-18,NA,NA
8000378,"dabigatran",3,1,"active",2008-07-03,NA,NA
8000379,"rivaroxaban",4,1,"active",2008-09-16,NA,NA
8000381,"travoprost",5,1,"active",2008-11-10,NA,NA
8000382,"hydrochlorothiazide and olmesartan",12,1,"active",2008-12-22,NA,NA
8000383,"olmesartan",14,1,"active",2008-12-22,NA,NA
8000385,"desvenlafaxine",2,1,"active",2009-03-05,NA,NA
8000387,"lisdexamfetamine",7,1,"active",2009-08-04,NA,NA
8000389,"aripiprazole",8,2,"active",2009-09-30,NA,NA
8000390,"metformin and sitagliptin",6,2,"active",2009-10-08,NA,NA
8000391,"saxagliptin",2,1,"active",2009-10-29,NA,NA
8000775,"buprenorphine",4,1,"active",2010-05-26,NA,NA
8000394,"dexlansoprazole",2,1,"active",2010-08-05,NA,NA
8000783,"naloxone and oxycodone",4,1,"active",2010-10-05,NA,NA
8000396,"galantamine",24,1,"active",2010-11-12,NA,NA
8000398,"esomeprazole and naproxen",4,1,"active",2011-02-04,NA,NA
8000789,"tapentadol",8,2,"active",2012-03-20,NA,NA
