"dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"Fingolimod (Fingolimod Hydrochloride)",20671,"Fingolimod","Fingolimod Hydrochloride","","","fingolimod (fingolimod hydrochloride)",FALSE,"fingolimod (fingolimod hydrochloride)"
"CILASTATIN (CILASTATIN SODIUM)",11321,"CILASTATIN","CILASTATIN SODIUM","","","cilastatin (cilastatin sodium)",FALSE,"cilastatin (cilastatin sodium)"
"ENSULIZOLE",12634,"ENSULIZOLE","ENSULIZOLE","","","ensulizole",FALSE,"ensulizole"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C",20530,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C","","","pneumococcal polysaccharide serotype 18c",FALSE,"pneumococcal polysaccharide serotype 18c"
"PERICIAZINE",13098,"PERICIAZINE","PERICIAZINE","","","periciazine",FALSE,"periciazine"
"INSULIN SEMI SYNTHETIC HUMAN",7312,"INSULIN SEMI SYNTHETIC HUMAN","INSULIN SEMI SYNTHETIC HUMAN","","","insulin semi synthetic human",FALSE,"insulin semi synthetic human"
"NEVIRAPINE",11796,"NEVIRAPINE","NEVIRAPINE","","","nevirapine",FALSE,"nevirapine"
"Perampanel",22049,"Perampanel","Perampanel","","","perampanel",FALSE,"perampanel"
"YELLOW FEVER VACCINE",7903,"YELLOW FEVER VACCINE","YELLOW FEVER VACCINE","","","yellow fever vaccine",FALSE,"yellow fever vaccine"
"Ponatinib (Ponatinib Hydrochloride)",22576,"Ponatinib","Ponatinib Hydrochloride","","","ponatinib (ponatinib hydrochloride)",FALSE,"ponatinib (ponatinib hydrochloride)"
"RUBELLA VIRUS VACCINE LIVE ATTENUATED (WISTAR RA27/3 STRAIN)",7897,"RUBELLA VIRUS VACCINE LIVE ATTENUATED","WISTAR RA27/3 STRAIN","","","rubella virus vaccine live attenuated (wistar ra27/3 strain)",FALSE,"rubella virus vaccine live attenuated (wistar ra27/3 strain)"
"CEFTRIAXONE (CEFTRIAXONE SODIUM)",11309,"CEFTRIAXONE","CEFTRIAXONE SODIUM","","","ceftriaxone (ceftriaxone sodium)",FALSE,"ceftriaxone (ceftriaxone sodium)"
"DOMIPHEN BROMIDE",5904,"DOMIPHEN BROMIDE","DOMIPHEN BROMIDE",NA,NA,NA,NA,NA
"SULFUR HEXAFLUORIDE",12131,"SULFUR HEXAFLUORIDE","SULFUR HEXAFLUORIDE","","","sulfur hexafluoride",FALSE,"sulfur hexafluoride"
"L-ARGININE",938,"L-ARGININE","L-ARGININE","","","l-arginine",FALSE,"l-arginine"
"ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",2372,"ALUMINUM HYDROXIDE-SUCROSE DRIED GEL","ALUMINUM HYDROXIDE-SUCROSE DRIED GEL",NA,NA,NA,NA,NA
"URSODIOL",952,"URSODIOL","URSODIOL","","","ursodiol",FALSE,"ursodiol"
"DOCETAXEL",157,"DOCETAXEL","DOCETAXEL","","","docetaxel",FALSE,"docetaxel"
"FOLIC ACID (SODIUM FOLATE)",4991,"FOLIC ACID","SODIUM FOLATE","Y","FOLIC ACID","folic acid",FALSE,"folic acid (sodium folate)"
"SULFUR",74,"SULFUR","SULFUR","","","sulfur",FALSE,"sulfur"
"PASIREOTIDE (Pasireotide Pamoate)",22149,"PASIREOTIDE","Pasireotide Pamoate","","","pasireotide (pasireotide pamoate)",FALSE,"pasireotide (pasireotide pamoate)"
"CEFOXITIN (CEFOXITIN SODIUM)",11254,"CEFOXITIN","CEFOXITIN SODIUM","","","cefoxitin (cefoxitin sodium)",FALSE,"cefoxitin (cefoxitin sodium)"
"NABUMETONE",946,"NABUMETONE","NABUMETONE","","","nabumetone",FALSE,"nabumetone"
"INSULIN ISOPHANE HUMAN BIOSYNTHETIC",7671,"INSULIN ISOPHANE HUMAN BIOSYNTHETIC","INSULIN ISOPHANE HUMAN BIOSYNTHETIC","Y","HUMAN INSULIN ISOPHANE","insulin isophane human",FALSE,"insulin isophane human"
"NORETHINDRONE ACETATE",7498,"NORETHINDRONE ACETATE","NORETHINDRONE ACETATE","Y","NORETHINDRONE","norethindrone",FALSE,"norethindrone acetate"
"ZOLMITRIPTAN",11793,"ZOLMITRIPTAN","ZOLMITRIPTAN","","","zolmitriptan",FALSE,"zolmitriptan"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A",20649,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A","","","pneumococcal polysaccharide serotype 10a",FALSE,"pneumococcal polysaccharide serotype 10a"
"KETAMINE (KETAMINE HYDROCHLORIDE)",11190,"KETAMINE","KETAMINE HYDROCHLORIDE","","","ketamine (ketamine hydrochloride)",FALSE,"ketamine (ketamine hydrochloride)"
"PYRANTEL (PYRANTEL PAMOATE)",11253,"PYRANTEL","PYRANTEL PAMOATE","","","pyrantel (pyrantel pamoate)",FALSE,"pyrantel (pyrantel pamoate)"
"IRON (FERROUS FUMARATE)",309,"IRON","FERROUS FUMARATE","","","iron (ferrous fumarate)",FALSE,"iron (ferrous fumarate)"
"LEUPROLIDE ACETATE",1756,"LEUPROLIDE ACETATE","LEUPROLIDE ACETATE","","","leuprolide acetate",FALSE,"leuprolide acetate"
"L-LYSINE",193,"L-LYSINE","L-LYSINE","","","l-lysine",FALSE,"l-lysine"
"L-ORNITHINE DIHYDROCHLORIDE",11709,"L-ORNITHINE DIHYDROCHLORIDE","L-ORNITHINE DIHYDROCHLORIDE","","","l-ornithine dihydrochloride",FALSE,"l-ornithine dihydrochloride"
"LIDOCAINE",9471,"LIDOCAINE","LIDOCAINE","","","lidocaine",FALSE,"lidocaine"
"EPHEDRINE SULFATE",8937,"EPHEDRINE SULFATE","EPHEDRINE SULFATE","","","ephedrine sulfate",FALSE,"ephedrine sulfate"
"LUTROPIN ALFA",15875,"LUTROPIN ALFA","LUTROPIN ALFA","","","lutropin alfa",FALSE,"lutropin alfa"
"TRIAZOLAM",2117,"TRIAZOLAM","TRIAZOLAM","","","triazolam",FALSE,"triazolam"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A",20650,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A","","","pneumococcal polysaccharide serotype 11a",FALSE,"pneumococcal polysaccharide serotype 11a"
"ENALAPRIL SODIUM (ENALAPRIL MALEATE)",20170,"ENALAPRIL SODIUM","ENALAPRIL MALEATE","Y","ENALAPRIL","enalapril",FALSE,"enalapril sodium (enalapril maleate)"
"HISTIDINE",10237,"HISTIDINE","HISTIDINE","","","histidine",FALSE,"histidine"
"PROCARBAZINE (PROCARBAZINE HYDROCHLORIDE)",11354,"PROCARBAZINE","PROCARBAZINE HYDROCHLORIDE","","","procarbazine (procarbazine hydrochloride)",FALSE,"procarbazine (procarbazine hydrochloride)"
"ESTRAMUSTINE PHOSPHATE SODIUM",2103,"ESTRAMUSTINE PHOSPHATE SODIUM","ESTRAMUSTINE PHOSPHATE SODIUM","","","estramustine phosphate sodium",FALSE,"estramustine phosphate sodium"
"DEXTROAMPHETAMINE SACCHARATE",8295,"DEXTROAMPHETAMINE SACCHARATE","DEXTROAMPHETAMINE SACCHARATE","Y","DEXTROAMPHETAMINE","dextroamphetamine",FALSE,"dextroamphetamine saccharate"
"MEGLUMINE IOXITALAMATE",271,"MEGLUMINE IOXITALAMATE","MEGLUMINE IOXITALAMATE","","","meglumine ioxitalamate",FALSE,"meglumine ioxitalamate"
"LAMIVUDINE",122,"LAMIVUDINE","LAMIVUDINE","","","lamivudine",FALSE,"lamivudine"
"CABAZITAXEL",20792,"CABAZITAXEL","CABAZITAXEL","","","cabazitaxel",FALSE,"cabazitaxel"
"TRABECTEDIN",20593,"TRABECTEDIN","TRABECTEDIN","","","trabectedin",FALSE,"trabectedin"
"ONDANSETRON (ONDANSETRON HYDROCHLORIDE)",11104,"ONDANSETRON","ONDANSETRON HYDROCHLORIDE","","","ondansetron (ondansetron hydrochloride)",FALSE,"ondansetron (ondansetron hydrochloride)"
"IXAZOMIB (IXAZOMIB CITRATE)",22810,"IXAZOMIB","IXAZOMIB CITRATE","","","ixazomib (ixazomib citrate)",FALSE,"ixazomib (ixazomib citrate)"
"ACYCLOVIR",1950,"ACYCLOVIR","ACYCLOVIR","Y","ACYCLOVIR","acyclovir",FALSE,"acyclovir"
"DISOPYRAMIDE",2191,"DISOPYRAMIDE","DISOPYRAMIDE","","","disopyramide",FALSE,"disopyramide"
"TRAZODONE HYDROCHLORIDE",1939,"TRAZODONE HYDROCHLORIDE","TRAZODONE HYDROCHLORIDE","Y","TRAZODONE","trazodone",FALSE,"trazodone hydrochloride"
"CETRIMIDE",2199,"CETRIMIDE","CETRIMIDE","","","cetrimide",FALSE,"cetrimide"
"HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE (PRP-T)",12127,"HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE","PRP-T","","","haemophilus influenzae type b-prp and tetanus toxoid conjugate (prp-t)",FALSE,"haemophilus influenzae type b-prp and tetanus toxoid conjugate (prp-t)"
"HEPATITIS A VACCINE, INACTIVATED",348,"HEPATITIS A VACCINE, INACTIVATED","HEPATITIS A VACCINE, INACTIVATED","","","hepatitis a vaccine, inactivated",FALSE,"hepatitis a vaccine, inactivated"
"CROMOLYN SODIUM",11447,"CROMOLYN SODIUM","CROMOLYN SODIUM","","","cromolyn sodium",FALSE,"cromolyn sodium"
"APROTININ (SYNTHETIC)",20461,"APROTININ","SYNTHETIC",NA,NA,NA,NA,NA
"OCTINOXATE",12049,"OCTINOXATE","OCTINOXATE","","","octinoxate",FALSE,"octinoxate"
"AbobotulinumtoxinA",21617,"AbobotulinumtoxinA","AbobotulinumtoxinA","","","abobotulinumtoxina",FALSE,"abobotulinumtoxina"
"DARBEPOETIN ALFA",12550,"DARBEPOETIN ALFA","DARBEPOETIN ALFA","","","darbepoetin alfa",FALSE,"darbepoetin alfa"
"ZIPRASIDONE (ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE)",11753,"ZIPRASIDONE","ZIPRASIDONE HYDROCHLORIDE MONOHYDRATE","","","ziprasidone (ziprasidone hydrochloride monohydrate)",TRUE,"ziprasidone (ziprasidone hydrochloride monohydrate)"
"PACLITAXEL (TAXUS CANADENSIS)",732,"PACLITAXEL","TAXUS CANADENSIS","","","paclitaxel (taxus canadensis)",FALSE,"paclitaxel (taxus canadensis)"
"VECURONIUM BROMIDE",1777,"VECURONIUM BROMIDE","VECURONIUM BROMIDE","","","vecuronium bromide",FALSE,"vecuronium bromide"
"CHOLINE",4955,"CHOLINE","CHOLINE","","","choline",FALSE,"choline"
"PALIVIZUMAB",12770,"PALIVIZUMAB","PALIVIZUMAB","","","palivizumab",FALSE,"palivizumab"
"THIOTHIXENE",10039,"THIOTHIXENE","THIOTHIXENE","","","thiothixene",FALSE,"thiothixene"
"SEALER PROTEIN (HUMAN)",20462,"SEALER PROTEIN","HUMAN",NA,NA,NA,NA,NA
"HYDROCORTISONE",7532,"HYDROCORTISONE","HYDROCORTISONE","Y","HYDROCORTISONE","hydrocortisone",FALSE,"hydrocortisone"
"LIRAGLUTIDE",20592,"LIRAGLUTIDE","LIRAGLUTIDE","","","liraglutide",FALSE,"liraglutide"
"KETOTIFEN FUMARATE",1944,"KETOTIFEN FUMARATE","KETOTIFEN FUMARATE","","","ketotifen fumarate",FALSE,"ketotifen fumarate"
"OXYCODONE HYDROCHLORIDE",6165,"OXYCODONE HYDROCHLORIDE","OXYCODONE HYDROCHLORIDE","Y","OXYCODONE","oxycodone",FALSE,"oxycodone hydrochloride"
"BESIFLOXACIN",20556,"BESIFLOXACIN","BESIFLOXACIN","","","besifloxacin",FALSE,"besifloxacin"
"MAGNESIUM HYDROXIDE",720,"MAGNESIUM HYDROXIDE","MAGNESIUM HYDROXIDE","","","magnesium hydroxide",FALSE,"magnesium hydroxide"
"RESLIZUMAB",22734,"RESLIZUMAB","RESLIZUMAB","","","reslizumab",FALSE,"reslizumab"
"LEUCINE",10239,"LEUCINE","LEUCINE","","","leucine",FALSE,"leucine"
"PAROXETINE (PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE)",11340,"PAROXETINE","PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE","Y","PAROXETINE","paroxetine",FALSE,"paroxetine (paroxetine hydrochloride)"
"ETOPOSIDE",1998,"ETOPOSIDE","ETOPOSIDE","","","etoposide",FALSE,"etoposide"
"PATENT BLUE SODIUM",2140,"PATENT BLUE SODIUM","PATENT BLUE SODIUM","","","patent blue sodium",FALSE,"patent blue sodium"
"EZETIMIBE",12754,"EZETIMIBE","EZETIMIBE","Y","EZETIMIBE","ezetimibe",FALSE,"ezetimibe"
"DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)",20301,"DABIGATRAN ETEXILATE","DABIGATRAN ETEXILATE MESILATE","Y","DABIGATRAN ETEXILATE","dabigatran",FALSE,"dabigatran etexilate (dabigatran etexilate mesilate)"
"Sevelamer Carbonate",20603,"Sevelamer Carbonate","Sevelamer Carbonate","","","sevelamer carbonate",FALSE,"sevelamer carbonate"
"SPIRAMYCIN",8589,"SPIRAMYCIN","SPIRAMYCIN","","","spiramycin",FALSE,"spiramycin"
"Influenza virus type B (Victoria)",22408,"Influenza virus type B","Victoria","","","influenza virus type b (victoria)",FALSE,"influenza virus type b (victoria)"
"L-LYSINE (LYSINE ACETATE)",193,"L-LYSINE","LYSINE ACETATE","","","l-lysine (lysine acetate)",FALSE,"l-lysine (lysine acetate)"
"NALTREXONE HYDROCHLORIDE",20300,"NALTREXONE HYDROCHLORIDE","NALTREXONE HYDROCHLORIDE","","","naltrexone hydrochloride",FALSE,"naltrexone hydrochloride"
"CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)",925,"CLODRONATE DISODIUM","CLODRONATE DISODIUM TETRAHYDRATE","","","clodronate disodium (clodronate disodium tetrahydrate)",TRUE,"clodronate disodium (clodronate disodium tetrahydrate)"
"FRAMYCETIN SULFATE",8626,"FRAMYCETIN SULFATE","FRAMYCETIN SULFATE","Y","FRAMYCETIN SULFATE","framycetin",FALSE,"framycetin sulfate"
"FLUTICASONE PROPIONATE",637,"FLUTICASONE PROPIONATE","FLUTICASONE PROPIONATE","Y","FLUTICASONE","fluticasone",FALSE,"fluticasone propionate"
"PANTOPRAZOLE (PANTOPRAZOLE MAGNESIUM)",11086,"PANTOPRAZOLE","PANTOPRAZOLE MAGNESIUM","Y","PANTOPRAZOLE","pantoprazole",FALSE,"pantoprazole (pantoprazole magnesium)"
"MENINGOCOCCAL GROUP A OLIGOSACCHARIDE",20580,"MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","","","meningococcal group a oligosaccharide",FALSE,"meningococcal group a oligosaccharide"
"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN",19708,"RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN","","","recombinant human papillomavirus type 11 l1 protein",FALSE,"recombinant human papillomavirus type 11 l1 protein"
"CUPRIC CHLORIDE",5097,"CUPRIC CHLORIDE","CUPRIC CHLORIDE","","","cupric chloride",FALSE,"cupric chloride"
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F",20544,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F","","","pneumococcal polysaccharide serotype 7f",FALSE,"pneumococcal polysaccharide serotype 7f"
"DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)",13359,"DELTA-9-TETRAHYDROCANNABINOL","CANNABIS SATIVA EXTRACT","","","delta-9-tetrahydrocannabinol (cannabis sativa extract)",FALSE,"delta-9-tetrahydrocannabinol (cannabis sativa extract)"
"INSULIN NPH HUMAN DNA ORIGIN",7311,"INSULIN NPH HUMAN DNA ORIGIN","INSULIN NPH HUMAN DNA ORIGIN","","","insulin nph human dna origin",FALSE,"insulin nph human dna origin"
"SAQUINAVIR (SAQUINAVIR MESYLATE)",11371,"SAQUINAVIR","SAQUINAVIR MESYLATE","","","saquinavir (saquinavir mesylate)",FALSE,"saquinavir (saquinavir mesylate)"
"QUETIAPINE (QUETIAPINE FUMARATE)",11718,"QUETIAPINE","QUETIAPINE FUMARATE","Y","QUETIAPINE","quetiapine",FALSE,"quetiapine (quetiapine fumarate)"
"HEXYLRESORCINOL",700,"HEXYLRESORCINOL","HEXYLRESORCINOL","","","hexylresorcinol",FALSE,"hexylresorcinol"
"Collagenase Clostridium Histolyticum",21378,"Collagenase Clostridium Histolyticum","Collagenase Clostridium Histolyticum",NA,NA,NA,NA,NA
"PROTEIN S",20132,"PROTEIN S","PROTEIN S","","","protein s",FALSE,"protein s"
"NIFEDIPINE",1966,"NIFEDIPINE","NIFEDIPINE","Y","NIFEDIPINE","nifedipine",FALSE,"nifedipine"
"RANIBIZUMAB",20146,"RANIBIZUMAB","RANIBIZUMAB","","","ranibizumab",FALSE,"ranibizumab"
"TELMISARTAN (TELMISARTAN SODIUM)",11907,"TELMISARTAN","TELMISARTAN SODIUM","Y","TELMISARTAN","telmisartan",FALSE,"telmisartan (telmisartan sodium)"
"ALOE",684,"ALOE","ALOE","","","aloe",FALSE,"aloe"
"GEMFIBROZIL",1904,"GEMFIBROZIL","GEMFIBROZIL","","","gemfibrozil",FALSE,"gemfibrozil"
"CITRIC ACID",10021,"CITRIC ACID","CITRIC ACID","","","citric acid",FALSE,"citric acid"
"LITHIUM (LITHIUM CITRATE)",1399,"LITHIUM","LITHIUM CITRATE","Y","LITHIUM","lithium (ion)",FALSE,"lithium (lithium citrate)"
"ALLOPURINOL",9388,"ALLOPURINOL","ALLOPURINOL","Y","ALLOPURINOL","allopurinol",FALSE,"allopurinol"
"Glycopyrronium (Glycopyrronium Bromide)",21481,"Glycopyrronium","Glycopyrronium Bromide","","","glycopyrronium (glycopyrronium bromide)",FALSE,"glycopyrronium (glycopyrronium bromide)"
"FLUNISOLIDE",2133,"FLUNISOLIDE","FLUNISOLIDE","","","flunisolide",FALSE,"flunisolide"
"CITRIC ACID MONOHYDRATE",17610,"CITRIC ACID MONOHYDRATE","CITRIC ACID MONOHYDRATE","","","citric acid monohydrate",TRUE,"citric acid monohydrate"
"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",6750,"CODEINE","CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate","Y","CODEINE","codeine",TRUE,"codeine (codeine, codeine sulfate)"
"SILVER SULFADIAZINE",8195,"SILVER SULFADIAZINE","SILVER SULFADIAZINE","","","silver sulfadiazine",FALSE,"silver sulfadiazine"
"ALTEPLASE",7297,"ALTEPLASE","ALTEPLASE","","","alteplase",FALSE,"alteplase"
"PREDNISONE",7566,"PREDNISONE","PREDNISONE","Y","PREDNISONE","prednisone",FALSE,"prednisone"
"NITRAZEPAM",9558,"NITRAZEPAM","NITRAZEPAM","","","nitrazepam",FALSE,"nitrazepam"
"PROTAMINE SULFATE",5881,"PROTAMINE SULFATE","PROTAMINE SULFATE","","","protamine sulfate",FALSE,"protamine sulfate"
"VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED (OKA/MERCK STRAIN)",20380,"VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED","OKA/MERCK STRAIN","","","varicella-zoster virus vaccine live attenuated (oka/merck strain)",FALSE,"varicella-zoster virus vaccine live attenuated (oka/merck strain)"
"LAMOTRIGINE",238,"LAMOTRIGINE","LAMOTRIGINE","Y","LAMOTRIGINE","lamotrigine",FALSE,"lamotrigine"
"STARCH",7238,"STARCH","STARCH","","","starch",FALSE,"starch"
"ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)",11707,"ANAGRELIDE","ANAGRELIDE HYDROCHLORIDE","","","anagrelide (anagrelide hydrochloride)",FALSE,"anagrelide (anagrelide hydrochloride)"
"PIPERAZINE",10006,"PIPERAZINE","PIPERAZINE","","","piperazine",FALSE,"piperazine"
"ALUMINUM CHLORIDE",5821,"ALUMINUM CHLORIDE","ALUMINUM CHLORIDE","","","aluminum chloride",FALSE,"aluminum chloride"
"FAMCICLOVIR",156,"FAMCICLOVIR","FAMCICLOVIR","","","famciclovir",FALSE,"famciclovir"
"RABIES IMMUNE GLOBULIN HUMAN",7918,"RABIES IMMUNE GLOBULIN HUMAN","RABIES IMMUNE GLOBULIN HUMAN","","","rabies immune globulin human",FALSE,"rabies immune globulin human"
"DEHYDROCHOLIC ACID",7287,"DEHYDROCHOLIC ACID","DEHYDROCHOLIC ACID",NA,NA,NA,NA,NA
"EXENATIDE",20660,"EXENATIDE","EXENATIDE","","","exenatide",FALSE,"exenatide"
"TRIAMCINOLONE DIACETATE",7587,"TRIAMCINOLONE DIACETATE","TRIAMCINOLONE DIACETATE",NA,NA,NA,NA,NA
"DIGOXIN IMMUNE FAB (OVINE)",7676,"DIGOXIN IMMUNE FAB","OVINE","","","digoxin immune fab (ovine)",FALSE,"digoxin immune fab (ovine)"
"SILODOSIN",20659,"SILODOSIN","SILODOSIN",NA,NA,NA,NA,NA
"MISOPROSTOL",1859,"MISOPROSTOL","MISOPROSTOL","Y","MISOPROSTOL","misoprostol",FALSE,"misoprostol"
"PIPERACILLIN (PIPERACILLIN SODIUM)",11241,"PIPERACILLIN","PIPERACILLIN SODIUM","","","piperacillin (piperacillin sodium)",FALSE,"piperacillin (piperacillin sodium)"
"TAZOBACTAM (TAZOBACTAM SODIUM)",11242,"TAZOBACTAM","TAZOBACTAM SODIUM","","","tazobactam (tazobactam sodium)",FALSE,"tazobactam (tazobactam sodium)"
"CLARITHROMYCIN",8318,"CLARITHROMYCIN","CLARITHROMYCIN","Y","CLARITHROMYCIN","clarithromycin",FALSE,"clarithromycin"
"MUMPS VIRUS VACCINE LIVE ATTENUATED (JERYL LYNN STRAIN)",11271,"MUMPS VIRUS VACCINE LIVE ATTENUATED","JERYL LYNN STRAIN","","","mumps virus vaccine live attenuated (jeryl lynn strain)",FALSE,"mumps virus vaccine live attenuated (jeryl lynn strain)"
"ONDANSETRON (ONDANSETRON HYDROCHLORIDE DIHYDRATE)",11104,"ONDANSETRON","ONDANSETRON HYDROCHLORIDE DIHYDRATE","","","ondansetron (ondansetron hydrochloride dihydrate)",TRUE,"ondansetron (ondansetron hydrochloride dihydrate)"
"Secukinumab",22582,"Secukinumab","Secukinumab","","","secukinumab",FALSE,"secukinumab"
"PSEUDOEPHEDRINE HYDROCHLORIDE",6492,"PSEUDOEPHEDRINE HYDROCHLORIDE","PSEUDOEPHEDRINE HYDROCHLORIDE","","","pseudoephedrine hydrochloride",FALSE,"pseudoephedrine hydrochloride"
"SINCALIDE",2111,"SINCALIDE","SINCALIDE","","","sincalide",FALSE,"sincalide"
"Sodium phenylbutyrate",22565,"Sodium phenylbutyrate","Sodium phenylbutyrate","","","sodium phenylbutyrate",FALSE,"sodium phenylbutyrate"
"DEFEROXAMINE MESYLATE",2446,"DEFEROXAMINE MESYLATE","DEFEROXAMINE MESYLATE","","","deferoxamine mesylate",FALSE,"deferoxamine mesylate"
"SODIUM THIOSULFATE",8910,"SODIUM THIOSULFATE","SODIUM THIOSULFATE","","","sodium thiosulfate",FALSE,"sodium thiosulfate"
"ALLERGENIC EXTRACTS POLLENS",13214,"ALLERGENIC EXTRACTS POLLENS","ALLERGENIC EXTRACTS POLLENS","","","allergenic extracts pollens",FALSE,"allergenic extracts pollens"
"METOLAZONE",8133,"METOLAZONE","METOLAZONE","","","metolazone",FALSE,"metolazone"
"INDIGO CARMINE",6214,"INDIGO CARMINE","INDIGO CARMINE","","","indigo carmine",FALSE,"indigo carmine"
"MAGNESIUM OXIDE",778,"MAGNESIUM OXIDE","MAGNESIUM OXIDE","","","magnesium oxide",FALSE,"magnesium oxide"
"CLOFARABINE",20504,"CLOFARABINE","CLOFARABINE","","","clofarabine",FALSE,"clofarabine"
"AZATHIOPRINE (AZATHIOPRINE SODIUM)",10128,"AZATHIOPRINE","AZATHIOPRINE SODIUM",NA,NA,NA,NA,NA
"VITAMIN E (D-ALPHA TOCOPHERYL ACETATE)",701,"VITAMIN E","D-ALPHA TOCOPHERYL ACETATE","","","vitamin E (d-alpha tocopheryl acetate)",FALSE,"vitamin E (d-alpha tocopheryl acetate)"
"HAEMAGGLUTININ-STRAIN B (Victoria)",22250,"HAEMAGGLUTININ-STRAIN B","Victoria","","","haemagglutinin-strain b (victoria)",FALSE,"haemagglutinin-strain b (victoria)"
"IOPAMIDOL",8042,"IOPAMIDOL","IOPAMIDOL","","","iopamidol",FALSE,"iopamidol"
"BILE SALTS",3671,"BILE SALTS","BILE SALTS",NA,NA,NA,NA,NA
"ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)",8618,"ERYTHROMYCIN","ERYTHROMYCIN ETHYLSUCCINATE","Y","ERYTHROMYCIN","erythromycin",FALSE,"erythromycin (erythromycin ethylsuccinate)"
"PIMECROLIMUS",12077,"PIMECROLIMUS","PIMECROLIMUS","","","pimecrolimus",FALSE,"pimecrolimus"
