"pharmaceutical_form","route_of_administration"
"MOUTHWASH/GARGLE","ORAL"
"CAPSULE (IMMEDIATE RELEASE)","ORAL"
"SOLUTION","INTRASYNOVIAL"
"GEL (CONTROLLED-RELEASE)","SUBGINGIVAL"
"SWAB","TOPICAL"
"INSERT (EXTENDED-RELEASE)","INTRAUTERINE"
"METERED-DOSE AEROSOL","SUBLINGUAL"
"METERED-DOSE AEROSOL","ORAL"
"AEROSOL, METERED DOSE","INHALATION"
"WIPE","TOPICAL"
"LOTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"GRANULES","ORAL"
"POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR"
"KIT","INTRAMUSCULAR"
"STRIP","ORAL"
"POWDER (EXTENDED RELEASE)","SUBGINGIVAL"
"SOLUTION","TOPICAL (HOUSEHOLD)"
"GEL","INTRAINTESTINAL (UPPER)"
"GEL","TOPICAL (HOUSEHOLD)"
"WIPE","TOPICAL (HOUSEHOLD)"
"TABLET (DELAYED AND EXTENDED RELEASE)","ORAL"
"GRANULES FOR SUSPENSION, DELAYED RELEASE","ORAL"
"LIQUID","TOPICAL (HOUSEHOLD)"
"VAGINAL TABLET","VAGINAL"
"VAGINAL TABLET, EFFERVESCENT","VAGINAL"
"AEROSOL, FOAM","TOPICAL"
"SPRAY","TOPICAL (COMMERCIAL)"
"SOLUTION","INTRACARDIAC"
"CAPSULE (DELAYED RELEASE)","NASOGASTRIC"
"TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL"
"IMPLANT","INTRAVITREAL"
"SUSPENSION","INTRAVITREAL"
"CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"CAPSULE (IMMEDIATE AND DELAYED RELEASE)","ORAL"
"KIT","TOPICAL"
"TABLET (EFFERVESCENT)","SUBLINGUAL"
"TABLET (EFFERVESCENT)","BUCCAL"
"SOLUTION","INTRATRACHEAL"
"SOLUTION","TOPICAL (COMMERCIAL)"
"TABLET (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"POWDER (METERED DOSE)","INHALATION"
"PASTE","TOPICAL"
"KIT","BUCCAL"
"TABLET","BUCCAL"
"PATCH","TOPICAL"
"GEL","NASAL"
"SOLUTION","INTRA-ARTICULAR"
