"ccdd","mp_code","drug_identification_number","product_status","product_status_effective_time","brand_name","company_name","mp_formal_name","en_display","fr_display"
FALSE,"00770957","00770957","MARKETED",1989-12-31,"PRAMOX HC CREAM","DERMTEK PHARMA INC","PRAMOX HC CREAM (hydrocortisone 1 % and pramoxine hydrochloride 1 % cutaneous cream) DERMTEK PHARMA INC",NA,NA
FALSE,"00800813","00800813","MARKETED",1989-12-31,"DM SYRUP","TEVA CANADA LIMITED","DM SYRUP (dextromethorphan hydrobromide 15 mg per 5 mL syrup) TEVA CANADA LIMITED",NA,NA
FALSE,"00807435","00807435","MARKETED",1989-12-31,"OPTIMYXIN PLUS OTO-OPHT GTTE","SANDOZ CANADA INCORPORATED","OPTIMYXIN PLUS OTO-OPHT GTTE (gramicidin 0.025 mg per mL and neomycin (neomycin sulfate) 1.75 mg per mL and polymyxin b (polymyxin b sulfate) 10000 unit per mL ophthalmic/otic drops) SANDOZ CANADA INCORPORATED",NA,NA
FALSE,"00816078","00816078","MARKETED",1989-12-31,"VITAMIN B1","SANDOZ CANADA INCORPORATED","VITAMIN B1 (thiamine hydrochloride 100 mg per mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA
FALSE,"00816108","00816108","MARKETED",1989-12-31,"METHYLENE BLUE INJECTION USP","SANDOZ CANADA INCORPORATED","METHYLENE BLUE INJECTION USP (methylene blue 10 mg per mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA
FALSE,"00774936","00774936","MARKETED",1988-12-31,"ACID CONCENTRATE 2116","BAXTER CORPORATION","ACID CONCENTRATE 2116 (acetic acid 10.8 g per l and calcium chloride 6.24 g per l and dextrose 67.54 g per l and magnesium chloride 1.61 g per l and sodium chloride 263 g per l solution for haemodialysis) BAXTER CORPORATION",NA,NA
FALSE,"00774944","00774944","MARKETED",1988-12-31,"ACID CONCENTRATE 2117","BAXTER CORPORATION","ACID CONCENTRATE 2117 (acetic acid 10.8 g per l and calcium chloride 6.24 g per l and dextrose 67.54 g per l and magnesium chloride 1.61 g per l and potassium chloride 6.71 g per l and sodium chloride 263 g per l solution for haemodialysis) BAXTER CORPORATION",NA,NA
TRUE,"00852384","00852384","MARKETED",1989-12-31,"TRANSDERM-NITRO 0.4","NOVARTIS PHARMACEUTICALS CANADA INC","TRANSDERM-NITRO 0.4 (nitroglycerin 50 mg per 20 sq cm transdermal patch) NOVARTIS PHARMACEUTICALS CANADA INC",NA,NA
TRUE,"00725250","00725250","MARKETED",1989-12-31,"TEVA-DOXYCYCLINE","TEVA CANADA LIMITED","TEVA-DOXYCYCLINE (doxycycline (doxycycline hyclate) 100 mg oral capsule) TEVA CANADA LIMITED",NA,NA
FALSE,"00786047","00786047","MARKETED",1989-12-31,"JAA PYRAL 35 TABLET 35MG","JAAPHARM CANADA INC.","JAA PYRAL 35 TABLET 35MG (pyrantel (pyrantel pamoate) 35 mg oral tablet) JAAPHARM CANADA INC.",NA,NA
FALSE,"00842664","00842664","MARKETED",1989-12-31,"KETOPROFEN-E","AA PHARMA INC","KETOPROFEN-E (ketoprofen 100 mg gastro-resistant tablet) AA PHARMA INC",NA,NA
FALSE,"00790435","00790435","MARKETED",1989-12-31,"KETOPROFEN-E","AA PHARMA INC","KETOPROFEN-E (ketoprofen 50 mg gastro-resistant tablet) AA PHARMA INC",NA,NA
FALSE,"00790427","00790427","MARKETED",1989-12-31,"KETOPROFEN","AA PHARMA INC","KETOPROFEN (ketoprofen 50 mg oral capsule) AA PHARMA INC",NA,NA
FALSE,"00799807","00799807","MARKETED",1989-12-31,"DIANEAL PD 101 CAPD SOLUTION W 4.25% DEXTROSE","BAXTER CORPORATION","DIANEAL PD 101 CAPD SOLUTION W 4.25% DEXTROSE (calcium chloride 23.9 mg per 100 mL and dextrose 4.25 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL solution for haemodialysis) BAXTER CORPORATION",NA,NA
FALSE,"00799815","00799815","MARKETED",1989-12-31,"DIANEAL PD 101 CAPD SOLUTION W 1.5% DEXTROSE","BAXTER CORPORATION","DIANEAL PD 101 CAPD SOLUTION W 1.5% DEXTROSE (calcium chloride 23.9 mg per 100 mL and dextrose 1.5 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL solution for haemodialysis) BAXTER CORPORATION",NA,NA
FALSE,"00807788","00807788","MARKETED",1989-12-31,"BLEPHAMIDE OPHT SUSPENSION","ALLERGAN INC","BLEPHAMIDE OPHT SUSPENSION (prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic drops) ALLERGAN INC",NA,NA
TRUE,"00786535","00786535","MARKETED",1989-12-31,"DILAUDID","PURDUE PHARMA","DILAUDID (hydromorphone hydrochloride 1 mg per mL oral liquid) PURDUE PHARMA",NA,NA
FALSE,"00788422","00788422","MARKETED",1989-12-31,"BAXEDIN LIQ 0.05%","OMEGA LABORATORIES LTD","BAXEDIN LIQ 0.05% (chlorhexidine gluconate 0.05 % cutaneous liquid) OMEGA LABORATORIES LTD",NA,NA
FALSE,"00843792","00843792","MARKETED",1989-12-31,"NEOCITRAN EXTRA STRENGTH COLD & CONGESTION","GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","NEOCITRAN EXTRA STRENGTH COLD & CONGESTION (acetaminophen 650 mg per pck and phenylephrine hydrochloride 10 mg per pck oral powder) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.",NA,NA
FALSE,"00472468","00472468","MARKETED",1989-12-31,"APO ASA TAB 325MG","APOTEX INC","APO ASA TAB 325MG (acetylsalicylic acid 325 mg oral tablet) APOTEX INC",NA,NA
TRUE,"00862975","00862975","MARKETED",1989-12-31,"DIPROLENE","MERCK CANADA INC","DIPROLENE (betamethasone (betamethasone dipropionate) 0.05 % lotion) MERCK CANADA INC",NA,NA
FALSE,"00623709","00623709","MARKETED",1989-12-31,"STOMAAX PLUS","LABORATOIRE ATLAS INC","STOMAAX PLUS (aluminum hydroxide 200 mg per 5 mL and dimethicone 25 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL oral suspension) LABORATOIRE ATLAS INC",NA,NA
FALSE,"00095494","00095494","MARKETED",1970-12-31,"ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE","PHARMETICS (2011) INC","ACETYLSALICYLIC ACID, CAFFEINE AND 8MG CODEINE PHOSPHATE (acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) PHARMETICS (2011) INC",NA,NA
TRUE,"00441643","00441643","MARKETED",1984-12-31,"APO-IBUPROFEN TAB 200MG","APOTEX INC","APO-IBUPROFEN TAB 200MG (ibuprofen 200 mg oral tablet) APOTEX INC",NA,NA
FALSE,"00021520","00021520","MARKETED",1971-12-31,"NOVO-PRAMINE TAB 50MG","NOVOPHARM LIMITED","NOVO-PRAMINE TAB 50MG (imipramine hydrochloride 50 mg oral tablet) NOVOPHARM LIMITED",NA,NA
TRUE,"02126710","02126710","MARKETED",1994-12-31,"BIAXIN BID","BGP PHARMA ULC","BIAXIN BID (clarithromycin 500 mg oral tablet) BGP PHARMA ULC",NA,NA
FALSE,"00021504","00021504","MARKETED",1971-12-31,"NOVO-PRAMINE TAB 10MG","NOVOPHARM LIMITED","NOVO-PRAMINE TAB 10MG (imipramine hydrochloride 10 mg oral tablet) NOVOPHARM LIMITED",NA,NA
TRUE,"00816086","00816086","MARKETED",1990-12-31,"FOLIC ACID INJECTION USP","SANDOZ CANADA INCORPORATED","FOLIC ACID INJECTION USP (folic acid 50 mg per 10 mL and folic acid 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED",NA,NA
FALSE,"00745790","00745790","MARKETED",1989-12-31,"WHITE PETROLEUM JELLY 100% BP","H.J. SUTTON INDUSTRIES LTD.","WHITE PETROLEUM JELLY 100% BP (petrolatum 100 % cutaneous cream) H.J. SUTTON INDUSTRIES LTD.",NA,NA
FALSE,"00809055","00809055","MARKETED",1990-12-31,"TEVA-DOCUSATE CALCIUM","TEVA CANADA LIMITED","TEVA-DOCUSATE CALCIUM (docusate calcium 240 mg oral capsule) TEVA CANADA LIMITED",NA,NA
FALSE,"00836273","00836273","MARKETED",1989-12-31,"LUPRON DEPOT","ABBVIE CORPORATION","LUPRON DEPOT (leuprolide acetate 7.5 mg per vial powder for prolonged-release suspension for injection) ABBVIE CORPORATION",NA,NA
FALSE,"00021512","00021512","MARKETED",1971-12-31,"NOVO-PRAMINE TAB 25MG","NOVOPHARM LIMITED","NOVO-PRAMINE TAB 25MG (imipramine hydrochloride 25 mg oral tablet) NOVOPHARM LIMITED",NA,NA
TRUE,"00021555","00021555","MARKETED",1971-12-31,"NOVO-NIDAZOL TAB 250MG","NOVOPHARM LIMITED","NOVO-NIDAZOL TAB 250MG (metronidazole 250 mg oral tablet) NOVOPHARM LIMITED",NA,NA
TRUE,"00022772","00022772","MARKETED",1951-12-31,"DILANTIN - 30MG","PFIZER CANADA INC","DILANTIN - 30MG (phenytoin sodium 30 mg oral capsule) PFIZER CANADA INC",NA,NA
TRUE,"00022780","00022780","MARKETED",1951-12-31,"DILANTIN - 100MG","PFIZER CANADA INC","DILANTIN - 100MG (phenytoin sodium 100 mg oral capsule) PFIZER CANADA INC",NA,NA
TRUE,"00874256","00874256","MARKETED",1990-12-31,"APO-DOXY TABS 100MG","APOTEX INC","APO-DOXY TABS 100MG (doxycycline (doxycycline hyclate) 100 mg oral tablet) APOTEX INC",NA,NA
TRUE,"00860808","00860808","MARKETED",1989-12-31,"RATIO-SALBUTAMOL","TEVA CANADA LIMITED","RATIO-SALBUTAMOL (salbutamol (salbutamol sulfate) 5 mg per mL inhalation solution 10 mL bottle) TEVA CANADA LIMITED",NA,NA
TRUE,"00862924","00862924","MARKETED",1990-12-31,"TEVA-DILTIAZEM","TEVA CANADA LIMITED","TEVA-DILTIAZEM (diltiazem hydrochloride 30 mg oral tablet) TEVA CANADA LIMITED",NA,NA
TRUE,"00862932","00862932","MARKETED",1990-12-31,"TEVA-DILTIAZEM","TEVA CANADA LIMITED","TEVA-DILTIAZEM (diltiazem hydrochloride 60 mg oral tablet) TEVA CANADA LIMITED",NA,NA
TRUE,"00584991","00584991","MARKETED",1990-12-31,"PMS-METHYLPHENIDATE","PHARMASCIENCE INC","PMS-METHYLPHENIDATE (methylphenidate hydrochloride 10 mg oral tablet) PHARMASCIENCE INC",NA,NA
TRUE,"00585009","00585009","MARKETED",1990-12-31,"PMS-METHYLPHENIDATE","PHARMASCIENCE INC","PMS-METHYLPHENIDATE (methylphenidate hydrochloride 20 mg oral tablet) PHARMASCIENCE INC",NA,NA
TRUE,"00789739","00789739","MARKETED",1990-12-31,"SUPEUDOL 5","SANDOZ CANADA INCORPORATED","SUPEUDOL 5 (oxycodone hydrochloride 5 mg oral tablet) SANDOZ CANADA INCORPORATED",NA,NA
TRUE,"00779121","00779121","MARKETED",1989-12-31,"NYADERM ORAL SUS 100000UNIT/ML USP","TARO PHARMACEUTICALS INC","NYADERM ORAL SUS 100000UNIT/ML USP (nystatin 100000 unit per mL oral suspension) TARO PHARMACEUTICALS INC",NA,NA
FALSE,"00060704","00060704","MARKETED",1990-12-31,"DEXTROSE 5% AND 0.2% SOD CHLORIDE INJ","BAXTER CORPORATION","DEXTROSE 5% AND 0.2% SOD CHLORIDE INJ (dextrose 5 g per 100 mL and sodium chloride 200 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00060739","00060739","MARKETED",1990-12-31,"DEXTROSE 5% AND 0.45% SOD CHLORIDE INJ","BAXTER CORPORATION","DEXTROSE 5% AND 0.45% SOD CHLORIDE INJ (dextrose 5 g per 100 mL and sodium chloride 450 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00060747","00060747","MARKETED",1990-12-31,"DEXTROSE 5% AND 0.9% SOD CHLORIDE INJ","BAXTER CORPORATION","DEXTROSE 5% AND 0.9% SOD CHLORIDE INJ (dextrose 5 g per 100 mL and sodium chloride 900 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00060755","00060755","MARKETED",1990-12-31,"DEXTROSE 10% AND 0.9% SOD CHLORIDE INJ","BAXTER CORPORATION","DEXTROSE 10% AND 0.9% SOD CHLORIDE INJ (dextrose 10 g per 100 mL and sodium chloride 900 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00060186","00060186","MARKETED",1990-12-31,"SODIUM CHLORIDE 0.45% INJ","BAXTER CORPORATION","SODIUM CHLORIDE 0.45% INJ (sodium chloride 450 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00792691","00792691","MARKETED",1990-12-31,"PDP-ACETAMINOPHEN SOLUTION 160MG/5ML","PENDOPHARM DIVISION OF DE PHARMASCIENCE INC","PDP-ACETAMINOPHEN SOLUTION 160MG/5ML (acetaminophen 32 mg per mL oral solution) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA
FALSE,"00792713","00792713","MARKETED",1990-12-31,"PDP-ACETAMINOPHEN SOLUTION 80MG/5ML","PENDOPHARM DIVISION OF DE PHARMASCIENCE INC","PDP-ACETAMINOPHEN SOLUTION 80MG/5ML (acetaminophen 16 mg per mL oral solution) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC",NA,NA
TRUE,"00705799","00705799","MARKETED",1986-12-31,"STATEX DPS 50MG/ML","PALADIN LABS INC","STATEX DPS 50MG/ML (morphine sulfate 50 mg per mL oral drops) PALADIN LABS INC",NA,NA
FALSE,"00792705","00792705","MARKETED",1990-12-31,"PMS-DIPHENHYDRAMINE ELIXIR 2.5MG/ML","PHARMASCIENCE INC","PMS-DIPHENHYDRAMINE ELIXIR 2.5MG/ML (diphenhydramine hydrochloride 2.5 mg per mL oral solution) PHARMASCIENCE INC",NA,NA
FALSE,"00755575","00755575","MARKETED",1990-12-31,"MODECATE CONCENTRATE","BRISTOL-MYERS SQUIBB CANADA","MODECATE CONCENTRATE (fluphenazine decanoate 100 mg per mL solution for injection) BRISTOL-MYERS SQUIBB CANADA",NA,NA
FALSE,"00860786","00860786","MARKETED",1990-12-31,"PREPIDIL GEL","PFIZER CANADA INC","PREPIDIL GEL (dinoprostone 0.5 mg per 2.5 mL endocervical gel) PFIZER CANADA INC",NA,NA
FALSE,"00784400","00784400","MARKETED",1989-12-31,"APO-AMILZIDE TAB","APOTEX INC","APO-AMILZIDE TAB (amiloride hydrochloride 5 mg and hydrochlorothiazide 50 mg oral tablet) APOTEX INC",NA,NA
TRUE,"00842826","00842826","MARKETED",1989-12-31,"APO-METOCLOP TAB 5MG","APOTEX INC","APO-METOCLOP TAB 5MG (metoclopramide hydrochloride 5 mg oral tablet) APOTEX INC",NA,NA
TRUE,"00842834","00842834","MARKETED",1989-12-31,"APO-METOCLOP TAB 10MG","APOTEX INC","APO-METOCLOP TAB 10MG (metoclopramide hydrochloride 10 mg oral tablet) APOTEX INC",NA,NA
FALSE,"00060313","00060313","MARKETED",1990-12-31,"ANTICOAGULANT SOD CITRATE SOLTN 4GM/100ML","BAXTER CORPORATION","ANTICOAGULANT SOD CITRATE SOLTN 4GM/100ML (sodium citrate 4 g per 100 mL NA) BAXTER CORPORATION",NA,NA
FALSE,"00804789","00804789","MARKETED",1989-12-31,"POTASSIUM PHOSPHATES","SANDOZ CANADA INCORPORATED","POTASSIUM PHOSPHATES (potassium phosphate dibasic 236 mg per mL and potassium phosphate monobasic 224 mg per mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA
FALSE,"00060348","00060348","MARKETED",1990-12-31,"DEXTROSE 5% INJ 5GM/100ML USP","BAXTER CORPORATION","DEXTROSE 5% INJ 5GM/100ML USP (dextrose 5 g per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00799793","00799793","MARKETED",1990-12-31,"DIANEAL PD 101 CAPD SOLUTION W 0.5% DEXTROSE","BAXTER CORPORATION","DIANEAL PD 101 CAPD SOLUTION W 0.5% DEXTROSE (calcium chloride 23.9 mg per 100 mL and dextrose 500 mg per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL solution for haemodialysis) BAXTER CORPORATION",NA,NA
FALSE,"00060712","00060712","MARKETED",1990-12-31,"DEXTROSE 3.3% AND 0.3% SOD CHLORIDE INJ","BAXTER CORPORATION","DEXTROSE 3.3% AND 0.3% SOD CHLORIDE INJ (dextrose 3.3 g per 100 mL and sodium chloride 300 mg per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00060437","00060437","MARKETED",1989-12-31,"OSMITROL 20% INJ USP","BAXTER CORPORATION","OSMITROL 20% INJ USP (mannitol 20 g per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00060410","00060410","MARKETED",1989-12-31,"OSMITROL 10% INJ USP","BAXTER CORPORATION","OSMITROL 10% INJ USP (mannitol 10 g per 100 mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00828602","00828602","MARKETED",1990-12-31,"LIDOCAINE HCL 0.4% AND 5% DEXTROSE INJ","BAXTER CORPORATION","LIDOCAINE HCL 0.4% AND 5% DEXTROSE INJ (dextrose 50 mg per mL and lidocaine hydrochloride 4 mg per mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00828750","00828750","MARKETED",1990-12-31,"HEPARIN SOD AND 0.9% SOD CHLORIDE INJ","BAXTER CORPORATION","HEPARIN SOD AND 0.9% SOD CHLORIDE INJ (heparin (heparin sodium) 2 unit per mL and sodium chloride 9 mg per mL solution for injection) BAXTER CORPORATION",NA,NA
FALSE,"00868965","00868965","MARKETED",1990-12-31,"SUPRAX","SANOFI-AVENTIS CANADA INC","SUPRAX (cefixime 100 mg per 5 mL oral suspension) SANOFI-AVENTIS CANADA INC",NA,NA
FALSE,"00868981","00868981","MARKETED",1990-12-31,"SUPRAX","SANOFI-AVENTIS CANADA INC","SUPRAX (cefixime 400 mg oral tablet) SANOFI-AVENTIS CANADA INC",NA,NA
FALSE,"00453811","00453811","MARKETED",1987-12-31,"HEPARIN LEO INJ 1000UNIT/ML","LEO PHARMA INC","HEPARIN LEO INJ 1000UNIT/ML (heparin sodium 1000 unit per mL solution for injection) LEO PHARMA INC",NA,NA
FALSE,"00782696","00782696","MARKETED",1988-12-18,"CLARITIN","BAYER INC CONSUMER CARE","CLARITIN (loratadine 10 mg oral tablet) BAYER INC CONSUMER CARE",NA,NA
TRUE,"00846465","00846465","MARKETED",1989-12-31,"APO-SULFATRIM ORAL SUSPENSION","APOTEX INC","APO-SULFATRIM ORAL SUSPENSION (sulfamethoxazole 40 mg per 5 mL and trimethoprim 8 mg per 5 mL oral suspension) APOTEX INC",NA,NA
FALSE,"00873195","00873195","MARKETED",1990-12-31,"CETRIMIDE TINCTURE 0.5%","CANADIAN CUSTOM PACKAGING COMPANY","CETRIMIDE TINCTURE 0.5% (cetrimonium bromide 0.5 % NA) CANADIAN CUSTOM PACKAGING COMPANY",NA,NA
FALSE,"00869961","00869961","MARKETED",1990-12-31,"MESTINON TAB 60MG USP","VALEANT CANADA LP/VALEANT CANADA S.E.C.","MESTINON TAB 60MG USP (pyridostigmine bromide 60 mg oral tablet) VALEANT CANADA LP/VALEANT CANADA S.E.C.",NA,NA
FALSE,"00842044","00842044","MARKETED",1990-12-31,"NOVO-DOCUSATE CALCIUM","TEVA CANADA LIMITED","NOVO-DOCUSATE CALCIUM (docusate calcium 240 mg oral capsule) TEVA CANADA LIMITED",NA,NA
FALSE,"00848417","00848417","MARKETED",1990-12-31,"PMS-DOCUSATE SODIUM","PHARMASCIENCE INC","PMS-DOCUSATE SODIUM (docusate sodium 50 mg per mL syrup) PHARMASCIENCE INC",NA,NA
FALSE,"00792594","00792594","MARKETED",1988-12-31,"TETRACYCLINE 1% ONGUENT OPHTHALMIC","LABORATOIRES STERIGEN INC","TETRACYCLINE 1% ONGUENT OPHTHALMIC (tetracycline hydrochloride 10 mg per g ophthalmic ointment) LABORATOIRES STERIGEN INC",NA,NA
FALSE,"00070254","00070254","MARKETED",1980-11-04,"CORA CAINE","CORALITE DENTAL PRODUCTS","CORA CAINE (benzocaine 23 % and methyl heptyl colamino formylmethyl pyridinium chl 0.1 % oromucosal paste) CORALITE DENTAL PRODUCTS",NA,NA
FALSE,"00812404","00812404","MARKETED",1989-12-31,"APO-TAMOX TAB 10MG","APOTEX INC","APO-TAMOX TAB 10MG (tamoxifen (tamoxifen citrate) 10 mg oral tablet) APOTEX INC",NA,NA
FALSE,"00786616","00786616","MARKETED",1990-12-31,"BRICANYL TURBUHALER","ASTRAZENECA CANADA INC","BRICANYL TURBUHALER (terbutaline sulfate 0.5 mg per actuation inhalation powder) ASTRAZENECA CANADA INC",NA,NA
TRUE,"00851752","00851752","MARKETED",1990-12-31,"PULMICORT TURBUHALER 200 MCG/DOSE","ASTRAZENECA CANADA INC","PULMICORT TURBUHALER 200 MCG/DOSE (budesonide 200 mcg per actuation NA) ASTRAZENECA CANADA INC",NA,NA
TRUE,"00852074","00852074","MARKETED",1990-12-31,"PULMICORT TURBUHALER 100 MCG/DOSE","ASTRAZENECA CANADA INC","PULMICORT TURBUHALER 100 MCG/DOSE (budesonide 100 mcg per actuation NA) ASTRAZENECA CANADA INC",NA,NA
FALSE,"00832111","00832111","MARKETED",1990-12-31,"DEXIDIN LIQ 4%","LABORATOIRE ATLAS INC","DEXIDIN LIQ 4% (chlorhexidine gluconate 4 % cutaneous liquid) LABORATOIRE ATLAS INC",NA,NA
FALSE,"00832138","00832138","MARKETED",1990-12-31,"DEXIDIN 2 DETERGENT","LABORATOIRE ATLAS INC","DEXIDIN 2 DETERGENT (chlorhexidine gluconate 2 % cutaneous liquid) LABORATOIRE ATLAS INC",NA,NA
TRUE,"00614262","00614262","MARKETED",1990-12-31,"NITROJECT INJ 1MG/ML","OMEGA LABORATORIES LTD","NITROJECT INJ 1MG/ML (nitroglycerin 10 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD",NA,NA
TRUE,"00778869","00778869","MARKETED",1988-12-31,"NITROJECT INJ 5MG/ML","OMEGA LABORATORIES LTD","NITROJECT INJ 5MG/ML (nitroglycerin 50 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD",NA,NA
TRUE,"00873454","00873454","MARKETED",1990-12-31,"ERYC DELAYED-RELEASE CAPSULES","PFIZER CANADA INC","ERYC DELAYED-RELEASE CAPSULES (erythromycin 333 mg gastro-resistant capsule) PFIZER CANADA INC",NA,NA
FALSE,"00739162","00739162","MARKETED",1990-12-31,"PMS-BETHANECHOL CHLORIDE TAB 25MG","PHARMASCIENCE INC","PMS-BETHANECHOL CHLORIDE TAB 25MG (bethanechol chloride 25 mg oral tablet) PHARMASCIENCE INC",NA,NA
FALSE,"00759171","00759171","MARKETED",1990-12-31,"PMS-BETHANECHOL CHLORIDE TAB 10MG","PHARMASCIENCE INC","PMS-BETHANECHOL CHLORIDE TAB 10MG (bethanechol chloride 10 mg oral tablet) PHARMASCIENCE INC",NA,NA
