"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f"
40001,"solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","134","SOLUTION","Solution"
40015,"emulsion for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","55","POWDER","Poudre"
40017,"powder for solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale, Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","7-49","EPIDURAL, INTRAVENOUS","Épidurale, Intraveineuse","34","LIQUID","Liquide"
40001,"solution for injection","7-49","EPIDURAL, INTRAVENOUS","Épidurale, Intraveineuse","134","SOLUTION","Solution"
40001,"solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution"
40015,"emulsion for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion"
40001,"solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide"
40016,"powder for suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre"
40017,"powder for solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","7-60","EPIDURAL, RETROBULBAR","Épidurale, Rétrobulbaire","134","SOLUTION","Solution"
40021,"pressurised inhalation","29","INHALATION","Inhalation","162","AEROSOL, METERED DOSE","Aérosol, dose mesurée"
40022,"inhalation powder capsule","29","INHALATION","Inhalation","5","CAPSULE","Capsule"
40023,"medicinal gas","29","INHALATION","Inhalation","25","GAS","Gaz"
40024,"inhalation vapour (liquid)","29","INHALATION","Inhalation","34","LIQUID","Liquide"
40021,"pressurised inhalation","29","INHALATION","Inhalation","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée"
40025,"inhalation powder","29","INHALATION","Inhalation","1-55","METERED-DOSE AEROSOL, POWDER","Aérosol à dose mesurée, Poudre"
40025,"inhalation powder","29","INHALATION","Inhalation","55","POWDER","Poudre"
40026,"powder for nebuliser solution","29","INHALATION","Inhalation","56","POWDER FOR SOLUTION","Poudre pour solution"
40025,"inhalation powder","29","INHALATION","Inhalation","153","POWDER (METERED DOSE)","Poudre (à dose mesurée)"
40027,"inhalation solution","29","INHALATION","Inhalation","134","SOLUTION","Solution"
40028,"nebuliser suspension","29","INHALATION","Inhalation","79","SUSPENSION","Suspension"
40026,"powder for nebuliser solution","29","INHALATION","Inhalation","2","AEROSOL","Aérosol"
40027,"inhalation solution","29","INHALATION","Inhalation","88","TINCTURE","Teinture"
40029,"nasal spray","29-53","INHALATION, NASAL","Inhalation, Nasale","34","LIQUID","Liquide"
40030,"nasal powder","29-53","INHALATION, NASAL","Inhalation, Nasale","55","POWDER","Poudre"
40021,"pressurised inhalation","29-56","INHALATION, ORAL","Inhalation, Orale","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée"
40025,"inhalation powder","29-56","INHALATION, ORAL","Inhalation, Orale","55","POWDER","Poudre"
40031,"nebuliser solution","29-56","INHALATION, ORAL","Inhalation, Orale","134","SOLUTION","Solution"
40027,"inhalation solution","29-70","INHALATION, TOPICAL","Inhalation, Topique","88","TINCTURE","Teinture"
40017,"powder for solution for injection","39","INSTILLATION","Instillation","56","POWDER FOR SOLUTION","Poudre pour solution"
40032,"solution for cardioplegia","39","INSTILLATION","Instillation","134","SOLUTION","Solution"
40001,"solution for injection","11","INTRA-AMNIOTIC","Intra-amniotique","134","SOLUTION","Solution"
40001,"solution for injection","12","INTRA-ARTERIAL",NA,"34","LIQUID","Liquide"
40017,"powder for solution for injection","12","INTRA-ARTERIAL",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","12","INTRA-ARTERIAL",NA,"134","SOLUTION","Solution"
40015,"emulsion for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"19","EMULSION","Émulsion"
40001,"solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"34","LIQUID","Liquide"
40016,"powder for suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"55","POWDER","Poudre"
40017,"powder for solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"134","SOLUTION","Solution"
40019,"suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","34","LIQUID","Liquide"
40017,"powder for solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","134","SOLUTION","Solution"
40015,"emulsion for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","55","POWDER","Poudre"
40016,"powder for suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","134","SOLUTION","Solution"
40015,"emulsion for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","19","EMULSION","Émulsion"
40001,"solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","34","LIQUID","Liquide"
40016,"powder for suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","55","POWDER","Poudre"
40017,"powder for solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","134","SOLUTION","Solution"
40015,"emulsion for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","19","EMULSION","Émulsion"
40001,"solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","34","LIQUID","Liquide"
40016,"powder for suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","55","POWDER","Poudre"
40017,"powder for solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle, Intraveineuse","34","LIQUID","Liquide"
40001,"solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle, Intraveineuse","134","SOLUTION","Solution"
40017,"powder for solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","10","INTRA-ARTICULAR","Intra-articulaire","34","LIQUID","Liquide"
40001,"solution for injection","10","INTRA-ARTICULAR","Intra-articulaire","134","SOLUTION","Solution"
40019,"suspension for injection","10","INTRA-ARTICULAR","Intra-articulaire","79","SUSPENSION","Suspension"
40001,"solution for injection","10-13","INTRA-ARTICULAR, INTRABURSAL","Intra-articulaire, Intrabursique","134","SOLUTION","Solution"
40019,"suspension for injection","10-13","INTRA-ARTICULAR, INTRABURSAL","Intra-articulaire, Intrabursique","79","SUSPENSION","Suspension"
40019,"suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","79","SUSPENSION","Suspension"
40015,"emulsion for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","19","EMULSION","Émulsion"
40001,"solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","34","LIQUID","Liquide"
40016,"powder for suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","55","POWDER","Poudre"
40017,"powder for solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution"
40018,"powder for prolonged-release suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","134","SOLUTION","Solution"
40020,"prolonged-release suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40019,"suspension for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","79","SUSPENSION","Suspension"
40001,"solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","34","LIQUID","Liquide"
40017,"powder for solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","134","SOLUTION","Solution"
40019,"suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","79","SUSPENSION","Suspension"
40015,"emulsion for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","55","POWDER","Poudre"
40017,"powder for solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","134","SOLUTION","Solution"
40020,"prolonged-release suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40015,"emulsion for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"19","EMULSION","Émulsion"
40001,"solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"34","LIQUID","Liquide"
40016,"powder for suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"55","POWDER","Poudre"
40017,"powder for solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"134","SOLUTION","Solution"
40019,"suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR",NA,"134","SOLUTION","Solution"
40015,"emulsion for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR",NA,"19","EMULSION","Émulsion"
40001,"solution for injection","10-21-22","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR",NA,"34","LIQUID","Liquide"
40016,"powder for suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR",NA,"55","POWDER","Poudre"
40017,"powder for solution for injection","10-21-22","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40019,"suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","79","SUSPENSION","Suspension"
40016,"powder for suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40020,"prolonged-release suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40015,"emulsion for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"19","EMULSION","Émulsion"
40001,"solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"34","LIQUID","Liquide"
40016,"powder for suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"55","POWDER","Poudre"
40017,"powder for solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
