ccdd	top250name	dpd_ingredient	ing_stem	hydrate	ntp_ing
		ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)	ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)	FALSE	ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)
		ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL	ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL	FALSE	ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL
		AMANTADINE HYDROCHLORIDE	AMANTADINE HYDROCHLORIDE	FALSE	AMANTADINE HYDROCHLORIDE
		AMBRISENTAN	AMBRISENTAN	FALSE	AMBRISENTAN
		AMCINONIDE	AMCINONIDE	FALSE	AMCINONIDE
		AMIKACIN (AMIKACIN SULFATE)	AMIKACIN (AMIKACIN SULFATE)	FALSE	AMIKACIN (AMIKACIN SULFATE)
		AMILORIDE HYDROCHLORIDE	AMILORIDE HYDROCHLORIDE	FALSE	AMILORIDE HYDROCHLORIDE
		AMINOLEVULINIC ACID HYDROCHLORIDE	AMINOLEVULINIC ACID HYDROCHLORIDE	FALSE	AMINOLEVULINIC ACID HYDROCHLORIDE
		AMINOPHYLLINE	AMINOPHYLLINE	FALSE	AMINOPHYLLINE
Y	AMIODARONE	AMIODARONE HYDROCHLORIDE	AMIODARONE	FALSE	AMIODARONE HYDROCHLORIDE
Y	AMITRIPTYLINE	AMITRIPTYLINE HYDROCHLORIDE	AMITRIPTYLINE	FALSE	AMITRIPTYLINE HYDROCHLORIDE
Y	AMLODIPINE	AMLODIPINE (AMLODIPINE BESYLATE)	AMLODIPINE	FALSE	AMLODIPINE (AMLODIPINE BESYLATE)
		AMMONIUM CHLORIDE	AMMONIUM CHLORIDE	FALSE	AMMONIUM CHLORIDE
Y	AMOXICILLIN	AMOXICILLIN	AMOXICILLIN	FALSE	AMOXICILLIN
Y	AMOXICILLIN	AMOXICILLIN (AMOXICILLIN TRIHYDRATE)	AMOXICILLIN	TRUE	AMOXICILLIN
Y	AMPHETAMINE	AMPHETAMINE ASPARTATE MONOHYDRATE	AMPHETAMINE	TRUE	AMPHETAMINE ASPARTATE
Y	AMPHETAMINE	AMPHETAMINE SULFATE	AMPHETAMINE	FALSE	AMPHETAMINE SULFATE
		AMPHOTERICIN B	AMPHOTERICIN B	FALSE	AMPHOTERICIN B
		AMPICILLIN	AMPICILLIN	FALSE	AMPICILLIN
		AMPICILLIN (AMPICILLIN SODIUM)	AMPICILLIN (AMPICILLIN SODIUM)	FALSE	AMPICILLIN (AMPICILLIN SODIUM)
		AMSACRINE	AMSACRINE	FALSE	AMSACRINE
		AMYLASE	AMYLASE	FALSE	AMYLASE
		AMYLMETACRESOL	AMYLMETACRESOL	FALSE	AMYLMETACRESOL
		ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)	ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)	TRUE	ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)
		ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)	ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)	FALSE	ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)
		ANAKINRA	ANAKINRA	FALSE	ANAKINRA
		ANASTROZOLE	ANASTROZOLE	FALSE	ANASTROZOLE
		ANETHOLE TRITHIONE	ANETHOLE TRITHIONE	FALSE	ANETHOLE TRITHIONE
		ANIDULAFUNGIN	ANIDULAFUNGIN	FALSE	ANIDULAFUNGIN
		ANTAZOLINE PHOSPHATE	ANTAZOLINE PHOSPHATE	FALSE	ANTAZOLINE PHOSPHATE
		ANTIHEMOPHILIC FACTOR (HUMAN)	ANTIHEMOPHILIC FACTOR (HUMAN)	FALSE	ANTIHEMOPHILIC FACTOR (HUMAN)
		ANTIHEMOPHILIC FACTOR (RECOMBINANT)	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	FALSE	ANTIHEMOPHILIC FACTOR (RECOMBINANT)
		ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE	ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE	FALSE	ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE
		ANTI-INHIBITOR COAGULANT COMPLEX	ANTI-INHIBITOR COAGULANT COMPLEX	FALSE	ANTI-INHIBITOR COAGULANT COMPLEX
		ANTIPYRINE	ANTIPYRINE	FALSE	ANTIPYRINE
		ANTITHROMBIN III (HUMAN)	ANTITHROMBIN III (HUMAN)	FALSE	ANTITHROMBIN III (HUMAN)
		ANTI-THYMOCYTE GLOBULIN (RABBIT)	ANTI-THYMOCYTE GLOBULIN (RABBIT)	FALSE	ANTI-THYMOCYTE GLOBULIN (RABBIT)
		APIS MELLIFERA VENOM PROTEIN EXTRACT	APIS MELLIFERA VENOM PROTEIN EXTRACT	FALSE	APIS MELLIFERA VENOM PROTEIN EXTRACT
		Apixaban	Apixaban	FALSE	Apixaban
		APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)	APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)	FALSE	APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)
		APREMILAST	APREMILAST	FALSE	APREMILAST
		APREPITANT	APREPITANT	FALSE	APREPITANT
		APROTININ (BOVINE)	APROTININ (BOVINE)	FALSE	APROTININ (BOVINE)
		ARGININE	ARGININE	FALSE	ARGININE
		ARGININE HYDROCHLORIDE	ARGININE HYDROCHLORIDE	FALSE	ARGININE HYDROCHLORIDE
Y	ARIPIPRAZOLE	ARIPIPRAZOLE	ARIPIPRAZOLE	FALSE	ARIPIPRAZOLE
		ARSENIC TRIOXIDE	ARSENIC TRIOXIDE	FALSE	ARSENIC TRIOXIDE
		ARTICAINE HYDROCHLORIDE	ARTICAINE HYDROCHLORIDE	FALSE	ARTICAINE HYDROCHLORIDE
		Asenapine (Asenapine maleate)	Asenapine (Asenapine maleate)	FALSE	Asenapine (Asenapine maleate)
		ASFOTASE ALFA	ASFOTASE ALFA	FALSE	ASFOTASE ALFA
		ASUNAPREVIR	ASUNAPREVIR	FALSE	ASUNAPREVIR
		ATAZANAVIR (ATAZANAVIR SULFATE)	ATAZANAVIR (ATAZANAVIR SULFATE)	FALSE	ATAZANAVIR (ATAZANAVIR SULFATE)
Y	ATENOLOL	ATENOLOL	ATENOLOL	FALSE	ATENOLOL
		ATEZOLIZUMAB	ATEZOLIZUMAB	FALSE	ATEZOLIZUMAB
Y	ATOMOXETINE	ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE)	ATOMOXETINE	FALSE	ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE)
Y	ATORVASTATIN	ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE)	ATORVASTATIN	FALSE	ATORVASTATIN (ATORVASTATIN CALCIUM)
Y	ATORVASTATIN	ATORVASTATIN (ATORVASTATIN CALCIUM)	ATORVASTATIN	FALSE	ATORVASTATIN (ATORVASTATIN CALCIUM)
		ATOVAQUONE	ATOVAQUONE	FALSE	ATOVAQUONE
		ATRACURIUM BESYLATE	ATRACURIUM BESYLATE	FALSE	ATRACURIUM BESYLATE
		ATROPINE SULFATE	ATROPINE SULFATE	FALSE	ATROPINE SULFATE
		AURANOFIN	AURANOFIN	FALSE	AURANOFIN
		AVOBENZONE	AVOBENZONE	FALSE	AVOBENZONE
		Axitinib	Axitinib	FALSE	Axitinib
		AZACITIDINE	AZACITIDINE	FALSE	AZACITIDINE
Y	AZATHIOPRINE	AZATHIOPRINE	AZATHIOPRINE	FALSE	AZATHIOPRINE
		AZELAIC ACID	AZELAIC ACID	FALSE	AZELAIC ACID
		azelastine hydrochloride	azelastine hydrochloride	FALSE	azelastine hydrochloride
		Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)	Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)	FALSE	Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)
Y	AZITHROMYCIN	AZITHROMYCIN	AZITHROMYCIN	FALSE	AZITHROMYCIN
Y	AZITHROMYCIN	AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)	AZITHROMYCIN	TRUE	AZITHROMYCIN
Y	AZITHROMYCIN	AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE)	AZITHROMYCIN	FALSE	AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE)
Y	AZITHROMYCIN	AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE)	AZITHROMYCIN	TRUE	AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE)
Y	AZITHROMYCIN	AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)	AZITHROMYCIN	TRUE	AZITHROMYCIN (AZITHROMYCIN HEMIETHANOLATE)
Y	AZITHROMYCIN	AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)	AZITHROMYCIN	TRUE	AZITHROMYCIN
		AZTREONAM	AZTREONAM	FALSE	AZTREONAM
		BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE	BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE	FALSE	BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE
		BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT	BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT	FALSE	BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT
		BACITRACIN	BACITRACIN	FALSE	BACITRACIN
		BACITRACIN (BACITRACIN ZINC)	BACITRACIN (BACITRACIN ZINC)	FALSE	BACITRACIN (BACITRACIN ZINC)
		BACITRACIN ZINC	BACITRACIN ZINC	FALSE	BACITRACIN ZINC
Y	BACLOFEN	BACLOFEN	BACLOFEN	FALSE	BACLOFEN
		BASILIXIMAB	BASILIXIMAB	FALSE	BASILIXIMAB
		BAZEDOXIFENE (BAZEDOXIFENE ACETATE)	BAZEDOXIFENE (BAZEDOXIFENE ACETATE)	FALSE	BAZEDOXIFENE (BAZEDOXIFENE ACETATE)
Y	BECLOMETHASONE	BECLOMETHASONE DIPROPIONATE	BECLOMETHASONE	FALSE	BECLOMETHASONE DIPROPIONATE
		BELIMUMAB	BELIMUMAB	FALSE	BELIMUMAB
		BELLADONNA	BELLADONNA	FALSE	BELLADONNA
		BEMOTRIZINOL	BEMOTRIZINOL	FALSE	BEMOTRIZINOL
		BENAZEPRIL HYDROCHLORIDE	BENAZEPRIL HYDROCHLORIDE	FALSE	BENAZEPRIL HYDROCHLORIDE
		BENDAMUSTINE HYDROCHLORIDE	BENDAMUSTINE HYDROCHLORIDE	FALSE	BENDAMUSTINE HYDROCHLORIDE
		BENOXINATE HYDROCHLORIDE	BENOXINATE HYDROCHLORIDE	FALSE	BENOXINATE HYDROCHLORIDE
		BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)	BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)	FALSE	BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)
Y	BENZALKONIUM	BENZALKONIUM CHLORIDE	BENZALKONIUM	FALSE	BENZALKONIUM CHLORIDE
		BENZETHONIUM CHLORIDE	BENZETHONIUM CHLORIDE	FALSE	BENZETHONIUM CHLORIDE
		BENZOCAINE	BENZOCAINE	FALSE	BENZOCAINE
		BENZOIN	BENZOIN	FALSE	BENZOIN
Y	BENZOYL PEROXIDE	BENZOYL PEROXIDE	BENZOYL PEROXIDE	FALSE	BENZOYL PEROXIDE
Y	BENZTROPINE	BENZTROPINE MESYLATE	BENZTROPINE	FALSE	BENZTROPINE MESYLATE
		BENZYDAMINE HYDROCHLORIDE	BENZYDAMINE HYDROCHLORIDE	FALSE	BENZYDAMINE HYDROCHLORIDE
		BENZYLPENICILLOYL-POLYLYSINE	BENZYLPENICILLOYL-POLYLYSINE	FALSE	BENZYLPENICILLOYL-POLYLYSINE
		BEPOTASTINE BESILATE	BEPOTASTINE BESILATE	FALSE	BEPOTASTINE BESILATE
		BERACTANT	BERACTANT	FALSE	BERACTANT
		BESIFLOXACIN	BESIFLOXACIN	FALSE	BESIFLOXACIN
		BETA-CAROTENE	BETA-CAROTENE	FALSE	BETA-CAROTENE
Y	BETAHISTINE	BETAHISTINE HYDROCHLORIDE	BETAHISTINE	FALSE	BETAHISTINE HYDROCHLORIDE
		BETAINE	BETAINE	FALSE	BETAINE
Y	BETAMETHASONE	BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)	BETAMETHASONE (BASE)	FALSE	BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)
Y	BETAMETHASONE	BETAMETHASONE (BETAMETHASONE DIPROPIONATE)	BETAMETHASONE (BASE)	FALSE	BETAMETHASONE (BETAMETHASONE DIPROPIONATE)
Y	BETAMETHASONE	BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)	BETAMETHASONE (BASE)	FALSE	BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)
Y	BETAMETHASONE	BETAMETHASONE (BETAMETHASONE VALERATE)	BETAMETHASONE (BASE)	FALSE	BETAMETHASONE (BETAMETHASONE VALERATE)
Y	BETAMETHASONE	BETAMETHASONE ACETATE	BETAMETHASONE ACETATE	FALSE	BETAMETHASONE ACETATE
Y	BETAMETHASONE	BETAMETHASONE DIPROPIONATE	BETAMETHASONE DIPROPIONATE	FALSE	BETAMETHASONE DIPROPIONATE
Y	BETAMETHASONE	BETAMETHASONE VALERATE	BETAMETHASONE VALERATE	FALSE	BETAMETHASONE VALERATE
		BETAXOLOL (BETAXOLOL HYDROCHLORIDE)	BETAXOLOL (BETAXOLOL HYDROCHLORIDE)	FALSE	BETAXOLOL (BETAXOLOL HYDROCHLORIDE)
		BETHANECHOL CHLORIDE	BETHANECHOL CHLORIDE	FALSE	BETHANECHOL CHLORIDE
		BEVACIZUMAB	BEVACIZUMAB	FALSE	BEVACIZUMAB
		BEZAFIBRATE	BEZAFIBRATE	FALSE	BEZAFIBRATE
		BICALUTAMIDE	BICALUTAMIDE	FALSE	BICALUTAMIDE
		Bilastine	Bilastine	FALSE	Bilastine
Y	BIMATOPROST	BIMATOPROST	BIMATOPROST	FALSE	BIMATOPROST
		BIOTIN	BIOTIN	FALSE	BIOTIN
		BISACODYL	BISACODYL	FALSE	BISACODYL
		BISMUTH DIPROPYLACETATE	BISMUTH DIPROPYLACETATE	FALSE	BISMUTH DIPROPYLACETATE
		BISMUTH SUBGALLATE	BISMUTH SUBGALLATE	FALSE	BISMUTH SUBGALLATE
		BISMUTH SUBSALICYLATE	BISMUTH SUBSALICYLATE	FALSE	BISMUTH SUBSALICYLATE
		BISOCTRIZOLE	BISOCTRIZOLE	FALSE	BISOCTRIZOLE
Y	BISOPROLOL	BISOPROLOL FUMARATE	BISOPROLOL	FALSE	BISOPROLOL FUMARATE
		BLEOMYCIN (BLEOMYCIN SULFATE)	BLEOMYCIN (BLEOMYCIN SULFATE)	FALSE	BLEOMYCIN (BLEOMYCIN SULFATE)
		BLINATUMOMAB	BLINATUMOMAB	FALSE	BLINATUMOMAB
		BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)	BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)	FALSE	BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)
		BOSENTAN (BOSENTAN MONOHYDRATE)	BOSENTAN (BOSENTAN MONOHYDRATE)	TRUE	BOSENTAN (BOSENTAN MONOHYDRATE)
		Bosutinib	Bosutinib	FALSE	Bosutinib
		BRENTUXIMAB VEDOTIN	BRENTUXIMAB VEDOTIN	FALSE	BRENTUXIMAB VEDOTIN
		BRETYLIUM TOSYLATE	BRETYLIUM TOSYLATE	FALSE	BRETYLIUM TOSYLATE
		BREXPIPRAZOLE	BREXPIPRAZOLE	FALSE	BREXPIPRAZOLE
		BRIMONIDINE (BRIMONIDINE TARTRATE)	BRIMONIDINE (BRIMONIDINE TARTRATE)	FALSE	BRIMONIDINE (BRIMONIDINE TARTRATE)
		BRIMONIDINE TARTRATE	BRIMONIDINE TARTRATE	FALSE	BRIMONIDINE TARTRATE
		BRIVARACETAM	BRIVARACETAM	FALSE	BRIVARACETAM
Y	BROMAZEPAM	BROMAZEPAM	BROMAZEPAM	FALSE	BROMAZEPAM
		Bromfenac (Bromfenac sodium sesquihydrate)	Bromfenac (Bromfenac sodium sesquihydrate)	TRUE	Bromfenac (Bromfenac sodium sesquihydrate)
		BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)	BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)	FALSE	BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)
		BROMPHENIRAMINE MALEATE	BROMPHENIRAMINE MALEATE	FALSE	BROMPHENIRAMINE MALEATE
		BRONOPOL	BRONOPOL	FALSE	BRONOPOL
Y	BUDESONIDE	BUDESONIDE	BUDESONIDE	FALSE	BUDESONIDE
		BUFFER SOLUTION	BUFFER SOLUTION	FALSE	BUFFER SOLUTION
		BUMETANIDE	BUMETANIDE	FALSE	BUMETANIDE
		BUPIVACAINE HYDROCHLORIDE	BUPIVACAINE HYDROCHLORIDE	FALSE	BUPIVACAINE HYDROCHLORIDE
Y	BUPRENORPHINE	BUPRENORPHINE	BUPRENORPHINE	FALSE	BUPRENORPHINE
Y	BUPRENORPHINE	BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE)	BUPRENORPHINE	FALSE	BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE)
Y	BUPROPION	BUPROPION HYDROCHLORIDE	BUPROPION	FALSE	BUPROPION HYDROCHLORIDE
		BUSERELIN (BUSERELIN ACETATE)	BUSERELIN (BUSERELIN ACETATE)	FALSE	BUSERELIN (BUSERELIN ACETATE)
		BUSPIRONE HYDROCHLORIDE	BUSPIRONE HYDROCHLORIDE	FALSE	BUSPIRONE HYDROCHLORIDE
		BUSULFAN	BUSULFAN	FALSE	BUSULFAN
		BUTALBITAL	BUTALBITAL	FALSE	BUTALBITAL
		BUTAMBEN	BUTAMBEN	FALSE	BUTAMBEN
		BUTANEDIOL	BUTANEDIOL	FALSE	BUTANEDIOL
		BUTORPHANOL TARTRATE	BUTORPHANOL TARTRATE	FALSE	BUTORPHANOL TARTRATE
		C1 Esterase Inhibitor (Human)	C1 Esterase Inhibitor (Human)	FALSE	C1 Esterase Inhibitor (Human)
		CABAZITAXEL	CABAZITAXEL	FALSE	CABAZITAXEL
		CABERGOLINE	CABERGOLINE	FALSE	CABERGOLINE
Y	CAFFEINE	CAFFEINE	CAFFEINE	FALSE	CAFFEINE
Y	CAFFEINE	CAFFEINE CITRATE	CAFFEINE	FALSE	CAFFEINE CITRATE
		CALAMINE	CALAMINE	FALSE	CALAMINE
		CALCIPOTRIOL	CALCIPOTRIOL	FALSE	CALCIPOTRIOL
		CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)	CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)	TRUE	CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)
		CALCITONIN (SALMON SYNTHETIC)	CALCITONIN (SALMON SYNTHETIC)	FALSE	CALCITONIN (SALMON SYNTHETIC)
Y	CALCITRIOL	CALCITRIOL	CALCITRIOL	FALSE	CALCITRIOL
		CALCIUM (CALCIUM CARBONATE)	CALCIUM (CALCIUM CARBONATE)	FALSE	CALCIUM (CALCIUM CARBONATE)
		CALCIUM ACETATE	CALCIUM ACETATE	FALSE	CALCIUM ACETATE
		CALCIUM CARBONATE	CALCIUM CARBONATE	FALSE	CALCIUM CARBONATE
		CALCIUM CHLORIDE	CALCIUM CHLORIDE	FALSE	CALCIUM CHLORIDE
		CALCIUM GLUCONATE	CALCIUM GLUCONATE	FALSE	CALCIUM GLUCONATE
		CALCIUM GLYCEROPHOSPHATE	CALCIUM GLYCEROPHOSPHATE	FALSE	CALCIUM GLYCEROPHOSPHATE
		CALCIUM LEVULINATE	CALCIUM LEVULINATE	FALSE	CALCIUM LEVULINATE
		CALCIUM POLYSTYRENE SULFONATE	CALCIUM POLYSTYRENE SULFONATE	FALSE	CALCIUM POLYSTYRENE SULFONATE
		CALCIUM SACCHARATE	CALCIUM SACCHARATE	FALSE	CALCIUM SACCHARATE
		CAMPHOR	CAMPHOR	FALSE	CAMPHOR
		Canagliflozin	Canagliflozin	FALSE	Canagliflozin
		CANAKINUMAB	CANAKINUMAB	FALSE	CANAKINUMAB
Y	CANDESARTAN CILEXETIL	CANDESARTAN CILEXETIL	CANDESARTAN	FALSE	CANDESARTAN CILEXETIL
		CANNABIDIOL (CANNABIS SATIVA EXTRACT)	CANNABIDIOL (CANNABIS SATIVA EXTRACT)	FALSE	CANNABIDIOL (CANNABIS SATIVA EXTRACT)
		CANTHARIDIN	CANTHARIDIN	FALSE	CANTHARIDIN
		CAPECITABINE	CAPECITABINE	FALSE	CAPECITABINE
