CCDD Flag,Top 250 Ingred - no multiples,DPD Medicinal Ingredient (E),Ingredient Stem,Ref / Comments
,,BETAXOLOL (BETAXOLOL HYDROCHLORIDE),BETAXOLOL (BETAXOLOL HYDROCHLORIDE),
,,BETHANECHOL CHLORIDE,BETHANECHOL CHLORIDE,
,,BEVACIZUMAB,BEVACIZUMAB,
,,BEZAFIBRATE,BEZAFIBRATE,
,,BICALUTAMIDE,BICALUTAMIDE,
Y,BIMATOPROST,BIMATOPROST,BIMATOPROST,
,,BIOTIN,BIOTIN,
,,BISACODYL,BISACODYL,
,,BISMUTH DIPROPYLACETATE,BISMUTH DIPROPYLACETATE,
,,BISMUTH SUBGALLATE,BISMUTH SUBGALLATE,
,,BISMUTH SUBSALICYLATE,BISMUTH SUBSALICYLATE,
,,BISOCTRIZOLE,BISOCTRIZOLE,
Y,BISOPROLOL,BISOPROLOL FUMARATE,BISOPROLOL,
,,BLEOMYCIN (BLEOMYCIN SULFATE),BLEOMYCIN (BLEOMYCIN SULFATE),
,,BLINATUMOMAB,BLINATUMOMAB,
,,BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER),BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER),
,,BOSENTAN (BOSENTAN MONOHYDRATE),BOSENTAN (BOSENTAN MONOHYDRATE),
,,BRENTUXIMAB VEDOTIN,BRENTUXIMAB VEDOTIN,
,,BRETYLIUM TOSYLATE,BRETYLIUM TOSYLATE,
,,BREXPIPRAZOLE,BREXPIPRAZOLE,
,,BRIMONIDINE (BRIMONIDINE TARTRATE),BRIMONIDINE (BRIMONIDINE TARTRATE),
,,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,
,,BRIVARACETAM,BRIVARACETAM,
Y,BROMAZEPAM,BROMAZEPAM,BROMAZEPAM,
,,BROMOCRIPTINE (BROMOCRIPTINE MESYLATE),BROMOCRIPTINE (BROMOCRIPTINE MESYLATE),
,,BROMPHENIRAMINE MALEATE,BROMPHENIRAMINE MALEATE,
,,BRONOPOL,BRONOPOL,
Y,BUDESONIDE,BUDESONIDE,BUDESONIDE,
,,BUFFER SOLUTION,BUFFER SOLUTION,
,,BUMETANIDE,BUMETANIDE,
,,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,
Y,BUPRENORPHINE,BUPRENORPHINE,BUPRENORPHINE,
,,BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE),BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE),
Y,BUPROPION,BUPROPION HYDROCHLORIDE,BUPROPION,
,,BUSERELIN (BUSERELIN ACETATE),BUSERELIN (BUSERELIN ACETATE),
,,BUSPIRONE HYDROCHLORIDE,BUSPIRONE HYDROCHLORIDE,
,,BUSULFAN,BUSULFAN,
,,BUTALBITAL,BUTALBITAL,
,,BUTAMBEN,BUTAMBEN,
,,BUTANEDIOL,BUTANEDIOL,
,,BUTORPHANOL TARTRATE,BUTORPHANOL TARTRATE,
,,Bilastine,Bilastine,
,,Bosutinib,Bosutinib,
,,Bromfenac (Bromfenac sodium sesquihydrate),Bromfenac (Bromfenac sodium sesquihydrate),
,,C1 Esterase Inhibitor (Human),C1 Esterase Inhibitor (Human),
,,CABAZITAXEL,CABAZITAXEL,
,,CABERGOLINE,CABERGOLINE,
Y,CAFFEINE,CAFFEINE,CAFFEINE,
Y,CAFFEINE,CAFFEINE CITRATE,CAFFEINE,
,,CALAMINE,CALAMINE,
,,CALCIPOTRIOL,CALCIPOTRIOL,
,,CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE),CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE),
,,CALCITONIN (SALMON SYNTHETIC),CALCITONIN (SALMON SYNTHETIC),
Y,CALCITRIOL,CALCITRIOL,CALCITRIOL,
,,CALCIUM (CALCIUM CARBONATE),CALCIUM (CALCIUM CARBONATE),
,,CALCIUM ACETATE,CALCIUM ACETATE,
,,CALCIUM CARBONATE,CALCIUM CARBONATE,
,,CALCIUM CHLORIDE,CALCIUM CHLORIDE,
,,CALCIUM GLUCONATE,CALCIUM GLUCONATE,
,,CALCIUM GLYCEROPHOSPHATE,CALCIUM GLYCEROPHOSPHATE,
,,CALCIUM LEVULINATE,CALCIUM LEVULINATE,
,,CALCIUM POLYSTYRENE SULFONATE,CALCIUM POLYSTYRENE SULFONATE,
,,CALCIUM SACCHARATE,CALCIUM SACCHARATE,
,,CAMPHOR,CAMPHOR,
,,CANAKINUMAB,CANAKINUMAB,
Y,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,CANDESARTAN,
,,CANNABIDIOL (CANNABIS SATIVA EXTRACT),CANNABIDIOL (CANNABIS SATIVA EXTRACT),
,,CANTHARIDIN,CANTHARIDIN,
,,CAPECITABINE,CAPECITABINE,
,,CAPTOPRIL,CAPTOPRIL,
,,CARBACHOL,CARBACHOL,
Y,CARBAMAZEPINE,CARBAMAZEPINE,CARBAMAZEPINE,
,,CARBETOCIN,CARBETOCIN,
Y,CARBIDOPA,CARBIDOPA,CARBIDOPA,
Y,CARBIDOPA,CARBIDOPA (CARBIDOPA MONOHYDRATE),CARBIDOPA,
,,CARBON DIOXIDE,CARBON DIOXIDE,
,,CARBON MONOXIDE,CARBON MONOXIDE,
,,CARBOPLATIN,CARBOPLATIN,
,,CARBOPROST (CARBOPROST TROMETHAMINE),CARBOPROST (CARBOPROST TROMETHAMINE),
,,CARFILZOMIB,CARFILZOMIB,
,,CARMUSTINE,CARMUSTINE,
Y,CARVEDILOL,CARVEDILOL,CARVEDILOL,
,,CASPOFUNGIN (CASPOFUNGIN ACETATE),CASPOFUNGIN (CASPOFUNGIN ACETATE),
,,CAT (FELIS DOMESTICUS) PELT AND CAT DANDER,CAT (FELIS DOMESTICUS) PELT AND CAT DANDER,
,,CEFACLOR,CEFACLOR,
,,CEFADROXIL,CEFADROXIL,
,,CEFADROXIL (CEFADROXIL MONOHYDRATE),CEFADROXIL (CEFADROXIL MONOHYDRATE),
,,CEFAZOLIN (CEFAZOLIN SODIUM),CEFAZOLIN (CEFAZOLIN SODIUM),
,,CEFEPIME (CEFEPIME HYDROCHLORIDE),CEFEPIME (CEFEPIME HYDROCHLORIDE),
,,CEFIXIME,CEFIXIME,
,,CEFOTAXIME (CEFOTAXIME SODIUM),CEFOTAXIME (CEFOTAXIME SODIUM),
,,CEFOTAXIME SODIUM,CEFOTAXIME SODIUM,
,,CEFOXITIN (CEFOXITIN SODIUM),CEFOXITIN (CEFOXITIN SODIUM),
Y,CEFPROZIL,CEFPROZIL,CEFPROZIL,
Y,CEFPROZIL,CEFPROZIL (CEFPROZIL MONOHYDRATE),CEFPROZIL ,
,,CEFTAZIDIME,CEFTAZIDIME,
,,CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE),CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE),
,,CEFTOLOZANE (CEFTOLOZANE SULFATE),CEFTOLOZANE (CEFTOLOZANE SULFATE),
,,CEFTRIAXONE (CEFTRIAXONE SODIUM),CEFTRIAXONE (CEFTRIAXONE SODIUM),
,,CEFUROXIME (CEFUROXIME AXETIL),CEFUROXIME (CEFUROXIME AXETIL),
,,CEFUROXIME (CEFUROXIME SODIUM),CEFUROXIME (CEFUROXIME SODIUM),
Y,CELECOXIB,CELECOXIB,CELECOXIB,
Y,CEPHALEXIN,CEPHALEXIN,CEPHALEXIN,
Y,CEPHALEXIN,CEPHALEXIN (CEPHALEXIN MONOHYDRATE),CEPHALEXIN ,
,,CERITINIB,CERITINIB,
,,CERTOLIZUMAB PEGOL,CERTOLIZUMAB PEGOL,
Y,CETIRIZINE,CETIRIZINE HYDROCHLORIDE,CETIRIZINE,
,,CETRIMIDE,CETRIMIDE,
,,CETRIMONIUM BROMIDE,CETRIMONIUM BROMIDE,
,,CETRORELIX (CETRORELIX ACETATE),CETRORELIX (CETRORELIX ACETATE),
,,CETUXIMAB,CETUXIMAB,
,,CETYLPYRIDINIUM CHLORIDE,CETYLPYRIDINIUM CHLORIDE,
,,CHARCOAL ACTIVATED,CHARCOAL ACTIVATED,
,,CHLORAL HYDRATE,CHLORAL HYDRATE,
,,CHLORAMPHENICOL,CHLORAMPHENICOL,
,,CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE),CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE),
,,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,
Y,CHLORHEXIDINE,CHLORHEXIDINE ACETATE,CHLORHEXIDINE,SRS
Y,CHLORHEXIDINE,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE,SRS
,,CHLOROBUTANOL,CHLOROBUTANOL,
,,CHLOROQUINE DIPHOSPHATE,CHLOROQUINE DIPHOSPHATE,
,,CHLOROXYLENOL,CHLOROXYLENOL,
,,CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,
,,CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE),
,,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,
,,CHLORPROPAMIDE,CHLORPROPAMIDE,
,,CHLORTHALIDONE,CHLORTHALIDONE,
,,CHLORZOXAZONE,CHLORZOXAZONE,
,,CHOLESTYRAMINE RESIN,CHOLESTYRAMINE RESIN,
,,CHOLINE,CHOLINE,
,,CHOLINE BITARTRATE,CHOLINE BITARTRATE,
,,CHORIOGONADOTROPIN ALPHA,CHORIOGONADOTROPIN ALPHA,
,,CHORIONIC GONADOTROPIN,CHORIONIC GONADOTROPIN,
,,CHROMIC CHLORIDE,CHROMIC CHLORIDE,
,,CHROMIUM (CHROMIC CHLORIDE),CHROMIUM (CHROMIC CHLORIDE),
,,CHROMIUM (CHROMIUM HVP CHELATE),CHROMIUM (CHROMIUM HVP CHELATE),
Y,CICLESONIDE,CICLESONIDE,CICLESONIDE,
Y,CICLOPIROX,CICLOPIROX,CICLOPIROX,
Y,CICLOPIROX,CICLOPIROX OLAMINE,CICLOPIROX,SRS
,,CILASTATIN (CILASTATIN SODIUM),CILASTATIN (CILASTATIN SODIUM),
,,CILAZAPRIL,CILAZAPRIL,
,,CILAZAPRIL (CILAZAPRIL MONOHYDRATE),CILAZAPRIL (CILAZAPRIL MONOHYDRATE),
,,CIMETIDINE,CIMETIDINE,
,,CIMETIDINE (CIMETIDINE HYDROCHLORIDE),CIMETIDINE (CIMETIDINE HYDROCHLORIDE),
,,CINACALCET (CINACALCET HYDROCHLORIDE),CINACALCET (CINACALCET HYDROCHLORIDE),
Y,CIPROFLOXACIN,CIPROFLOXACIN,CIPROFLOXACIN,
Y,CIPROFLOXACIN,CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE),CIPROFLOXACIN,
Y,CIPROFLOXACIN,"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)",CIPROFLOXACIN,
Y,CIPROFLOXACIN,CIPROFLOXACIN (CIPROFLOXACIN LACTATE),CIPROFLOXACIN,
,,CISATRACURIUM (CISATRACURIUM BESYLATE),CISATRACURIUM (CISATRACURIUM BESYLATE),
,,CISPLATIN,CISPLATIN,
Y,CITALOPRAM,CITALOPRAM (CITALOPRAM HYDROBROMIDE),CITALOPRAM ,
,,CITRIC ACID,CITRIC ACID,
,,CITRIC ACID MONOHYDRATE,CITRIC ACID MONOHYDRATE,
,,CLADRIBINE,CLADRIBINE,
Y,CLARITHROMYCIN,CLARITHROMYCIN,CLARITHROMYCIN,
Y,CLAVULANIC ACID,CLAVULANIC ACID (CLAVULANATE POTASSIUM),CLAVULANIC ACID ,
Y,CLAVULANIC ACID,CLAVULANIC ACID (POTASSIUM CLAVULANATE),CLAVULANIC ACID,
,,CLIDINIUM BROMIDE,CLIDINIUM BROMIDE,
Y,CLINDAMYCIN,CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE),CLINDAMYCIN,
Y,CLINDAMYCIN,CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE),CLINDAMYCIN,
Y,CLINDAMYCIN,CLINDAMYCIN (CLINDAMYCIN PHOSPHATE),CLINDAMYCIN,
Y,CLINDAMYCIN,CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN,
Y,CLINDAMYCIN,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN,
,,CLIOQUINOL,CLIOQUINOL,
Y,CLOBAZAM,CLOBAZAM,CLOBAZAM,
Y,CLOBETASOL,CLOBETASOL PROPIONATE,CLOBETASOL ,SRS
,,CLOBETASONE BUTYRATE,CLOBETASONE BUTYRATE,
,,CLODRONATE DISODIUM,CLODRONATE DISODIUM,
,,CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE),CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE),
,,CLOFARABINE,CLOFARABINE,
,,CLOFEDANOL HYDROCHLORIDE,CLOFEDANOL HYDROCHLORIDE,
,,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,
Y,CLONAZEPAM,CLONAZEPAM,CLONAZEPAM,
Y,CLONIDINE,CLONIDINE HYDROCHLORIDE,CLONIDINE,
Y,CLOPIDOGREL,CLOPIDOGREL (CLOPIDOGREL BISULFATE),CLOPIDOGREL ,
,,CLORAZEPATE DIPOTASSIUM,CLORAZEPATE DIPOTASSIUM,
,,CLOTRIMAZOLE,CLOTRIMAZOLE,
,,CLOXACILLIN (CLOXACILLIN SODIUM),CLOXACILLIN (CLOXACILLIN SODIUM),
,,CLOXACILLIN SODIUM,CLOXACILLIN SODIUM,
Y,CLOZAPINE,CLOZAPINE,CLOZAPINE,
,,COAGULATION FACTOR II (HUMAN),COAGULATION FACTOR II (HUMAN),
,,COAGULATION FACTOR IX (HUMAN),COAGULATION FACTOR IX (HUMAN),
,,COAGULATION FACTOR IX (RECOMBINANT),COAGULATION FACTOR IX (RECOMBINANT),
,,COAGULATION FACTOR VII (HUMAN),COAGULATION FACTOR VII (HUMAN),
,,COAGULATION FACTOR X (HUMAN),COAGULATION FACTOR X (HUMAN),
,,COAL TAR,COAL TAR,
,,COBIMETINIB (COBIMETINIB FUMARATE),COBIMETINIB (COBIMETINIB FUMARATE),
,,COCAINE HYDROCHLORIDE,COCAINE HYDROCHLORIDE,
,,COCOA BUTTER,COCOA BUTTER,
