"","tm_code","tm_formal_name"
"110",8000009,"hydroxyzine"
"111",8000043,"ibuprofen"
"112",8000097,"indapamide"
"113",8000321,"indapamide and perindopril"
"114",8000085,"indomethacin"
"115",8000307,"insulin aspart"
"116",8000353,"insulin detemir"
"117",8000317,"insulin glargine"
"118",8000168,"insulin isophane human"
"119",8000787,"insulin lispro"
"120",8000259,"irbesartan"
"121",8000203,"isosorbide mononitrate"
"122",8000169,"ketorolac"
"123",8000214,"lamotrigine"
"124",8000215,"lansoprazole"
"125",8000244,"latanoprost"
"126",8000328,"levetiracetam"
"127",8000001,"levothyroxine"
"128",8000387,"lisdexamfetamine"
"129",8000140,"lisinopril"
"130",8000204,"lithium (ion)"
"131",8000041,"lithium carbonate"
"132",8000109,"lorazepam"
"133",8000216,"losartan"
"134",8000018,"medroxyprogesterone"
"135",8000290,"meloxicam"
"136",8000184,"metformin"
"137",8000390,"metformin and sitagliptin"
"138",8000285,"methadone"
"139",8000010,"methylphenidate"
"140",8000063,"metoprolol"
"141",8000038,"metronidazole"
"142",8000205,"minocycline"
"143",8000298,"mirtazapine"
"144",8000148,"mometasone"
"145",8000261,"montelukast"
"146",8000291,"moxifloxacin"
"147",8000783,"naloxone and oxycodone"
"148",8000218,"naproxen"
"149",8000123,"nifedipine"
"150",8000050,"nitrofurantoin"
"151",8000020,"norethindrone"
"152",8000784,"normethadone and p-hydroxyephedrine"
"153",8000026,"nortriptyline"
"154",8000078,"nystatin"
"155",8000383,"olmesartan"
"156",8000251,"olopatadine"
"157",8000131,"omeprazole"
"158",8000079,"oxazepam"
"159",8000045,"oxycodone"
"160",8000236,"pantoprazole"
"161",8000185,"paroxetine"
"162",8000064,"penicillin v"
"163",8000786,"pentazocine"
"164",8000206,"perindopril"
"165",8000005,"phenytoin (base)"
"166",8000004,"phenytoin sodium"
"167",8000289,"pioglitazone"
"168",8000253,"pramipexole"
"169",8000141,"pravastatin"
"170",8000051,"prednisolone"
"171",8000014,"prednisone"
"172",8000348,"pregabalin"
"173",8000107,"procyclidine"
"174",8000220,"progesterone"
"175",8000086,"propranolol"
"176",8000248,"quetiapine"
"177",8000170,"quinapril"
"178",8000029,"quinine sulfate"
"179",8000314,"rabeprazole"
"180",8000239,"ramipril"
"181",8000120,"ranitidine"
"182",8000273,"repaglinide"
"183",8000278,"risedronate"
"184",8000187,"risperidone"
"185",8000379,"rivaroxaban"
"186",8000276,"rizatriptan"
"187",8000322,"rosuvastatin"
"188",8000391,"saxagliptin"
"189",8000171,"sertraline"
"190",8000268,"sildenafil"
"191",8000142,"simvastatin"
"192",8000374,"sitagliptin"
"193",8000360,"solifenacin"
"194",8000015,"spironolactone"
"195",8000234,"sumatriptan"
"196",8000222,"tacrolimus"
"197",8000331,"tadalafil"
"198",8000352,"tamsulosin"
"199",8000789,"tapentadol"
"200",8000277,"telmisartan"
"201",8000087,"temazepam"
"202",8000247,"terazosin"
"203",8000188,"terbinafine"
"204",8000081,"timolol"
"205",8000320,"tiotropium"
"206",8000265,"tolterodine"
"207",8000240,"topiramate"
"208",8000369,"tramadol"
"209",8000250,"trandolapril"
"210",8000381,"travoprost"
"211",8000189,"trazodone"
"212",8000030,"triamcinolone acetonide"
"213",8000793,"triamcinolone hexacetonide"
"214",8000233,"valacyclovir"
"215",8000221,"valproic acid"
"216",8000108,"valproic acid (divalproex)"
"217",8000249,"valsartan"
"218",8000371,"varenicline"
"219",8000254,"venlafaxine"
"220",8000172,"vitamin D3 (cholecalciferol)"
"221",8000013,"warfarin"
"222",8000143,"zopiclone"
