tm_code,tm_formal_name,
8001047,chlorpropamide,
8001048,tolbutamide,
8001049,aminophylline,
8001053,zafirlukast,
8001057,cefadroxil,
8001060,omalizumab,
8001066,mepolizumab,
8001067,reslizumab,
8001068,ampicillin,
8001069,oxtriphylline,
8001070,aclidinium,
8001071,aclidinium and formoterol,
8001072,alogliptin,
8001073,alogliptin and metformin,
8001074,azilsartan,
8001075,azilsartan and chlorthalidone,
8001076,cefuroxime,
8001077,cromolyn,
8001078,ephedrine,
8001079,eprosartan,
8001080,eprosartan and hydrochlorothiazide,
8001081,fluticasone and vilanterol,
8001082,glycopyrronium,
8001083,glycopyrronium and indacaterol,
8001084,indacaterol,
8001085,olodaterol and tiotropium,
8001086,orciprenaline,
8001087,rosiglitazone,
8001088,terbutaline,
8001089,umeclidinium,
8001090,umeclidinium and vilanterol,
8001091,chlorambucil,
8001092,nitrazepam,
8001093,nabilone,
8001094,theophylline,
8001095,triazolam,
8001096,tamoxifen,
8001097,chloral hydrate,
8001099,brinzolamide and timolol,
8001100,brinzolamide,
8001101,anastrozole,
8001102,letrozole,
8001103,brimonidine,
8001104,naratriptan,
8001105,zolmitriptan,
8001106,ondansetron,
8001107,midazolam,
8001108,ibutilide,
8001109,exemestane,
8001110,almotriptan,
8001111,brimonidine and timolol,
8001112,eletriptan,
8001114,darifenacin,
8001115,trospium,
8001116,granisetron,
8001118,dexmedetomidine,
8001120,silodosin,
8001121,zolpidem,
8001122,vandetanib,
8001123,fesoterodine,
8001124,mirabegron,
8001125,linaclotide,
8001126,canagliflozin,
8001127,brimonidine and brinzolamide,
8001128,thiotepa,
8001129,ozenoxacin,
8001131,cysteamine,
8001132,nusinersen,
8001133,defibrotide,
8001135,ocrelizumab,
8001136,glecaprevir and pibrentasvir,
8001137,insulin degludec,
8001138,durvalumab,
8001139,olaratumab,
8001140,letermovir,
8001141,avelumab,
8001142,guselkumab,
8001143,methotrimeprazine,
8001145,methyldopa,
8001147,apixaban,
8001148,dupilumab,
8001149,lifitegrast,
8001150,metformin and rosiglitazone,
8001151,migalastat,
8001152,netupitant and palonosetron,
8001153,palonosetron,
8001154,peramivir,
8001155,roflumilast,
8001156,sofosbuvir,
8001157,sofosbuvir and velpatasvir,
8001158,sofosbuvir and velpatasvir and voxilaprevir,
8001159,triamcinolone diacetate,
8001160,vernakalant,
8001161,vilazodone,
8001162,abacavir,
8001163,abacavir and dolutegravir and lamivudine,
8001164,abacavir and lamivudine,
8001165,abacavir and lamivudine and zidovudine,
8001166,acetaminophen and diphenhydramine,
8001168,adefovir,
8001169,amikacin,
8001170,anidulafungin,
8001171,atazanavir,
8001174,caspofungin,
8001176,cefepime,
8001177,cefotaxime,
8001178,cefoxitin,
8001179,ceftazidime,
8001181,colistin,
8001182,daclatasvir,
8001183,dapsone,
8001184,daptomycin,
8001185,darunavir,
8001186,didanosine,
8001189,diphenhydramine and naproxen,
8001191,dolutegravir,
8001192,efavirenz,
8001193,efavirenz and emtricitabine and tenofovir disoproxil,
8001194,elbasvir and grazoprevir,
8001195,emtricitabine and rilpivirine and tenofovir alafenamide,
8001196,emtricitabine and rilpivirine and tenofovir disoproxil,
8001197,emtricitabine and tenofovir alafenamide,
8001198,emtricitabine and tenofovir disoproxil,
8001199,entecavir,
8001200,ertapenem,
8001201,ethambutol,
8001202,etravirine,
8001203,famciclovir,
8001204,fosamprenavir,
8001205,ganciclovir,
8001206,gentamicin,
8001207,inosine pranobex,
8001208,itraconazole,
8001209,ketoconazole,
8001210,lamivudine,
8001211,lamivudine and zidovudine,
8001212,ledipasvir and sofosbuvir,
8001213,loperamide,
8001214,maraviroc,
8001215,meropenem,
8001216,micafungin,
8001217,nelfinavir,
8001218,nevirapine,
8001219,norfloxacin,
8001220,ombitasvir and paritaprevir and ritonavir,
8001221,penicillin g benzathine,
8001222,piperacillin,
8001223,pyrazinamide,
8001224,raltegravir,
8001225,raltitrexed,
8001226,rifabutin,
8001227,rifampin,
8001228,rilpivirine,
8001229,ritonavir,
8001230,saquinavir,
8001231,simeprevir,
8001232,spiramycin,
8001233,stavudine,
8001234,streptomycin,
8001235,telavancin,
8001236,tenofovir alafenamide,
8001237,tenofovir disoproxil,
8001238,tigecycline,
8001239,tipranavir,
8001240,zidovudine,
8001241,adalimumab,
8001242,adapalene,
8001243,alirocumab,
8001246,bezafibrate,
8001247,buspirone,
8001248,calcipotriol,
8001250,clomipramine,
8001253,cyclosporine,
8001254,dalteparin,
8001255,danaparoid,
8001256,dapagliflozin,
8001257,dapagliflozin and metformin,
8001258,delavirdine,
8001260,desonide,
8001261,desoximetasone,
8001262,dipyridamole,
8001263,doxepin,
8001264,efinaconazole,
8001267,etidronate,
8001268,evolocumab,
8001270,fluocinonide,
8001271,fluvastatin,
8001272,fluvoxamine,
8001273,guanfacine,
8001275,infliximab,
8001283,isotretinoin,
8001285,loteprednol,
8001286,lovastatin,
8001287,lurasidone,
8001288,memantine,
8001293,nadroparin,
8001294,nepafenac,
8001296,nicotinic acid,
8001297,oseltamivir,
8001298,paliperidone,
8001300,pinaverium,
8001301,primidone,
8001302,prochlorperazine,
8001303,ranibizumab,
8001306,ticagrelor,
8001307,tretinoin,
8001308,ursodiol,
8001310,atazanavir and cobicistat,
8001312,cobicistat and darunavir,
8001313,cobicistat and elvitegravir and emtricitabine and tenofovir alafenamide,
8001314,cobicistat and elvitegravir and emtricitabine and tenofovir disoproxil,
8001315,lomitapide,
8001316,acarbose,
8001317,acenocoumarol,
8001318,acetaminophen and chlorpheniramine,
8001319,acetaminophen and chlorpheniramine and dextromethorphan,
8001320,acetaminophen and chlorpheniramine and dextromethorphan and guaifenesin and pseudoephedrine,
8001321,acetaminophen and chlorpheniramine and dextromethorphan and phenylephrine,
8001323,acetaminophen and chlorpheniramine and phenylephrine,
8001324,acetaminophen and chlorpheniramine and pseudoephedrine,
8001325,acetaminophen and dextromethorphan and diphenhydramine,
8001333,acetaminophen and dextromethorphan and guaifenesin and pseudoephedrine,
8001338,acetaminophen and pseudoephedrine,
8001339,alfacalcidol,
8001341,azelaic acid,
8001342,benserazide and levodopa,
8001343,bromocriptine,
8001345,bupropion and naltrexone,
8001346,cabergoline,
8001347,ceftolozane and tazobactam,
8001348,cetirizine and pseudoephedrine,
8001349,chloramphenicol,
8001350,chlordiazepoxide,
8001351,chlordiazepoxide and clidinium,
8001352,chloroquine,
8001353,chlorpheniramine,
8001358,cilastatin and imipenem,
8001359,cimetidine,
8001360,clodronate,
8001361,clorazepate,
8001365,cyproheptadine,
8001366,desloratadine,
8001367,desloratadine and pseudoephedrine,
8001371,dextromethorphan and guaifenesin and pseudoephedrine,
8001374,dicyclomine,
8001376,disopyramide,
8001377,dolutegravir and rilpivirine,
8001379,enoxaparin,
8001380,famotidine,
8001381,flecainide,
8001383,fluticasone and umeclidinium and vilanterol,
8001384,frovatriptan,
8001386,guaifenesin and pseudoephedrine,
8001387,ibuprofen and pseudoephedrine,
8001388,imipramine,
8001395,isoniazid,
8001396,ketotifen,
8001397,linagliptin,
8001398,mebendazole,
8001399,mefloquine,
8001400,metolazone,
8001402,midodrine,
8001403,nalbuphine,
8001404,naltrexone,
8001405,nedocromil,
8001406,nizatidine,
8001407,ofloxacin,
8001408,olsalazine,
8001409,orphenadrine,
8001410,pamidronate,
8001412,pentoxifylline,
8001413,piperacillin and tazobactam,
8001414,pizotifen,
8001415,praziquantel,
8001417,propafenone,
8001418,quinagolide,
8001419,riluzole,
8001420,terconazole,
8001421,tetracycline,
8001422,tinzaparin,
8001423,trimipramine,
8001425,ziprasidone,
8001426,zoledronic acid,
74ba892c8912498c1c9e80e202b1d508,acamprosate,
e50528a9d87bc5d9e95ad4a11418d9d1,acetazolamide,
a1a32cc37028b85cb1a606124213b7c2,acetylcysteine,
8000916,acetylsalicylic acid and dipyridamole,
986f74a066e5973a3d1f02daafdc36dc,acitretin,
8001144,apomorphine,
aaebe6a633b16641ee52b043bce11eb0,apraclonidine,
a8bf87ad8e9ec25bdca349daeacb3ee7,argatroban,
3cca4d6809b5a622e9f966fa014461d8,asenapine,
1a7cb9d974ba7691ed00f68e2595b2d1,atovaquone,
ccd8bb600e5bf765664ef76f4f205758,atovaquone and proguanil,
1937e3d01348f8806a9568ed0cfc3bc6,azelastine and fluticasone,
8001172,aztreonam,
492b2a03e0341686493e5d810b62db93,benralizumab,
8001245,benzydamine,
62cbb41370248382b4028ca3936d3a26,bivalirudin,
8000967,carbidopa and entacapone and levodopa,
f43e0cc1f065ee9b569f2bfac8b3633a,cefixime,
318c77b3c1af7f5b52a04ea97dc9965a,ceftobiprole,
b5765889f9e42b25a61b0328c4aa9cba,clomiphene,
8001363,cobicistat and darunavir and emtricitabine and tenofovir alafenamide,
949e62025ac40bd66c8b7e617e0cb320,cortisone,
107ac39d8f6d89e9d9d651fe0ae81cf8,dacarbazine,
3128b32104ad66f56d28cf0b5610f466,dantrolene,
e7db0b27bffe714f0a6afac2b0f0cc2f,desipramine,
c157c02f2e861c9b9ed5d28a450b84d8,dienogest,
b94c6db662160a1900e5100db64786ef,diflunisal,
3a9701132edcda0c1cd96ef246014adc,difluprednate,
8000811,docusate and sennosides,
27e8a69ee22e9434ac3bfb65778a4c4b,droperidol,
991383da946d9f5315813ce38863ff67,eliglustat,
9d6bde1dfdbe6ae73a503b7573b2e412,entacapone,
6c34420054646f2ec3b043eff4f00eeb,eslicarbazepine,
79bd4264468da23a4d0d6aee24be6cc1,ethosuximide,
6a5c8ff425c3068c8ec1a88587ee34d1,etodolac,
38cd5a0e460d4faa096c2e29fd4e0b82,fexofenadine,
8001269,fludrocortisone,
1f79f228d41c7e58a1211b611cdebf2a,flunarizine,
b1cda568ce2ab21bef3fb220e5fd4c4e,flupentixol,
3d7fc82c6e113aaa21cc253eb8dce1b9,fluphenazine,
8cc24476c2d2771ce1d890e818804567,flurbiprofen,
def931f5522be499f260c6ace4172f72,fosphenytoin,
6cb2f377b226bf82de76b76deb724829,gatifloxacin,
efd923b5f0e9d586b4911917697f6427,glimepiride,
ca6fe81847b1fb35880c7cfd683130d0,hyoscine,
bc4076a747cbce9a6fbfa6d51ae6b450,hyprolose,
27e9c153c2f17cb33dd77a1797c47fc7,inotuzumab ozogamicin,
8001389,insulin degludec and liraglutide,
8001390,insulin glulisine,
8001391,insulin human,
8001392,insulin human and insulin isophane human,
8001393,insulin isophane pork,
8001394,insulin lispro and insulin lispro protamine,
8001281,insulin pork,
51d208b0a0189c11427859e0378a46c0,ivermectin,
8000328,levetiracetam,
58b98bf54704dc4f4a8baa93f224dad3,lodoxamide,
db9ea1ead45841ee6e1af936f76ab1a9,mefenamic acid,
e4908188bf88619a6ee709d59e68e407,mexiletine,
8001401,miconazole,
8001295,nicotinamide,
547eb76b861bda704669e376277090f7,ofatumumab,
e0aa2bfe700a8fcff3620d6e0a596f13,pemetrexed,
e23c6f1f4f25c39c178f80a19be1fd17,pentamidine,
ffa3e1d58a06b6486ffb3613dd631317,periciazine,
f6e65d606759c0b60eec1e765090c69d,perphenazine,
0e551bfd34a0300617dce9918d77b773,phenelzine,
fb670ea0fd4284fd1eeb623ad11ed4e6,pimozide,
a7396e038a2e4e7a2437641847a0bd68,piroxicam,
3a71633140d74426742698c9ae4d1ad9,porfimer,
a13c4853956b1bbbd6993d8632e7a192,promethazine,
6c63fc60cf5cf0c752727da398e03f0b,propiverine,
24c7aa710b484c1365ebb25626b17026,propylthiouracil,
c3b7f4a4f493dc1c02d13c360ad05189,pyridostigmine,
60367fccdda51e7cd5901fda4136dbf5,ribociclib,
6ab23cd6eafba942a034590c114fc3fb,ropinirole,
951be5c4159b7b22c5dd14c4cc3f7e0a,rotigotine,
8000132,salbutamol,
ae90c19b3f442e8c83e2962bbb7d3f91,selegiline,
ffe6975dfb50a9b91ba8cf8d602ccf5c,silver sulfadiazine,
6c67c3fc2143b78cdec6429df09ad15e,sulfasalazine,
f72260022756b6f85c8ef1c95cad005f,sulindac,
98471587e21c36119f20399b8208dcb8,tenoxicam,
a93c534e9776186d857f8b7613827c93,tetrabenazine,
738d8f8181cb831a537d65a3a2bd5159,thioguanine,
a3ea8a66906324dfa7e5968aee9aa6da,tiaprofenic acid,
05d665f6cf867a3332cb47ae04d863b0,ticlopidine,
9092cdd5882dc05515e641f8cba00114,tipiracil and trifluridine,
a17104a3f703de25c1a01fff7b8ee200,tranylcypromine,
578979ea243d4596ed4911c7efdd0835,trifluridine,
7fb538a7519ab6ac2b146b529f00880e,trihexyphenidyl,
6eb58c88a93b2ee6d732fc965f254c23,trimeprazine,
d781d1c5a3bd6ac69b8fb9a8d48b94f5,tropicamide,
8001424,vancomycin,
1b4909cb7d0aaa2ea0f566a61d0a536b,vardenafil,
caf96fcfbc8dfc3e9eb590a032af62aa,zanamivir,
1fd27f50bde326ef23b40f7e0776107e,zuclopenthixol,
