"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","ntp_dosage_form_fr"
"40023","medicinal gas","29","INHALATION","Inhalation","25","GAS","Gaz","gaz médicinal"
"40061","modified-release oral capsule","56","ORAL","Orale","106","CAPSULE (CONTROLLED-DELIVERY)","Capsule (à libération contrôlée)","capsule orale à libération modifiée"
"40061","modified-release oral capsule","56","ORAL","Orale","172","CAPSULE (IMMEDIATE AND DELAYED RELEASE)","Capsule (à libération immédiate et retardée)","capsule orale à libération modifiée"
"40061","modified-release oral capsule","56","ORAL","Orale","171","CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","Capsule (à libération immédiate et prolongée)","capsule orale à libération modifiée"
"40061","modified-release oral capsule","56","ORAL","Orale","181","CAPSULE (CONTROLLED RELEASE)","Capsule à libération contrôlée","capsule orale à libération modifiée"
"40080","modified-release oral tablet","56","ORAL","Orale","138","TABLET (COMBINED RELEASE)","Comprimé (à action combinée)","comprimé oral à libération modifiée"
"40080","modified-release oral tablet","56","ORAL","Orale","159","TABLET (DELAYED AND EXTENDED RELEASE)","Comprimé (à libération retardée et prolongée)","comprimé oral à libération modifiée"
"40080","modified-release oral tablet","56","ORAL","Orale","170","TABLET (IMMEDIATE AND DELAYED-RELEASE)","Comprimé (à libération immédiate et retardée)","comprimé oral à libération modifiée"
"40080","modified-release oral tablet","56","ORAL","Orale","173","TABLET (IMMEDIATE AND EXTENDED RELEASE)","Comprimé(à libération immédiate et prolongée)","comprimé oral à libération modifiée"
"40003","mouthwash","3","BUCCAL","Buccale","34","LIQUID","Liquide","solution pour bain de bouche"
"40003","mouthwash","3","BUCCAL","Buccale","134","SOLUTION","Solution","solution pour bain de bouche"
"40046","nasal cream","53","NASAL","Nasale","9","CREAM","Crème","crème nasale"
"40043","nasal drops","53","NASAL","Nasale","12","DROPS","Gouttes","gouttes nasales"
"40044","nasal gel","53","NASAL","Nasale","114","GEL","Gel","gel nasal"
"40045","nasal ointment","53","NASAL","Nasale","43","OINTMENT","Pommade","pommade nasale"
"40030","nasal powder","29-53","INHALATION, NASAL","Inhalation,Nasale","55","POWDER","Poudre","poudre nasale"
"40030","nasal powder","53","NASAL","Nasale","55","POWDER","Poudre","poudre nasale"
"40029","nasal spray","29-53","INHALATION, NASAL","Inhalation,Nasale","34","LIQUID","Liquide","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","34","LIQUID","Liquide","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","1-79","METERED-DOSE AEROSOL, SUSPENSION","Aérosol à dose mesurée,Suspension","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","117","METERED-DOSE PUMP","Pompe à dose mesurée","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","134","SOLUTION","Solution","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","98","SPRAY","Pulvérisation","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","158","SPRAY, METERED DOSE","Pulvérisation, à dose mesurée","vaporisation nasale"
"40029","nasal spray","53","NASAL","Nasale","79","SUSPENSION","Suspension","vaporisation nasale"
"40029","nasal spray","53-56","NASAL, ORAL","Nasale,Orale","98","SPRAY","Pulvérisation","vaporisation nasale"
"40047","nasal stick","53","NASAL","Nasale","76","STICK","Bâton","bâton pour usage nasal"
"40031","nebulizer solution","29-56","INHALATION, ORAL","Inhalation,Orale","134","SOLUTION","Solution","solution pour inhalation par nébuliseur"
"40028","nebulizer suspension","29","INHALATION","Inhalation","79","SUSPENSION","Suspension","suspension pour inhalation par nébuliseur"
"40057","ophthalmic cream","55","OPHTHALMIC","Ophtalmique","9","CREAM","Crème","crème ophtalmique"
"40050","ophthalmic drops","55","OPHTHALMIC","Ophtalmique","12","DROPS","Gouttes","gouttes ophtalmiques"
"40050","ophthalmic drops","55","OPHTHALMIC","Ophtalmique","19","EMULSION","Émulsion","gouttes ophtalmiques"
"40050","ophthalmic drops","55","OPHTHALMIC","Ophtalmique","34","LIQUID","Liquide","gouttes ophtalmiques"
"40050","ophthalmic drops","55","OPHTHALMIC","Ophtalmique","134","SOLUTION","Solution","gouttes ophtalmiques"
"40050","ophthalmic drops","55","OPHTHALMIC","Ophtalmique","79","SUSPENSION","Suspension","gouttes ophtalmiques"
"40050","ophthalmic drops","55-70","OPHTHALMIC, TOPICAL","Ophtalmique,Topique","12","DROPS","Gouttes","gouttes ophtalmiques"
"40051","ophthalmic gel","55","OPHTHALMIC","Ophtalmique","114","GEL","Gel","gel ophtalmique"
"40052","ophthalmic insert","55","OPHTHALMIC","Ophtalmique","116","INSERT","Insert","insert ophtalmique"
"40053","ophthalmic ointment","55","OPHTHALMIC","Ophtalmique","43","OINTMENT","Pommade","pommade ophtalmique"
"40053","ophthalmic ointment","55-70","OPHTHALMIC, TOPICAL","Ophtalmique,Topique","43","OINTMENT","Pommade","pommade ophtalmique"
"40056","ophthalmic strip","55","OPHTHALMIC","Ophtalmique","77","STRIP","Bandelette","bandelette ophtalmique"
"40058","ophthalmic/otic drops","55-57","OPHTHALMIC, OTIC","Ophtalmique,Otique","12","DROPS","Gouttes","gouttes otiques/ophtalmiques"
"40058","ophthalmic/otic drops","55-57","OPHTHALMIC, OTIC","Ophtalmique,Otique","134","SOLUTION","Solution","gouttes otiques/ophtalmiques"
"40058","ophthalmic/otic drops","55-57","OPHTHALMIC, OTIC","Ophtalmique,Otique","79","SUSPENSION","Suspension","gouttes otiques/ophtalmiques"
"40059","ophthalmic/otic ointment","55-57","OPHTHALMIC, OTIC","Ophtalmique,Otique","43","OINTMENT","Pommade","pommade otique/ophtalmique"
"40060","oral capsule","56","ORAL","Orale","5","CAPSULE","Capsule","capsule orale"
"40060","oral capsule","56","ORAL","Orale","161","CAPSULE (IMMEDIATE RELEASE)","Capsule (à libération immédiate)","capsule orale"
"40063","oral drops","56","ORAL","Orale","12","DROPS","Gouttes","gouttes orales"
"40065","oral emulsion","56","ORAL","Orale","19","EMULSION","Émulsion","émulsion orale"
"40067","oral gel","56","ORAL","Orale","114","GEL","Gel","gel oral"
"40072","oral liquid","56","ORAL","Orale","34","LIQUID","Liquide","liquide oral"
"40075","oral paste","56","ORAL","Orale","52","PASTE","Pâte","pâte orale"
"40074","oral powder","56","ORAL","Orale","48","PACKAGE","Paquet","poudre orale"
"40074","oral powder","56","ORAL","Orale","55","POWDER","Poudre","poudre orale"
"40064","oral solution","56","ORAL","Orale","18","ELIXIR","Élixir","solution orale"
"40064","oral solution","56","ORAL","Orale","134","SOLUTION","Solution","solution orale"
"40070","oral suspension","56","ORAL","Orale","157","GRANULES FOR SUSPENSION","Granules pour suspension","suspension orale"
"40070","oral suspension","56","ORAL","Orale","126","POWDER FOR SUSPENSION","Poudre pour suspension","suspension orale"
"40070","oral suspension","56","ORAL","Orale","79","SUSPENSION","Suspension","suspension orale"
"40078","oral tablet","56","ORAL","Orale","85","TABLET","Comprimé","comprimé oral"
"40078","oral tablet","56","ORAL","Orale","150","TABLET (IMMEDIATE RELEASE)","Comprimé (à libération immédiate)","comprimé oral"
"40066","orodispersible film","56","ORAL","Orale","167","FILM, SOLUBLE","Pellicule, soluble","film orodispersible"
"40066","orodispersible film","56","ORAL","Orale","77","STRIP","Bandelette","film orodispersible"
"40076","orodispersible tablet","56","ORAL","Orale","132","TABLET (ORALLY DISINTEGRATING)","Comprimé (à désintégration orale)","comprimé orodispersible"
"40076","orodispersible tablet","66","SUBLINGUAL","Sublinguale","132","TABLET (ORALLY DISINTEGRATING)","Comprimé (à désintégration orale)","comprimé orodispersible"
"40002","oromucosal gel","3","BUCCAL","Buccale","114","GEL","Gel","gel buccal"
"40009","oromucosal paste","3-56","BUCCAL, ORAL","Buccale,Orale","52","PASTE","Pâte","pâte buccale"
"40009","oromucosal paste","5","DENTAL","Dentaire","52","PASTE","Pâte","pâte buccale"
"40008","oromucosal solution","3-56","BUCCAL, ORAL","Buccale,Orale","34","LIQUID","Liquide","solution buccale"
"40008","oromucosal solution","3-70","BUCCAL, TOPICAL","Buccale,Topique","34","LIQUID","Liquide","solution buccale"
"40005","oromucosal spray","3","BUCCAL","Buccale","98","SPRAY","Pulvérisation","vaporisation buccale"
"40005","oromucosal spray","70","TOPICAL","Topique","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée","vaporisation buccale"
"40089","otic cream","57","OTIC","Otique","9","CREAM","Crème","crème otique"
"40086","otic drops","57","OTIC","Otique","12","DROPS","Gouttes","gouttes otiques"
"40086","otic drops","57","OTIC","Otique","34","LIQUID","Liquide","gouttes otiques"
"40086","otic drops","57","OTIC","Otique","134","SOLUTION","Solution","gouttes otiques"
"40086","otic drops","57","OTIC","Otique","79","SUSPENSION","Suspension","gouttes otiques"
"40087","otic gel","57","OTIC","Otique","114","GEL","Gel","gel otique"
"40088","otic ointment","57","OTIC","Otique","43","OINTMENT","Pommade","pommade otique"
"40090","otic stick","57","OTIC","Otique","76","STICK","Bâton","bâton pour usage otique"
"40117","pad","70","TOPICAL","Topique","45","PAD","Compresse","tampon imprégné"
"40102","periodontal gel","89","SUBGINGIVAL","Sous-gingivale","114","GEL","Gel","gel périodontal"
"40102","periodontal gel","89","SUBGINGIVAL","Sous-gingivale","123","GEL (CONTROLLED-RELEASE)","Gel (à libération prolongée)","gel périodontal"
"40139","pessary","74","VAGINAL","Vaginale","115","OVULE","Ovule","ovule"
"40139","pessary","74","VAGINAL","Vaginale","78","SUPPOSITORY","Suppositoire","ovule"
"40120","plaster","70","TOPICAL","Topique","50","PLASTER","Emplâtre","emplâtre médicamenteux"
"40014","powder for concentrate for solution for haemodialysis","6","DIALYSIS","Dialyse","55","POWDER","Poudre","poudre pour solution à diluer pour solution pour hémodialyse"
"40014","powder for concentrate for solution for haemodialysis","6","DIALYSIS","Dialyse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution à diluer pour solution pour hémodialyse"
"40122","powder for cutaneous solution","70","TOPICAL","Topique","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution cutanée"
"40040","powder for intravesical suspension","96","INTRAVESICAL","Intravésicale","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension intravésicale"
"40026","powder for nebulizer solution","29","INHALATION","Inhalation","2","AEROSOL","Aérosol","poudre pour solution pour inhalation par nébuliseur"
"40026","powder for nebulizer solution","29","INHALATION","Inhalation","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution pour inhalation par nébuliseur"
"40054","powder for ophthalmic drops","55","OPHTHALMIC","Ophtalmique","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour gouttes ophtalmique"
"40049","powder for oral solution","108-56","NASOGASTRIC, ORAL","NASOGASTRIQUE,Orale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution orale"
"40049","powder for oral solution","56","ORAL","Orale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution orale"
"40085","powder for oral/rectal suspension","56-62","ORAL, RECTAL","Orale,Rectale","55","POWDER","Poudre","poudre pour suspension orale/rectale"
"40085","powder for oral/rectal suspension","56-62","ORAL, RECTAL","Orale,Rectale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour suspension orale/rectale"
