DPD RoA CODE,,,,,DPD PharmForm CODE,NTP_Dosage_Form CODE,NTP_DOSAGE_FORM
56,,,,,170,,modified-release oral tablet
56,,,,,171,,modified-release oral capsule
56,,,,,172,,modified-release oral capsule
56,,,,,173,,modified-release oral tablet
70,,,,,174,,liquid
3,,,,,32,,kit
22,,,,,32,,kit
56,,,,,32,,kit
62,,,,,32,,kit
5,,,,,32,,kit
70,,,,,32,,kit
62,,,,,166,,rectal foam
55,70,,,,12,,ophthalmic drops
55,70,,,,43,,ophthalmic ointment
55,57,,,,12,,ophthalmic/otic drops
55,57,,,,79,,ophthalmic/otic drops
55,57,,,,43,,ophthalmic/otic ointment
55,57,,,,134,,ophthalmic/otic drops
56,62,,,,56,,powder for oral/rectal suspension
56,62,,,,55,,powder for oral/rectal suspension
3,56,,,,34,,oromucosal solution
3,56,,,,52,,oromucosal paste
62,70,,,,43,,rectal ointment
62,70,,,,114,,rectal gel
3,66,,,,23,,buccal tablet
108,56,,,,56,,powder for oral solution
108,56,,,,137,,gastro-resistant capsule
53,56,,,,98,,nasal spray
29,70,,,,88,,inhalation solution
29,53,,,,55,,nasal powder
29,53,,,,34,,nasal spray
3,70,,,,34,,oromucosal solution
70,74,,,,9,,vaginal cream
29,56,,,,134,,nebuliser solution
29,56,,,,55,,inhalation powder
29,56,,,,1,,pressurised inhalation
19,70,,,,34,,solution for injection
33,36,,,,134,,solution for injection
33,36,,,,34,,solution for injection
49,56,,,,34,,solution for injection
49,56,,,,134,,solution for injection
22,70,,,,56,,powder for solution for injection
49,36,,,,134,,solution for injection
22,49,,,,19,,emulsion for injection
22,49,,,,34,,solution for injection
22,49,,,,55,,powder for suspension for injection
22,49,,,,56,,powder for solution for injection
22,49,,,,79,,suspension for injection
22,49,,,,118,,powder for prolonged-release suspension for injection
22,49,,,,126,,powder for suspension for injection
22,49,,,,134,,solution for injection
22,49,,,,143,,prolonged-release suspension for injection
49,65,,,,19,,emulsion for injection
49,65,,,,34,,solution for injection
49,65,,,,55,,powder for solution for injection
49,65,,,,56,,powder for solution for injection
49,65,,,,79,,suspension for injection
49,65,,,,126,,powder for suspension for injection
49,65,,,,134,,solution for injection
22,65,,,,19,,emulsion for injection
22,65,,,,34,,solution for injection
22,65,,,,55,,powder for suspension for injection
22,65,,,,56,,powder for solution for injection
22,65,,,,79,,suspension for injection
22,65,,,,118,,powder for prolonged-release suspension for injection
22,65,,,,126,,powder for suspension for injection
22,65,,,,134,,solution for injection
22,65,,,,143,,prolonged-release suspension for injection
19,65,,,,34,,solution for injection
19,65,,,,56,,powder for solution for injection
19,65,,,,79,,suspension for injection
19,65,,,,134,,solution for injection
85,65,,,,34,,solution for injection
85,65,,,,134,,solution for injection
18,65,,,,34,,solution for injection
18,65,,,,134,,solution for injection
49,96,,,,134,,solution for injection
49,96,,,,56,,powder for solution for injection
1,7,,,,34,,solution for injection
1,7,,,,134,,solution for injection
12,49,,,,34,,solution for injection
12,49,,,,56,,powder for solution for injection
12,49,,,,134,,solution for injection
7,49,,,,134,,solution for injection
7,49,,,,34,,solution for injection
97,64,,,,134,,solution for injection
7,4,,,,134,,solution for injection
7,60,,,,134,,solution for injection
14,49,,,,134,,solution for injection
10,13,,,,79,,suspension for injection
10,13,,,,134,,solution for injection
10,22,,,,19,,emulsion for injection
10,22,,,,34,,solution for injection
10,22,,,,55,,powder for suspension for injection
10,22,,,,56,,powder for solution for injection
10,22,,,,79,,suspension for injection
10,22,,,,118,,powder for prolonged-release suspension for injection
10,22,,,,126,,powder for suspension for injection
10,22,,,,134,,solution for injection
10,22,,,,143,,prolonged-release suspension for injection
22,49,65,,,19,,emulsion for injection
22,49,65,,,34,,solution for injection
22,49,65,,,55,,powder for suspension for injection
22,49,65,,,56,,powder for solution for injection
22,49,65,,,79,,suspension for injection
22,49,65,,,118,,powder for prolonged-release suspension for injection
22,49,65,,,126,,powder for suspension for injection
22,49,65,,,134,,solution for injection
22,49,65,,,143,,prolonged-release suspension for injection
19,85,65,,,34,,solution for injection
19,85,65,,,56,,powder for solution for injection
19,85,65,,,79,,suspension for injection
19,85,65,,,134,,solution for injection
12,22,49,,,19,,emulsion for injection
12,22,49,,,34,,solution for injection
12,22,49,,,55,,powder for suspension for injection
12,22,49,,,56,,powder for solution for injection
12,22,49,,,79,,suspension for injection
12,22,49,,,118,,powder for prolonged-release suspension for injection
12,22,49,,,126,,powder for suspension for injection
12,22,49,,,134,,solution for injection
12,22,49,,,143,,prolonged-release suspension for injection
31,49,65,,,19,,emulsion for injection
31,49,65,,,34,,solution for injection
31,49,65,,,55,,powder for suspension for injection
31,49,65,,,56,,powder for solution for injection
31,49,65,,,79,,suspension for injection
31,49,65,,,118,,powder for prolonged-release suspension for injection
31,49,65,,,126,,powder for suspension for injection
31,49,65,,,134,,solution for injection
31,49,65,,,143,,prolonged-release suspension for injection
7,49,65,,,19,,emulsion for injection
7,49,65,,,34,,solution for injection
7,49,65,,,55,,powder for suspension for injection
7,49,65,,,56,,powder for solution for injection
7,49,65,,,79,,suspension for injection
7,49,65,,,118,,powder for prolonged-release suspension for injection
7,49,65,,,126,,powder for suspension for injection
7,49,65,,,134,,solution for injection
7,49,65,,,143,,prolonged-release suspension for injection
7,22,49,,,19,,emulsion for injection
7,22,49,,,34,,solution for injection
7,22,49,,,55,,powder for suspension for injection
7,22,49,,,56,,powder for solution for injection
7,22,49,,,79,,suspension for injection
7,22,49,,,118,,powder for prolonged-release suspension for injection
7,22,49,,,126,,powder for suspension for injection
7,22,49,,,134,,solution for injection
7,22,49,,,143,,prolonged-release suspension for injection
7,49,65,,,19,,emulsion for injection
7,49,65,,,34,,solution for injection
7,49,65,,,55,,powder for suspension for injection
7,49,65,,,56,,powder for solution for injection
7,49,65,,,79,,suspension for injection
7,49,65,,,118,,powder for prolonged-release suspension for injection
7,49,65,,,126,,powder for suspension for injection
7,49,65,,,134,,solution for injection
7,49,65,,,143,,prolonged-release suspension for injection
12,22,49,,,19,,emulsion for injection
12,22,49,,,34,,solution for injection
12,22,49,,,55,,powder for suspension for injection
12,22,49,,,56,,powder for solution for injection
12,22,49,,,79,,suspension for injection
12,22,49,,,118,,powder for prolonged-release suspension for injection
12,22,49,,,126,,powder for suspension for injection
12,22,49,,,134,,solution for injection
12,22,49,,,143,,prolonged-release suspension for injection
22,42,49,,,19,,emulsion for injection
22,42,49,,,34,,solution for injection
22,42,49,,,55,,powder for suspension for injection
22,42,49,,,56,,powder for solution for injection
22,42,49,,,79,,suspension for injection
22,42,49,,,118,,powder for prolonged-release suspension for injection
22,42,49,,,126,,powder for suspension for injection
22,42,49,,,134,,solution for injection
22,42,49,,,143,,prolonged-release suspension for injection
10,22,49,,,19,,emulsion for injection
10,22,49,,,34,,solution for injection
10,22,49,,,55,,powder for suspension for injection
10,22,49,,,56,,powder for solution for injection
10,22,49,,,79,,suspension for injection
10,22,49,,,118,,powder for prolonged-release suspension for injection
10,22,49,,,126,,powder for suspension for injection
10,22,49,,,134,,solution for injection
10,22,49,,,143,,prolonged-release suspension for injection
10,21,22,,,19,,emulsion for injection
10,21,22,,,34,,solution for injection
10,21,22,,,55,,powder for suspension for injection
10,21,22,,,56,,powder for solution for injection
10,21,22,,,79,,suspension for injection
10,21,22,,,118,,powder for prolonged-release suspension for injection
10,21,22,,,126,,powder for suspension for injection
10,21,22,,,134,,solution for injection
10,21,22,,,143,,prolonged-release suspension for injection
10,13,22,,,19,,emulsion for injection
10,13,22,,,34,,solution for injection
10,13,22,,,55,,powder for suspension for injection
10,13,22,,,56,,powder for solution for injection
10,13,22,,,79,,suspension for injection
10,13,22,,,118,,powder for prolonged-release suspension for injection
10,13,22,,,126,,powder for suspension for injection
10,13,22,,,134,,solution for injection
10,13,22,,,143,,prolonged-release suspension for injection
22,33,49,65,,19,,emulsion for injection
22,33,49,65,,34,,solution for injection
22,33,49,65,,55,,powder for suspension for injection
22,33,49,65,,56,,powder for solution for injection
22,33,49,65,,79,,suspension for injection
22,33,49,65,,118,,powder for prolonged-release suspension for injection
22,33,49,65,,126,,powder for suspension for injection
22,33,49,65,,134,,solution for injection
22,33,49,65,,143,,prolonged-release suspension for injection
12,22,31,49,,19,,emulsion for injection
12,22,31,49,,34,,solution for injection
12,22,31,49,,55,,powder for suspension for injection
12,22,31,49,,56,,powder for solution for injection
12,22,31,49,,79,,suspension for injection
12,22,31,49,,118,,powder for prolonged-release suspension for injection
12,22,31,49,,126,,powder for suspension for injection
12,22,31,49,,134,,solution for injection
12,22,31,49,,143,,prolonged-release suspension for injection
10,21,22,42,,19,,emulsion for injection
10,21,22,42,,34,,solution for injection
10,21,22,42,,55,,powder for suspension for injection
10,21,22,42,,56,,powder for solution for injection
10,21,22,42,,79,,suspension for injection
10,21,22,42,,118,,powder for prolonged-release suspension for injection
10,21,22,42,,126,,powder for suspension for injection
10,21,22,42,,134,,solution for injection
10,21,22,42,,143,,prolonged-release suspension for injection
10,19,21,22,,19,,emulsion for injection
10,19,21,22,,34,,solution for injection
10,19,21,22,,55,,powder for suspension for injection
10,19,21,22,,56,,powder for solution for injection
10,19,21,22,,79,,suspension for injection
10,19,21,22,,118,,powder for prolonged-release suspension for injection
10,19,21,22,,126,,powder for suspension for injection
10,19,21,22,,134,,solution for injection
10,19,21,22,,143,,prolonged-release suspension for injection
10,22,,,,19,,emulsion for injection
10,22,42,63,,34,,solution for injection
10,22,42,63,,55,,powder for suspension for injection
10,22,42,63,,56,,powder for solution for injection
10,22,42,63,,79,,suspension for injection
10,22,42,63,,118,,powder for prolonged-release suspension for injection
10,22,42,63,,126,,powder for suspension for injection
10,22,42,63,,134,,solution for injection
10,22,42,63,,143,,prolonged-release suspension for injection
10,13,19,42,,34,,solution for injection
10,13,19,42,,79,,suspension for injection
10,13,19,42,,134,,solution for injection
10,13,19,42,,56,,powder for solution for injection
10,13,19,22,,34,,solution for injection
10,13,19,22,,79,,suspension for injection
10,13,19,22,,134,,solution for injection
10,13,19,22,,56,,powder for solution for injection
10,13,19,22,,19,,emulsion for injection
10,13,19,22,,55,,powder for suspension for injection
10,13,19,22,,118,,powder for prolonged-release suspension for injection
10,13,19,22,,143,,prolonged-release suspension for injection
22,34,49,65,,19,,emulsion for injection
22,34,49,65,,34,,solution for injection
22,34,49,65,,55,,powder for suspension for injection
22,34,49,65,,56,,powder for solution for injection
22,34,49,65,,79,,suspension for injection
22,34,49,65,,118,,powder for prolonged-release suspension for injection
22,34,49,65,,126,,powder for suspension for injection
22,34,49,65,,134,,solution for injection
22,34,49,65,,143,,prolonged-release suspension for injection
12,22,31,49,50,19,,emulsion for injection
12,22,31,49,50,34,,solution for injection
12,22,31,49,50,55,,powder for suspension for injection
12,22,31,49,50,56,,powder for solution for injection
12,22,31,49,50,79,,suspension for injection
12,22,31,49,50,118,,powder for prolonged-release suspension for injection
12,22,31,49,50,126,,powder for suspension for injection
12,22,31,49,50,134,,solution for injection
12,22,31,49,50,143,,prolonged-release suspension for injection
14,22,45,49,65,19,,emulsion for injection
14,22,45,49,65,34,,solution for injection
14,22,45,49,65,55,,powder for suspension for injection
14,22,45,49,65,56,,powder for solution for injection
14,22,45,49,65,79,,suspension for injection
14,22,45,49,65,118,,powder for prolonged-release suspension for injection
14,22,45,49,65,126,,powder for suspension for injection
14,22,45,49,65,134,,solution for injection
14,22,45,49,65,143,,prolonged-release suspension for injection
10,21,22,49,63,19,,emulsion for injection
10,21,22,49,63,34,,solution for injection
10,21,22,49,63,55,,powder for suspension for injection
10,21,22,49,63,56,,powder for solution for injection
10,21,22,49,63,79,,suspension for injection
10,21,22,49,63,118,,powder for prolonged-release suspension for injection
10,21,22,49,63,126,,powder for suspension for injection
10,21,22,49,63,134,,solution for injection
10,21,22,49,63,143,,prolonged-release suspension for injection
12,17,22,49,50,19,,emulsion for injection
12,17,22,49,50,34,,solution for injection
12,17,22,49,50,55,,powder for suspension for injection
12,17,22,49,50,56,,powder for solution for injection
12,17,22,49,50,79,,suspension for injection
12,17,22,49,50,118,,powder for prolonged-release suspension for injection
12,17,22,49,50,126,,powder for suspension for injection
12,17,22,49,50,134,,solution for injection
12,17,22,49,50,143,,prolonged-release suspension for injection
56,,,,,181,,modified-release oral capsule
