"ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing","CCDD.status","Comments","DPD_Ingredient_FR","ing_stem_fr","ntp_ing_fr"
"Y","","TAFLUPROST","tafluprost","FALSE","tafluprost","No live products","","Tafluprost","tafluprost","tafluprost"
"Y","","RECOMBINANT HUMAN COAGULATION FACTOR IX, FC FUSION PROTEIN","eftrenonacog alfa","FALSE","eftrenonacog alfa","Released","","Facteur IX de coagulation humain recombiné, protéine hybride FC","eftrénonacog alfa","eftrénonacog alfa"
"Y","","RIMABOTULINUMTOXINB","rimabotulinumtoxinB","FALSE","rimabotulinumtoxinB","No live products","","RimabotulinumtoxineB","rimabotulinumtoxineB","rimabotulinumtoxineB"
"Y","","SODIUM PHOSPHATE MONOBASIC, MONOHYDRATE","sodium phosphate monobasic, monohydrate","TRUE","sodium phosphate monobasic, monohydrate","","","PHOSPHATE MONOBASIQUE DE SODIUM MONOHYDRATE","phosphate de sodium monobasique","phosphate de sodium monobasique"
"Y","","SODIUM PICOSULFATE","sodium picosulfate","FALSE","sodium picosulfate","","","Picosulfate sodique","picosulfate de sodium","picosulfate de sodium"
"Y","","SODIUM POLYSTYRENE SULFONATE","sodium polystyrene sulfonate","FALSE","sodium polystyrene sulfonate","Released","","Polystyrène sulfonate de sodium","polystyrène sulfonate de sodium","polystyrène sulfonate de sodium"
"Y","","SODIUM SALICYLATE","sodium salicylate","FALSE","sodium salicylate","Released","","Salicylate de sodium","salicylate de sodium","salicylate de sodium"
"Y","","SODIUM SULFATE","sodium sulfate","FALSE","sodium sulfate","","","Sulfate de sodium","sulfate de sodium","sulfate de sodium"
"Y","","SODIUM SULFATE ANHYDROUS","sodium sulfate anhydrous","FALSE","sodium sulfate anhydrous","","","Sulfate de Sodium anhydre","sulfate de sodium anhydre","sulfate de sodium anhydre"
"Y","","SODIUM TETRADECYL SULFATE","sodium tetradecyl sulfate","FALSE","sodium tetradecyl sulfate","Released","","Tétradécyl sulfate de sodium","tétradécyl sulfate de sodium","tétradécyl sulfate de sodium"
"Y","","SODIUM THIOSULFATE","sodium thiosulfate","FALSE","sodium thiosulfate","Released","","Thiosulfate de Sodium","thiosulfate de sodium","thiosulfate de sodium"
"Y","","SOFOSBUVIR","sofosbuvir","FALSE","sofosbuvir","Released","","Sofosbuvir","sofosbuvir","sofosbuvir"
"Y","SOLIFENACIN","SOLIFENACIN SUCCINATE","solifenacin","FALSE","solifenacin succinate","Released","","Succinate de solifénacine","solifénacine","succinate de solifénacine"
"Y","","SOMATROPIN","somatropin","FALSE","somatropin","Released","","Somatropine","somatropine","somatropine"
"Y","","SORAFENIB (SORAFENIB TOSYLATE)","sorafenib","FALSE","sorafenib (sorafenib tosylate)","Released","","Sorafénib (Tosylate de sorafénib)","sorafénib","sorafénib (tosylate de sorafénib)"
"Y","","SORBITOL","sorbitol","FALSE","sorbitol","Released","","Sorbitol","sorbitol","sorbitol"
"Y","SOTALOL","SOTALOL HYDROCHLORIDE","sotalol","FALSE","sotalol hydrochloride","Released","","Chlorhydrate de sotalol","sotalol","chlorhydrate de sotalol"
"","","SOYBEAN OIL","soybean oil","FALSE","soybean oil","TPN","","Huile de soja","soybean oil","soybean oil"
"Y","","SPIRAMYCIN","spiramycin","FALSE","spiramycin","Released","","Spiramycine","spiramycine","spiramycine"
"Y","SPIRONOLACTONE","SPIRONOLACTONE","spironolactone","FALSE","spironolactone","Released","","Spironolactone","spironolactone","spironolactone"
"","","STANDARDIZED BERMUDA GRASS POLLEN","standardized bermuda grass pollen","FALSE","standardized bermuda grass pollen","Allergen","","Pollen Standardisé de Chiendent pied-de-poule","standardized bermuda grass pollen","standardized bermuda grass pollen"
"","","STANDARDIZED CAT HAIR ACETONE PRECIPITATED","standardized cat hair acetone precipitated","FALSE","standardized cat hair acetone precipitated","Allergen","","","standardized cat hair acetone precipitated","standardized cat hair acetone precipitated"
"","","STANDARDIZED CAT PELT","standardized cat pelt","FALSE","standardized cat pelt","Allergen","","Poils de chat standardisés","standardized cat pelt","standardized cat pelt"
"","","STANDARDIZED CAT PELT ACETONE PRECIPITATED","standardized cat pelt acetone precipitated","FALSE","standardized cat pelt acetone precipitated","Allergen","","","standardized cat pelt acetone precipitated","standardized cat pelt acetone precipitated"
"","","STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN","standardized kentucky blue/june grass pollen","FALSE","standardized kentucky blue/june grass pollen","Allergen","","Pollen standardisé du pâturin des prés","standardized kentucky blue/june grass pollen","standardized kentucky blue/june grass pollen"
"","","STANDARDIZED MEADOW FESCUE GRASS POLLEN","standardized meadow fescue grass pollen","FALSE","standardized meadow fescue grass pollen","Allergen","","Pollen standardisé de fétuque des prés","standardized meadow fescue grass pollen","standardized meadow fescue grass pollen"
"","","STANDARDIZED ORCHARD GRASS POLLEN","standardized orchard grass pollen","FALSE","standardized orchard grass pollen","Allergen","","Pollen standardisé de dactyle pelotonné","standardized orchard grass pollen","standardized orchard grass pollen"
"","","STANDARDIZED PERENNIAL RYE GRASS POLLEN","standardized perennial rye grass pollen","FALSE","standardized perennial rye grass pollen","Allergen","","Pollen standardisé d'ivraie","standardized perennial rye grass pollen","standardized perennial rye grass pollen"
"","","STANDARDIZED REDTOP GRASS POLLEN","standardized redtop grass pollen","FALSE","standardized redtop grass pollen","Allergen","","Pollen standardisé d'agrostide blanche","standardized redtop grass pollen","standardized redtop grass pollen"
"","","STANDARDIZED SHORT RAGWEED POLLEN ALLERGENIC EXTRACT","standardized short ragweed pollen allergenic extract","FALSE","standardized short ragweed pollen allergenic extract","Allergen","","Extrait d'allergène standardisé de pollen de petite herbe à poux","standardized short ragweed pollen allergenic extract","standardized short ragweed pollen allergenic extract"
"","","STANDARDIZED SWEET VERNAL GRASS POLLEN","standardized sweet vernal grass pollen","FALSE","standardized sweet vernal grass pollen","Allergen","","Pollen standardisé de flouve odorante","standardized sweet vernal grass pollen","standardized sweet vernal grass pollen"
"","","STANDARDIZED TIMOTHY GRASS POLLEN","standardized timothy grass pollen","FALSE","standardized timothy grass pollen","Allergen","","Pollen standardisé de phléole des prés","standardized timothy grass pollen","standardized timothy grass pollen"
"","","STARCH","starch","FALSE","starch","No live products","","Amidon","starch","starch"
"Y","","STAVUDINE","stavudine","FALSE","stavudine","Released","","Stavudine","stavudine","stavudine"
"Y","","STIRIPENTOL","stiripentol","FALSE","stiripentol","Released","","Stiripentol","stiripentol","stiripentol"
"Y","","STORAX","storax","FALSE","storax","Released","Friar's Balsam","Styrax","styrax","styrax"
"Y","","STREPTOMYCIN (STREPTOMYCIN SULFATE)","streptomycin","FALSE","streptomycin (streptomycin sulfate)","Released","","Streptomycine (Sulfate de streptomycine)","streptomycine","streptomycine (sulfate de streptomycine)"
"Y","","STREPTOZOCIN","streptozocin","FALSE","streptozocin","No live products","","Streptozocine","streptozocine","streptozocine"
"Y","","SUCCINYLCHOLINE CHLORIDE","succinylcholine","FALSE","succinylcholine chloride","Released","","Chlorure de succinylcholine","succinylcholine","chlorure de succinylcholine"
"Y","","SUCRALFATE","sucralfate","FALSE","sucralfate","Released","","Sucralfate","sucralfate","sucralfate"
"Y","","SUFENTANIL (SUFENTANIL CITRATE)","sufentanil","FALSE","sufentanil (sufentanil citrate)","Released","","Sufentanil (Citrate de sufentanil)","sufentanil","sufentanil (citrate de sufentanil)"
"Y","","SUGAMMADEX (SUGAMMADEX SODIUM)","sugammadex","FALSE","sugammadex (sugammadex sodium)","Released","","Sugammadex (Sugammadex sodique)","sugammadex","sugammadex (sugammadex sodique)"
"Y","","SULFACETAMIDE SODIUM","sulfacetamide","FALSE","sulfacetamide sodium","Released","","Sulfacétamide sodique","sulfacétamide","sulfacétamide sodique"
"Y","","SULFAMETHOXAZOLE","sulfamethoxazole","FALSE","sulfamethoxazole","Released","","Sulfaméthoxazole","sulfaméthoxazole","sulfaméthoxazole"
"Y","","SULFASALAZINE","sulfasalazine","FALSE","sulfasalazine","Released","","Sulfasalazine","sulfasalazine","sulfasalazine"
"Y","","SULFINPYRAZONE","sulfinpyrazone","FALSE","sulfinpyrazone","Released","","Sulfinpyrazone","sulfinpyrazone","sulfinpyrazone"
"Y","","SULFISOXAZOLE","sulfisoxazole","FALSE","sulfisoxazole","No live products","","Sulfisoxazole","sulfisoxazole","sulfisoxazole"
"Y","","SULFISOXAZOLE (SULFISOXAZOLE ACETYL)","sulfisoxazole","FALSE","sulfisoxazole (sulfisoxazole acetyl)","No live products","","Sulfisoxazole (Acétylsulfisoxazole)","sulfisoxazole","sulfisoxazole (acétylsulfisoxazole)"
"Y","","SULFUR","sulfur","FALSE","sulfur","No products in scope","Acne combination product (NPN)","Soufre","soufre","soufre"
"","","SULFUR HEXAFLUORIDE","sulfur hexafluoride","FALSE","sulfur hexafluoride","Contrast media","","","sulfur hexafluoride","sulfur hexafluoride"
"Y","","SULINDAC","sulindac","FALSE","sulindac","Released","","Sulindac","sulindac","sulindac"
"","","SULISOBENZONE","sulisobenzone","FALSE","sulisobenzone","Sunscreen","","Sulisobenzone","sulisobenzone","sulisobenzone"
"Y","SUMATRIPTAN","SUMATRIPTAN (SUMATRIPTAN HEMISULFATE)","sumatriptan","FALSE","sumatriptan (sumatriptan hemisulfate)","Released","","Sumatriptan (Hémisulfate de sumatriptan)","sumatriptan","sumatriptan (hémisulfate de sumatriptan)"
"Y","SUMATRIPTAN","SUMATRIPTAN (SUMATRIPTAN SUCCINATE)","sumatriptan","FALSE","sumatriptan (sumatriptan succinate)","Released","","Sumatriptan (Succinate de sumatriptan)","sumatriptan","sumatriptan (succinate de sumatriptan)"
"Y","","SUNITINIB (SUNITINIB MALATE)","sunitinib","FALSE","sunitinib (sunitinib malate)","Released","","Sunitinib (Malate de sunitinib)","sunitinib","sunitinib (malate de sunitinib)"
"Y","","SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C","surfactant-associated proteins sp-b and sp-c","FALSE","surfactant-associated proteins sp-b and sp-c","Released","Pulmonary surfactant product","Protéines sp-b et sp-c associées au surfactant","protéines sp-b et sp-c associées au surfactant","protéines sp-b et sp-c associées au surfactant"
"","","SWEET VERNAL GRASS","sweet vernal grass","FALSE","sweet vernal grass","Allergen","","Flouve odorante","sweet vernal grass","sweet vernal grass"
"Y","TACROLIMUS","TACROLIMUS","tacrolimus","FALSE","tacrolimus","Released","","Tacrolimus","tacrolimus","tacrolimus"
"Y","TACROLIMUS","TACROLIMUS (TACROLIMUS MONOHYDRATE)","tacrolimus","TRUE","tacrolimus","Released","","Tacrolimus (Monohydrate de Tacrolimus)","tacrolimus","tacrolimus"
"Y","TADALAFIL","TADALAFIL","tadalafil","FALSE","tadalafil","Released","","Tadalafil","tadalafil","tadalafil"
"Y","","TALIGLUCERASE ALFA","taliglucerase alfa","FALSE","taliglucerase alfa","Released","","Taliglucérase Alfa","taliglucérase alfa","taliglucérase alfa"
"Y","","TAMOXIFEN (TAMOXIFEN CITRATE)","tamoxifen","FALSE","tamoxifen (tamoxifen citrate)","Released","","Tamoxifène (Citrate de tamoxifène)","tamoxifène","tamoxifène (citrate de tamoxifène)"
"Y","TAMSULOSIN","TAMSULOSIN HYDROCHLORIDE","tamsulosin","FALSE","tamsulosin hydrochloride","Released","","Chlorhydrate de tamsulosine","tamsulosine","chlorhydrate de tamsulosine"
"Y","TAPENTADOL","TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","tapentadol","FALSE","tapentadol (tapentadol hydrochloride)","Released","","Tapentadol (Chlorhydrate de tapentadol)","tapentadol","tapentadol (chlorhydrate de tapentadol)"
"","","TAURINE","taurine","FALSE","taurine","TPN","","Taurine","taurine","taurine"
"Y","","TAZAROTENE","tazarotene","FALSE","tazarotene","Released","","Tazarotène","tazarotène","tazarotène"
"Y","","TAZOBACTAM (TAZOBACTAM SODIUM)","tazobactam","FALSE","tazobactam (tazobactam sodium)","Released","Combination only","Tazobactam (Tazobactam sodique)","tazobactam","tazobactam (tazobactam sodique)"
"Y","","TEDUGLUTIDE","teduglutide","FALSE","teduglutide","Released","","TÉDUGLUTIDE","téduglutide","téduglutide"
"Y","","TELAVANCIN (TELAVANCIN HYDROCHLORIDE)","telavancin","FALSE","telavancin (telavancin hydrochloride)","Released","","","télavancine","télavancine (chlorhydrate de télavancine)"
"Y","","TELBIVUDINE","telbivudine","FALSE","telbivudine","Released","","Telbivudine","telbivudine","telbivudine"
"Y","TELMISARTAN","TELMISARTAN","telmisartan","FALSE","telmisartan","Released","","Telmisartan","telmisartan","telmisartan"
"Y","TELMISARTAN","TELMISARTAN (TELMISARTAN SODIUM)","telmisartan","FALSE","telmisartan (telmisartan sodium)","Released","","Telmisartan (Telmisartan sodique)","telmisartan","telmisartan (telmisartan sodique)"
"Y","TEMAZEPAM","TEMAZEPAM","temazepam","FALSE","temazepam","Released","","Témazépam","témazépam","témazépam"
"Y","","TEMOZOLOMIDE","temozolomide","FALSE","temozolomide","Released","","Témozolomide","témozolomide","témozolomide"
"Y","","TEMSIROLIMUS","temsirolimus","FALSE","temsirolimus","Released","","Temsirolimus","temsirolimus","temsirolimus"
"Y","","TENECTEPLASE","tenecteplase","FALSE","tenecteplase","Released","","Ténectéplase","ténectéplase","ténectéplase"
"","","TENIPOSIDE","teniposide","FALSE","teniposide","No live products","","Téniposide","téniposide","téniposide"
"Y","","TENOFOVIR ALAFENAMIDE (TENOFOVIR ALAFENAMIDE HEMIFUMARATE)","tenofovir alafenamide","TRUE","tenofovir alafenamide (tenofovir alafenamide hemifumarate)","Released","","Ténofovir alafénamide (Hémifumarate de ténofovir alafénamide)","ténofovir alafénamide","ténofovir alafénamide (hémifumarate de ténofovir alafénamide)"
"Y","","TENOFOVIR DISOPROXIL FUMARATE","tenofovir disoproxil","FALSE","tenofovir disoproxil fumarate","Released","","Fumarate de ténofovir disoproxil","ténofovir disoproxil","fumarate de ténofovir disoproxil"
"Y","","TENOXICAM","tenoxicam","FALSE","tenoxicam","Released","","Ténoxicam","ténoxicam","ténoxicam"
"Y","TERAZOSIN","TERAZOSIN (TERAZOSIN HYDROCHLORIDE)","terazosin","FALSE","terazosin (terazosin hydrochloride)","Released","","Térazosine (Chlorhydrate de térazosine)","térazosine","térazosine (chlorhydrate de térazosine)"
"Y","TERBINAFINE","TERBINAFINE (TERBINAFINE HYDROCHLORIDE)","terbinafine","FALSE","terbinafine (terbinafine hydrochloride)","Released","","Terbinafine (Chlorhydrate de terbinafine)","terbinafine","terbinafine (chlorhydrate de terbinafine)"
"Y","TERBINAFINE","TERBINAFINE HYDROCHLORIDE","terbinafine","FALSE","terbinafine hydrochloride","Released","","Chlorhydrate de terbinafine","terbinafine","chlorhydrate de terbinafine"
"Y","TERBUTALINE","TERBUTALINE SULFATE","terbutaline","FALSE","terbutaline sulfate","Released","","Sulfate de terbutaline","terbutaline","sulfate de terbutaline"
"Y","","TERCONAZOLE","terconazole","FALSE","terconazole","Released","","Terconazole","terconazole","terconazole"
"","","TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID","terephthalylidene dicamphor sulfonic acid","FALSE","terephthalylidene dicamphor sulfonic acid","Sunscreen","","Acide téréphthalydène dicamphosulfonique","terephthalylidene dicamphor sulfonic acid","terephthalylidene dicamphor sulfonic acid"
"Y","","TERIFLUNOMIDE","teriflunomide","FALSE","teriflunomide","Released","","Tériflunomide","tériflunomide","tériflunomide"
"Y","","TERIPARATIDE","teriparatide","FALSE","teriparatide","Released","","Tériparatide","tériparatide","tériparatide"
"Y","","TESAMORELIN (TESAMORELIN ACETATE)","tesamorelin","FALSE","tesamorelin (tesamorelin acetate)","Released","","Tésamoréline (Acétate de tésamoréline)","tésamoréline","tésamoréline (acétate de tésamoréline)"
"Y","TESTOSTERONE","TESTOSTERONE","testosterone","FALSE","testosterone","Released","","Testostérone","testostérone","testostérone"
"Y","TESTOSTERONE","TESTOSTERONE CYPIONATE","testosterone","FALSE","testosterone cypionate","Released","","Cypionate de testosterone","testostérone","cypionate de testostérone"
"Y","TESTOSTERONE","TESTOSTERONE ENANTHATE","testosterone","FALSE","testosterone enanthate","Released","","Énanthate de testosterone","testostérone","énanthate de testostérone"
"Y","TESTOSTERONE","TESTOSTERONE PROPIONATE","testosterone","FALSE","testosterone propionate","Released","","Propionate de testostérone","testostérone","propionate de testostérone"
"Y","TESTOSTERONE","TESTOSTERONE UNDECANOATE","testosterone","FALSE","testosterone undecanoate","Released","","Undécanoate de testostérone","testostérone","undécanoate de testostérone"
"","","TETANUS IMMUNE GLOBULIN (HUMAN)","tetanus immune globulin (human)","FALSE","tetanus immune globulin (human)","Immunologic","","","tetanus immune globulin (human)","tetanus immune globulin (human)"
"","","TETANUS IMMUNOGLOBULIN (HUMAN)","tetanus immunoglobulin (human)","FALSE","tetanus immunoglobulin (human)","Immunologic","","Immunoglobuline antitétanique (humaine)","tetanus immunoglobulin (human)","tetanus immunoglobulin (human)"
"","","TETANUS PROTEIN","tetanus protein","FALSE","tetanus protein","Immunologic","","Protéine tétanique","tetanus protein","tetanus protein"
"","","TETANUS TOXOID","tetanus toxoid","FALSE","tetanus toxoid","Immunologic","","Anatoxine tétanique","tetanus toxoid","tetanus toxoid"
"","","TETANUS TOXOID ADSORBED","tetanus toxoid adsorbed","FALSE","tetanus toxoid adsorbed","Immunologic","","Anatoxine tétanique adsorbée","tetanus toxoid adsorbed","tetanus toxoid adsorbed"
"Y","","TETRABENAZINE","tetrabenazine","FALSE","tetrabenazine","Released","","Tétrabénazine","tétrabénazine","tétrabénazine"
"Y","","TETRACAINE","tetracaine","FALSE","tetracaine","Released","","Tétracaïne","tétracaïne","tétracaïne"
"Y","","TETRACAINE (TETRACAINE HYDROCHLORIDE)","tetracaine","FALSE","tetracaine (tetracaine hydrochloride)","Released","","Tétracaïne (Chlorhydrate de tetracaïne)","tétracaïne","tétracaïne (chlorhydrate de tétracaïne)"
"Y","","TETRACAINE HYDROCHLORIDE","tetracaine","FALSE","tetracaine hydrochloride","Released","","Chlorhydrate de tetracaïne","tétracaïne","chlorhydrate de tétracaïne"
"Y","","TETRACOSACTIDE","tetracosactide","FALSE","tetracosactide","Released","","Tétracosactide","tétracosactide","tétracosactide"
"Y","","TETRACOSACTIDE (TETRACOSACTIDE ZINC HYDROXIDE)","tetracosactide","FALSE","tetracosactide (tetracosactide zinc hydroxide)","Released","","Tétracosactide (Complexe tétracosactide-hydroxyde de zinc)","tétracosactide","tétracosactide (complexe tétracosactide-hydroxyde de zinc)"
"Y","","TETRACYCLINE HYDROCHLORIDE","tetracycline","FALSE","tetracycline hydrochloride","Released","","Chlorhydrate de tétracycline","tétracycline","chlorhydrate de tétracycline"
"Y","","TETRAHYDROZOLINE HYDROCHLORIDE","tetrahydrozoline","FALSE","tetrahydrozoline hydrochloride","Released","","Chlorhydrate de tétrahydrozoline","tétrahydrozoline","chlorhydrate de tétrahydrozoline"
"Y","","TEZACAFTOR","tezacaftor","FALSE","tezacaftor","Released","Combination only","TEZACAFTOR","tézacaftor","tézacaftor"
"Y","","THALIDOMIDE","thalidomide","FALSE","thalidomide","Released","","Thalidomide","thalidomide","thalidomide"
"Y","","THEOPHYLLINE","theophylline","FALSE","theophylline","Released","","Théophylline","théophylline","théophylline"
"Y","","THIAMINE HYDROCHLORIDE","thiamine","FALSE","thiamine hydrochloride","Released","Vitamin","Chlorhydrate de thiamine","thiamine","chlorhydrate de thiamine"
"Y","","THIOGUANINE","thioguanine","FALSE","thioguanine","Released","","Thioguanine","thioguanine","thioguanine"
"","","THIOPENTAL SODIUM","thiopental sodium","FALSE","thiopental sodium","No live products","","Thiopental sodique","thiopental sodique","thiopental sodique"
"","","THIOPROPERAZINE (THIOPROPERAZINE MESYLATE)","thioproperazine (thioproperazine mesylate)","FALSE","thioproperazine (thioproperazine mesylate)","No live products","","Thiopropérazine (Mésylate de thiopropérazine)","thiopropérazine","thiopropérazine (mésylate de thiopropérazine)"
"Y","","THIOTEPA","thiotepa","FALSE","thiotepa","Released","","Thiotépa","thiotépa","thiotépa"
"","","THIOTHIXENE","thiothixene","FALSE","thiothixene","No live products","","Thiothixène","thiothixene","thiothixene"
"","","THREONINE","threonine","FALSE","threonine","TPN","","Thréonine","threonine","threonine"
"Y","","THROMBIN (HUMAN)","thrombin human","FALSE","thrombin human","Haematology","","Thrombine (humaine)","thrombine humaine","thrombine humaine"
"","","THYMOL","thymol","FALSE","thymol","No live products","","Thymol","thymol","thymol"
"Y","","THYROID","thyroid","FALSE","thyroid","Released","","Thyroïde","thyroïde","thyroïde"
"Y","","THYROTROPIN ALFA","thyrotropin alfa","FALSE","thyrotropin alfa","Released","","Thyrotropine alfa","thyrotropine alfa","thyrotropine alfa"
"Y","","TIAPROFENIC ACID","tiaprofenic acid","FALSE","tiaprofenic acid","Released","","Acide tiaprofénique","acide tiaprofénique","acide tiaprofénique"
"Y","","TICAGRELOR","ticagrelor","FALSE","ticagrelor","Released","","Ticagrélor","ticagrélor","ticagrélor"
"Y","","TICLOPIDINE HYDROCHLORIDE","ticlopidine","FALSE","ticlopidine hydrochloride","Released","","Chlorhydrate de ticlopidine","ticlopidine","chlorhydrate de ticlopidine"
"Y","","TIGECYCLINE","tigecycline","FALSE","tigecycline","Released","","Tigécycline","tigécycline","tigécycline"
"Y","TIMOLOL","TIMOLOL (TIMOLOL MALEATE)","timolol","FALSE","timolol (timolol maleate)","Released","","Timolol (Maléate de timolol)","timolol","timolol (maléate de timolol)"
"Y","TIMOLOL","TIMOLOL MALEATE","timolol","FALSE","timolol maleate","Released","","Maléate de timolol","timolol","maléate de timolol"
"Y","","TINZAPARIN SODIUM","tinzaparin","FALSE","tinzaparin sodium","Released","","Tinzaparine sodique","tinzaparine","tinzaparine sodique"
"Y","TIOTROPIUM","TIOTROPIUM (TIOTROPIUM BROMIDE MONOHYDRATE)","tiotropium","TRUE","tiotropium (tiotropium bromide)","Released","","Tiotropium (Bromure de tiotropium monohydraté)","tiotropium","tiotropium (bromure de tiotropium)"
"Y","","TIPIRACIL (TIPIRACIL HYDROCHLORIDE)","tipiracil","FALSE","tipiracil (tipiracil hydrochloride)","Released","Combination only","Tipiracil (Chlorhydrate de tipiracil)","tipiracil","tipiracil (chlorhydrate de tipiracil)"
"Y","","TIPRANAVIR","tipranavir","FALSE","tipranavir","Released","","Tipranavir","tipranavir","tipranavir"
"Y","","TIROFIBAN (TIROFIBAN HYDROCHLORIDE)","tirofiban","FALSE","tirofiban (tirofiban hydrochloride)","Released","","Tirofiban (Chlorhydrate de tirofiban)","tirofiban","tirofiban (chlorhydrate de tirofiban)"
"","","TITANIUM DIOXIDE","titanium dioxide","FALSE","titanium dioxide","Sunscreen","","Dioxyde de titane","dioxyde de titane","dioxyde de titane"
"Y","","TIZANIDINE (TIZANIDINE HYDROCHLORIDE)","tizanidine","FALSE","tizanidine (tizanidine hydrochloride)","Released","","Tizanidine (Chlorhydrate de tizanidine)","tizanidine","tizanidine (chlorhydrate de tizanidine)"
"Y","TOBRAMYCIN","TOBRAMYCIN","tobramycin","FALSE","tobramycin","Released","","Tobramycine","tobramycine","tobramycine"
"Y","TOBRAMYCIN","TOBRAMYCIN (TOBRAMYCIN SULFATE)","tobramycin","FALSE","tobramycin (tobramycin sulfate)","Released","","Tobramycine (Sulfate de tobramycine)","tobramycine","tobramycine (sulfate de tobramycine)"
"Y","","TOCILIZUMAB","tocilizumab","FALSE","tocilizumab","Released","","Tocilizumab","tocilizumab","tocilizumab"
"Y","","TOFACITINIB (TOFACITINIB CITRATE)","tofacitinib","FALSE","tofacitinib (tofacitinib citrate)","Released","","Tofacitinib (Citrate de Tofacitinib)","tofacitinib","tofacitinib (citrate de tofacitinib)"
"Y","TOLBUTAMIDE","TOLBUTAMIDE","tolbutamide","FALSE","tolbutamide","Released","","Tolbutamide","tolbutamide","tolbutamide"
"Y","","TOLNAFTATE","tolnaftate","FALSE","tolnaftate","Released","","Tolnaftate","tolnaftate","tolnaftate"
"Y","TOLTERODINE","TOLTERODINE TARTRATE","tolterodine","FALSE","tolterodine tartrate","Released","","Toltérodine Tartrate","toltérodine","tartrate de toltérodine"
"Y","TOLVAPTAN","TOLVAPTAN","tolvaptan","FALSE","tolvaptan","Released","","Tolvaptan","tolvaptan","tolvaptan"
"Y","TOPIRAMATE","TOPIRAMATE","topiramate","FALSE","topiramate","Released","","Topiramate","topiramate","topiramate"
"Y","","TOPOTECAN (TOPOTECAN HYDROCHLORIDE)","topotecan","FALSE","topotecan (topotecan hydrochloride)","Released","","Topotécane (Chlorhydrate de topotécan)","topotécan","topotécan (chlorhydrate de topotécan)"
"Y","","TRABECTEDIN","trabectedin","FALSE","trabectedin","Released","","Trabectédine","trabectédine","trabectédine"
"Y","TRAMADOL","TRAMADOL HYDROCHLORIDE","tramadol","FALSE","tramadol hydrochloride","Released","","Chlorhydrate de tramadol","tramadol","chlorhydrate de tramadol"
"Y","","TRAMETINIB","trametinib","FALSE","trametinib","Released","","Tramétinib","tramétinib","tramétinib"
"Y","TRANDOLAPRIL","TRANDOLAPRIL","trandolapril","FALSE","trandolapril","Released","","Trandolapril","trandolapril","trandolapril"
"Y","","TRANEXAMIC ACID","tranexamic acid","FALSE","tranexamic acid","Released","","Acide tranexamique","acide tranexamique","acide tranexamique"
