"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
81279,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327465"
81280,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327473"
81284,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327538"
81578,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330024"
81579,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330032"
81595,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330199"
81601,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330253"
81602,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330261"
92235,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02437996"
94043,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02453908"
96647,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02475804"
96648,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02475812"
97248,"active","active","SANDOZ CANADA INCORPORATED","STERINOVA INC","02481979"
10062,"dormant","dormant","EURO-PHARM INTERNATIONAL CANADA INC","SANDOZ CANADA INCORPORATED","00807435"
81236,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327031"
81242,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327104"
81580,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330040"
74428,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02258994"
74645,"approved","approved","FRESENIUS MEDICAL CARE CANADA INC","FRESENIUS MEDICAL CARE DEUTCHLAND GMBH","02261030"
74646,"approved","approved","FRESENIUS MEDICAL CARE CANADA INC","FRESENIUS MEDICAL CARE DEUTCHLAND GMBH","02261049"
74929,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02263882"
80163,"approved","approved","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316102"
80648,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02321076"
80732,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02321912"
80788,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02322439"
