"concept_code","concept_name","tm_formal_name","policy","policy_url"
"00402745","APO OXAZEPAM TAB 15MG (oxazepam 15 mg oral tablet) APOTEX INC","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00392472","SUPEUDOL 20 (oxycodone hydrochloride 20 mg suppository) SANDOZ CANADA INCORPORATED","oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00392480","SUPEUDOL 10 (oxycodone hydrochloride 10 mg suppository) SANDOZ CANADA INCORPORATED","oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00399728","DIAZEPAM INJECTION USP (diazepam 20 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00497754","OXAZEPAM 10 TAB 10MG (oxazepam 10 mg oral tablet) PRO DOC LIMITEE","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00497762","OXAZEPAM 15 TAB 15MG (oxazepam 15 mg oral tablet) PRO DOC LIMITEE","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00497770","OXAZEPAM 30 TAB 30MG (oxazepam 30 mg oral tablet) PRO DOC LIMITEE","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00443948","SUPEUDOL 10 (oxycodone hydrochloride 10 mg oral tablet) SANDOZ CANADA INCORPORATED","oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00518123","LECTOPAM TAB 3MG (bromazepam 3 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00518131","LECTOPAM TAB 6MG (bromazepam 6 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00548359","XANAX (alprazolam 0.25 mg oral tablet) PFIZER CANADA INC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00548367","XANAX TAB 0.5MG (alprazolam 0.5 mg oral tablet) PFIZER CANADA INC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00521698","FLURAZEPAM (flurazepam hydrochloride 15 mg oral capsule) AA PHARMA INC","flurazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00521701","FLURAZEPAM (flurazepam hydrochloride 30 mg oral capsule) AA PHARMA INC","flurazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00544884","CODEINE PHOSPHATE INJECTION USP (codeine phosphate 30 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00578479","FLURAZEPAM 15 (flurazepam hydrochloride 15 mg oral capsule) PRO DOC LIMITEE","flurazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00578487","FLURAZEPAM 30 (flurazepam hydrochloride 30 mg oral capsule) PRO DOC LIMITEE","flurazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00568406","RIVA OXAZEPAM (oxazepam 15 mg oral tablet) LABORATOIRE RIVA INC","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00568414","RIVA OXAZEPAM (oxazepam 30 mg oral tablet) LABORATOIRE RIVA INC","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00568392","RIVA OXAZEPAM (oxazepam 10 mg oral tablet) LABORATOIRE RIVA INC","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00604453","RESTORIL (temazepam 15 mg oral capsule) AA PHARMA INC","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00604461","RESTORIL (temazepam 30 mg oral capsule) AA PHARMA INC","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00608157","RATIO-OXYCODAN (acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet) TEVA CANADA LIMITED","acetylsalicylic acid and oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00608165","TEVA-OXYCOCET (acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet) TEVA CANADA LIMITED","acetaminophen and oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00632775","RITALIN-SR TAB 20MG (methylphenidate hydrochloride 20 mg prolonged-release oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00637742","TEVA-LORAZEPAM (lorazepam 1 mg oral tablet) TEVA CANADA LIMITED","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00637750","TEVA-LORAZEPAM (lorazepam 2 mg oral tablet) TEVA CANADA LIMITED","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00655740","APO-LORAZEPAM TAB 0.5MG (lorazepam 0.5 mg oral tablet) APOTEX INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00655759","APO-LORAZEPAM TAB 1MG (lorazepam 1 mg oral tablet) APOTEX INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00655767","APO-LORAZEPAM TAB 2MG (lorazepam 2 mg oral tablet) APOTEX INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00593435","RATIO-CODEINE (codeine phosphate 15 mg oral tablet) TEVA CANADA LIMITED","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00593451","RATIO-CODEINE (codeine phosphate 30 mg oral tablet) TEVA CANADA LIMITED","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00655651","PRO-LORAZEPAM TAB 1.0MG (lorazepam 1 mg oral tablet) PRO DOC LIMITEE","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00655678","PRO-LORAZEPAM TAB 2MG (lorazepam 2 mg oral tablet) PRO DOC LIMITEE","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00621463","RATIO-LENOLTEC NO 4 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) TEVA CANADA LIMITED","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00711101","TEVA-LORAZEPAM (lorazepam 0.5 mg oral tablet) TEVA CANADA LIMITED","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00728187","PMS-LORAZEPAM TAB 0.5MG (lorazepam 0.5 mg oral tablet) PHARMASCIENCE INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00728195","PMS-LORAZEPAM TAB 1MG (lorazepam 1 mg oral tablet) PHARMASCIENCE INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00728209","PMS-LORAZEPAM TAB 2MG (lorazepam 2 mg oral tablet) PHARMASCIENCE INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00789828","TRIATEC-30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) LABORATOIRE RIVA INC","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00584991","PMS-METHYLPHENIDATE (methylphenidate hydrochloride 10 mg oral tablet) PHARMASCIENCE INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00585009","PMS-METHYLPHENIDATE (methylphenidate hydrochloride 20 mg oral tablet) PHARMASCIENCE INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00789739","SUPEUDOL 5 (oxycodone hydrochloride 5 mg oral tablet) SANDOZ CANADA INCORPORATED","oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00865397","APO-ALPRAZ (alprazolam 0.25 mg oral tablet) APOTEX INC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00865400","APO-ALPRAZ (alprazolam 0.5 mg oral tablet) APOTEX INC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00608882","TEVA-EMTEC-30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) TEVA CANADA LIMITED","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01901869","SANDOZ OPIUM & BELLADONNA (belladonna 15 mg and opium 65 mg suppository) SANDOZ CANADA INCORPORATED","belladonna and opium","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00816027","PMS-ACETAMINOPHEN W CODEINE ELIXIR (acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution) PHARMASCIENCE INC","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01908189","ALPRAZOLAM-0.25 (alprazolam 0.25 mg oral tablet) PRO DOC LIMITEE","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01908170","ALPRAZOLAM-0.5 (alprazolam 0.5 mg oral tablet) PRO DOC LIMITEE","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01913484","TEVA-ALPRAZOLAM (alprazolam 0.25 mg oral tablet) TEVA CANADA LIMITED","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01913492","TEVA-ALPRAZOLAM (alprazolam 0.5 mg oral tablet) TEVA CANADA LIMITED","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01916971","TUSSIONEX (hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension) SANOFI-AVENTIS CANADA INC","hydrocodone and phenyltoloxamine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00891797","PMS-DIAZEPAM SOLUTION 1MG/ML (diazepam 1 mg per mL oral solution) PHARMASCIENCE INC","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01916491","PERCOCET-DEMI (acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA","acetaminophen and oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00723770","XANAX TAB 1MG (alprazolam 1 mg oral tablet) PFIZER CANADA INC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00813958","XANAX TS (alprazolam 2 mg oral tablet) PFIZER CANADA INC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02048728","PMS-CLONAZEPAM TAB 1.0MG (clonazepam 1 mg oral tablet) PHARMASCIENCE INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02048701","PMS-CLONAZEPAM TAB 0.5MG (clonazepam 0.5 mg oral tablet) PHARMASCIENCE INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02048736","PMS-CLONAZEPAM TAB 2MG (clonazepam 2 mg oral tablet) PHARMASCIENCE INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01924567","DEXEDRINE SPANSULE SRC 15MG (dextroamphetamine sulfate 15 mg prolonged-release oral capsule) PALADIN LABS INC","dextroamphetamine","Schedule G (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01924559","DEXEDRINE SPANSULE SRC 10MG (dextroamphetamine sulfate 10 mg prolonged-release oral capsule) PALADIN LABS INC","dextroamphetamine","Schedule G (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01924516","DEXEDRINE TABLETS (5MG) (dextroamphetamine sulfate 5 mg oral tablet) PALADIN LABS INC","dextroamphetamine","Schedule G (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01999648","ACET CODEINE 30 (acetaminophen 300 mg and codeine phosphate 30 mg oral tablet) PHARMASCIENCE INC","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01999656","ACET CODEINE 60 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) PHARMASCIENCE INC","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02041464","ATIVAN (lorazepam 1 mg sublingual tablet) PFIZER CANADA INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02009757","CODEINE 30 (codeine phosphate 30 mg oral tablet) LABORATOIRE RIVA INC","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02009889","CODEINE 15 (codeine phosphate 15 mg oral tablet) LABORATOIRE RIVA INC","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02041472","ATIVAN (lorazepam 2 mg sublingual tablet) PFIZER CANADA INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02041448","ATIVAN (lorazepam 2 mg oral tablet) PFIZER CANADA INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02041421","ATIVAN (lorazepam 1 mg oral tablet) PFIZER CANADA INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02041413","ATIVAN (lorazepam 0.5 mg oral tablet) PFIZER CANADA INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02049481","NOVAHISTEX DH (hydrocodone bitartrate 5 mg per 5 mL and phenylephrine hydrochloride 20 mg per 5 mL syrup) SANOFI-AVENTIS CANADA INC","hydrocodone and phenylephrine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02049473","NOVAHISTINE DH (hydrocodone bitartrate 1.7 mg per 5 mL and phenylephrine hydrochloride 10 mg per 5 mL syrup) SANOFI-AVENTIS CANADA INC","hydrocodone and phenylephrine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"01916548","ENDOCET (acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA","acetaminophen and oxycodone","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02041456","ATIVAN (lorazepam 0.5 mg sublingual tablet) PFIZER CANADA INC","lorazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02137534","MYLAN-ALPRAZOLAM (alprazolam 0.25 mg oral tablet) MYLAN PHARMACEUTICALS ULC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02137542","MYLAN-ALPRAZOLAM (alprazolam 0.5 mg oral tablet) MYLAN PHARMACEUTICALS ULC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02137984","TALWIN (pentazocine (pentazocine hydrochloride) 50 mg oral tablet) SANOFI-AVENTIS CANADA INC","pentazocine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02177188","APO-BROMAZEPAM - TAB 6MG (bromazepam 6 mg oral tablet) APOTEX INC","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02177897","APO-CLONAZEPAM - TAB 2MG (clonazepam 2 mg oral tablet) APOTEX INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02163799","CODEINE CONTIN 200MG CONTROLLED RELEASE TAB (codeine (codeine monohydrate, codeine sulfate trihydrate) 200 mg prolonged-release oral tablet) PURDUE PHARMA","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02163748","CODEINE CONTIN 100MG CONTROLLED RELEASE TAB (codeine (codeine monohydrate, codeine sulfate trihydrate) 100 mg prolonged-release oral tablet) PURDUE PHARMA","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02163780","CODEINE CONTIN 150MG CONTROLLED RELEASE TAB (codeine (codeine monohydrate, codeine sulfate trihydrate) 150 mg prolonged-release oral tablet) PURDUE PHARMA","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02177161","APO-BROMAZEPAM - TAB 3MG (bromazepam 3 mg oral tablet) APOTEX INC","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02177153","APO-BROMAZEPAM - TAB 1.5MG (bromazepam 1.5 mg oral tablet) APOTEX INC","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02177889","APO-CLONAZEPAM - TAB 0.5MG (clonazepam 0.5 mg oral tablet) APOTEX INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02179660","PMS-CLONAZEPAM- TAB 0.25MG (clonazepam 0.25 mg oral tablet) PHARMASCIENCE INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02163918","TYLENOL WITH CODEINE NO. 4 (acetaminophen 300 mg and codeine phosphate 60 mg oral tablet) JANSSEN INC","acetaminophen and codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02207818","PMS-CLONAZEPAM-R TAB 0.5MG (clonazepam 0.5 mg oral tablet) PHARMASCIENCE INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02126486","PHL-METHYLPHENIDATE (methylphenidate hydrochloride 20 mg oral tablet) PHARMEL INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02126494","PHL-METHYLPHENIDATE (methylphenidate hydrochloride 10 mg oral tablet) PHARMEL INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02224577","COPHYLAC DROPS (normethadone hydrochloride 10 mg per mL and p-hydroxyephedrine hydrochloride 20 mg per mL oral drops) VALEANT CANADA LP/VALEANT CANADA S.E.C.","normethadone and p-hydroxyephedrine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02220520","BROMAZEPAM-3 - TAB 3MG (bromazepam 3 mg oral tablet) PRO DOC LIMITEE","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02220539","BROMAZEPAM-6 - TAB 6MG (bromazepam 6 mg oral tablet) PRO DOC LIMITEE","bromazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02221799","FRISIUM TABLET 10MG (clobazam 10 mg oral tablet) LUNDBECK PHARMACEUTICALS LLC","clobazam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02225964","APO-TEMAZEPAM (temazepam 15 mg oral capsule) APOTEX INC","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02145227","PHL-CLONAZEPAM - TAB 0.5MG (clonazepam 0.5 mg oral tablet) PHARMEL INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02225972","APO-TEMAZEPAM (temazepam 30 mg oral capsule) APOTEX INC","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02145235","PHL-CLONAZEPAM - TAB 1MG (clonazepam 1 mg oral tablet) PHARMEL INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02145243","PHL-CLONAZEPAM - TAB 2MG (clonazepam 2 mg oral tablet) PHARMEL INC","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02229760","TEMAZEPAM-15 (temazepam 15 mg oral capsule) PRO DOC LIMITEE","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02229761","TEMAZEPAM-30 (temazepam 30 mg oral capsule) PRO DOC LIMITEE","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02229813","MYLAN-ALPRAZOLAM (alprazolam 1 mg oral tablet) MYLAN PHARMACEUTICALS ULC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02229814","MYLAN-ALPRAZOLAM (alprazolam 2 mg oral tablet) MYLAN PHARMACEUTICALS ULC","alprazolam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00176141","BELLERGAL SPACETABS (belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet) PALADIN LABS INC","belladonna and ergotamine and phenobarbital","Schedule G (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02230095","TEVA-TEMAZEPAM (temazepam 15 mg oral capsule) TEVA CANADA LIMITED","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02230102","TEVA-TEMAZEPAM (temazepam 30 mg oral capsule) TEVA CANADA LIMITED","temazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02230302","CODEINE CONTIN 50MG CONTROLLED RELEASE TAB (codeine (codeine monohydrate, codeine sulfate trihydrate) 50 mg prolonged-release oral tablet) PURDUE PHARMA","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"02230321","RATIO-METHYLPHENIDATE (methylphenidate hydrochloride 10 mg oral tablet) TEVA CANADA LIMITED","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
