"drug_code","ccdd","n_ing","ai_code_set","tm_formal_name","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name","mp_ing_formal_name"
260,FALSE,1,"5843","tropicamide","0.5 %","TROPICAMIDE","tropicamide","tropicamide 0.5 %","tropicamide 0.5 %"
287,FALSE,1,"10302","d-penicillamine","250 MG","D-PENICILLAMINE","d-penicillamine","d-penicillamine 250 mg","d-penicillamine 250 mg"
290,TRUE,1,"7234","quinine sulfate","300 MG","QUININE SULFATE","quinine sulfate","quinine sulfate 300 mg","quinine sulfate 300 mg"
316,TRUE,1,"8008","hydroxyzine","10 MG per 5 ML","HYDROXYZINE HYDROCHLORIDE","hydroxyzine hydrochloride","hydroxyzine hydrochloride 10 mg per 5 mL","hydroxyzine hydrochloride 10 mg per 5 mL"
354,TRUE,2,"7606, 7610","betamethasone acetate and betamethasone (base)","3 MG per ML, 3 MG per ML","BETAMETHASONE ACETATE, BETAMETHASONE SODIUM PHOSPHATE","betamethasone acetate, betamethasone (betamethasone sodium phosphate)","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL","betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL"
371,FALSE,1,"8145","sulfacetamide sodium","100 MG per ML","SULFACETAMIDE SODIUM","sulfacetamide sodium","sulfacetamide sodium 100 mg per mL","sulfacetamide sodium 100 mg per mL"
405,TRUE,1,"8282","phenobarbital","15 MG","PHENOBARBITAL","phenobarbital","phenobarbital 15 mg","phenobarbital 15 mg"
406,TRUE,1,"8282","phenobarbital","30 MG","PHENOBARBITAL","phenobarbital","phenobarbital 30 mg","phenobarbital 30 mg"
407,TRUE,1,"8282","phenobarbital","60 MG","PHENOBARBITAL","phenobarbital","phenobarbital 60 mg","phenobarbital 60 mg"
408,TRUE,1,"8282","phenobarbital","100 MG","PHENOBARBITAL","phenobarbital","phenobarbital 100 mg","phenobarbital 100 mg"
415,FALSE,1,"3359","dihydroergotamine mesylate","1 MG per ML","DIHYDROERGOTAMINE MESYLATE","dihydroergotamine mesylate","dihydroergotamine mesylate 1 mg per mL","dihydroergotamine mesylate 1 mg per mL"
430,TRUE,1,"7538","medroxyprogesterone","5 MG","MEDROXYPROGESTERONE ACETATE","medroxyprogesterone acetate","medroxyprogesterone acetate 5 mg","medroxyprogesterone acetate 5 mg"
431,FALSE,1,"8502","bacitracin","50000 UNIT per 10 ML","BACITRACIN","bacitracin","bacitracin 50000 unit per 10 mL","bacitracin 50000 unit per 10 mL"
432,TRUE,1,"7532","hydrocortisone","10 MG","HYDROCORTISONE","hydrocortisone","hydrocortisone 10 mg","hydrocortisone 10 mg"
433,TRUE,1,"7532","hydrocortisone","20 MG","HYDROCORTISONE","hydrocortisone","hydrocortisone 20 mg","hydrocortisone 20 mg"
441,TRUE,1,"7538","medroxyprogesterone","50 MG per ML","MEDROXYPROGESTERONE ACETATE","medroxyprogesterone acetate","medroxyprogesterone acetate 50 mg per mL","medroxyprogesterone acetate 50 mg per mL"
468,TRUE,1,"150","acetylsalicylic acid","650 MG","ACETYLSALICYLIC ACID","acetylsalicylic acid","acetylsalicylic acid 650 mg","acetylsalicylic acid 650 mg"
507,TRUE,1,"7566","prednisone","5 MG","PREDNISONE","prednisone","prednisone 5 mg","prednisone 5 mg"
577,FALSE,1,"9782","dimenhydrinate","50 MG","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 50 mg","dimenhydrinate 50 mg"
579,FALSE,1,"10259","chlorpheniramine maleate","4 MG","CHLORPHENIRAMINE MALEATE","chlorpheniramine maleate","chlorpheniramine maleate 4 mg","chlorpheniramine maleate 4 mg"
585,FALSE,1,"10225","lidocaine hydrochloride","10 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 10 mg per mL","lidocaine hydrochloride 10 mg per mL"
587,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL","lidocaine hydrochloride 20 mg per mL"
589,TRUE,2,"8926, 10225","epinephrine and lidocaine hydrochloride","0.01 MG per ML, 10 MG per ML","EPINEPHRINE BITARTRATE, LIDOCAINE HYDROCHLORIDE","epinephrine (epinephrine bitartrate), lidocaine hydrochloride","epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL","epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 10 mg per mL"
590,TRUE,2,"8926, 10225","epinephrine and lidocaine hydrochloride","5 MCG per ML, 10 MG per ML","EPINEPHRINE BITARTRATE, LIDOCAINE HYDROCHLORIDE","epinephrine (epinephrine bitartrate), lidocaine hydrochloride","epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL","epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL"
613,TRUE,1,"10209","phenytoin (base)","125 MG per 5 ML","PHENYTOIN","phenytoin","phenytoin 125 mg per 5 mL","phenytoin 125 mg per 5 mL"
615,FALSE,1,"10170","ethacrynic acid (ethacrynate sodium)","50 MG per VIAL","ETHACRYNATE SODIUM","ethacrynic acid (ethacrynate sodium)","ethacrynic acid (ethacrynate sodium) 50 mg per vial","ethacrynic acid (ethacrynate sodium) 50 mg per vial"
631,FALSE,2,"9081, 7568","clioquinol and flumethasone pivalate","3 %, 0.02 %","CLIOQUINOL, FLUMETHASONE PIVALATE","clioquinol, flumethasone pivalate","clioquinol 3 % and flumethasone pivalate 0.02 %","clioquinol 3 % and flumethasone pivalate 0.02 %"
635,TRUE,2,"8926, 10225","epinephrine and lidocaine hydrochloride","0.02 MG per ML, 20 MG per ML","EPINEPHRINE BITARTRATE, LIDOCAINE HYDROCHLORIDE","epinephrine (epinephrine bitartrate), lidocaine hydrochloride","epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL","epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL"
636,TRUE,2,"8926, 10225","epinephrine and lidocaine hydrochloride","0.01 MG per ML, 20 MG per ML","EPINEPHRINE BITARTRATE, LIDOCAINE HYDROCHLORIDE","epinephrine (epinephrine bitartrate), lidocaine hydrochloride","epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL","epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL"
651,TRUE,1,"7234","quinine sulfate","200 MG","QUININE SULFATE","quinine sulfate","quinine sulfate 200 mg","quinine sulfate 200 mg"
672,NA,1,"7905","NA","100 M per ML","SMALLPOX VACCINE DRIED","NA","NA 100 m per mL","NA"
682,FALSE,1,"6547","chloroquine diphosphate","250 MG","CHLOROQUINE DIPHOSPHATE","chloroquine diphosphate","chloroquine diphosphate 250 mg","chloroquine diphosphate 250 mg"
690,FALSE,1,"1411","ergoloid mesylates","1 MG","ERGOLOID MESYLATES","ergoloid mesylates","ergoloid mesylates 1 mg","ergoloid mesylates 1 mg"
721,FALSE,1,"7140","mineral oil","100 %","MINERAL OIL","mineral oil","mineral oil 100 %","mineral oil 100 %"
728,FALSE,2,"10260, 6301","chlordiazepoxide hydrochloride and clidinium bromide","5 MG, 2.5 MG","CHLORDIAZEPOXIDE HYDROCHLORIDE, CLIDINIUM BROMIDE","chlordiazepoxide hydrochloride, clidinium bromide","chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg","chlordiazepoxide hydrochloride 5 mg and clidinium bromide 2.5 mg"
731,FALSE,1,"6363","ethosuximide","250 MG per 5 ML","ETHOSUXIMIDE","ethosuximide","ethosuximide 250 mg per 5 mL","ethosuximide 250 mg per 5 mL"
733,TRUE,1,"7566","prednisone","5 MG","PREDNISONE","prednisone","prednisone 5 mg","prednisone 5 mg"
744,FALSE,3,"10021, 778, 6648","citric acid and magnesium oxide and sodium carbonate (anhydrous)","148 MG per ML, 1.9 MG per ML, 2.2 MG per ML","CITRIC ACID, MAGNESIUM OXIDE, ANHYDROUS","citric acid, magnesium oxide, sodium carbonate (anhydrous)","citric acid 148 mg per mL and magnesium oxide 1.9 mg per mL and sodium carbonate (anhydrous) 2.2 mg per mL","citric acid 148 mg per mL and magnesium oxide 1.9 mg per mL and sodium carbonate (anhydrous) 2.2 mg per mL"
745,FALSE,4,"51, 49, 53, 55","calcium chloride and magnesium chloride and potassium chloride and sodium chloride","0.2 MG per ML, 0.116 MG per ML, 0.3 MG per ML, 8.6 MG per ML","CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","calcium chloride, magnesium chloride, potassium chloride, sodium chloride","calcium chloride 0.2 mg per mL and magnesium chloride 0.116 mg per mL and potassium chloride 0.3 mg per mL and sodium chloride 8.6 mg per mL","calcium chloride 0.2 mg per mL and magnesium chloride 0.116 mg per mL and potassium chloride 0.3 mg per mL and sodium chloride 8.6 mg per mL"
769,TRUE,1,"10209","phenytoin (base)","30 MG per 5 ML","PHENYTOIN","phenytoin","phenytoin 30 mg per 5 mL","phenytoin 30 mg per 5 mL"
771,FALSE,1,"6363","ethosuximide","250 MG","ETHOSUXIMIDE","ethosuximide","ethosuximide 250 mg","ethosuximide 250 mg"
772,FALSE,1,"6617","thyroid","30 MG","THYROID","thyroid","thyroid 30 mg","thyroid 30 mg"
773,FALSE,1,"6617","thyroid","60 MG","THYROID","thyroid","thyroid 60 mg","thyroid 60 mg"
774,FALSE,1,"6617","thyroid","125 MG","THYROID","thyroid","thyroid 125 mg","thyroid 125 mg"
777,TRUE,1,"4182","carbamazepine","200 MG","CARBAMAZEPINE","carbamazepine","carbamazepine 200 mg","carbamazepine 200 mg"
778,TRUE,1,"10234","hydrochlorothiazide","25 MG","HYDROCHLOROTHIAZIDE","hydrochlorothiazide","hydrochlorothiazide 25 mg","hydrochlorothiazide 25 mg"
780,FALSE,1,"5843","tropicamide","1 %","TROPICAMIDE","tropicamide","tropicamide 1 %","tropicamide 1 %"
784,FALSE,1,"10039","thiothixene","5 MG","THIOTHIXENE","thiothixene","thiothixene 5 mg","thiothixene 5 mg"
789,FALSE,1,"7624","methylprednisolone acetate","80 MG per ML","METHYLPREDNISOLONE ACETATE","methylprednisolone acetate","methylprednisolone acetate 80 mg per mL","methylprednisolone acetate 80 mg per mL"
790,FALSE,1,"8937","ephedrine sulfate","50 MG per ML","EPHEDRINE SULFATE","ephedrine sulfate","ephedrine sulfate 50 mg per mL","ephedrine sulfate 50 mg per mL"
793,FALSE,1,"12399","hypromellose","0.5 %","HYPROMELLOSE","hypromellose","hypromellose 0.5 %","hypromellose 0.5 %"
794,FALSE,1,"12399","hypromellose","1 %","HYPROMELLOSE","hypromellose","hypromellose 1 %","hypromellose 1 %"
800,TRUE,1,"6186","methylphenidate","10 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 10 mg","methylphenidate hydrochloride 10 mg"
801,TRUE,1,"6186","methylphenidate","20 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 20 mg","methylphenidate hydrochloride 20 mg"
810,TRUE,2,"9081, 7532","clioquinol and hydrocortisone","3 %, 1 %","CLIOQUINOL, HYDROCORTISONE","clioquinol, hydrocortisone","clioquinol 3 % and hydrocortisone 1 %","clioquinol 3 % and hydrocortisone 1 %"
812,TRUE,1,"10234","hydrochlorothiazide","50 MG","HYDROCHLOROTHIAZIDE","hydrochlorothiazide","hydrochlorothiazide 50 mg","hydrochlorothiazide 50 mg"
816,TRUE,2,"7610, 8632","betamethasone valerate and gentamicin (gentamicin sulfate)","0.1 %, 0.1 %","BETAMETHASONE VALERATE, GENTAMICIN SULFATE","betamethasone (betamethasone valerate), gentamicin (gentamicin sulfate)","betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 %","betamethasone (betamethasone valerate) 0.1 % and gentamicin (gentamicin sulfate) 0.1 %"
817,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL","sodium chloride 9 mg per mL"
868,FALSE,2,"9081, 7568","clioquinol and flumethasone pivalate","1 %, 0.02 %","CLIOQUINOL, FLUMETHASONE PIVALATE","clioquinol, flumethasone pivalate","clioquinol 1 % and flumethasone pivalate 0.02 %","clioquinol 1 % and flumethasone pivalate 0.02 %"
869,TRUE,1,"197","benzalkonium","13 %","BENZALKONIUM CHLORIDE","benzalkonium chloride","benzalkonium chloride 13 %","benzalkonium chloride 13 %"
872,TRUE,4,"150, 8231, 9358, 9131","acetylsalicylic acid and butalbital and caffeine and codeine","330 MG, 50 MG, 40 MG, 15 MG","ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE","acetylsalicylic acid, butalbital, caffeine, codeine phosphate","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 15 mg"
873,TRUE,4,"150, 8231, 9358, 9131","acetylsalicylic acid and butalbital and caffeine and codeine","330 MG, 50 MG, 40 MG, 30 MG","ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE","acetylsalicylic acid, butalbital, caffeine, codeine phosphate","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg","acetylsalicylic acid 330 mg and butalbital 50 mg and caffeine 40 mg and codeine phosphate 30 mg"
874,TRUE,1,"8551","clindamycin","150 MG","CLINDAMYCIN HYDROCHLORIDE","clindamycin (clindamycin hydrochloride)","clindamycin (clindamycin hydrochloride) 150 mg","clindamycin (clindamycin hydrochloride) 150 mg"
891,TRUE,1,"9412","nitroglycerin","18 MG per 6.7 SQ CM","NITROGLYCERIN","nitroglycerin","nitroglycerin 18 mg per 6.7 sq cm","nitroglycerin 18 mg per 6.7 sq cm"
899,FALSE,1,"12859","iothalamate meglumine","600 MG per ML","IOTHALAMATE MEGLUMINE","iothalamate meglumine","iothalamate meglumine 600 mg per mL","iothalamate meglumine 600 mg per mL"
901,TRUE,1,"8618","erythromycin","125 MG per 5 ML","ERYTHROMYCIN ESTOLATE","erythromycin (erythromycin estolate)","erythromycin (erythromycin estolate) 125 mg per 5 mL","erythromycin (erythromycin estolate) 125 mg per 5 mL"
933,FALSE,1,"8493","amphotericin b","50 MG per VIAL","AMPHOTERICIN B","amphotericin b","amphotericin b 50 mg per vial","amphotericin b 50 mg per vial"
934,FALSE,1,"9542","naphazoline hydrochloride","0.1 %","NAPHAZOLINE HYDROCHLORIDE","naphazoline hydrochloride","naphazoline hydrochloride 0.1 %","naphazoline hydrochloride 0.1 %"
937,FALSE,2,"8970, 20254","atropine sulfate and diphenoxylate hydrochloride","0.025 MG, 2.5 MG","ATROPINE SULFATE, DIPHENOXYLATE HYDROCHLORIDE","atropine sulfate, diphenoxylate hydrochloride","atropine sulfate 0.025 mg and diphenoxylate hydrochloride 2.5 mg","atropine sulfate 0.025 mg and diphenoxylate hydrochloride 2.5 mg"
938,FALSE,1,"11354","procarbazine (procarbazine hydrochloride)","50 MG","PROCARBAZINE HYDROCHLORIDE","procarbazine (procarbazine hydrochloride)","procarbazine (procarbazine hydrochloride) 50 mg","procarbazine (procarbazine hydrochloride) 50 mg"
940,TRUE,1,"8926","epinephrine","1 MG per ML","EPINEPHRINE HYDROCHLORIDE","epinephrine (epinephrine hydrochloride)","epinephrine (epinephrine hydrochloride) 1 mg per mL","epinephrine (epinephrine hydrochloride) 1 mg per mL"
943,TRUE,1,"9131","codeine","25 MG per 5 ML","CODEINE PHOSPHATE","codeine phosphate","codeine phosphate 25 mg per 5 mL","codeine phosphate 25 mg per 5 mL"
944,FALSE,1,"11107","doxepin (doxepin hydrochloride)","10 MG","DOXEPIN HYDROCHLORIDE","doxepin (doxepin hydrochloride)","doxepin (doxepin hydrochloride) 10 mg","doxepin (doxepin hydrochloride) 10 mg"
945,FALSE,1,"11107","doxepin (doxepin hydrochloride)","25 MG","DOXEPIN HYDROCHLORIDE","doxepin (doxepin hydrochloride)","doxepin (doxepin hydrochloride) 25 mg","doxepin (doxepin hydrochloride) 25 mg"
946,FALSE,1,"11107","doxepin (doxepin hydrochloride)","50 MG","DOXEPIN HYDROCHLORIDE","doxepin (doxepin hydrochloride)","doxepin (doxepin hydrochloride) 50 mg","doxepin (doxepin hydrochloride) 50 mg"
957,TRUE,3,"9131, 6492, 6494","codeine and pseudoephedrine hydrochloride and triprolidine hydrochloride","10 MG per 5 ML, 30 MG per 5 ML, 2 MG per 5 ML","CODEINE PHOSPHATE, PSEUDOEPHEDRINE HYDROCHLORIDE, TRIPROLIDINE HYDROCHLORIDE","codeine phosphate, pseudoephedrine hydrochloride, triprolidine hydrochloride","codeine phosphate 10 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL and triprolidine hydrochloride 2 mg per 5 mL","codeine phosphate 10 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL and triprolidine hydrochloride 2 mg per 5 mL"
959,FALSE,1,"9556","busulfan","2 MG","BUSULFAN","busulfan","busulfan 2 mg","busulfan 2 mg"
960,FALSE,1,"11804","mercaptopurine","50 MG","MERCAPTOPURINE","mercaptopurine","mercaptopurine 50 mg","mercaptopurine 50 mg"
1025,TRUE,3,"150, 9358, 9131","acetylsalicylic acid and caffeine and codeine","375 MG, 15 MG, 8 MG","ACETYLSALICYLIC ACID, CAFFEINE, CODEINE PHOSPHATE","acetylsalicylic acid, caffeine, codeine phosphate","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg","acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg"
1030,FALSE,1,"9267","imipramine hydrochloride","50 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 50 mg","imipramine hydrochloride 50 mg"
1031,FALSE,1,"9267","imipramine hydrochloride","10 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 10 mg","imipramine hydrochloride 10 mg"
1032,FALSE,1,"9267","imipramine hydrochloride","25 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 25 mg","imipramine hydrochloride 25 mg"
1033,TRUE,1,"9880","metronidazole","250 MG","METRONIDAZOLE","metronidazole","metronidazole 250 mg","metronidazole 250 mg"
1036,TRUE,1,"10207","phenytoin sodium","30 MG","PHENYTOIN SODIUM","phenytoin sodium","phenytoin sodium 30 mg","phenytoin sodium 30 mg"
1037,TRUE,1,"10207","phenytoin sodium","100 MG","PHENYTOIN SODIUM","phenytoin sodium","phenytoin sodium 100 mg","phenytoin sodium 100 mg"
1062,FALSE,2,"8903, 4070","benzocaine and methyl heptyl colamino formylmethyl pyridinium chl","23 %, 0.1 %","BENZOCAINE, METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL","benzocaine, methyl heptyl colamino formylmethyl pyridinium chl","benzocaine 23 % and methyl heptyl colamino formylmethyl pyridinium chl 0.1 %","benzocaine 23 % and methyl heptyl colamino formylmethyl pyridinium chl 0.1 %"
1084,FALSE,1,"9062","acenocoumarol","4 MG","ACENOCOUMAROL","acenocoumarol","acenocoumarol 4 mg","acenocoumarol 4 mg"
1086,TRUE,1,"10209","phenytoin (base)","50 MG","PHENYTOIN","phenytoin","phenytoin 50 mg","phenytoin 50 mg"
1090,FALSE,1,"4161","bismuth dipropylacetate","135 MG","BISMUTH DIPROPYLACETATE","bismuth dipropylacetate","bismuth dipropylacetate 135 mg","bismuth dipropylacetate 135 mg"
1103,FALSE,4,"6995, 3989, 3510, 6572","chlorobutanol and dichlorobenzene and oil of turpentine and peanut oil","5 % per 11 ML, 2 % per 11 ML, 10 % per 11 ML, 57 % per 11 ML","CHLOROBUTANOL, DICHLOROBENZENE, OIL OF TURPENTINE, PEANUT OIL","chlorobutanol, dichlorobenzene, oil of turpentine, peanut oil","chlorobutanol 5 % per 11 mL and dichlorobenzene 2 % per 11 mL and oil of turpentine 10 % per 11 mL and peanut oil 57 % per 11 mL","chlorobutanol 5 % per 11 mL and dichlorobenzene 2 % per 11 mL and oil of turpentine 10 % per 11 mL and peanut oil 57 % per 11 mL"
1118,FALSE,1,"9062","acenocoumarol","1 MG","ACENOCOUMAROL","acenocoumarol","acenocoumarol 1 mg","acenocoumarol 1 mg"
1124,NA,1,"8450","NA","500 MG","AMPICILLIN TRIHYDRATE","NA","NA 500 mg","NA"
1125,NA,1,"8450","NA","250 MG","AMPICILLIN TRIHYDRATE","NA","NA 250 mg","NA"
