"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","uop_suffix","calculation","uop_size_insert","ntp_ing_formal_name_uop","mp_ing_formal_name_uop","drug_identification_number"
9164,"ampoule",1,"mL","ampoule","Y","N","epinephrine 1 mg per 1 mL","epinephrine 1 mg per 1 mL","00721891"
9398,"ampoule",2,"mL","ampoule","Y","N","phenytoin sodium 100 mg per 2 mL","phenytoin sodium 100 mg per 2 mL","00780626"
9398,"ampoule",5,"mL","ampoule","Y","N","phenytoin sodium 250 mg per 5 mL","phenytoin sodium 250 mg per 5 mL","00780626"
9613,"vial",5,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL","00751863"
10026,"ampoule",1,"mL","ampoule","Y","N","haloperidol 5 mg per 1 mL","haloperidol 5 mg per 1 mL","00808652"
10312,"vial",10,"mL","vial","Y","N","folic acid (sodium folate) 50 mg per 10 mL","folic acid (sodium folate) 50 mg per 10 mL","00816086"
10391,"bottle",10,"mL","10 mL bottle","N","Y","salbutamol (salbutamol sulfate) 5 mg per mL","salbutamol (salbutamol sulfate) 5 mg per mL","00860808"
10705,"vial",10,"mL","vial","Y","N","nitroglycerin 100 mg per 10 mL","nitroglycerin 100 mg per 10 mL","00614262"
10706,"vial",10,"mL","vial","Y","N","nitroglycerin 500 mg per 10 mL","nitroglycerin 500 mg per 10 mL","00778869"
10871,"bag",100,"mL","bag","Y","N","metronidazole 500 mg per 100 mL","metronidazole 500 mg per 100 mL","00870420"
10871,"bag",300,"mL","bag","Y","N","metronidazole 1500 mg per 300 mL","metronidazole 1500 mg per 300 mL","00870420"
10954,"bottle",100,"mL","bottle","Y","N","fluconazole 200 mg per 100 mL","fluconazole 200 mg per 100 mL","00891835"
11011,"vial",10,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL","00783900"
11096,"ampoule",1,"mL","ampoule","Y","N","ephedrine sulfate 50 mg per 1 mL","ephedrine sulfate 50 mg per 1 mL","00876534"
11224,"vial",10,"mL","vial","Y","N","testosterone enanthate 2000 mg per 10 mL","testosterone enanthate 2000 mg per 10 mL","00739944"
12208,"vial",1,"mL","vial","Y","N","dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL","dexamethasone (dexamethasone sodium phosphate) 10 mg per 1 mL","00874582"
12218,"vial",25,"mL","vial","N","N","furosemide 250 mg per 25 mL","furosemide 250 mg per 25 mL","00401633"
12237,"vial",1,"mL","vial","Y","N","hydralazine hydrochloride 20 mg per 1 mL","hydralazine hydrochloride 20 mg per 1 mL","00723754"
12570,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin isophane human 100 unit per mL","insulin isophane human biosynthetic 100 unit per mL","01959239"
12650,"vial",2,"mL","vial","Y","N","enalaprilat 2.5 mg per 2 mL","enalaprilat 2.5 mg per 2 mL","01923846"
12664,"ampoule",2,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 100 mcg per 2 mL","fentanyl (fentanyl citrate) 100 mcg per 2 mL","00888346"
12664,"ampoule",5,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 250 mcg per 5 mL","fentanyl (fentanyl citrate) 250 mcg per 5 mL","00888346"
12664,"ampoule",10,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 500 mcg per 10 mL","fentanyl (fentanyl citrate) 500 mcg per 10 mL","00888346"
12664,"ampoule",20,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 1000 mcg per 20 mL","fentanyl (fentanyl citrate) 1000 mcg per 20 mL","00888346"
12664,"vial",10,"mL","vial","Y","N","fentanyl (fentanyl citrate) 500 mcg per 10 mL","fentanyl (fentanyl citrate) 500 mcg per 10 mL","00888346"
12664,"vial",20,"mL","vial","Y","N","fentanyl (fentanyl citrate) 1000 mcg per 20 mL","fentanyl (fentanyl citrate) 1000 mcg per 20 mL","00888346"
12697,"ampoule",2,"mL","ampoule","Y","N","phenytoin sodium 100 mg per 2 mL","phenytoin sodium 100 mg per 2 mL","00497304"
12697,"ampoule",5,"mL","ampoule","Y","N","phenytoin sodium 250 mg per 5 mL","phenytoin sodium 250 mg per 5 mL","00497304"
12701,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 25 mg per 1 mL","morphine sulfate 25 mg per 1 mL","00869317"
12701,"ampoule",4,"mL","ampoule","Y","N","morphine sulfate 100 mg per 4 mL","morphine sulfate 100 mg per 4 mL","00869317"
12702,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 50 mg per 1 mL","morphine sulfate 50 mg per 1 mL","00869325"
12702,"vial",20,"mL","20 mL vial","N","Y","morphine sulfate 50 mg per mL","morphine sulfate 50 mg per mL","00869325"
12702,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 50 mg per mL","morphine sulfate 50 mg per mL","00869325"
12728,"ampoule",5,"mL","ampoule","Y","N","morphine sulfate 5 mg per 5 mL","morphine sulfate 5 mg per 5 mL","01949055"
12968,"ampoule",10,"mL","ampoule","Y","N","morphine sulfate 5 mg per 10 mL","morphine sulfate 5 mg per 10 mL","01949047"
12990,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 2 mg per 1 mL","morphine sulfate 2 mg per 1 mL","00850314"
12991,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 10 mg per 1 mL","morphine sulfate 10 mg per 1 mL","00850322"
12992,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 15 mg per 1 mL","morphine sulfate 15 mg per 1 mL","00850330"
13063,"vial",2,"mL","vial","Y","N","phenytoin sodium 100 mg per 2 mL","phenytoin sodium 100 mg per 2 mL","00498335"
13063,"vial",5,"mL","vial","Y","N","phenytoin sodium 250 mg per 5 mL","phenytoin sodium 250 mg per 5 mL","00498335"
13077,"vial",5,"mL","vial","Y","N","morphine sulfate 5 mg per 5 mL","morphine sulfate 5 mg per 5 mL","01980696"
13077,"vial",10,"mL","vial","Y","N","morphine sulfate 10 mg per 10 mL","morphine sulfate 10 mg per 10 mL","01980696"
13077,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 1 mg per mL","morphine sulfate 1 mg per mL","01980696"
13078,"vial",1,"ml","vial","Y","N","morphine sulfate 2 mg per 1 mL","morphine sulfate 2 mg per 1 mL","01964437"
13078,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 2 mg per mL","morphine sulfate 2 mg per mL","01964437"
13079,"vial",30,"mL","30 mL vial","N","Y","morphine sulfate 5 mg per mL","morphine sulfate 5 mg per mL","01964429"
13190,"unit dose vial",2,"mL","unit dose vial","Y","N","budesonide 1 mg per 2 mL","budesonide 1 mg per 2 mL","01978926"
13191,"unit dose vial",2,"mL","unit dose vial","Y","N","budesonide 0.5 mg per 2 mL","budesonide 0.5 mg per 2 mL","01978918"
13255,"vial",5,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 20 mg per 5 mL","01977547"
13410,"ampoule",2,"mL","ampoule","Y","N","testosterone cypionate 200 mg per 2 mL","testosterone cypionate 200 mg per 2 mL","01977601"
13414,"vial",10,"mL","vial","Y","N","testosterone propionate 1000 mg per 10 mL","testosterone propionate 1000 mg per 10 mL","01977571"
13550,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","01926934"
13668,"bottle",10,"mL","10 mL bottle","N","Y","salbutamol (salbutamol sulfate) 1 mg per mL","salbutamol (salbutamol sulfate) 1 mg per mL","01986864"
13966,"ampoule",10,"mL","ampoule","Y","N","morphine sulfate 5 mg per 10 mL","morphine sulfate 5 mg per 10 mL","02021056"
13998,"vial",5,"mL","vial","Y","N","triamcinolone acetonide 200 mg per 5 mL","triamcinolone acetonide 200 mg per 5 mL","01977563"
14020,"ampoule",5,"mL","ampoule","Y","N","morphine sulfate 5 mg per 5 mL","morphine sulfate 5 mg per 5 mL","02021048"
14261,"vial",10,"mL","10 mL vial","N","Y","insulin isophane human 100 unit per mL","insulin isophane human biosynthetic 100 unit per mL","02024225"
14266,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin isophane human 100 unit per mL","insulin isophane human biosynthetic 100 unit per mL","02024268"
14758,"unit dose vial",2,"mL","2 mL unit dose vial","N","Y","cromolyn sodium 1 %","cromolyn sodium 1 %","02046113"
15481,"vial",1,"mL","vial","Y","N","triamcinolone acetonide 40 mg per 1 mL","triamcinolone acetonide 40 mg per 1 mL","01999869"
15481,"vial",5,"mL","vial","Y","N","triamcinolone acetonide 200 mg per 5 mL","triamcinolone acetonide 200 mg per 5 mL","01999869"
15482,"vial",5,"mL","vial","Y","N","triamcinolone acetonide 50 mg per 5 mL","triamcinolone acetonide 50 mg per 5 mL","01999761"
15756,"ampoule",1,"mL","ampoule","Y","N","digoxin 0.05 mg per 1 mL","digoxin 0.05 mg per 1 mL","02048272"
15757,"ampoule",2,"mL","ampoule","Y","N","digoxin 1 mg per 2 mL","digoxin 1 mg per 2 mL","02048264"
16452,"bottle",10,"mL","10 mL bottle","N","Y","salbutamol (salbutamol sulfate) 5 mg per mL","salbutamol (salbutamol sulfate) 5 mg per mL","02069571"
16521,"bottle",10,"mL","10 mL bottle","N","Y","salbutamol (salbutamol sulfate) 5 mg per mL","salbutamol (salbutamol sulfate) 5 mg per mL","02046741"
16848,"vial",10,"mL","vial","Y","N","nitroglycerin 500 mg per 10 mL","nitroglycerin 500 mg per 10 mL","00860778"
16901,"vial",5,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 250 mg per 5 mL","haloperidol (haloperidol decanoate) 250 mg per 5 mL","02130297"
16902,"ampoule",1,"mL","ampoule","Y","N","haloperidol (haloperidol decanoate) 100 mg per 1 mL","haloperidol (haloperidol decanoate) 100 mg per 1 mL","02130300"
16902,"vial",5,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 500 mg per 5 mL","haloperidol (haloperidol decanoate) 500 mg per 5 mL","02130300"
16947,"bottle",20,"mL","20 mL bottle","N","Y","ipratropium bromide 250 mcg per mL","ipratropium bromide 250 mcg per mL","02126222"
17234,"vial",2,"mL","vial","Y","N","verapamil hydrochloride 5 mg per 2 mL","verapamil hydrochloride 5 mg per 2 mL","00839299"
17234,"vial",4,"mL","vial","Y","N","verapamil hydrochloride 10 mg per 4 mL","verapamil hydrochloride 10 mg per 4 mL","00839299"
17234,"ampoule",4,"mL","ampoule","Y","N","verapamil hydrochloride 10 mg per 4 mL","verapamil hydrochloride 10 mg per 4 mL","00839299"
17276,"ampoule",5,"mL","ampoule","Y","N","baclofen 10 mg per 5 mL","baclofen 10 mg per 5 mL","02131064"
17277,"ampoule",1,"mL","ampoule","Y","N","baclofen 0.05 mg per 1 mL","baclofen 0.05 mg per 1 mL","02131048"
17954,"ampoule",20,"mL","ampoule","Y","N","baclofen 10 mg per 20 mL","baclofen 10 mg per 20 mL","02131056"
18315,"ampoule",1,"mL","ampoule","Y","N","hydromorphone hydrochloride 2 mg per 1 mL","hydromorphone hydrochloride 2 mg per 1 mL","02145901"
18323,"vial",1,"mL","vial","Y","N","hydromorphone hydrochloride 10 mg per 1 mL","hydromorphone hydrochloride 10 mg per 1 mL","02145928"
18323,"vial",5,"mL","vial","Y","N","hydromorphone hydrochloride 50 mg per 5 mL","hydromorphone hydrochloride 50 mg per 5 mL","02145928"
18323,"vial",10,"mL","vial","Y","N","hydromorphone hydrochloride 100 mg per 10 mL","hydromorphone hydrochloride 100 mg per 10 mL","02145928"
18323,"vial",50,"mL","50 mL vial","N","Y","hydromorphone hydrochloride 10 mg per mL","hydromorphone hydrochloride 10 mg per mL","02145928"
18324,"vial",1,"mL","vial","Y","N","hydromorphone hydrochloride 50 mg per 1 mL","hydromorphone hydrochloride 50 mg per 1 mL","02146126"
18324,"vial",5,"mL","vial","Y","N","hydromorphone hydrochloride 250 mg per 5 mL","hydromorphone hydrochloride 250 mg per 5 mL","02146126"
18324,"vial",10,"mL","vial","Y","N","hydromorphone hydrochloride 500 mg per 10 mL","hydromorphone hydrochloride 500 mg per 10 mL","02146126"
18324,"vial",50,"mL","50 mL vial","N","Y","hydromorphone hydrochloride 50 mg per mL","hydromorphone hydrochloride 50 mg per mL","02146126"
18325,"vial",1,"mL","vial","Y","N","hydromorphone hydrochloride 20 mg per 1 mL","hydromorphone hydrochloride 20 mg per 1 mL","02145936"
18325,"vial",5,"mL","vial","Y","N","hydromorphone hydrochloride 100 mg per 5 mL","hydromorphone hydrochloride 100 mg per 5 mL","02145936"
18325,"vial",50,"mL","vial","Y","N","hydromorphone hydrochloride 1000 mg per 50 mL","hydromorphone hydrochloride 1000 mg per 50 mL","02145936"
18614,"vial",2,"mL","vial","Y","N","verapamil hydrochloride 5 mg per 2 mL","verapamil hydrochloride 5 mg per 2 mL","02166739"
18964,"vial",2,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 300 mg per 2 mL","clindamycin (clindamycin phosphate) 300 mg per 2 mL","02139286"
18964,"vial",4,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 600 mg per 4 mL","clindamycin (clindamycin phosphate) 600 mg per 4 mL","02139286"
18964,"vial",6,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 900 mg per 6 mL","clindamycin (clindamycin phosphate) 900 mg per 6 mL","02139286"
18964,"vial",60,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 9000 mg per 60 mL","clindamycin (clindamycin phosphate) 9000 mg per 60 mL","02139286"
19058,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","02173360"
19409,"vial",2,"mL","vial","Y","N","metoclopramide hydrochloride 10 mg per 2 mL","metoclopramide hydrochloride 10 mg per 2 mL","02185431"
19409,"vial",10,"mL","vial","Y","N","metoclopramide hydrochloride 50 mg per 10 mL","metoclopramide hydrochloride 50 mg per 10 mL","02185431"
19409,"vial",30,"mL","vial","Y","N","metoclopramide hydrochloride 150 mg per 30 mL","metoclopramide hydrochloride 150 mg per 30 mL","02185431"
19667,"vial",1,"mL","vial","Y","N","medroxyprogesterone acetate 150 mg per 1 mL","medroxyprogesterone acetate 150 mg per 1 mL","00585092"
19681,"vial",2,"mL","vial","Y","N","methotrexate (methotrexate sodium) 50 mg per 2 mL","methotrexate (methotrexate sodium) 50 mg per 2 mL","02099705"
19681,"vial",20,"mL","vial","Y","N","methotrexate (methotrexate sodium) 500 mg per 20 mL","methotrexate (methotrexate sodium) 500 mg per 20 mL","02099705"
19681,"vial",40,"mL","vial","Y","N","methotrexate (methotrexate sodium) 1000 mg per 40 mL","methotrexate (methotrexate sodium) 1000 mg per 40 mL","02099705"
19761,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 1.25 mg per 2.5 mL","salbutamol (salbutamol sulfate) 1.25 mg per 2.5 mL","02208245"
19762,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","02208237"
19763,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","02208229"
19798,"unit dose vial",1,"mL","unit dose vial","Y","N","ipratropium bromide 250 mcg per 1 mL","ipratropium bromide 250 mcg per 1 mL","02097168"
19798,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 500 mcg per 2 mL","ipratropium bromide 500 mcg per 2 mL","02097168"
31285,"vial",5,"mL","vial","Y","N","morphine sulfate 5 mg per 5 mL","morphine sulfate 5 mg per 5 mL","02137232"
31285,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 1 mg per mL","morphine sulfate 1 mg per mL","02137232"
31286,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 2 mg per mL","morphine sulfate 2 mg per mL","02137240"
31288,"vial",50,"mL","50 mL vial","N","Y","morphine sulfate 50 mg per mL","morphine sulfate 50 mg per mL","02137267"
31358,"vial",10,"mL","vial","Y","N","folic acid (sodium folate) 50 mg per 10 mL","folic acid (sodium folate) 50 mg per 10 mL","02139480"
35794,"vial",1,"mL","vial","Y","N","triamcinolone hexacetonide 20 mg per 1 mL","triamcinolone hexacetonide 20 mg per 1 mL","02194155"
36480,"vial",1,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per 1 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per 1 mL","02204266"
36481,"vial",1,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL","02204274"
36481,"vial",10,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 100 mg per 10 mL","02204274"
42844,"vial",20,"mL","vial","Y","N","methotrexate (methotrexate sodium) 500 mg per 20 mL","methotrexate (methotrexate sodium) 500 mg per 20 mL","02182777"
42910,"vial",10,"mL","vial","Y","N","esmolol hydrochloride 100 mg per 10 mL","esmolol hydrochloride 100 mg per 10 mL","02188880"
43078,"syringe",0.5,"mL","0.5 mL syringe","N","Y","sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL","sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL","02212188"
43094,"vial",2,"mL","vial","Y","N","ranitidine (ranitidine hydrochloride) 100 mg per 2 mL","ranitidine (ranitidine hydrochloride) 100 mg per 2 mL","02212366"
43100,"unit dose vial",2.5,"mL","unit dose vial","N","N","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","02213419"
43101,"unit dose vial",2.5,"mL","unit dose vial","N","N","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","02213427"
43104,"ampoule",5,"mL","ampoule","Y","N","salbutamol (salbutamol sulfate) 5 mg per 5 mL","salbutamol (salbutamol sulfate) 5 mg per 5 mL","02213451"
43108,"bottle",10,"mL","10 mL bottle","N","Y","salbutamol (salbutamol sulfate) 5 mg per mL","salbutamol (salbutamol sulfate) 5 mg per mL","02213486"
43176,"unit dose vial",1,"mL","unit dose vial","Y","N","ipratropium bromide 0.025 % per 1 mL","ipratropium bromide 0.025 % per 1 mL","02216221"
43176,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 0.05 % per 2 mL","ipratropium bromide 0.05 % per 2 mL","02216221"
43194,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","02216949"
43431,"ampoule",1,"mL","ampoule","Y","N","propranolol hydrochloride 1 mg per 1 mL","propranolol hydrochloride 1 mg per 1 mL","02225883"
43511,"unit dose vial",2,"mL","unit dose vial","Y","N","budesonide 0.25 mg per 2 mL","budesonide 0.25 mg per 2 mL","02229099"
43798,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 250 mcg per 2 mL","ipratropium bromide 250 mcg per 2 mL","02097176"
44090,"ampoule",1,"mL","ampoule","Y","N","ketorolac tromethamine 10 mg per 1 mL","ketorolac tromethamine 10 mg per 1 mL","02162644"
44212,"ampoule",1,"mL","ampoule","Y","N","tacrolimus 5 mg per 1 mL","tacrolimus 5 mg per 1 mL","02176009"
44261,"vial",2,"mL","vial","Y","N","methotrexate (methotrexate sodium) 20 mg per 2 mL","methotrexate (methotrexate sodium) 20 mg per 2 mL","02182947"
44262,"vial",2,"mL","vial","Y","N","methotrexate (methotrexate sodium) 50 mg per 2 mL","methotrexate (methotrexate sodium) 50 mg per 2 mL","02182955"
44264,"vial",40,"mL","vial","Y","N","methotrexate (methotrexate sodium) 1000 mg per 40 mL","methotrexate (methotrexate sodium) 1000 mg per 40 mL","02182971"
47450,"vial",5,"mL","vial","Y","N","triamcinolone acetonide 50 mg per 5 mL","triamcinolone acetonide 50 mg per 5 mL","02229540"
47461,"vial",5,"mL","vial","Y","N","triamcinolone acetonide 200 mg per 5 mL","triamcinolone acetonide 200 mg per 5 mL","02229550"
