"ccdd","greater_than_5_AIs","ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name","n_mp"
TRUE,FALSE,9001623,NA,NA,"Active","19671231",NA,"acetylsalicylic acid 650 mg gastro-resistant tablet",7
TRUE,FALSE,9000042,NA,NA,"Active","19671231",NA,"hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",2
TRUE,FALSE,9009370,NA,NA,"Active","19681231",NA,"ethacrynic acid (ethacrynate sodium) 50 mg per vial powder for solution for injection",1
TRUE,FALSE,9000043,NA,NA,"Active","19681231",NA,"hydrochlorothiazide 25 mg oral tablet",8
TRUE,FALSE,9000044,NA,NA,"Active","19681231",NA,"hydrochlorothiazide 50 mg oral tablet",7
TRUE,FALSE,9000045,NA,NA,"Active","19681231",NA,"phenytoin 30 mg per 5 mL oral suspension",1
TRUE,FALSE,9001640,NA,NA,"Active","19691231",NA,"acetylsalicylic acid 325 mg oral tablet",6
TRUE,FALSE,9000046,NA,NA,"Active","19691231",NA,"amitriptyline hydrochloride 50 mg oral tablet",11
TRUE,FALSE,9000047,NA,NA,"Active","19691231",NA,"carbamazepine 200 mg oral tablet",6
TRUE,FALSE,9001653,NA,NA,"Active","19701231",NA,"acetylsalicylic acid 375 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",4
TRUE,FALSE,9000048,NA,NA,"Active","19701231",NA,"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",7
TRUE,FALSE,9000050,NA,NA,"Active","19701231",NA,"metronidazole 10 % vaginal cream",1
TRUE,FALSE,9000051,NA,NA,"Active","19701231",NA,"pentazocine (pentazocine hydrochloride) 50 mg oral tablet",1
TRUE,FALSE,9000559,NA,NA,"Active","19711231",NA,"cephalexin 125 mg per 5 mL oral suspension",4
TRUE,FALSE,9000560,NA,NA,"Active","19711231",NA,"cephalexin 250 mg per 5 mL oral suspension",4
TRUE,FALSE,9000054,NA,NA,"Active","19711231",NA,"lithium carbonate 300 mg oral capsule",4
TRUE,FALSE,9000055,NA,NA,"Active","19711231",NA,"metronidazole 250 mg oral tablet",3
TRUE,FALSE,9000056,NA,NA,"Active","19721231",NA,"amitriptyline hydrochloride 25 mg oral tablet",11
TRUE,FALSE,9000057,NA,NA,"Active","19721231",NA,"cephalexin 500 mg oral tablet",6
TRUE,FALSE,9001683,NA,NA,"Active","19721231",NA,"chlorhexidine gluconate 4 % cutaneous solution",4
TRUE,FALSE,9000058,NA,NA,"Active","19721231",NA,"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution",1
TRUE,FALSE,9000059,NA,NA,"Active","19721231",NA,"ibuprofen 200 mg oral tablet",16
TRUE,FALSE,9010874,NA,NA,"Active","19721231",NA,"nitroglycerin 0.3 mg sublingual tablet",1
TRUE,FALSE,9010878,NA,NA,"Active","19721231",NA,"nitroglycerin 0.6 mg sublingual tablet",1
TRUE,FALSE,9000062,NA,NA,"Active","19721231",NA,"norethindrone 0.35 mg oral tablet",3
TRUE,FALSE,9000063,NA,NA,"Active","19721231",NA,"prednisone 50 mg oral tablet",2
TRUE,FALSE,9000064,NA,NA,"Active","19731231",NA,"clindamycin (clindamycin phosphate) 300 mg per 2 mL solution for injection vial",4
TRUE,FALSE,9000065,NA,NA,"Active","19731231",NA,"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial",4
TRUE,FALSE,9000066,NA,NA,"Active","19731231",NA,"clindamycin (clindamycin phosphate) 9000 mg per 60 mL solution for injection vial",2
TRUE,FALSE,9000067,NA,NA,"Active","19731231",NA,"clindamycin (clindamycin phosphate) 900 mg per 6 mL solution for injection vial",4
TRUE,FALSE,9000068,NA,NA,"Active","19731231",NA,"erythromycin (erythromycin estolate) 250 mg per 5 mL oral suspension",1
TRUE,FALSE,9000069,NA,NA,"Active","19731231",NA,"oxycodone hydrochloride 10 mg suppository",1
TRUE,FALSE,9000070,NA,NA,"Active","19731231",NA,"oxycodone hydrochloride 20 mg suppository",1
TRUE,FALSE,9000071,NA,NA,"Active","19731231",NA,"triamcinolone acetonide 200 mg per 5 mL suspension for injection vial",3
TRUE,FALSE,9000072,NA,NA,"Active","19731231",NA,"triamcinolone acetonide 40 mg per 1 mL suspension for injection vial",2
TRUE,FALSE,9000073,NA,NA,"Active","19741231",NA,"allopurinol 300 mg oral tablet",6
TRUE,FALSE,NA,NA,NA,"Active","19741231",NA,"asparaginase 10000 unit per vial powder for solution for injection",2
TRUE,FALSE,9001711,NA,NA,"Active","19741231",NA,"chlorpropamide 250 mg oral tablet",1
TRUE,FALSE,9000074,NA,NA,"Active","19741231",NA,"colchicine 0.6 mg oral tablet",4
TRUE,FALSE,9009388,NA,NA,"Active","19741231",NA,"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet",1
TRUE,FALSE,9009390,NA,NA,"Active","19741231",NA,"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet",2
TRUE,FALSE,9009393,NA,NA,"Active","19741231",NA,"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet",2
TRUE,FALSE,9000078,NA,NA,"Active","19741231",NA,"levothyroxine sodium 150 mcg oral tablet",2
TRUE,FALSE,9000079,NA,NA,"Active","19741231",NA,"nitrofurantoin 100 mg oral tablet",1
TRUE,FALSE,9000080,NA,NA,"Active","19741231",NA,"nitrofurantoin 50 mg oral tablet",1
TRUE,FALSE,9000081,NA,NA,"Active","19741231",NA,"prednisolone acetate 0.12 % ophthalmic drops",2
TRUE,FALSE,9000082,NA,NA,"Active","19741231",NA,"prednisolone acetate 1 % ophthalmic drops",4
TRUE,FALSE,9000083,NA,NA,"Active","19751231",NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet",1
TRUE,FALSE,9000084,NA,NA,"Active","19751231",NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet",1
TRUE,FALSE,9000085,NA,NA,"Active","19751231",NA,"acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet",2
TRUE,FALSE,9001728,NA,NA,"Active","19751231",NA,"acetaminophen 500 mg oral tablet",40
TRUE,FALSE,9000086,NA,NA,"Active","19751231",NA,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous cream",7
TRUE,FALSE,9000087,NA,NA,"Active","19751231",NA,"carbidopa 25 mg and levodopa 250 mg oral tablet",4
TRUE,FALSE,9001735,NA,NA,"Active","19751231",NA,"docusate sodium 50 mg and sennosides (senna) 8.6 mg oral tablet",1
TRUE,FALSE,9009378,NA,NA,"Active","19751231",NA,"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet",1
TRUE,FALSE,9009379,NA,NA,"Active","19751231",NA,"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet",1
TRUE,FALSE,9000089,NA,NA,"Active","19751231",NA,"folic acid 25 mg oral tablet",1
TRUE,FALSE,9000090,NA,NA,"Active","19751231",NA,"spironolactone 100 mg oral tablet",2
TRUE,FALSE,9001745,NA,NA,"Active","19751231",NA,"tolbutamide 500 mg oral tablet",1
TRUE,FALSE,9000091,NA,NA,"Active","19761231",NA,"betamethasone (betamethasone dipropionate) 0.05 % cutaneous ointment",6
TRUE,FALSE,9008378,NA,NA,"Active","19761231",NA,"chlorthalidone 50 mg oral tablet",1
TRUE,FALSE,9009389,NA,NA,"Active","19761231",NA,"ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet",1
TRUE,FALSE,9009614,NA,NA,"Active","19761231",NA,"furosemide 20 mg oral tablet",6
TRUE,FALSE,9009619,NA,NA,"Active","19761231",NA,"furosemide 40 mg oral tablet",6
TRUE,FALSE,9001765,NA,NA,"Active","19761231",NA,"metronidazole 500 mg per 4.5 g and nystatin 100000 unit per 4.5 g vaginal cream",1
TRUE,FALSE,9000094,NA,NA,"Active","19771231",NA,"acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet",9
TRUE,FALSE,9000095,NA,NA,"Active","19771231",NA,"betamethasone (betamethasone dipropionate) 0.05 % lotion",7
TRUE,FALSE,9000096,NA,NA,"Active","19771231",NA,"cephalexin 250 mg oral tablet",5
TRUE,FALSE,9001778,NA,NA,"Active","19771231",NA,"chlorpropamide 100 mg oral tablet",1
TRUE,FALSE,9000097,NA,NA,"Active","19771231",NA,"clonazepam 0.5 mg oral tablet",14
TRUE,FALSE,9000098,NA,NA,"Active","19771231",NA,"clonazepam 2 mg oral tablet",12
TRUE,FALSE,9000099,NA,NA,"Active","19771231",NA,"dexamethasone 0.1 % ophthalmic drops",1
TRUE,FALSE,9000075,NA,NA,"Active","19771231",NA,"diazepam 5 mg oral tablet",4
TRUE,FALSE,9000100,NA,NA,"Active","19771231",NA,"metoprolol tartrate 100 mg oral tablet",15
TRUE,FALSE,9000101,NA,NA,"Active","19771231",NA,"metoprolol tartrate 50 mg oral tablet",15
TRUE,FALSE,9000103,NA,NA,"Active","19781231",NA,"acetaminophen 300 mg and codeine phosphate 60 mg oral tablet",3
TRUE,FALSE,9001799,NA,NA,"Active","19781231",NA,"acetylsalicylic acid 975 mg gastro-resistant tablet",1
TRUE,FALSE,9001800,NA,NA,"Active","19781231",NA,"alcohol anhydrous 100 % solution for injection",1
TRUE,FALSE,9000104,NA,NA,"Active","19781231",NA,"baclofen 10 mg oral tablet",9
TRUE,FALSE,9000105,NA,NA,"Active","19781231",NA,"benztropine mesylate 2 mg oral tablet",2
TRUE,FALSE,9006199,NA,NA,"Active","19781231",NA,"codeine phosphate 10 mg per 5 mL oral solution",1
TRUE,FALSE,9000107,NA,NA,"Active","19781231",NA,"codeine phosphate 30 mg per 1 mL solution for injection ampoule",2
TRUE,FALSE,9000108,NA,NA,"Active","19781231",NA,"diazepam 10 mg oral tablet",4
TRUE,FALSE,9000109,NA,NA,"Active","19781231",NA,"folic acid 5 mg oral tablet",4
TRUE,FALSE,9000299,NA,NA,"Active","19781231",NA,"morphine sulfate 10 mg per 1 mL solution for injection ampoule",3
TRUE,FALSE,9000111,NA,NA,"Active","19781231",NA,"morphine sulfate 15 mg per 1 mL solution for injection ampoule",2
TRUE,FALSE,9011414,NA,NA,"Active","19781231",NA,"pindolol 10 mg oral tablet",5
TRUE,FALSE,9011415,NA,NA,"Active","19781231",NA,"pindolol 15 mg oral tablet",5
TRUE,FALSE,9011416,NA,NA,"Active","19781231",NA,"pindolol 5 mg oral tablet",5
TRUE,FALSE,9000112,NA,NA,"Active","19781231",NA,"prednisone 1 mg oral tablet",2
TRUE,FALSE,9006541,NA,NA,"Active","19781231",NA,"valproic acid (sodium valproate) 250 mg per 5 mL oral solution",1
TRUE,FALSE,9000114,NA,NA,"Active","19791231",NA,"amitriptyline hydrochloride 75 mg oral tablet",5
TRUE,FALSE,9007154,NA,NA,"Active","19791231",NA,"amoxicillin 125 mg per 5 mL oral suspension",7
TRUE,FALSE,9007158,NA,NA,"Active","19791231",NA,"amoxicillin 250 mg oral capsule",8
TRUE,FALSE,9007160,NA,NA,"Active","19791231",NA,"amoxicillin 250 mg per 5 mL oral suspension",9
TRUE,FALSE,9007164,NA,NA,"Active","19791231",NA,"amoxicillin 500 mg oral capsule",9
TRUE,FALSE,9000119,NA,NA,"Active","19791231",NA,"betamethasone (betamethasone valerate) 0.05 % cutaneous cream",3
TRUE,FALSE,9000120,NA,NA,"Active","19791231",NA,"betamethasone (betamethasone valerate) 0.05 % cutaneous ointment",2
TRUE,FALSE,9000163,NA,NA,"Active","19791231",NA,"betamethasone (betamethasone valerate) 0.1 % cutaneous cream",4
TRUE,FALSE,9000121,NA,NA,"Active","19791231",NA,"betamethasone (betamethasone valerate) 0.1 % lotion",5
TRUE,FALSE,9000123,NA,NA,"Active","19791231",NA,"calcitriol 0.25 mcg oral capsule",2
TRUE,FALSE,9000124,NA,NA,"Active","19791231",NA,"calcitriol 0.5 mcg oral capsule",2
TRUE,FALSE,9000126,NA,NA,"Active","19791231",NA,"cephalexin 250 mg oral capsule",1
TRUE,FALSE,9000127,NA,NA,"Active","19791231",NA,"cephalexin 500 mg oral capsule",1
TRUE,FALSE,9000128,NA,NA,"Active","19791231",NA,"diazepam 2 mg oral tablet",3
TRUE,FALSE,9001847,NA,NA,"Active","19791231",NA,"guaifenesin 100 mg per 5 mL syrup",9
TRUE,FALSE,9000130,NA,NA,"Active","19791231",NA,"lithium carbonate 150 mg oral capsule",4
TRUE,FALSE,9001852,NA,NA,"Active","19791231",NA,"metronidazole 500 mg and nystatin 100000 unit pessary",1
TRUE,FALSE,9000131,NA,NA,"Active","19791231",NA,"metronidazole 500 mg oral capsule",3
TRUE,FALSE,9000132,NA,NA,"Active","19791231",NA,"nystatin 100000 unit per g cutaneous cream",2
TRUE,FALSE,9000133,NA,NA,"Active","19791231",NA,"nystatin 100000 unit per g cutaneous ointment",2
TRUE,FALSE,9000134,NA,NA,"Active","19791231",NA,"nystatin 25000 unit per g vaginal cream",1
TRUE,FALSE,9000135,NA,NA,"Active","19791231",NA,"oxazepam 10 mg oral tablet",6
TRUE,FALSE,9000136,NA,NA,"Active","19791231",NA,"oxazepam 15 mg oral tablet",6
TRUE,FALSE,9000137,NA,NA,"Active","19791231",NA,"oxazepam 30 mg oral tablet",6
TRUE,FALSE,9001859,NA,NA,"Active","19791231",NA,"phenylephrine hydrochloride 2.5 % ophthalmic drops",3
TRUE,FALSE,9001863,NA,NA,"Active","19791231",NA,"theophylline 80 mg per 15 mL oral solution",2
TRUE,FALSE,9000141,NA,NA,"Active","19791231",NA,"timolol (timolol maleate) 0.5 % ophthalmic drops",8
TRUE,FALSE,9000143,NA,NA,"Active","19791231",NA,"triamcinolone acetonide 0.1 % cutaneous cream",2
TRUE,FALSE,9001867,NA,NA,"Active","19801104",NA,"benzalkonium chloride 0.1 % cutaneous liquid",5
TRUE,FALSE,9000144,NA,NA,"Active","19801231",NA,"carbidopa 25 mg and levodopa 100 mg oral tablet",6
TRUE,FALSE,9001477,NA,NA,"Active","19801231",NA,"diazepam 10 mg per 2 mL solution for injection ampoule",4
TRUE,FALSE,9000146,NA,NA,"Active","19801231",NA,"diclofenac sodium 50 mg gastro-resistant tablet",9
TRUE,FALSE,9001299,NA,NA,"Active","19801231",NA,"epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe",3
TRUE,FALSE,9009394,NA,NA,"Active","19801231",NA,"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet",3
TRUE,FALSE,9009397,NA,NA,"Active","19801231",NA,"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet",3
TRUE,FALSE,9000149,NA,NA,"Active","19801231",NA,"haloperidol 0.5 mg oral tablet",2
TRUE,FALSE,9000150,NA,NA,"Active","19801231",NA,"haloperidol 1 mg oral tablet",2
TRUE,FALSE,9000151,NA,NA,"Active","19801231",NA,"indomethacin 25 mg oral capsule",3
TRUE,FALSE,9000152,NA,NA,"Active","19801231",NA,"indomethacin 50 mg oral capsule",3
TRUE,FALSE,9010663,NA,NA,"Active","19801231",NA,"minoxidil 10 mg oral tablet",1
TRUE,FALSE,9010664,NA,NA,"Active","19801231",NA,"minoxidil 2.5 mg oral tablet",1
TRUE,FALSE,9001892,NA,NA,"Active","19801231",NA,"nitrazepam 10 mg oral tablet",3
TRUE,FALSE,9001893,NA,NA,"Active","19801231",NA,"nitrazepam 5 mg oral tablet",3
TRUE,FALSE,9000153,NA,NA,"Active","19801231",NA,"oxycodone hydrochloride 10 mg oral tablet",4
TRUE,FALSE,9000154,NA,NA,"Active","19801231",NA,"propranolol hydrochloride 10 mg oral tablet",3
TRUE,FALSE,9000155,NA,NA,"Active","19801231",NA,"propranolol hydrochloride 40 mg oral tablet",3
TRUE,FALSE,9000156,NA,NA,"Active","19801231",NA,"propranolol hydrochloride 80 mg oral tablet",3
TRUE,FALSE,9000157,NA,NA,"Active","19801231",NA,"temazepam 15 mg oral capsule",4
TRUE,FALSE,9000158,NA,NA,"Active","19801231",NA,"temazepam 30 mg oral capsule",4
TRUE,FALSE,9000159,NA,NA,"Active","19811231",NA,"allopurinol 100 mg oral tablet",5
TRUE,FALSE,9000160,NA,NA,"Active","19811231",NA,"allopurinol 200 mg oral tablet",5
TRUE,FALSE,9000161,NA,NA,"Active","19811231",NA,"alprazolam 0.25 mg oral tablet",9
TRUE,FALSE,9000162,NA,NA,"Active","19811231",NA,"alprazolam 0.5 mg oral tablet",9
TRUE,FALSE,NA,NA,NA,"Active","19811231",NA,"aminophylline 250 mg per 10 mL solution for injection vial",2
TRUE,FALSE,9000164,NA,NA,"Active","19811231",NA,"bromazepam 3 mg oral tablet",4
TRUE,FALSE,9000165,NA,NA,"Active","19811231",NA,"bromazepam 6 mg oral tablet",4
TRUE,FALSE,9001907,NA,NA,"Active","19811231",NA,"cromolyn sodium 100 mg oral capsule",1
TRUE,FALSE,9000167,NA,NA,"Active","19811231",NA,"erythromycin (erythromycin stearate) 250 mg oral tablet",1
TRUE,FALSE,9000168,NA,NA,"Active","19811231",NA,"flurazepam hydrochloride 15 mg oral capsule",5
TRUE,FALSE,9000169,NA,NA,"Active","19811231",NA,"flurazepam hydrochloride 30 mg oral capsule",3
TRUE,FALSE,9009615,NA,NA,"Active","19811231",NA,"furosemide 20 mg per 2 mL solution for injection ampoule",4
TRUE,FALSE,9009621,NA,NA,"Active","19811231",NA,"furosemide 40 mg per 4 mL solution for injection ampoule",3
TRUE,FALSE,9001909,NA,NA,"Active","19811231",NA,"guaifenesin 50 mg per 5 mL and oxtriphylline 100 mg per 5 mL oral solution",1
TRUE,FALSE,9000172,NA,NA,"Active","19811231",NA,"hydrochlorothiazide 25 mg and triamterene 50 mg oral tablet",2
TRUE,FALSE,9001920,NA,NA,"Active","19811231",NA,"tobramycin 0.3 % ophthalmic drops",3
TRUE,FALSE,9001927,NA,NA,"Active","19821231",NA,"acetaminophen 325 mg and codeine phosphate 8 mg and doxylamine succinate 5 mg oral tablet",1
TRUE,FALSE,9000174,NA,NA,"Active","19821231",NA,"acyclovir 5 % cutaneous ointment",1
TRUE,FALSE,9001934,NA,NA,"Active","19821231",NA,"benzoyl peroxide 5 % cutaneous cream",6
TRUE,FALSE,9000177,NA,NA,"Active","19821231",NA,"indapamide 2.5 mg oral tablet",9
TRUE,FALSE,9001942,NA,NA,"Active","19821231",NA,"isosorbide dinitrate 10 mg oral tablet",2
TRUE,FALSE,9001943,NA,NA,"Active","19821231",NA,"isosorbide dinitrate 30 mg oral tablet",2
TRUE,FALSE,9001947,NA,NA,"Active","19821231",NA,"nabilone 1 mg oral capsule",5
TRUE,FALSE,9000178,NA,NA,"Active","19821231",NA,"naproxen 125 mg oral tablet",1
TRUE,FALSE,9000179,NA,NA,"Active","19821231",NA,"naproxen 250 mg oral tablet",4
TRUE,FALSE,9000181,NA,NA,"Active","19831231",NA,"codeine phosphate 15 mg oral tablet",3
TRUE,FALSE,9000182,NA,NA,"Active","19831231",NA,"codeine phosphate 30 mg oral tablet",3
TRUE,FALSE,9000183,NA,NA,"Active","19831231",NA,"conjugated estrogens 1.25 mg oral tablet",3
TRUE,FALSE,9000184,NA,NA,"Active","19831231",NA,"erythromycin 250 mg gastro-resistant capsule",1
TRUE,FALSE,9009391,NA,NA,"Active","19831231","comb","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet",1
TRUE,FALSE,9009392,NA,NA,"Active","19831231","comb","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet",1
TRUE,FALSE,9009865,NA,NA,"Active","19831231",NA,"hydrochlorothiazide 25 mg and pindolol 10 mg oral tablet",1
TRUE,FALSE,9009876,NA,NA,"Active","19831231",NA,"hydrochlorothiazide 50 mg and pindolol 10 mg oral tablet",1
TRUE,FALSE,9009877,NA,NA,"Active","19831231",NA,"hydrochlorothiazide 50 mg and spironolactone 50 mg oral tablet",2
TRUE,FALSE,9000187,NA,NA,"Active","19831231",NA,"hydrocortisone 2.5 % cutaneous cream",1
TRUE,FALSE,9000188,NA,NA,"Active","19831231",NA,"hydrocortisone acetate 10 % rectal foam",1
TRUE,FALSE,9000189,NA,NA,"Active","19831231",NA,"ibuprofen 300 mg oral tablet",3
TRUE,FALSE,9000190,NA,NA,"Active","19831231",NA,"ibuprofen 400 mg oral tablet",15
TRUE,FALSE,9000191,NA,NA,"Active","19831231",NA,"metoprolol tartrate 200 mg prolonged-release oral tablet",4
TRUE,FALSE,9000192,NA,NA,"Active","19831231",NA,"naproxen 375 mg oral tablet",4
TRUE,FALSE,9000193,NA,NA,"Active","19831231",NA,"naproxen 500 mg oral tablet",4
