tm_code,tm_formal_name,tm_fr_description,tm_status,tm_status_effective_time
"8000850","fluconazole","fluconazole","Active","19901231"
"8001622","cyclopentolate","cyclopentolate","Active","19721231"
"8001210","lamivudine","lamivudine","Active","19951231"
"8001270","fluocinonide","fluocinonide","Active","19831231"
"8001886","antazoline and naphazoline","anidulafungine et naphazoline","Active","20090209"
"8000082","diclofenac","diclofénac","Active","19801231"
"8001247","buspirone","buspirone","Active","19961231"
"8000143","zopiclone","zopiclone","Active","19901231"
"8001546","zanamivir","zanamivir","Active","19991207"
"8000785","belladonna and opium","belladone et opium","Active","19911231"
"8001848","menthol and pramoxine","menthol et pramoxime","Active","19990111"
"8000805","acetylsalicylic acid and butalbital and caffeine and codeine","acide acétylsalicylique et butalbital et caféine et codéine","Active","19701231"
"8001068","ampicillin","ampicilline","Active","19711231"
"8001657","fosfomycin","fosfomycine","Active","19990915"
"8001948","sugammadex","sugammadex","Active","20160219"
"8001795","hexylresorcinol","hexylrésorcinol","Active","20011001"
"8000268","sildenafil","sildénafil","Active","19990309"
"8001958","tetrahydrozoline","tétrahydrozoline","Active","19601231"
"8000321","indapamide and perindopril","indapamide et périndopril","Active","20021219"
"8000897","benzoyl peroxide and erythromycin","peroxyde de benzoyle et érythromycine","Active","19961105"
"8001928","ruxolitinib","ruxolitinib","Active","20120719"
"8000090","bromazepam","bromazépam","Active","19811231"
"8001240","zidovudine","zidovudine","Active","19901231"
"8000811","docusate and sennosides","docusate et sennosides","Active","19751231"
"8001204","fosamprenavir","fosamprénavir","Active","20041222"
"8001973","trastuzumab","trastuzumab","Active","19990823"
"8002321","prabotulinumtoxinA","prabotulinumtoxineA","Active","20191016"
"8000932","dexamethasone (base) and framycetin and gramicidin","dexaméthasone (base) et framycétine et gramicidine","Active","20020726"
"8000794","betamethasone acetate and betamethasone (base)","acétate de bétaméthasone et bétaméthasone (base)","Active","19651231"
"8002103","cetrimide and lidocaine","cétrimide et lidocaïne","Active","19811231"
"8001015","cocoa butter and phenylephrine","beurre de cacao et phényléphrine","Active","20160520"
"8001333","acetaminophen and dextromethorphan and guaifenesin and pseudoephedrine","acétaminophène et dextrométhorphane et guaïfénésine et pseudoéphédrine","Active","19970806"
"8000038","metronidazole","métronidazole","Active","19701231"
"8001669","nabumetone","nabumétone","Active","19980821"
"8002221","carboxymethylcellulose and gelatin and pectin","carboxyméthylcellulose et gélatine et pectine","Active","19951231"
"8001798","hydrocortisone and pramoxine and zinc sulfate","hydrocortisone et pramoxime et sulfate de zinc","Active","19781231"
"8000225","fenofibrate","fénofibrate","Active","19961002"
"8001708","calamine and pramoxine","calamine et pramoxime","Active","20000501"
"8002073","polyvinyl alcohol","alcool polyvinylique","Active","19821231"
"8001085","olodaterol and tiotropium","olodatérol et tiotropium","Active","20150529"
"8000043","ibuprofen","ibuprofène","Active","19721231"
"8001257","dapagliflozin and metformin","dapagliflozine et metformine","Active","20160208"
"8000084","haloperidol","halopéridol","Active","19801231"
"8000345","drospirenone and ethinyl estradiol","drospirénone et éthinylestradiol","Active","20041222"
"8000788","belladonna and ergotamine and phenobarbital","belladone et ergotamine et phénobarbital","Inactive","20180605"
"8000246","donepezil","donépézil","Active","19970820"
"8001298","paliperidone","palipéridone","Active","20071002"
"8002063","perampanel","pérampanel","Active","20130517"
"8000229","hydrochlorothiazide and losartan","hydrochlorothiazide et losartan","Active","19961122"
"8001297","oseltamivir","oseltamivir","Active","19991223"
"8001843","lutropin alfa","lutropine alfa","Active","20050628"
"8000795","acetylsalicylic acid","acide acétylsalicylique","Active","19511231"
"8000210","cefprozil","cefprozil","Active","19951231"
"8000128","fluoxetine","fluoxétine","Active","19891231"
"8000131","omeprazole","oméprazole","Active","19891231"
"8002163","sodium thiosulfate","thiosulfate de sodium","Active","19980713"
"8001972","tranexamic acid","acide tranexamique","Active","19951231"
"8001132","nusinersen","nusinersen","Active","20170829"
"8001938","sirolimus","sirolimus","Active","20010515"
"8001864","naphazoline","naphazoline","Active","19701231"
"8001584","besifloxacin","bésifloxacine","Active","20100127"
"8001389","insulin degludec and liraglutide","insuline dégludec et liraglutide","Active","20180606"
"8000065","acetaminophen and codeine","acétaminophène et codéine","Active","19781231"
"8002131","isopropyl myristate","myristate d'isopropyle","Active","20060901"
"8000169","ketorolac","kétorolac","Active","19921231"
"8001398","mebendazole","mébendazole","Active","19821231"
"8001316","acarbose","acarbose","Active","19960202"
"8001633","dimethicone","diméthicone","Active","20020601"
"8001942","sodium tetradecyl sulfate","tétradécyl sulfate de sodium","Active","19871231"
"8001489","linezolid","linézolide","Active","20010406"
"8002206","mineral oil heavy and petrolatum","huile minérale lourde et pétrolatum","Active","19941231"
"8001314","cobicistat and elvitegravir and emtricitabine and tenofovir disoproxil","cobicistat et elvitégravir et emtricitabine et ténofovir disoproxil","Active","20121220"
"8001259","desmopressin","desmopressine","Active","19891231"
"8001143","methotrimeprazine","méthotriméprazine","Active","19581231"
"8001602","buserelin","buséréline","Active","19970210"
"8002236","bacitracin and gramicidin and lidocaine and polymyxin B","bacitracine et gramicidine et lidocaïne et polymyxine B","Active","20050524"
"8002094","amylmetacresol and dichlorobenzyl alcohol and menthol","amylmétacrésol et alcool dichlorobenzylique et menthol","Active","20120719"
"8001099","brinzolamide and timolol","brinzolamide et timolol","Active","20090825"
"8000326","ezetimibe","ézétimibe","Active","20030615"
"8000922","brompheniramine and phenylephrine","bromphéniramine et phényléphrine","Active","20010723"
"8002060","pegvisomant","pegvisomant","Active","20060124"
"8001430","acitretin","acitrétine","Active","19941231"
"8001074","azilsartan","azilsartan","Active","20121108"
"8000214","lamotrigine","lamotrigine","Active","19951231"
"8001127","brimonidine and brinzolamide","brimonidine et brinzolamide","Active","20150217"
"8001302","prochlorperazine","prochlorpérazine","Active","19891231"
"8000259","irbesartan","irbésartan","Active","19980622"
"8001710","calcium chloride","chlorure de calcium","Active","19811231"
"8001663","ivacaftor","ivacaftor","Active","20121127"
"8001984","vasopressin","vasopressine","Active","19960814"
"8001656","fosaprepitant","fosaprépitant","Active","20110404"
"8001707","calamine and diphenhydramine","calamine et diphenhydramine","Active","19811231"
"8002168","alpha tocopherol and retinol","alpha-tocophérol et rétinol","Inactive","20190723"
"8001349","chloramphenicol","chloramphénicol","Active","19591231"
"8000184","metformin","metformine","Active","19931231"
"8001608","carbachol","carbachol","Active","19801231"
"8001504","perphenazine","perphénazine","Active","19761231"
"8001226","rifabutin","rifabutine","Active","19951231"
"8001922","riociguat","riociguat","Active","20130925"
"8001492","loratadine","loratadine","Active","19881218"
"8000215","lansoprazole","lansoprazole","Active","19951231"
"8001816","ipilimumab","ipilimumab","Active","20120308"
"8001748","dimethicone and menthol","diméthicone et menthol","Inactive","20170605"
"8001851","mesna","mesna","Active","20010306"
"8001322","acetaminophen and chlorpheniramine and dextromethorphan and pseudoephedrine","acétaminophène et chlorphéniramine et dextrométhorphane et pseudoéphédrine","Active","19951231"
"8001281","insulin pork","isuline porcine","Active","20060401"
"8002222","carboxymethylcellulose and glycerin","carboxyméthylcellulose et glycérine","Active","20150515"
"8001869","potassium acetate","acétate de potassium","Active","20160718"
"8000947","levofloxacin","lévofloxacine","Active","20041130"
"8002241","gramicidin and lidocaine and polymyxin B","gramicidine et lidocaïne et polymyxine B","Active","19990618"
"8001634","dinoprost","dinoprost","Inactive","20180930"
"8001090","umeclidinium and vilanterol","uméclidinium et vilantérol","Active","20140314"
"8001478","fosphenytoin","fosphénytoïne","Active","20000301"
"8000796","benzalkonium","benzalkonium","Active","19980925"
"8002252","burosumab","burosumab","Active","20190128"
"8002141","methylene blue and naphazoline","bleu de méthylène et naphazoline","Active","19861231"
"8000905","salmeterol","salmétérol","Active","19980211"
"8001334","acetaminophen and dextromethorphan and phenylephrine","acétaminophène et dextrométhorphane et phényléphrine","Active","20060626"
"8001368","dextromethorphan","dextrométhorphane","Active","19791231"
"8000953","guaifenesin and menthol","guaïfénésine et menthol","Active","20050930"
"8002149","nonacog gamma","nonacog gamma","Active","20170418"
"8001830","leflunomide","léflunomide","Active","20000329"
"8001199","entecavir","entécavir","Active","20060912"
"8002001","vorinostat","vorinostat","Active","20090629"
"8002244","lidocaine and polymyxin B","lidocaïne et polymyxine B","Active","19991229"
"8001357","chlorpromazine","chlorpromazine","Active","19671231"
"8000009","hydroxyzine","hydroxyzine","Active","19561231"
"8001631","diazoxide","diazoxide","Active","19851231"
"8001188","diphenhydramine and ibuprofen","diphenhydramine et ibuprofène","Active","20110103"
"8001530","teduglutide","téduglutide","Active","20151028"
"8001709","calcium carbonate and etidronate","carbonate de calcium et étidronate","Active","20080410"
"8001445","clomiphene","clomiphène","Active","19911231"
"8001768","ergoloid mesylates","mésylates d'ergoloïdes","Active","19681231"
"8000050","nitrofurantoin","nitrofurantoïne","Active","19741231"
"8002280","efmoroctocog alfa","éfmoroctocog alfa","Active","20160115"
"8001524","selegiline","sélégiline","Active","19970213"
"8001632","dihydroergotamine","dihydroergotamine","Active","19461231"
"8002083","prucalopride","prucalopride","Active","20120112"
"8001392","insulin human and insulin isophane human","insuline humaine et insuline isophane humaine","Active","19891231"
"8001896","chloroxylenol and triclosan","chloroxylénol et triclosan","Active","19931231"
"8001585","betaine","bétaïne","Active","19980811"
"8001479","gatifloxacin","gatifloxacine","Active","20040927"
"8000181","domperidone","dompéridone","Active","19931231"
"8001372","dextromethorphan and phenylephrine","dextrométhorphane et phényléphrine","Active","20060818"
"8001769","ergonovine","ergonovine","Active","20160219"
"8001266","etanercept","étanercept","Active","20010314"
"8000352","tamsulosin","tamsulosine","Active","20051011"
"8000201","hydrochlorothiazide and lisinopril","hydrochlorothiazide et lisinopril","Active","19941231"
"8000873","bumetanide","bumétanide","Active","19931231"
"8002003","xylometazoline","xylométazoline","Active","19611231"
"8000262","hydrochlorothiazide and quinapril","hydrochlorothiazide et quinapril","Active","19981001"
"8001990","vinblastine","vinblastine","Active","19980414"
"8001788","glatiramer","glatiramère","Active","20020501"
"8001551","afatinib","afatinib","Active","20140117"
"8002266","risankizumab","risankizumab","Active","20190513"
"8001936","sincalide","sincalide","Active","19980708"
"8000379","rivaroxaban","rivaroxaban","Active","20080916"
"8001885","adenosine","adénosine","Active","19941231"
"8000847","captopril","captopril","Active","19901231"
"8000029","quinine sulfate","sulfate de quinine","Active","19661231"
"8002071","plerixafor","plérixafor","Active","20120326"
"8000900","hamamelis virginiana and phenylephrine","hamamélis de virginie et phényléphrine","Active","19970505"
"8000233","valacyclovir","valaciclovir","Active","19961231"
"8001444","ceftobiprole","ceftobiprole","Active","20180320"
"8001514","propylthiouracil","propylthiouracile","Active","19451231"
"8002140","methylene blue","bleu de méthylène","Active","19511231"
"8002085","pyrithione zinc","pyrithione zincique","Active","19811231"
"8000912","alcohol anhydrous and chlorhexidine","alcool anhydre et chlorhexidine","Active","19991105"
"8002233","C1 esterase inhibitor human","inhibiteur de la C1 estérase humaine","Active","20101006"
"8001393","insulin isophane pork","insuline isophane porcine","Active","20060401"
"8000948","acetaminophen and pamabrom","acétaminophène et pamabrom","Active","20041220"
"8001424","vancomycin","vancomycine","Active","19891231"
"8001712","calcium polystyrene sulfonate","sulfonate de polystyrène calcique","Active","19791231"
"8000115","glyburide","glyburide","Active","19861231"
"8002224","phospholipid and surfactant-associated proteins sp-b and sp-c","phospholipide et protéines sp-b et sp-c associées au surfactant","Active","20020205"
"8001937","sinecatechins","sinécatéchines","Active","20140704"
"8001456","empagliflozin and linagliptin","empagliflozin et linagliptine","Active","20161221"
"8000924","benzoyl peroxide and clindamycin","peroxyde de benzoyle et clindamycine","Active","20010904"
"8001950","sunitinib","sunitinib","Active","20060622"
"8000164","ethinyl estradiol and norgestimate","éthinylestradiol et norgestimate","Active","19921231"
"8002169","anti-inhibitor coagulant complex","complexe coagulant anti-inhibiteur","Active","19971027"
"8001626","deferasirox","déférasirox","Active","20061110"
"8001233","stavudine","stavudine","Active","19960730"
"8001679","podophyllin","podophylline","Active","19841231"
"8002294","interferon alfa-2a (peginterferon alfa-2a)","interféron alfa-2a (peginterféron alfa-2a)","Active","20030814"
"8001421","tetracycline","tétracycline","Active","19831231"
"8002309","neratinib","nératinib","Active","20191220"
"8002127","glycerin and propylene glycol","glycérine et propylène glycol","Active","20041201"
"8002096","calcium carbonate and famotidine and magnesium hydroxide","carbonate de calcium et famotidine et hydroxyde de magnésium","Active","20010514"
"8001206","gentamicin","gentamicine","Active","19951231"
"8001285","loteprednol","lotéprednol","Active","20090624"
"8002179","camphor and eucalyptol and guaiacol","camphre et eucalyptol et guaïacol","Active","19771231"
"8002318","icosapent","icosapent","Active","20200207"
"8001499","mexiletine","mexilétine","Active","19970217"
"8000091","flurazepam","flurazépam","Active","19811231"
"8001208","itraconazole","itraconazole","Active","19931231"
"8001311","cholestyramine","cholestyramine","Active","19931231"
"8000206","perindopril","périndopril","Active","19941231"
"8001861","mitotane","mitotane","Active","19791231"
"8002285","octacog alfa","octacog alfa","Active","20061006"
"8000221","valproic acid (base)","acide valproïque (base)","Active","19951231"
"8002249","calcium gluconate","gluconate de calcium","Active","19840719"
"8000984","clindamycin and tretinoin","clindamycine et trétinoïne","Active","20110516"
"8001505","phenelzine","phénelzine","Active","19811231"
"8000147","clozapine","clozapine","Active","19911231"
"8001811","insulin glargine and lixisenatide","insuline glargine et lixisénatide","Active","20180912"
"8001943","somatropin","somatropine","Active","19871231"
"8002204","mineral oil heavy","huile minérale lourde","Active","19511231"
"8000893","sotalol","sotalol","Active","19951231"
"8001900","codeine and guaifenesin and pheniramine","codéine et guaïfénésine et phéniramine","Active","19931231"
"8000859","acetaminophen and codeine and methocarbamol","acétaminophène et codéine et méthocarbamol","Active","19921231"
"8001765","epoetin alfa","époétine alfa","Active","19970919"
"8001502","pentamidine","pentamidine","Active","19980910"
"8001658","gemfibrozil","gemfibrozil","Active","19951231"
"8001409","orphenadrine","orphénadrine","Active","19941231"
"8001425","ziprasidone","zaprasidone","Active","20080104"
"8001575","azacitidine","azacitidine","Active","20100104"
"8001686","temsirolimus","temsirolimus","Active","20080111"
"8002261","lorlatinib","lorlatinib","Active","20190422"
"8001374","dicyclomine","dicyclomine","Active","19741231"
"8001016","canagliflozin and metformin","canagliflozine et metformine","Active","20160628"
"8002298","patisiran (lipid complex)","patisiran (complexe lipidique)","Active","20190725"
"8001870","potassium chloride","chlorure de potassium","Active","19511231"
"8001395","isoniazid","isoniazide","Active","19841231"
"8000218","naproxen","naproxène","Active","19821231"
"8001857","methylnaltrexone","méthylnaltrexone","Active","20080507"
"8001273","guanfacine","guanfacine","Active","20130806"
"8001131","cysteamine","cystéamine","Active","20171017"
"8001753","diphenhydramine and menthol","diphenhydramine et menthol","Active","19970623"
"8000028","dexamethasone (base)","dexaméthasone (base)","Active","19661231"
"8001696","antipyrine and sodium salicylate","antipyrine et salicylate de sodium","Active","19791231"
"8000040","cephalexin","céphalexine","Active","19711231"
"8002243","incobotulinumtoxinA","incobotulinumtoxineA","Active","20090721"
"8001141","avelumab","avelumab","Active","20171218"
"8001272","fluvoxamine","fluvoxamine","Active","19911231"
"8001578","bendamustine","bendamustine","Active","20120912"
"8001630","dequalinium","déqualinium","Active","19951231"
"8000237","cetirizine","cétirizine","Active","19970306"
"8001497","melphalan","melphalan","Active","19641231"
"8001704","bismuth subgallate","subgallate de bismuth","Active","19781231"
"8000821","guaifenesin","guaïfénésine","Active","19791231"
"8001842","lomustine","lomustine","Active","19761231"
"8002282","fibrinogen human and thrombin human","fibrinogène humaine et thrombine humaine","Active","20110301"
"8001967","tofacitinib","tofacitinib","Active","20140603"
"8002223","carboxymethylcellulose and glycerin and polysorbate 80","carboxyméthylcellulose et glycérine et polysorbate 80","Active","20130306"
"8002324","darolutamide","darolutamide","Active","20200324"
"8002308","mineral oil heavy and urea","huile minérale lourde et urée","Active","19831231"
"8002028","ketamine","kétamine","Active","19721231"
"8001485","inotuzumab ozogamicin","inotuzumab ozogamicine","Active","20180503"
"8001892","betamethasone valerate and fusidic acid","valérate de bétaméthasone et acide fusidique","Active","20181003"
"8001186","didanosine","didanosine","Active","20020102"
"8001908","gonadorelin","gonadoréline","Active","19941231"
"8001404","naltrexone","naltrexone","Active","19971023"
"8002155","potassium phosphate monobasic","phosphate de potassium monobasique","Active","19871231"
"8001532","tenoxicam","ténoxicam","Active","19970221"
"8001518","ribociclib","ribociclib","Active","20180427"
"8001844","magnesium chloride","chlorure de magnésium","Active","19961231"
"8001557","alemtuzumab","alemtuzumab","Active","20070907"
"8001652","febuxostat","fébuxostat","Active","20100930"
"8001189","diphenhydramine and naproxen","diphenhydramine et naproxène","Active","20160224"
"8001449","desipramine","désipramine","Active","19961231"
"8001139","olaratumab","olaratumab","Active","20171222"
"8001094","theophylline","théophylline","Active","19791231"
"8001576","basiliximab","basiliximab","Active","20001023"
"8001536","ticlopidine","ticlopidine","Active","19980330"
"8002108","citric acid and magnesium oxide and sodium picosulfate","acide citrique et oxyde de magnésium et picosulfate de sodium","Active","20041125"
"8001801","icatibant","icatibant","Active","20140714"
"8001501","pemetrexed","pémétrexed","Active","20040803"
"8002283","nonacog alfa","nonacog alfa","Active","20070414"
"8001346","cabergoline","cabergoline","Active","20000630"
"8002265","pralatrexate","pralatrexate","Active","20190115"
"8000015","spironolactone","spironolactone","Active","19591231"
"8002234","abobotulinumtoxinA","abobotulinumtoxineA","Active","20130219"
"8001773","fidaxomicin","fidaxomicine","Active","20120621"
"8002225","amphetamine mixed salts","sels mixtes d’amphétamine","Active","20040130"
"8002300","bacillus Calmette-Guérin substrain TICE","bacille de Calmette-Guérin sous-souche TICE","Active","19951231"
"8001520","rotigotine","rotigotine","Active","20130627"
"8001784","galsulfase","galsulfase","Active","20140101"
"8002328","tafamidis","tafamidis","Active","20200407"
"8001792","goserelin","goséréline","Active","19941231"
"8001203","famciclovir","famciclovir","Active","19951231"
"8001097","chloral hydrate","hydrate de chloral","Active","19901231"
"8001838","lidocaine and menthol","lidocaïne et menthol","Active","20090505"
"8000907","amoxicillin and clarithromycin and lansoprazole","amoxicilline et clarithromycine et lansoprazole","Active","19980818"
"8000263","clopidogrel","clopidogrel","Active","19981013"
"8002212","sodium aurothiomalate","aurothiomalate de sodium","Inactive","20190604"
"8001231","simeprevir","siméprévir","Inactive","20180331"
"8001598","brivaracetam","brivaracétam","Active","20160502"
"8002203","magnesium hydroxide and mineral oil heavy","hydroxyde de magnésium et huile minérale lourde","Active","19721231"
"8000064","penicillin V","pénicilline V","Active","19771231"
"8000159","ciprofloxacin","ciprofloxacine","Active","19921231"
"8001746","dextromethorphan and guaifenesin and menthol","dextrométhorphane et guaïfénésine et menthol","Active","20050330"
"8001653","floctafenine","floctafénine","Active","20011114"
"8001761","eluxadoline","éluxadoline","Active","20170424"
"8000078","nystatin","nystatine","Active","19791231"
"8002271","methimazole","méthimazole","Active","19511231"
"8002002","vortioxetine","vortioxétine","Active","20141028"
"8000799","phenobarbital","phénobarbital","Active","19571231"
"8001476","follitropin beta","follitropine bêta","Active","20011018"
"8002230","iron sucrose","fer-saccharose","Active","20010605"
"8001538","tranylcypromine","tranylcypromine","Active","19921231"
"8001496","megestrol","mégestrol","Active","19951231"
"8001612","carfilzomib","carfilzomib","Active","20160211"
"8001407","ofloxacin","ofloxacine","Active","19951231"
"8001360","clodronate","clodronate","Active","19921231"
"8000180","diclofenac and misoprostol","diclofénac et misoprostol","Active","19931231"
"8000032","carbamazepine","carbamazépine","Active","19691231"
"8002161","sodium bicarbonate","bicarbonate de sodium","Active","19741231"
"8002215","amphotericin B","amphotéricine B","Active","19581231"
"8001440","benralizumab","benralizumab","Active","20180328"
"8001229","ritonavir","ritonavir","Active","19960925"
"8001048","tolbutamide","tolbutamide","Active","19751231"
"8000123","nifedipine","nifédipine","Active","19881231"
"8002122","glycerin and hypromellose","glycérine et hypromellose","Active","20110419"
"8001684","sodium salicylate","salicylate de sodium","Active","19851231"
"8001460","ertugliflozin and metformin","ertugliflozine et metformine","Active","20180706"
"8001216","micafungin","micafungine","Active","20070918"
"8002015","brodalumab","brodalumab","Active","20180705"
"8001681","prasugrel","prasugrel","Active","20100517"
"8000200","gabapentin","gabapentine","Active","19941231"
"8001194","elbasvir and grazoprevir","elbasvir et grazoprévir","Active","20160125"
"8002290","coagulation factor VIII human and von Willebrand factor human","facteur VIII de coagulation humain et facteur de von Willebrand humain","Active","20041206"
"8002260","latanoprostene bunod","latanoprostène bunod","Active","20190517"
"8001250","clomipramine","clomipramine","Active","19731231"
"8000134","budesonide","budésonide","Active","19901231"
"8001638","dronedarone","dronédarone","Active","20090928"
"8001179","ceftazidime","ceftazidime","Active","19911231"
"8001743","degarelix","dégarélix","Active","20091124"
"8000823","phenylephrine","phényléphrine","Active","19791231"
"8001745","dexrazoxane","dexrazoxane","Active","19951231"
"8000234","sumatriptan","sumatriptan","Active","19970211"
"8001561","alteplase","altéplase","Active","19961231"
"8002156","prednisolone and sulfacetamide","prednisolone et sulfacétamide","Active","19741231"
"8000240","topiramate","topiramate","Active","19970325"
"8001493","loratadine and pseudoephedrine","loratadine et pseudoéphédrine","Active","19911231"
"8001049","aminophylline","aminophylline","Active","19811231"
"8000165","felodipine","félodipine","Active","19921231"
"8000315","bimatoprost","bimatoprost","Active","20020524"
"8000936","ibuprofen and methocarbamol","ibuprofène et méthocarbamol","Active","20030702"
"8000369","tramadol","tramadol","Active","20061207"
"8001511","posaconazole","posaconazole","Active","20070606"
"8002093","amylmetacresol and dichlorobenzyl alcohol","amylmétacrésol et alcool dichlorobenzylique","Active","20120719"
"8001543","vardenafil","vardénafil","Active","20040317"
"8000163","doxazosin","doxazosine","Active","19921231"
"8001106","ondansetron","ondansétron","Active","19961113"
"8001506","pilocarpine","pilocarpine","Active","19591231"
"8001675","nitisinone","nitisinone","Active","20161020"
"8001509","polidocanol","polidocanol","Inactive","20200228"
"8001641","eculizumab","éculizumab","Active","20090525"
"8000095","acyclovir","acyclovir","Active","19821231"
"8000171","sertraline","sertraline","Active","19921231"
"8001483","hyprolose","hyprolose","Active","20040525"
"8000117","doxycycline","doxycycline","Active","19871231"
"8000285","methadone","méthadone","Active","20000505"
"8001926","romiplostim","romiplostim","Active","20090415"
"8001913","nitroprusside","nitroprussiate","Active","20110517"
"8001808","imiglucerase","imiglucérase","Active","20000614"
"8000114","dexamethasone phosphate","phosphate de dexaméthasone","Active","19861231"
"8001000","linagliptin and metformin","linagliptine et metformine","Active","20130417"
"8001237","tenofovir disoproxil","ténofovir disoproxil","Active","20040315"
"8001162","abacavir","abacavir","Active","19990609"
"8001175","cefazolin","céfazoline","Active","19951231"
"8001184","daptomycin","daptomycine","Active","20071203"
"8001824","ketoprofen","kétoprofène","Active","19891231"
"8002239","bacitracin and polymyxin B","bacitracine et polymyxine B","Active","19871231"
"8000267","citalopram","citalopram","Active","19990308"
"8001166","acetaminophen and diphenhydramine","acétaminophène et diphenhydramine","Active","20121002"
"8000027","azathioprine","azathioprine","Active","19661231"
"8001554","agalsidase beta","agalsidase bêta","Active","20040408"
"8000814","metronidazole and nystatin","métronidazole et nystatine","Active","19761231"
"8001526","silver sulfadiazine","sulfadiazine d'argent","Active","19741231"
"8001380","famotidine","famotidine","Active","19931231"
"8001174","caspofungin","caspofungine","Active","20010823"
"8001370","dextromethorphan and guaifenesin","dextrométhorphane et guaïfénésine","Active","19921231"
"8001336","acetaminophen and diphenhydramine and pseudoephedrine","acétaminophène et diphenhydramine et pseudoéphédrine","Active","19980305"
"8001690","abciximab","abciximab","Active","19961030"
"8000075","calcitriol","calcitriol","Active","19791231"
"8001736","cyclophosphamide","cyclophosphamide","Active","20000822"
"8001635","dinoprostone","dinoprostone","Active","19771231"
"8000073","amoxicillin","amoxicilline","Active","19791231"
"8000346","escitalopram","escitalopram","Active","20050214"
"8002268","abemaciclib","abémaciclib","Active","20190703"
"8001225","raltitrexed","raltitrexed","Active","19961118"
"8001916","pyridoxine","pyridoxine","Active","20020601"
"8000208","beclomethasone","béclométhasone","Active","19951231"
"8001620","crizotinib","crizotinib","Active","20120510"
"8001651","fampridine","fampridine","Active","20120224"
"8000148","mometasone","mométasone","Active","19911231"
"8000307","insulin aspart","insuline asparte","Active","20011031"
"8000982","formoterol and mometasone","formotérol et mométasone","Active","20110310"
"8000920","framycetin and gramicidin and phenylephrine","framycétine et gramicidine et phényléphrine","Active","20010504"
"8002036","norepinephrine","norépinéphrine","Active","19911231"
"8001762","epinephrine and lidocaine","épinéphrine et lidocaïne","Active","19541231"
"8001155","roflumilast","roflumilast","Active","20101230"
"8001534","thioguanine","thioguanine","Active","19741231"
"8001340","amantadine","amantadine","Active","19921231"
"8001677","orlistat","orlistat","Active","19990603"
"8001613","ceritinib","céritinib","Active","20150429"
"8002119","eptacog alfa (activated)","eptacog alfa (activé)","Active","20150505"
"8001119","liraglutide","liraglutide","Active","20100527"
"8002077","ponatinib","ponatinib","Active","20150821"
"8001176","cefepime","céfépime","Active","20090319"
"8001457","enfuvirtide","enfuvirtide","Active","20030818"
"8001467","fexofenadine and pseudoephedrine","fexofénadine et pseudoéphédrine","Active","19990429"
"8001609","carbetocin","carbétocine","Active","19990801"
"8001254","dalteparin","daltéparine sodique","Active","19951231"
"8000118","enalapril","énalapril","Active","19871231"
"8001228","rilpivirine","rilpivirine","Active","20110831"
"8001205","ganciclovir","ganciclovir","Active","19951231"
"8001906","eltrombopag","eltrombopag","Active","20110401"
"8001503","periciazine","périciazine","Active","19691231"
"8000061","clonazepam","clonazépam","Active","19771231"
"8000773","clotrimazole","clotrimazole","Active","19881231"
"8001776","fludarabine","fludarabine","Active","20020924"
