ccdd,top250name,dpd_ingredient,ing_stem,hydrate,ntp_ing,CCDD.Status,comments_do.not.use.commas.or.special.characters,index_num,dpd_ingredient_FR,ing_stem_fr,ntp_ing_fr
Y,,ALLANTOIN,allantoin,FALSE,allantoin,Released,Combination only,47,Allantoïne,allantoïne,allantoïne
,,ALLERGEN EXTRACT - ALUM PRECIPITATED,allergen extract - alum precipitated,FALSE,allergen extract - alum precipitated,Allergen,,48,Extrait allergénique - précipité d'aluminium,allergen extract - alum precipitated,allergen extract - alum precipitated
,,ALLERGEN EXTRACT - DIAGNOSTIC,allergen extract - diagnostic,FALSE,allergen extract - diagnostic,Allergen,,49,Extrait allergénique - diagnostic,allergen extract - diagnostic,allergen extract - diagnostic
,,ALLERGENIC EXTRACT NON-POLLEN,allergenic extract non-pollen,FALSE,allergenic extract non-pollen,Allergen,,50,Extrait allergénique non pollénique,allergenic extract non-pollen,allergenic extract non-pollen
,,ALLERGENIC EXTRACTS,allergenic extracts,FALSE,allergenic extracts,Allergen,,51,Extraits d'allergènes,allergenic extracts,allergenic extracts
,,ALLERGENIC EXTRACTS POLLENS,allergenic extracts pollens,FALSE,allergenic extracts pollens,Allergen,,52,Extraits allergéniques polléniques,allergenic extracts pollens,allergenic extracts pollens
Y,ALLOPURINOL,ALLOPURINOL,allopurinol,FALSE,allopurinol,Released,,53,Allopurinol,allopurinol,allopurinol
Y,,ALMOTRIPTAN (ALMOTRIPTAN MALATE),almotriptan,FALSE,almotriptan (almotriptan malate),Released,,54,Almotriptan (Malate d'almotriptan),allopurinol,almotriptan (malate d'almotriptan)
Y,,ALOE,aloe,FALSE,aloe,Released,Combination only,55,Aloès,aloès,aloès
Y,,Alogliptin (Alogliptin benzoate),alogliptin ,FALSE,alogliptin (alogliptin benzoate),Released,Single and multi-ingredient TMs,56,Alogliptine (Benzoate d'alogliptine),alogliptine,alogliptine (benzoate d'alogliptine)
Y,,ALFA 1-PROTEINASE INHIBITOR (HUMAN),alfa 1-proteinase inhibitor human,FALSE,alfa 1-proteinase inhibitor human,Released,,57,Inhibiteur de l'alpha 1-protéinase (humain),inhibiteur de l'alfa 1-protéinase humaine,inhibiteur de l'alfa 1-protéinase humaine
Y,ALPRAZOLAM,ALPRAZOLAM,alprazolam,FALSE,alprazolam,Released,,58,Alprazolam,alprazolam,alprazolam
Y,,ALPROSTADIL,alprostadil,FALSE,alprostadil,Released,,59,Alprostadil,alprostadil,alprostadil
Y,,ALTEPLASE,alteplase,FALSE,alteplase,Released,,60,Altéplase,altéplase,altéplase
Y,,ALUMINUM CHLORIDE,aluminum chloride,FALSE,aluminum chloride,,,61,Chlorure d'aluminium,chlorure d'aluminium,chlorure d'aluminium
Y,,ALUMINUM CHLOROHYDRATE,aluminum chlorohydrate,TRUE,aluminum chlorohydrate,Released,Combination only,62,Chlorhydrate d'aluminium,chlorhydrate d'aluminium,chlorhydrate d'aluminium
Y,,ALUMINUM HYDROXIDE,aluminum hydroxide,FALSE,aluminum hydroxide,Partially released,Combination only,63,Hydroxyde d'aluminium,hydroxyde d'aluminium,hydroxyde d'aluminium
Y,,ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL),aluminum hydroxide,FALSE,aluminum hydroxide (dried aluminum hydroxide gel),Partially released,Combination only,64,Hydroxyde d'aluminium (Gel d'hydroxyde d'aluminium séché (en poudre)),hydroxyde d'aluminium,hydroxyde d'aluminium
Y,,ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL,aluminum magnesium hydroxide carbonate,FALSE,aluminum magnesium hydroxide carbonate	,Partially released,Combination only,65,Gel d'hydroxyde d'aluminium et carbonate de magnésium co-séchés (en poudre),aluminium magnésium hydroxyde carbonate,aluminium magnésium hydroxyde carbonate
Y,,ALUMINUM HYDROXIDE-SUCROSE DRIED GEL,aluminum hydroxide,FALSE,aluminum hydroxide-sucrose dried gel,Partially released,Combination only,66,Gel d'hydroxyde d'aluminium et sucrose séchés (en poudre),hydroxyde d'aluminium,hydroxyde d'aluminium
Y,,AMANTADINE HYDROCHLORIDE,amantadine,FALSE,amantadine hydrochloride,Released,,67,Chlorhydrate d'amantadine,amantadine,chlorhydrate d'amantadine
Y,AMBRISENTAN,AMBRISENTAN,ambrisentan,FALSE,ambrisentan,Released,,68,Ambrisentan,ambrisentan,ambrisentan
Y,,AMCINONIDE,amcinonide,FALSE,amcinonide,Released,,69,Amcinonide,amcinonide,amcinonide
Y,,AMIKACIN (AMIKACIN SULFATE),amikacin,FALSE,amikacin (amikacin sulfate),Released,,70,Amikacine (Sulfate d'amikacine),amikacin,amikacine (sulfate d'amikacine)
Y,AMILORIDE,AMILORIDE HYDROCHLORIDE,amiloride,FALSE,amiloride hydrochloride,Released,Single and multi-ingredient TMs,71,Chlorhydrate d'amiloride,amiloride,chlorhydrate d'amiloride
Y,,AMINOLEVULINIC ACID HYDROCHLORIDE,aminolevulinic acid,FALSE,aminolevulinic acid hydrochloride,Released,,72,Chlorhydrate d'acide aminolévulinique,acide aminolévulinique,chlorhydrate d'acide aminolévulinique
Y,AMINOPHYLLINE,AMINOPHYLLINE,aminophylline,FALSE,aminophylline,Released,,73,Aminophylline,aminophylline,aminophylline
Y,AMIODARONE,AMIODARONE HYDROCHLORIDE,amiodarone,FALSE,amiodarone hydrochloride,Released,,74,Chlorhydrate d'amiodarone,amiodarone,chlorhydrate d'amiodarone
Y,AMITRIPTYLINE,AMITRIPTYLINE HYDROCHLORIDE,amitriptyline,FALSE,amitriptyline hydrochloride,Released,,75,Chlorhydrate d'amitriptyline,amitriptyline,chlorhydrate d'amitriptyline
Y,AMLODIPINE,AMLODIPINE (AMLODIPINE BESYLATE),amlodipine,FALSE,amlodipine (amlodipine besylate),Released,Single and multi-ingredient TMs,76,Amlodipine (Bésylate d'amlodipine),amlodipine,amlodipine (bésylate d'amlodipine)
Y,,AMMONIUM CHLORIDE,ammonium chloride,FALSE,ammonium chloride,Released,Combination only,77,Chlorure d'ammonium,chlorure d'ammonium,chlorure d'ammonium
Y,AMOXICILLIN,AMOXICILLIN,amoxicillin,FALSE,amoxicillin,Released,Single and multi-ingredient TMs,78,Amoxicilline,amoxicilline,amoxicilline
Y,AMOXICILLIN,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),amoxicillin,TRUE,amoxicillin,Released,Single and multi-ingredient TMs,79,Amoxicilline (Trihydrate d'amoxicilline),amoxicilline,amoxicilline
Y,AMPHETAMINE,AMPHETAMINE ASPARTATE MONOHYDRATE,amphetamine,TRUE,amphetamine aspartate,Released,Combination only (mixed salts amphetamine),80,Aspartate d'amphétamine monohydraté,amphétamine,aspartate d'amphétamine
Y,AMPHETAMINE,AMPHETAMINE SULFATE,amphetamine,FALSE,amphetamine sulfate,Released,Combination only (mixed salts amphetamine),81,Sulfate d'amphétamine,amphétamine,sulfate d'amphétamine
Y,,AMPHOTERICIN B,amphotericin B,FALSE,amphotericin B,Issue - in QA,,82,Amphotéricine b,amphotéricine B,amphotéricine B
Y,AMPICILLIN,AMPICILLIN,ampicillin,FALSE,ampicillin,Released,,83,Ampicilline,ampicilline,ampicilline
Y,AMPICILLIN,AMPICILLIN (AMPICILLIN SODIUM),ampicillin,FALSE,ampicillin (ampicillin sodium),Released,,84,Ampicilline (Ampicilline sodique),ampicilline,ampicilline (ampicilline sodique)
Y,,AMPICILLIN (AMPICILLIN TRIHYDRATE),ampicillin,TRUE,ampicillin,Released,,85,Ampicilline (Ampicilline trihydratée),ampicilline,ampicilline
Y,,AMSACRINE,amsacrine,FALSE,amsacrine,No live products,,86,Amsacrine,amsacrine,amsacrine
Y,,AMYLASE,pancrelipase,FALSE,amylase,Released,Pancreatin products - Pancrelipase refers to the combination of amylase and lipase and protease and labeled as such in Canada. Currently all amylase products in dpd are truly pancrelipase,87,Amylase,pancrelipase,amylase
Y,,AMYLMETACRESOL,amylmetacresol,FALSE,amylmetacresol,Released,Combination only,88,Amylmétacrésol,amylmétacrésol,amylmétacrésol
Y,,ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE),anagrelide,TRUE,anagrelide (anagrelide hydrochloride),Released,,89,Anagrélide (Chlorhydrate d'Anagrélide Monohydraté),anagrélide,anagrélide (chlorhydrate d'anagrélide)
Y,,ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE),anagrelide,FALSE,anagrelide (anagrelide hydrochloride),Released,,90,Anagrélide (Chlorhydrate d'anagrélide),anagrélide,anagrélide (chlorhydrate d'anagrélide)
Y,,ANAKINRA,anakinra,FALSE,anakinra,Released,,91,Anakinra,anakinra,anakinra
Y,,ANASTROZOLE,anastrozole,FALSE,anastrozole,Released,,92,Anastrozole,anastrozole,anastrozole
Y,,ANETHOLE TRITHIONE,anethole trithione,FALSE,anethole trithione,Released,,93,Anéthole trithione,anéthole trithione,anéthole trithione
Y,,ANIDULAFUNGIN,anidulafungin,FALSE,anidulafungin,Released,,94,Anidulafungine,anidulafungine,anidulafungine
Y,,ANTAZOLINE PHOSPHATE,antazoline,FALSE,antazoline phosphate,Released,Combination only,95,Phosphate d'antazoline,anidulafungine,phosphate d'antazoline
,,ANTI-D (RH) IMMUNOGLOBULIN (HUMAN),anti-d (rh) immunoglobulin (human),FALSE,anti-d (rh) immunoglobulin (human),Immunologic,,96,Immunoglobuline anti-D (Rh) (Humaine),anti-d (rh) immunoglobulin (human),anti-d (rh) immunoglobulin (human)
Y,,ANTIHEMOPHILIC FACTOR (HUMAN),antihemophilic factor (human),FALSE,antihemophilic factor (human),In QA,,97,Facteur antihémophilique (humain),facteur antihémophilique (humain),facteur antihémophilique (humain)
Y,,"Antihemophilic Factor (Recombinant BDD), FC Fusion Protein",antihemophilic factor (recombinant BDD) FC fusion protein,FALSE,antihemophilic factor (recombinant BDD) FC fusion protein,In QA,,98,"Facteur Antihémophilique (Recombiné BDD), Protéine Hybride FC","facteur antihémophilique (recombiné BDD), protéine hybride FC","facteur antihémophilique (recombiné BDD), protéine hybride FC"
Y,,ANTIHEMOPHILIC FACTOR (RECOMBINANT),antihemophilic factor (recombinant),FALSE,antihemophilic factor (recombinant),In QA,,99,Facteur antihémophilique (recombiné),facteur antihémophilique (recombiné),facteur antihémophilique (recombiné)
Y,,ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE,antihemophilic factor (recombinant) porcine sequence,FALSE,antihemophilic factor (recombinant) porcine sequence,In QA,,100,Facteur Antihémophilique (Recombiné) Séquence Porcine,facteur antihémophilique (recombiné) séquence porcine,facteur antihémophilique (recombiné) séquence porcine
Y,,ANTI-INHIBITOR COAGULANT COMPLEX,anti-inhibitor coagulant complex,FALSE,anti-inhibitor coagulant complex,In QA,,101,Complexe coagulant anti-inhibiteur,complexe coagulant anti-inhibiteur,complexe coagulant anti-inhibiteur
Y,,ANTIPYRINE,antipyrine,FALSE,antipyrine,Released,Combination only; Formule 2 product blacklisted,102,Antipyrine,antipyrine,antipyrine
Y,,ANTITHROMBIN III (HUMAN),antithrombin iii (human),FALSE,antithrombin iii (human),In QA,,103,Antithrombine iii (humaine),antithrombine III (humaine),antithrombine III (humaine)
Y,,ANTI-THYMOCYTE GLOBULIN (RABBIT),anti-thymocyte immunoglobulin rabbit,FALSE,anti-thymocyte immunoglobulin rabbit,Released,,104,Globuline (lapin) anti-thymocyte,globuline (lapin) anti-thymocyte,globuline (lapin) anti-thymocyte
Y,,APALUTAMIDE,apalutamide,FALSE,apalutamide,Released,,105,APALUTAMIDE,apalutamide,apalutamide
,,APIS MELLIFERA VENOM PROTEIN EXTRACT,apis mellifera venom protein extract,FALSE,apis mellifera venom protein extract,Antidote,,106,Extrait protéique de venin d'Abeille mellifère,apis mellifera venom protein extract,apis mellifera venom protein extract
Y,,Apixaban,apixaban,FALSE,apixaban,Released,,107,Apixaban,apixaban,apixaban
Y,,APOMORPHINE,apomorphine,FALSE,apomorphine,Released,,108,Apomorphine,apomorphine,apomorphine
Y,,APOMORPHINE HYDROCHLORIDE,apomorphine,FALSE,apomorphine hydrochloride,Released,,109,Chlorhydrate d'Apomorphine,apomorphine,chlorhydrate d'apomorphine
Y,,APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE),apraclonidine,FALSE,apraclonidine (apraclonidine hydrochloride),Released,,110,ApraclonidinE (Chlorhydrate d'apraclonidine),apraclonidine,apraclonidine (chlorhydrate d'apraclonidine)
Y,,APREMILAST,apremilast,FALSE,apremilast,Released,,111,APREMILAST,apremilast,apremilast
Y,,APREPITANT,aprepitant,FALSE,aprepitant,Released,,112,Aprépitant,aprépitant,aprépitant
Y,,APROTININ (BOVINE),aprotinin (bovine),FALSE,aprotinin (bovine),No live products,,113,Aprotinine (bovine),aprotinine (bovine),aprotinine (bovine)
Y,,APROTININ (SYNTHETIC),aprotinin (synthetic),FALSE,aprotinin (synthetic),No products in scope,Haemostatic sealant products,114,Aprotinin (synthétique),aprotinine (synthétique),aprotinine (synthétique)
Y,,ARGATROBAN,argatroban,FALSE,argatroban,Released,,115,Argatroban,argatroban,argatroban
,,ARGININE,arginine,FALSE,arginine,TPN,,116,Arginine,arginine,arginine
,,ARGININE HYDROCHLORIDE,arginine hydrochloride,FALSE,arginine hydrochloride,TPN,,117,Chlorhydrate d'arginine,arginine hydrochloride,arginine hydrochloride
Y,ARIPIPRAZOLE,ARIPIPRAZOLE,aripiprazole,FALSE,aripiprazole,Released,,118,Aripiprazole,aripiprazole,aripiprazole
Y,,ARSENIC TRIOXIDE,arsenic trioxide,FALSE,arsenic trioxide,Released,,119,Trioxyde d'arsénic,trioxyde d'arsénic,trioxyde d'arsénic
Y,,ARTICAINE HYDROCHLORIDE,articaine,FALSE,articaine hydrochloride,Issue - in QA,,120,Chlorhydrate d'articaïne,articaïne,chlorhydrate d'articaïne
Y,,Asenapine (Asenapine maleate),asenapine,FALSE,asenapine (asenapine maleate),Released,,121,Asénapine (Maléate d'asénapine),asénapine,asénapine (maléate d'asénapine)
Y,,ASFOTASE ALFA,asfotase alfa,FALSE,asfotase alfa,Released,,122,ASFOTASE ALFA,asfotase alfa,asfotase alfa
Y,,ASPARAGINASE,asparaginase,FALSE,asparaginase,Issue - in QA,,123,Asparaginase,asparaginase,asparaginase
Y,,ASUNAPREVIR,asunaprevir,FALSE,asunaprevir,No live products,,124,Asunaprévir,asunaprévir,asunaprévir
Y,,ATAZANAVIR (ATAZANAVIR SULFATE),atazanavir,FALSE,atazanavir (atazanavir sulfate),Released,Single and multi-ingredient TMs,125,Atazanavir (Sulfate d'atazanavir),atazanavir,atazanavir (sulfate d'atazanavir)
Y,ATENOLOL,ATENOLOL,atenolol,FALSE,atenolol,Released,Single and multi-ingredient TMs,126,Aténolol,aténolol,aténolol
Y,,ATEZOLIZUMAB,atezolizumab,FALSE,atezolizumab,Released,,127,ATÉZOLIZUMAB,atézolizumab,atézolizumab
Y,ATOMOXETINE,ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE),atomoxetine,FALSE,atomoxetine (atomoxetine hydrochloride),Released,,128,Atomoxétine (Chlorhydrate d'atomoxétine),atomoxétine,atomoxétine (chlorhydrate d'atomoxétine)
Y,ATORVASTATIN,ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE),atorvastatin,TRUE,atorvastatin (atorvastatin calcium),Released,Single and multi-ingredient TMs,129,Atorvastatine (Solvate de propylène glycol d'atorvastatine calcique),atorvastatine,atorvastatine (d'atorvastatine calcique)
Y,ATORVASTATIN,ATORVASTATIN (ATORVASTATIN CALCIUM),atorvastatin,FALSE,atorvastatin (atorvastatin calcium),Released,Single and multi-ingredient TMs,130,Atorvastatine (Atorvastatine calcique),atorvastatine,atorvastatine (d'atorvastatine calcique)
Y,,ATOVAQUONE,atovaquone,FALSE,atovaquone,Released,Single and multi-ingredient TMs,131,Atovaquone,atovaquone,atovaquone
Y,,ATRACURIUM BESYLATE,atracurium besylate,FALSE,atracurium besylate,No live products,,132,Bésilate d'atracurium,atracurium,bésilate d'atracurium
Y,,ATROPINE SULFATE,atropine,FALSE,atropine sulfate,Released,Single and multi-ingredient TMs,133,Sulfate d'atropine,atropine,sulfate d'atropine
Y,,AURANOFIN,auranofin,FALSE,auranofin,Released,,134,Auranofine,auranofine,auranofine
Y,,AVELUMAB,avelumab,FALSE,avelumab,Released,,135,Avelumab,avelumab,avelumab
,,AVOBENZONE,avobenzone,FALSE,avobenzone,Sunscreen,,136,Avobenzone,avobenzone,avobenzone
Y,,Axitinib,axitinib,FALSE,axitinib,Released,,137,Axitinib,axitinib,axitinib
Y,,AZACITIDINE,azacitidine,FALSE,azacitidine,Released,,138,Azacitidine,azacitidine,azacitidine
Y,AZATHIOPRINE,AZATHIOPRINE,azathioprine,FALSE,azathioprine,Released,,139,Azathioprine,azathioprine,azathioprine
Y,AZATHIOPRINE,AZATHIOPRINE (AZATHIOPRINE SODIUM),azathioprine,FALSE,azathioprine (azathioprine sodium),Released,,140,Azathioprine (Azathioprine sodique),azathioprine,azathioprine (azathioprine sodique)
Y,,AZELAIC ACID,azelaic acid,FALSE,azelaic acid,Released,,141,Acide azélaïque,acide azélaïque,acide azélaïque
Y,,AZELASTINE HYDROCHLORIDE,azelastine,FALSE,azelastine hydrochloride,Released,Combination only,142,Chlorhydrate d'azélastine,azélastine,chlorhydrate d'azélastine
Y,,azelastine hydrochloride,azelastine hydrochloride,FALSE,azelastine hydrochloride,Released,Combination only,143,,azélastine,chlorhydrate d'azélastine
Y,,Azilsartan Medoxomil (Azilsartan Medoxomil Potassium),azilsartan,FALSE,azilsartan medoxomil (azilsartan medoxomil potassium),Released,Single and multi-ingredient TMs,144,Azilsartan Médoxomil (Azilsartan Médoxomil Potassium),azilsartan,azilsartan médoxomil (azilsartan médoxomil potassium)
Y,AZITHROMYCIN,AZITHROMYCIN,azithromycin,FALSE,azithromycin,Released,,145,Azithromycine,azithromycine,azithromycine
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN DIHYDRATE),azithromycin,TRUE,azithromycin,Released,,146,Azithromycine (Dihydrate d'Azithromycine),azithromycine,azithromycine
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE),azithromycin,FALSE,azithromycin (azithromycin hydrogen citrate),Released,,147,Azithromycine (Hydrogénocitrate d'azithromycine),azithromycine,azithromycine (hydrogénocitrate d'azithromycine)
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE),azithromycin,TRUE,azithromycin,Released,,148,Azithromycine (Isopropanolate d'azithromycine monohydrate),azithromycine,azithromycine
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE),azithromycin,TRUE,azithromycin,Released,,149,Azithromycine (HÉMIÉTHANOLATE MONOHYDRATE D'AZITHROMYCINE),azithromycine,azithromycine
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE),azithromycin,TRUE,azithromycin,Released,,150,Azithromycine (Monohydrate d'azithromycine),azithromycine,azithromycine
Y,,AZTREONAM,aztreonam,FALSE,aztreonam,Released,,151,Aztréonam,aztréonam,aztréonam
,,BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE,bacillus calmette-guerin (bcg) strain tice,FALSE,bacillus calmette-guerin (bcg) strain tice,Immunologic,,152,Bacille de calmette-guérin (bcg) (souche tice),bacillus calmette-guerin (bcg) strain tice,bacillus calmette-guerin (bcg) strain tice
,,BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT,bacillus calmette-guerin (bcg) substrain connaught,FALSE,bacillus calmette-guerin (bcg) substrain connaught,Immunologic,,153,Bacille de calmette-guérin (bcg) (sous-souche connaught),bacillus calmette-guerin (bcg) substrain connaught,bacillus calmette-guerin (bcg) substrain connaught
Y,,BACITRACIN,bacitracin,FALSE,bacitracin,Partially released,Single and multi-ingredient TMs,154,Bacitracine,bacitracine,bacitracine
Y,,BACITRACIN (BACITRACIN ZINC),bacitracin,FALSE,bacitracin (bacitracin zinc),Released,Single and multi-ingredient TMs,155,Bacitracine (Bacitracine de zinc),bacitracine,bacitracine (bacitracine de zinc)
