drug_code,unit_of_presentation,uop_size,uop_unit_of_measure,calculation,uop_size_insert,DIN,Product_and_Company_Name,X,index_num,unit_of_presentation_fr
12664,ampoule,10,mL,Y,N,888346,FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12664,ampoule,20,mL,Y,N,888346,FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12664,vial,10,mL,Y,N,888346,FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION,,1,fiole
12664,vial,20,mL,Y,N,888346,FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION,,1,fiole
63983,ampoule,2,mL,Y,N,2240434,FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
63983,vial,5,mL,Y,N,2240434,FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
63983,vial,10,mL,Y,N,2240434,FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
63983,vial,20,mL,Y,N,2240434,FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
63983,vial,50,mL,Y,N,2240434,FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
86987,ampoule,2,mL,Y,N,2384124,FENTANYL CITRATE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
86987,ampoule,10,mL,Y,N,2384124,FENTANYL CITRATE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
87103,ampoule,2,mL,Y,N,2385406,FENTANYL CITRATE INJECTION USP ALVEDA PHARMACEUTICALS INC,,7,ampoule
87103,ampoule,10,mL,Y,N,2385406,FENTANYL CITRATE INJECTION USP ALVEDA PHARMACEUTICALS INC,,7,ampoule
12218,vial,25,mL,N,Y,401633,FUROSEMIDE SPECIAL SANDOZ CANADA INCORPORATED,,1,fiole
4431,ampoule,2,mL,Y,N,527033,FUROSEMIDE INJ USP SANDOZ CANADA INCORPORATED,,7,ampoule
4431,ampoule,4,mL,Y,N,527033,FUROSEMIDE INJ USP SANDOZ CANADA INCORPORATED,,7,ampoule
4910,ampoule,2,mL,Y,N,565040,FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
4910,ampoule,4,mL,Y,N,565040,FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
4910,syringe,2,mL,Y,N,565040,FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,4,seringue
4910,syringe,4,mL,Y,N,565040,FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,4,seringue
84533,vial,2,mL,Y,N,2360365,FUROSEMIDE INJECTION OMEGA LABORATORIES LTD,,1,fiole
84533,vial,4,mL,Y,N,2360365,FUROSEMIDE INJECTION OMEGA LABORATORIES LTD,,1,fiole
84539,vial,25,mL,N,Y,2360446,FUROSEMIDE SPECIAL INJECTION OMEGA LABORATORIES LTD,,1,fiole
86837,ampoule,2,mL,Y,N,2382539,FUROSEMIDE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
86837,ampoule,4,mL,Y,N,2382539,FUROSEMIDE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
86984,ampoule,2,mL,N,N,2384094,FUROSEMIDE INJECTION USP TELIGENT OU,,7,ampoule
16902,ampoule,1,mL,Y,N,2130300,HALOPERIDOL LA SANDOZ CANADA INCORPORATED,,7,ampoule
16902,vial,5,mL,Y,N,2130300,HALOPERIDOL LA SANDOZ CANADA INCORPORATED,,1,fiole
49967,vial,1,mL,Y,N,2230708,PMS-HALOPERIDOL-LA PHARMASCIENCE INC,,1,fiole
49967,vial,5,mL,Y,N,2230708,PMS-HALOPERIDOL-LA PHARMASCIENCE INC,,1,fiole
16901,vial,5,mL,Y,N,2130297,HALOPERIDOL LA SANDOZ CANADA INCORPORATED,,1,fiole
49965,vial,5,mL,Y,N,2230707,PMS-HALOPERIDOL-LA PHARMASCIENCE INC,,1,fiole
10026,ampoule,1,mL,Y,N,808652,HALOPERIDOL INJ 5MG/ML USP SANDOZ CANADA INCORPORATED,,7,ampoule
85088,vial,1,mL,Y,N,2366010,HALOPERIDOL INJECTION OMEGA LABORATORIES LTD,,1,fiole
89112,vial,1,mL,Y,N,2406411,HALOPERIDOL INJECTION, USP FRESENIUS KABI CANADA LTD,1,fiole
89112,vial,10,mL,Y,N,2406411,HALOPERIDOL INJECTION, USP FRESENIUS KABI CANADA LTD,1,fiole
63112,vial,1,mL,Y,N,2239640,HALOPERIDOL-LA OMEGA OMEGA LABORATORIES LTD,,1,fiole
63111,vial,5,mL,Y,N,2239639,HALOPERIDOL-LA OMEGA OMEGA LABORATORIES LTD,,1,fiole
5936,vial,1,mL,Y,N,622133,DILAUDID HP PURDUE PHARMA,,1,fiole
5936,vial,5,mL,Y,N,622133,DILAUDID HP PURDUE PHARMA,,1,fiole
5936,vial,50,mL,N,Y,622133,DILAUDID HP PURDUE PHARMA,,1,fiole
18323,vial,1,mL,Y,N,2145928,HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED,,1,fiole
18323,vial,5,mL,Y,N,2145928,HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED,,1,fiole
18323,vial,10,mL,Y,N,2145928,HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED,,1,fiole
18323,vial,50,mL,N,Y,2145928,HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED,,1,fiole
86845,vial,1,mL,Y,N,2382636,HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION,,1,fiole
86845,vial,5,mL,Y,N,2382636,HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION,,1,fiole
86845,vial,50,mL,N,Y,2382636,HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION,,1,fiole
94804,ampoule,1,mL,Y,N,2460610,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 STERIMAX INC,,7,ampoule
94804,ampoule,10,mL,Y,N,2460610,HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 STERIMAX INC,,7,ampoule
68787,vial,10,mL,N,N,2244797,HYDROMORPHONE HP FORTE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
5937,ampoule,1,mL,Y,N,627100,DILAUDID PURDUE PHARMA,,7,ampoule
18315,ampoule,1,mL,Y,N,2145901,HYDROMORPHONE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
94803,ampoule,1,mL,Y,N,2460602,HYDROMORPHONE HYDROCHLORIDE INJECTION STERIMAX INC,,7,ampoule
18324,vial,1,mL,Y,N,2146126,HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED,,1,fiole
18324,vial,5,mL,Y,N,2146126,HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED,,1,fiole
18324,vial,10,mL,Y,N,2146126,HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED,,1,fiole
18324,vial,50,mL,N,Y,2146126,HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED,,1,fiole
44090,ampoule,1,mL,Y,N,2162644,TORADOL IM ATNAHS PHARMA UK LIMITED,,7,ampoule
63447,vial,1,mL,Y,N,2239944,KETOROLAC TROMETHAMINE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
68945,vial,1,mL,Y,N,2244947,KETOROLAC TROMETHAMINE INJECTION, USP FRESENIUS KABI CANADA LTD,1,fiole
68945,vial,2,mL,Y,N,2244947,KETOROLAC TROMETHAMINE INJECTION, USP FRESENIUS KABI CANADA LTD,1,fiole
87600,vial,1,mL,Y,N,2390582,KETOROLAC TROMETHAMINE INJECTION, USP  HOSPIRA HEALTHCARE CORPORATION,1,fiole
92801,vial,1,mL,Y,N,2443376,KETOROLAC TROMETHAMINE INJECTION, USP MDA INC.,1,fiole
67933,vial,1,mL,Y,N,2243989,APO-KETOROLAC INJECTABLE APOTEX INC,,1,fiole
92310,vial,1,mL,Y,N,2438704,LORAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
67176,vial,1,mL,Y,N,2243278,LORAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
87417,vial,1,mL,Y,N,2388669,LORAZEPAM INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
19667,vial,1,mL,Y,N,585092,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML PFIZER CANADA INC,,1,fiole
80771,vial,1,mL,Y,N,2322250,MEDROXYPROGESTERONE ACETATE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED,,1,fiole
441,vial,5,mL,Y,N,30848,DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML PFIZER CANADA INC,,1,fiole
19409,vial,2,mL,Y,N,2185431,METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
19409,vial,10,mL,Y,N,2185431,METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
19409,vial,30,mL,Y,N,2185431,METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
67481,vial,2,mL,Y,N,2243563,METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD,,1,fiole
67481,vial,10,mL,Y,N,2243563,METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD,,1,fiole
67481,vial,30,mL,Y,N,2243563,METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD,,1,fiole
7357,ampoule,5,mL,Y,N,590819,LOPRESOR INJ 1.0MG/ML NOVARTIS PHARMACEUTICALS CANADA INC,,7,ampoule
75326,vial,5,mL,Y,N,2267853,METOPROLOL TARTRATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
7425,bag,100,mL,Y,N,649074,METRONIDAZOLE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,8,bag
10871,bag,100,mL,Y,N,870420,METRONIDAZOLE 5MG/ML INJECTION BAXTER CORPORATION,,8,bag
10871,bag,300,mL,Y,N,870420,METRONIDAZOLE 5MG/ML INJECTION BAXTER CORPORATION,,8,bag
10705,vial,10,mL,N,N,614262,NITROJECT INJ 1MG/ML OMEGA LABORATORIES LTD,,1,fiole
10706,vial,10,mL,N,N,778869,NITROJECT INJ 5MG/ML OMEGA LABORATORIES LTD,,1,fiole
12697,ampoule,2,mL,Y,N,497304,PHENYTOIN SODIUM INJ 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12697,ampoule,5,mL,Y,N,497304,PHENYTOIN SODIUM INJ 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
13063,vial,2,mL,Y,N,498335,TREMYTOINE INJ 50MG/ML OMEGA LABORATORIES LTD,,1,fiole
13063,vial,5,mL,Y,N,498335,TREMYTOINE INJ 50MG/ML OMEGA LABORATORIES LTD,,1,fiole
9398,ampoule,2,mL,Y,N,780626,PHENYTOIN SODIUM INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
9398,ampoule,5,mL,Y,N,780626,PHENYTOIN SODIUM INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
91579,vial,2,mL,Y,N,2431378,PHENYTOIN SODIUM INJECTION, USP STERIMAX INC,1,fiole
91579,vial,5,mL,Y,N,2431378,PHENYTOIN SODIUM INJECTION, USP STERIMAX INC,1,fiole
43094,vial,2,mL,N,N,2212366,ZANTAC GLAXOSMITHKLINE INC,,1,fiole
74194,vial,2,mL,N,N,2256711,RANITIDINE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
43104,ampoule,5,mL,Y,N,2213451,VENTOLIN I.V. INFUSION SOLUTION 5.0MG SALBUTAMOL IN 5ML (1000MCG/ML) GLAXOSMITHKLINE INC,,7,ampoule
43078,syringe,0.5,mL,N,N,2212188,IMITREX INJECTION 12MG/ML GLAXOSMITHKLINE INC,,4,seringue
84675,syringe,0.5,mL,N,N,2361698,TARO-SUMATRIPTAN TARO PHARMACEUTICALS INC,,4,seringue
1398,vial,10,mL,Y,N,30783,DEPO-TESTOSTERONE INJ 100MG/ML PFIZER CANADA INC,,1,fiole
13410,ampoule,2,mL,Y,N,1977601,TESTOSTERONE CYPIONATE INJECTION, USP STERIMAX INC,7,ampoule
1275,ampoule,5,mL,Y,N,29246,DELATESTRYL VALEANT CANADA LP/VALEANT CANADA S.E.C.,,7,ampoule
15482,vial,5,mL,Y,N,1999761,KENALOG-10 INJECTION 10MG/ML BRISTOL-MYERS SQUIBB CANADA,,1,fiole
15481,vial,1,mL,Y,N,1999869,KENALOG-40 INJECTION 40MG/ML BRISTOL-MYERS SQUIBB CANADA,,1,fiole
15481,vial,5,mL,Y,N,1999869,KENALOG-40 INJECTION 40MG/ML BRISTOL-MYERS SQUIBB CANADA,,1,fiole
85366,vial,1,mL,Y,N,2368676,TRIESENCE NOVARTIS PHARMACEUTICALS CANADA INC,,1,fiole
17234,vial,2,mL,Y,N,839299,VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION,1,fiole
17234,vial,4,mL,Y,N,839299,VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION,1,fiole
17234,ampoule,4,mL,Y,N,839299,VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION,7,ampoule
18614,vial,2,mL,Y,N,2166739,VERAPAMIL HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
89326,bag,50,mL,Y,N,2408511,CLINDAMYCIN IV INFUSION 600MG/50ML MINIBAGS. SINGLE USE SANDOZ CANADA INCORPORATED,,8,bag
1620,vial,2,mL,Y,N,260436,DALACIN C PHOSPHATE PFIZER CANADA INC,,1,fiole
1620,vial,4,mL,Y,N,260436,DALACIN C PHOSPHATE PFIZER CANADA INC,,1,fiole
1620,vial,6,mL,Y,N,260436,DALACIN C PHOSPHATE PFIZER CANADA INC,,1,fiole
1620,vial,60,mL,N,Y,260436,DALACIN C PHOSPHATE PFIZER CANADA INC,,1,fiole
18964,vial,2,mL,Y,N,2139286,CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
18964,vial,4,mL,Y,N,2139286,CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
18964,vial,6,mL,Y,N,2139286,CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
18964,vial,60,mL,N,Y,2139286,CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
87133,vial,2,mL,Y,N,2385716,CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED,,1,fiole
87133,vial,4,mL,Y,N,2385716,CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED,,1,fiole
87133,vial,6,mL,Y,N,2385716,CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED,,1,fiole
89327,bag,50,mL,Y,N,2408538,CLINDAMYCIN IV INFUSION 900MG/50ML MINIBAGS. SINGLE USE SANDOZ CANADA INCORPORATED,,8,bag
940,ampoule,1,mL,Y,N,155357,ADRENALIN CHLORIDE SOL 1:1000 AMP ERFA CANADA 2012 INC,,7,ampoule
940,ampoule,30,mL,Y,N,155357,ADRENALIN CHLORIDE SOL 1:1000 AMP ERFA CANADA 2012 INC,,7,ampoule
8352,syringe,10,mL,N,N,710814,EPINEPHRINE INJ 0.1MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,4,seringue
79244,syringe,0.3,mL,N,N,2306743,ANAPEN JUNIOR LINCOLN MEDICAL LIMITED,,4,seringue
79245,syringe,0.3,mL,N,N,2306751,ANAPEN LINCOLN MEDICAL LIMITED,,4,seringue
5970,syringe,0.3,mL,N,N,578657,EPIPEN JR MYLAN SPECIALTY LP,,4,seringue
91538,syringe,0.3,mL,N,N,2430959,TARO-EPINEPHRINE AUTO-INJECTOR TARO PHARMACEUTICALS INC,,4,seringue
9164,ampoule,1,mL,Y,N,721891,EPINEPHRINE INJ 1MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
3883,syringe,0.3,mL,N,N,509558,EPIPEN MYLAN SPECIALTY LP,,4,seringue
81063,ampoule,1,mL,Y,N,2325225,EPINEPHRINE INJECTION USP 1 MG/ML ALVEDA PHARMACEUTICALS INC,,7,ampoule
91537,syringe,0.3,mL,N,N,2430940,TARO-EPINEPHRINE AUTO-INJECTOR TARO PHARMACEUTICALS INC,,4,seringue
92016,ampoule,1,mL,Y,N,2435810,EPINEPHRINE INJECTION TELIGENT OU,,7,ampoule
44261,vial,2,mL,Y,N,2182947,METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
80550,syringe,1,mL,Y,N,2320037,METOJECT MEDEXUS INC,,4,seringue
80551,syringe,1.5,mL,N,N,2320045,METOJECT MEDEXUS INC,,4,seringue
80549,syringe,0.75,mL,N,N,2320029,METOJECT MEDEXUS INC,,4,seringue
94145,syringe,0.35,mL,N,N,2454769,METOJECT SUBCUTANEOUS MEDEXUS INC,,4,seringue
94163,syringe,0.4,mL,N,N,2454866,METOJECT SUBCUTANEOUS MEDEXUS INC,,4,seringue
94146,syringe,0.45,mL,N,N,2454777,METOJECT SUBCUTANEOUS MEDEXUS INC,,4,seringue
94164,syringe,0.5,mL,N,N,2454874,METOJECT SUBCUTANEOUS MEDEXUS INC,,4,seringue
19681,vial,2,mL,Y,N,2099705,METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED,,1,fiole
19681,vial,20,mL,Y,N,2099705,METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED,,1,fiole
19681,vial,40,mL,Y,N,2099705,METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED,,1,fiole
42844,vial,20,mL,Y,N,2182777,METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
44262,vial,2,mL,Y,N,2182955,METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
44264,vial,40,mL,Y,N,2182971,METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
88338,vial,2,mL,Y,N,2398427,METHOTREXATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
88338,vial,20,mL,Y,N,2398427,METHOTREXATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
90222,vial,2,mL,Y,N,2417626,METHOTREXATE INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
90222,vial,40,mL,Y,N,2417626,METHOTREXATE INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
90372,vial,2,mL,Y,N,2419173,JAMP-METHOTREXATE JAMP PHARMA CORPORATION,,1,fiole
90372,vial,40,mL,Y,N,2419173,JAMP-METHOTREXATE JAMP PHARMA CORPORATION,,1,fiole
90688,syringe,0.4,mL,N,N,2422174,METHOTREXATE INJECTION, BP PHARMASCIENCE INC,4,seringue
90689,syringe,0.6,mL,N,N,2422182,METHOTREXATE INJECTION, BP PHARMASCIENCE INC,4,seringue
90690,syringe,0.8,mL,N,N,2422190,METHOTREXATE INJECTION, BP PHARMASCIENCE INC,4,seringue
81253,vial,2,mL,Y,N,2327236,METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC,1,fiole
81253,vial,20,mL,Y,N,2327236,METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC,1,fiole
