pseudodin,drug_code,unit_of_presentation,uop_size_amount,uop_size_unit,unit_of_presentation_fr
"77700251","5936","vial","50","mL","fiole"
"77700252","5936","vial","5","mL","fiole"
"77700274","74685","bag","100","mL","sac"
"77700275","74685","bag","200","mL","sac"
"77700276","84533","vial","2","mL","fiole"
"77700277","84533","vial","4","mL","fiole"
"77700278","86837","ampoule","2","mL","ampoule"
"77700279","86837","ampoule","4","mL","ampoule"
"77700280","4910","ampoule","2","mL","ampoule"
"77700281","4910","syringe","2","mL","seringue"
"77700282","4910","ampoule","4","mL","ampoule"
"77700283","4910","syringe","4","mL","seringue"
"77700284","4431","ampoule","2","mL","ampoule"
"77700285","4431","ampoule","4","mL","ampoule"
"77700290","18323","vial","10","mL","fiole"
"77700291","18323","vial","1","mL","fiole"
"77700292","18323","vial","50","mL","fiole"
"77700293","18323","vial","5","mL","fiole"
"77700294","18325","vial","50","mL","fiole"
"77700295","18325","vial","5","mL","fiole"
"77700296","18325","vial","1","mL","fiole"
"77700297","18324","vial","5","mL","fiole"
"77700298","18324","vial","10","mL","fiole"
"77700299","18324","vial","1","mL","fiole"
"77700300","18324","vial","50","mL","fiole"
"77700301","94804","ampoule","10","mL","ampoule"
"77700302","94804","ampoule","1","mL","ampoule"
"77700303","86845","vial","1","mL","fiole"
"77700304","86845","vial","50","mL","fiole"
"77700305","86845","vial","5","mL","fiole"
"77700314","90372","vial","40","mL","fiole"
"77700315","90372","vial","2","mL","fiole"
"77700320","87304","vial","20","mL","fiole"
"77700321","87304","vial","40","mL","fiole"
"77700322","81253","vial","40","mL","fiole"
"77700323","81253","vial","20","mL","fiole"
"77700324","81253","vial","2","mL","fiole"
"77700325","90222","vial","40","mL","fiole"
"77700326","88338","vial","20","mL","fiole"
"77700327","90222","vial","2","mL","fiole"
"77700328","88338","vial","2","mL","fiole"
"77700329","19681","vial","40","mL","fiole"
"77700330","19681","vial","20","mL","fiole"
"77700331","19681","vial","2","mL","fiole"
"77700340","12702","ampoule","1","mL","ampoule"
"77700341","12702","vial","20","mL","fiole"
"77700342","12702","vial","50","mL","fiole"
"77700343","12701","ampoule","4","mL","ampoule"
"77700344","12701","ampoule","1","mL","ampoule"
"77700345","6690","ampoule","4","ml","ampoule"
"77700346","6690","ampoule","1","ml","ampoule"
"77700347","7421","vial","5","mL","fiole"
"77700348","7421","vial","10","mL","fiole"
"77700349","7421","vial","1","ml","fiole"
"77700350","7421","vial","50","mL","fiole"
"77700351","13077","vial","10","mL","fiole"
"77700352","13077","vial","50","mL","fiole"
"77700353","13077","vial","5","mL","fiole"
"77700354","13078","vial","1","ml","fiole"
"77700355","13078","vial","50","mL","fiole"
"77700356","86878","ampoule","1","mL","ampoule"
"77700357","86878","ampoule","5","mL","ampoule"
"77700358","31285","vial","50","mL","fiole"
"77700359","31285","vial","5","mL","fiole"
"77700360","62586","unit dose vial","1","mL","fiole unidose"
"77700361","62586","bottle","20","mL","bouteille"
"77700362","62586","unit dose vial","2","mL","fiole unidose"
"77700371","19798","unit dose vial","1","mL","fiole unidose"
"77700372","19798","unit dose vial","2","mL","fiole unidose"
"77700374","43176","unit dose vial","1","mL","fiole unidose"
"77700375","43176","unit dose vial","2","mL","fiole unidose"
"77700378","17234","ampoule","4","mL","ampoule"
"77700379","17234","vial","4","mL","fiole"
"77700380","17234","vial","2","mL","fiole"
"77700381","94416","ampoule","5","mL","ampoule"
"77700382","94416","ampoule","20","mL","ampoule"
"77700383","13063","vial","2","mL","fiole"
"77700384","13063","vial","5","mL","fiole"
"77700447","63983","ampoule","2","mL","ampoule"
"77700448","63983","vial","5","mL","fiole"
"77700449","63983","vial","10","mL","fiole"
"77700450","63983","vial","20","mL","fiole"
"77700451","63983","vial","50","mL","fiole"
"77700486","86987","ampoule","2","mL","ampoule"
"77700487","86987","ampoule","10","mL","ampoule"
"77700488","87103","ampoule","2","mL","ampoule"
"77700489","87103","ampoule","10","mL","ampoule"
"77700516","12664","ampoule","2","mL","ampoule"
"77700517","12664","ampoule","5","mL","ampoule"
"77700518","12664","ampoule","10","mL","ampoule"
"77700519","12664","ampoule","20","mL","ampoule"
"77700520","12664","vial","10","mL","fiole"
"77700521","12664","vial","20","mL","fiole"
"77700522","94899","vial","2","mL","fiole"
"77700523","94899","vial","4","mL","fiole"
"77700524","18025","vial","10","mL","fiole"
"77700525","18025","ampoule","1","mL","ampoule"
"77700526","43137","vial","20","mL","fiole"
"77700527","43137","ampoule","2","mL","ampoule"
"77700528","43137","ampoule","4","mL","ampoule"
"77700529","74200","vial","20","mL","fiole"
"77700530","74200","vial","40","mL","fiole"
"77700531","75098","vial","4","mL","fiole"
"77700532","75098","vial","2","mL","fiole"
"77700533","75287","bag","100","mL","sac"
"77700534","75287","bag","200","mL","sac"
"77700535","75730","vial","2","mL","fiole"
"77700536","75730","vial","4","mL","fiole"
"77700537","75986","vial","2","mL","fiole"
"77700538","75986","vial","4","mL","fiole"
"77700539","75987","vial","2","mL","fiole"
"77700540","75987","vial","4","mL","fiole"
"77700541","76501","vial","2","mL","fiole"
"77700542","76501","vial","4","mL","fiole"
"77700543","78663","bag","200","mL","sac"
"77700544","78663","bag","100","mL","sac"
"77700545","78723","bag","200","mL","sac"
"77700546","78723","bag","100","mL","sac"
"77700547","78981","bag","100","mL","sac"
"77700548","78981","bag","200","mL","sac"
"77700549","78998","vial","1","mL","fiole"
"77700550","78998","vial","4","mL","fiole"
"77700551","79003","bag","200","mL","sac"
"77700552","79003","bag","100","mL","sac"
"77700553","80824","vial","4","mL","fiole"
"77700554","80824","vial","1","mL","fiole"
"77700555","86325","bag","200","mL","sac"
"77700556","86325","bag","100","mL","sac"
"77700557","87104","ampoule","1","mL","ampoule"
"77700558","87104","ampoule","3","mL","ampoule"
"77700559","87549","ampoule","2","mL","ampoule"
"77700560","87549","vial","4","mL","fiole"
"77700561","87549","ampoule","4","mL","ampoule"
"77700562","87549","vial","2","mL","fiole"
"77700563","89675","vial","2","mL","fiole"
"77700564","89675","vial","5","mL","fiole"
"77700565","89675","vial","25","mL","fiole"
"77700566","89675","vial","15","mL","fiole"
"77700567","90500","ampoule","2","mL","ampoule"
"77700568","90500","vial","4","mL","fiole"
"77700569","90500","ampoule","4","mL","ampoule"
"77700570","90500","vial","2","mL","fiole"
"77700571","92145","vial","100","mL","fiole"
"77700572","92145","vial","20","mL","fiole"
"77700573","92145","vial","50","mL","fiole"
"77700574","95736","vial","2.4","mL","fiole"
"77700575","95736","vial","10","mL","fiole"
"77700576","72232","vial","100","mL","fiole"
"77700577","72232","bag","100","mL","sac"
"77700578","80046","bag","50","mL","sac"
"77700579","80046","bag","150","mL","sac"
"77700580","80046","bag","100","mL","sac"
"77700581","75986","ampoule","2","mL","ampoule"
"77700582","75986","ampoule","4","mL","ampoule"
"77700583","5790","ampoule","5","mL","ampoule"
"77700584","5790","ampoule","1","mL","ampoule"
"77700585","43078","vial","0.5","mL","fiole"
"77700586","43078","syringe","0.5","mL","seringue"
"77700587","95270","vial","2","mL","fiole"
"77700588","95270","vial","4","mL","fiole"
"77700589","3397","vial","5","mL","fiole"
"77700590","3397","ampoule","1","mL","ampoule"
"77700591","3595","vial","1","mL","fiole"
"77700592","3595","ampoule","1","mL","ampoule"
"77700593","12889","vial","1","mL","fiole"
"77700594","12889","vial","5","mL","fiole"
"77700595","63823","vial","5","mL","fiole"
"77700596","63823","vial","2","mL","fiole"
"77700597","63823","vial","10","mL","fiole"
"77700598","63824","vial","2","mL","fiole"
"77700599","63824","vial","1","mL","fiole"
"77700600","63824","vial","10","mL","fiole"
"77700601","66245","ampoule","1","mL","ampoule"
"77700602","66245","ampoule","0.5","mL","ampoule"
"77700603","66736","vial","10","mL","fiole"
"77700604","66736","vial","2","mL","fiole"
"77700605","66736","vial","5","mL","fiole"
"77700606","66737","vial","1","mL","fiole"
"77700607","66737","vial","2","mL","fiole"
"77700608","66737","vial","10","mL","fiole"
"77700609","72026","vial","4","mL","fiole"
"77700610","72026","vial","20","mL","fiole"
"77700611","86819","vial","5","mL","fiole"
"77700612","86819","vial","2","mL","fiole"
"77700613","86821","vial","1","mL","fiole"
"77700614","86821","vial","2","mL","fiole"
"77700615","86868","ampoule","10","mL","ampoule"
"77700616","86868","ampoule","5","mL","ampoule"
"77700617","86868","ampoule","2","mL","ampoule"
"77700618","86870","ampoule","1","mL","ampoule"
"77700619","86870","ampoule","2","mL","ampoule"
"77700620","86870","ampoule","10","mL","ampoule"
"77700621","87402","vial","1","mL","fiole"
"77700622","87402","vial","2","mL","fiole"
"77700623","90846","ampoule","1","mL","ampoule"
"77700624","90846","ampoule","10","mL","ampoule"
"77700625","90846","ampoule","3","mL","ampoule"
"77700626","91339","ampoule","1","mL","ampoule"
"77700627","91339","vial","5","mL","fiole"
"77700628","94413","vial","20","mL","fiole"
"77700629","94413","vial","40","mL","fiole"
"77700630","5089","ampoule","1","mL","ampoule"
"77700631","5089","ampoule","2","mL","ampoule"
"77700632","5325","vial","3","mL","fiole"
"77700633","5325","vial","10","mL","fiole"
"77700634","16275","vial","5","mL","fiole"
"77700635","16275","vial","2","mL","fiole"
"77700636","49244","ampoule","1","mL","ampoule"
"77700637","49244","ampoule","2","mL","ampoule"
"77700638","49245","vial","10","mL","fiole"
"77700639","49245","ampoule","1","mL","ampoule"
"77700640","49817","vial","30","mL","fiole"
"77700641","49817","vial","2","mL","fiole"
"77700642","50269","vial","10","mL","fiole"
"77700643","50269","vial","2","mL","fiole"
"77700644","64816","vial","30","mL","fiole"
"77700645","64816","vial","2","mL","fiole"
"77700646","66965","vial","10","mL","fiole"
"77700647","66965","vial","30","mL","fiole"
"77700648","78573","vial","10","mL","fiole"
"77700649","78573","vial","30","mL","fiole"
"77700650","94721","vial","10","mL","fiole"
"77700651","94721","vial","30","mL","fiole"
"77700652","14318","vial","4","mL","fiole"
"77700653","14318","vial","8","mL","fiole"
"77700654","14577","vial","2","mL","fiole"
"77700655","14577","vial","20","mL","fiole"
"77700656","16161","ampoule","10","mL","ampoule"
"77700657","16161","vial","20","mL","fiole"
"77700658","16164","ampoule","10","mL","ampoule"
"77700659","16164","vial","20","mL","fiole"
"77700660","17227","bag","1000","mL","sac"
"77700661","17227","bag","500","mL","sac"
"77700662","17830","vial","15","mL","fiole"
"77700663","17830","vial","45","mL","fiole"
"77700664","17830","vial","60","mL","fiole"
"77700665","17830","vial","5","mL","fiole"
"77700666","43846","vial","45","mL","fiole"
"77700667","43846","vial","15","mL","fiole"
"77700668","43846","vial","60","mL","fiole"
"77700669","43846","vial","5","mL","fiole"
"77700670","65588","vial","10","mL","fiole"
"77700671","65588","vial","20","mL","fiole"
"77700672","65589","vial","10","mL","fiole"
"77700673","65589","vial","20","mL","fiole"
"77700674","74973","vial","5","mL","fiole"
"77700675","74973","vial","1","mL","fiole"
"77700676","74976","vial","10","mL","fiole"
"77700677","74976","vial","30","mL","fiole"
"77700678","74976","vial","1","mL","fiole"
"77700679","75642","vial","16","mL","fiole"
"77700680","75642","vial","4","mL","fiole"
"77700681","75672","vial","50","mL","fiole"
"77700682","75672","vial","100","mL","fiole"
"77700683","78841","vial","10","mL","fiole"
"77700684","78841","vial","30","mL","fiole"
"77700685","78843","vial","5","mL","fiole"
"77700686","78843","vial","50","mL","fiole"
"77700687","80581","vial","45","mL","fiole"
"77700688","80581","vial","15","mL","fiole"
"77700689","80581","vial","5","mL","fiole"
"77700690","85093","vial","5","mL","fiole"
"77700691","85093","vial","15","mL","fiole"
"77700692","85093","vial","60","mL","fiole"
"77700693","85093","vial","45","mL","fiole"
"77700694","86866","vial","1","mL","fiole"
"77700695","86866","vial","2","mL","fiole"
"77700696","92837","vial","20","mL","fiole"
"77700697","92837","vial","10","mL","fiole"
"77700698","92838","vial","20","mL","fiole"
"77700699","92838","vial","10","mL","fiole"
"77700700","585","ampoule","2","mL","ampoule"
"77700701","585","ampoule","10","mL","ampoule"
"77700702","585","ampoule","5","mL","ampoule"
"77700703","587","ampoule","10","mL","ampoule"
"77700704","587","ampoule","2","mL","ampoule"
"77700705","587","ampoule","5","mL","ampoule"
"77700706","1619","vial","5","mL","fiole"
"77700707","1619","vial","1","mL","fiole"
"77700708","1619","vial","2","mL","fiole"
"77700709","11642","vial","5","mL","fiole"
"77700710","11642","ampoule","1","mL","ampoule"
"77700711","12474","vial","1.6","mL","fiole"
"77700712","12474","vial","1","mL","fiole"
"77700713","16507","vial","5","mL","fiole"
"77700714","16507","vial","50","mL","fiole"
"77700715","16507","vial","25","mL","fiole"
"77700716","16507","vial","10","mL","fiole"
"77700717","16507","vial","20","mL","fiole"
"77700718","43840","vial","50","mL","fiole"
"77700719","43840","vial","100","mL","fiole"
"77700720","43843","vial","1","mL","fiole"
"77700721","43843","vial","10","mL","fiole"
"77700722","43843","vial","20","mL","fiole"
"77700723","65047","ampoule","10","mL","ampoule"
"77700724","65047","ampoule","4","mL","ampoule"
"77700725","68601","vial","10","mL","fiole"
"77700726","68601","vial","12.5","mL","fiole"
"77700727","68601","vial","15","mL","fiole"
"77700728","68609","vial","10","mL","fiole"
"77700729","68609","vial","20","mL","fiole"
"77700730","68844","vial","20","mL","fiole"
"77700731","68844","vial","10","mL","fiole"
"77700732","73983","pre-filled pen","3","mL","stylo prérempli"
"77700733","73983","pen","3","mL","stylo"
"77700734","75043","vial","25","mL","fiole"
"77700735","75043","vial","100","mL","fiole"
"77700736","75043","vial","5","mL","fiole"
"77700737","75043","vial","50","mL","fiole"
"77700738","75176","vial","5","mL","fiole"
"77700739","75176","vial","10","mL","fiole"
"77700740","78773","vial","50","mL","fiole"
"77700741","78773","vial","20","mL","fiole"
"77700742","78774","vial","50","mL","fiole"
"77700743","78774","vial","20","mL","fiole"
"77700744","80958","vial","5","mL","fiole"
"77700745","80958","vial","75","mL","fiole"
"77700746","80958","vial","25","mL","fiole"
"77700747","80958","vial","100","mL","fiole"
"77700748","80958","vial","10","mL","fiole"
"77700749","84044","vial","100","mL","fiole"
"77700750","84044","vial","50","mL","fiole"
"77700751","84044","vial","10","mL","fiole"
"77700752","84699","vial","8","mL","fiole"
"77700753","84699","vial","16","mL","fiole"
"77700754","84699","vial","2","mL","fiole"
"77700755","85155","vial","50","mL","fiole"
"77700756","85155","vial","100","mL","fiole"
"77700757","85155","vial","10","mL","fiole"
"77700758","85696","vial","10","mL","fiole"
"77700759","85696","vial","50","mL","fiole"
"77700760","86113","vial","100","mL","fiole"
"77700761","86113","vial","5","mL","fiole"
"77700762","86113","vial","25","mL","fiole"
"77700763","86525","vial","40","mL","fiole"
"77700764","86525","vial","10","mL","fiole"
"77700765","86669","vial","50","mL","fiole"
"77700766","86669","vial","25","mL","fiole"
"77700767","86669","vial","10","mL","fiole"
"77700768","86669","vial","5","mL","fiole"
"77700769","86785","vial","25","mL","fiole"
"77700770","86785","vial","10","mL","fiole"
"77700771","86785","vial","100","mL","fiole"
"77700772","86785","vial","5","mL","fiole"
"77700773","88767","vial","5.3","mL","fiole"
"77700774","88767","vial","26.3","mL","fiole"
"77700775","88767","vial","52.6","mL","fiole"
"77700776","88800","vial","10","mL","fiole"
"77700777","88800","vial","100","mL","fiole"
"77700778","88800","vial","50","mL","fiole"
"77700779","89144","vial","5","mL","fiole"
"77700780","89144","vial","25","mL","fiole"
"77700781","89145","vial","20","mL","fiole"
"77700782","89145","vial","10","mL","fiole"
"77700783","89399","vial","25","mL","fiole"
"77700784","89399","vial","100","mL","fiole"
"77700785","89399","vial","5","mL","fiole"
"77700786","89467","vial","20","mL","fiole"
"77700787","89467","vial","10","mL","fiole"
"77700788","89467","vial","5","mL","fiole"
"77700789","89506","vial","5","mL","fiole"
"77700790","89506","vial","100","mL","fiole"
"77700791","89506","vial","25","mL","fiole"
"77700792","89507","vial","100","mL","fiole"
"77700793","89507","vial","5","mL","fiole"
"77700794","89507","vial","25","mL","fiole"
"77700795","89685","vial","5","mL","fiole"
"77700796","89685","vial","50","mL","fiole"
"77700797","89685","vial","25","mL","fiole"
"77700798","90668","vial","5","mL","fiole"
"77700799","90668","ampoule","5","mL","ampoule"
"77700800","90668","ampoule","10","mL","ampoule"
"77700801","90670","vial","50","mL","fiole"
"77700802","90670","vial","20","mL","fiole"
"77700803","90671","ampoule","5","mL","ampoule"
"77700804","90671","ampoule","10","mL","ampoule"
"77700805","90672","vial","50","mL","fiole"
"77700806","90672","vial","20","mL","fiole"
"77700807","91752","vial","26.3","mL","fiole"
"77700808","91752","vial","52.6","mL","fiole"
"77700809","91752","vial","5.26","mL","fiole"
"77700810","92134","vial","8","mL","fiole"
"77700811","92134","vial","4","mL","fiole"
"77700812","92134","vial","1","mL","fiole"
"77700813","92370","vial","16","mL","fiole"
"77700814","92370","vial","2","mL","fiole"
"77700815","92370","vial","8","mL","fiole"
"77700816","94508","vial","1","mL","fiole"
"77700817","94508","vial","8","mL","fiole"
"77700818","94508","vial","4","mL","fiole"
"77700819","227","vial","20","mL","fiole"
"77700820","227","vial","10","mL","fiole"
"77700821","8274","vial","5","mL","fiole"
"77700822","8274","vial","2","mL","fiole"
"77700823","10063","ampoule","1","mL","ampoule"
"77700824","10063","vial","10","mL","fiole"
"77700825","12645","ampoule","5","mL","ampoule"
"77700826","12645","vial","50","mL","fiole"
"77700827","12645","ampoule","2","mL","ampoule"
"77700828","12645","vial","20","mL","fiole"
"77700831","18012","vial","20","mL","fiole"
"77700832","18012","vial","50","mL","fiole"
"77700833","18012","vial","5","mL","fiole"
"77700834","18012","ampoule","10","mL","ampoule"
"77700835","18012","ampoule","2","mL","ampoule"
"77700836","18371","ampoule","10","mL","ampoule"
"77700837","18371","ampoule","5","mL","ampoule"
"77700838","18936","vial","10","mL","fiole"
"77700839","18936","vial","100","mL","fiole"
"77700840","18936","vial","50","mL","fiole"
"77700841","19437","syringe","4","mL","seringue"
"77700842","19437","syringe","2","mL","seringue"
"77700843","19756","vial","5","mL","fiole"
"77700844","19756","vial","2","mL","fiole"
"77700845","19756","vial","1","mL","fiole"
"77700846","44267","vial","2","mL","fiole"
"77700847","44267","vial","5","mL","fiole"
"77700848","47216","bag","100","mL","sac"
"77700849","47216","bag","200","mL","sac"
"77700850","47225","ampoule","20","mL","ampoule"
"77700851","47225","ampoule","10","mL","ampoule"
"77700852","62106","vial","2.5","mL","fiole"
"77700853","62106","vial","1","mL","fiole"
"77700854","65597","vial","10","mL","fiole"
"77700855","65597","vial","50","mL","fiole"
"77700856","68108","ampoule","1","mL","ampoule"
"77700857","68108","vial","5","mL","fiole"
"77700858","70531","vial","5","mL","fiole"
"77700859","70531","vial","10","mL","fiole"
"77700860","70531","vial","50","mL","fiole"
"77700861","72248","vial","5","mL","fiole"
"77700862","72248","vial","2","mL","fiole"
"77700863","74301","vial","5","mL","fiole"
"77700864","74301","vial","1","mL","fiole"
"77700865","74343","vial","2","mL","fiole"
"77700866","74343","vial","5","mL","fiole"
"77700867","74343","vial","25","mL","fiole"
"77700868","75143","vial","1","mL","fiole"
"77700869","75143","vial","5","mL","fiole"
"77700870","75669","vial","1","mL","fiole"
"77700871","75669","vial","5","mL","fiole"
"77700872","79791","vial","2","mL","fiole"
"77700873","79791","vial","25","mL","fiole"
"77700874","79791","vial","5","mL","fiole"
"77700875","80608","syringe","0.5","mL","seringue"
"77700876","80608","vial","0.5","mL","fiole"
"77700877","83320","vial","10","mL","fiole"
"77700878","83320","vial","20","mL","fiole"
"77700879","84269","vial","25","mL","fiole"
"77700880","84269","vial","2","mL","fiole"
"77700881","84269","vial","5","mL","fiole"
"77700882","86826","vial","10","mL","fiole"
"77700883","86826","vial","5","mL","fiole"
"77700884","87251","vial","5","mL","fiole"
"77700885","87251","vial","10","mL","fiole"
"77700886","87251","vial","50","mL","fiole"
"77700887","87801","vial","5","mL","fiole"
"77700888","87801","vial","10","mL","fiole"
"77700889","87801","vial","50","mL","fiole"
"77700890","88140","vial","4","mL","fiole"
"77700891","88140","vial","1","mL","fiole"
"77700892","89508","vial","5","mL","fiole"
"77700893","89508","vial","15","mL","fiole"
"77700894","89508","vial","2","mL","fiole"
"77700895","90702","vial","20","mL","fiole"
"77700896","90702","vial","10","mL","fiole"
"77700897","91557","vial","1","mL","fiole"
"77700898","91557","vial","5","mL","fiole"
"77700899","92243","syringe","1","mL","seringue"
"77700900","92243","pen","1","mL","stylo"
"77700901","92657","ampoule","1","mL","ampoule"
"77700902","92657","ampoule","5","mL","ampoule"
"77700903","92855","vial","10","mL","fiole"
"77700904","92855","vial","50","mL","fiole"
"77700905","93817","vial","2","mL","fiole"
"77700906","93817","vial","5","mL","fiole"
"77700907","94341","vial","20","mL","fiole"
"77700908","94341","vial","10","mL","fiole"
"77700909","94449","vial","50","mL","fiole"
"77700910","94449","vial","5","mL","fiole"
"77700911","94449","vial","10","mL","fiole"
"77700912","4293","ampoule","1","mL","ampoule"
"77700913","4293","ampoule","5","mL","ampoule"
"77700914","19443","vial","25","mL","fiole"
"77700915","19443","vial","5","mL","fiole"
"77700916","19701","vial","50","mL","fiole"
"77700917","19701","vial","10","mL","fiole"
"77700918","31361","vial","10","mL","fiole"
"77700919","31361","vial","1","mL","fiole"
"77700920","49702","vial","10","mL","fiole"
"77700921","49702","vial","1","mL","fiole"
"77700922","51049","vial","25","mL","fiole"
"77700923","51049","vial","5","mL","fiole"
"77700924","65204","vial","1.5","mL","fiole"
"77700925","65204","vial","3","mL","fiole"
"77700926","68347","ampoule","20","mL","ampoule"
"77700927","68347","vial","50","mL","fiole"
"77700928","68347","vial","100","mL","fiole"
"77700929","70995","vial","2","mL","fiole"
"77700930","70995","vial","20","mL","fiole"
"77700931","70996","vial","2","mL","fiole"
"77700932","70996","vial","10","mL","fiole"
"77700933","78032","syringe","6","mL","seringue"
"77700934","78032","syringe","11","mL","seringue"
"77700935","91937","vial","10","mL","fiole"
"77700936","91937","vial","20","mL","fiole"
"77700937","91937","vial","40","mL","fiole"
"77700938","92050","vial","10","mL","fiole"
"77700939","92050","vial","40","mL","fiole"
"77700940","92050","vial","20","mL","fiole"
"77700941","92127","vial","20","mL","fiole"
"77700942","92127","vial","10","mL","fiole"
"77700943","92127","vial","40","mL","fiole"
"77700944","92127","vial","30","mL","fiole"
"77700945","92203","vial","100","mL","fiole"
"77700946","92203","vial","20","mL","fiole"
"77700947","92203","vial","50","mL","fiole"
"77700948","92233","vial","100","mL","fiole"
"77700949","92233","vial","50","mL","fiole"
"77700950","92233","vial","20","mL","fiole"
"77700951","92996","vial","40","mL","fiole"
"77700952","92996","vial","20","mL","fiole"
"77700953","92996","vial","10","mL","fiole"
"77700954","95676","vial","20","mL","fiole"
"77700955","95676","vial","50","mL","fiole"
"77700956","95676","vial","100","mL","fiole"
"77700957","95820","vial","50","mL","fiole"
"77700958","95820","vial","1","mL","fiole"
"77700959","4432","vial","30","mL","fiole"
"77700960","4432","ampoule","1","mL","ampoule"
"77700961","4432","vial","10","mL","fiole"
"77700962","10015","vial","10","mL","fiole"
"77700963","10015","vial","100","mL","fiole"
"77700964","13324","vial","10","mL","fiole"
"77700965","13324","vial","30","mL","fiole"
"77700966","14476","vial","100","mL","fiole"
"77700967","14476","vial","50","mL","fiole"
"77700968","14476","vial","20","mL","fiole"
"77700969","50032","vial","1","mL","fiole"
"77700970","50032","vial","5","mL","fiole"
"77700971","69524","vial","3","mL","fiole"
"77700972","69524","vial","5","mL","fiole"
"77700973","69524","vial","4","mL","fiole"
"77700974","89842","vial","30","mL","fiole"
"77700975","89842","vial","10","mL","fiole"
"77700976","90475","vial","10","mL","fiole"
"77700977","90475","vial","30","mL","fiole"
"77700978","92374","bag","200","mL","sac"
"77700979","92374","ampoule","20","mL","ampoule"
"77700980","92374","bag","100","mL","sac"
"77700981","92374","ampoule","10","mL","ampoule"
"77700982","93552","vial","20","mL","fiole"
"77700983","93552","vial","40","mL","fiole"
"77700984","93552","vial","10","mL","fiole"
"77700985","95899","vial","20","mL","fiole"
"77700986","95899","vial","10","mL","fiole"
"77700987","96866","vial","10","mL","fiole"
"77700988","96866","vial","5","mL","fiole"
"77700989","96866","vial","1","mL","fiole"
"77700990","91752","vial","5.3","mL","fiole"
"77700991","68340","vial","5","mL","fiole"
"77700992","68340","vial","25","mL","fiole"
"77700993","68340","vial","50","mL","fiole"
"77700994","80560","vial","100","mL","fiole"
"77700995","80560","vial","50","mL","fiole"
"77700996","80560","vial","5","mL","fiole"
"77700997","80560","vial","25","mL","fiole"
"77700998","87681","vial","5","mL","fiole"
"77700999","87681","vial","50","mL","fiole"
"77701000","92056","vial","20","mL","fiole"
"77701001","92056","vial","50","mL","fiole"
"77701002","92377","ampoule","20","mL","ampoule"
"77701003","92377","ampoule","10","mL","ampoule"
"77701004","62979","sachet","250","mg","sachet"
