"code","formal_name","formal_name_fr"
"8000315","bimatoprost","bimatoprost"
"8000317","insulin glargine","insuline glargine"
"8000320","tiotropium","tiotropium"
"8000322","rosuvastatin","rosuvastatine"
"8000325","bisoprolol","bisoprolol"
"8000326","ezetimibe","ézétimibe"
"8000328","levetiracetam","lévétiracétam"
"8000329","carvedilol","carvédilol"
"8000330","dutasteride","dutastéride"
"8000331","tadalafil","tadalafil"
"8000332","fosinopril","fosinopril"
"8000346","escitalopram","escitalopram"
"8000347","atomoxetine","atomoxétine"
"8000348","pregabalin","prégabaline"
"8000352","tamsulosin","tamsulosine"
"8000353","insulin detemir","insuline détemir"
"8000360","solifenacin","solifénacine"
"8000367","ciclesonide","ciclésonide"
"8000369","tramadol","tramadol"
"8000371","varenicline","varénicline"
"8000374","sitagliptin","sitagliptine"
"8000375","duloxetine","duloxétine"
"8000378","dabigatran","dabigatran"
"8000379","rivaroxaban","rivaroxaban"
"8000381","travoprost","travoprost"
"8000383","olmesartan","olmésartan"
"8000385","desvenlafaxine","desvenlafaxine"
"8000387","lisdexamfetamine","lisdexamfétamine"
"8000389","aripiprazole","aripiprazole"
"8000391","saxagliptin","saxagliptine"
"8000394","dexlansoprazole","dexlansoprazole"
"8000396","galantamine","galantamine"
"8000773","clotrimazole","clotrimazole"
"8000775","buprenorphine","buprénorphine"
"8000776","butorphanol","butorphanol"
"8000777","hydrocodone","hydrocodone"
"8000782","meperidine","mépéridine"
"8000786","pentazocine","pentazocine"
"8000787","insulin lispro","insuline lispro"
"8000789","tapentadol","tapentadol"
"8000790","betamethasone acetate","acétate de bétaméthasone"
"8000791","betamethasone dipropionate","dipropionate de bétaméthasone"
"8000792","betamethasone valerate","valérate de bétaméthasone"
"8000793","triamcinolone hexacetonide","hexacétonide de triamcinolone"
"8000795","acetylsalicylic acid","acide acétylsalicylique"
"8000796","benzalkonium","benzalkonium"
"8000799","phenobarbital","phénobarbital"
"8000800","bisacodyl","bisacodyl"
"8000804","ethacrynic acid","acide éthacrynique"
"8000809","chlorhexidine","chlorhexidine"
"8000813","chlorthalidone","chlorthalidone"
"8000817","alcohol anhydrous","alcool anhydre"
"8000819","pindolol","pindolol"
"8000821","guaifenesin","guaïfénésine"
"8000823","phenylephrine","phényléphrine"
"8000824","minoxidil","minoxidil"
"8000827","tobramycin","tobramycine"
"8000829","benzoyl peroxide","peroxyde de benzoyle"
"8000830","isosorbide dinitrate","dinitrate d'isosorbide"
"8000836","prazosin","prazosine"
"8000840","lactulose","lactulose"
"8000841","cyproterone","cyprotérone"
"8000842","nadolol","nadolol"
"8000847","captopril","captopril"
"8000850","fluconazole","fluconazole"
"8000851","hydralazine","hydralazine"
"8000852","sodium citrate","citrate de sodium"
"8000866","mupirocin","mupirocine"
"8000872","benazepril","bénazépril"
"8000873","bumetanide","bumétanide"
"8000874","cilazapril","cilazapril"
"8000891","naloxone","naloxone"
"8000893","sotalol","sotalol"
"8000894","labetalol","labétalol"
"8000895","esmolol","esmolol"
"8000899","dorzolamide","dorzolamide"
"8000902","formoterol","formotérol"
"8000905","salmeterol","salmétérol"
"8001095","triazolam","triazolam"
"8001098","asparaginase","asparaginase"
"8000915","levonorgestrel","lévonorgestrel"
"8000919","trimethoprim","triméthoprime"
"8000921","misoprostol","misoprostol"
"8000929","bosentan","bosentan"
"8000943","amiloride","amiloride"
"8000947","levofloxacin","lévofloxacine"
"8001069","oxtriphylline","oxtriphylline"
"8000965","aliskiren","aliskirène"
"8000968","ambrisentan","ambrisentan"
"8000973","eplerenone","éplérénone"
"8000986","tolvaptan","tolvaptan"
"8000999","nebivolol","nébivolol"
"8001030","framycetin","framycétine"
"8001033","doxylamine","doxylamine"
"8001044","acetaminophen","acétaminophène"
"8001045","docusate","docusate"
"8001046","ephedrine sulfate","sulfate d'éphédrine"
"8001047","chlorpropamide","chlorpropamide"
"8001048","tolbutamide","tolbutamide"
"8001049","aminophylline","aminophylline"
"8001050","cromolyn sodium","cromolyne sodique"
"8001051","terbutaline sulfate","sulfate de terbutaline"
"8001052","ampicillin (ampicillin sodium)","ampicilline (ampicilline sodique)"
"8001053","zafirlukast","zafirlukast"
"8001054","orciprenaline sulfate","sulfate d'orciprénaline"
"8001055","cefuroxime (cefuroxime axetil)","céfuroxime (céfuroxime axétil)"
"8001056","cefadroxil (cefadroxil monohydrate)","céfadroxil"
"8001057","cefadroxil","céfadroxil"
"8001058","rosiglitazone (rosiglitazone maleate)","rosiglitazone (maléate de rosiglitazone)"
"8001059","cefuroxime (cefuroxime sodium)","céfuroxime (céfuroxime sodique)"
"8001060","omalizumab","omalizumab"
"8001061","indacaterol (indacaterol maleate)","indacatérol (maléate d'Indacatérol)"
"8001062","aclidinium bromide","bromure d'aclidinium"
"8001065","umeclidinium (umeclidinium bromide)","uméclidinium (bromure d'uméclidinium)"
"8001066","mepolizumab","mépolizumab"
"8001067","reslizumab","reslizumab"
"8001068","ampicillin","ampicilline"
"8001070","aclidinium","aclidinium"
"8001074","azilsartan","azilsartan"
"8001076","cefuroxime","céfuroxime"
"8001077","cromolyn","cromolyne"
"8001078","ephedrine","éphédrine"
"8001079","eprosartan","éprosartan"
"8001082","glycopyrronium","glycopyrronium"
"8001084","indacaterol","indacatérol"
"8001086","orciprenaline","orciprénaline"
"8001087","rosiglitazone","rosiglitazone"
"8001088","terbutaline","terbutaline"
"8001089","umeclidinium","uméclidinium"
"8001091","chlorambucil","chlorambucil"
"8001092","nitrazepam","nitrazépam"
"8001093","nabilone","nabilone"
"8001094","theophylline","théophylline"
"8001096","tamoxifen","tamoxifène"
"8001097","chloral hydrate","hydrate de chloral"
"8001100","brinzolamide","brinzolamide"
"8001101","anastrozole","anastrozole"
"8001102","letrozole","létrozole"
"8001103","brimonidine","brimonidine"
"8001104","naratriptan","naratriptan"
"8001105","zolmitriptan","zolmitriptan"
"8001106","ondansetron","ondansétron"
"8001107","midazolam","midazolam"
"8001108","ibutilide","ibutilide"
"8001109","exemestane","exémestane"
"8001110","almotriptan","allopurinol"
"8001112","eletriptan","élétriptan"
"8001113","irinotecan","irinotecan"
"8001114","darifenacin","darifénacine"
"8001115","trospium","trospium"
"8001116","granisetron","granisétron"
"8001118","dexmedetomidine","dexmédétomidine"
"8001119","liraglutide","liraglutide"
"8001120","silodosin","silodosine"
"8001121","zolpidem","zolpidem"
"8001123","fesoterodine","fésotérodine"
"8001124","mirabegron","mirabégron"
"8001125","linaclotide","linaclotide"
"8001126","canagliflozin","canagliflozine"
"8001128","thiotepa","thiotépa"
"8001129","ozenoxacin","ozénoxacine"
"8001130","lixisenatide","lixisénatide"
"8001131","cysteamine","cystéamine"
"8001132","nusinersen","nusinersen"
"8001133","defibrotide","défibrotide"
"8001134","haptens","haptens"
"8001135","ocrelizumab","ocrélizumab"
"8001137","insulin degludec","insuline dégludec"
"8001138","durvalumab","durvalumab"
"8001139","olaratumab","olaratumab"
"8001140","letermovir","létermovir"
"8001141","avelumab","avelumab"
"8001142","guselkumab","guselkumab"
"8001143","methotrimeprazine","méthotriméprazine"
"8001144","apomorphine","apomorphine"
"8001145","methyldopa","méthyldopa"
"8001146","sulfamethoxazole","sulfaméthoxazole"
"8001147","apixaban","apixaban"
"8001148","dupilumab","dupilumab"
"8001149","lifitegrast","lifitegrast"
"8001151","migalastat","migalastat"
"8001153","palonosetron","palonosétron"
"8001154","peramivir","péramivir"
"8001155","roflumilast","roflumilast"
"8001156","sofosbuvir","sofosbuvir"
"8001159","triamcinolone diacetate","diacétate de triamcinolone"
"8001160","vernakalant","vernakalant"
"8001161","vilazodone","vilazodone"
"8001162","abacavir","abacavir"
"8001168","adefovir","adéfovir"
"8001169","amikacin","amikacin"
"8001170","anidulafungin","anidulafungine"
"8001171","atazanavir","atazanavir"
"8001172","aztreonam","aztreonam"
"8001174","caspofungin","caspofungine"
"8001175","cefazolin","céfazoline"
"8001176","cefepime","céfépime"
"8001177","cefotaxime","céfotaxime"
"8001178","cefoxitin","céfoxitine"
"8001179","ceftazidime","ceftazidime"
"8001180","ceftriaxone","ceftriaxone"
"8001181","colistin","colistine"
"8001182","daclatasvir","daclatasvir"
"8001183","dapsone","dapsone"
"8001184","daptomycin","daptomycine"
"8001185","darunavir","darunavir"
"8001186","didanosine","didanosine"
"8001187","diphenhydramine","diphenhydramine"
"8001191","dolutegravir","dolutégravir"
"8001192","efavirenz","éfavirenz"
"8001199","entecavir","entécavir"
"8001200","ertapenem","ertapénem"
"8001201","ethambutol","éthambutol"
"8001202","etravirine","étravirine"
"8001203","famciclovir","famciclovir"
"8001204","fosamprenavir","fosamprénavir"
"8001205","ganciclovir","ganciclovir"
"8001206","gentamicin","gentamicine"
"8001207","inosine pranobex","inosine pranobex"
"8001208","itraconazole","itraconazole"
"8001209","ketoconazole","kétoconazole"
"8001210","lamivudine","lamivudine"
"8001213","loperamide","lopéramide"
"8001214","maraviroc","maraviroc"
"8001215","meropenem","méropénem"
"8001216","micafungin","micafungine"
"8001217","nelfinavir","nelfinavir"
"8001218","nevirapine","névirapine"
"8001219","norfloxacin","norfloxacine"
"8001221","penicillin g benzathine","pénicilline g benzathine"
"8001222","piperacillin","pipéracilline"
"8001223","pyrazinamide","pyrazinamide"
"8001224","raltegravir","raltégravir"
"8001225","raltitrexed","raltitrexed"
"8001226","rifabutin","rifabutine"
"8001227","rifampin","rifampine"
"8001228","rilpivirine","rilpivirine"
"8001229","ritonavir","ritonavir"
"8001230","saquinavir","saquinavir"
"8001231","simeprevir","siméprévir"
"8001232","spiramycin","spiramycine"
"8001233","stavudine","stavudine"
"8001234","streptomycin","streptomycine"
"8001235","telavancin","télavancine"
"8001236","tenofovir alafenamide","ténofovir alafénamide"
"8001237","tenofovir disoproxil","ténofovir disoproxil"
"8001238","tigecycline","tigécycline"
"8001239","tipranavir","tipranavir"
"8001240","zidovudine","zidovudine"
"8001241","adalimumab","adalimumab"
"8001242","adapalene","adapalène"
"8001243","alirocumab","alirocumab"
"8001244","amcinonide","amcinonide"
"8001245","benzydamine","benzydamine"
"8001246","bezafibrate","bézafibrate"
"8001247","buspirone","buspirone"
"8001248","calcipotriol","calcipotriol"
"8001249","cholestyramine resin","cholestyramine"
"8001250","clomipramine","clomipramine"
"8001251","colesevelam","colésévélam"
"8001252","colestipol","colestipol"
"8001253","cyclosporine","cyclosporine"
"8001254","dalteparin","daltéparine sodique"
"8001255","danaparoid","danaparoïde"
"8001256","dapagliflozin","dapagliflozine"
"8001258","delavirdine","délavirdine"
"8001259","desmopressin","desmopressine"
"8001260","desonide","désonide"
"8001261","desoximetasone","désoxyméthasone"
"8001262","dipyridamole","dipyridamole"
"8001263","doxepin","doxépine"
"8001264","efinaconazole","éfinaconazole"
"8001265","enoxaparin sodium","énoxaparine sodique"
"8001266","etanercept","étanercept"
"8001267","etidronate","étidronate"
"8001268","evolocumab","évolocumab"
"8001269","fludrocortisone","fludrocortisone"
"8001270","fluocinonide","fluocinonide"
"8001271","fluvastatin","fluvastatine"
"8001272","fluvoxamine","fluvoxamine"
"8001273","guanfacine","guanfacine"
"8001274","heparin","héparine"
"8001275","infliximab","infliximab"
"8001276","insulin biosynthetic human br","insulin humaine"
"8001277","insulin glulisine (recombinant dna origin)","insuline glulisine"
"8001278","insulin injection human biosynthetic","insuline humaine"
"8001279","insulin isophane injection pork","insuline isophane porcine"
"8001280","insulin nph human dna origin","insuline isophane humaine"
"8001281","insulin pork","isuline porcine"
"8001282","insulin semi synthetic human","insuline humaine"
"8001283","isotretinoin","isotrétinoïne"
"8001284","lomitapide (lomitapide mesylate)","lomitapide (mésylate de lomitapide)"
"8001285","loteprednol","lotéprednol"
"8001286","lovastatin","lovastatine"
"8001287","lurasidone","lurasidone"
"8001288","memantine","mémantine"
"8001289","methylprednisolone","méthylprednisolone"
"8001290","methylprednisolone (methylprednisolone sodium succinate)","méthylprednisolone (succinate sodique de méthylprednisolone)"
"8001291","methylprednisolone acetate","acétate de méthylprednisolone"
"8001292","mycophenolic acid","acide mycophénolique"
"8001293","nadroparin","nadroparine"
"8001294","nepafenac","népafénac"
"8001295","nicotinamide","nicotinamide"
"8001296","nicotinic acid","acide nicotinique"
"8001297","oseltamivir","oseltamivir"
"8001298","paliperidone","palipéridone"
"8001299","permethrin","perméthrine"
"8001300","pinaverium","pinavérium"
"8001301","primidone","primidone"
"8001302","prochlorperazine","prochlorpérazine"
"8001303","ranibizumab","ranibizumab"
"8001304","sucralfate","sucralfate"
"8001305","thiamazole","thiamazol"
"8001306","ticagrelor","ticagrélor"
"8001307","tretinoin","trétinoïne"
"8001308","ursodiol","ursodiol"
"8001309","valganciclovir","valganciclovir"
"8001311","cholestyramine","cholestyramine"
"8001315","lomitapide","lomitapide"
"8001316","acarbose","acarbose"
"8001317","acenocoumarol","acénocoumarol"
"8001339","alfacalcidol","alfacalcidol"
"8001340","amantadine","amantadine"
"8001341","azelaic acid","acide azélaïque"
"8001343","bromocriptine","bromocriptine"
"8001346","cabergoline","cabergoline"
"8001349","chloramphenicol","chloramphénicol"
"8001350","chlordiazepoxide","chlordiazépoxide"
"8001352","chloroquine","chloroquine"
"8001353","chlorpheniramine","chlorphéniramine"
"8001357","chlorpromazine","chlorpromazine"
"8001359","cimetidine","cimétidine"
"8001360","clodronate","clodronate"
"8001361","clorazepate","clorazépate"
"8001362","cloxacillin","cloxacilline"
"8001365","cyproheptadine","cyproheptadine"
"8001366","desloratadine","desloratadine"
"8001368","dextromethorphan","dextrométhorphane"
"8001374","dicyclomine","dicyclomine"
"8001375","dimenhydrinate","dimenhydrinate"
"8001376","disopyramide","disopyramide"
"8001378","enalaprilat","énalaprilate"
"8001379","enoxaparin","énoxaparine"
"8001380","famotidine","famotidine"
"8001381","flecainide","flécaïnide"
"8001384","frovatriptan","frovatriptan"
"8001385","glucagon","glucagon"
"8001388","imipramine","imipramine"
"8001390","insulin glulisine","insuline glulisine"
"8001391","insulin human","insuline humaine"
"8001393","insulin isophane pork","insuline isophane porcine"
"8001395","isoniazid","isoniazide"
"8001396","ketotifen","kétotifène"
"8001397","linagliptin","linagliptine"
"8001398","mebendazole","mébendazole"
"8001399","mefloquine","méfloquine"
"8001400","metolazone","métolazone"
"8001401","miconazole","miconazole"
"8001402","midodrine","midodrine"
"8001403","nalbuphine","nalbuphine"
"8001404","naltrexone","naltrexone"
"8001405","nedocromil","nédocromil"
"8001406","nizatidine","nizatidine"
"8001407","ofloxacin","ofloxacine"
"8001408","olsalazine","olsalazine"
"8001409","orphenadrine","orphénadrine"
"8001410","pamidronate","pamidronate"
"8001411","penicillin g","pénicilline g"
"8001412","pentoxifylline","pentoxifylline"
"8001414","pizotifen","pizotifène"
"8001415","praziquantel","praziquantel"
"8001416","procainamide","procaïnamide"
"8001417","propafenone","propafénone"
"8001418","quinagolide","quinagolide"
"8001419","riluzole","riluzole"
"8001420","terconazole","terconazole"
"8001421","tetracycline","tétracycline"
"8001422","tinzaparin","tinzaparine"
"8001423","trimipramine","trimipramine"
"8001424","vancomycin","vancomycine"
"8001425","ziprasidone","zaprasidone"
"8001426","zoledronic acid","acide zolédronique"
"8001427","acamprosate","acamprosate"
"8001428","acetazolamide","acétazolamide"
"8001429","acetylcysteine","acétylcystéine"
"8001430","acitretin","acitrétine"
"8001431","alprostadil","alprostadil"
"8001432","apraclonidine","apraclonidine"
"8001433","aprepitant","aprépitant"
"8001434","argatroban","argatroban"
"8001435","asenapine","asénapine"
"8001436","atovaquone","atovaquone"
"8001439","bacitracin","bacitracine"
"8001440","benralizumab","benralizumab"
"8001441","bivalirudin","bivalirudine"
"8001443","cefixime","céfixime"
"8001444","ceftobiprole","ceftobiprole"
"8001445","clomiphene","clomiphène"
"8001446","cortisone","cortisone"
"8001447","dacarbazine","dacarbazine"
"8001448","dantrolene","dantrolène"
"8001449","desipramine","désipramine"
"8001450","dienogest","diénogest"
"8001451","diflunisal","diflunisal"
"8001452","difluprednate","difluprednate"
"8001453","droperidol","dropéridol"
"8001454","eliglustat","éliglustat"
"8001455","empagliflozin","empagliflozin"
"8001457","enfuvirtide","enfuvirtide"
"8001458","entacapone","entacapone"
"8001459","ertugliflozin","ertugliflozine"
"8001462","eslicarbazepine","eslicarbazépine"
"8001463","ethosuximide","éthosuximide"
"8001464","etodolac","étodolac"
"8001465","exenatide","exénatide"
"8001466","fexofenadine","exofénadine"
"8001468","flunarizine","flunarizine"
"8001469","fluorescein","fluorescéine"
"8001470","fluorometholone (base)","fluorométholone (base)"
"8001471","fluorometholone acetate","acétate de fluorométholone"
"8001472","flupentixol","flupentixol"
"8001473","fluphenazine","fluphénazine"
"8001474","flurbiprofen","flurbiprofène"
"8001475","follitropin alfa","follitropine alfa"
"8001476","follitropin beta","follitropine bêta"
"8001477","follitropin delta","follitropine delta"
"8001478","fosphenytoin","fosphénytoïne"
"8001479","gatifloxacin","gatifloxacine"
"8001480","glimepiride","glimépiride"
"8001481","halothane","halothane"
"8001483","hyprolose","hyprolose"
"8001484","hypromellose","hypromellose"
"8001485","inotuzumab ozogamicin","inotuzumab ozogamicine"
"8001486","ivermectin","ivermectine"
"8001487","levocabastine","lévocabastine"
"8001488","lincomycin","lincomycine"
"8001489","linezolid","linézolide"
"8001490","lodoxamide","lodoxamide"
"8001492","loratadine","loratadine"
"8001494","macitentan","macitentan"
"8001495","mefenamic acid","acide méfénamique"
"8001496","megestrol","mégestrol"
"8001497","melphalan","melphalan"
"8001498","methoxyflurane","méthoxyflurane"
"8001499","mexiletine","mexilétine"
"8001500","ofatumumab","ofatumumab"
"8001501","pemetrexed","pemetrexed"
"8001502","pentamidine","pentamidine"
"8001503","periciazine","périciazine"
"8001504","perphenazine","perphénazine"
"8001505","phenelzine","phénelzine"
"8001506","pilocarpine","pilocarpine"
"8001507","pimozide","pimozide"
"8001508","piroxicam","piroxicam"
"8001509","polidocanol","polidocanol"
"8001510","porfimer","porfimère"
"8001511","posaconazole","posaconazole"
"8001512","promethazine","prométhazine"
"8001513","propiverine","propivérine"
"8001514","propylthiouracil","propylthiouracile"
"8001515","proxymetacaine","proparacaïne"
"8001516","pyridostigmine","pyridostigmine"
"8001517","ribavirin","ribavirine"
"8001518","ribociclib","ribociclib"
"8001519","ropinirole","ropinirole"
"8001520","rotigotine","rotigotine"
"8001521","rufinamide","rufinamide"
"8001522","rupatadine","rupatadine"
"8001524","selegiline","sélégiline"
"8001525","semaglutide","sémaglutide"
"8001526","silver sulfadiazine","sulfadiazine d'argent"
"8001527","sodium citrate dihydrate","citrate de sodium"
"8001528","sulfasalazine","sulfasalazine"
"8001529","sulindac","sulindac"
"8001530","teduglutide","téduglutide"
"8001531","telbivudine","telbivudine"
"8001532","tenoxicam","ténoxicam"
"8001533","tetrabenazine","tétrabénazine"
"8001534","thioguanine","thioguanine"
"8001535","tiaprofenic acid","acide tiaprofénique"
"8001536","ticlopidine","ticlopidine"
"8001538","tranylcypromine","tranylcypromine"
"8001539","trifluridine","trifluridine"
"8001540","trihexyphenidyl","trihexyphénidyle"
"8001541","trimeprazine","triméprazine"
"8001542","tropicamide","tropicamide"
"8001543","vardenafil","vardénafil"
"8001544","vigabatrin","vigabatrine"
"8001545","voriconazole","voriconazole"
"8001546","zanamivir","zanamivir"
"8001547","zuclopenthixol","zuclopenthixol"
"8001548","abatacept","abatacept"
"8001549","abiraterone","abiratérone"
"8001550","acetylcholine","acétylcholine"
"8001551","afatinib","afatinib"
"8001552","aflibercept","aflibercept"
"8001553","agalsidase alfa","agalsidase alfa"
"8001554","agalsidase beta","agalsidase bêta"
"8001555","aldesleukin","aldesleukine"
"8001556","alectinib","alectinib"
"8001557","alemtuzumab","alemtuzumab"
"8001558","alglucosidase alfa","alglucosidase alfa"
"8001559","alitretinoin","alitrétinoïne"
"8001561","alteplase","altéplase"
"8001563","aminolevulinic acid","acide aminolévulinique"
"8001564","amphotericin b","amphotéricine B"
"8001565","anagrelide","anagrélide"
"8001566","anakinra","anakinra"
"8001567","anethole trithione","anéthole trithione"
"8001568","apremilast","apremilast"
"8001569","asfotase alfa","asfotase alfa"
"8001570","atezolizumab","atézolizumab"
"8001571","atropine","atropine"
"8001573","auranofin","auranofine"
"8001574","axitinib","axitinib"
"8001575","azacitidine","azacitidine"
"8001576","basiliximab","basiliximab"
"8001577","belimumab","bélimumab"
"8001578","bendamustine","bendamustine"
"8001579","benzethonium","benzéthonium"
"8001581","benzylpenicilloyl-polylysine","benzylpenicilloyl-polylysine"
"8001582","bepotastine","bépotastine"
"8001583","beractant","béractant"
"8001584","besifloxacin","bésifloxacine"
"8001585","betaine","bétaïne"
"8001586","betaxolol","bétaxolol"
"8001587","bethanechol","béthanéchol"
"8001588","bevacizumab","bévacizumab"
"8001589","bicalutamide","bicalutamide"
"8001590","bilastine","bilastine"
"8001591","bleomycin","bléomycine"
"8001592","blinatumomab","blinatumomab"
"8001593","bortezomib","bortézomib"
"8001594","bosutinib","bosutinib"
"8001595","brentuximab vedotin","brentuximab védotine"
"8001596","bretylium","brétylium"
"8001597","brexpiprazole","brexpiprazole"
"8001598","brivaracetam","brivaracétam"
"8001599","bromfenac","bromfénac"
