"ccdd","tm_code","tm_formal_name","n_dins","n_ntps","status","tm_status_effective_time","en_display","fr_display"
TRUE,8000067,"benztropine",5,3,"active",1978-12-31,NA,NA
TRUE,8000069,"codeine",15,5,"active",1978-12-31,NA,NA
TRUE,8000071,"morphine",76,8,"active",1978-12-31,NA,NA
TRUE,8000072,"valproic acid (valproate)",5,2,"active",1978-12-31,NA,NA
TRUE,8000073,"amoxicillin",37,4,"active",1979-12-31,NA,NA
TRUE,8000075,"calcitriol",8,3,"active",1979-12-31,NA,NA
TRUE,8000078,"nystatin",11,4,"active",1979-12-31,NA,NA
TRUE,8000079,"oxazepam",18,1,"active",1979-12-31,NA,NA
TRUE,8000080,"sulfamethoxazole and trimethoprim",9,3,"active",1979-12-31,NA,NA
TRUE,8000081,"timolol",21,3,"active",1979-12-31,NA,NA
TRUE,8000082,"diclofenac",53,8,"active",1980-12-31,NA,NA
TRUE,8000084,"haloperidol",22,3,"active",1980-12-31,NA,NA
TRUE,8000085,"indomethacin",9,2,"active",1980-12-31,NA,NA
TRUE,8000086,"propranolol",18,3,"active",1980-12-31,NA,NA
TRUE,8000087,"temazepam",10,1,"active",1980-12-31,NA,NA
TRUE,8000088,"alprazolam",31,1,"active",1981-12-31,NA,NA
TRUE,8000090,"bromazepam",9,1,"active",1981-12-31,NA,NA
TRUE,8000091,"flurazepam",9,1,"active",1981-12-31,NA,NA
TRUE,8000092,"hydrochlorothiazide and triamterene",3,1,"active",1981-12-31,NA,NA
TRUE,8000095,"acyclovir",18,6,"active",1982-12-31,NA,NA
TRUE,8000097,"indapamide",19,1,"active",1982-12-31,NA,NA
TRUE,8000218,"naproxen",52,6,"active",1982-12-31,NA,NA
TRUE,8000779,"alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate",2,1,"active",1983-12-31,NA,NA
TRUE,8000059,"acetaminophen and oxycodone",9,1,"active",1984-12-31,NA,NA
TRUE,8000774,"acetylsalicylic acid and oxycodone",1,1,"active",1984-12-31,NA,NA
TRUE,8000104,"fusidic acid",2,2,"active",1984-12-31,NA,NA
TRUE,8000106,"hydromorphone",41,7,"active",1984-12-31,NA,NA
TRUE,8000107,"procyclidine",3,2,"active",1984-12-31,NA,NA
TRUE,8000108,"valproic acid (divalproex)",22,1,"active",1984-12-31,NA,NA
TRUE,8000109,"lorazepam",33,3,"active",1985-12-31,NA,NA
TRUE,8000110,"acebutolol",20,1,"active",1986-12-31,NA,NA
TRUE,8000114,"dexamethasone phosphate",9,3,"active",1986-12-31,NA,NA
TRUE,8000115,"glyburide",15,1,"active",1986-12-31,NA,NA
TRUE,8000117,"doxycycline",14,4,"active",1987-12-31,NA,NA
TRUE,8000118,"enalapril",48,1,"active",1987-12-31,NA,NA
TRUE,8000119,"ethinyl estradiol and levonorgestrel",19,1,"active",1987-12-31,NA,NA
TRUE,8000120,"ranitidine",42,3,"active",1987-12-31,NA,NA
TRUE,8000121,"atenolol",44,1,"active",1988-12-31,NA,NA
TRUE,8000773,"clotrimazole",17,4,"active",1988-12-31,NA,NA
TRUE,8000122,"diltiazem",80,5,"active",1988-12-31,NA,NA
TRUE,8000123,"nifedipine",18,2,"active",1988-12-31,NA,NA
TRUE,8000124,"verapamil",26,4,"active",1988-12-31,NA,NA
TRUE,8000127,"fentanyl",60,4,"active",1989-12-31,NA,NA
TRUE,8000128,"fluoxetine",50,2,"active",1989-12-31,NA,NA
TRUE,8000130,"metoclopramide",7,3,"active",1989-12-31,NA,NA
TRUE,8000131,"omeprazole",34,2,"active",1989-12-31,NA,NA
TRUE,8000132,"salbutamol",32,7,"active",1989-12-31,NA,NA
TRUE,8000134,"budesonide",12,6,"active",1990-12-31,NA,NA
TRUE,8000135,"clonidine",10,1,"active",1990-12-31,NA,NA
TRUE,8000139,"gliclazide",18,2,"active",1990-12-31,NA,NA
TRUE,8000140,"lisinopril",46,1,"active",1990-12-31,NA,NA
TRUE,8000141,"pravastatin",42,1,"active",1990-12-31,NA,NA
TRUE,8000142,"simvastatin",102,1,"active",1990-12-31,NA,NA
TRUE,8000143,"zopiclone",40,1,"active",1990-12-31,NA,NA
TRUE,8000785,"belladonna and opium",1,1,"active",1991-12-31,NA,NA
TRUE,8000147,"clozapine",10,1,"active",1991-12-31,NA,NA
TRUE,8000148,"mometasone",15,5,"active",1991-12-31,NA,NA
TRUE,8000153,"amlodipine",62,1,"active",1992-12-31,NA,NA
TRUE,8000154,"amoxicillin and clavulanic acid",18,2,"active",1992-12-31,NA,NA
TRUE,8000159,"ciprofloxacin",82,6,"active",1992-12-31,NA,NA
TRUE,8000160,"clarithromycin",27,3,"active",1992-12-31,NA,NA
TRUE,8000161,"clobetasol",22,6,"active",1992-12-31,NA,NA
TRUE,8000162,"dextroamphetamine",4,2,"active",1992-12-31,NA,NA
TRUE,8000163,"doxazosin",15,1,"active",1992-12-31,NA,NA
TRUE,8000164,"ethinyl estradiol and norgestimate",8,1,"active",1992-12-31,NA,NA
TRUE,8000165,"felodipine",8,1,"active",1992-12-31,NA,NA
TRUE,8000166,"finasteride",24,1,"active",1992-12-31,NA,NA
TRUE,8000168,"insulin isophane human",4,1,"active",1992-12-31,NA,NA
TRUE,8000169,"ketorolac",12,3,"active",1992-12-31,NA,NA
TRUE,8000170,"quinapril",20,1,"active",1992-12-31,NA,NA
TRUE,8000171,"sertraline",63,1,"active",1992-12-31,NA,NA
TRUE,8000172,"vitamin D3 (cholecalciferol)",14,2,"active",1992-12-31,NA,NA
TRUE,8000179,"desogestrel and ethinyl estradiol",12,1,"active",1993-12-31,NA,NA
TRUE,8000180,"diclofenac and misoprostol",6,1,"active",1993-12-31,NA,NA
TRUE,8000181,"domperidone",13,1,"active",1993-12-31,NA,NA
TRUE,8000183,"mesalazine",14,5,"active",1993-12-31,NA,NA
TRUE,8000184,"metformin",46,2,"active",1993-12-31,NA,NA
TRUE,8000185,"paroxetine",60,2,"active",1993-12-31,NA,NA
TRUE,8000187,"risperidone",113,4,"active",1993-12-31,NA,NA
TRUE,8000188,"terbinafine",15,3,"active",1993-12-31,NA,NA
TRUE,8000189,"trazodone",24,2,"active",1993-12-31,NA,NA
TRUE,8000196,"cyclobenzaprine",12,1,"active",1994-12-31,NA,NA
TRUE,8000137,"dexamethasone sodium phosphate",1,1,"inactive",1994-12-31,NA,NA
TRUE,8000198,"digoxin",9,3,"active",1994-12-31,NA,NA
TRUE,8000200,"gabapentin",89,2,"active",1994-12-31,NA,NA
TRUE,8000201,"hydrochlorothiazide and lisinopril",18,1,"active",1994-12-31,NA,NA
TRUE,8000781,"hydrocodone and phenylephrine",2,1,"active",1994-12-31,NA,NA
TRUE,8000202,"ipratropium",18,4,"active",1994-12-31,NA,NA
TRUE,8000203,"isosorbide mononitrate",4,1,"active",1994-12-31,NA,NA
TRUE,8000204,"lithium (ion)",1,1,"active",1994-12-31,NA,NA
TRUE,8000205,"minocycline",20,2,"active",1994-12-31,NA,NA
TRUE,8000206,"perindopril",3,1,"active",1994-12-31,NA,NA
TRUE,8000208,"beclomethasone",6,4,"active",1995-12-31,NA,NA
TRUE,8000210,"cefprozil",16,2,"active",1995-12-31,NA,NA
TRUE,8000213,"estradiol",26,5,"active",1995-12-31,NA,NA
TRUE,8000214,"lamotrigine",29,1,"active",1995-12-31,NA,NA
TRUE,8000215,"lansoprazole",26,2,"active",1995-12-31,NA,NA
TRUE,8000216,"losartan",54,1,"active",1995-12-31,NA,NA
TRUE,8000217,"methotrexate",24,2,"active",1995-12-31,NA,NA
TRUE,8000219,"oxybutynin",16,4,"active",1995-12-31,NA,NA
TRUE,8000220,"progesterone",5,4,"active",1995-12-31,NA,NA
TRUE,8000221,"valproic acid",10,2,"active",1995-12-31,NA,NA
TRUE,8000222,"tacrolimus",13,4,"active",1996-08-14,NA,NA
TRUE,8000224,"azithromycin",37,3,"active",1996-09-26,NA,NA
TRUE,8000225,"fenofibrate",21,2,"active",1996-10-02,NA,NA
TRUE,8000226,"olanzapine",140,3,"active",1996-11-04,NA,NA
TRUE,8000787,"insulin lispro",4,1,"active",1996-11-15,NA,NA
TRUE,8000229,"hydrochlorothiazide and losartan",40,1,"active",1996-11-22,NA,NA
TRUE,8000230,"ciclopirox",8,4,"active",1996-12-03,NA,NA
TRUE,8000233,"valacyclovir",22,1,"active",1996-12-31,NA,NA
TRUE,8000784,"normethadone and p-hydroxyephedrine",1,1,"active",1997-01-23,NA,NA
TRUE,8000234,"sumatriptan",35,3,"active",1997-02-11,NA,NA
TRUE,8000235,"atorvastatin",80,1,"active",1997-03-05,NA,NA
TRUE,8000236,"pantoprazole",39,2,"active",1997-03-05,NA,NA
TRUE,8000237,"cetirizine",20,4,"active",1997-03-06,NA,NA
TRUE,8000238,"clobazam",5,1,"active",1997-03-24,NA,NA
TRUE,8000239,"ramipril",76,2,"active",1997-03-24,NA,NA
TRUE,8000240,"topiramate",62,2,"active",1997-03-25,NA,NA
TRUE,8000244,"latanoprost",8,1,"active",1997-07-28,NA,NA
TRUE,8000246,"donepezil",48,2,"active",1997-08-20,NA,NA
TRUE,8000247,"terazosin",28,1,"active",1997-09-26,NA,NA
TRUE,8000248,"quetiapine",113,2,"active",1997-12-10,NA,NA
TRUE,8000249,"valsartan",54,2,"active",1997-12-15,NA,NA
TRUE,8000250,"trandolapril",4,1,"active",1998-01-07,NA,NA
TRUE,8000251,"olopatadine",9,1,"active",1998-02-09,NA,NA
TRUE,8000253,"pramipexole",41,1,"active",1998-02-26,NA,NA
TRUE,8000254,"venlafaxine",48,1,"active",1998-03-04,NA,NA
TRUE,8000173,"fluticasone",12,3,"active",1998-04-02,NA,NA
TRUE,8000256,"cyproterone and ethinyl estradiol",5,1,"active",1998-04-08,NA,NA
TRUE,8000257,"bupropion",18,1,"active",1998-05-05,NA,NA
TRUE,8000259,"irbesartan",58,1,"active",1998-06-22,NA,NA
TRUE,8000261,"montelukast",47,3,"active",1998-08-21,NA,NA
TRUE,8000262,"hydrochlorothiazide and quinapril",6,1,"active",1998-10-01,NA,NA
TRUE,8000263,"clopidogrel",20,1,"active",1998-10-13,NA,NA
TRUE,8000265,"tolterodine",16,2,"active",1998-11-23,NA,NA
TRUE,8000266,"candesartan",58,1,"active",1998-12-07,NA,NA
TRUE,8000267,"citalopram",78,1,"active",1999-03-08,NA,NA
TRUE,8000268,"sildenafil",43,2,"active",1999-03-09,NA,NA
TRUE,8000269,"amiodarone",17,2,"active",1999-03-29,NA,NA
TRUE,8000271,"celecoxib",42,1,"active",1999-04-19,NA,NA
TRUE,8000272,"dorzolamide and timolol",11,1,"active",1999-05-27,NA,NA
TRUE,8000273,"repaglinide",21,1,"active",1999-06-21,NA,NA
TRUE,8000276,"rizatriptan",37,2,"active",1999-08-31,NA,NA
TRUE,8000277,"telmisartan",30,1,"active",1999-09-01,NA,NA
TRUE,8000278,"risedronate",24,2,"active",1999-09-07,NA,NA
TRUE,8000279,"fluticasone and salmeterol",5,2,"active",1999-09-24,NA,NA
TRUE,8000284,"hydrochlorothiazide and irbesartan",41,1,"active",2000-03-16,NA,NA
TRUE,8000285,"methadone",10,2,"active",2000-05-05,NA,NA
TRUE,8000286,"hydrochlorothiazide and valsartan",38,1,"active",2000-05-10,NA,NA
TRUE,8000287,"rivastigmine",44,3,"active",2000-05-15,NA,NA
TRUE,8000776,"butorphanol",2,1,"active",2000-08-01,NA,NA
TRUE,8000289,"pioglitazone",48,1,"active",2000-08-28,NA,NA
TRUE,8000290,"meloxicam",22,1,"active",2000-09-26,NA,NA
TRUE,8000291,"moxifloxacin",17,3,"active",2000-10-20,NA,NA
TRUE,8000298,"mirtazapine",32,2,"active",2001-05-24,NA,NA
TRUE,8000300,"candesartan and hydrochlorothiazide",19,1,"active",2001-06-26,NA,NA
TRUE,8000301,"hydrochlorothiazide and telmisartan",26,1,"active",2001-08-16,NA,NA
TRUE,8000302,"betahistine",12,1,"active",2001-08-17,NA,NA
TRUE,8000303,"esomeprazole",18,3,"active",2001-08-20,NA,NA
TRUE,8000780,"brompheniramine and guaifenesin and hydrocodone and phenylephrine",1,1,"active",2001-09-06,NA,NA
TRUE,8000307,"insulin aspart",6,1,"active",2001-10-31,NA,NA
TRUE,8000312,"alendronic acid",36,1,"active",2002-02-14,NA,NA
TRUE,8000313,"alfuzosin",7,1,"active",2002-02-21,NA,NA
TRUE,8000314,"rabeprazole",22,1,"active",2002-04-02,NA,NA
TRUE,8000315,"bimatoprost",4,2,"active",2002-05-24,NA,NA
TRUE,8000317,"insulin glargine",6,1,"active",2002-07-24,NA,NA
TRUE,8000320,"tiotropium",2,2,"active",2002-11-21,NA,NA
TRUE,8000321,"indapamide and perindopril",3,1,"active",2002-12-19,NA,NA
TRUE,8000322,"rosuvastatin",82,1,"active",2003-02-19,NA,NA
TRUE,8000325,"bisoprolol",16,1,"active",2003-04-24,NA,NA
TRUE,8000326,"ezetimibe",17,1,"active",2003-06-15,NA,NA
TRUE,8000328,"levetiracetam",52,1,"active",2003-07-23,NA,NA
TRUE,8000329,"carvedilol",43,1,"active",2003-08-04,NA,NA
TRUE,8000330,"dutasteride",12,1,"active",2003-11-14,NA,NA
TRUE,8000331,"tadalafil",53,1,"active",2003-11-25,NA,NA
TRUE,8000332,"fosinopril",14,1,"active",2003-12-05,NA,NA
TRUE,8000334,"ethinyl estradiol and norelgestromin",1,1,"active",2003-12-24,NA,NA
TRUE,8000338,"ciprofloxacin and dexamethasone (base)",1,1,"active",2004-05-13,NA,NA
TRUE,8000343,"ethinyl estradiol and etonogestrel",1,1,"active",2004-12-02,NA,NA
TRUE,8000345,"drospirenone and ethinyl estradiol",8,1,"active",2004-12-22,NA,NA
TRUE,8000346,"escitalopram",42,2,"active",2005-02-14,NA,NA
TRUE,8000347,"atomoxetine",57,1,"active",2005-02-24,NA,NA
TRUE,8000348,"pregabalin",87,1,"active",2005-07-18,NA,NA
TRUE,8000349,"acetaminophen and tramadol",14,1,"active",2005-07-22,NA,NA
TRUE,8000352,"tamsulosin",10,2,"active",2005-10-11,NA,NA
TRUE,8000353,"insulin detemir",2,1,"active",2005-11-14,NA,NA
TRUE,8000413,"alendronic acid and vitamin D3 (cholecalciferol)",7,1,"active",2006-03-13,NA,NA
TRUE,8000360,"solifenacin",26,1,"active",2006-06-23,NA,NA
TRUE,8000367,"ciclesonide",4,2,"active",2006-09-27,NA,NA
TRUE,8000368,"hydrochlorothiazide and ramipril",13,1,"active",2006-11-16,NA,NA
TRUE,8000369,"tramadol",20,3,"active",2006-12-07,NA,NA
TRUE,8000371,"varenicline",3,2,"active",2007-04-11,NA,NA
TRUE,8000372,"buprenorphine and naloxone",6,1,"active",2007-11-26,NA,NA
TRUE,8000374,"sitagliptin",3,1,"active",2008-01-02,NA,NA
TRUE,8000375,"duloxetine",28,1,"active",2008-01-18,NA,NA
TRUE,8000378,"dabigatran",3,1,"active",2008-07-03,NA,NA
TRUE,8000379,"rivaroxaban",4,1,"active",2008-09-16,NA,NA
TRUE,8000381,"travoprost",5,1,"active",2008-11-10,NA,NA
TRUE,8000382,"hydrochlorothiazide and olmesartan",12,1,"active",2008-12-22,NA,NA
TRUE,8000383,"olmesartan",14,1,"active",2008-12-22,NA,NA
TRUE,8000385,"desvenlafaxine",2,1,"active",2009-03-05,NA,NA
TRUE,8000777,"hydrocodone",1,1,"active",2009-03-21,NA,NA
TRUE,8000387,"lisdexamfetamine",7,1,"active",2009-08-04,NA,NA
TRUE,8000389,"aripiprazole",8,2,"active",2009-09-30,NA,NA
TRUE,8000390,"metformin and sitagliptin",6,2,"active",2009-10-08,NA,NA
TRUE,8000391,"saxagliptin",2,1,"active",2009-10-29,NA,NA
TRUE,8000775,"buprenorphine",4,1,"active",2010-05-26,NA,NA
TRUE,8000394,"dexlansoprazole",2,1,"active",2010-08-05,NA,NA
TRUE,8000783,"naloxone and oxycodone",4,1,"active",2010-10-05,NA,NA
TRUE,8000396,"galantamine",24,1,"active",2010-11-12,NA,NA
TRUE,8000398,"esomeprazole and naproxen",4,1,"active",2011-02-04,NA,NA
TRUE,8000789,"tapentadol",8,2,"active",2012-03-20,NA,NA
FALSE,NA,"air",1,1,"active",1911-12-31,NA,NA
FALSE,NA,"carbon dioxide",3,1,"active",1911-12-31,NA,NA
FALSE,NA,"carbon dioxide and oxygen",6,1,"active",1911-12-31,NA,NA
FALSE,NA,"helium",3,1,"active",1911-12-31,NA,NA
FALSE,NA,"helium and oxygen",5,1,"active",1911-12-31,NA,NA
FALSE,NA,"nitrogen",9,2,"active",1911-12-31,NA,NA
FALSE,NA,"nitrous oxide",3,1,"active",1911-12-31,NA,NA
FALSE,NA,"oxygen",23,1,"active",1911-12-31,NA,NA
FALSE,NA,"gold sodium thiomalate",6,1,"active",1935-12-31,NA,NA
FALSE,NA,"chloroxylenol",28,4,"active",1938-12-31,NA,NA
FALSE,NA,"pitcher plant",1,1,"active",1942-12-31,NA,NA
FALSE,NA,"NA",76,13,"active",1944-12-31,NA,NA
FALSE,NA,"primaquine phosphate",1,1,"active",1945-12-31,NA,NA
FALSE,NA,"propylthiouracil",2,1,"active",1945-12-31,NA,NA
FALSE,NA,"dihydroergotamine mesylate",2,2,"active",1946-12-31,NA,NA
FALSE,NA,"bismuth dipropylacetate",1,1,"active",1950-12-31,NA,NA
FALSE,NA,"acetylsalicylic acid",72,4,"active",1951-12-31,NA,NA
FALSE,NA,"bacitracin",5,2,"active",1951-12-31,NA,NA
FALSE,NA,"benzalkonium",52,7,"active",1951-12-31,NA,NA
FALSE,NA,"calcium chloride and dextrose and potassium chloride and sodium chloride and sodium lactate",5,1,"active",1951-12-31,NA,NA
FALSE,NA,"calcium chloride and potassium chloride and sodium chloride and sodium lactate",6,2,"active",1951-12-31,NA,NA
FALSE,NA,"camphor and diphenylpyraline hydrochloride and guaiacol carbonate",2,1,"active",1951-12-31,NA,NA
FALSE,NA,"dexpanthenol and lidocaine hydrochloride and nicotinamide and pyridoxine hydrochloride and vitamin B1 and vitamin B2 (riboflavin 5'-phosphate sodium)",1,1,"active",1951-12-31,NA,NA
FALSE,NA,"dextrose",20,2,"active",1951-12-31,NA,NA
FALSE,NA,"dextrose and sodium chloride",17,2,"active",1951-12-31,NA,NA
FALSE,NA,"dimenhydrinate",31,8,"active",1951-12-31,NA,NA
FALSE,NA,"gentian violet",1,1,"active",1951-12-31,NA,NA
FALSE,NA,"iothalamate meglumine",4,2,"active",1951-12-31,NA,NA
FALSE,NA,"lidocaine hydrochloride",37,11,"active",1951-12-31,NA,NA
FALSE,NA,"methenamine mandelate",1,1,"inactive",1951-12-31,NA,NA
FALSE,NA,"methylene blue",6,2,"active",1951-12-31,NA,NA
FALSE,NA,"mineral oil",8,4,"active",1951-12-31,NA,NA
FALSE,NA,"papaverine hydrochloride",1,1,"active",1951-12-31,NA,NA
FALSE,NA,"petrolatum",11,3,"active",1951-12-31,NA,NA
FALSE,NA,"potassium chloride",7,3,"active",1951-12-31,NA,NA
FALSE,NA,"sodium chloride",31,4,"active",1951-12-31,NA,NA
FALSE,NA,"sulfacetamide sodium",2,1,"inactive",1951-12-31,NA,NA
FALSE,NA,"thiamazole",3,1,"active",1951-12-31,NA,NA
FALSE,NA,"thiopental sodium",5,1,"inactive",1951-12-31,NA,NA
FALSE,NA,"thyroid",3,1,"active",1951-12-31,NA,NA
FALSE,NA,"tropicamide",5,1,"active",1951-12-31,NA,NA
FALSE,NA,"water",19,3,"active",1951-12-31,NA,NA
FALSE,NA,"white petrolatum",9,3,"active",1951-12-31,NA,NA
FALSE,NA,"ethopropazine (ethopropazine hydrochloride)",1,1,"active",1952-12-31,NA,NA
FALSE,NA,"succinylcholine chloride",4,1,"active",1952-12-31,NA,NA
FALSE,NA,"crotamiton",1,1,"active",1953-12-31,NA,NA
FALSE,NA,"busulfan",2,2,"active",1954-12-31,NA,NA
FALSE,NA,"epinephrine and lidocaine hydrochloride",17,1,"active",1954-12-31,NA,NA
FALSE,NA,"lidocaine",14,5,"active",1954-12-31,NA,NA
FALSE,NA,"mercaptopurine",2,1,"active",1954-12-31,NA,NA
FALSE,NA,"nylidrin hydrochloride",1,1,"inactive",1955-12-31,NA,NA
FALSE,NA,"acenocoumarol",2,1,"active",1957-12-31,NA,NA
FALSE,NA,"clioquinol and hydrocortisone",1,1,"active",1957-12-31,NA,NA
FALSE,NA,"phenobarbital",5,2,"active",1957-12-31,NA,NA
FALSE,NA,"spiramycin",2,1,"active",1957-12-31,NA,NA
FALSE,NA,"amphotericin b",3,2,"active",1958-12-31,NA,NA
FALSE,NA,"bisacodyl",22,3,"active",1958-12-31,NA,NA
FALSE,NA,"dextrose and magnesium chloride and potassium chloride and sodium acetate and sodium chloride and sodium gluconate",3,1,"inactive",1958-12-31,NA,NA
FALSE,NA,"methocarbamol",5,2,"active",1958-12-31,NA,NA
FALSE,NA,"methotrimeprazine (methotrimeprazine hydrochloride)",1,1,"active",1958-12-31,NA,NA
FALSE,NA,"chloramphenicol (chloramphenicol sodium succinate)",1,1,"active",1959-12-31,NA,NA
FALSE,NA,"pilocarpine hydrochloride",7,2,"active",1959-12-31,NA,NA
FALSE,NA,"trimeprazine (trimeprazine tartrate)",2,1,"active",1959-12-31,NA,NA
FALSE,NA,"atropine sulfate and diphenoxylate hydrochloride",1,1,"active",1960-12-31,NA,NA
FALSE,NA,"codeine and pseudoephedrine hydrochloride and triprolidine hydrochloride",3,1,"active",1960-12-31,NA,NA
FALSE,NA,"ethosuximide",2,2,"active",1960-12-31,NA,NA
FALSE,NA,"hydrochlorothiazide and spironolactone",4,1,"active",1960-12-31,NA,NA
FALSE,NA,"methylprednisolone",2,1,"active",1960-12-31,NA,NA
FALSE,NA,"methylprednisolone acetate",9,2,"active",1960-12-31,NA,NA
FALSE,NA,"tetrahydrozoline hydrochloride",3,1,"active",1960-12-31,NA,NA
FALSE,NA,"xylometazoline hydrochloride",17,2,"active",1960-12-31,NA,NA
FALSE,NA,"chlordiazepoxide hydrochloride and clidinium bromide",2,1,"active",1961-12-31,NA,NA
FALSE,NA,"sodium polystyrene sulfonate",5,3,"active",1961-12-31,NA,NA
FALSE,NA,"clofedanol hydrochloride",1,1,"active",1962-12-31,NA,NA
FALSE,NA,"dextrose and sodium chloride and sodium lactate",1,1,"inactive",1962-12-31,NA,NA
FALSE,NA,"thioproperazine (thioproperazine mesylate)",1,1,"inactive",1962-12-31,NA,NA
FALSE,NA,"aluminum hydroxide (dried aluminum hydroxide gel) and magnesium hydroxide and simethicone",3,2,"active",1963-12-31,NA,NA
FALSE,NA,"aluminum hydroxide-magnesium carbonate-co dried gel and magnesium hydroxide and simethicone",1,1,"active",1963-12-31,NA,NA
FALSE,NA,"dactinomycin",1,1,"active",1963-12-31,NA,NA
FALSE,NA,"dexamethasone (base) and neomycin (neomycin sulfate) and polymyxin b sulfate",3,2,"active",1963-12-31,NA,NA
FALSE,NA,"glycerine and phenol and sodium chloride",1,1,"active",1963-12-31,NA,NA
FALSE,NA,"mannitol",6,2,"active",1963-12-31,NA,NA
FALSE,NA,"non pollen",4,1,"active",1963-12-31,NA,NA
FALSE,NA,"phenol and sodium chloride",2,1,"active",1963-12-31,NA,NA
FALSE,NA,"pollen",3,1,"active",1963-12-31,NA,NA
FALSE,NA,"simethicone",16,7,"active",1963-12-31,NA,NA
FALSE,NA,"atropine sulfate",11,2,"active",1964-12-31,NA,NA
FALSE,NA,"d-penicillamine",1,1,"active",1964-12-31,NA,NA
FALSE,NA,"aluminum chlorohydrate and methylprednisolone acetate and neomycin sulfate and sulfur",1,1,"active",1965-12-31,NA,NA
FALSE,NA,"dextrose and magnesium acetate and potassium acetate and sodium chloride",1,1,"inactive",1965-12-31,NA,NA
FALSE,NA,"magnesium chloride and potassium chloride and sodium acetate and sodium chloride and sodium gluconate",4,1,"active",1965-12-31,NA,NA
