"pharmaceutical_form","route_of_administration"
"METERED-DOSE AEROSOL","SUBLINGUAL"
"METERED-DOSE AEROSOL","ORAL"
"AEROSOL, METERED DOSE","INHALATION"
"WIPE","TOPICAL"
"LOTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"GRANULES","ORAL"
"SUSPENSION","OTIC"
"KIT","INTRAMUSCULAR"
"POWDER FOR SUSPENSION, SUSTAINED-RELEASE","INTRAMUSCULAR"
"STRIP","ORAL"
"POWDER (EXTENDED RELEASE)","SUBGINGIVAL"
"SOLUTION","TOPICAL (HOUSEHOLD)"
"GEL","INTRAINTESTINAL (UPPER)"
"GEL","TOPICAL (HOUSEHOLD)"
"WIPE","TOPICAL (HOUSEHOLD)"
"METERED-DOSE PUMP","NASAL"
"TABLET (DELAYED AND EXTENDED RELEASE)","ORAL"
"GRANULES FOR SUSPENSION, DELAYED RELEASE","ORAL"
"LIQUID","TOPICAL (HOUSEHOLD)"
"VAGINAL TABLET","VAGINAL"
"VAGINAL TABLET, EFFERVESCENT","VAGINAL"
"AEROSOL, FOAM","TOPICAL"
"SOLUTION","INTRACARDIAC"
"CAPSULE (DELAYED RELEASE)","NASOGASTRIC"
"TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL"
"IMPLANT","INTRAVITREAL"
"SUSPENSION","INTRAVITREAL"
"CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"CAPSULE (IMMEDIATE AND DELAYED RELEASE)","ORAL"
"KIT","TOPICAL"
"TABLET (EFFERVESCENT)","BUCCAL"
"TABLET (EFFERVESCENT)","SUBLINGUAL"
"SOLUTION","INTRATRACHEAL"
"SOLUTION","TOPICAL (COMMERCIAL)"
"TABLET (IMMEDIATE AND EXTENDED RELEASE)","ORAL"
"POWDER (METERED DOSE)","INHALATION"
"PASTE","TOPICAL"
"TABLET","BUCCAL"
"KIT","BUCCAL"
"PATCH","TOPICAL"
"GEL","NASAL"
"SOLUTION","OTIC"
"WIPE","DISINFECTANT (Food Premises)"
"WIPE","DISINFECTANT (Hospital/HC Facilities)"
"WIPE","DISINFECTANT (Domestic)"
"WIPE","DISINFECTANT (Institutional/Industrial)"
"OINTMENT","OTIC"
"DRESSING","TOPICAL"
"SOLUTION","IRRIGATION"
"PACKAGE","ORAL"
"SUSPENSION","INTRALESIONAL"
"LIQUID","NASAL"
"SPRAY","TOPICAL (COMMERCIAL)"
"SOLUTION","INTRA-ARTICULAR"
