"mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_product_name","Health_Canada_description"
"02389800","MINT-TRAMADOL/ACET (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) MINT PHARMACEUTICALS INC","02389800","MINT-TRAMADOL/ACET",""
"02391554","PRIVA-TRAMADOL/ACET (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) PHARMAPAR INC","02391554","PRIVA-TRAMADOL/ACET",""
"02401657","PMS-TRAMADOL-ACET (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) PHARMASCIENCE INC","02401657","PMS-TRAMADOL-ACET",""
"02417502","TRAMADOL-ACET (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) PRO DOC LIMITEE","02417502","TRAMADOL-ACET",""
"02426803","TRAMADOL/ACET (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) SANIS HEALTH INC","02426803","TRAMADOL/ACET",""
"02429969","TRAMADOL / ACETAMINOPHEN (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) SIVEM PHARMACEUTICALS ULC","02429969","TRAMADOL / ACETAMINOPHEN",""
"02439050","AURO-TRAMADOL/ACETAMINOPHEN (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) AURO PHARMA INC","02439050","AURO-TRAMADOL/ACETAMINOPHEN",""
"02383209","ACT TRAMADOL/ACET (acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet) ACTAVIS PHARMA COMPANY","02383209","ACT TRAMADOL/ACET",""
"00608157","RATIO-OXYCODAN (acetylsalicylic acid 325 mg and oxycodone hydrochloride 5 mg oral tablet) TEVA CANADA LIMITED","00608157","RATIO-OXYCODAN",""
"00569771","ZOVIRAX (acyclovir 5 % cutaneous ointment) VALEANT CANADA LP/VALEANT CANADA S.E.C.","00569771","ZOVIRAX",""
"00886157","ZOVIRAX (acyclovir 200 mg per 5 mL oral suspension) GLAXOSMITHKLINE INC","00886157","ZOVIRAX",""
"02039524","ZOVIRAX (acyclovir 5 % cutaneous cream) VALEANT CANADA LP/VALEANT CANADA S.E.C.","02039524","ZOVIRAX",""
"02078635","RATIO-ACYCLOVIR (acyclovir 400 mg oral tablet) TEVA CANADA LIMITED","02078635","RATIO-ACYCLOVIR",""
"02078627","RATIO-ACYCLOVIR (acyclovir 200 mg oral tablet) TEVA CANADA LIMITED","02078627","RATIO-ACYCLOVIR",""
"02207621","APO-ACYCLOVIR - TAB 200MG (acyclovir 200 mg oral tablet) APOTEX INC","02207621","APO-ACYCLOVIR - TAB 200MG",""
"02207648","APO-ACYCLOVIR - TAB 400MG (acyclovir 400 mg oral tablet) APOTEX INC","02207648","APO-ACYCLOVIR - TAB 400MG",""
"02207656","APO-ACYCLOVIR (acyclovir 800 mg oral tablet) APOTEX INC","02207656","APO-ACYCLOVIR",""
"02236916","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 20 mL solution for injection vial) PFIZER CANADA INC","02236916","ACYCLOVIR SODIUM INJECTION","SINGLE USE VIAL"
"700061","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 500 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02236926","ACYCLOVIR SODIUM INJECTION",""
"700062","ACYCLOVIR SODIUM INJECTION (acyclovir (acyclovir sodium) 1000 mg per 20 mL solution for injection vial) FRESENIUS KABI CANADA LTD","02236926","ACYCLOVIR SODIUM INJECTION",""
"02242463","MYLAN-ACYCLOVIR (acyclovir 400 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02242463","MYLAN-ACYCLOVIR",""
"02242464","MYLAN-ACYCLOVIR (acyclovir 800 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02242464","MYLAN-ACYCLOVIR",""
"02242784","MYLAN-ACYCLOVIR (acyclovir 200 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02242784","MYLAN-ACYCLOVIR",""
"02285959","TEVA-ACYCLOVIR (acyclovir 200 mg oral tablet) TEVA CANADA LIMITED","02285959","TEVA-ACYCLOVIR",""
"02285967","TEVA-ACYCLOVIR (acyclovir 400 mg oral tablet) TEVA CANADA LIMITED","02285967","TEVA-ACYCLOVIR",""
"02285975","TEVA-ACYCLOVIR (acyclovir 800 mg oral tablet) TEVA CANADA LIMITED","02285975","TEVA-ACYCLOVIR",""
"02286564","ACYCLOVIR (acyclovir 400 mg oral tablet) SANIS HEALTH INC","02286564","ACYCLOVIR",""
"02078651","RATIO-ACYCLOVIR (acyclovir 800 mg oral tablet) TEVA CANADA LIMITED","02078651","RATIO-ACYCLOVIR",""
"02231190","ACYCLOVIR SODIUM FOR INJECTION (acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection) NOVOPHARM LIMITED","02231190","ACYCLOVIR SODIUM FOR INJECTION",""
"00507407","DALMACOL (alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup) LABORATOIRE ATLAS INC","00507407","DALMACOL",""
"02230769","DALMACOL (alcohol anhydrous 0.25 mL per 5 mL and doxylamine succinate 6 mg per 5 mL and etafedrin hydrochloride 16.65 mg per 5 mL and hydrocodone bitartrate 1.65 mg per 5 mL and sodium citrate 200 mg per 5 mL syrup) LABORATOIRE RIVA INC","02230769","DALMACOL",""
"02245329","FOSAMAX (alendronic acid (alendronate sodium) 70 mg oral tablet) MERCK CANADA INC","02245329","FOSAMAX",""
"02247373","TEVA-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) TEVA CANADA LIMITED","02247373","TEVA-ALENDRONATE",""
"02248251","TEVA-ALENDRONATE (alendronic acid (alendronate sodium) 5 mg oral tablet) TEVA CANADA LIMITED","02248251","TEVA-ALENDRONATE",""
"02248727","APO-ALENDRONATE (alendronic acid (alendronate sodium) 5 mg oral tablet) APOTEX INC","02248727","APO-ALENDRONATE",""
"02248728","APO-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) APOTEX INC","02248728","APO-ALENDRONATE",""
"02248730","APO-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) APOTEX INC","02248730","APO-ALENDRONATE",""
"02258102","ACT ALENDRONATE (alendronic acid (alendronate sodium trihydrate) 40 mg oral tablet) ACTAVIS PHARMA COMPANY","02258102","ACT ALENDRONATE",""
"02258110","ACT ALENDRONATE (alendronic acid (alendronate sodium trihydrate) 70 mg oral tablet) ACTAVIS PHARMA COMPANY","02258110","ACT ALENDRONATE",""
"02261715","TEVA-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) TEVA CANADA LIMITED","02261715","TEVA-ALENDRONATE",""
"02270889","RIVA-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) LABORATOIRE RIVA INC","02270889","RIVA-ALENDRONATE",""
"02282763","DOM-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) DOMINION PHARMACAL","02282763","DOM-ALENDRONATE",""
"02284006","PMS-ALENDRONATE-FC (alendronic acid (alendronate sodium) 70 mg oral tablet) PHARMASCIENCE INC","02284006","PMS-ALENDRONATE-FC",""
"02286335","MYLAN-ALENDRONATE (alendronic acid (alendronate sodium trihydrate) 70 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02286335","MYLAN-ALENDRONATE",""
"02288087","SANDOZ ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) SANDOZ CANADA INCORPORATED","02288087","SANDOZ ALENDRONATE",""
"02288109","SANDOZ ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) SANDOZ CANADA INCORPORATED","02288109","SANDOZ ALENDRONATE",""
"02299712","ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) SIVEM PHARMACEUTICALS ULC","02299712","ALENDRONATE",""
"02303078","ALENDRONATE-70 (alendronic acid (alendronate sodium) 70 mg oral tablet) PRO DOC LIMITEE","02303078","ALENDRONATE-70",""
"02352966","ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) SANIS HEALTH INC","02352966","ALENDRONATE",""
"02381478","ACH-ALENDRONATE (alendronic acid (alendronate sodium) 5 mg oral tablet) ACCORD HEALTHCARE INC","02381478","ACH-ALENDRONATE",""
"02381486","ACH-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) ACCORD HEALTHCARE INC","02381486","ACH-ALENDRONATE",""
"02381494","ACH-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) ACCORD HEALTHCARE INC","02381494","ACH-ALENDRONATE",""
"02384728","RAN-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02384728","RAN-ALENDRONATE",""
"02385031","JAMP-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) JAMP PHARMA CORPORATION","02385031","JAMP-ALENDRONATE",""
"02388545","AURO-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) AURO PHARMA INC","02388545","AURO-ALENDRONATE",""
"02388553","AURO-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) AURO PHARMA INC","02388553","AURO-ALENDRONATE",""
"02394863","MINT-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) MINT PHARMACEUTICALS INC","02394863","MINT-ALENDRONATE",""
"02394871","MINT-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) MINT PHARMACEUTICALS INC","02394871","MINT-ALENDRONATE",""
"02428725","VAN-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) VANC PHARMACEUTICALS INC","02428725","VAN-ALENDRONATE",""
"02428733","VAN-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) VANC PHARMACEUTICALS INC","02428733","VAN-ALENDRONATE",""
"02270129","MYLAN-ALENDRONATE (alendronic acid (alendronate sodium trihydrate) 10 mg oral tablet) MYLAN PHARMACEUTICALS ULC","02270129","MYLAN-ALENDRONATE",""
"02401126","ACCEL-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) ACCEL PHARMA INC","02401126","ACCEL-ALENDRONATE",""
"02401134","ACCEL-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) ACCEL PHARMA INC","02401134","ACCEL-ALENDRONATE",""
"02273179","PMS-ALENDRONATE (alendronic acid (alendronate sodium) 70 mg oral tablet) PHARMASCIENCE INC","02273179","PMS-ALENDRONATE",""
"02384698","RAN-ALENDRONATE (alendronic acid (alendronate sodium) 5 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02384698","RAN-ALENDRONATE",""
"02384701","RAN-ALENDRONATE (alendronic acid (alendronate sodium) 10 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02384701","RAN-ALENDRONATE",""
"02428717","VAN-ALENDRONATE (alendronic acid (alendronate sodium) 5 mg oral tablet) VANC PHARMACEUTICALS INC","02428717","VAN-ALENDRONATE",""
"02276429","FOSAVANCE (alendronic acid (alendronate sodium trihydrate) 70 mg and vitamin D3 (cholecalciferol) 2800 unit oral tablet) MERCK CANADA INC","02276429","FOSAVANCE",""
"02314940","FOSAVANCE (alendronic acid (alendronate sodium trihydrate) 70 mg and vitamin D3 (cholecalciferol) 5600 unit oral tablet) MERCK CANADA INC","02314940","FOSAVANCE",""
"02403633","TEVA-ALENDRONATE/CHOLECALCIFEROL (alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 2800 unit oral tablet) TEVA CANADA LIMITED","02403633","TEVA-ALENDRONATE/CHOLECALCIFEROL",""
"02403641","TEVA-ALENDRONATE/CHOLECALCIFEROL (alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 5600 unit oral tablet) TEVA CANADA LIMITED","02403641","TEVA-ALENDRONATE/CHOLECALCIFEROL",""
"02429160","SANDOZ ALENDRONATE/CHOLECALCIFEROL (alendronic acid (alendronate sodium trihydrate) 70 mg and vitamin D3 (cholecalciferol) 5600 unit oral tablet) SANDOZ CANADA INCORPORATED","02429160","SANDOZ ALENDRONATE/CHOLECALCIFEROL",""
"02454467","APO-ALENDRONATE/VITAMIN D3 (alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 2800 unit oral tablet) APOTEX INC","02454467","APO-ALENDRONATE/VITAMIN D3",""
"02454475","APO-ALENDRONATE/VITAMIN D3 (alendronic acid (alendronate sodium) 70 mg and vitamin D3 (cholecalciferol) 5600 unit oral tablet) APOTEX INC","02454475","APO-ALENDRONATE/VITAMIN D3",""
"02245565","XATRAL (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) SANOFI-AVENTIS CANADA INC","02245565","XATRAL",""
"02304678","SANDOZ ALFUZOSIN (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) SANDOZ CANADA INCORPORATED","02304678","SANDOZ ALFUZOSIN",""
"02314282","TEVA-ALFUZOSIN PR (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) TEVA CANADA LIMITED","02314282","TEVA-ALFUZOSIN PR",""
"02315866","APO-ALFUZOSIN (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) APOTEX INC","02315866","APO-ALFUZOSIN",""
"02414759","ALFUZOSIN (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) PRO DOC LIMITEE","02414759","ALFUZOSIN",""
"02443201","AURO-ALFUZOSIN (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) AURO PHARMA INC","02443201","AURO-ALFUZOSIN",""
"02447576","ALFUZOSIN (alfuzosin hydrochloride 10 mg prolonged-release oral tablet) SIVEM PHARMACEUTICALS ULC","02447576","ALFUZOSIN",""
"00402818","ZYLOPRIM (allopurinol 100 mg oral tablet) AA PHARMA INC","00402818","ZYLOPRIM",""
"00402796","ZYLOPRIM (allopurinol 300 mg oral tablet) AA PHARMA INC","00402796","ZYLOPRIM",""
"00479799","ZYLOPRIM (allopurinol 200 mg oral tablet) AA PHARMA INC","00479799","ZYLOPRIM",""
"00555681","ALLOPURINOL-100 (allopurinol 100 mg oral tablet) PRO DOC LIMITEE","00555681","ALLOPURINOL-100",""
"00555703","ALLOPURINOL-300 (allopurinol 300 mg oral tablet) PRO DOC LIMITEE","00555703","ALLOPURINOL-300",""
"02130157","ALLOPURINOL-200 (allopurinol 200 mg oral tablet) PRO DOC LIMITEE","02130157","ALLOPURINOL-200",""
"02396327","MAR-ALLOPURINOL (allopurinol 100 mg oral tablet) MARCAN PHARMACEUTICALS INC","02396327","MAR-ALLOPURINOL",""
