Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
ACEBROCHOL!ACEROLA!ALFALFA!ASCORBIC ACID!BETACAROTENE!BIOTIN!BONE!CALCIUM!CHROMIUM!CITROFLAVONOIDS!COPPER!CYANOCOBALAMIN!CYSTEINE!ERGOCALCIFEROL!FOLIC ACID!GLUTAMIC ACID!INOSITOL!IODINE!IRON  METAL!L-METHIONINE!LECITHIN!LYSINE!MAGNESIUM!NIACINAMIDE!NUCLEI, 244 ,0.00%,100.00%,,,,
ACEBROCHOL!ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!CITROFLAVONOIDS!COPPER!CYANOCOBALAMIN!CYSTEINE!ERGOCALCIFEROL!FOLIC ACID!GLUTAMIC ACID!INOSITOL!IODINE!IRON  METAL!L-METHIONINE!LECITHIN!LYSINE!MAGNESIUM!NIACINAMIDE!NUCLEIC ACID!PANTOTHENIC AC, -   ,0.00%,100.00%,,,,
ACEBUTOLOL," 579,141 ",0.09%,88.02%,IN,,,
ACENOCOUMAROL," 12,334 ",0.00%,99.74%,,,,
ACEROLA!ALFALFA!ASCORBIC ACID!BETACAROTENE!BIOTIN!BONE!CALCIUM!CITROFLAVONOIDS!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!HESPERIDIN!INOSITOL!IODINE!IRON  METAL!KELP!LYSINE!MAGNESIUM!NIACINAMIDE!NICOTINIC ACID!NUCLEIC ACID!P-AMINOBENZOIC ACID!PANTOTH," 1,197 ",0.00%,99.97%,,,,
ACEROLA!ALFALFA!ASCORBIC ACID!BIOTIN!BONE!CALCIUM!CHOLINE!CITROFLAVONOIDS!COPPER!CYANOCOBALAMIN!CYSTEINE!ERGOCALCIFEROL!FOLIC ACID!HESPERIDIN!INOSITOL!IODINE!IRON  METAL!KELP!LYSINE!MAGNESIUM!METHIONINE!NIACINAMIDE!NICOTINIC ACID!NUCLEIC ACID!P-AMINOBENZO," 1,637 ",0.00%,99.96%,,,,
ACETAMINOPHEN," 5,741,467 ",0.90%,34.61%,IN,,,
ACETAMINOPHEN!ASCORBIC ACID!DIPHENHYDRAMINE!PHENIRAMINE!PHENYLEPHRINE, -   ,0.00%,100.00%,,,,
ACETAMINOPHEN!ASCORBIC ACID!PHENIRAMINE!PHENYLEPHRINE, 41 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CAFFEINE, 776 ,0.00%,99.98%,,,,
ACETAMINOPHEN!CAFFEINE!CHLORPHENIRAMINE!PHENYLEPHRINE, 129 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CAFFEINE!CODEINE," 4,968,014 ",0.78%,38.80%,IN,,,
ACETAMINOPHEN!CHLORPHENIRAMINE, 436 ,0.00%,99.99%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!CODEINE!PSEUDOEPHEDRINE, -   ,0.00%,100.00%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!DEXTROMETHORPHAN, 321 ,0.00%,99.99%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!DEXTROMETHORPHAN!DIPHENHYDRAMINE!PSEUDOEPHEDRINE, 24 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!DEXTROMETHORPHAN!GUAIFENESIN!PSEUDOEPHEDRINE, 67 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!DEXTROMETHORPHAN!PHENYLEPHRINE, 242 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!DEXTROMETHORPHAN!PSEUDOEPHEDRINE, 262 ,0.00%,99.99%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!PHENYLEPHRINE, 223 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!PHENYLPROPANOLAMINE, 1 ,0.00%,100.00%,,,,
ACETAMINOPHEN!CHLORPHENIRAMINE!PSEUDOEPHEDRINE, 885 ,0.00%,99.98%,,,,
ACETAMINOPHEN!CHLORZOXAZONE, 441 ,0.00%,99.99%,,,,
ACETAMINOPHEN!CHLORZOXAZONE!CODEINE, 277 ,0.00%,99.99%,,,,
ACETAMINOPHEN!CODEINE," 810,906 ",0.13%,83.02%,IN QA,,,
ACETAMINOPHEN!CODEINE!DOXYLAMINE," 15,934 ",0.00%,99.65%,,,,
ACETAMINOPHEN!CODEINE!METHOCARBAMOL," 4,552 ",0.00%,99.89%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN, 82 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!DIPHENHYDRAMINE, 36 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!DIPHENHYDRAMINE!GUAIFENESIN!PSEUDOEPHEDRINE, 31 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!DOXYLAMINE, 73 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!DOXYLAMINE!PHENYLEPHRINE, 4 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!DOXYLAMINE!PSEUDOEPHEDRINE, 71 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!GUAIFENESIN!PSEUDOEPHEDRINE, 496 ,0.00%,99.99%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!PHENYLEPHRINE, 478 ,0.00%,99.99%,,,,
ACETAMINOPHEN!DEXTROMETHORPHAN!PSEUDOEPHEDRINE, 148 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DIPHENHYDRAMINE!MENTHOL, 1 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DIPHENHYDRAMINE!PHENYLEPHRINE, 8 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DIPHENHYDRAMINE!PSEUDOEPHEDRINE, 174 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DOXYLAMINE!PHENYLEPHRINE, 10 ,0.00%,100.00%,,,,
ACETAMINOPHEN!DOXYLAMINE!PSEUDOEPHEDRINE, 90 ,0.00%,100.00%,,,,
ACETAMINOPHEN!GUAIFENESIN!MENTHOL, 97 ,0.00%,100.00%,,,,
ACETAMINOPHEN!MENTHOL, 317 ,0.00%,99.99%,,,,
ACETAMINOPHEN!METHOCARBAMOL," 20,898 ",0.00%,99.52%,,,,
ACETAMINOPHEN!OXYCODONE," 2,971,751 ",0.47%,55.14%,IN,,,
ACETAMINOPHEN!PAMABROM!PYRILAMINE, 106 ,0.00%,100.00%,,,,
ACETAMINOPHEN!PHENIRAMINE!PHENYLEPHRINE, 28 ,0.00%,100.00%,,,,
ACETAMINOPHEN!PHENYLEPHRINE, 914 ,0.00%,99.98%,,,,
ACETAMINOPHEN!PHENYLTOLOXAMINE, -   ,0.00%,100.00%,,,,
ACETAMINOPHEN!PSEUDOEPHEDRINE," 1,890 ",0.00%,99.96%,,,,
ACETAMINOPHEN!PSEUDOEPHEDRINE!TRIPROLIDINE, -   ,0.00%,100.00%,,,,
ACETAMINOPHEN!TRAMADOL," 1,104,376 ",0.17%,78.54%,IN,,,
ACETAZOLAMIDE," 113,814 ",0.02%,97.01%,,,,
ACETIC ACID!BENZETHONIUM!PROPYLENE GLYCOL, 1 ,0.00%,100.00%,,,,
ACETIC ACID!CAMPHOR, -   ,0.00%,100.00%,,,,
ACETOHEXAMIDE, -   ,0.00%,100.00%,NEXT,,,
ACETYLCHOLINE HYDROXIDE, 19 ,0.00%,100.00%,,,,
ACETYLCYSTEINE," 22,939 ",0.00%,99.48%,,,,
ACETYLSALICYLIC ACID," 13,910,433 ",2.18%,13.01%,IN QA,,,
ACETYLSALICYLIC ACID!BUTALBITAL!CAFFEINE," 89,757 ",0.01%,97.83%,,,,
ACETYLSALICYLIC ACID!BUTALBITAL!CAFFEINE!CODEINE," 109,837 ",0.02%,97.17%,,,,
ACETYLSALICYLIC ACID!CAFFEINE, 181 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!CAFFEINE!CODEINE," 20,393 ",0.00%,99.53%,,,,
ACETYLSALICYLIC ACID!CAFFEINE!CODEINE!MEPROBAMATE, 66 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!CAFFEINE!ORPHENADRINE, 4 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!CALCIUM!MAGNESIUM, 228 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!CHLORPHENIRAMINE, 2 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!CITRIC ACID!SODIUM, 63 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!CODEINE!METHOCARBAMOL," 31,307 ",0.00%,99.29%,,,,
ACETYLSALICYLIC ACID!DIPYRIDAMOLE," 191,299 ",0.03%,95.17%,,,,
ACETYLSALICYLIC ACID!METHOCARBAMOL, 332 ,0.00%,99.99%,,,,
ACETYLSALICYLIC ACID!NIFEDIPINE, 21 ,0.00%,100.00%,,,,
ACETYLSALICYLIC ACID!OXYCODONE," 3,719 ",0.00%,99.92%,,,,
ACITRETIN," 44,379 ",0.01%,98.94%,,,,
ACLIDINIUM," 106,165 ",0.02%,97.28%,IN QA,,,
ACLIDINIUM!FORMOTEROL," 1,233 ",0.00%,99.97%,IN QA,,,
ACYCLOVIR," 392,178 ",0.06%,90.81%,IN,,,
ACYCLOVIR!HYDROCORTISONE," 37,399 ",0.01%,99.10%,,,,
ADALIMUMAB," 311,349 ",0.05%,92.65%,NEXT,,,
ADAPALENE," 68,723 ",0.01%,98.29%,,,,
ADAPALENE!BENZOYL PEROXIDE," 148,776 ",0.02%,96.32%,,,,
ADEFOVIR DIPIVOXIL," 3,206 ",0.00%,99.93%,,,,
ADENOSINE, 362 ,0.00%,99.99%,,,,
ADRENAL CORTEX!ASCORBIC ACID!BRAIN!ORCHITIC GLAND, 565 ,0.00%,99.99%,,,,
AFATINIB, 671 ,0.00%,99.99%,,,,
AFLIBERCEPT," 38,360 ",0.01%,99.06%,,,,
AGALSIDASE ALFA, -   ,0.00%,100.00%,,,,
AGALSIDASE BETA, 736 ,0.00%,99.98%,,,,
AGAR!GLYCEROL!PETROLATUM, 330 ,0.00%,99.99%,,,,
AGNUS CASTUS!CALCIUM!CIMICIFUGA!SOYA, -   ,0.00%,100.00%,,,,
ALBUMIN, 6 ,0.00%,100.00%,,,,
ALDESLEUKIN, -   ,0.00%,100.00%,,,,
ALEFACEPT, -   ,0.00%,100.00%,,,,
ALEMTUZUMAB, 905 ,0.00%,99.98%,,,,
ALENDRONATE," 2,131,039 ",0.33%,64.17%,IN,,,
ALENDRONATE!CHOLECALCIFEROL," 616,339 ",0.10%,87.07%,IN,,,
ALFACALCIDOL," 284,923 ",0.04%,93.17%,NEXT,,,
ALFALFA," 7,813 ",0.00%,99.82%,,,,
ALFALFA!BIOTIN!BRAN!CALCIUM!CYANOCOBALAMIN!FOLIC ACID!KELP!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PARSLEY!POLLEN!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC," 1,623 ",0.00%,99.96%,,,,
ALFENTANIL, -   ,0.00%,100.00%,,,,
ALFUZOSIN," 604,518 ",0.09%,87.65%,IN,,,
ALGAE!ISPAGHULA!SPIRULINA, 30 ,0.00%,100.00%,,,,
ALGINIC ACID, 52 ,0.00%,100.00%,,,,
ALGINIC ACID!ALUMINUM, 589 ,0.00%,99.99%,,,,
ALGINIC ACID!MAGNESIUM," 29,671 ",0.00%,99.32%,,,,
ALGLUCOSIDASE ALFA, 810 ,0.00%,99.98%,,,,
ALISKIREN," 62,204 ",0.01%,98.50%,,,,
ALISKIREN!HYDROCHLOROTHIAZIDE," 1,948 ",0.00%,99.96%,,,,
ALITRETINOIN," 8,173 ",0.00%,99.82%,,,,
ALLANTOIN!BENZOCAINE, 32 ,0.00%,100.00%,,,,
ALLANTOIN!BORIC ACID!GLYCEROL!HAMAMELIS!SODIUM, 1 ,0.00%,100.00%,,,,
ALLANTOIN!BORIC ACID!HAMAMELIS!SALICYLIC ACID!SODIUM!ZINC, 13 ,0.00%,100.00%,,,,
ALLANTOIN!DIMETHICONE!GLYCEROL!PANTHENOL!VITAMIN E, 162 ,0.00%,100.00%,,,,
ALLANTOIN!PRAMOXINE, 6 ,0.00%,100.00%,,,,
ALLETHRIN!PIPERONYL BUTOXIDE, -   ,0.00%,100.00%,,,,
ALLOPURINOL," 3,011,722 ",0.47%,54.21%,IN,,,
ALMOTRIPTAN," 169,685 ",0.03%,95.75%,IN QA,,,
ALOGLIPTIN," 9,968 ",0.00%,99.79%,NEXT,,,
ALOGLIPTIN!METFORMIN, 657 ,0.00%,99.99%,,,,
ALOIN!BILE!CASCARA!PHENOLPHTHALEIN, 4 ,0.00%,100.00%,,,,
ALOIN!PHENOLPHTHALEIN, 267 ,0.00%,99.99%,,,,
ALPHA 1-PROTEINASE INHIBITOR," 2,445 ",0.00%,99.94%,,,,
ALPHA-GALACTOSIDASE," 3,715 ",0.00%,99.92%,,,,
ALPRAZOLAM," 1,038,902 ",0.16%,79.72%,IN,,,
ALPROSTADIL," 10,966 ",0.00%,99.76%,,,,
ALTEPLASE, 177 ,0.00%,100.00%,,,,
ALUMINUM," 2,352 ",0.00%,99.95%,,,,
ALUMINUM!BENZETHONIUM, 238 ,0.00%,100.00%,,,,
ALUMINUM!CALCIUM, -   ,0.00%,100.00%,,,,
ALUMINUM!ETHANOL," 2,676 ",0.00%,99.94%,,,,
ALUMINUM!MAGNESIUM," 17,074 ",0.00%,99.62%,,,,
ALUMINUM!MAGNESIUM!OXETHAZINE, 18 ,0.00%,100.00%,,,,
ALUMINUM!MAGNESIUM!SIMETHICONE," 9,704 ",0.00%,99.80%,,,,
ALUMINUM!METHYLPREDNISOLONE!NEOMYCIN!SULFUR," 8,920 ",0.00%,99.81%,,,,
ALUMINUM!METHYLPREDNISOLONE!SULFUR, 2 ,0.00%,100.00%,,,,
ALUMINUM!PHENYLBUTAZONE, -   ,0.00%,100.00%,,,,
AMANTADINE," 100,534 ",0.02%,97.61%,,,,
AMBRISENTAN," 1,386 ",0.00%,99.97%,IN,,,
AMBROSIA ARTEMISIFOLIA," 5,954 ",0.00%,99.86%,,,,
AMCINONIDE," 154,541 ",0.02%,96.11%,,,,
AMIKACIN, 849 ,0.00%,99.98%,,,,
AMILORIDE," 75,476 ",0.01%,98.14%,IN,,,
AMILORIDE!HYDROCHLOROTHIAZIDE," 191,151 ",0.03%,95.20%,IN,,,
AMINOACIDS!ASCORBIC ACID!BETACAROTENE!BIOTIN!CHOLINE!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!METHIONINE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E, -   ,0.00%,100.00%,,,,
AMINOACIDS!ASCORBIC ACID!BIOTIN!CHOLINE!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!METHIONINE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 224 ,0.00%,100.00%,,,,
AMINOACIDS!ASCORBIC ACID!CALCIUM!ERGOCALCIFEROL!MAGNESIUM, -   ,0.00%,100.00%,,,,
AMINOACIDS!IRON  METAL, 21 ,0.00%,100.00%,,,,
AMINOACIDS!MAGNESIUM, -   ,0.00%,100.00%,,,,
AMINOACIDS!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!ZINC, -   ,0.00%,100.00%,,,,
AMINOCAPROIC ACID, -   ,0.00%,100.00%,,,,
AMINOLEVULINIC ACID," 1,066 ",0.00%,99.98%,,,,
AMINOPHYLLINE, 115 ,0.00%,100.00%,IN QA,,,
AMIODARONE," 620,696 ",0.10%,86.59%,IN,,,
AMITRIPTYLINE," 3,263,215 ",0.51%,50.78%,IN,,,
AMITRIPTYLINE!PERPHENAZINE, -   ,0.00%,100.00%,,,,
AMLODIPINE," 12,863,316 ",2.01%,17.07%,IN,,,
AMLODIPINE!ATORVASTATIN," 291,430 ",0.05%,93.12%,IN,,,
AMLODIPINE!PERINDOPRIL, -   ,0.00%,100.00%,IN,,,
AMLODIPINE!TELMISARTAN," 266,658 ",0.04%,93.73%,QA ISSUES,,,
AMMONIA!CAMPHOR!TURPENTINE OIL, 113 ,0.00%,100.00%,,,,
AMMONIUM, 35 ,0.00%,100.00%,,,,
AMMONIUM!BLOOD ROOT!POPLAR!SENEGA!WHITE PINE!WILD CHERRY, -   ,0.00%,100.00%,,,,
AMMONIUM!CODEINE," 28,791 ",0.00%,99.36%,,,,
AMMONIUM!CODEINE!DIPHENHYDRAMINE," 94,509 ",0.01%,97.76%,,,,
AMMONIUM!CODEINE!GUAIFENESIN, -   ,0.00%,100.00%,,,,
AMMONIUM!DEXTROMETHORPHAN!DIPHENHYDRAMINE, 14 ,0.00%,100.00%,,,,
AMMONIUM!DIPHENHYDRAMINE, 7 ,0.00%,100.00%,,,,
AMMONIUM!GUAIFENESIN!PHENYLEPHRINE, -   ,0.00%,100.00%,,,,
AMMONIUM!HYDROCODONE!PHENYLEPHRINE!PYRILAMINE, 5 ,0.00%,100.00%,,,,
AMMONIUM!LANOLIN!PETROLATUM, 3 ,0.00%,100.00%,,,,
AMOBARBITAL, -   ,0.00%,100.00%,,,,
AMOXAPINE, -   ,0.00%,100.00%,,,,
AMOXICILLIN," 5,800,217 ",0.91%,33.71%,IN,Rev Bur,low,
AMOXICILLIN!CLARITHROMYCIN!LANSOPRAZOLE," 79,441 ",0.01%,98.01%,,,,
AMOXICILLIN!CLAVULANIC ACID," 1,208,699 ",0.19%,76.73%,IN,Rev Bur,low,
AMPHETAMINE!DEXTROAMPHETAMINE," 414,629 ",0.06%,90.62%,IN,,,
AMPHOTERICIN B, 56 ,0.00%,100.00%,,,,
AMPICILLIN," 17,019 ",0.00%,99.62%,IN QA,,,
AMYLASE!ASCORBIC ACID!BIOTIN!CELLULASE!CHOLINE!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!L-METHIONINE!LIPASE!NIACINAMIDE!PANTOTHENIC ACID!PROTEASE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
AMYLASE!CELLULASE!INVERTASE!LACTASE!LIPASE!MALTASE, 106 ,0.00%,100.00%,,,,
AMYLASE!CELLULASE!LACTASE!LIPASE!MALTASE, 41 ,0.00%,100.00%,,,,
AMYLASE!LIPASE!PROTEASE," 101,918 ",0.02%,97.54%,,,,
AMYLASE!LIPASE!PROTEASE PLANT ORIGIN," 71,734 ",0.01%,98.25%,,,,
ANAGRELIDE," 9,051 ",0.00%,99.81%,,,,
ANAKINRA," 2,043 ",0.00%,99.95%,,,,
ANASTROZOLE," 241,201 ",0.04%,94.32%,NEXT,,,
ANETHOLE TRITHIONE," 15,718 ",0.00%,99.65%,,,,
ANETHOLE!EUCALYPTOL!MENTHOL, 2 ,0.00%,100.00%,,,,
ANETHOLE!MENTHOL, 588 ,0.00%,99.99%,,,,
ANIDULAFUNGIN, -   ,0.00%,100.00%,,,,
ANISE!DILL!FENNEL!SODIUM, -   ,0.00%,100.00%,,,,
ANTAZOLINE!NAPHAZOLINE, 28 ,0.00%,100.00%,,,,
ANTAZOLINE!NAPHAZOLINE!ZINC, -   ,0.00%,100.00%,,,,
ANTAZOLINE!XYLOMETAZOLINE, -   ,0.00%,100.00%,,,,
ANTHRALIN, 7 ,0.00%,100.00%,,,,
ANTIDIARRHEAL," 215,453 ",0.03%,94.86%,Not in scope,,,
ANTIPOLIOMYELITIC VACCINE, 821 ,0.00%,99.98%,,,,
ANTIPOLIOMYELITIC VACCINE!DIPHTHERIA TOXOID!HAEMOPHILUS INFLU B!TETANUS ANTITOXIN, 28 ,0.00%,100.00%,,,,
ANTIPOLIOMYELITIC VACCINE!DIPHTHERIA TOXOID!TETANUS PURIFIED TOXOID, 1 ,0.00%,100.00%,,,,
ANTIPYRINE!BENZOCAINE," 2,647 ",0.00%,99.94%,,,,
ANTI-TETANUS IMMUNOGLOBULIN, -   ,0.00%,100.00%,,,,
APIXABAN," 1,031,910 ",0.16%,79.88%,IN,,,
APRACLONIDINE," 5,167 ",0.00%,99.88%,,,,
APREMILAST," 4,551 ",0.00%,99.89%,,,,
APREPITANT," 55,123 ",0.01%,98.65%,,,,
ARGATROBAN, 75 ,0.00%,100.00%,,,,
ARIPIPRAZOLE," 1,717,939 ",0.27%,70.36%,IN,,,
ARNICA, 115 ,0.00%,100.00%,,,,
ARNICA!CHAMOMILLE!HAMAMELIS!ZINC, 66 ,0.00%,100.00%,,,,
ARTICAINE, 6 ,0.00%,100.00%,,,,
ARTICHOKE!BILE!MAGNESIUM!OLEIC ACID, 580 ,0.00%,99.99%,,,,
ASCORBIC ACID," 164,417 ",0.03%,95.91%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!, 12 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!LACTOSE!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!T," 74,163 ",0.01%,98.19%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!LACTOSE!MAGNESIUM!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!TI," 104,882 ",0.02%,97.33%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!TIN!VANADI, 29 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!METHIONINE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMIN, 2 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!, 314 ,0.00%,99.99%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IODINE!L-METHIONINE!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM, 10 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAMIN A!VITAMIN , 112 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAMIN A!VITAMIN, 9 ,0.00%,100.00%,,,,
