"mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_product_name","Health_Canada_description"
"700068","DIASTAT (diazepam 5 mg per 1 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","2238162","DIASTAT",""
"700069","DIASTAT (diazepam 7.5 mg per 1.5 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","2238162","DIASTAT",""
"700070","DIASTAT (diazepam 15 mg per 3 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","2238162","DIASTAT",""
"700071","DIASTAT (diazepam 20 mg per 4 mL rectal gel tube) VALEANT PHARMACEUTICALS NORTH AMERICA LLC","2238162","DIASTAT",""
"700058","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) TEVA CANADA LIMITED","2230274","DILTIAZEM HYDROCHLORIDE INJECTION","PRESERVATIVE-FREE. SINGLE USE VIALS (5ML AND 10ML)"
"700059","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) TEVA CANADA LIMITED","2230274","DILTIAZEM HYDROCHLORIDE INJECTION","PRESERVATIVE-FREE. SINGLE USE VIALS (5ML AND 10ML)"
"700086","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 25 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","2244728","DILTIAZEM HYDROCHLORIDE INJECTION",""
"700087","DILTIAZEM HYDROCHLORIDE INJECTION (diltiazem hydrochloride 50 mg per 10 mL solution for injection vial) SANDOZ CANADA INCORPORATED","2244728","DILTIAZEM HYDROCHLORIDE INJECTION",""
"700024","HALOPERIDOL LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","2130300","HALOPERIDOL LA",""
"700025","HALOPERIDOL LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED","2130300","HALOPERIDOL LA",""
"700123","HALOPERIDOL INJECTION, USP (haloperidol 5 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD","2406411","HALOPERIDOL INJECTION, USP","1ML & 10 ML MULTIDOSE VIALS"
"700124","HALOPERIDOL INJECTION, USP (haloperidol 50 mg per 10 mL solution for injection vial) FRESENIUS KABI CANADA LTD","2406411","HALOPERIDOL INJECTION, USP","1ML & 10 ML MULTIDOSE VIALS"
"700167","PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection vial) PHARMASCIENCE INC","2230708","PMS-HALOPERIDOL-LA",""
"700168","PMS-HALOPERIDOL-LA (haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial) PHARMASCIENCE INC","2230708","PMS-HALOPERIDOL-LA",""
"700169","CALDOLOR (ibuprofen 400 mg per 4 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC","2376857","CALDOLOR","I.V INFUSION ONLY. 4ML & 8ML SINGLE DOSE VIALS."
"700170","CALDOLOR (ibuprofen 800 mg per 8 mL solution for injection vial) ALVEDA PHARMACEUTICALS INC","2376857","CALDOLOR","I.V INFUSION ONLY. 4ML & 8ML SINGLE DOSE VIALS."
"700088","KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 30 mg per 1 mL solution for injection vial) FRESENIUS KABI CANADA LTD","2244947","KETOROLAC TROMETHAMINE INJECTION, USP",""
"700089","KETOROLAC TROMETHAMINE INJECTION, USP (ketorolac tromethamine 60 mg per 2 mL solution for injection vial) FRESENIUS KABI CANADA LTD","2244947","KETOROLAC TROMETHAMINE INJECTION, USP",""
"700015","METRONIDAZOLE 5MG/ML INJECTION (metronidazole 500 mg per 100 mL solution for injection bag) BAXTER CORPORATION","870420","METRONIDAZOLE 5MG/ML INJECTION",""
"700016","METRONIDAZOLE 5MG/ML INJECTION (metronidazole 1500 mg per 300 mL solution for injection bag) BAXTER CORPORATION","870420","METRONIDAZOLE 5MG/ML INJECTION",""
"700013","PHENYTOIN SODIUM INJECTION USP (phenytoin sodium 100 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","780626","PHENYTOIN SODIUM INJECTION USP",""
"700014","PHENYTOIN SODIUM INJECTION USP (phenytoin sodium 250 mg per 5 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","780626","PHENYTOIN SODIUM INJECTION USP",""
"700131","PHENYTOIN SODIUM INJECTION, USP (phenytoin sodium 100 mg per 2 mL solution for injection vial) STERIMAX INC","2431378","PHENYTOIN SODIUM INJECTION, USP","2ML & 5ML SINGLE USE VIALS"
"700132","PHENYTOIN SODIUM INJECTION, USP (phenytoin sodium 250 mg per 5 mL solution for injection vial) STERIMAX INC","2431378","PHENYTOIN SODIUM INJECTION, USP","2ML & 5ML SINGLE USE VIALS"
"700150","PHENYTOIN SODIUM INJ 50MG/ML USP (phenytoin sodium 100 mg per 2 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","497304","PHENYTOIN SODIUM INJ 50MG/ML USP",""
"700151","PHENYTOIN SODIUM INJ 50MG/ML USP (phenytoin sodium 250 mg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION","497304","PHENYTOIN SODIUM INJ 50MG/ML USP",""
"700157","TREMYTOINE INJ 50MG/ML (phenytoin sodium 100 mg per 2 mL solution for injection vial) OMEGA LABORATORIES LTD","498335","TREMYTOINE INJ 50MG/ML",""
"700158","TREMYTOINE INJ 50MG/ML (phenytoin sodium 250 mg per 5 mL solution for injection vial) OMEGA LABORATORIES LTD","498335","TREMYTOINE INJ 50MG/ML",""
"700022","KENALOG-40 INJECTION 40MG/ML (triamcinolone acetonide 40 mg per 1 mL suspension for injection vial) BRISTOL-MYERS SQUIBB CANADA","1999869","KENALOG-40 INJECTION 40MG/ML",""
"700023","KENALOG-40 INJECTION 40MG/ML (triamcinolone acetonide 200 mg per 5 mL suspension for injection vial) BRISTOL-MYERS SQUIBB CANADA","1999869","KENALOG-40 INJECTION 40MG/ML",""
