"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","calculation","V6","V7","V8"
63983,"vial",20,"mL","Y",NA,2240434,"FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED"
63983,"vial",50,"mL","Y",NA,2240434,"FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED"
86987,"ampoule",2,"mL","Y",NA,2384124,"FENTANYL CITRATE INJECTION SDZ SANDOZ CANADA INCORPORATED"
86987,"ampoule",10,"mL","Y",NA,2384124,"FENTANYL CITRATE INJECTION SDZ SANDOZ CANADA INCORPORATED"
87103,"ampoule",2,"mL","Y",NA,2385406,"FENTANYL CITRATE INJECTION USP ALVEDA PHARMACEUTICALS INC"
87103,"ampoule",10,"mL","Y",NA,2385406,"FENTANYL CITRATE INJECTION USP ALVEDA PHARMACEUTICALS INC"
12218,"vial",25,"mL","Y",NA,401633,"FUROSEMIDE SPECIAL SANDOZ CANADA INCORPORATED"
4431,"ampoule",2,"mL","Y",NA,527033,"FUROSEMIDE INJ USP SANDOZ CANADA INCORPORATED"
4431,"ampoule",4,"mL","Y",NA,527033,"FUROSEMIDE INJ USP SANDOZ CANADA INCORPORATED"
4910,"ampoule",2,"mL","Y",NA,565040,"FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
4910,"ampoule",4,"mL","Y",NA,565040,"FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
4910,"syringe",2,"mL","Y",NA,565040,"FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
4910,"syringe",4,"mL","Y",NA,565040,"FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
84533,"vial",2,"mL","Y",NA,2360365,"FUROSEMIDE INJECTION OMEGA LABORATORIES LTD"
84533,"vial",4,"mL","Y",NA,2360365,"FUROSEMIDE INJECTION OMEGA LABORATORIES LTD"
84539,"vial",25,"mL","N",NA,2360446,"FUROSEMIDE SPECIAL INJECTION OMEGA LABORATORIES LTD"
86837,"ampoule",2,"mL","Y",NA,2382539,"FUROSEMIDE INJECTION SDZ SANDOZ CANADA INCORPORATED"
86837,"ampoule",4,"mL","Y",NA,2382539,"FUROSEMIDE INJECTION SDZ SANDOZ CANADA INCORPORATED"
86984,"ampoule",2,"mL","Y",NA,2384094,"FUROSEMIDE INJECTION USP TELIGENT OU"
16902,"ampoule",1,"mL","Y",NA,2130300,"HALOPERIDOL LA SANDOZ CANADA INCORPORATED"
16902,"vial",5,"mL","Y",NA,2130300,"HALOPERIDOL LA SANDOZ CANADA INCORPORATED"
49967,"vial",1,"mL","Y",NA,2230708,"PMS-HALOPERIDOL-LA PHARMASCIENCE INC"
49967,"vial",5,"mL","Y",NA,2230708,"PMS-HALOPERIDOL-LA PHARMASCIENCE INC"
16901,"vial",5,"mL","Y",NA,2130297,"HALOPERIDOL LA SANDOZ CANADA INCORPORATED"
49965,"vial",5,"mL","Y",NA,2230707,"PMS-HALOPERIDOL-LA PHARMASCIENCE INC"
10026,"ampoule",1,"mL","Y",NA,808652,"HALOPERIDOL INJ 5MG/ML USP SANDOZ CANADA INCORPORATED"
85088,"vial",1,"mL","Y",NA,2366010,"HALOPERIDOL INJECTION OMEGA LABORATORIES LTD"
89112,"vial",1,"mL","Y",NA,2406411,"HALOPERIDOL INJECTION, USP FRESENIUS KABI CANADA LTD"
89112,"vial",10,"mL","Y",NA,2406411,"HALOPERIDOL INJECTION, USP FRESENIUS KABI CANADA LTD"
5936,"vial",1,"mL","Y",NA,622133,"DILAUDID HP PURDUE PHARMA"
5936,"vial",5,"mL","Y",NA,622133,"DILAUDID HP PURDUE PHARMA"
5936,"vial",50,"mL","N",NA,622133,"DILAUDID HP PURDUE PHARMA"
18323,"vial",1,"mL","Y",NA,2145928,"HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED"
18323,"vial",5,"mL","Y",NA,2145928,"HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED"
18323,"vial",10,"mL","Y",NA,2145928,"HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED"
18323,"vial",50,"mL","Y",NA,2145928,"HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED"
86845,"vial",1,"mL","Y",NA,2382636,"HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION"
86845,"vial",5,"mL","Y",NA,2382636,"HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION"
86845,"vial",50,"mL","N",NA,2382636,"HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION"
94804,"ampoule",1,"mL","Y",NA,2460610,"HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 STERIMAX INC"
94804,"ampoule",10,"mL","Y",NA,2460610,"HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 STERIMAX INC"
68787,"vial",10,"mL","Y",NA,2244797,"HYDROMORPHONE HP FORTE INJECTION SANDOZ CANADA INCORPORATED"
5937,"ampoule",1,"mL","Y",NA,627100,"DILAUDID PURDUE PHARMA"
18315,"ampoule",1,"mL","Y",NA,2145901,"HYDROMORPHONE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED"
94803,"ampoule",1,"mL","Y",NA,2460602,"HYDROMORPHONE HYDROCHLORIDE INJECTION STERIMAX INC"
18324,"vial",1,"mL","Y",NA,2146126,"HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED"
18324,"vial",5,"mL","Y",NA,2146126,"HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED"
18324,"vial",10,"mL","Y",NA,2146126,"HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED"
18324,"vial",50,"mL","N",NA,2146126,"HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED"
44090,"ampoule",1,"mL","Y",NA,2162644,"TORADOL IM ATNAHS PHARMA UK LIMITED"
63447,"vial",1,"mL","Y",NA,2239944,"KETOROLAC TROMETHAMINE INJECTION USP SANDOZ CANADA INCORPORATED"
68945,"vial",1,"mL","Y",NA,2244947,"KETOROLAC TROMETHAMINE INJECTION, USP FRESENIUS KABI CANADA LTD"
68945,"vial",2,"mL","Y",NA,2244947,"KETOROLAC TROMETHAMINE INJECTION, USP FRESENIUS KABI CANADA LTD"
87600,"vial",1,"mL","Y",NA,2390582,"KETOROLAC TROMETHAMINE INJECTION, USP  HOSPIRA HEALTHCARE CORPORATION"
92801,"vial",1,"mL","Y",NA,2443376,"KETOROLAC TROMETHAMINE INJECTION, USP MDA INC."
92310,"vial",1,"mL","Y",NA,2438704,"LORAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED"
67176,"vial",1,"mL","Y",NA,2243278,"LORAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED"
87417,"vial",1,"mL","Y",NA,2388669,"LORAZEPAM INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
19667,"vial",1,"mL","Y",NA,585092,"DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML PFIZER CANADA INC"
80771,"vial",1,"mL","Y",NA,2322250,"MEDROXYPROGESTERONE ACETATE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED"
441,"vial",5,"mL","Y",NA,30848,"DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML PFIZER CANADA INC"
19409,"vial",2,"mL","Y",NA,2185431,"METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED"
19409,"vial",10,"mL","Y",NA,2185431,"METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED"
19409,"vial",30,"mL","Y",NA,2185431,"METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED"
67481,"vial",2,"mL","Y",NA,2243563,"METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD"
67481,"vial",10,"mL","Y",NA,2243563,"METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD"
67481,"vial",30,"mL","Y",NA,2243563,"METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD"
7357,"ampoule",5,"mL","Y",NA,590819,"LOPRESOR INJ 1.0MG/ML NOVARTIS PHARMACEUTICALS CANADA INC"
75326,"vial",5,"mL","Y",NA,2267853,"METOPROLOL TARTRATE INJECTION USP SANDOZ CANADA INCORPORATED"
7425,"bag",100,"mL","Y",NA,649074,"METRONIDAZOLE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
10871,"bag",100,"mL","Y",NA,870420,"METRONIDAZOLE 5MG/ML INJECTION BAXTER CORPORATION"
10871,"bag",300,"mL","Y",NA,870420,"METRONIDAZOLE 5MG/ML INJECTION BAXTER CORPORATION"
10705,"vial",10,"mL","Y",NA,614262,"NITROJECT INJ 1MG/ML [nitroglycerin 1 mg per mL solution for injection] OMEGA LABORATORIES LTD"
10706,"vial",10,"mL","Y",NA,778869,"NITROJECT INJ 5MG/ML [nitroglycerin 5 mg per mL solution for injection] OMEGA LABORATORIES LTD"
12697,"ampoule",2,"mL","Y",NA,497304,"PHENYTOIN SODIUM INJ 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
12697,"ampoule",5,"mL","Y",NA,497304,"PHENYTOIN SODIUM INJ 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
13063,"vial",2,"mL","Y",NA,498335,"TREMYTOINE INJ 50MG/ML OMEGA LABORATORIES LTD"
13063,"vial",5,"mL","Y",NA,498335,"TREMYTOINE INJ 50MG/ML OMEGA LABORATORIES LTD"
9398,"ampoule",2,"mL","Y",NA,780626,"PHENYTOIN SODIUM INJECTION USP SANDOZ CANADA INCORPORATED"
9398,"ampoule",5,"mL","Y",NA,780626,"PHENYTOIN SODIUM INJECTION USP SANDOZ CANADA INCORPORATED"
91579,"vial",2,"mL","Y",NA,2431378,"PHENYTOIN SODIUM INJECTION, USP STERIMAX INC"
91579,"vial",5,"mL","Y",NA,2431378,"PHENYTOIN SODIUM INJECTION, USP STERIMAX INC"
43094,"vial",2,"mL","Y",NA,2212366,"ZANTAC GLAXOSMITHKLINE INC"
74194,"vial",2,"mL","Y",NA,2256711,"RANITIDINE INJECTION USP SANDOZ CANADA INCORPORATED"
43104,"ampoule",5,"mL","Y",NA,2213451,"VENTOLIN I.V. INFUSION SOLUTION 5.0MG SALBUTAMOL IN 5ML (1000MCG/ML) GLAXOSMITHKLINE INC"
43078,"syringe",0.5,"mL","N",NA,2212188,"IMITREX INJECTION 12MG/ML GLAXOSMITHKLINE INC"
84675,"syringe",0.5,"mL","N",NA,2361698,"TARO-SUMATRIPTAN TARO PHARMACEUTICALS INC"
1398,"vial",10,"mL","Y",NA,30783,"DEPO-TESTOSTERONE INJ 100MG/ML PFIZER CANADA INC"
13410,"ampoule",2,"mL","Y",NA,1977601,"TESTOSTERONE CYPIONATE INJECTION, USP STERIMAX INC"
1275,"ampoule",5,"mL","Y",NA,29246,"DELATESTRYL VALEANT CANADA LP/VALEANT CANADA S.E.C."
15482,"vial",5,"mL","Y",NA,1999761,"KENALOG-10 INJECTION 10MG/ML BRISTOL-MYERS SQUIBB CANADA"
15481,"vial",1,"mL","Y",NA,1999869,"KENALOG-40 INJECTION 40MG/ML BRISTOL-MYERS SQUIBB CANADA"
15481,"vial",5,"mL","Y",NA,1999869,"KENALOG-40 INJECTION 40MG/ML BRISTOL-MYERS SQUIBB CANADA"
85366,"vial",1,"mL","Y",NA,2368676,"TRIESENCE NOVARTIS PHARMACEUTICALS CANADA INC"
17234,"vial",2,"mL","Y",NA,839299,"VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION"
17234,"vial",4,"mL","Y",NA,839299,"VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION"
17234,"ampoule",4,"mL","Y",NA,839299,"VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION"
18614,"vial",2,"mL","Y",NA,2166739,"VERAPAMIL HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED"
89326,"bag",50,"mL","Y",NA,2408511,"CLINDAMYCIN IV INFUSION 600MG/50ML MINIBAGS. SINGLE USE SANDOZ CANADA INCORPORATED"
1620,"vial",2,"mL","Y",NA,260436,"DALACIN C PHOSPHATE PFIZER CANADA INC"
1620,"vial",4,"mL","Y",NA,260436,"DALACIN C PHOSPHATE PFIZER CANADA INC"
1620,"vial",6,"mL","Y",NA,260436,"DALACIN C PHOSPHATE PFIZER CANADA INC"
1620,"vial",60,"mL","Y",NA,260436,"DALACIN C PHOSPHATE PFIZER CANADA INC"
18964,"vial",2,"mL","Y",NA,2139286,"CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD"
18964,"vial",4,"mL","Y",NA,2139286,"CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD"
18964,"vial",6,"mL","Y",NA,2139286,"CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD"
18964,"vial",60,"mL","Y",NA,2139286,"CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD"
87133,"vial",2,"mL","Y",NA,2385716,"CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED"
87133,"vial",4,"mL","Y",NA,2385716,"CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED"
87133,"vial",6,"mL","Y",NA,2385716,"CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED"
89327,"bag",50,"mL","Y",NA,2408538,"CLINDAMYCIN IV INFUSION 900MG/50ML MINIBAGS. SINGLE USE SANDOZ CANADA INCORPORATED"
940,"ampoule",1,"mL","Y",NA,155357,"ADRENALIN CHLORIDE SOL 1:1000 AMP ERFA CANADA 2012 INC"
940,"ampoule",30,"mL","Y",NA,155357,"ADRENALIN CHLORIDE SOL 1:1000 AMP ERFA CANADA 2012 INC"
8352,"syringe",10,"mL","Y",NA,710814,"EPINEPHRINE INJ 0.1MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
79244,"syringe",0.3,"mL","N",NA,2306743,"ANAPEN JUNIOR LINCOLN MEDICAL LIMITED"
79245,"syringe",0.3,"mL","N",NA,2306751,"ANAPEN LINCOLN MEDICAL LIMITED"
5970,"syringe",0.3,"mL","N",NA,578657,"EPIPEN JR MYLAN SPECIALTY LP"
91538,"syringe",0.3,"mL","N",NA,2430959,"TARO-EPINEPHRINE AUTO-INJECTOR TARO PHARMACEUTICALS INC"
9164,"ampoule",1,"mL","Y",NA,721891,"EPINEPHRINE INJ 1MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
3883,"syringe",0.3,"mL","N",NA,509558,"EPIPEN MYLAN SPECIALTY LP"
81063,"ampoule",1,"mL","Y",NA,2325225,"EPINEPHRINE INJECTION USP 1 MG/ML ALVEDA PHARMACEUTICALS INC"
91537,"syringe",0.3,"mL","Y",NA,2430940,"TARO-EPINEPHRINE AUTO-INJECTOR TARO PHARMACEUTICALS INC"
92016,"ampoule",1,"mL","Y",NA,2435810,"EPINEPHRINE INJECTION TELIGENT OU"
44261,"vial",2,"mL","Y",NA,2182947,"METHOTREXATE INJECTION USP 10 mg per mL solution for injection] HOSPIRA HEALTHCARE CORPORATION"
80550,"syringe",1,"mL","Y",NA,2320037,"METOJECT MEDEXUS INC"
80551,"syringe",1.5,"mL","N",NA,2320045,"METOJECT MEDEXUS INC"
80549,"syringe",0.75,"mL","N",NA,2320029,"METOJECT MEDEXUS INC"
94145,"syringe",0.35,"mL","N",NA,2454769,"METOJECT SUBCUTANEOUS MEDEXUS INC"
94163,"syringe",0.4,"mL","N",NA,2454866,"METOJECT SUBCUTANEOUS MEDEXUS INC"
94146,"syringe",0.45,"mL","N",NA,2454777,"METOJECT SUBCUTANEOUS MEDEXUS INC"
94164,"syringe",0.5,"mL","N",NA,2454874,"METOJECT SUBCUTANEOUS MEDEXUS INC"
19681,"vial",2,"mL","Y",NA,2099705,"METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED"
19681,"vial",20,"mL","Y",NA,2099705,"METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED"
19681,"vial",40,"mL","Y",NA,2099705,"METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED"
42844,"vial",20,"mL","Y",NA,2182777,"METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
44262,"vial",2,"mL","Y",NA,2182955,"METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
44264,"vial",40,"mL","Y",NA,2182971,"METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION"
88338,"vial",2,"mL","Y",NA,2398427,"METHOTREXATE INJECTION USP SANDOZ CANADA INCORPORATED"
88338,"vial",20,"mL","Y",NA,2398427,"METHOTREXATE INJECTION USP SANDOZ CANADA INCORPORATED"
90222,"vial",2,"mL","Y",NA,2417626,"METHOTREXATE INJECTION, USP MYLAN PHARMACEUTICALS ULC"
90222,"vial",40,"mL","Y",NA,2417626,"METHOTREXATE INJECTION, USP MYLAN PHARMACEUTICALS ULC"
90372,"vial",2,"mL","Y",NA,2419173,"JAMP-METHOTREXATE JAMP PHARMA CORPORATION"
90372,"vial",40,"mL","Y",NA,2419173,"JAMP-METHOTREXATE JAMP PHARMA CORPORATION"
90688,"syringe",0.4,"mL","N",NA,2422174,"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
90689,"syringe",0.6,"mL","N",NA,2422182,"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
90690,"syringe",0.8,"mL","N",NA,2422190,"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
81253,"vial",2,"mL","Y",NA,2327236,"METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC"
81253,"vial",20,"mL","Y",NA,2327236,"METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC"
81253,"vial",40,"mL","Y",NA,2327236,"METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC"
90691,"syringe",1,"mL","Y",NA,2422204,"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
90691,"syringe",0.3,"mL","Y",NA,2422166,"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
12968,"ampoule",10,"mL","Y",NA,1949047,"MORPHINE-EPD INJECTION 0.5MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
13966,"ampoule",10,"mL","Y",NA,2021056,"MORPHINE LP EPIDURAL SANDOZ CANADA INCORPORATED"
6871,"vial",30,"mL","Y",NA,636908,"MORPHINE SULFATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION"
12728,"ampoule",5,"mL","Y",NA,1949055,"MORPHINE-EPD INJECTION 1MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
14020,"ampoule",5,"mL","Y",NA,2021048,"MORPHINE LP EPIDURAL SANDOZ CANADA INCORPORATED"
12991,"ampoule",1,"mL","Y",NA,850322,"MORPHINE SULFATE INJECTION 10MG/ML USP HOSPIRA HEALTHCARE CORPORATION"
86878,"ampoule",1,"mL","Y",NA,2382997,"MORPHINE SULFATE INJECTION SDZ SANDOZ CANADA INCORPORATED"
86878,"ampoule",5,"mL","Y",NA,2382997,"MORPHINE SULFATE INJECTION SDZ SANDOZ CANADA INCORPORATED"
