"","ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing"
"33","Y","ALENDRONATE","ALENDRONIC ACID (ALENDRONATE SODIUM)","ALENDRONIC ACID",FALSE,"ALENDRONIC ACID (ALENDRONATE SODIUM)"
"34","","","ALFACALCIDOL","ALFACALCIDOL",FALSE,"ALFACALCIDOL"
"35","","","ALFENTANIL (ALFENTANIL HYDROCHLORIDE)","ALFENTANIL (ALFENTANIL HYDROCHLORIDE)",FALSE,"ALFENTANIL (ALFENTANIL HYDROCHLORIDE)"
"36","Y","ALFUZOSIN","ALFUZOSIN HYDROCHLORIDE","ALFUZOSIN",FALSE,"ALFUZOSIN HYDROCHLORIDE"
"37","","","ALGLUCOSIDASE ALFA","ALGLUCOSIDASE ALFA",FALSE,"ALGLUCOSIDASE ALFA"
"38","","","ALIROCUMAB","ALIROCUMAB",FALSE,"ALIROCUMAB"
"39","","","ALISKIREN (ALISKIREN FUMARATE)","ALISKIREN (ALISKIREN FUMARATE)",FALSE,"ALISKIREN (ALISKIREN FUMARATE)"
"40","","","ALITRETINOIN","ALITRETINOIN",FALSE,"ALITRETINOIN"
"41","","","ALLANTOIN","ALLANTOIN",FALSE,"ALLANTOIN"
"42","","","ALLERGEN EXTRACT - ALUM PRECIPITATED","ALLERGEN EXTRACT - ALUM PRECIPITATED",FALSE,"ALLERGEN EXTRACT - ALUM PRECIPITATED"
"43","","","ALLERGEN EXTRACT - DIAGNOSTIC","ALLERGEN EXTRACT - DIAGNOSTIC",FALSE,"ALLERGEN EXTRACT - DIAGNOSTIC"
"44","","","ALLERGENIC EXTRACT NON-POLLEN","ALLERGENIC EXTRACT NON-POLLEN",FALSE,"ALLERGENIC EXTRACT NON-POLLEN"
"45","","","ALLERGENIC EXTRACTS","ALLERGENIC EXTRACTS",FALSE,"ALLERGENIC EXTRACTS"
"46","","","ALLERGENIC EXTRACTS POLLENS","ALLERGENIC EXTRACTS POLLENS",FALSE,"ALLERGENIC EXTRACTS POLLENS"
"47","Y","ALLOPURINOL","ALLOPURINOL","ALLOPURINOL",FALSE,"ALLOPURINOL"
"48","","","ALMOTRIPTAN (ALMOTRIPTAN MALATE)","ALMOTRIPTAN (ALMOTRIPTAN MALATE)",FALSE,"ALMOTRIPTAN (ALMOTRIPTAN MALATE)"
"49","","","ALOE","ALOE",FALSE,"ALOE"
"50","","","ALPHA 1-PROTEINASE INHIBITOR (HUMAN)","ALPHA 1-PROTEINASE INHIBITOR (HUMAN)",FALSE,"ALPHA 1-PROTEINASE INHIBITOR (HUMAN)"
"51","Y","ALPRAZOLAM","ALPRAZOLAM","ALPRAZOLAM",FALSE,"ALPRAZOLAM"
"52","","","ALPROSTADIL","ALPROSTADIL",FALSE,"ALPROSTADIL"
"53","","","ALTEPLASE","ALTEPLASE",FALSE,"ALTEPLASE"
"54","","","ALUMINUM CHLORIDE","ALUMINUM CHLORIDE",FALSE,"ALUMINUM CHLORIDE"
"55","","","ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE",TRUE,"ALUMINUM CHLOROHYDRATE"
"56","","","ALUMINUM HYDROXIDE","ALUMINUM HYDROXIDE",FALSE,"ALUMINUM HYDROXIDE"
"57","","","ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)",FALSE,"ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)"
"58","","","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL",FALSE,"ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL"
"59","","","AMANTADINE HYDROCHLORIDE","AMANTADINE HYDROCHLORIDE",FALSE,"AMANTADINE HYDROCHLORIDE"
"60","","","AMBRISENTAN","AMBRISENTAN",FALSE,"AMBRISENTAN"
"61","","","AMCINONIDE","AMCINONIDE",FALSE,"AMCINONIDE"
"62","","","AMIKACIN (AMIKACIN SULFATE)","AMIKACIN (AMIKACIN SULFATE)",FALSE,"AMIKACIN (AMIKACIN SULFATE)"
"63","","","AMILORIDE HYDROCHLORIDE","AMILORIDE HYDROCHLORIDE",FALSE,"AMILORIDE HYDROCHLORIDE"
"64","","","AMINOLEVULINIC ACID HYDROCHLORIDE","AMINOLEVULINIC ACID HYDROCHLORIDE",FALSE,"AMINOLEVULINIC ACID HYDROCHLORIDE"
"65","","","AMINOPHYLLINE","AMINOPHYLLINE",FALSE,"AMINOPHYLLINE"
"66","Y","AMIODARONE","AMIODARONE HYDROCHLORIDE","AMIODARONE",FALSE,"AMIODARONE HYDROCHLORIDE"
"67","Y","AMITRIPTYLINE","AMITRIPTYLINE HYDROCHLORIDE","AMITRIPTYLINE",FALSE,"AMITRIPTYLINE HYDROCHLORIDE"
"68","Y","AMLODIPINE","AMLODIPINE (AMLODIPINE BESYLATE)","AMLODIPINE",FALSE,"AMLODIPINE (AMLODIPINE BESYLATE)"
"69","Y","AMPHETAMINE","AMPHETAMINE ASPARTATE MONOHYDRATE","AMPHETAMINE",TRUE,"AMPHETAMINE ASPARTATE MONOHYDRATE"
"70","Y","AMPHETAMINE","AMPHETAMINE SULFATE","AMPHETAMINE",FALSE,"AMPHETAMINE SULFATE"
"71","","","AMMONIUM CHLORIDE","AMMONIUM CHLORIDE",FALSE,"AMMONIUM CHLORIDE"
"72","Y","AMOXICILLIN","AMOXICILLIN","AMOXICILLIN",FALSE,"AMOXICILLIN"
"73","Y","AMOXICILLIN","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)",TRUE,"AMOXICILLIN (AMOXICILLIN TRIHYDRATE)"
"74","","","AMPHOTERICIN B","AMPHOTERICIN B",FALSE,"AMPHOTERICIN B"
"75","","","AMPICILLIN","AMPICILLIN",FALSE,"AMPICILLIN"
"76","","","AMPICILLIN (AMPICILLIN SODIUM)","AMPICILLIN (AMPICILLIN SODIUM)",FALSE,"AMPICILLIN (AMPICILLIN SODIUM)"
"77","","","AMSACRINE","AMSACRINE",FALSE,"AMSACRINE"
"78","","","AMYLASE","AMYLASE",FALSE,"AMYLASE"
"79","","","AMYLMETACRESOL","AMYLMETACRESOL",FALSE,"AMYLMETACRESOL"
"80","","","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)",TRUE,"ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)"
"81","","","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)",FALSE,"ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE)"
"82","","","ANAKINRA","ANAKINRA",FALSE,"ANAKINRA"
"83","","","ANASTROZOLE","ANASTROZOLE",FALSE,"ANASTROZOLE"
"84","","","ANETHOLE TRITHIONE","ANETHOLE TRITHIONE",FALSE,"ANETHOLE TRITHIONE"
"85","","","ANIDULAFUNGIN","ANIDULAFUNGIN",FALSE,"ANIDULAFUNGIN"
"86","","","ANTAZOLINE PHOSPHATE","ANTAZOLINE PHOSPHATE",FALSE,"ANTAZOLINE PHOSPHATE"
"87","","","ANTI-INHIBITOR COAGULANT COMPLEX","ANTI-INHIBITOR COAGULANT COMPLEX",FALSE,"ANTI-INHIBITOR COAGULANT COMPLEX"
"88","","","ANTI-THYMOCYTE GLOBULIN (RABBIT)","ANTI-THYMOCYTE GLOBULIN (RABBIT)",FALSE,"ANTI-THYMOCYTE GLOBULIN (RABBIT)"
"89","","","ANTIHEMOPHILIC FACTOR (HUMAN)","ANTIHEMOPHILIC FACTOR (HUMAN)",FALSE,"ANTIHEMOPHILIC FACTOR (HUMAN)"
"90","","","ANTIHEMOPHILIC FACTOR (RECOMBINANT)","ANTIHEMOPHILIC FACTOR (RECOMBINANT)",FALSE,"ANTIHEMOPHILIC FACTOR (RECOMBINANT)"
"91","","","ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE","ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE",FALSE,"ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE"
"92","","","ANTIPYRINE","ANTIPYRINE",FALSE,"ANTIPYRINE"
"93","","","ANTITHROMBIN III (HUMAN)","ANTITHROMBIN III (HUMAN)",FALSE,"ANTITHROMBIN III (HUMAN)"
"94","","","APIS MELLIFERA VENOM PROTEIN EXTRACT","APIS MELLIFERA VENOM PROTEIN EXTRACT",FALSE,"APIS MELLIFERA VENOM PROTEIN EXTRACT"
"95","","","APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)","APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)",FALSE,"APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)"
"96","","","APREMILAST","APREMILAST",FALSE,"APREMILAST"
"97","","","APREPITANT","APREPITANT",FALSE,"APREPITANT"
"98","","","APROTININ (BOVINE)","APROTININ (BOVINE)",FALSE,"APROTININ (BOVINE)"
"99","","","ARGININE","ARGININE",FALSE,"ARGININE"
"100","","","ARGININE HYDROCHLORIDE","ARGININE HYDROCHLORIDE",FALSE,"ARGININE HYDROCHLORIDE"
"101","Y","ARIPIPRAZOLE","ARIPIPRAZOLE","ARIPIPRAZOLE",FALSE,"ARIPIPRAZOLE"
"102","","","ARSENIC TRIOXIDE","ARSENIC TRIOXIDE",FALSE,"ARSENIC TRIOXIDE"
"103","","","ARTICAINE HYDROCHLORIDE","ARTICAINE HYDROCHLORIDE",FALSE,"ARTICAINE HYDROCHLORIDE"
"104","","","ASFOTASE ALFA","ASFOTASE ALFA",FALSE,"ASFOTASE ALFA"
"105","","","ASUNAPREVIR","ASUNAPREVIR",FALSE,"ASUNAPREVIR"
"106","","","ATAZANAVIR (ATAZANAVIR SULFATE)","ATAZANAVIR (ATAZANAVIR SULFATE)",FALSE,"ATAZANAVIR (ATAZANAVIR SULFATE)"
"107","Y","ATENOLOL","ATENOLOL","ATENOLOL",FALSE,"ATENOLOL"
"108","","","ATEZOLIZUMAB","ATEZOLIZUMAB",FALSE,"ATEZOLIZUMAB"
"109","Y","ATOMOXETINE","ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE)","ATOMOXETINE",FALSE,"ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE)"
"110","Y","ATORVASTATIN","ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE)","ATORVASTATIN",FALSE,"ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE)"
"111","Y","ATORVASTATIN","ATORVASTATIN (ATORVASTATIN CALCIUM)","ATORVASTATIN",FALSE,"ATORVASTATIN (ATORVASTATIN CALCIUM)"
"112","","","ATOVAQUONE","ATOVAQUONE",FALSE,"ATOVAQUONE"
"113","","","ATRACURIUM BESYLATE","ATRACURIUM BESYLATE",FALSE,"ATRACURIUM BESYLATE"
"114","","","ATROPINE SULFATE","ATROPINE SULFATE",FALSE,"ATROPINE SULFATE"
"115","","","AURANOFIN","AURANOFIN",FALSE,"AURANOFIN"
"116","","","AVOBENZONE","AVOBENZONE",FALSE,"AVOBENZONE"
"117","","","AZACITIDINE","AZACITIDINE",FALSE,"AZACITIDINE"
"118","Y","AZATHIOPRINE","AZATHIOPRINE","AZATHIOPRINE",FALSE,"AZATHIOPRINE"
"119","","","AZELAIC ACID","AZELAIC ACID",FALSE,"AZELAIC ACID"
"120","Y","AZITHROMYCIN","AZITHROMYCIN","AZITHROMYCIN",FALSE,"AZITHROMYCIN"
"121","Y","AZITHROMYCIN","AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)","AZITHROMYCIN",TRUE,"AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)"
"122","Y","AZITHROMYCIN","AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE)","AZITHROMYCIN",FALSE,"AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE)"
"123","Y","AZITHROMYCIN","AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE)","AZITHROMYCIN",TRUE,"AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE)"
"124","Y","AZITHROMYCIN","AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)","AZITHROMYCIN",TRUE,"AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE)"
"125","Y","AZITHROMYCIN","AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)","AZITHROMYCIN",TRUE,"AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE)"
"126","","","AZTREONAM","AZTREONAM",FALSE,"AZTREONAM"
"127","","","Abiraterone acetate","Abiraterone acetate",FALSE,"Abiraterone acetate"
"128","","","AbobotulinumtoxinA","AbobotulinumtoxinA",FALSE,"AbobotulinumtoxinA"
"129","","","Aclidinium bromide","Aclidinium bromide",FALSE,"Aclidinium bromide"
"130","","","Afatinib (Afatinib Dimaleate)","Afatinib (Afatinib Dimaleate)",FALSE,"Afatinib (Afatinib Dimaleate)"
"131","","","Aflibercept","Aflibercept",FALSE,"Aflibercept"
"132","","","Alogliptin (Alogliptin benzoate)","Alogliptin (Alogliptin benzoate)",FALSE,"Alogliptin (Alogliptin benzoate)"
"133","","","Apixaban","Apixaban",FALSE,"Apixaban"
"134","","","Asenapine (Asenapine maleate)","Asenapine (Asenapine maleate)",FALSE,"Asenapine (Asenapine maleate)"
"135","","","Axitinib","Axitinib",FALSE,"Axitinib"
"136","","","Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)","Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)",FALSE,"Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)"
"137","","","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE",FALSE,"BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE"
"138","","","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT","BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT",FALSE,"BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT"
"139","","","BACITRACIN","BACITRACIN",FALSE,"BACITRACIN"
"140","","","BACITRACIN (BACITRACIN ZINC)","BACITRACIN (BACITRACIN ZINC)",FALSE,"BACITRACIN (BACITRACIN ZINC)"
"141","","","BACITRACIN ZINC","BACITRACIN ZINC",FALSE,"BACITRACIN ZINC"
"142","Y","BACLOFEN","BACLOFEN","BACLOFEN",FALSE,"BACLOFEN"
"143","","","BASILIXIMAB","BASILIXIMAB",FALSE,"BASILIXIMAB"
"144","","","BAZEDOXIFENE (BAZEDOXIFENE ACETATE)","BAZEDOXIFENE (BAZEDOXIFENE ACETATE)",FALSE,"BAZEDOXIFENE (BAZEDOXIFENE ACETATE)"
"145","Y","BECLOMETHASONE","BECLOMETHASONE DIPROPIONATE","BECLOMETHASONE",FALSE,"BECLOMETHASONE DIPROPIONATE"
"146","","","BELIMUMAB","BELIMUMAB",FALSE,"BELIMUMAB"
"147","","","BELLADONNA","BELLADONNA",FALSE,"BELLADONNA"
"148","","","BEMOTRIZINOL","BEMOTRIZINOL",FALSE,"BEMOTRIZINOL"
"149","","","BENAZEPRIL HYDROCHLORIDE","BENAZEPRIL HYDROCHLORIDE",FALSE,"BENAZEPRIL HYDROCHLORIDE"
"150","","","BENDAMUSTINE HYDROCHLORIDE","BENDAMUSTINE HYDROCHLORIDE",FALSE,"BENDAMUSTINE HYDROCHLORIDE"
"151","","","BENOXINATE HYDROCHLORIDE","BENOXINATE HYDROCHLORIDE",FALSE,"BENOXINATE HYDROCHLORIDE"
"152","","","BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)","BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)",FALSE,"BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE)"
"153","Y","BENZALKONIUM","BENZALKONIUM CHLORIDE","BENZALKONIUM",FALSE,"BENZALKONIUM CHLORIDE"
"154","","","BENZETHONIUM CHLORIDE","BENZETHONIUM CHLORIDE",FALSE,"BENZETHONIUM CHLORIDE"
"155","","","BENZOCAINE","BENZOCAINE",FALSE,"BENZOCAINE"
"156","","","BENZOIN","BENZOIN",FALSE,"BENZOIN"
"157","Y","BENZOYL PEROXIDE","BENZOYL PEROXIDE","BENZOYL PEROXIDE",FALSE,"BENZOYL PEROXIDE"
"158","Y","BENZTROPINE","BENZTROPINE MESYLATE","BENZTROPINE",FALSE,"BENZTROPINE MESYLATE"
"159","","","BENZYDAMINE HYDROCHLORIDE","BENZYDAMINE HYDROCHLORIDE",FALSE,"BENZYDAMINE HYDROCHLORIDE"
"160","","","BENZYLPENICILLOYL-POLYLYSINE","BENZYLPENICILLOYL-POLYLYSINE",FALSE,"BENZYLPENICILLOYL-POLYLYSINE"
"161","","","BEPOTASTINE BESILATE","BEPOTASTINE BESILATE",FALSE,"BEPOTASTINE BESILATE"
"162","","","BERACTANT","BERACTANT",FALSE,"BERACTANT"
"163","","","BESIFLOXACIN","BESIFLOXACIN",FALSE,"BESIFLOXACIN"
"164","","","BETA-CAROTENE","BETA-CAROTENE",FALSE,"BETA-CAROTENE"
"165","Y","BETAHISTINE","BETAHISTINE HYDROCHLORIDE","BETAHISTINE",FALSE,"BETAHISTINE HYDROCHLORIDE"
"166","","","BETAINE","BETAINE",FALSE,"BETAINE"
"167","Y","BETAMETHASONE","BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)","BETAMETHASONE (BASE)",FALSE,"BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)"
"168","Y","BETAMETHASONE","BETAMETHASONE (BETAMETHASONE DIPROPIONATE)","BETAMETHASONE (BASE)",FALSE,"BETAMETHASONE (BETAMETHASONE DIPROPIONATE)"
"169","Y","BETAMETHASONE","BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)","BETAMETHASONE (BASE)",FALSE,"BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE)"
"170","Y","BETAMETHASONE","BETAMETHASONE (BETAMETHASONE VALERATE)","BETAMETHASONE (BASE)",FALSE,"BETAMETHASONE (BETAMETHASONE VALERATE)"
"171","Y","BETAMETHASONE","BETAMETHASONE ACETATE","BETAMETHASONE ACETATE",FALSE,"BETAMETHASONE ACETATE"
"172","Y","BETAMETHASONE","BETAMETHASONE DIPROPIONATE","BETAMETHASONE DIPROPIONATE",FALSE,"BETAMETHASONE DIPROPIONATE"
"173","Y","BETAMETHASONE","BETAMETHASONE VALERATE","BETAMETHASONE VALERATE",FALSE,"BETAMETHASONE VALERATE"
"174","","","BETAXOLOL (BETAXOLOL HYDROCHLORIDE)","BETAXOLOL (BETAXOLOL HYDROCHLORIDE)",FALSE,"BETAXOLOL (BETAXOLOL HYDROCHLORIDE)"
"175","","","BETHANECHOL CHLORIDE","BETHANECHOL CHLORIDE",FALSE,"BETHANECHOL CHLORIDE"
"176","","","BEVACIZUMAB","BEVACIZUMAB",FALSE,"BEVACIZUMAB"
"177","","","BEZAFIBRATE","BEZAFIBRATE",FALSE,"BEZAFIBRATE"
"178","","","BICALUTAMIDE","BICALUTAMIDE",FALSE,"BICALUTAMIDE"
"179","Y","BIMATOPROST","BIMATOPROST","BIMATOPROST",FALSE,"BIMATOPROST"
"180","","","BIOTIN","BIOTIN",FALSE,"BIOTIN"
"181","","","BISACODYL","BISACODYL",FALSE,"BISACODYL"
"182","","","BISMUTH DIPROPYLACETATE","BISMUTH DIPROPYLACETATE",FALSE,"BISMUTH DIPROPYLACETATE"
"183","","","BISMUTH SUBGALLATE","BISMUTH SUBGALLATE",FALSE,"BISMUTH SUBGALLATE"
"184","","","BISMUTH SUBSALICYLATE","BISMUTH SUBSALICYLATE",FALSE,"BISMUTH SUBSALICYLATE"
"185","","","BISOCTRIZOLE","BISOCTRIZOLE",FALSE,"BISOCTRIZOLE"
"186","Y","BISOPROLOL","BISOPROLOL FUMARATE","BISOPROLOL",FALSE,"BISOPROLOL FUMARATE"
"187","","","BLEOMYCIN (BLEOMYCIN SULFATE)","BLEOMYCIN (BLEOMYCIN SULFATE)",FALSE,"BLEOMYCIN (BLEOMYCIN SULFATE)"
"188","","","BLINATUMOMAB","BLINATUMOMAB",FALSE,"BLINATUMOMAB"
"189","","","BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)","BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)",FALSE,"BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)"
"190","","","BOSENTAN (BOSENTAN MONOHYDRATE)","BOSENTAN (BOSENTAN MONOHYDRATE)",TRUE,"BOSENTAN (BOSENTAN MONOHYDRATE)"
"191","","","BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN",FALSE,"BRENTUXIMAB VEDOTIN"
"192","","","BRETYLIUM TOSYLATE","BRETYLIUM TOSYLATE",FALSE,"BRETYLIUM TOSYLATE"
"193","","","BREXPIPRAZOLE","BREXPIPRAZOLE",FALSE,"BREXPIPRAZOLE"
"194","","","BRIMONIDINE (BRIMONIDINE TARTRATE)","BRIMONIDINE (BRIMONIDINE TARTRATE)",FALSE,"BRIMONIDINE (BRIMONIDINE TARTRATE)"
"195","","","BRIMONIDINE TARTRATE","BRIMONIDINE TARTRATE",FALSE,"BRIMONIDINE TARTRATE"
"196","","","BRIVARACETAM","BRIVARACETAM",FALSE,"BRIVARACETAM"
"197","Y","BROMAZEPAM","BROMAZEPAM","BROMAZEPAM",FALSE,"BROMAZEPAM"
"198","","","BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)","BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)",FALSE,"BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)"
"199","","","BROMPHENIRAMINE MALEATE","BROMPHENIRAMINE MALEATE",FALSE,"BROMPHENIRAMINE MALEATE"
"200","","","BRONOPOL","BRONOPOL",FALSE,"BRONOPOL"
"201","Y","BUDESONIDE","BUDESONIDE","BUDESONIDE",FALSE,"BUDESONIDE"
"202","","","BUFFER SOLUTION","BUFFER SOLUTION",FALSE,"BUFFER SOLUTION"
"203","","","BUMETANIDE","BUMETANIDE",FALSE,"BUMETANIDE"
"204","","","BUPIVACAINE HYDROCHLORIDE","BUPIVACAINE HYDROCHLORIDE",FALSE,"BUPIVACAINE HYDROCHLORIDE"
"205","Y","BUPRENORPHINE","BUPRENORPHINE","BUPRENORPHINE",FALSE,"BUPRENORPHINE"
"206","Y","BUPRENORPHINE","BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE)","BUPRENORPHINE",FALSE,"BUPRENORPHINE (BUPRENORPHINE HYDROCHLORIDE)"
"207","Y","BUPROPION","BUPROPION HYDROCHLORIDE","BUPROPION",FALSE,"BUPROPION HYDROCHLORIDE"
"208","","","BUSERELIN (BUSERELIN ACETATE)","BUSERELIN (BUSERELIN ACETATE)",FALSE,"BUSERELIN (BUSERELIN ACETATE)"
"209","","","BUSPIRONE HYDROCHLORIDE","BUSPIRONE HYDROCHLORIDE",FALSE,"BUSPIRONE HYDROCHLORIDE"
"210","","","BUSULFAN","BUSULFAN",FALSE,"BUSULFAN"
"211","","","BUTALBITAL","BUTALBITAL",FALSE,"BUTALBITAL"
"212","","","BUTAMBEN","BUTAMBEN",FALSE,"BUTAMBEN"
"213","","","BUTANEDIOL","BUTANEDIOL",FALSE,"BUTANEDIOL"
"214","","","BUTORPHANOL TARTRATE","BUTORPHANOL TARTRATE",FALSE,"BUTORPHANOL TARTRATE"
"215","","","Bilastine","Bilastine",FALSE,"Bilastine"
"216","","","Bosutinib","Bosutinib",FALSE,"Bosutinib"
"217","","","Bromfenac (Bromfenac sodium sesquihydrate)","Bromfenac (Bromfenac sodium sesquihydrate)",TRUE,"Bromfenac (Bromfenac sodium sesquihydrate)"
