rank,ai_set
166,ACEBUTOLOL
167,TERAZOSIN
168,MESALAMINE
169,HYDROCHLOROTHIAZIDE!RAMIPRIL
170,CLOZAPINE
171,TERBINAFINE
172,BETAHISTINE
173,VARENICLINE
174,KETOROLAC
175,METFORMIN!SITAGLIPTIN
176,DABIGATRAN ETEXILATE
177,DOXYCYCLINE
178,ALFUZOSIN
179,CODEINE
180,BENZTROPINE
181,RIVAROXABAN
182,FOSINOPRIL
183,TRIAMCINOLONE ACETONIDE
184,QUININE
185,AMIODARONE
186,FELODIPINE
187,SOLIFENACIN
188,PRAMIPEXOLE
189,BROMAZEPAM
190,NORTRIPTYLINE
191,CARVEDILOL
192,OLMESARTAN MEDOXOMIL
193,CLOBETASOL
194,CIPROFLOXACIN!DEXAMETHASONE
195,VERAPAMIL
196,LISDEXAMFETAMINE
197,CEFPROZIL
198,ETHINYLESTRADIOL!ETONOGESTREL
199,BENZOYL PEROXIDE!CLINDAMYCIN
200,MINOCYCLINE
201,ETHINYLESTRADIOL!NORETHINDRONE
202,TESTOSTERONE
203,SAXAGLIPTIN
204,BIMATOPROST
205,EPINEPHRINE
206,PIOGLITAZONE
207,OLOPATADINE
208,INDOMETHACIN
209,"VACCINE, HEPATITIS A INACTIVATED!VACCINE, HEPATITIS B"
210,REPAGLINIDE
211,PROCYCLIDINE
212,TIMOLOL
213,TRAMADOL
214,DORZOLAMIDE!TIMOLOL
215,METOCLOPRAMIDE
216,HALOPERIDOL
217,HUMAN INSULIN!HUMAN INSULIN ISOPHANE
218,ACYCLOVIR
219,CHLORHEXIDINE
220,ERYTHROMYCIN
221,COLCHICINE
222,CYPROTERONE!ETHINYLESTRADIOL
223,LEVETIRACETAM
224,RIVASTIGMINE
225,AMPHETAMINE!DEXTROAMPHETAMINE
226,NORETHINDRONE
227,BECLOMETHASONE
228,RIZATRIPTAN
229,HYDROCHLOROTHIAZIDE!LISINOPRIL
230,DESVENLAFAXINE
231,TRAVOPROST
232,FLURAZEPAM
233,HYDROCHLOROTHIAZIDE!OLMESARTAN MEDOXOMIL
234,INSULIN DETEMIR
235,NYSTATIN
236,CICLOPIROX
237,DOXAZOSIN
238,DIBUCAINE!ESCULIN!FRAMYCETIN!HYDROCORTISONE
239,TACROLIMUS
240,ESOMEPRAZOLE!NAPROXEN
241,HYDROCHLOROTHIAZIDE!QUINAPRIL
242,ATOMOXETINE
243,CLOBAZAM
244,ETHINYLESTRADIOL!NORELGESTROMIN
245,DEXTROAMPHETAMINE
246,SUMATRIPTAN
247,AZATHIOPRINE
248,CALCITRIOL
249,LEVOFLOXACIN
250,BENZALKONIUM!DEXAMETHASONE!TOBRAMYCIN
