"","DPD PHARM_FORM_CODE","DPD PHARMACEUTICAL_FORM","Action:","X__1","NTP Formal Name Dose form"
"21",19,"EMULSION","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous emulsion"
"22",19,"EMULSION","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","emulsion for injection"
"23",19,"EMULSION","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","emulsion for injection"
"24",19,"EMULSION","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral emulsion"
"25",19,"EMULSION","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic drops, emulsion"
"26",19,"EMULSION","RoA-based transform","Where RoA = 65 (SUBCUTANEOUS) transform to:","emulsion for injection"
"27",20,"ENEMA","Simple transform to:",NA,"rectal liquid"
"28",23,"TABLET (EFFERVESCENT)","Simple transform to:",NA,"effervescent oral tablet"
"29",24,"DRUG PREMIX","Combo Product - no change",NA,"drug pre-mix"
"30",25,"GAS","Simple transform to:",NA,"medicinal gas"
"31",26,"JELLY","RoA-based transform","Where RoA = 72 (Urethral) transform to:","urethral gel"
"32",26,"JELLY","RoA-based transform","Where RoA = 70 (Topical) transform to:","cutaneous gel"
"33",30,"IMPLANT","RoA-based transform","Where RoA = 65 (Subcutaneous) transform to:","implant"
"34",30,"IMPLANT","RoA-based transform","Where RoA = 80 (Intravitreal) transform to:","intravitreal implant"
"35",32,"KIT","Combo Product - no change",NA,"kit"
"36",34,"LIQUID","RoA-based transform","Where RoA = 1 (BLOCK/INFILTRATION) transform to:","solution for injection"
"37",34,"LIQUID","RoA-based transform","Where RoA = 3 (BUCCAL) transform to:","mouthwash"
"38",34,"LIQUID","RoA-based transform","Where RoA = 5 (DENTAL) transform to:","dental solution"
"39",34,"LIQUID","RoA-based transform","Where RoA = 6 (DIALYSIS) transform to:","solution for haemodialysis"
"40",34,"LIQUID","RoA-based transform","Where RoA = 7 (EPIDURAL) transform to:","solution for injection"
"41",34,"LIQUID","RoA-based transform","Where RoA = 10 (INTRA-ARTICULAR) transform to:","solution for injection"
"42",34,"LIQUID","RoA-based transform","Where RoA = 12 (INTRA-ARTERIAL) transform to:","solution for injection"
"43",34,"LIQUID","RoA-based transform","Where RoA = 17 (INTRACAVITARY) transform to:","solution for injection"
"44",34,"LIQUID","RoA-based transform","Where RoA = 18 (INTRACUTANEOUS) transform to:","solution for injection"
"45",34,"LIQUID","RoA-based transform","Where RoA = 19 (INTRADERMAL) transform to:","solution for injection"
"46",34,"LIQUID","RoA-based transform","Where RoA = 21 (INTRALESIONAL) transform to:","solution for injection"
"47",34,"LIQUID","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","solution for injection"
"48",34,"LIQUID","RoA-based transform","Where RoA = 29 (INHALATION) transform to:","inhalation vapour, liquid"
"49",34,"LIQUID","RoA-based transform","Where RoA = 33 (INTRAPERITONEAL) transform to:","irrigation solution"
"50",34,"LIQUID","RoA-based transform","Where RoA = 36 (IRRIGATION) transform to:","irrigation solution"
"51",34,"LIQUID","RoA-based transform","Where RoA = 42 (INTRASYNOVIAL) transform to:","solution for injection"
"52",34,"LIQUID","RoA-based transform","Where RoA = 48 (INTRAUTERINE) transform to:","solution for injection"
"53",34,"LIQUID","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","solution for injection"
"54",34,"LIQUID","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal spray, solution"
"55",34,"LIQUID","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","opthalmic drops, solution"
"56",34,"LIQUID","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral liquid"
"57",34,"LIQUID","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic drops, solution"
"58",34,"LIQUID","RoA-based transform","Where RoA = 59 (PARENTERAL (UNSPECIFIED)) transform to:","solution for injection"
"59",34,"LIQUID","RoA-based transform","Where RoA = 62 (RECTAL) transform to:","rectal solution"
"60",34,"LIQUID","RoA-based transform","Where RoA = 63 (SOFT TISSUE INJECTION) transform to:","solution for injection"
"61",34,"LIQUID","RoA-based transform","Where RoA = 65 (SUBCUTANEOUS) transform to:","solution for injection"
"62",34,"LIQUID","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous liquid"
"63",34,"LIQUID","RoA-based transform","Where RoA = 105 TOPICAL (COMMERCIAL) transform to:","cutaneous solution"
"64",34,"LIQUID","RoA-based transform","Where RoA = 104 TOPICAL (HOUSEHOLD) transform to:","cutaneous solution"
"65",34,"LIQUID","RoA-based transform","Where RoA = 84 (INTRACAVERNOSAL) transform to:","solution for injection"
"66",34,"LIQUID","RoA-based transform","Where RoA = 85 (PERCUTANEOUS) transform to:","solution for injection"
"67",34,"LIQUID","RoA-based transform","Where RoA = 97 (INTRAVASCULAR) transform to:","solution for injection"
"68",36,"LOTION","No change currently",NA,"lotion"
"69",39,"LOZENGE","No change required",NA,"lozenge"
"70",42,"MOUTHWASH/GARGLE","Simple transform to:",NA,"gargle/mouthwash"
"71",43,"OINTMENT","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous ointment"
"72",43,"OINTMENT","RoA-based transform","Where RoA = 74 (VAGINAL) transform to:","vaginal ointment"
"73",43,"OINTMENT","RoA-based transform","Where RoA = 62 (RECTAL) transform to:","rectal ointment"
"74",43,"OINTMENT","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal ointment"
"75",43,"OINTMENT","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic ointment"
"76",43,"OINTMENT","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic ointment"
"77",45,"PAD","Not Top 250 - no change",NA,"pad"
"78",48,"PACKAGE","Not Top 250 - no change",NA,"package"
"79",50,"PLASTER","Not Top 250 - no change",NA,"plaster"
"80",52,"PASTE","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral paste"
"81",52,"PASTE","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous paste"
"82",52,"PASTE","RoA-based transform","Where RoA = 5 (DENTAL) transform to:","oromucosal paste"
"83",53,"GRANULES","Simple transform to:",NA,"granules for oral suspension"
"84",55,"POWDER","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous powder"
"85",55,"POWDER","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral powder"
"86",55,"POWDER","RoA-based transform","Where RoA = 56 (ORAL) AND RoA = 62 (RECTAL) transform to:","powder for oral/rectal suspension"
"87",55,"POWDER","RoA-based transform","Where RoA = 6 (DIALYSIS) transform to:","powder for concentrate for solution for haemodialysis"
"88",55,"POWDER","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","powder for solution for injection"
"89",55,"POWDER","RoA-based transform","Where RoA = 29 (INHALATION) transform to:","inhalation powder"
"90",55,"POWDER","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","powder for suspension for injection"
"91",55,"POWDER","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal powder"
"92",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 6 (DIALYSIS) transform to:","powder for concentrate for solution for haemodialysis"
"93",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 12 (INTRA-ARTERIAL) transform to:","powder for solution for injection"
"94",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 17 (INTRACAVITARY) transform to:","powder for solution for injection"
"95",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 19 (INTRADERMAL) transform to:","powder for solution for injection"
"96",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 21 (INTRALESIONAL) transform to:","powder for solution for injection"
"97",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","powder for solution for injection"
"98",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 29 (INHALATION) transform to:","powder for nebuliser solution"
"99",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 31 (INTRATHECAL) transform to:","powder for solution for injection"
"100",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 33 (INTRAPERITONEAL) transform to:","powder for solution for injection"
"101",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 34 (INTRAPLEURAL) transform to:","powder for solution for injection"
"102",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 39 (INSTILLATION) transform to:","powder for solution for injection"
"103",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 40 (INTRASPINAL) transform to:","powder for solution for injection"
"104",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","powder for solution for injection"
"105",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic drops, powder for solution"
"106",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 56 (ORAL) transform to:","powder for oral solution"
"107",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 62 (RECTAL) transform to:","powder for rectal solution"
"108",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 65 (SUBCUTANEOUS) transform to:","powder for solution for injection"
"109",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","powder for cutaneous solution"
"110",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 84 (INTRACAVERNOSAL) transform to:","powder for solution for injection"
"111",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 96 (INTRAVESICAL) transform to:","powder for solution for injection"
"112",56,"POWDER FOR SOLUTION","RoA-based transform","Where RoA = 108 (NASOGASTRIC) transform to:","powder for oral solution"
"113",59,"SHAMPOO","No change required",NA,"shampoo"
"114",63,"SPONGE","No change currently",NA,"medicated sponge"
"115",68,"CAPSULE (SUSTAINED-RELEASE)","Simple transform to:",NA,"prolonged-release oral capsule"
"116",70,"SYRUP (EXTENDED-RELEASE)","No change required",NA,"syrup"
"117",75,"TABLET (EXTENDED-RELEASE)","Simple transform to:",NA,"prolonged-release oral tablet"
"118",76,"STICK","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal stick"
"119",76,"STICK","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic stick"
"120",77,"STRIP","Not Top 250 - no change",NA,"strip"
"121",78,"SUPPOSITORY","No change required",NA,"suppository"
"122",79,"SUSPENSION","RoA-based transform","Where RoA = 10 (INTRA-ARTICULAR) transform to:","suspension for injection"
"123",79,"SUSPENSION","RoA-based transform","Where RoA = 13 (INTRABURSAL) transform to:","suspension for injection"
"124",79,"SUSPENSION","RoA-based transform","Where RoA = 19 (INTRADERMAL) transform to:","suspension for injection"
"125",79,"SUSPENSION","RoA-based transform","Where RoA = 21 (INTRALESIONAL) transform to:","suspension for injection"
"126",79,"SUSPENSION","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","suspension for injection"
"127",79,"SUSPENSION","RoA-based transform","Where RoA = 29 (INHALATION) transform to:","nebuliser suspension"
"128",79,"SUSPENSION","RoA-based transform","Where RoA = 31 (INTRATHECAL) transform to:","suspension for injection"
"129",79,"SUSPENSION","RoA-based transform","Where RoA = 45 (INTRATRACHEAL) transform to:","endotracheopulmonary instillation, suspension"
"130",79,"SUSPENSION","RoA-based transform","Where RoA = 42 (INTRASYNOVIAL) transform to:","suspension for injection"
"131",79,"SUSPENSION","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","suspension for injection"
"132",79,"SUSPENSION","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal spray, suspension"
"133",79,"SUSPENSION","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic drops, suspension"
"134",79,"SUSPENSION","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral suspension"
"135",79,"SUSPENSION","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic drops, suspension"
"136",79,"SUSPENSION","RoA-based transform","Where RoA = 62 (RECTAL) transform to:","rectal suspension"
"137",79,"SUSPENSION","RoA-based transform","Where RoA = 63 (SOFT TISSUE INJECTION) transform to:","suspension for injection"
"138",79,"SUSPENSION","RoA-based transform","Where RoA = 65 (SUBCUTANEOUS) transform to:","suspension for injection"
"139",79,"SUSPENSION","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous suspension"
"140",79,"SUSPENSION","RoA-based transform","Where RoA = 80 (INTRAVITREAL) transform to:","suspension for injection"
"141",82,"SYRUP","No change required",NA,"syrup"
"142",83,"BOLUS","Not Top 250 - no change",NA,"bolus"
"143",85,"TABLET","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral tablet"
"144",85,"TABLET","RoA-based transform","Where RoA = 66 (SUBLINGUAL) transform to:","sublingual tablet"
"145",88,"TINCTURE","Simple transform to:",NA,"cutaneous solution"
"146",94,"TOOTHPASTE","No change required",NA,"toothpaste"
"147",98,"SPRAY","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous spray"
"148",98,"SPRAY","RoA-based transform","Where RoA = 105 TOPICAL (COMMERCIAL) transform to:","cutaneous spray"
"149",98,"SPRAY","RoA-based transform","Where RoA = 104 TOPICAL (HOUSEHOLD) transform to:","cutaneous spray"
"150",98,"SPRAY","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal spray"
"151",98,"SPRAY","RoA-based transform","Where RoA = 3 (BUCCAL) transform to:","oromucosal spray"
"152",101,"SOLUTION (LONG-ACTING)","Simple transform to:",NA,"prolonged-release eye drops"
"153",104,"RING (SLOW-RELEASE)","Not Top 250 - no change",NA,"ring (slow release)"
"154",105,"WIPE","Not Top 250 - no change",NA,"wipe"
"155",106,"CAPSULE (CONTROLLED-DELIVERY)","Simple transform to:",NA,"modified-release oral capsule"
"156",109,"TABLET (DELAYED-RELEASE)","Simple transform to:",NA,"modified oral tablet"
"157",114,"GEL","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous gel"
"158",114,"GEL","RoA-based transform","Where RoA = 74 (VAGINAL) transform to:","vaginal gel"
"159",114,"GEL","RoA-based transform","Where RoA = 100 (INTRAINTESTINAL (UPPER)) transform to:","intestinal gel"
"160",114,"GEL","RoA-based transform","Where RoA = 3 (BUCCAL) transform to:","oromucosal gel"
"161",114,"GEL","RoA-based transform","Where RoA = 104 TOPICAL (HOUSEHOLD) transform to:","cutaneous gel"
"162",114,"GEL","RoA-based transform","Where RoA = 95 (INTRACERVICAL) transform to:","endocervical gel"
"163",114,"GEL","RoA-based transform","Where RoA = 72 (URETHRAL) transform to:","urethral gel"
"164",114,"GEL","RoA-based transform","Where RoA = 62 (RECTAL) transform to:","rectal gel"
"165",114,"GEL","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal gel"
"166",114,"GEL","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic gel"
"167",114,"GEL","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic gel"
"168",114,"GEL","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral gel"
"169",114,"GEL","RoA-based transform","Where RoA = 5 (DENTAL) transform to:","dental gel"
"170",114,"GEL","RoA-based transform","Where RoA = 89 (SUBGINGIVAL) transform to:","periodontal gel"
"171",114,"GEL","RoA-based transform","Where RoA = 71 (TRANSDERMAL) transform to:","transdermal gel"
"172",115,"OVULE","Simple transform to:",NA,"pessary"
"173",116,"INSERT","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","ophthalmic insert"
"174",116,"INSERT","RoA-based transform","Where RoA = 74 (VAGINAL) transform to:","vaginal delivery system"
"175",117,"METERED-DOSE PUMP","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal spray"
"176",117,"METERED-DOSE PUMP","RoA-based transform","Where RoA = 66 (SUBLINGUAL) transform to:","sublingual spray, solution"
"177",118,"POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Simple transform to:",NA,"powder for prolonged-release suspension for injection"
"178",123,"GEL (CONTROLLED-RELEASE)","Simple transform to:",NA,"periodontal gel"
"179",126,"POWDER FOR SUSPENSION","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","powder for suspension for injection"
"180",126,"POWDER FOR SUSPENSION","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","powder for suspension for injection"
"181",126,"POWDER FOR SUSPENSION","RoA-based transform","Where RoA = 56 (ORAL) transform to:","powder for oral suspension"
"182",126,"POWDER FOR SUSPENSION","RoA-based transform","Where RoA = 65 (SUBCUTANEOUS) transform to:","powder for suspension for injection"
"183",126,"POWDER FOR SUSPENSION","RoA-based transform","Where RoA = 96 (INTRAVESICAL) transform to:","powder for intravesical suspension"
"184",129,"SWAB","Not Top 250 - no change",NA,"swab"
"185",130,"INSERT (EXTENDED-RELEASE)","Simple transform to:",NA,"intrauterine delivery system"
"186",132,"TABLET (ORALLY DISINTEGRATING)","Simple transform to:",NA,"orodispersible tablet"
"187",134,"SOLUTION","RoA-based transform","Where RoA = 1 (BLOCK/INFILTRATION) transform to:","solution for injection"
"188",134,"SOLUTION","RoA-based transform","Where RoA = 3 (BUCCAL) transform to:","mouthwash"
"189",134,"SOLUTION","RoA-based transform","Where RoA = 4 (INTRACAUDAL) transform to:","solution for injection"
"190",134,"SOLUTION","RoA-based transform","Where RoA = 5 (DENTAL) transform to:","dental solution"
"191",134,"SOLUTION","RoA-based transform","Where RoA = 6 (DIALYSIS) transform to:","solution for haemodialysis"
"192",134,"SOLUTION","RoA-based transform","Where RoA = 7 (EPIDURAL) transform to:","solution for injection"
"193",134,"SOLUTION","RoA-based transform","Where RoA = 10 (INTRA-ARTICULAR) transform to:","solution for injection"
"194",134,"SOLUTION","RoA-based transform","Where RoA = 11 (INTRA-AMNIOTIC) transform to:","solution for injection"
"195",134,"SOLUTION","RoA-based transform","Where RoA = 12 (INTRA-ARTERIAL) transform to:","solution for injection"
"196",134,"SOLUTION","RoA-based transform","Where RoA = 13 (INTRABURSAL) transform to:","solution for injection"
"197",134,"SOLUTION","RoA-based transform","Where RoA = 14 (INTRACARDIAC) transform to:","solution for injection"
"198",134,"SOLUTION","RoA-based transform","Where RoA = 16 (INTRACRANIAL) transform to:","solution for injection"
"199",134,"SOLUTION","RoA-based transform","Where RoA = 18 (INTRACUTANEOUS) transform to:","solution for injection"
"200",134,"SOLUTION","RoA-based transform","Where RoA = 19 (INTRADERMAL) transform to:","solution for injection"
"201",134,"SOLUTION","RoA-based transform","Where RoA = 22 (INTRAMUSCULAR) transform to:","solution for injection"
"202",134,"SOLUTION","RoA-based transform","Where RoA = 29 (INHALATION) transform to:","inhalation solution"
"203",134,"SOLUTION","RoA-based transform","Where RoA = 31 (INTRATHECAL) transform to:","solution for injection"
"204",134,"SOLUTION","RoA-based transform","Where RoA = 32 (INTRAOCULAR) transform to:","solution for injection"
"205",134,"SOLUTION","RoA-based transform","Where RoA = 33 (INTRAPERITONEAL) transform to:","solution for peritoneal dialysis"
"206",134,"SOLUTION","RoA-based transform","Where RoA = 36 (IRRIGATION) transform to:","irrigation solution"
"207",134,"SOLUTION","RoA-based transform","Where RoA = 39 (INSTILLATION) transform to:","solution for cardioplegia"
"208",134,"SOLUTION","RoA-based transform","Where RoA = 40 (INTRASPINAL) transform to:","solution for injection"
"209",134,"SOLUTION","RoA-based transform","Where RoA = 42 (INTRASYNOVIAL) transform to:","solution for injection"
"210",134,"SOLUTION","RoA-based transform","Where RoA = 45 (INTRATRACHEAL) transform to:","endotracheopulmonary instillation, solution"
"211",134,"SOLUTION","RoA-based transform","Where RoA = 49 (INTRAVENOUS) transform to:","solution for injection"
"212",134,"SOLUTION","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal spray, solution"
"213",134,"SOLUTION","RoA-based transform","Where RoA = 55 (OPHTHALMIC) transform to:","opthalmic drops, solution"
"214",134,"SOLUTION","RoA-based transform","Where RoA = 56 (ORAL) transform to:","oral solution"
"215",134,"SOLUTION","RoA-based transform","Where RoA = 57 (OTIC) transform to:","otic drops, solution"
"216",134,"SOLUTION","RoA-based transform","Where RoA = 59 (PARENTERAL (UNSPECIFIED)) transform to:","solution for injection"
"217",134,"SOLUTION","RoA-based transform","Where RoA = 60 (RETROBULBAR) transform to:","solution for injection"
"218",134,"SOLUTION","RoA-based transform","Where RoA = 64 (SUBARACHNOIDAL) transform to:","solution for injection"
"219",134,"SOLUTION","RoA-based transform","Where RoA = 65 (SUBCUTANEOUS) transform to:","solution for injection"
"220",134,"SOLUTION","RoA-based transform","Where RoA = 109 (SUBMUCOSAL) transform to:","solution for injection"
"221",134,"SOLUTION","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous solution"
"222",134,"SOLUTION","RoA-based transform","Where RoA = 105 TOPICAL (COMMERCIAL) transform to:","cutaneous solution"
"223",134,"SOLUTION","RoA-based transform","Where RoA = 107 TOPICAL (HOSPITAL/HC FACILITIES) transform to:","cutaneous solution"
"224",134,"SOLUTION","RoA-based transform","Where RoA = 104 TOPICAL (HOUSEHOLD) transform to:","cutaneous solution"
"225",134,"SOLUTION","RoA-based transform","Where RoA = 72 (URETHRAL) transform to:","intravesical solution"
"226",134,"SOLUTION","RoA-based transform","Where RoA = 80 (INTRAVITREAL) transform to:","solution for injection"
"227",134,"SOLUTION","RoA-based transform","Where RoA = 82 (INTRAGANGLIONAL) transform to:","solution for injection"
"228",134,"SOLUTION","RoA-based transform","Where RoA = 85 (PERCUTANEOUS) transform to:","solution for injection"
"229",134,"SOLUTION","RoA-based transform","Where RoA = 96 (INTRAVESICAL) transform to:","intravesical solution"
"230",134,"SOLUTION","RoA-based transform","Where RoA = 97 (INTRAVASCULAR) transform to:","solution for injection"
"231",135,"LIPOSOMES","Simple transform to:",NA,"powder for suspension for infusion"
"232",137,"CAPSULE (DELAYED RELEASE)","Simple transform to:",NA,"modified-release oral capsule"
"233",138,"TABLET (COMBINED RELEASE)","Simple transform to:",NA,"modified-release oral tablet"
"234",141,"CAPSULE (EXTENDED RELEASE)","Simple transform to:",NA,"prolonged-release oral capsule"
"235",143,"SUSPENSION (EXTENDED-RELEASE)","Simple transform to:",NA,"prolonged-release suspension for injection"
"236",145,"PATCH","RoA-based transform","Where RoA = 71 (TRANSDERMAL) transform to:","transdermal patch"
"237",145,"PATCH","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous patch"
"238",148,"GRANULES FOR SUSPENSION, DELAYED RELEASE","Simple transform to:",NA,"gastro-resistant granules for oral suspension"
"239",150,"TABLET (IMMEDIATE RELEASE)","Simple transform to:",NA,"oral tablet"
"240",151,"TABLET (CHEWABLE)","Simple transform to:",NA,"chewable tablet"
"241",152,"POWDER (EXTENDED RELEASE)","Simple transform to:",NA,"periodontal powder, prolonged-release"
"242",153,"POWDER (METERED DOSE)","Simple transform to:",NA,"inhalation powder"
"243",154,"VAGINAL TABLET","No change required",NA,"vaginal tablet"
"244",155,"SOLUTION (EXTENDED RELEASE)","Simple transform to:",NA,"solution for injection"
"245",156,"TABLET FOR SUSPENSION","Simple transform to:",NA,"dispersible oral tablet"
"246",157,"GRANULES FOR SUSPENSION","Simple transform to:",NA,"granules for oral suspension"
"247",158,"SPRAY, METERED DOSE","RoA-based transform","Where RoA = 53 (NASAL) transform to:","nasal spray"
"248",158,"SPRAY, METERED DOSE","RoA-based transform","Where RoA = 70 (TOPICAL) transform to:","cutaneous spray"
"249",159,"TABLET (DELAYED AND EXTENDED RELEASE)","Simple transform to:",NA,"modified-release oral tablet"
"250",160,"PATCH (EXTENDED RELEASE)","Simple transform to:",NA,"transdermal patch"
"251",161,"CAPSULE (IMMEDIATE RELEASE)","Simple transform to:",NA,"oral capsule"
"252",162,"AEROSOL, METERED DOSE","Simple transform to:",NA,"pressurised inhalation"
"253",163,"GRANULES FOR SOLUTION","Simple transform to:",NA,"granules for oral solution"
"254",164,"SPRAY, BAG-ON-VALVE","Not Top 250 - no change",NA,"spray, bag-on-valve"
"255",165,"VAGINAL TABLET, EFFERVESCENT","Simple transform to:",NA,"effervescent vaginal tablet"
"256",166,"AEROSOL, FOAM","Simple transform to:",NA,"cutaneous foam"
"257",167,"FILM, SOLUBLE","Simple transform to:",NA,"orodispersible film"
"258",170,"TABLET (IMMEDIATE AND DELAYED-RELEASE)","Simple transform to:",NA,"modified-release oral tablet"
"259",171,"CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","Simple transform to:",NA,"modified-release oral capsule"
"260",172,"CAPSULE (IMMEDIATE AND DELAYED RELEASE)","Simple transform to:",NA,"modified-release oral capsule"
"261",173,"TABLET (IMMEDIATE AND EXTENDED RELEASE)","Simple transform to:",NA,"modified-release oral tablet"
"262",174,"OIL","Simple transform to:",NA,"liquid"
