"ntp_code","ntp_en_description","ntp_fr_description","ntp_status","ntp_status_effective_time","ntp_type","ntp_formal_name"
9006538,NA,NA,"active",1975-12-31,NA,"ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet"
9006537,NA,NA,"active",1974-12-31,NA,"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet"
9006536,NA,NA,"active",1974-12-31,NA,"ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet"
9001338,NA,NA,"inactive",2017-09-14,NA,"trazodone hydrochloride 300 mg prolonged-release oral tablet"
9001337,NA,NA,"inactive",2017-09-14,NA,"trazodone hydrochloride 150 mg prolonged-release oral tablet"
9001097,NA,NA,"inactive",2017-09-14,NA,"dexamethasone 0.5 mg per 5 mL oral solution"
9001281,NA,NA,"inactive",2017-09-01,NA,"enalapril sodium 32 mg oral tablet"
9001295,NA,NA,"inactive",2017-09-01,NA,"azithromycin (azithromycin hydrogen citrate) 500 mg per vial powder for solution for injection"
9001384,NA,NA,"inactive",2017-08-29,NA,"ciprofloxacin (ciprofloxacin lactate) 2 mg per mL solution for injection"
9006290,NA,NA,"inactive",2017-08-28,NA,"ibuprofen 400 mg per 4 mL solution for injection vial"
9000394,NA,NA,"inactive",2017-08-25,NA,"testosterone enanthate 2000 mg per 10 mL solution for injection vial"
9000523,NA,NA,"inactive",2017-08-25,NA,"haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial"
9000183,NA,NA,"inactive",2017-08-25,NA,"conjugated estrogens 1.25 mg oral tablet"
9000349,NA,NA,"inactive",2017-08-25,NA,"conjugated estrogens 0.9 mg oral tablet"
9000030,NA,NA,"inactive",2017-08-25,NA,"conjugated estrogens 0.625 mg oral tablet"
9000339,NA,NA,"inactive",2017-08-22,NA,"sulfamethoxazole 40 mg per 5 mL and trimethoprim 8 mg per 5 mL oral suspension"
9000965,NA,NA,"inactive",2017-08-22,NA,"ketorolac tromethamine 30 mg per mL solution for injection"
9000655,NA,NA,"inactive",2017-08-22,NA,"diltiazem hydrochloride 90 mg prolonged-release oral capsule"
9000654,NA,NA,"inactive",2017-08-22,NA,"diltiazem hydrochloride 60 mg prolonged-release oral capsule"
9000869,NA,NA,"inactive",2017-08-21,NA,"ipratropium bromide 0.3 mg per mL nasal spray"
9002468,NA,NA,"inactive",2017-08-21,NA,"hydrocodone bitartrate 5 mg oral tablet"
9000129,NA,NA,"inactive",2017-08-21,NA,"hydrochlorothiazide 100 mg oral tablet"
9006229,NA,NA,"inactive",2017-08-16,NA,"morphine sulfate 5 mg per 5 mL solution for injection vial"
9006228,NA,NA,"inactive",2017-08-16,NA,"morphine sulfate 2 mg per mL solution for injection 50 mL vial"
9006226,NA,NA,"inactive",2017-08-16,NA,"morphine sulfate 1 mg per mL solution for injection 50 mL vial"
9000362,NA,NA,"inactive",2017-08-16,NA,"morphine sulfate 100 mg per 4 mL solution for injection ampoule"
9006235,NA,NA,"inactive",2017-08-16,NA,"dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops"
9006219,NA,NA,"inactive",2017-08-03,NA,"morphine sulfate 50 mg per mL solution for injection 20 mL vial"
9000331,NA,NA,"inactive",2017-08-03,NA,"morphine sulfate 2 mg per 1 mL solution for injection ampoule"
9000924,NA,NA,"inactive",2017-08-03,NA,"meperidine hydrochloride 50 mg per mL solution for injection"
9000175,NA,NA,"inactive",2017-08-03,NA,"furosemide 20 mg per 2 mL solution for injection syringe"
9000322,NA,NA,"inactive",2017-08-03,NA,"fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule"
9000319,NA,NA,"inactive",2017-08-03,NA,"fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection ampoule"
9000166,NA,NA,"inactive",2017-08-03,NA,"codeine phosphate 60 mg per 1 mL solution for injection ampoule"
9006237,NA,NA,"inactive",2017-07-29,NA,"epinephrine 1 mg per 1 mL solution for injection"
9006223,NA,NA,"inactive",2017-07-19,NA,"acetaminophen 500 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet"
9000550,NA,NA,"inactive",2017-07-11,NA,"verapamil hydrochloride 240 mg prolonged-release oral capsule"
9000549,NA,NA,"inactive",2017-07-11,NA,"verapamil hydrochloride 180 mg prolonged-release oral capsule"
9000548,NA,NA,"inactive",2017-07-11,NA,"verapamil hydrochloride 120 mg prolonged-release oral capsule"
9006467,NA,NA,"inactive",2017-07-07,NA,"triamcinolone hexacetonide 20 mg per 1 mL suspension for injection vial"
9000350,NA,NA,"inactive",2017-07-07,NA,"conjugated estrogens 2.5 mg oral tablet"
9000397,NA,NA,"inactive",2017-07-07,NA,"acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet"
9001474,NA,NA,"active",2017-02-06,NA,"hydromorphone hydrochloride 10 mg per 1 mL solution for injection ampoule"
9006551,NA,NA,"active",1993-12-31,NA,"desogestrel 150 mcg and ethinyl estradiol 30 mcg oral tablet with lactose oral tablet"
9001473,NA,NA,"active",2017-02-06,NA,"hydromorphone hydrochloride 100 mg per 10 mL solution for injection ampoule"
9001470,NA,NA,"active",2016-12-02,NA,"methotrexate (methotrexate sodium) 22.5 mg per 0.45 mL solution for injection 0.45 mL syringe"
9001468,NA,NA,"active",2016-12-02,NA,"methotrexate (methotrexate sodium) 17.5 mg per 0.35 mL solution for injection 0.35 mL syringe"
9001466,NA,NA,"active",2016-09-06,NA,"morphine sulfate 5 mg oral capsule"
9001458,NA,NA,"active",2016-05-06,NA,"testosterone 4.5 % nasal gel"
9000365,NA,NA,"inactive",2017-08-03,NA,"morphine sulfate 50 mg per 1 mL solution for injection ampoule"
9001440,NA,NA,"active",2015-03-02,NA,"clindamycin hydrochloride 300 mg oral capsule"
9001430,NA,NA,"active",2014-07-22,NA,"olanzapine (olanzapine tartrate) 10 mg powder for solution for injection"
9001428,NA,NA,"active",2014-05-14,NA,"fentanyl (fentanyl citrate) 800 mcg buccal tablet"
9006220,NA,NA,"inactive",2017-08-11,NA,"nitroglycerin 100 mg per 10 mL solution for injection vial"
9001427,NA,NA,"active",2014-05-14,NA,"fentanyl (fentanyl citrate) 600 mcg buccal tablet"
9001426,NA,NA,"active",2014-05-14,NA,"fentanyl (fentanyl citrate) 400 mcg buccal tablet"
9001425,NA,NA,"active",2014-05-14,NA,"fentanyl (fentanyl citrate) 200 mcg buccal tablet"
9001424,NA,NA,"active",2014-05-14,NA,"fentanyl (fentanyl citrate) 100 mcg buccal tablet"
9001423,NA,NA,"active",2014-05-08,NA,"methotrexate 7.5 mg per 0.3 mL solution for injection syringe"
9001422,NA,NA,"active",2014-05-08,NA,"methotrexate 7.5 mg per 0.3 mL solution for injection"
9001421,NA,NA,"active",2014-05-08,NA,"methotrexate 25 mg per 1 mL solution for injection syringe"
9001420,NA,NA,"active",2014-05-08,NA,"methotrexate 20 mg per 0.8 mL solution for injection 0.8 mL syringe"
9001190,NA,NA,"inactive",2017-08-16,NA,"ciprofloxacin 10 mg per mL solution for injection"
9001404,NA,NA,"active",2013-06-04,NA,"nitroglycerin 62.2 mg per 22.2 sq cm transdermal patch"
9001403,NA,NA,"active",2013-06-04,NA,"nitroglycerin 41.4 mg per 14.8 sq cm transdermal patch"
9001402,NA,NA,"active",2013-06-04,NA,"nitroglycerin 20.7 mg per 7.4 sq cm transdermal patch"
9001401,NA,NA,"active",2013-05-08,NA,"testosterone 2 % cutaneous solution"
9006544,NA,NA,"active",1983-12-31,"comb","ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.75 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet"
9000173,NA,NA,"inactive",2017-08-25,NA,"propranolol hydrochloride 120 mg oral tablet"
9001376,NA,NA,"active",2012-02-06,NA,"hydrochlorothiazide 25 mg and telmisartan (telmisartan sodium) 80 mg oral tablet"
9006289,NA,NA,"active",2011-10-27,NA,"oxybutynin chloride 10 % cutaneous gel"
9001364,NA,NA,"active",2011-09-30,NA,"methotrexate 500 mg per 20 mL solution for injection vial"
9001363,NA,NA,"active",2011-09-30,NA,"methotrexate 1000 mg per 40 mL solution for injection vial"
9001349,NA,NA,"active",2011-06-03,NA,"fentanyl (fentanyl citrate) 800 mcg sublingual tablet"
9001348,NA,NA,"active",2011-06-02,NA,"dexamethasone 0.7 mg intravitreal implant"
9001345,NA,NA,"active",2011-04-18,NA,"fentanyl (fentanyl citrate) 200 mcg sublingual tablet"
9001344,NA,NA,"active",2011-04-18,NA,"fentanyl (fentanyl citrate) 100 mcg sublingual tablet"
9001326,NA,NA,"active",2010-11-01,NA,"fentanyl 37 mcg per hour transdermal patch"
9001307,NA,NA,"active",2010-03-04,NA,"hydromorphone hydrochloride 8 mg prolonged-release oral tablet"
9001418,NA,NA,"active",2014-05-08,NA,"methotrexate 10 mg per 0.4 mL solution for injection 0.4 mL syringe"
9001305,NA,NA,"active",2010-03-04,NA,"hydromorphone hydrochloride 32 mg prolonged-release oral tablet"
9001304,NA,NA,"active",2010-03-04,NA,"hydromorphone hydrochloride 16 mg prolonged-release oral tablet"
9001299,NA,NA,"active",2009-11-23,NA,"epinephrine 0.3 mg per 0.3 mL solution for injection 0.3 mL syringe"
9001298,NA,NA,"active",2009-11-23,NA,"epinephrine 0.15 mg per 0.3 mL solution for injection 0.3 mL syringe"
9001352,NA,NA,"active",2011-06-14,NA,"fentanyl (fentanyl citrate) 600 mcg sublingual tablet"
9001463,NA,NA,"active",2016-09-06,NA,"morphine sulfate 10 mg oral capsule"
9001268,NA,NA,"active",2009-01-26,NA,"methotrexate (methotrexate sodium) 10 mg per 1 mL solution for injection syringe"
9000348,NA,NA,"inactive",2017-08-25,NA,"conjugated estrogens 0.3 mg oral tablet"
9000516,NA,NA,"inactive",2017-08-16,NA,"digoxin 0.05 mg per 1 mL solution for injection ampoule"
9001351,NA,NA,"active",2011-06-08,NA,"furosemide 40 mg per 4 mL solution for injection vial"
9001261,NA,NA,"active",2008-12-02,NA,"hydrochlorothiazide 25 mg and telmisartan 80 mg oral tablet"
9001350,NA,NA,"active",2011-06-08,NA,"furosemide 20 mg per 2 mL solution for injection vial"
9001005,NA,NA,"inactive",2017-08-01,NA,"ipratropium bromide 0.03 % nasal spray"
9001249,NA,NA,"active",2008-06-27,NA,"fentanyl 12 mcg per hour transdermal patch"
9000448,NA,NA,"inactive",2017-08-10,NA,"testosterone propionate 1000 mg per 10 mL solution for injection vial"
9001229,NA,NA,"active",2007-12-12,NA,"rivastigmine 9 mg per 5 sq cm transdermal patch"
9001228,NA,NA,"active",2007-12-12,NA,"rivastigmine 18 mg per 10 sq cm transdermal patch"
9001221,NA,NA,"active",2007-10-17,NA,"enalapril sodium (enalapril maleate) 8 mg oral tablet"
9001220,NA,NA,"active",2007-10-17,NA,"enalapril sodium (enalapril maleate) 4 mg oral tablet"
9001219,NA,NA,"active",2007-10-17,NA,"enalapril sodium (enalapril maleate) 2 mg oral tablet"
9001218,NA,NA,"active",2007-10-17,NA,"enalapril sodium (enalapril maleate) 16 mg oral tablet"
9001217,NA,NA,"active",2007-10-17,NA,"enalapril sodium 2 mg oral tablet"
9001199,NA,NA,"active",2007-04-30,NA,"olanzapine 20 mg oral tablet"
9000925,NA,NA,"inactive",2017-08-03,NA,"meperidine hydrochloride 75 mg per mL solution for injection"
9001163,NA,NA,"active",2006-07-04,NA,"fentanyl 50 mcg per hour transdermal patch"
9001162,NA,NA,"active",2006-07-04,NA,"fentanyl 25 mcg per hour transdermal patch"
9001161,NA,NA,"active",2006-07-04,NA,"fentanyl 100 mcg per hour transdermal patch"
9006208,NA,NA,"active",1986-12-31,NA,"meperidine hydrochloride 10 mg per mL solution for injection 30 mL vial"
9001132,NA,NA,"active",2005-12-01,NA,"azithromycin (azithromycin hemiethanolate) 250 mg oral tablet"
9006475,NA,NA,"active",2004-12-02,NA,"ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system"
9006246,NA,NA,"active",1995-12-31,NA,"mesalazine 1 g per 100 mL rectal suspension"
9000602,NA,NA,"active",1995-12-31,NA,"mesalazine 1 g suppository"
9000244,NA,NA,"active",1986-12-31,NA,"betamethasone (betamethasone valerate) 0.05 % lotion"
9001152,NA,NA,"active",2006-06-08,NA,"dexamethasone 2 mg oral tablet"
9000310,NA,NA,"active",1988-12-31,NA,"verapamil hydrochloride 240 mg prolonged-release oral tablet"
9001077,NA,NA,"active",2004-04-12,NA,"methotrexate 10 mg oral tablet"
9001069,NA,NA,"active",2004-01-12,NA,"olanzapine (olanzapine tartrate) 10 mg per vial powder for solution for injection"
9000058,NA,NA,"active",1972-12-31,NA,"clindamycin (clindamycin palmitate hydrochloride) 75 mg per 5 mL powder for oral solution"
9001240,NA,NA,"active",2008-03-27,NA,"ciprofloxacin 2 mg per mL solution for injection"
9000147,NA,NA,"active",2016-10-31,NA,"epinephrine 0.3 mg per 0.3 mL solution for injection syringe"
9001378,NA,NA,"active",2012-02-16,NA,"hydrochlorothiazide 12.5 mg and telmisartan (telmisartan sodium) 80 mg oral tablet"
9000648,NA,NA,"active",1996-08-26,NA,"dexamethasone 0.5 mg oral tablet"
9001024,NA,NA,"active",2003-04-24,NA,"estradiol 8 mg transdermal patch"
9001022,NA,NA,"active",2003-04-24,NA,"estradiol 4 mg transdermal patch"
9006224,NA,NA,"inactive",2017-08-16,NA,"hydrocortisone acetate 2.5 % ophthalmic ointment"
9001019,NA,NA,"active",2003-04-01,NA,"diclofenac sodium 1.5 % cutaneous solution"
9000373,NA,NA,"active",1979-12-31,NA,"amoxicillin 125 mg per 5 mL oral suspension"
9000262,NA,NA,"active",1986-12-31,NA,"morphine sulfate 30 mg per 30 mL solution for injection vial"
9000010,NA,NA,"active",1953-12-31,NA,"testosterone cypionate 1000 mg per 10 mL solution for injection vial"
9000125,NA,NA,"active",1979-12-31,NA,"carbidopa 10 mg and levodopa 100 mg oral tablet"
9001007,NA,NA,"active",2002-12-05,NA,"rivastigmine (rivastigmine hydrogen tartrate) 2 mg per mL oral solution"
9001377,NA,NA,"active",2012-02-10,NA,"betamethasone valerate 0.12 % cutaneous foam"
9001000,NA,NA,"active",2002-10-03,NA,"estradiol 0.39 mg transdermal patch"
9000475,NA,NA,"active",1993-12-31,NA,"morphine sulfate 100 mg prolonged-release oral tablet"
9000996,NA,NA,"active",2002-08-22,NA,"salbutamol (salbutamol sulfate) 100 mcg per actuation pressurised inhalation"
9000726,NA,NA,"inactive",2017-08-10,NA,"hydroxyzine hydrochloride 500 mg per 10 mL solution for injection vial"
9000993,NA,NA,"active",2002-06-24,NA,"olanzapine 15 mg oral tablet"
9001341,NA,NA,"active",2011-04-14,NA,"hydromorphone hydrochloride 9 mg prolonged-release oral capsule"
9001072,NA,NA,"active",2004-03-12,NA,"estradiol 2 mg transdermal patch"
9000413,NA,NA,"active",1992-12-31,NA,"dexamethasone 0.5 mg per 5 mL oral liquid"
9000989,NA,NA,"active",2002-06-10,NA,"clindamycin (clindamycin phosphate) 1 % pad"
9000984,NA,NA,"active",2002-05-06,NA,"testosterone 1 % cutaneous gel 5 g sachet"
9000464,NA,NA,"active",1993-12-31,NA,"enalapril maleate 10 mg oral tablet"
9000328,NA,NA,"active",1989-12-31,NA,"hydromorphone hydrochloride 8 mg oral tablet"
9000958,NA,NA,"active",2001-09-05,NA,"estradiol 1.56 mg transdermal patch"
9000203,NA,NA,"active",1984-12-31,NA,"hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule"
9000957,NA,NA,"active",2001-09-05,NA,"estradiol 1.17 mg transdermal patch"
9000762,NA,NA,"active",1997-12-01,NA,"estradiol 3.8 mg transdermal patch"
9000955,NA,NA,"active",2001-09-05,NA,"estradiol 0.585 mg transdermal patch"
9000950,NA,NA,"active",2001-08-16,NA,"hydrochlorothiazide 12.5 mg and telmisartan 80 mg oral tablet"
9000948,NA,NA,"active",2001-07-03,NA,"hydromorphone hydrochloride 18 mg prolonged-release oral capsule"
9000936,NA,NA,"active",2001-03-14,NA,"naproxen 250 mg gastro-resistant tablet"
9000929,NA,NA,"active",2001-01-02,NA,"salbutamol (salbutamol sulfate) 200 mcg inhalation powder"
9006238,NA,NA,"inactive",2017-08-25,NA,"salbutamol (salbutamol sulfate) 5 mg per mL nebuliser solution 10 mL bottle"
9000243,NA,NA,"active",1986-12-31,NA,"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet"
9000922,NA,NA,"active",2000-10-02,NA,"salbutamol (salbutamol sulfate) 12.5 mg per 2.5 mL inhalation solution unit dose vial"
9001439,NA,NA,"active",2015-03-02,NA,"clindamycin hydrochloride 150 mg oral capsule"
9000905,NA,NA,"active",2000-05-21,NA,"salbutamol (salbutamol sulfate) 6.25 mg per 2.5 mL inhalation solution unit dose vial"
9000786,NA,NA,"active",1998-03-04,NA,"ipratropium bromide 0.025 % per 1 mL inhalation solution unit dose vial"
9000902,NA,NA,"active",2000-05-15,NA,"rivastigmine (rivastigmine hydrogen tartrate) 4.5 mg oral capsule"
9000901,NA,NA,"active",2000-05-15,NA,"rivastigmine (rivastigmine hydrogen tartrate) 3 mg oral capsule"
9002467,NA,NA,"active",1992-12-31,NA,"hydrocodone bitartrate 1 mg per mL syrup"
9000843,NA,NA,"active",1999-04-01,NA,"nitroglycerin 44.8 mg transdermal patch"
9001471,NA,NA,"active",2016-12-02,NA,"methotrexate (methotrexate sodium) 25 mg per 0.5 mL solution for injection 0.5 mL syringe"
9000885,NA,NA,"active",2000-02-10,NA,"fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection vial"
9000876,NA,NA,"active",1999-11-22,NA,"oxybutynin chloride 2.5 mg oral tablet"
9000943,NA,NA,"active",2001-06-22,NA,"oxybutynin chloride 10 mg prolonged-release oral tablet"
9000146,NA,NA,"active",1980-12-31,NA,"diclofenac sodium 50 mg gastro-resistant tablet"
9000903,NA,NA,"active",2000-05-15,NA,"rivastigmine (rivastigmine hydrogen tartrate) 6 mg oral capsule"
9000142,NA,NA,"inactive",2017-08-10,NA,"triamcinolone acetonide 0.025 % cutaneous cream"
9000640,NA,NA,"active",1996-02-02,NA,"ipratropium bromide 42 mcg per actuation nasal spray"
9000862,NA,NA,"active",1999-08-27,NA,"azithromycin 500 mg per vial powder for solution for injection"
9000049,NA,NA,"inactive",2017-09-01,NA,"erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension"
9000849,NA,NA,"active",1999-05-24,NA,"salbutamol (salbutamol sulfate) 5 mg per 5 mL solution for injection ampoule"
9001397,NA,NA,"active",2013-03-12,NA,"mesalazine 1 g prolonged-release oral tablet"
9000777,NA,NA,"inactive",2017-09-12,NA,"acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection"
9000845,NA,NA,"active",1999-04-15,NA,"ipratropium bromide 0.3 mg per mL inhalation vapour (liquid)"
9000667,NA,NA,"active",1996-11-04,NA,"olanzapine 7.5 mg oral tablet"
9000844,NA,NA,"active",1999-04-01,NA,"nitroglycerin 67.2 mg transdermal patch"
9000327,NA,NA,"active",1989-12-31,NA,"hydromorphone hydrochloride 1 mg per mL oral liquid"
9000842,NA,NA,"active",1999-04-01,NA,"nitroglycerin 22.4 mg transdermal patch"
9006540,NA,NA,"active",1980-12-31,NA,"ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet"
9001068,NA,NA,"active",2004-01-09,NA,"olanzapine 15 mg orodispersible tablet"
9006265,NA,NA,"active",1999-04-01,NA,"dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per 1 mL solution for injection vial"
9000977,NA,NA,"active",2002-03-22,NA,"estradiol 5 mg transdermal patch"
9001392,NA,NA,"active",2012-10-18,NA,"morphine sulfate 50 mg per 5 mL solution for injection ampoule"
9000839,NA,NA,"active",1999-03-23,NA,"azithromycin 250 mg oral tablet"
9006264,NA,NA,"active",1999-01-19,NA,"clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 60 mL vial"
9006263,NA,NA,"active",1999-01-19,NA,"clindamycin (clindamycin phosphate) 150 mg per mL solution for injection 120 mL vial"
9000269,NA,NA,"active",1987-12-31,NA,"enalapril sodium 16 mg oral tablet"
9000829,NA,NA,"active",1998-12-04,NA,"ipratropium bromide 0.5 mg per 2 mL inhalation solution unit dose vial"
9000817,NA,NA,"active",1998-10-07,NA,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % ophthalmic ointment"
9001205,NA,NA,"active",2007-07-27,NA,"mesalazine 1.2 g modified-release oral tablet"
9000477,NA,NA,"active",1993-12-31,NA,"morphine sulfate 15 mg prolonged-release oral tablet"
9000804,NA,NA,"active",1998-07-15,NA,"valproic acid (sodium valproate) 50 mg per mL syrup"
9000944,NA,NA,"active",2001-06-22,NA,"oxybutynin chloride 5 mg prolonged-release oral tablet"
9001306,NA,NA,"active",2010-03-04,NA,"hydromorphone hydrochloride 4 mg prolonged-release oral tablet"
9000797,NA,NA,"active",1998-04-08,NA,"cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet"
9000674,NA,NA,"inactive",2017-09-08,NA,"metronidazole 0.75 % cutaneous cream"
9000395,NA,NA,"active",1991-12-31,NA,"verapamil hydrochloride 120 mg prolonged-release oral tablet"
9000408,NA,NA,"active",1992-12-31,NA,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % ophthalmic drops"
9000065,NA,NA,"active",1973-12-31,NA,"clindamycin (clindamycin phosphate) 600 mg per 4 mL solution for injection vial"
9000734,NA,NA,"inactive",2017-08-22,NA,"salbutamol 2.5 mg per 2.5 mL inhalation solution unit dose vial"
9000808,NA,NA,"active",1998-08-13,NA,"salbutamol (salbutamol sulfate) 100 mcg pressurised inhalation"
9006256,NA,NA,"inactive",2017-08-29,NA,"benztropine mesylate 2 mg per 5 mL oral solution"
9000781,NA,NA,"active",1998-02-16,NA,"hydromorphone hydrochloride 30 mg prolonged-release oral capsule"
9000736,NA,NA,"active",1997-07-21,NA,"azithromycin 600 mg oral tablet"
9000772,NA,NA,"active",1998-01-07,NA,"ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet"
9000759,NA,NA,"active",1997-11-20,NA,"valproic acid (sodium valproate) 250 mg per 5 mL syrup"
9001469,NA,NA,"active",2016-12-02,NA,"methotrexate (methotrexate sodium) 20 mg per 0.4 mL solution for injection 0.4 mL syringe"
9000755,NA,NA,"active",1997-10-29,NA,"ipratropium bromide 250 mcg per 2 mL inhalation solution unit dose vial"
9000612,NA,NA,"active",1995-12-31,NA,"methotrexate (methotrexate sodium) 50 mg per 2 mL solution for injection vial"
9000745,NA,NA,"active",1997-08-20,NA,"furosemide 500 mg oral tablet"
9000740,NA,NA,"active",1997-08-04,NA,"morphine sulfate 5 mg suppository"
9000739,NA,NA,"active",1997-08-04,NA,"morphine sulfate 30 mg suppository"
9000983,NA,NA,"active",2002-05-06,NA,"testosterone 1 % cutaneous gel 2.5 g sachet"
