tm_code,tm_formal_name
8000291,moxifloxacin
8000783,naloxone and oxycodone
8000218,naproxen
8000123,nifedipine
8000050,nitrofurantoin
8000044,nitroglycerin
8000020,norethindrone
8000784,normethadone and p-hydroxyephedrine
8000026,nortriptyline
8000078,nystatin
8000226,olanzapine
8000383,olmesartan
8000251,olopatadine
8000131,omeprazole
8000079,oxazepam
8000219,oxybutynin
8000045,oxycodone
8000236,pantoprazole
8000185,paroxetine
8000064,penicillin v
8000786,pentazocine
8000206,perindopril
8000005,phenytoin (base)
8000004,phenytoin sodium
8000289,pioglitazone
8000253,pramipexole
8000141,pravastatin
8000051,prednisolone
8000014,prednisone
8000348,pregabalin
8000107,procyclidine
8000220,progesterone
8000086,propranolol
8000248,quetiapine
8000170,quinapril
8000029,quinine sulfate
8000314,rabeprazole
8000239,ramipril
8000120,ranitidine
8000273,repaglinide
8000278,risedronate
8000187,risperidone
8000379,rivaroxaban
8000287,rivastigmine
8000276,rizatriptan
8000322,rosuvastatin
8000132,salbutamol
8000391,saxagliptin
8000171,sertraline
8000268,sildenafil
8000142,simvastatin
8000374,sitagliptin
8000360,solifenacin
8000015,spironolactone
8000080,sulfamethoxazole and trimethoprim
8000234,sumatriptan
8000222,tacrolimus
8000331,tadalafil
8000352,tamsulosin
8000789,tapentadol
8000277,telmisartan
8000087,temazepam
8000247,terazosin
8000188,terbinafine
8000006,testosterone
8000081,timolol
8000320,tiotropium
8000265,tolterodine
8000240,topiramate
8000369,tramadol
8000250,trandolapril
8000381,travoprost
8000189,trazodone
8000030,triamcinolone acetonide
8000793,triamcinolone hexacetonide
8000233,valacyclovir
8000221,valproic acid
8000108,valproic acid (divalproex)
8000072,valproic acid (valproate)
8000249,valsartan
8000371,varenicline
8000254,venlafaxine
8000124,verapamil
8000172,vitamin D3 (cholecalciferol)
8000013,warfarin
8000143,zopiclone
,docusate
,docusate and senna
,fluconazole
,lactulose
,mupirocin
,bisacodyl
,aliskiren
,ambrisentan
,amiloride
,benazepril
,bosentan
,bumetanide
,captopril
,chlorthalidone
,cilazapril
,eplerenone
,esmolol
,ethacrynic acid
,hydralazine
,isosorbide dinitrate
,labetolol
,minoxidil
,nadolol
,nebivolol
,pindolol
,sotalol
,tolvaptan
