DPD_ROUTE_OF_ADMINISTRATION	DPD PHARMACEUTICAL_FORM	NTP_DOSAGE_FORM
RECTAL	SUSPENSION	rectal suspension
SOFT TISSUE INJECTION	SUSPENSION	suspension for injection
SUBCUTANEOUS	SUSPENSION	suspension for injection
TOPICAL	SUSPENSION	cutaneous suspension
INTRAVITREAL	SUSPENSION	suspension for injection
ORAL	SYRUP	syrup
ORAL	TABLET	oral tablet
SUBLINGUAL	TABLET	sublingual tablet
BUCCAL	TABLET	buccal tablet
RECTAL	TABLET	enema
INHALATION	TINCTURE	inhalation solution
DENTAL	TOOTHPASTE	toothpaste
TOPICAL	SPRAY	cutaneous spray
TOPICAL (COMMERCIAL)	SPRAY	cutaneous spray
TOPICAL (HOUSEHOLD)	SPRAY	cutaneous spray
NASAL	SPRAY	nasal spray
BUCCAL	SPRAY	oromucosal spray
OPHTHALMIC	SOLUTION (LONG-ACTING)	prolonged-release eye drops
VAGINAL	RING (SLOW-RELEASE)	ring (slow release)
TOPICAL (HOSPITAL/HC FACILITIES)	WIPE	wipe
TOPICAL	WIPE	wipe
TOPICAL (HOUSEHOLD)	WIPE	wipe
ORAL	CAPSULE (CONTROLLED-DELIVERY)	modified-release oral capsule
ORAL	TABLET (DELAYED-RELEASE)	gastro-resistant tablet
TOPICAL	GEL	cutaneous gel
VAGINAL	GEL	vaginal gel
INTRAINTESTINAL (UPPER)	GEL	intestinal gel
BUCCAL	GEL	oromucosal gel
TOPICAL (HOUSEHOLD)	GEL	cutaneous gel
INTRACERVICAL	GEL	endocervical gel 
URETHRAL	GEL	urethral gel
RECTAL	GEL	rectal gel
NASAL	GEL	nasal gel
OTIC	GEL	otic gel
OPHTHALMIC	GEL	ophthalmic gel
ORAL	GEL	oral gel
DENTAL	GEL	dental gel
SUBGINGIVAL	GEL	periodontal gel
TRANSDERMAL	GEL	transdermal gel
VAGINAL	OVULE	pessary
OPHTHALMIC	INSERT	ophthalmic insert
VAGINAL	INSERT	vaginal delivery system
NASAL	METERED-DOSE PUMP	nasal spray
SUBLINGUAL	METERED-DOSE PUMP	sublingual spray
INTRAMUSCULAR	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
INTRAVENOUS	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
SUBGINGIVAL	GEL (CONTROLLED-RELEASE)	periodontal gel
INTRAMUSCULAR	POWDER FOR SUSPENSION	powder for suspension for injection
INTRAVENOUS	POWDER FOR SUSPENSION	powder for suspension for injection
ORAL	POWDER FOR SUSPENSION	oral suspension
SUBCUTANEOUS	POWDER FOR SUSPENSION	powder for suspension for injection
INTRAVESICAL	POWDER FOR SUSPENSION	powder for intravesical suspension
TOPICAL	SWAB	swab
TOPICAL (HOSPITAL/HC FACILITIES)	SWAB	swab
INTRAUTERINE	INSERT (EXTENDED-RELEASE)	intrauterine delivery system
ORAL	TABLET (ORALLY DISINTEGRATING)	orodispersible tablet
SUBLINGUAL	TABLET (ORALLY DISINTEGRATING)	orodispersible tablet
BLOCK/INFILTRATION	SOLUTION	solution for injection
BUCCAL	SOLUTION	mouthwash
INTRACAUDAL	SOLUTION	solution for injection
DENTAL	SOLUTION	dental solution
DIALYSIS	SOLUTION	solution for haemodialysis
EPIDURAL	SOLUTION	solution for injection
INTRA-ARTICULAR	SOLUTION	solution for injection
INTRA-AMNIOTIC	SOLUTION	solution for injection
INTRA-ARTERIAL	SOLUTION	solution for injection
INTRABURSAL	SOLUTION	solution for injection
INTRACARDIAC	SOLUTION	solution for injection
INTRACRANIAL	SOLUTION	solution for injection
INTRACUTANEOUS	SOLUTION	solution for injection
INTRADERMAL	SOLUTION	solution for injection
INTRAMUSCULAR	SOLUTION	solution for injection
INHALATION	SOLUTION	inhalation solution
INTRATHECAL	SOLUTION	solution for injection
INTRAOCULAR	SOLUTION	solution for injection
INTRAPERITONEAL	SOLUTION	solution for peritoneal dialysis
IRRIGATION	SOLUTION	irrigation solution
INSTILLATION	SOLUTION	solution for cardioplegia
INTRASPINAL	SOLUTION	solution for injection
INTRASYNOVIAL	SOLUTION	solution for injection
INTRATRACHEAL	SOLUTION	endotracheopulmonary instillation
INTRAVENOUS	SOLUTION	solution for injection
INTRAVENTRICULAR	SOLUTION	solution for injection
NASAL	SOLUTION	nasal spray
OPHTHALMIC	SOLUTION	ophthalmic drops
ORAL	SOLUTION	oral solution
OTIC	SOLUTION	otic drops
PARENTERAL (UNSPECIFIED)	SOLUTION	solution for injection
RETROBULBAR	SOLUTION	solution for injection
SUBARACHNOIDAL	SOLUTION	solution for injection
SUBCUTANEOUS	SOLUTION	solution for injection
SUBMUCOSAL	SOLUTION	solution for injection
TOPICAL	SOLUTION	cutaneous solution
TOPICAL (COMMERCIAL)	SOLUTION	cutaneous solution
TOPICAL (HOSPITAL/HC FACILITIES)	SOLUTION	cutaneous solution
TOPICAL (HOUSEHOLD)	SOLUTION	cutaneous solution
URETHRAL	SOLUTION	intravesical solution
INTRAVITREAL	SOLUTION	solution for injection
INTRAGANGLIONAL	SOLUTION	solution for injection
PERCUTANEOUS	SOLUTION	solution for injection
INTRAVESICAL	SOLUTION	intravesical solution
INTRAVASCULAR	SOLUTION	solution for injection
INTRAVENOUS	LIPOSOMES	powder for suspension for infusion
ORAL	CAPSULE (DELAYED RELEASE)	gastro-resistant capsule
NASOGASTRIC	CAPSULE (DELAYED RELEASE)	gastro-resistant capsule
ORAL	TABLET (COMBINED RELEASE)	modified-release oral tablet
ORAL	CAPSULE (EXTENDED RELEASE)	prolonged-release oral capsule
INTRAMUSCULAR	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
TRANSDERMAL	PATCH	transdermal patch
TOPICAL	PATCH	cutaneous patch
ORAL	"GRANULES FOR SUSPENSION, DELAYED RELEASE"	gastro-resistant granules for oral suspension
ORAL	TABLET (IMMEDIATE RELEASE)	oral tablet
ORAL	TABLET (CHEWABLE)	chewable tablet
SUBGINGIVAL	POWDER (EXTENDED RELEASE)	prolonged-release periodontal powder
INHALATION	POWDER (METERED DOSE)	inhalation powder
VAGINAL	VAGINAL TABLET	vaginal tablet
SUBCUTANEOUS	SOLUTION (EXTENDED RELEASE)	solution for injection
ORAL	TABLET FOR SUSPENSION	dispersible oral tablet
ORAL	GRANULES FOR SUSPENSION	oral suspension
NASAL	"SPRAY, METERED DOSE"	nasal spray
TOPICAL	"SPRAY, METERED DOSE"	cutaneous spray
ORAL	TABLET (DELAYED AND EXTENDED RELEASE)	modified-release oral tablet
TRANSDERMAL	PATCH (EXTENDED RELEASE)	transdermal patch
ORAL	CAPSULE (IMMEDIATE RELEASE)	oral capsule
INHALATION	"AEROSOL, METERED DOSE"	pressurised inhalation
ORAL	GRANULES FOR SOLUTION	granules for oral solution
TOPICAL	"SPRAY, BAG-ON-VALVE"	spray (bag-on-valve)
VAGINAL	"VAGINAL TABLET, EFFERVESCENT"	effervescent vaginal tablet
TOPICAL	"AEROSOL, FOAM"	cutaneous foam
ORAL	"FILM, SOLUBLE"	orodispersible film
ORAL	TABLET (IMMEDIATE AND DELAYED-RELEASE)	modified-release oral tablet
ORAL	CAPSULE (IMMEDIATE AND EXTENDED RELEASE)	modified-release oral capsule
ORAL	CAPSULE (IMMEDIATE AND DELAYED RELEASE)	modified-release oral capsule
ORAL	TABLET (IMMEDIATE AND EXTENDED RELEASE)	modified-release oral tablet
TOPICAL	OIL	liquid
BUCCAL	KIT	kit
INTRAMUSCULAR	KIT	kit
ORAL	KIT	kit
RECTAL	KIT	kit
DENTAL	KIT	kit
TOPICAL	KIT	kit
RECTAL	"AEROSOL, FOAM"	rectal foam
"OPHTHALMIC, TOPICAL"	DROPS	ophthalmic drops
"OPHTHALMIC, TOPICAL"	OINTMENT	ophthalmic ointment
"OPHTHALMIC, OTIC"	DROPS	ophthalmic/otic drops
"OPHTHALMIC, OTIC"	SUSPENSION	ophthalmic/otic drops
"OPHTHALMIC, OTIC"	OINTMENT	ophthalmic/otic ointment
"OPHTHALMIC, OTIC"	SOLUTION	ophthalmic/otic drops
"ORAL, RECTAL"	POWDER FOR SOLUTION	powder for oral/rectal suspension
"ORAL, RECTAL"	POWDER	powder for oral/rectal suspension
"BUCCAL, ORAL"	LIQUID	oromucosal solution
"BUCCAL, ORAL"	PASTE	oromucosal paste
"RECTAL, TOPICAL"	OINTMENT	rectal ointment
"RECTAL, TOPICAL"	GEL	rectal gel
"BUCCAL, SUBLINGUAL"	TABLET (EFFERVESCENT)	buccal tablet
"NASOGASTRIC, ORAL"	POWDER FOR SOLUTION	powder for oral solution
"NASOGASTRIC, ORAL"	CAPSULE (DELAYED RELEASE)	gastro-resistant capsule
"NASAL, ORAL"	SPRAY	nasal spray
"INHALATION, TOPICAL"	TINCTURE	inhalation solution
"INHALATION, NASAL"	POWDER	nasal powder
"INHALATION, NASAL"	LIQUID	nasal spray
"BUCCAL, TOPICAL"	LIQUID	oromucosal solution
"TOPICAL, VAGINAL"	CREAM	vaginal cream
"INHALATION, ORAL"	SOLUTION	nebuliser solution
"INHALATION, ORAL"	POWDER	inhalation powder
"INHALATION, ORAL"	METERED-DOSE AEROSOL	pressurised inhalation
"INTRADERMAL, TOPICAL"	LIQUID	solution for injection
"INTRAPERITONEAL, IRRIGATION"	SOLUTION	solution for injection
"INTRAPERITONEAL, IRRIGATION"	LIQUID	solution for injection
"INTRAVENOUS, ORAL"	LIQUID	solution for injection
"INTRAVENOUS, ORAL"	SOLUTION	solution for injection
"INTRAMUSCULAR, TOPICAL"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAVENOUS, IRRIGATION"	SOLUTION	solution for injection
"INTRAMUSCULAR, INTRAVENOUS"	EMULSION	emulsion for injection
"INTRAMUSCULAR, INTRAVENOUS"	LIQUID	solution for injection
"INTRAMUSCULAR, INTRAVENOUS"	POWDER	powder for suspension for injection
"INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION	suspension for injection
"INTRAMUSCULAR, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAMUSCULAR, INTRAVENOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for solution for injection
"INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRADERMAL, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRADERMAL, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRADERMAL, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRADERMAL, SUBCUTANEOUS"	SOLUTION	solution for injection
"PERCUTANEOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"PERCUTANEOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRACUTANEOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRACUTANEOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRAVENOUS, INTRAVESICAL"	SOLUTION	solution for injection
"INTRAVENOUS, INTRAVESICAL"	POWDER FOR SOLUTION	powder for solution for injection
"BLOCK/INFILTRATION, EPIDURAL"	LIQUID	solution for injection
"BLOCK/INFILTRATION, EPIDURAL"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRAVENOUS"	LIQUID	solution for injection
"INTRA-ARTERIAL, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTERIAL, INTRAVENOUS"	SOLUTION	solution for injection
"EPIDURAL, INTRAVENOUS"	SOLUTION	solution for injection
"EPIDURAL, INTRAVENOUS"	LIQUID	solution for injection
"INTRAVASCULAR, SUBARACHNOIDAL"	SOLUTION	solution for injection
"EPIDURAL, INTRACAUDAL"	SOLUTION	solution for injection
"EPIDURAL, RETROBULBAR"	SOLUTION	solution for injection
"INTRACARDIAC, INTRAVENOUS"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRABURSAL"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRABURSAL"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	EMULSION	emulsion for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	LIQUID	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION	suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	EMULSION	emulsion for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	LIQUID	solution for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER	powder for suspension for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION	suspension for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	SOLUTION	solution for injection
"EPIDURAL, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
