drug_code,unit_of_presentation,uop_size,uop_unit_of_measure,calculation,,,
89327,bag,50,mL,Y,,,
940,ampoule,1,mL,Y,,,
940,ampoule,30,mL,Y,,,
8352,syringe,10,mL,Y,,,
79244,syringe,0.3,mL,N,,,
79245,syringe,0.3,mL,N,,,
5970,syringe,0.3,mL,N,,,
91538,syringe,0.3,mL,N,,,
9164,ampoule,1,mL,Y,,,
3883,syringe,0.3,mL,N,,,
81063,ampoule,1,mL,Y,,,
91537,syringe,0.3,mL,N,,,
92016,ampoule,1,mL,Y,,,
44261,vial,2,mL,Y,,,
80550,syringe,1,mL,N,,,
80551,syringe,1.5,mL,N,,,
80549,syringe,0.75,mL,N,,,
94145,syringe,0.35,mL,N,,,
94163,syringe,0.4,mL,N,,,
94146,syringe,0.45,mL,N,,,
94164,syringe,0.5,mL,N,,,
19681,vial,2,mL,Y,,,
19681,vial,20,mL,Y,,,
19681,vial,40,mL,Y,,,
42844,vial,20,mL,Y,,,
44262,vial,2,mL,Y,,,
44264,vial,40,mL,Y,,,
88338,vial,2,mL,Y,,,
88338,vial,20,mL,Y,,,
90222,vial,2,mL,Y,,,
90222,vial,40,mL,Y,,,
90372,vial,2,mL,Y,,,
90372,vial,40,mL,Y,,,
90688,syringe,0.4,mL,N,,,
90689,syringe,0.6,mL,N,,,
90690,syringe,0.8,mL,N,,,
81253,vial,2,mL,Y,,,
81253,vial,20,mL,Y,,,
81253,vial,40,mL,Y,,,
90691,syringe,1,mL,N,,,
90687,syringe,0.3,mL,N,,,
12968,ampoule,10,mL,Y,,,
13966,ampoule,10,mL,Y,,,
6871,vial,30,mL,Y,,,
12728,ampoule,5,mL,Y,,,
14020,ampoule,5,mL,Y,,,
12991,ampoule,1,mL,Y,,,
86878,ampoule,1,mL,Y,,,
86878,ampoule,5,mL,Y,,,
12992,ampoule,1,mL,Y,,,
3042,ampoule,1,mL,Y,,,
12990,ampoule,1,mL,Y,,,
12701,ampoule,1,mL,Y,,,
12701,ampoule,4,mL,Y,,,
7136,vial,30,mL,Y,,,
12702,ampoule,1,mL,Y,,,
12702,vial,20,mL,N,,,
12702,vial,50,mL,N,,,
43511,unit dose vial,2,mL,Y,,,
13191,unit dose vial,2,mL,Y,,,
13190,unit dose vial,2,mL,Y,,,
19761,unit dose vial,2.5,mL,Y,,,
60224,unit dose vial,2.5,mL,Y,,,
62834,unit dose vial,2.5,mL,Y,,,
67769,unit dose vial,2.5,mL,Y,,,
13550,unit dose vial,2.5,mL,Y,,,
13668,bottle,10,mL,N,,,
19763,unit dose vial,2.5,mL,Y,,,
50819,unit dose vial,2.5,mL,Y,,,
43194,unit dose vial,2.5,mL,Y,,,
60225,unit dose vial,2.5,mL,Y,,,
43100,unit dose vial,2.5,mL,N,,,
19058,unit dose vial,2.5,mL,Y,,,
19762,unit dose vial,2.5,mL,Y,,,
51054,unit dose vial,2.5,mL,Y,,,
60226,unit dose vial,2.5,mL,Y,,,
62835,unit dose vial,2.5,mL,Y,,,
43101,unit dose vial,2.5,mL,N,,,
10391,bottle,10,mL,N,,,
16521,bottle,10,mL,N,,,
16452,bottle,10,mL,N,,,
43108,bottle,10,mL,N,,,
68321,cartridge,3,mL,N,,,
69441,vial,10,mL,N,,,
86282,cartridge,3,mL,N,,,
94775,vial,10,mL,N,,,
94776,cartridge,3,mL,N,,,
94777,pen,3,mL,N,,,
75736,cartridge,3,mL,N,,,
89748,pen,3,mL,N,,,
92621,pen,1.5,mL,N,,,
12570,cartridge,3,mL,N,,,
14261,vial,10,mL,N,,,
14266,cartridge,3,mL,N,,,
88825,pen,3,mL,N,,,
47871,vial,10,mL,N,,,
47872,cartridge,3,mL,N,,,
88822,pen,3,mL,N,,,
92402,pen,3,mL,N,,,
5326,vial,10,mL,N,,,
61553,tube,0.5,mL,Y,,,
61553,tube,1,mL,Y,,,
61553,tube,1.5,mL,Y,,,
61553,tube,3,mL,Y,,,
61553,tube,4,mL,Y,,,
69384,sachet,2.5,g,N,,,
69385,sachet,5,g,N,,,
11011,vial,10,mL,Y,,,
74553,vial,10,mL,Y,,,
9613,vial,5,mL,Y,,,
10312,vial,10,mL,Y,,,
31358,vial,10,mL,Y,,,
8118,vial,1,mL,Y,,,
50516,vial,10,mL,Y,,,
16848,vial,10,mL,Y,,,
93234,vial,10,mL,Y,,,
43431,ampoule,1,mL,Y,,,
70198,vial,10,mL,Y,,,
11224,vial,10,mL,Y,,,
13414,vial,10,mL,Y,,,
47450,vial,5,mL,Y,,,
13998,vial,5,mL,Y,,,
47461,vial,5,mL,Y,,,
35794,vial,1,mL,Y,,,
44212,ampoule,1,mL,Y,,,
82711,vial,12.5,mL,Y,,,
4703,ampoule,5,mL,Y,,,
36481,vial,1,mL,Y,,,
36481,vial,10,mL,Y,,,
6593,vial,5,mL,Y,,,
13255,vial,5,mL,Y,,,
36480,vial,1,mL,Y,,,
87333,vial,1,mL,Y,,,
12208,vial,1,mL,Y,,,
18325,vial,1,mL,Y,,,
18325,vial,5,mL,Y,,,
18325,vial,50,mL,Y,,,
86244,vial,4,mL,Y,,,
86244,vial,8,mL,Y,,,
6872,vial,30,mL,N,,,
65676,vial,20,mL,N,,,
31288,vial,50,mL,N,,,
49612,vial,60,mL,N,,,
49612,vial,120,mL,N,,,
49605,vial,2,mL,Y,,,
49605,vial,4,mL,Y,,,
49605,vial,6,mL,Y,,,
13077,vial,5,mL,Y,,,
13077,vial,10,mL,Y,,,
13077,vial,50,mL,N,,,
31285,vial,5,mL,Y,,,
31285,vial,50,mL,N,,,
3043,ampoule,1,ml,Y,,,
13078,vial,1,ml,Y,,,
13078,vial,50,mL,N,,,
31286,vial,50,mL,N,,,
66221,vial,1,ml,Y,,,
6690,ampoule,1,ml,Y,,,
6690,ampoule,4,ml,Y,,,
13079,vial,30,mL,N,,,
7421,vial,1,ml,Y,,,
7421,vial,5,mL,Y,,,
7421,vial,10,mL,Y,,,
7421,vial,50,mL,N,,,
70586,bag,250,mL,N,,,
70586,bottle,250,mL,N,,,
91749,bag,250,mL,N,,,
65646,ampoule,1,mL,Y,,,
10954,bottle,100,mL,Y,,,
74685,bag,100,mL,Y,,,
74685,bag,200,mL,Y,,,
87397,bottle,100,mL,Y,,,
51066,vial,20,mL,Y,,,
87646,vial,20,mL,Y,,,
87304,vial,20,mL,Y,,,
87304,vial,40,mL,Y,,,
42910,vial,10,mL,Y,,,
79483,bag,250,mL,N,,,
65675,ampoule,1,mL,Y,,,
8487,ampoule,1,mL,Y,,,
65673,ampoule,1,mL,Y,,,
8121,ampoule,1,mL,Y,,,
65674,ampoule,1,mL,Y,,,
8120,ampoule,1,mL,Y,,,
4226,vial,10,mL,Y,,,
5705,vial,10,mL,Y,,,
5704,vial,10,mL,Y,,,
94330,vial,10,mL,Y,,,
12237,vial,1,mL,Y,,,
94414,ampoule,1,mL,Y,,,
94415,ampoule,20,mL,Y,,,
94416,ampoule,5,mL,Y,,,
94416,ampoule,20,mL,Y,,,
