"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"inactive",84537,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","200","MG","NEW","02360411"
"inactive",84538,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","250","MG","ADDED","02360438"
"inactive",84538,20642,"Tapentadol (Tapentadol Hydrochloride)","250","MG","DELETED","02360438"
"inactive",84538,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","250","MG","NEW","02360438"
"active",85038,20671,"FINGOLIMOD (FINGOLIMOD HYDROCHLORIDE)","0.5","MG","ADDED","02365480"
"active",85038,20671,"Fingolimod (Fingolimod Hydrochloride)","0.5","MG","DELETED","02365480"
"active",85038,20671,"FINGOLIMOD (FINGOLIMOD HYDROCHLORIDE)","0.5","MG","NEW","02365480"
"approved",85108,20686,"CLEVIDIPINE","0.5","MG","ADDED","02366223"
"approved",85108,20686,"clevidipine","0.5","MG","DELETED","02366223"
"approved",85108,20686,"CLEVIDIPINE","0.5","MG","NEW","02366223"
"approved",85128,11344,"AMLODIPINE (AMLODIPINE MESYLATE)","5","MG","NEW","02366436"
"approved",85129,11344,"AMLODIPINE (AMLODIPINE MESYLATE)","10","MG","NEW","02366452"
"approved",85316,20726,"SODIUM (4-DIMETHYLAMINO-O-TOLYL) PHOSPHONATE TRIHYDRATE","100","MG","ADDED","02368188"
"approved",85316,20726,"Sodium (4-dimethylamino-o-tolyl) phosphonate trihydrate","100","MG","DELETED","02368188"
"approved",85316,20726,"SODIUM (4-DIMETHYLAMINO-O-TOLYL) PHOSPHONATE TRIHYDRATE","100","MG","NEW","02368188"
"active",85352,20742,"TICAGRELOR","90","MG","ADDED","02368544"
"active",85352,20742,"Ticagrelor","90","MG","DELETED","02368544"
"active",85352,20742,"TICAGRELOR","90","MG","NEW","02368544"
"active",85561,20872,"TOLVAPTAN","15","MG","ADDED","02370468"
"active",85561,20872,"Tolvaptan","15","MG","DELETED","02370468"
"active",85561,20872,"TOLVAPTAN","15","MG","NEW","02370468"
"active",85562,20872,"TOLVAPTAN","30","MG","ADDED","02370476"
"active",85562,20872,"Tolvaptan","30","MG","DELETED","02370476"
"active",85562,20872,"TOLVAPTAN","30","MG","NEW","02370476"
"approved",85563,20872,"TOLVAPTAN","60","MG","ADDED","02370484"
"approved",85563,20872,"Tolvaptan","60","MG","DELETED","02370484"
"approved",85563,20872,"TOLVAPTAN","60","MG","NEW","02370484"
"active",85626,20883,"ABIRATERONE ACETATE","250","MG","ADDED","02371065"
"active",85626,20883,"Abiraterone acetate","250","MG","DELETED","02371065"
"active",85626,20883,"ABIRATERONE ACETATE","250","MG","NEW","02371065"
"active",85628,21616,"INCOBOTULINUMTOXINA","50","UNIT","ADDED","02371081"
"active",85628,21616,"IncobotulinumtoxinA","50","UNIT","DELETED","02371081"
"active",85628,21616,"INCOBOTULINUMTOXINA","50","UNIT","NEW","02371081"
"inactive",85671,20897,"TELAPREVIR","375","MG","NEW","02371553"
"active",85865,20966,"TYLVALOSIN (TYLVALOSIN TARTRATE)","625","MG","NEW","02373505"
"active",85917,20982,"COLESEVELAM HYDROCHLORIDE","625","MG","ADDED","02373955"
"active",85917,20982,"Colesevelam hydrochloride","625","MG","DELETED","02373955"
"active",85917,20982,"COLESEVELAM HYDROCHLORIDE","625","MG","NEW","02373955"
"active",85949,20991,"RUBIDIUM CHLORIDE RB 82","3.7","GBQ","NEW","02374285"
"active",85959,21001,"ROBENACOXIB","20","MG","NEW","02374382"
"active",86001,21001,"ROBENACOXIB","5","MG","NEW","02374692"
"active",86002,21001,"ROBENACOXIB","10","MG","NEW","02374706"
"active",86003,21001,"ROBENACOXIB","20","MG","NEW","02374714"
"active",86004,21001,"ROBENACOXIB","40","MG","NEW","02374722"
"active",86017,21015,"ASENAPINE (ASENAPINE MALEATE)","5","MG","ADDED","02374803"
"active",86017,21015,"Asenapine (Asenapine maleate)","5","MG","DELETED","02374803"
"active",86017,21015,"ASENAPINE (ASENAPINE MALEATE)","5","MG","NEW","02374803"
"active",86018,21015,"ASENAPINE (ASENAPINE MALEATE)","10","MG","ADDED","02374811"
"active",86018,21015,"Asenapine (Asenapine maleate)","10","MG","DELETED","02374811"
"active",86018,21015,"ASENAPINE (ASENAPINE MALEATE)","10","MG","NEW","02374811"
"active",86025,21018,"DIENOGEST","2.00","MG","ADDED","02374900"
"active",86025,21018,"Dienogest","2.00","MG","DELETED","02374900"
"active",86025,21018,"DIENOGEST","2.00","MG","NEW","02374900"
"active",86123,21001,"ROBENACOXIB","6","MG","NEW","02375834"
"active",86128,8642,"DOXYCYCLINE (DOXYCYCLINE MONOHYDRATE)","40","MG","ADDED","02375885"
"active",86128,8642,"DOXYCYCLINE (Doxycycline Monohydrate)","40","MG","DELETED","02375885"
"active",86128,8642,"DOXYCYCLINE (DOXYCYCLINE MONOHYDRATE)","40","MG","NEW","02375885"
"active",86194,21059,"HYDROCORTISONE ACEPONATE","0.584","MG","NEW","02376482"
"active",86250,21063,"INDACATEROL (INDACATEROL MALEATE)","75","MCG","ADDED","02376938"
"active",86250,21063,"Indacaterol (Indacaterol Maleate)","75","MCG","DELETED","02376938"
"active",86250,21063,"INDACATEROL (INDACATEROL MALEATE)","75","MCG","NEW","02376938"
"active",86259,21066,"PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE)","1","MG","ADDED","02377012"
"active",86259,21066,"Prucalopride (Prucalopride Succinate)","1","MG","DELETED","02377012"
"active",86259,21066,"PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE)","1","MG","NEW","02377012"
"active",86260,21066,"PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE)","2","MG","ADDED","02377020"
"active",86260,21066,"Prucalopride (Prucalopride Succinate)","2","MG","DELETED","02377020"
"active",86260,21066,"PRUCALOPRIDE (PRUCALOPRIDE SUCCINATE)","2","MG","NEW","02377020"
"inactive",86283,309,"IRON (FERUMOXYTOL)","30","MG","NEW","02377217"
"active",86284,21077,"PLERIXAFOR","20","MG","ADDED","02377225"
"active",86284,21077,"Plerixafor","20","MG","DELETED","02377225"
"active",86284,21077,"PLERIXAFOR","20","MG","NEW","02377225"
"active",86287,21078,"APIXABAN","2.5","MG","ADDED","02377233"
"active",86287,21078,"Apixaban","2.5","MG","DELETED","02377233"
"active",86287,21078,"APIXABAN","2.5","MG","NEW","02377233"
"active",86314,21079,"ERIBULIN MESYLATE","0.5","MG","ADDED","02377438"
"active",86314,21079,"Eribulin Mesylate","0.5","MG","DELETED","02377438"
"active",86314,21079,"ERIBULIN MESYLATE","0.5","MG","NEW","02377438"
"active",86409,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","50","MG","ADDED","02378272"
"active",86409,20642,"Tapentadol (Tapentadol Hydrochloride)","50","MG","DELETED","02378272"
"active",86409,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","50","MG","NEW","02378272"
"active",86410,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","75","MG","ADDED","02378280"
"active",86410,20642,"Tapentadol (Tapentadol Hydrochloride)","75","MG","DELETED","02378280"
"active",86410,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","75","MG","NEW","02378280"
"active",86411,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","100","MG","ADDED","02378299"
"active",86411,20642,"Tapentadol (Tapentadol Hydrochloride)","100","MG","DELETED","02378299"
"active",86411,20642,"TAPENTADOL (TAPENTADOL HYDROCHLORIDE)","100","MG","NEW","02378299"
"approved",86500,21018,"DIENOGEST","2","MG","ADDED","02379112"
"approved",86500,21018,"DIENOGEST","3","MG","ADDED","02379112"
"approved",86500,7420,"ESTRADIOL VALERATE","1","MG","ADDED","02379112"
"approved",86500,7420,"ESTRADIOL VALERATE","2","MG","ADDED","02379112"
"approved",86500,7420,"ESTRADIOL VALERATE","3","MG","ADDED","02379112"
"approved",86500,21018,"Dienogest","2","MG","DELETED","02379112"
"approved",86500,21018,"Dienogest","3","MG","DELETED","02379112"
"approved",86500,7420,"Estradiol Valerate","1","MG","DELETED","02379112"
"approved",86500,7420,"Estradiol Valerate","2","MG","DELETED","02379112"
"approved",86500,7420,"Estradiol Valerate","3","MG","DELETED","02379112"
"approved",86500,21018,"DIENOGEST","2","MG","NEW","02379112"
"approved",86500,21018,"DIENOGEST","3","MG","NEW","02379112"
"approved",86500,7420,"ESTRADIOL VALERATE","1","MG","NEW","02379112"
"approved",86500,7420,"ESTRADIOL VALERATE","2","MG","NEW","02379112"
"approved",86500,7420,"ESTRADIOL VALERATE","3","MG","NEW","02379112"
"approved",86505,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","ADDED","02379163"
"approved",86505,12371,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","20","MG","DELETED","02379163"
"approved",86505,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","NEW","02379163"
"active",86506,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","40","MG","ADDED","02379171"
"active",86506,12371,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","40","MG","DELETED","02379171"
"active",86506,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","40","MG","NEW","02379171"
"active",86525,21164,"IPILIMUMAB","5","MG","ADDED","02379384"
"active",86525,21164,"Ipilimumab","5","MG","DELETED","02379384"
"active",86525,21164,"IPILIMUMAB","5","MG","NEW","02379384"
"active",86606,21189,"VEMURAFENIB","240","MG","ADDED","02380242"
"active",86606,21189,"Vemurafenib","240","MG","DELETED","02380242"
"active",86606,21189,"VEMURAFENIB","240","MG","NEW","02380242"
"active",86721,21230,"AZILSARTAN MEDOXOMIL (AZILSARTAN MEDOXOMIL POTASSIUM)","40","MG","ADDED","02381389"
"active",86721,21230,"Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)","40","MG","DELETED","02381389"
"active",86721,21230,"AZILSARTAN MEDOXOMIL (AZILSARTAN MEDOXOMIL POTASSIUM)","40","MG","NEW","02381389"
"active",86722,21230,"AZILSARTAN MEDOXOMIL (AZILSARTAN MEDOXOMIL POTASSIUM)","80","MG","ADDED","02381397"
"active",86722,21230,"Azilsartan Medoxomil (Azilsartan Medoxomil Potassium)","80","MG","DELETED","02381397"
"active",86722,21230,"AZILSARTAN MEDOXOMIL (AZILSARTAN MEDOXOMIL POTASSIUM)","80","MG","NEW","02381397"
"inactive",86740,21236,"OFATUMUMAB","100","MG","ADDED","02381559"
"inactive",86740,21236,"Ofatumumab","100","MG","DELETED","02381559"
"inactive",86740,21236,"OFATUMUMAB","100","MG","NEW","02381559"
"inactive",86741,21236,"OFATUMUMAB","1000","MG","ADDED","02381567"
"inactive",86741,21236,"Ofatumumab","1000","MG","DELETED","02381567"
"inactive",86741,21236,"OFATUMUMAB","1000","MG","NEW","02381567"
"active",86772,21252,"GRASS POLLEN ALLERGEN EXTRACT","100","UNIT","NEW","02381885"
"active",86773,21252,"GRASS POLLEN ALLERGEN EXTRACT","300","UNIT","NEW","02381893"
"active",86922,21616,"INCOBOTULINUMTOXINA","100","UNIT","ADDED","02383489"
"active",86922,21616,"IncobotulinumtoxinA","100","UNIT","DELETED","02383489"
"active",86922,21616,"INCOBOTULINUMTOXINA","100","UNIT","NEW","02383489"
"active",86999,21291,"CRIZOTINIB","200","MG","ADDED","02384256"
"active",86999,21291,"Crizotinib","200","MG","DELETED","02384256"
"active",86999,21291,"CRIZOTINIB","200","MG","NEW","02384256"
"active",87000,21291,"CRIZOTINIB","250","MG","ADDED","02384264"
"active",87000,21291,"Crizotinib","250","MG","DELETED","02384264"
"active",87000,21291,"CRIZOTINIB","250","MG","NEW","02384264"
"inactive",87006,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","ADDED","02384329"
"inactive",87006,12371,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","20","MG","DELETED","02384329"
"inactive",87006,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","NEW","02384329"
"inactive",87007,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","40","MG","ADDED","02384337"
"inactive",87007,12371,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","40","MG","DELETED","02384337"
"inactive",87007,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","40","MG","NEW","02384337"
"inactive",87134,21300,"CATUMAXOMAB","0.1","MG","NEW","02385724"
"inactive",87135,21300,"CATUMAXOMAB","0.1","MG","NEW","02385732"
"inactive",87179,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","ADDED","02386216"
"inactive",87179,12371,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","20","MG","DELETED","02386216"
"inactive",87179,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","20","MG","NEW","02386216"
"inactive",87180,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","40","MG","ADDED","02386224"
"inactive",87180,12371,"ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","40","MG","DELETED","02386224"
"inactive",87180,12371,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM DIHYDRATE)","40","MG","NEW","02386224"
"approved",87195,21304,"REMESTEMCEL-L","100000000","UNIT","NEW","02386380"
"active",87275,21336,"FIDAXOMICIN","200","MG","ADDED","02387174"
"active",87275,21336,"Fidaxomicin","200","MG","DELETED","02387174"
"active",87275,21336,"FIDAXOMICIN","200","MG","NEW","02387174"
"active",87281,21337,"ZINC SULFATE MONOHYDRATE","0.5","%","ADDED","02387239"
"active",87281,21337,"Zinc sulfate monohydrate","0.5","%","DELETED","02387239"
"active",87281,21337,"ZINC SULFATE MONOHYDRATE","0.5","%","NEW","02387239"
"active",87302,21354,"LEVOMEFOLATE CALCIUM","0.451","MG","ADDED","02387433"
"active",87302,21354,"Levomefolate Calcium","0.451","MG","DELETED","02387433"
"active",87302,21354,"LEVOMEFOLATE CALCIUM","0.451","MG","NEW","02387433"
"active",87330,21366,"TILDIPIROSIN","180","MG","NEW","02387719"
"active",87332,21617,"ABOBOTULINUMTOXINA","300","UNIT","ADDED","02387735"
"active",87332,21617,"AbobotulinumtoxinA","300","UNIT","DELETED","02387735"
"active",87332,21617,"ABOBOTULINUMTOXINA","300","UNIT","NEW","02387735"
"active",87334,21372,"LURASIDONE HYDROCHLORIDE","40","MG","ADDED","02387751"
"active",87334,21372,"Lurasidone Hydrochloride","40","MG","DELETED","02387751"
"active",87334,21372,"LURASIDONE HYDROCHLORIDE","40","MG","NEW","02387751"
"active",87335,21372,"LURASIDONE HYDROCHLORIDE","80","MG","ADDED","02387778"
"active",87335,21372,"Lurasidone Hydrochloride","80","MG","DELETED","02387778"
"active",87335,21372,"LURASIDONE HYDROCHLORIDE","80","MG","NEW","02387778"
"active",87336,21372,"LURASIDONE HYDROCHLORIDE","120","MG","ADDED","02387786"
"active",87336,21372,"Lurasidone Hydrochloride","120","MG","DELETED","02387786"
"active",87336,21372,"LURASIDONE HYDROCHLORIDE","120","MG","NEW","02387786"
"active",87357,21376,"RUXOLITINIB (RUXOLITINIB PHOSPHATE)","5","MG","ADDED","02388006"
"active",87357,21376,"Ruxolitinib (Ruxolitinib Phosphate)","5","MG","DELETED","02388006"
"active",87357,21376,"RUXOLITINIB (RUXOLITINIB PHOSPHATE)","5","MG","NEW","02388006"
