"tm_formal_name","ccdd","n_dins","n_ntps","status","tm_status_effective_time","tm_code"
"simvastatin",TRUE,102,1,"active",1990-12-31,8000142
"zopiclone",TRUE,40,1,"active",1990-12-31,8000143
"belladonna and opium",TRUE,1,1,"active",1991-12-31,8000785
"clozapine",TRUE,10,1,"active",1991-12-31,8000147
"mometasone",TRUE,15,6,"active",1991-12-31,8000148
"amlodipine",TRUE,62,1,"active",1992-12-31,8000153
"amoxicillin and clavulanic acid",TRUE,18,3,"active",1992-12-31,8000154
"ciprofloxacin",TRUE,83,6,"active",1992-12-31,8000159
"clarithromycin",TRUE,29,3,"active",1992-12-31,8000160
"clobetasol",TRUE,22,7,"active",1992-12-31,8000161
"dextroamphetamine",TRUE,4,2,"active",1992-12-31,8000162
"doxazosin",TRUE,18,1,"active",1992-12-31,8000163
"ethinyl estradiol and norgestimate",TRUE,8,1,"active",1992-12-31,8000164
"felodipine",TRUE,8,1,"active",1992-12-31,8000165
"finasteride",TRUE,24,1,"active",1992-12-31,8000166
"hydrocodone",TRUE,3,2,"active",1992-12-31,8000777
"insulin isophane human",TRUE,4,1,"active",1992-12-31,8000168
"ketorolac",TRUE,12,3,"active",1992-12-31,8000169
"quinapril",TRUE,20,1,"active",1992-12-31,8000170
"sertraline",TRUE,63,1,"active",1992-12-31,8000171
"vitamin D3",TRUE,12,2,"active",1992-12-31,8000172
"fluticasone",TRUE,13,4,"active",1993-03-12,8000173
"desogestrel and ethinyl estradiol",TRUE,12,1,"active",1993-12-31,8000179
"diclofenac and misoprostol",TRUE,6,2,"active",1993-12-31,8000180
"domperidone",TRUE,13,1,"active",1993-12-31,8000181
"mesalazine",TRUE,14,7,"active",1993-12-31,8000183
"metformin",TRUE,44,2,"active",1993-12-31,8000184
"paroxetine",TRUE,60,2,"active",1993-12-31,8000185
"risperidone",TRUE,113,5,"active",1993-12-31,8000187
"terbinafine",TRUE,15,3,"active",1993-12-31,8000188
"trazodone",TRUE,24,2,"active",1993-12-31,8000189
"cyclobenzaprine",TRUE,12,1,"active",1994-12-31,8000196
"digoxin",TRUE,9,3,"active",1994-12-31,8000198
"gabapentin",TRUE,90,2,"active",1994-12-31,8000200
"hydrochlorothiazide and lisinopril",TRUE,18,1,"active",1994-12-31,8000201
"hydrocodone and phenylephrine",TRUE,2,1,"active",1994-12-31,8000781
"ipratropium",TRUE,18,4,"active",1994-12-31,8000202
"isosorbide mononitrate",TRUE,5,1,"active",1994-12-31,8000203
"lithium (ion)",TRUE,1,1,"active",1994-12-31,8000204
"minocycline",TRUE,20,2,"active",1994-12-31,8000205
"perindopril",TRUE,3,1,"active",1994-12-31,8000206
"beclomethasone",TRUE,6,3,"active",1995-12-31,8000208
"cefprozil",TRUE,18,2,"active",1995-12-31,8000210
"estradiol",TRUE,26,5,"active",1995-12-31,8000213
"lamotrigine",TRUE,29,1,"active",1995-12-31,8000214
"lansoprazole",TRUE,26,2,"active",1995-12-31,8000215
"losartan",TRUE,54,1,"active",1995-12-31,8000216
"methotrexate",TRUE,24,2,"active",1995-12-31,8000217
"oxybutynin",TRUE,16,4,"active",1995-12-31,8000219
"progesterone",TRUE,5,4,"active",1995-12-31,8000220
"valproic acid",TRUE,10,2,"active",1995-12-31,8000221
"tacrolimus",TRUE,13,4,"active",1996-08-14,8000222
"azithromycin",TRUE,38,4,"active",1996-09-26,8000224
"fenofibrate",TRUE,25,2,"active",1996-10-02,8000225
"olanzapine",TRUE,144,3,"active",1996-11-04,8000226
"insulin lispro",TRUE,4,1,"active",1996-11-15,8000787
"hydrochlorothiazide and losartan",TRUE,40,1,"active",1996-11-22,8000229
"ciclopirox",TRUE,8,4,"active",1996-12-03,8000230
"valacyclovir",TRUE,21,1,"active",1996-12-31,8000233
"normethadone and p-hydroxyephedrine",TRUE,1,1,"active",1997-01-23,8000784
"sumatriptan",TRUE,35,3,"active",1997-02-11,8000234
"atorvastatin",TRUE,80,1,"active",1997-03-05,8000235
"pantoprazole",TRUE,39,2,"active",1997-03-05,8000236
"cetirizine",TRUE,20,4,"active",1997-03-06,8000237
"clobazam",TRUE,5,1,"active",1997-03-24,8000238
"ramipril",TRUE,76,2,"active",1997-03-24,8000239
"topiramate",TRUE,62,2,"active",1997-03-25,8000240
"latanoprost",TRUE,8,1,"active",1997-07-28,8000244
"donepezil",TRUE,48,2,"active",1997-08-20,8000246
"terazosin",TRUE,28,1,"active",1997-09-26,8000247
"quetiapine",TRUE,113,2,"active",1997-12-10,8000248
"valsartan",TRUE,54,2,"active",1997-12-15,8000249
"trandolapril",TRUE,4,1,"active",1998-01-07,8000250
"olopatadine",TRUE,9,1,"active",1998-02-09,8000251
"pramipexole",TRUE,42,1,"active",1998-02-26,8000253
"venlafaxine",TRUE,48,1,"active",1998-03-04,8000254
"cyproterone and ethinyl estradiol",TRUE,5,1,"active",1998-04-08,8000256
"bupropion",TRUE,18,1,"active",1998-05-05,8000257
"irbesartan",TRUE,58,1,"active",1998-06-22,8000259
"montelukast",TRUE,49,3,"active",1998-08-21,8000261
"hydrochlorothiazide and quinapril",TRUE,6,1,"active",1998-10-01,8000262
"clopidogrel",TRUE,20,1,"active",1998-10-13,8000263
"tolterodine",TRUE,16,2,"active",1998-11-23,8000265
"candesartan",TRUE,58,1,"active",1998-12-07,8000266
"citalopram",TRUE,75,1,"active",1999-03-08,8000267
"sildenafil",TRUE,48,2,"active",1999-03-09,8000268
"amiodarone",TRUE,17,2,"active",1999-03-29,8000269
"celecoxib",TRUE,42,1,"active",1999-04-19,8000271
"dorzolamide and timolol",TRUE,11,1,"active",1999-05-27,8000272
"repaglinide",TRUE,21,1,"active",1999-06-21,8000273
"rizatriptan",TRUE,37,2,"active",1999-08-31,8000276
"telmisartan",TRUE,30,1,"active",1999-09-01,8000277
"risedronate",TRUE,25,2,"active",1999-09-07,8000278
"fluticasone and salmeterol",TRUE,5,2,"active",1999-09-24,8000279
"hydrochlorothiazide and irbesartan",TRUE,41,1,"active",2000-03-16,8000284
"methadone",TRUE,10,3,"active",2000-05-05,8000285
"hydrochlorothiazide and valsartan",TRUE,38,1,"active",2000-05-10,8000286
"rivastigmine",TRUE,44,3,"active",2000-05-15,8000287
"butorphanol",TRUE,2,1,"active",2000-08-01,8000776
"pioglitazone",TRUE,51,1,"active",2000-08-28,8000289
"meloxicam",TRUE,22,1,"active",2000-09-26,8000290
"moxifloxacin",TRUE,16,3,"active",2000-10-20,8000291
"mirtazapine",TRUE,32,2,"active",2001-05-24,8000298
"candesartan and hydrochlorothiazide",TRUE,19,1,"active",2001-06-26,8000300
"hydrochlorothiazide and telmisartan",TRUE,26,1,"active",2001-08-16,8000301
"betahistine",TRUE,12,1,"active",2001-08-17,8000302
"esomeprazole",TRUE,18,3,"active",2001-08-20,8000303
"brompheniramine and guaifenesin and hydrocodone and phenylephrine",TRUE,1,1,"active",2001-09-06,8000780
"insulin aspart",TRUE,6,1,"active",2001-10-31,8000307
"alendronic acid",TRUE,36,1,"active",2002-02-14,8000312
"alfuzosin",TRUE,7,1,"active",2002-02-21,8000313
"rabeprazole",TRUE,23,1,"active",2002-04-02,8000314
"bimatoprost",TRUE,4,2,"active",2002-05-24,8000315
"insulin glargine",TRUE,6,1,"active",2002-07-24,8000317
"tiotropium",TRUE,2,2,"active",2002-11-21,8000320
"indapamide and perindopril",TRUE,3,1,"active",2002-12-19,8000321
"rosuvastatin",TRUE,82,1,"active",2003-02-19,8000322
"bisoprolol",TRUE,18,1,"active",2003-04-24,8000325
"ezetimibe",TRUE,17,1,"active",2003-06-15,8000326
"levetiracetam",TRUE,52,1,"active",2003-07-23,8000328
"carvedilol",TRUE,44,1,"active",2003-08-04,8000329
"dutasteride",TRUE,12,1,"active",2003-11-14,8000330
"tadalafil",TRUE,53,1,"active",2003-11-25,8000331
"fosinopril",TRUE,16,1,"active",2003-12-05,8000332
"ethinyl estradiol and norelgestromin",TRUE,1,1,"active",2003-12-24,8000334
"ciprofloxacin and dexamethasone (base)",TRUE,1,1,"active",2004-05-13,8000338
"ethinyl estradiol and etonogestrel",TRUE,1,1,"active",2004-12-02,8000343
"drospirenone and ethinyl estradiol",TRUE,8,1,"active",2004-12-22,8000345
"escitalopram",TRUE,42,2,"active",2005-02-14,8000346
"atomoxetine",TRUE,57,1,"active",2005-02-24,8000347
"pregabalin",TRUE,82,1,"active",2005-07-18,8000348
"acetaminophen and tramadol",TRUE,14,1,"active",2005-07-22,8000349
"tamsulosin",TRUE,10,2,"active",2005-10-11,8000352
"insulin detemir",TRUE,2,1,"active",2005-11-14,8000353
"alendronic acid and vitamin D3",TRUE,7,1,"active",2006-03-13,8000413
"solifenacin",TRUE,26,1,"active",2006-06-23,8000360
"ciclesonide",TRUE,4,2,"active",2006-09-27,8000367
"hydrochlorothiazide and ramipril",TRUE,17,1,"active",2006-11-16,8000368
"tramadol",TRUE,20,3,"active",2006-12-07,8000369
"varenicline",TRUE,3,2,"active",2007-04-11,8000371
"buprenorphine and naloxone",TRUE,6,1,"active",2007-11-26,8000372
"sitagliptin",TRUE,3,1,"active",2008-01-02,8000374
"duloxetine",TRUE,28,1,"active",2008-01-18,8000375
"dabigatran",TRUE,3,1,"active",2008-07-03,8000378
"rivaroxaban",TRUE,4,1,"active",2008-09-16,8000379
"travoprost",TRUE,5,1,"active",2008-11-10,8000381
"hydrochlorothiazide and olmesartan",TRUE,12,1,"active",2008-12-22,8000382
"olmesartan",TRUE,14,1,"active",2008-12-22,8000383
"desvenlafaxine",TRUE,2,1,"active",2009-03-05,8000385
"lisdexamfetamine",TRUE,7,1,"active",2009-08-04,8000387
"aripiprazole",TRUE,8,3,"active",2009-09-30,8000389
"metformin and sitagliptin",TRUE,6,2,"active",2009-10-08,8000390
"saxagliptin",TRUE,2,1,"active",2009-10-29,8000391
"buprenorphine",TRUE,4,1,"active",2010-05-26,8000775
"dexlansoprazole",TRUE,2,1,"active",2010-08-05,8000394
"naloxone and oxycodone",TRUE,4,1,"active",2010-10-05,8000783
"galantamine",TRUE,24,1,"active",2010-11-12,8000396
"esomeprazole and naproxen",TRUE,4,1,"active",2011-02-04,8000398
"air",FALSE,1,1,"active",1911-12-31,NA
"carbon dioxide",FALSE,3,1,"active",1911-12-31,NA
"carbon dioxide and oxygen",FALSE,6,1,"active",1911-12-31,NA
"helium",FALSE,3,1,"active",1911-12-31,NA
"helium and oxygen",FALSE,5,1,"active",1911-12-31,NA
"nitrogen",FALSE,9,2,"active",1911-12-31,NA
"nitrous oxide",FALSE,3,1,"active",1911-12-31,NA
"oxygen",FALSE,23,1,"active",1911-12-31,NA
"gold sodium thiomalate",FALSE,6,1,"active",1935-12-31,NA
"chloroxylenol",FALSE,29,4,"active",1938-12-31,NA
"pitcher plant",FALSE,1,1,"active",1942-12-31,NA
"NA",FALSE,76,17,"active",1944-12-31,NA
"primaquine phosphate",FALSE,1,1,"active",1945-12-31,NA
"propylthiouracil",FALSE,2,1,"active",1945-12-31,NA
"dihydroergotamine mesylate",FALSE,3,2,"active",1946-12-31,NA
"bismuth dipropylacetate",FALSE,1,1,"active",1950-12-31,NA
"acetylsalicylic acid",FALSE,74,4,"active",1951-12-31,NA
"bacitracin",FALSE,5,3,"active",1951-12-31,NA
"benzalkonium",FALSE,54,7,"active",1951-12-31,NA
"calcium chloride and dextrose and potassium chloride and sodium chloride and sodium lactate",FALSE,5,1,"active",1951-12-31,NA
"calcium chloride and potassium chloride and sodium chloride and sodium lactate",FALSE,6,2,"active",1951-12-31,NA
"camphor and diphenylpyraline hydrochloride and guaiacol carbonate",FALSE,2,1,"active",1951-12-31,NA
"dexpanthenol and lidocaine hydrochloride and nicotinamide and pyridoxine hydrochloride and vitamin B1 and vitamin B2 (riboflavin 5'-phosphate sodium)",FALSE,1,1,"active",1951-12-31,NA
"dextrose",FALSE,20,2,"active",1951-12-31,NA
"dextrose and sodium chloride",FALSE,17,2,"active",1951-12-31,NA
"dimenhydrinate",FALSE,32,8,"active",1951-12-31,NA
"gentian violet",FALSE,1,1,"active",1951-12-31,NA
"iothalamate meglumine",FALSE,4,2,"active",1951-12-31,NA
"lidocaine hydrochloride",FALSE,39,12,"active",1951-12-31,NA
"methenamine mandelate",FALSE,1,1,"active",1951-12-31,NA
"methylene blue",FALSE,6,2,"active",1951-12-31,NA
"mineral oil",FALSE,8,4,"active",1951-12-31,NA
"papaverine hydrochloride",FALSE,1,1,"active",1951-12-31,NA
"petrolatum",FALSE,11,3,"active",1951-12-31,NA
"potassium chloride",FALSE,7,3,"active",1951-12-31,NA
"sodium chloride",FALSE,31,6,"active",1951-12-31,NA
"sulfacetamide sodium",FALSE,2,1,"active",1951-12-31,NA
"thiamazole",FALSE,3,1,"active",1951-12-31,NA
"thiopental sodium",FALSE,5,1,"active",1951-12-31,NA
"thyroid",FALSE,3,1,"active",1951-12-31,NA
"tropicamide",FALSE,5,1,"active",1951-12-31,NA
"water",FALSE,19,3,"active",1951-12-31,NA
"white petrolatum",FALSE,12,3,"active",1951-12-31,NA
"ethopropazine (ethopropazine hydrochloride)",FALSE,1,1,"active",1952-12-31,NA
"succinylcholine chloride",FALSE,4,1,"active",1952-12-31,NA
"crotamiton",FALSE,1,1,"active",1953-12-31,NA
"busulfan",FALSE,2,2,"active",1954-12-31,NA
"epinephrine and lidocaine hydrochloride",FALSE,17,1,"active",1954-12-31,NA
"lidocaine",FALSE,15,5,"active",1954-12-31,NA
"mercaptopurine",FALSE,2,1,"active",1954-12-31,NA
"nylidrin hydrochloride",FALSE,1,1,"active",1955-12-31,NA
"acenocoumarol",FALSE,2,1,"active",1957-12-31,NA
"clioquinol and hydrocortisone",FALSE,1,1,"active",1957-12-31,NA
"phenobarbital",FALSE,5,2,"active",1957-12-31,NA
"spiramycin",FALSE,2,1,"active",1957-12-31,NA
"amphotericin b",FALSE,3,2,"active",1958-12-31,NA
"bisacodyl",FALSE,22,3,"active",1958-12-31,NA
"dextrose and magnesium chloride and potassium chloride and sodium acetate and sodium chloride and sodium gluconate",FALSE,3,1,"active",1958-12-31,NA
"methocarbamol",FALSE,5,2,"active",1958-12-31,NA
"methotrimeprazine (methotrimeprazine hydrochloride)",FALSE,1,1,"active",1958-12-31,NA
"belladonna and ergotamine tartrate and phenobarbital",FALSE,1,1,"active",1959-01-01,NA
"chloramphenicol (chloramphenicol sodium succinate)",FALSE,1,1,"active",1959-12-31,NA
"pilocarpine hydrochloride",FALSE,7,2,"active",1959-12-31,NA
"trimeprazine (trimeprazine tartrate)",FALSE,2,1,"active",1959-12-31,NA
"atropine sulfate and diphenoxylate hydrochloride",FALSE,1,1,"active",1960-12-31,NA
"codeine and pseudoephedrine hydrochloride and triprolidine hydrochloride",FALSE,3,1,"active",1960-12-31,NA
"ethosuximide",FALSE,2,2,"active",1960-12-31,NA
"hydrochlorothiazide and spironolactone",FALSE,4,1,"active",1960-12-31,NA
"methylprednisolone",FALSE,2,1,"active",1960-12-31,NA
"methylprednisolone acetate",FALSE,9,1,"active",1960-12-31,NA
"tetrahydrozoline hydrochloride",FALSE,3,1,"active",1960-12-31,NA
"xylometazoline hydrochloride",FALSE,17,2,"active",1960-12-31,NA
"acetaminophen",FALSE,140,10,"active",1961-12-31,NA
"chlordiazepoxide hydrochloride and clidinium bromide",FALSE,2,1,"active",1961-12-31,NA
"sodium polystyrene sulfonate",FALSE,5,6,"active",1961-12-31,NA
"clofedanol hydrochloride",FALSE,1,1,"active",1962-12-31,NA
"dextrose and sodium chloride and sodium lactate",FALSE,1,1,"active",1962-12-31,NA
"thioproperazine (thioproperazine mesylate)",FALSE,1,1,"active",1962-12-31,NA
"aluminum hydroxide (dried aluminum hydroxide gel) and magnesium hydroxide and simethicone",FALSE,3,2,"active",1963-12-31,NA
"aluminum hydroxide-magnesium carbonate-co dried gel and magnesium hydroxide and simethicone",FALSE,1,1,"active",1963-12-31,NA
"dactinomycin",FALSE,1,1,"active",1963-12-31,NA
"dexamethasone (base) and neomycin (neomycin sulfate) and polymyxin b sulfate",FALSE,3,2,"active",1963-12-31,NA
"glycerine and phenol and sodium chloride",FALSE,1,1,"active",1963-12-31,NA
"mannitol",FALSE,6,2,"active",1963-12-31,NA
"non pollen",FALSE,4,1,"active",1963-12-31,NA
"phenol and sodium chloride",FALSE,2,1,"active",1963-12-31,NA
"pollen",FALSE,3,1,"active",1963-12-31,NA
"simethicone",FALSE,16,7,"active",1963-12-31,NA
"atropine sulfate",FALSE,11,2,"active",1964-12-31,NA
"d-penicillamine",FALSE,1,1,"active",1964-12-31,NA
"aluminum chlorohydrate and methylprednisolone acetate and neomycin sulfate and sulfur",FALSE,1,1,"active",1965-12-31,NA
"dextrose and magnesium acetate and potassium acetate and sodium chloride",FALSE,1,1,"active",1965-12-31,NA
"magnesium chloride and potassium chloride and sodium acetate and sodium chloride and sodium gluconate",FALSE,4,1,"active",1965-12-31,NA
"tolnaftate",FALSE,16,6,"active",1965-12-31,NA
"ephedrine sulfate",FALSE,2,1,"active",1966-12-31,NA
"flecainide acetate",FALSE,6,1,"active",1966-12-31,NA
"mefenamic acid",FALSE,4,1,"active",1966-12-31,NA
"chlorpheniramine maleate",FALSE,4,2,"active",1967-12-31,NA
"chlorpromazine (chlorpromazine hydrochloride)",FALSE,3,1,"active",1967-12-31,NA
"isoniazid and pyridoxine hydrochloride",FALSE,1,1,"active",1967-12-31,NA
"carbon monoxide and neon and nitrogen and oxygen",FALSE,2,1,"active",1968-12-31,NA
"chloroquine diphosphate",FALSE,1,1,"active",1968-12-31,NA
"clioquinol and flumethasone pivalate",FALSE,2,2,"active",1968-12-31,NA
"dextran and dextrose",FALSE,1,1,"active",1968-12-31,NA
"dextran and sodium chloride",FALSE,1,1,"active",1968-12-31,NA
"ergoloid mesylates",FALSE,1,1,"active",1968-12-31,NA
"ethacrynic acid (ethacrynate sodium)",FALSE,1,1,"active",1968-12-31,NA
"calcium chloride and magnesium chloride and potassium chloride and sodium chloride",FALSE,3,3,"active",1969-12-31,NA
"citric acid and magnesium oxide and sodium carbonate (anhydrous)",FALSE,2,1,"active",1969-12-31,NA
"hypromellose",FALSE,6,1,"active",1969-12-31,NA
"periciazine",FALSE,4,2,"active",1969-12-31,NA
"thiothixene",FALSE,1,1,"active",1969-12-31,NA
"acetylsalicylic acid and butalbital and caffeine and codeine",FALSE,6,1,"active",1970-12-31,NA
"acetylsalicylic acid and caffeine and codeine",FALSE,7,1,"active",1970-12-31,NA
"betamethasone (base) and gentamicin (gentamicin sulfate)",FALSE,3,4,"active",1970-12-31,NA
"chloroxylenol and coal tar and menthol",FALSE,5,1,"active",1970-12-31,NA
"doxepin (doxepin hydrochloride)",FALSE,16,2,"active",1970-12-31,NA
"methylprednisolone (methylprednisolone sodium succinate)",FALSE,10,3,"active",1970-12-31,NA
"naphazoline hydrochloride",FALSE,8,1,"active",1970-12-31,NA
"octinoxate and oxybenzone",FALSE,55,9,"active",1970-12-31,NA
"procarbazine (procarbazine hydrochloride)",FALSE,1,1,"active",1970-12-31,NA
"acetylsalicylic acid and butalbital and caffeine",FALSE,6,2,"active",1971-12-31,NA
"chlorobutanol and dichlorobenzene and oil of turpentine and peanut oil",FALSE,1,1,"active",1971-12-31,NA
"daunorubicin (daunorubicin hydrochloride)",FALSE,2,1,"active",1971-12-31,NA
"imipramine hydrochloride",FALSE,10,1,"active",1971-12-31,NA
"cetrimonium bromide and disodium edetate",FALSE,1,1,"active",1972-12-31,NA
"chlorhexidine",FALSE,46,12,"active",1972-12-31,NA
"cyclopentolate",FALSE,5,1,"active",1972-12-31,NA
"danazol",FALSE,3,1,"active",1972-12-31,NA
"ethambutol hydrochloride",FALSE,2,1,"active",1972-12-31,NA
"fluorometholone",FALSE,2,1,"active",1972-12-31,NA
"isoniazid",FALSE,9,4,"active",1972-12-31,NA
"ketamine (ketamine hydrochloride)",FALSE,5,1,"active",1972-12-31,NA
"magnesium hydroxide and mineral oil",FALSE,1,1,"active",1972-12-31,NA
"trometamol",FALSE,1,1,"active",1972-12-31,NA
"amylase and lipase and protease",FALSE,12,4,"active",1973-12-31,NA
"arginine hydrochloride",FALSE,1,1,"active",1973-12-31,NA
"clomipramine hydrochloride",FALSE,3,1,"active",1973-12-31,NA
"coal tar and salicylic acid and triclosan",FALSE,1,1,"active",1973-12-31,NA
"cortisone acetate",FALSE,1,1,"active",1973-12-31,NA
"lidocaine hydrochloride and methylprednisolone acetate",FALSE,1,1,"active",1973-12-31,NA
"phenazopyridine hydrochloride",FALSE,4,1,"active",1973-12-31,NA
"pyrantel (pyrantel pamoate)",FALSE,8,3,"active",1973-12-31,NA
"pyrazinamide",FALSE,2,1,"active",1973-12-31,NA
"tetracosactide (tetracosactide zinc hydroxide)",FALSE,1,1,"active",1973-12-31,NA
"triclosan",FALSE,75,5,"active",1973-12-31,NA
"alanine and arginine and glycine and histidine and isoleucine and leucine and l-lysine (l-lysine hydrochloride) and magnesium chloride and methionine and phenylalanine and potassium phosphate dibasic and proline and sodium acetate and sodium chloride and threonine and tryptophan and tyrosine and valine",FALSE,1,1,"active",1974-12-31,NA
"chlorpropamide",FALSE,2,1,"active",1974-12-31,NA
"colistin (colistimethate sodium)",FALSE,3,1,"active",1974-12-31,NA
