rc_formal_name,formal_name,mp_code
"SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-CORTEF 1 GM ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 1 g powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","00030635"
"SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 40 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 40 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","02367947"
"LINESSA 21 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet) ASPEN PHARMACARE CANADA INC.","LINESSA 21 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet) ASPEN PHARMA TRADING LIMITED","02272903"
"DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC","DEMULEN 30 (28 DAY PACK) (ethinyl estradiol 30 mcg and ethynodiol diacetate 2 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","00471526"
"SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","02367963"
"MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) ALLERGAN INC","MINESTRIN 1/20 (ethinyl estradiol 20 mcg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","00343838"
"OLESTYR LIGHT POWDER SUGAR FREE (cholestyramine 4 g per sachet powder for oral suspension) PHARMASCIENCE INC","OLESTYR (cholestyramine 4 g per sachet powder for oral suspension) PHARMASCIENCE INC","00890960"
"MIN-OVRAL 28 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) PFIZER CANADA ULC","MIN-OVRAL 28 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC","02042339"
"SEASONIQUE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 10 mcg oral tablet) TEVA WOMENS HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC","SEASONIQUE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with ethinyl estradiol 10 mcg oral tablet) TEVA WOMEN'S HEALTH INC","02346176"
"ACT CITALOPRAM (citalopram (citalopram hydrobromide) 40 mg oral tablet) TEVA CANADA LIMITED","ACT CITALOPRAM (citalopram (citalopram hydrobromide) 40 mg oral tablet) ACTAVIS PHARMA COMPANY","02248051"
"VERMOX (mebendazole 100 mg oral tablet) JANSSEN INC","VERMOX TABLETS 100 MG (mebendazole 100 mg oral tablet) JANSSEN INC","00556734"
"SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-CORTEF 500 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 500 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","00030627"
"SUNPHARMA ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 5 mg oral tablet) SUN PHARMA CANADA INC","RAN-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 5 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02382644"
"ACTONEL DR (risedronate sodium (risedronate sodium hemi-pentahydrate) 35 mg gastro-resistant tablet) ALLERGAN INC","ACTONEL DR (risedronate sodium (risedronate sodium hemi-pentahydrate) 35 mg gastro-resistant tablet) ALLERGAN PHARMA CO.","02370417"
"SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection with diluent solution) PFIZER CANADA ULC","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 500 mg per vial powder for solution for injection with diluent solution) PFIZER CANADA INC","00030678"
"LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) ALLERGAN INC","LOESTRIN 1.5/30 (ethinyl estradiol 30 mcg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","00353027"
"NIZORAL (ketoconazole 2 % shampoo) KRAMER LABORATORIES, INC","NIZORAL  - 2% (ketoconazole 2 % shampoo) JOHNSON & JOHNSON INC","02182920"
"KUVAN (sapropterin dihydrochloride 100 mg oral tablet) BIOMARIN INTERNATIONAL LIMITED","KUVAN (sapropterin dihydrochloride 100 mg oral tablet) BIOMARIN PHARMACEUTICAL INC","02350580"
"SOMAVERT (pegvisomant 10 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA ULC","SOMAVERT (pegvisomant 10 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA INC","02272199"
"SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-CORTEF 250 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 250 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","00030619"
"DITROPAN XL (oxybutynin chloride 10 mg prolonged-release oral tablet) JANSSEN INC","DITROPAN XL  -(10MG) (oxybutynin chloride 10 mg prolonged-release oral tablet) JANSSEN INC","02243961"
"ACETAMINOPHEN 500 MG TABLETS (acetaminophen 500 mg oral tablet) CELLCHEM PHARMACEUTICALS INC.","ACETAMINOPHEN 500 MG TABLETS (acetaminophen 500 mg oral tablet) PHARMETICS (2011) INC","02447444"
"APO-THEO LA (theophylline 100 mg prolonged-release oral tablet) APOTEX INC","APO-THEO-LA SRT 100MG (theophylline 100 mg prolonged-release oral tablet) APOTEX INC","00692689"
"ACETAMINOPHEN 500 MG TABLETS USP EXTRA STRENGTH (acetaminophen 500 mg oral tablet) CELLCHEM PHARMACEUTICALS INC.","ACETAMINOPHEN 500 MG TABLETS USP EXTRA STRENGTH (acetaminophen 500 mg oral tablet) PHARMETICS (2011) INC","00549703"
"SOMAVERT (pegvisomant 15 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA ULC","SOMAVERT (pegvisomant 15 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA INC","02272202"
"FLUTAMIDE (flutamide 250 mg oral tablet) AA PHARMA INC","APO-FLUTAMIDE (flutamide 250 mg oral tablet) APOTEX INC","02238560"
"BREVICON 1/35 TABLETS (21-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) PFIZER CANADA ULC","BREVICON 1/35 TABLETS (21-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) PFIZER CANADA INC","02189054"
"OLESTYR REGULAR POWDER (cholestyramine 4 g per sachet powder for oral suspension) PHARMASCIENCE INC","OLESTYR (cholestyramine 4 g per sachet powder for oral suspension) PHARMASCIENCE INC","02210320"
"ACT CITALOPRAM (citalopram (citalopram hydrobromide) 20 mg oral tablet) TEVA CANADA LIMITED","ACT CITALOPRAM (citalopram (citalopram hydrobromide) 20 mg oral tablet) ACTAVIS PHARMA COMPANY","02248050"
"APO-AMOXI (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) APOTEX INC","APO-AMOXI PWR FOR SUSP 250MG/5ML (amoxicillin (amoxicillin trihydrate) 250 mg per 5 mL oral suspension) APOTEX INC","00628158"
"CLÃ‰O-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) ALTIUS HEALTHCARE INC","CLÉO-35 (cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet) ASPRI PHARMA CANADA INC","02436736"
"SELECT 1/35 (21-DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) PFIZER CANADA ULC","SELECT 1/35 (21-DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet) PFIZER CANADA INC","02197502"
"ACT VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 37.5 mg prolonged-release oral capsule) TEVA CANADA LIMITED","ACT VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 37.5 mg prolonged-release oral capsule) ACTAVIS PHARMA COMPANY","02304317"
"SUNPHARMA ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 10 mg oral tablet) SUN PHARMA CANADA INC","RAN-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 10 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02382652"
"TRICIRA LO (ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet) APOTEX INC","TRICIRA LO 28 DAY (ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet with lactose oral tablet) APOTEX INC","02401975"
"SUNPHARMA ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 40 mg oral tablet) SUN PHARMA CANADA INC","RAN-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 40 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02382679"
"ACT VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) TEVA CANADA LIMITED","ACT VENLAFAXINE XR (venlafaxine (venlafaxine hydrochloride) 75 mg prolonged-release oral capsule) ACTAVIS PHARMA COMPANY","02304325"
"CANESTEN COMBI 1 DAY COMFORTAB + EXTERNAL CREAM (clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet) BAYER INC","CANESTEN COMBI 1 DAY COMFORTAB + EXTERNAL CREAM (clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet) BAYER INC CONSUMER CARE","02264102"
"KINEVAC (sincalide 5 mcg per vial powder for solution for injection) BRACCO IMAGING CANADA","KINEVAC (SINCALIDE) FOR INJECTION 5MCG/VIAL (sincalide 5 mcg per vial powder for solution for injection) BRACCO IMAGING CANADA","02228602"
"DITROPAN XL (oxybutynin chloride 5 mg prolonged-release oral tablet) JANSSEN INC","DITROPAN XL  -(5MG) (oxybutynin chloride 5 mg prolonged-release oral tablet) JANSSEN INC","02243960"
"AA-AMILZIDE (amiloride hydrochloride 5 mg and hydrochlorothiazide 50 mg oral tablet) AA PHARMA INC","APO-AMILZIDE TAB (amiloride hydrochloride 5 mg and hydrochlorothiazide 50 mg oral tablet) APOTEX INC","00784400"
"SOMAVERT (pegvisomant 25 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA ULC","SOMAVERT (pegvisomant 25 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA INC","02448831"
"PRED MILD (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC","PRED MILD 0.12% (prednisolone acetate 0.12 % ophthalmic drops) ALLERGAN INC","00299405"
"ACTONEL (risedronate sodium (risedronate sodium hemi-pentahydrate) 150 mg oral tablet) ALLERGAN INC","ACTONEL (risedronate sodium (risedronate sodium hemi-pentahydrate) 150 mg oral tablet) ALLERGAN PHARMA CO.","02316838"
"CHAMPIX (varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet) PFIZER CANADA ULC","CHAMPIX (varenicline (varenicline tartrate) 0.5 mg oral tablet with varenicline (varenicline tartrate) 1 mg oral tablet) PFIZER CANADA INC","02298309"
"APO-THEO LA (theophylline 300 mg prolonged-release oral tablet) APOTEX INC","APO-THEO-LA SRT 300MG (theophylline 300 mg prolonged-release oral tablet) APOTEX INC","00692700"
"SELECT 1/35 (28-DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC","SELECT 1/35 (28-DAY) (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","02199297"
"ALESSE 28 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet) PFIZER CANADA ULC","ALESSE 28 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC","02236975"
"SOMAVERT (pegvisomant 30 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA ULC","SOMAVERT (pegvisomant 30 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA INC","02448858"
"CANESTEN COMBI 1 DAY INTERNAL + EXTERNAL CREAMS (clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream) BAYER INC","CANESTEN COMBI 1 DAY INTERNAL + EXTERNAL CREAMS (clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream) BAYER INC CONSUMER CARE","02230509"
"MIN-OVRAL 21 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet) PFIZER CANADA ULC","MIN-OVRAL 21 (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet) PFIZER CANADA INC","02042320"
"TORISEL (temsirolimus 30 mg per 1.2 mL solution for injection vial with diluent solution) PFIZER CANADA ULC","TORISEL (temsirolimus 30 mg per 1.2 mL solution for injection vial with diluent solution) PFIZER CANADA INC","02304104"
"SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-CORTEF 100 MG ACT-O-VIAL (hydrocortisone (hydrocortisone sodium succinate) 100 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","00030600"
"LINESSA 28 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet) ASPEN PHARMACARE CANADA INC.","LINESSA 28 (desogestrel 100 mcg and estradiol 25 mcg oral tablet with desogestrel 125 mcg and estradiol 25 mcg oral tablet with  desogestrel 150 mcg and ethinyl estradiol 25 mcg oral tablet with lactose oral tablet) ASPEN PHARMA TRADING LIMITED","02257238"
"ADVIL COLD & SINUS CONVENIENCE PACK (chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet ) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC","ADVIL COLD & SINUS CONVENIENCE PACK (chlorpheniramine 2 mg and ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet with ibuprofen 200 mg and pseudoephedrine 30 mg oral tablet ) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA INC","02399733"
"SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 1 g per vial powder for solution for injection with diluent solution) PFIZER CANADA ULC","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 1 g per vial powder for solution for injection with diluent solution) PFIZER CANADA INC","00036137"
"ACETAMINOPHEN 500 MG (acetaminophen 500 mg oral tablet) CELLCHEM PHARMACEUTICALS INC.","ACETAMINOPHEN 500 MG (acetaminophen 500 mg oral tablet) PHARMETICS (2011) INC","02447460"
"ACETAMINOPHEN 325MG TABLETS REGULAR STRENGTH (acetaminophen 325 mg oral tablet) CELLCHEM PHARMACEUTICALS INC.","ACETAMINOPHEN 325MG TABLETS REGULAR STRENGTH (acetaminophen 325 mg oral tablet) PHARMETICS (2011) INC","02252805"
"ACETAMINOPHEN 325 MG USP REGULAR STRENGTH (acetaminophen 325 mg oral tablet) CELLCHEM PHARMACEUTICALS INC.","ACETAMINOPHEN 325 MG USP REGULAR STRENGTH (acetaminophen 325 mg oral tablet) PHARMETICS (2011) INC","00743542"
"SOMAVERT (pegvisomant 20 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA ULC","SOMAVERT (pegvisomant 20 mg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA INC","02272210"
"ADVIL DAY/NIGHT CONVENIENCE PACK (diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule with ibuprofen 200 mg oral capsule) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC","ADVIL DAY/NIGHT CONVENIENCE PACK (diphenhydramine hydrochloride 25 mg and ibuprofen 200 mg oral capsule with ibuprofen 200 mg oral capsule) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA INC","02410583"
"ACETAMINOPHEN 500 MG TABLETS EXTRA STRENGTH EASY TO SWALLOW (acetaminophen 500 mg oral tablet) CELLCHEM PHARMACEUTICALS INC.","ACETAMINOPHEN 500 MG TABLETS EXTRA STRENGTH EASY TO SWALLOW (acetaminophen 500 mg oral tablet) PHARMETICS (2011) INC","02255251"
"TRICIRA LO (ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet) APOTEX INC","TRICIRA LO 21 DAY (ethinyl estradiol 25 mcg and norgestimate 180 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 215 mcg oral tablet with ethinyl estradiol 25 mcg and norgestimate 250 mcg oral tablet) APOTEX INC","02401967"
"SUNPHARMA ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 20 mg oral tablet) SUN PHARMA CANADA INC","RAN-ROSUVASTATIN (rosuvastatin (rosuvastatin calcium) 20 mg oral tablet) RANBAXY PHARMACEUTICALS CANADA INC.","02382660"
"JAMP NEVIRAPINE (nevirapine 200 mg oral tablet) JAMP PHARMA CORPORATION","PMS-NEVIRAPINE (nevirapine 200 mg oral tablet) PHARMASCIENCE INC","02405776"
"SEASONALE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) TEVA WOMENS HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC","SEASONALE (ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet with lactose oral tablet) TEVA WOMEN'S HEALTH INC","02296659"
"BREVICON 0.5/35 TABLETS (28-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC","BREVICON 0.5/35 TABLETS (28-DAY PACK) (ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","02187094"
"SYNPHASIC 21 TABLETS (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet) PFIZER CANADA ULC","SYNPHASIC 21 TABLETS (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet) PFIZER CANADA INC","02187108"
"CAVERJECT STERILE POWDER (alprostadil 20 mcg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA ULC","CAVERJECT STERILE POWDER - PWS 20 MCG/VIAL (alprostadil 20 mcg per vial powder for solution for injection with diluent solution syringe) PFIZER CANADA INC","02215756"
"CANESTEN COMBI 3 DAY COMFORTAB + EXTERNAL CREAM (clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet) BAYER INC","CANESTEN COMBI 3 DAY COMFORTAB + EXTERNAL CREAM (clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet) BAYER INC CONSUMER CARE","02264099"
"SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 125 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA ULC","SOLU-MEDROL (methylprednisolone (methylprednisolone sodium succinate) 125 mg powder for solution for injection with diluent solution per vial) PFIZER CANADA INC","02367955"
"APO-THEO LA (theophylline 200 mg prolonged-release oral tablet) APOTEX INC","APO-THEO-LA SRT 200MG (theophylline 200 mg prolonged-release oral tablet) APOTEX INC","00692697"
"ALESSE 21 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet) PFIZER CANADA ULC","ALESSE 21 (ethinyl estradiol 20 mcg and levonorgestrel 100 mcg oral tablet) PFIZER CANADA INC","02236974"
"SYNPHASIC 28 TABLETS (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) PFIZER CANADA ULC","SYNPHASIC 28 TABLETS (ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with ethinyl estradiol 35 mcg and norethindrone 0.5 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","02187116"
"ACTONEL (risedronate sodium (risedronate sodium hemi-pentahydrate) 35 mg oral tablet) ALLERGAN INC","ACTONEL (risedronate sodium (risedronate sodium hemi-pentahydrate) 35 mg oral tablet) ALLERGAN PHARMA CO.","02246896"
"VIIBRYD (vilazodone hydrochloride 10 mg oral tablet with vilazodone hydrochloride 20 mg oral tablet) ALLERGAN INC","VIIBRYD (vilazodone hydrochloride 10 mg oral tablet with vilazodone hydrochloride 20 mg oral tablet) FOREST LABORATORIES CANADA INC.","02443759"
"APO-AMOXI (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) APOTEX INC","APO-AMOXI PWR FOR SUSP 125MG/5ML (amoxicillin (amoxicillin trihydrate) 125 mg per 5 mL oral suspension) APOTEX INC","00628131"
