September Delivery TMs,tm_code
hydrochlorothiazide and irbesartan,8000284
hydrochlorothiazide and lisinopril,8000201
hydrochlorothiazide and losartan,8000229
hydrochlorothiazide and olmesartan,8000382
hydrochlorothiazide and quinapril,8000262
hydrochlorothiazide and ramipril,8000368
hydrochlorothiazide and telmisartan,8000301
hydrochlorothiazide and triamterene,8000092
hydrochlorothiazide and valsartan,8000286
hydrocortisone,8000008
hydromorphone,8000106
hydroxychloroquine,8000012
hydroxyzine,8000009
ibuprofen,8000043
indapamide,8000097
indapamide and perindopril,8000321
indomethacin,8000085
insulin aspart,8000307
insulin detemir,8000353
insulin glargine,8000317
insulin lispro,8000168
ipratropium,8000202
irbesartan,8000259
isosorbide mononitrate,8000203
ketorolac,8000169
lamotrigine,8000214
lansoprazole,8000215
latanoprost,8000244
levetiracetam,8000328
levothyroxine,8000001
lisdexamfetamine,8000387
lisinopril,8000140
lithium,8000204
lithium carbonate,8000041
lorazepam,8000109
losartan,8000216
medroxyprogesterone,8000018
meloxicam,8000290
mesalamine,8000183
metformin,8000184
metformin and sitagliptin,8000390
methadone,8000285
methotrexate,8000217
methylphenidate,8000010
metoclopramide,8000130
metoprolol,8000063
metronidazole,8000038
minocycline,8000205
mirtazapine,8000298
mometasone,8000148
montelukast,8000261
morphine,8000071
moxifloxacin,8000291
naproxen,8000218
nifedipine,8000123
nitrofurantoin,8000050
nitroglycerin,8000044
norethindrone,8000020
nortriptyline,8000026
nystatin,8000078
olanzapine,8000226
olmesartan,8000383
olopatadine,8000251
omeprazole,8000131
oxazepam,8000079
oxybutynin,8000219
oxycodone,8000045
pantoprazole,8000236
paroxetine,8000185
penicillin v,8000064
perindopril,8000206
phenytoin (base),8000005
phenytoin sodium,8000004
pioglitazone,8000289
pramipexole,8000253
pravastatin,8000141
prednisolone,8000051
prednisone,8000014
pregabalin,8000348
procyclidine,8000107
progesterone,8000220
propranolol,8000086
quetiapine,8000248
quinapril,8000170
quinine,8000029
rabeprazole,8000314
ramipril,8000239
ranitidine,8000120
repaglinide,8000273
risedronate,8000278
risperidone,8000187
rivaroxaban,8000379
rivastigmine,8000287
rizatriptan,8000276
rosuvastatin,8000322
salbutamol,8000132
saxagliptin,8000391
sertraline,8000171
sildenafil,8000268
simvastatin,8000142
sitagliptin,8000374
solifenacin,8000360
spironolactone,8000015
sulfamethoxazole and trimethoprim,8000080
sumatriptan,8000234
tacrolimus,8000222
tadalafil,8000331
tamsulosin,8000352
telmisartan,8000277
temazepam,8000087
terazosin,8000247
terbinafine,8000188
testosterone,8000006
timolol,8000081
tiotropium,8000320
tolterodine,8000265
topiramate,8000240
tramadol,8000369
trandolapril,8000250
travoprost,8000381
trazodone,8000189
triamcinolone,8000030
valacyclovir,8000233
valproic acid,8000221
valproic acid (divalproex),8000108
valproic acid (valproate),8000072
valsartan,8000249
varenicline,8000371
venlafaxine,8000254
verapamil,8000124
vitamin d3,8000172
warfarin,8000013
zopiclone,8000143
