"drug_code","drug_identification_number","mp_formal_name","ntp_formal_name","ntp_type"
"89491","02410257","MIRVALA 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) APOTEX INC","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
"90216","02417464","RECLIPSEN 28 (desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet) ACTAVIS PHARMA COMPANY","desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
"80656","02321157","YAZ (drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet) BAYER INC","drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet","Combination product"
"89999","02415380","MYA (drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet) APOTEX INC","drospirenone 3 mg and ethinyl estradiol 0.02 mg oral tablet with lactose oral tablet","Combination product"
"74710","02261723","YASMIN 21 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet) BAYER INC","drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
"89544","02410788","ZAMINE 21 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet) APOTEX INC","drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
"87071","02385058","ZARAH 21 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet) COBALT PHARMACEUTICALS COMPANY","drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet","Combination product"
"74711","02261731","YASMIN 28 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) BAYER INC","drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
"89545","02410796","ZAMINE 28 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) APOTEX INC","drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
"87072","02385066","ZARAH 28 (drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet) COBALT PHARMACEUTICALS COMPANY","drospirenone 3 mg and ethinyl estradiol 0.03 mg oral tablet with lactose oral tablet","Combination product"
"73815","02253186","NUVARING (ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system) MERCK CANADA INC","ethinyl estradiol 15 mcg per 24 hours and etonogestrel 120 mcg per 24 hours vaginal delivery system","Combination product"
"72637","02248297","EVRA   -(6/0.60) (ethinyl estradiol 0.035 mg per 24 hours and norelgestromin 0.02 mg per 24 hours transdermal patch) JANSSEN INC","ethinyl estradiol 0.035 mg per 24 hours and norelgestromin 0.02 mg per 24 hours transdermal patch","Combination product"
"83160","02346176","SEASONIQUE (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with ethinyl estradiol 0.01 mg oral tablet ) TEVA WOMEN'S HEALTH INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with ethinyl estradiol 0.01 mg oral tablet ","Combination product"
"78129","02295946","PORTIA 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet) TEVA CANADA LIMITED","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet","Combination product"
"78130","02295954","PORTIA 28 (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with lactose oral tablet) TEVA CANADA LIMITED","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with lactose oral tablet","Combination product"
"78201","02296659","SEASONALE (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with lactose oral tablet) TEVA WOMEN'S HEALTH INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with lactose oral tablet","Combination product"
"88378","02398869","INDAYO (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with lactose oral tablet) MYLAN PHARMACEUTICALS ULC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet with lactose oral tablet","Combination product"
"60269","02236974","ALESSE 21 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet","Combination product"
"78383","02298538","AVIANE 21 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet) TEVA CANADA LIMITED","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet","Combination product"
"87345","02387875","ALYSENA 21 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet) APOTEX INC","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet","Combination product"
"88591","02401185","LUTERA 21 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet) COBALT PHARMACEUTICALS COMPANY","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet","Combination product"
"60270","02236975","ALESSE 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
"78384","02298546","AVIANE 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) TEVA CANADA LIMITED","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
"87346","02387883","ALYSENA 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) APOTEX INC","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
"88593","02401207","LUTERA 28 (ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet) COBALT PHARMACEUTICALS COMPANY","ethinyl estradiol 0.02 mg and levonorgestrel 0.1 mg oral tablet with lactose oral tablet","Combination product"
"8124","00707600","TRIQUILAR 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet) BAYER INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet","Combination product"
"8123","00707503","TRIQUILAR 28 (ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet with lactose oral tablet) BAYER INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.05 mg oral tablet with ethinyl estradiol 0.04 mg and norgestimate 0.75 mg oral tablet with ethinyl estradiol 0.03 mg and norgestimate 0.125 mg oral tablet with lactose oral tablet","Combination product"
"18754","02042320","MIN-OVRAL 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet","Combination product"
"87265","02387085","OVIMA 21 (ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet) APOTEX INC","ethinyl estradiol 0.03 mg and levonorgestrel 0.15 mg oral tablet","Combination product"
"1922","00297143","LOESTRIN 1.5/30 (ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet","Combination product"
"2386","00353027","LOESTRIN 1.5/30 (ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.03 mg and norethindrone acetate 1.5 mg oral tablet with lactose oral tablet","Combination product"
"2255","00315966","MINESTRIN 1/20 (ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet","Combination product"
"2254","00343838","MINESTRIN 1/20 (ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.02 mg and norethindrone acetate 1 mg oral tablet with lactose oral tablet","Combination product"
"5482","00602957","ORTHO 7/7/7 TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablett) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablett","Combination product"
"5483","00602965","ORTHO 7/7/7 TABLETS (28 DAY) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 750 mcg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet","Combination product"
"42889","02187108","SYNPHASIC 21 TABLETS (ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet","Combination product"
"42890","02187116","SYNPHASIC 28 TABLETS (ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1mg oral tablet with ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet","Combination product"
"5104","00317047","ORTHO 0.5/35 TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet","Combination product"
"20162","02187086","BREVICON 0.5/35 TABLETS (21-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 0.5 mg oral tablet","Combination product"
"5106","00340731","ORTHO 0.5/35 TABLETS (28 DAY) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet","Combination product"
"42888","02187094","BREVICON 0.5/35 TABLETS (28-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 500 mcg oral tablet with lactose oral tablet","Combination product"
"5103","00372846","ORTHO 1/35 TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet","Combination product"
"42921","02189054","BREVICON 1/35 TABLETS (21-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet","Combination product"
"42952","02197502","SELECT 1/35 (21-DAY) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet","Combination product"
"5105","00372838","ORTHO 1/35 TABLETS (28 DAY) ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC",NA,"Combination product"
"42922","02189062","BREVICON 1/35 TABLETS (28-DAY PACK) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet","Combination product"
"42960","02199297","SELECT 1/35 (28-DAY) (ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet) PFIZER CANADA INC","ethinyl estradiol 0.035 mg and norethindrone 1 mg oral tablet with lactose oral tablet","Combination product"
"90215","02417456","LOLO (ethinyl estradiol 0.01 mg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 0.01 mg oral tablet with lactose oral tablet) WARNER CHILCOTT CANADA CO","ethinyl estradiol 0.01 mg and norethindrone acetate 1 mg oral tablet with ethinyl estradiol 0.01 mg oral tablet with lactose oral tablet","Combination product"
"74376","02258560","TRI-CYCLEN LO (21 DAY) (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet","Combination product"
"88684","02401967","TRICIRA LO (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet) APOTEX INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet","Combination product"
"74378","02258587","TRI-CYCLEN LO (28 DAY) (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
"88685","02401975","TRICIRA LO (ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) APOTEX INC","ethinyl estradiol 0.025 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.025 mg and norgestimate 0.215 mg tablet with ethinyl estradiol 0.025 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
"14197","02028700","TRI-CYCLEN TABLETS - 21-DAY (ethinyl estradiol 0.035 mg and norgestimate 0.18 mg and norgestimate 0.215 mg and norgestimate 0.25 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.18 mg and norgestimate 0.215 mg and norgestimate 0.25 mg oral tablet","Combination product"
"14199","02029421","TRI-CYCLEN TABLETS - 28-DAY (ethinyl estradiol 0.035 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.215 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.18 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.215 mg oral tablet with ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
"12998","01968440","CYCLEN TABLETS (21 DAY) (ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet","Combination product"
"12988","01992872","CYCLEN TABLETS (28 DAY) (ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet) JANSSEN INC","ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet with lactose oral tablet","Combination product"
"78360","02298309","CHAMPIX (varenicline (varenicline tartrate) 0.5 mg and varenicline (varenicline tartrate) 1 mg oral tablet) PFIZER CANADA INC","varenicline (varenicline tartrate) 0.5 mg and varenicline (varenicline tartrate) 1 mg oral tablet","Combination product"
"92592","02441535","XARELTO (rivaroxaban 15 mg oral tablet with rivaroxaban 20 mg oral tablet) BAYER INC","rivaroxaban 15 mg oral tablet with rivaroxaban 20 mg oral tablet","Combination product"
"78377","02298465","RISPERDAL CONSTA (risperidone 12.5 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC","risperidone 12.5 mg per vial powder for prolonged-release suspension for injection with diluent solution","Combination product"
"74089","02255707","RISPERDAL CONSTA (risperidone 25 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC","risperidone 25 mg per vial powder for prolonged-release suspension for injection with diluent solution","Combination product"
"74091","02255723","RISPERDAL CONSTA (isperidone 37.5 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC","isperidone 37.5 mg per vial powder for prolonged-release suspension for injection with diluent solution","Combination product"
"74093","02255758","RISPERDAL CONSTA (risperidone 50 mg per vial powder for prolonged-release suspension for injection with diluent solution) JANSSEN INC","risperidone 50 mg per vial powder for prolonged-release suspension for injection with diluent solution","Combination product"
"49563","02230509","CANESTEN COMBI-PAK CREAM 1 (clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream) BAYER INC CONSUMER CARE","clotrimazole 1 % cutaneous cream with clotrimazole 10 % vaginal cream","Combination product"
"74952","02264102","CANESTEN COMBI-PAK COMFORTAB 1 (clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet) BAYER INC CONSUMER CARE","clotrimazole 1 % cutaneous cream with clotrimazole 500 mg vaginal tablet","Combination product"
"74951","02264099","CANESTEN COMBI-PAK COMFORTAB 3 (clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet) BAYER INC CONSUMER CARE","clotrimazole 1 % cutaneous cream with clotrimazole 200 mg vaginal tablet","Combination product"
