tm_code,tm_formal_name
8000277,telmisartan
8000278,risedronate
8000279,fluticasone and salmeterol
8000284,hydrochlorothiazide and irbesartan
8000285,methadone
8000286,hydrochlorothiazide and valsartan
8000287,rivastigmine
8000289,pioglitazone
8000290,meloxicam
8000291,moxifloxacin
8000298,mirtazapine
8000300,candesartan and hydrochlorothiazide
8000302,betahistine
8000303,esomeprazole
8000307,insulin aspart
8000312,alendronic acid
8000313,alfuzosin
8000314,rabeprazole
8000315,bimatoprost
8000317,insulin glargine
8000320,tiotropium
8000321,indapamide and perindopril
8000322,rosuvastatin
8000325,bisoprolol
8000326,ezetimibe
8000328,levetiracetam
8000329,carvedilol
8000330,dutasteride
8000331,tadalafil
8000332,fosinopril
8000334,ethinyl estradiol and norelgestromin
8000338,ciprofloxacin and dexamethasone (base)
8000343,ethinyl estradiol and etonogestrel
8000345,drospirenone and ethinyl estradiol
8000346,escitalopram
8000347,atomoxetine
8000348,pregabalin
8000349,acetaminophen and tramadol
8000352,tamsulosin
8000353,insulin detemir
8000360,solifenacin
8000367,ciclesonide
8000368,hydrochlorothiazide and ramipril
8000369,tramadol
8000371,varenicline
8000372,buprenorphine and naloxone
8000374,sitagliptin
8000375,duloxetine
8000378,dabigatran
8000379,rivaroxaban
8000381,travoprost
8000382,hydrochlorothiazide and olmesartan
8000383,olmesartan
8000385,desvenlafaxine
8000387,lisdexamfetamine
8000389,aripiprazole
8000390,metformin and sitagliptin
8000391,saxagliptin
8000394,dexlansoprazole
8000396,galantamine
8000398,esomeprazole and naproxen
8000413,alendronic acid and vitamin D3 (cholecalciferol)
8000774,acetylsalicylic acid and oxycodone
8000775,buprenorphine
8000776,butorphanol
8000777,hydrocodone
8000778,hydrocodone and phenyltoloxamine
8000779,alcohol anhydrous and doxylamine and etafedrin and hydrocodone and sodium citrate
8000780,brompheniramine and guaifenesin and hydrocodone and phenylephrine
8000781,hydrocodone and phenylephrine
8000782,meperidine
8000783,naloxone and oxycodone
8000784,normethadone and p-hydroxyephedrine
8000785,belladonna and opium
8000786,pentazocine
8000787,insulin lispro
8000788,belladonna and ergotamine and phenobarbital
8000789,tapentadol
8000791,betamethasone dipropionate
8000793,triamcinolone hexacetonide
8000794,betamethasone acetate and betamethasone (base)
8000802,hydrochlorothiazide and spironolactone
8000804,ethacrynic acid
8000813,chlorthalidone
8000819,pindolol
8000824,minoxidil
8000830,isosorbide dinitrate
8000835,hydrochlorothiazide and pindolol
8000836,prazosin
8000840,lactulose
8000842,nadolol
8000844,amiloride and hydrochlorothiazide
8000847,captopril
8000872,benazepril
8000873,bumetanide
8000874,cilazapril
8000879,atenolol and chlorthalidone
8000893,sotalol
8000894,labetalol
8000895,esmolol
8000943,amiloride
8000965,aliskiren
8000968,ambrisentan
8000973,eplerenone
8000986,tolvaptan
8000999,nebivolol
8000773,clotrimazole
8000909,cilazapril and hydrochlorothiazide
8000929,bosentan
8000931,trandolapril and verapamil
8001080,eprosartan and hydrochlorothiazide
8000954,amlodipine and atorvastatin
8000975,aliskiren and hydrochlorothiazide
8001073,alogliptin and metformin
8001075,azilsartan and chlorthalidone
8001014,amlodipine and perindopril
8001047,chlorpropamide
8001048,tolbutamide
8001087,rosiglitazone
8001072,alogliptin
8001074,azilsartan
8001079,eprosartan
