drug_code	unit_of_presentation	uop_size	uop_unit_of_measure	calculation			
17954	ampoule	20	mL	Y		02131056	LIORESAL INTRATHECAL 0.5MG/ML NOVARTIS PHARMACEUTICALS CANADA INC
89828	ampoule	20	mL	Y		02413639	VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C.
17276	ampoule	5	mL	Y		02131064	LIORESAL INTRATHECAL 2MG/ML NOVARTIS PHARMACEUTICALS CANADA INC
89829	ampoule	5	mL	Y		02413647	VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C.
62344	vial	2	mL	Y		02238903	BENZTROPINE OMEGA OMEGA LABORATORIES LTD
69787	ampoule	1	mL	Y		02245686	CALCITRIOL INJECTION FRESENIUS KABI CANADA LTD
88422	ampoule	1	mL	Y		02399334	CALCITRIOL INJECTION USP STERIMAX INC
88423	ampoule	2	mL	Y		02399342	CALCITRIOL INJECTION USP STERIMAX INC
4232	ampoule	1	mL	Y		00497282	CODEINE PHOSPHATE INJ 30MG/ML HOSPIRA HEALTHCARE CORPORATION
4806	ampoule	1	mL	Y		00544884	CODEINE PHOSPHATE INJECTION USP  SANDOZ CANADA INCORPORATED
4233	ampoule	1	mL	Y		00497290	CODEINE PHOSPHATE INJ 60MG/ML HOSPIRA HEALTHCARE CORPORATION
3721	ampoule	2	mL	Y		00399728	DIAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED
67132	ampoule	2	mL	Y		02243240	DIAZEPAM AUTOINJECTOR MERIDIAN MEDICAL TECHNOLOGIES INC.
87102	ampoule	2	mL	Y		02385392	DIAZEPAM INJECTION USP ALVEDA PHARMACEUTICALS INC
87173	ampoule	2	mL	Y		02386143	DIAZEPAM INJECTION SDZ SANDOZ CANADA INCORPORATED
15756	ampoule	1	mL	Y		02048272	PEDIATRIC DIGOXIN INJECTION C.S.D. SANDOZ CANADA INCORPORATED
15757	ampoule	2	mL	Y		02048264	DIGOXIN INJECTION C.S.D. SANDOZ CANADA INCORPORATED
49026	vial	5	mL	Y		02230274	DILTIAZEM HYDROCHLORIDE INJECTION TEVA CANADA LIMITED
49026	vial	10	mL	Y		02230274	DILTIAZEM HYDROCHLORIDE INJECTION TEVA CANADA LIMITED
68717	vial	5	mL	Y		02244728	DILTIAZEM HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED
68717	vial	10	mL	Y		02244728	DILTIAZEM HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED
12650	vial	2	mL	Y		01923846	VASOTEC IV SANDOZ CANADA INCORPORATED
87402	vial	1	mL	Y		02388499	ENALAPRILAT INJECTION USP STERIMAX INC
87402	vial	2	mL	Y		02388499	ENALAPRILAT INJECTION USP STERIMAX INC
12664	ampoule	2	mL	Y		00888346	FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION
12664	ampoule	5	mL	Y		00888346	FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION
12664	ampoule	10	mL	Y		00888346	FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION
12664	ampoule	20	mL	Y		00888346	FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION
12664	vial	10	mL	Y		00888346	FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION
12664	vial	20	mL	Y		00888346	FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION
63983	ampoule	2	mL	Y		02240434	FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED
63983	vial	5	mL	Y		02240434	FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED
63983	vial	10	mL	Y		02240434	FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED
63983	vial	20	mL	Y		02240434	FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED
63983	vial	50	mL	Y		02240434	FENTANYL CITRATE INJECTION USP SANDOZ CANADA INCORPORATED
86987	ampoule	2	mL	Y		02384124	FENTANYL CITRATE INJECTION SDZ SANDOZ CANADA INCORPORATED
86987	ampoule	10	mL	Y		02384124	FENTANYL CITRATE INJECTION SDZ SANDOZ CANADA INCORPORATED
87103	ampoule	2	mL	Y		02385406	FENTANYL CITRATE INJECTION USP ALVEDA PHARMACEUTICALS INC
87103	ampoule	10	mL	Y		02385406	FENTANYL CITRATE INJECTION USP ALVEDA PHARMACEUTICALS INC
12218	vial	25	mL	Y		00401633	FUROSEMIDE SPECIAL SANDOZ CANADA INCORPORATED
4431	ampoule	2	mL	Y		00527033	FUROSEMIDE INJ USP SANDOZ CANADA INCORPORATED
4431	ampoule	4	mL	Y		00527033	FUROSEMIDE INJ USP SANDOZ CANADA INCORPORATED
4910	ampoule	2	mL	Y		00565040	FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
4910	ampoule	4	mL	Y		00565040	FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
4910	syringe	2	mL	Y		00565040	FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
4910	syringe	4	mL	Y		00565040	FUROSEMIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
84533	vial	2	mL	Y		02360365	FUROSEMIDE INJECTION OMEGA LABORATORIES LTD
84533	vial	4	mL	Y		02360365	FUROSEMIDE INJECTION OMEGA LABORATORIES LTD
84539	vial	25	mL	N		02360446	FUROSEMIDE SPECIAL INJECTION OMEGA LABORATORIES LTD
86837	ampoule	2	mL	Y		02382539	FUROSEMIDE INJECTION SDZ SANDOZ CANADA INCORPORATED
86837	ampoule	4	mL	Y		02382539	FUROSEMIDE INJECTION SDZ SANDOZ CANADA INCORPORATED
86984	ampoule	2	mL	Y		02384094	FUROSEMIDE INJECTION USP TELIGENT OU
16902	ampoule	1	mL	Y		02130300	HALOPERIDOL LA SANDOZ CANADA INCORPORATED
16902	vial	5	mL	Y		02130300	HALOPERIDOL LA SANDOZ CANADA INCORPORATED
49967	vial	1	mL	Y		02230708	PMS-HALOPERIDOL-LA PHARMASCIENCE INC
49967	vial	5	mL	Y		02230708	PMS-HALOPERIDOL-LA PHARMASCIENCE INC
16901	vial	5	mL	Y		02130297	HALOPERIDOL LA SANDOZ CANADA INCORPORATED
49965	vial	5	mL	Y		02230707	PMS-HALOPERIDOL-LA PHARMASCIENCE INC
10026	ampoule	1	mL	Y		00808652	HALOPERIDOL INJ 5MG/ML USP SANDOZ CANADA INCORPORATED
85088	vial	1	mL	Y		02366010	HALOPERIDOL INJECTION OMEGA LABORATORIES LTD
89112	vial	1	mL	Y		02406411	"HALOPERIDOL INJECTION, USP FRESENIUS KABI CANADA LTD"
89112	vial	10	mL	Y		02406411	"HALOPERIDOL INJECTION, USP FRESENIUS KABI CANADA LTD"
5936	vial	1	mL	Y		00622133	DILAUDID HP PURDUE PHARMA
5936	vial	5	mL	Y		00622133	DILAUDID HP PURDUE PHARMA
5936	vial	50	mL	N		00622133	DILAUDID HP PURDUE PHARMA
18323	vial	1	mL	Y		02145928	HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED
18323	vial	5	mL	Y		02145928	HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED
18323	vial	10	mL	Y		02145928	HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED
18323	vial	50	mL	Y		02145928	HYDROMORPHONE HP 10 SANDOZ CANADA INCORPORATED
86845	vial	1	mL	Y		02382636	HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION
86845	vial	5	mL	Y		02382636	HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION
86845	vial	50	mL	N		02382636	HYDROMORPHONE HYDROCHLORIDE INJECTION USP HP 10 HOSPIRA HEALTHCARE CORPORATION
94804	ampoule	1	mL	Y		02460610	HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 STERIMAX INC
94804	ampoule	10	mL	Y		02460610	HYDROMORPHONE HYDROCHLORIDE INJECTION HP 10 STERIMAX INC
68787	vial	10	mL	Y		02244797	HYDROMORPHONE HP FORTE INJECTION SANDOZ CANADA INCORPORATED
5937	ampoule	1	mL	Y		00627100	DILAUDID PURDUE PHARMA
18315	ampoule	1	mL	Y		02145901	HYDROMORPHONE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED
94803	ampoule	1	mL	Y		02460602	HYDROMORPHONE HYDROCHLORIDE INJECTION STERIMAX INC
18324	vial	1	mL	Y		02146126	HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED
18324	vial	5	mL	Y		02146126	HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED
18324	vial	10	mL	Y		02146126	HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED
18324	vial	50	mL	N		02146126	HYDROMORPHONE HP 50 SANDOZ CANADA INCORPORATED
44090	ampoule	1	mL	Y		02162644	TORADOL IM ATNAHS PHARMA UK LIMITED
63447	vial	1	mL	Y		02239944	KETOROLAC TROMETHAMINE INJECTION USP SANDOZ CANADA INCORPORATED
68945	vial	1	mL	Y		02244947	"KETOROLAC TROMETHAMINE INJECTION, USP FRESENIUS KABI CANADA LTD"
68945	vial	2	mL	Y		02244947	"KETOROLAC TROMETHAMINE INJECTION, USP FRESENIUS KABI CANADA LTD"
87600	vial	1	mL	Y		02390582	"KETOROLAC TROMETHAMINE INJECTION, USP  HOSPIRA HEALTHCARE CORPORATION"
92801	vial	1	mL	Y		02443376	"KETOROLAC TROMETHAMINE INJECTION, USP MDA INC."
92310	vial	1	mL	Y		02438704	LORAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED
67176	vial	1	mL	Y		02243278	LORAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED
87417	vial	1	mL	Y		02388669	LORAZEPAM INJECTION USP HOSPIRA HEALTHCARE CORPORATION
19667	vial	1	mL	Y		00585092	DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML PFIZER CANADA INC
80771	vial	1	mL	Y		02322250	MEDROXYPROGESTERONE ACETATE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED
441	vial	5	mL	Y		00030848	DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML PFIZER CANADA INC
19409	vial	2	mL	Y		02185431	METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED
19409	vial	10	mL	Y		02185431	METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED
19409	vial	30	mL	Y		02185431	METOCLOPRAMIDE HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED
67481	vial	2	mL	Y		02243563	METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD
67481	vial	10	mL	Y		02243563	METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD
67481	vial	30	mL	Y		02243563	METOCLOPRAMIDE OMEGA OMEGA LABORATORIES LTD
7357	ampoule	5	mL	Y		00590819	LOPRESOR INJ 1.0MG/ML NOVARTIS PHARMACEUTICALS CANADA INC
75326	vial	5	mL	Y		02267853	METOPROLOL TARTRATE INJECTION USP SANDOZ CANADA INCORPORATED
7425	bag	100	mL	Y		00649074	METRONIDAZOLE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
10871	bag	100	mL	Y		00870420	METRONIDAZOLE 5MG/ML INJECTION BAXTER CORPORATION
10871	bag	300	mL	Y		00870420	METRONIDAZOLE 5MG/ML INJECTION BAXTER CORPORATION
10705	vial	10	mL	Y		00614262	NITROJECT INJ 1MG/ML [nitroglycerin 1 mg per mL solution for injection] OMEGA LABORATORIES LTD
10706	vial	10	mL	Y		00778869	NITROJECT INJ 5MG/ML [nitroglycerin 5 mg per mL solution for injection] OMEGA LABORATORIES LTD
12697	ampoule	2	mL	Y		00497304	PHENYTOIN SODIUM INJ 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION
12697	ampoule	5	mL	Y		00497304	PHENYTOIN SODIUM INJ 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION
13063	vial	2	mL	Y		00498335	TREMYTOINE INJ 50MG/ML OMEGA LABORATORIES LTD
13063	vial	5	mL	Y		00498335	TREMYTOINE INJ 50MG/ML OMEGA LABORATORIES LTD
9398	ampoule	2	mL	Y		00780626	PHENYTOIN SODIUM INJECTION USP SANDOZ CANADA INCORPORATED
9398	ampoule	5	mL	Y		00780626	PHENYTOIN SODIUM INJECTION USP SANDOZ CANADA INCORPORATED
91579	vial	2	mL	Y		02431378	"PHENYTOIN SODIUM INJECTION, USP STERIMAX INC"
91579	vial	5	mL	Y		02431378	"PHENYTOIN SODIUM INJECTION, USP STERIMAX INC"
43094	vial	2	mL	Y		02212366	ZANTAC GLAXOSMITHKLINE INC
74194	vial	2	mL	Y		02256711	RANITIDINE INJECTION USP SANDOZ CANADA INCORPORATED
43104	ampoule	5	mL	Y		02213451	VENTOLIN I.V. INFUSION SOLUTION 5.0MG SALBUTAMOL IN 5ML (1000MCG/ML) GLAXOSMITHKLINE INC
43078	syringe	0.5	mL	N		02212188	IMITREX INJECTION 12MG/ML GLAXOSMITHKLINE INC
84675	syringe	0.5	mL	N		02361698	TARO-SUMATRIPTAN TARO PHARMACEUTICALS INC
1398	vial	10	mL	Y		00030783	DEPO-TESTOSTERONE INJ 100MG/ML PFIZER CANADA INC
13410	ampoule	2	mL	Y		01977601	"TESTOSTERONE CYPIONATE INJECTION, USP STERIMAX INC"
1275	ampoule	5	mL	Y		00029246	DELATESTRYL VALEANT CANADA LP/VALEANT CANADA S.E.C.
15482	vial	5	mL	Y		01999761	KENALOG-10 INJECTION 10MG/ML BRISTOL-MYERS SQUIBB CANADA
15481	vial	1	mL	Y		01999869	KENALOG-40 INJECTION 40MG/ML BRISTOL-MYERS SQUIBB CANADA
15481	vial	5	mL	Y		01999869	KENALOG-40 INJECTION 40MG/ML BRISTOL-MYERS SQUIBB CANADA
85366	vial	1	mL	Y		02368676	TRIESENCE NOVARTIS PHARMACEUTICALS CANADA INC
17234	vial	2	mL	Y		00839299	"VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION"
17234	vial	4	mL	Y		00839299	"VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION"
17234	ampoule	4	mL	Y		00839299	"VERAPAMIL HYDROCHLORIDE INJECTION, USP HOSPIRA HEALTHCARE CORPORATION"
18614	vial	2	mL	Y		02166739	VERAPAMIL HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED
89326	bag	50	mL	Y		02408511	CLINDAMYCIN IV INFUSION 600MG/50ML MINIBAGS. SINGLE USE SANDOZ CANADA INCORPORATED
1620	vial	2	mL	Y		00260436	DALACIN C PHOSPHATE PFIZER CANADA INC
1620	vial	4	mL	Y		00260436	DALACIN C PHOSPHATE PFIZER CANADA INC
1620	vial	6	mL	Y		00260436	DALACIN C PHOSPHATE PFIZER CANADA INC
1620	vial	60	mL	Y		00260436	DALACIN C PHOSPHATE PFIZER CANADA INC
18964	vial	2	mL	Y		02139286	CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD
18964	vial	4	mL	Y		02139286	CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD
18964	vial	6	mL	Y		02139286	CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD
18964	vial	60	mL	Y		02139286	CLINDAMYCIN INJECTION FRESENIUS KABI CANADA LTD
87133	vial	2	mL	Y		02385716	CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED
87133	vial	4	mL	Y		02385716	CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED
87133	vial	6	mL	Y		02385716	CLINDAMYCIN INJECTION SDZ SANDOZ CANADA INCORPORATED
89327	bag	50	mL	Y		02408538	CLINDAMYCIN IV INFUSION 900MG/50ML MINIBAGS. SINGLE USE SANDOZ CANADA INCORPORATED
940	ampoule	1	mL	Y		00155357	ADRENALIN CHLORIDE SOL 1:1000 AMP ERFA CANADA 2012 INC
940	ampoule	30	mL	Y		00155357	ADRENALIN CHLORIDE SOL 1:1000 AMP ERFA CANADA 2012 INC
8352	syringe	10	mL	Y		00710814	EPINEPHRINE INJ 0.1MG/ML USP HOSPIRA HEALTHCARE CORPORATION
79244	syringe	0.3	mL	N		02306743	ANAPEN JUNIOR LINCOLN MEDICAL LIMITED
79245	syringe	0.3	mL	N		02306751	ANAPEN LINCOLN MEDICAL LIMITED
5970	syringe	0.3	mL	N		00578657	EPIPEN JR MYLAN SPECIALTY LP
91538	syringe	0.3	mL	N		02430959	TARO-EPINEPHRINE AUTO-INJECTOR TARO PHARMACEUTICALS INC
9164	ampoule	1	mL	Y		00721891	EPINEPHRINE INJ 1MG/ML USP HOSPIRA HEALTHCARE CORPORATION
3883	syringe	0.3	mL	N		00509558	EPIPEN MYLAN SPECIALTY LP
81063	ampoule	1	mL	Y		02325225	EPINEPHRINE INJECTION USP 1 MG/ML ALVEDA PHARMACEUTICALS INC
91537	syringe	0.3	mL	Y		02430940	TARO-EPINEPHRINE AUTO-INJECTOR TARO PHARMACEUTICALS INC
92016	ampoule	1	mL	Y		02435810	EPINEPHRINE INJECTION TELIGENT OU
44261	vial	2	mL	Y		02182947	METHOTREXATE INJECTION USP 10 mg per mL solution for injection] HOSPIRA HEALTHCARE CORPORATION
80550	syringe	1	mL	Y		02320037	METOJECT MEDEXUS INC
80551	syringe	1.5	mL	N		02320045	METOJECT MEDEXUS INC
80549	syringe	0.75	mL	N		02320029	METOJECT MEDEXUS INC
94145	syringe	0.35	mL	N		02454769	METOJECT SUBCUTANEOUS MEDEXUS INC
94163	syringe	0.4	mL	N		02454866	METOJECT SUBCUTANEOUS MEDEXUS INC
94146	syringe	0.45	mL	N		02454777	METOJECT SUBCUTANEOUS MEDEXUS INC
94164	syringe	0.5	mL	N		02454874	METOJECT SUBCUTANEOUS MEDEXUS INC
19681	vial	2	mL	Y		02099705	METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED
19681	vial	20	mL	Y		02099705	METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED
19681	vial	40	mL	Y		02099705	METHOTREXATE SODIUM INJECTION TEVA CANADA LIMITED
42844	vial	20	mL	Y		02182777	METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
44262	vial	2	mL	Y		02182955	METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
44264	vial	40	mL	Y		02182971	METHOTREXATE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
88338	vial	2	mL	Y		02398427	METHOTREXATE INJECTION USP SANDOZ CANADA INCORPORATED
88338	vial	20	mL	Y		02398427	METHOTREXATE INJECTION USP SANDOZ CANADA INCORPORATED
90222	vial	2	mL	Y		02417626	"METHOTREXATE INJECTION, USP MYLAN PHARMACEUTICALS ULC"
90222	vial	40	mL	Y		02417626	"METHOTREXATE INJECTION, USP MYLAN PHARMACEUTICALS ULC"
90372	vial	2	mL	Y		02419173	JAMP-METHOTREXATE JAMP PHARMA CORPORATION
90372	vial	40	mL	Y		02419173	JAMP-METHOTREXATE JAMP PHARMA CORPORATION
90688	syringe	0.4	mL	N		02422174	"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
90689	syringe	0.6	mL	N		02422182	"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
90690	syringe	0.8	mL	N		02422190	"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
81253	vial	2	mL	Y		02327236	"METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC"
81253	vial	20	mL	Y		02327236	"METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC"
81253	vial	40	mL	Y		02327236	"METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC"
90691	syringe	1	mL	Y		02422204	"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
90691	syringe	0.3	mL	Y		02422166	"METHOTREXATE INJECTION, BP PHARMASCIENCE INC"
12968	ampoule	10	mL	Y		01949047	MORPHINE-EPD INJECTION 0.5MG/ML USP HOSPIRA HEALTHCARE CORPORATION
13966	ampoule	10	mL	Y		02021056	MORPHINE LP EPIDURAL SANDOZ CANADA INCORPORATED
6871	vial	30	mL	Y		00636908	MORPHINE SULFATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION
12728	ampoule	5	mL	Y		01949055	MORPHINE-EPD INJECTION 1MG/ML USP HOSPIRA HEALTHCARE CORPORATION
14020	ampoule	5	mL	Y		02021048	MORPHINE LP EPIDURAL SANDOZ CANADA INCORPORATED
12991	ampoule	1	mL	Y		00850322	MORPHINE SULFATE INJECTION 10MG/ML USP HOSPIRA HEALTHCARE CORPORATION
86878	ampoule	1	mL	Y		02382997	MORPHINE SULFATE INJECTION SDZ SANDOZ CANADA INCORPORATED
86878	ampoule	5	mL	Y		02382997	MORPHINE SULFATE INJECTION SDZ SANDOZ CANADA INCORPORATED
12992	ampoule	1	mL	Y		00850330	MORPHINE SULFATE INJECTION 15MG/ML USP HOSPIRA HEALTHCARE CORPORATION
3042	ampoule	1	mL	Y		00392561	MORPHINE SULFATE INJ 15MG/ML USP SANDOZ CANADA INCORPORATED
12990	ampoule	1	mL	Y		00850314	MORPHINE SULFATE INJECTION 2MG/ML USP HOSPIRA HEALTHCARE CORPORATION
12701	ampoule	1	mL	Y		00869317	MORPHINE FORTE INJECTION 25MG/ML USP HOSPIRA HEALTHCARE CORPORATION
12701	ampoule	4	mL	Y		00869317	MORPHINE FORTE INJECTION 25MG/ML USP HOSPIRA HEALTHCARE CORPORATION
7136	vial	30	mL	Y		00649619	MORPHINE SULFATE INJECTION 5MG/ML USP HOSPIRA HEALTHCARE CORPORATION
12702	ampoule	1	mL	Y		00869325	MORPHINE EXTRA FORTE INJECTION 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION
12702	vial	20	mL	N		00869325	MORPHINE EXTRA FORTE INJECTION 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION
12702	vial	50	mL	N		00869325	MORPHINE EXTRA FORTE INJECTION 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION
43511	unit dose vial	2	mL	Y		02229099	PULMICORT NEBUAMP 0.125 MG/ML ASTRAZENECA CANADA INC
13191	unit dose vial	2	mL	Y		01978918	PULMICORT NEBUAMP 0.25 MG/ML ASTRAZENECA CANADA INC
13190	unit dose vial	2	mL	Y		01978926	PULMICORT NEBUAMP 0.5 MG/ML ASTRAZENECA CANADA INC
19761	unit dose vial	2.5	mL	Y		02208245	PMS-SALBUTAMOL PHARMASCIENCE INC
60224	unit dose vial	2.5	mL	Y		02236931	PHL-SALBUTAMOL RESPIRATOR SOLUTION PHARMEL INC
62834	unit dose vial	2.5	mL	Y		02239365	RATIO-SALBUTAMOL TEVA CANADA LIMITED
67769	unit dose vial	2.5	mL	Y		02243828	APO-SALVENT STERULES APOTEX INC
13550	unit dose vial	2.5	mL	Y		01926934	TEVA-SALBUTAMOL STERINEBS P.F. TEVA CANADA LIMITED
13668	bottle	10	mL	N		01986864	RATIO-SALBUTAMOL TEVA CANADA LIMITED
19763	unit dose vial	2.5	mL	Y		02208229	PMS-SALBUTAMOL PHARMASCIENCE INC
50819	unit dose vial	2.5	mL	Y		02231488	APO-SALVENT STERULES APOTEX INC
43194	unit dose vial	2.5	mL	Y		02216949	DOM-SALBUTAMOL RESPIRATOR SOLUTION-1MG/ML DOMINION PHARMACAL
60225	unit dose vial	2.5	mL	Y		02236932	PHL-SALBUTAMOL RESPIRATOR SOLUTION [salbutamol (salbutamol sulfate) 1 mg per mL inhalation solution] PHARMEL INC
43100	unit dose vial	2.5	mL	Y		02213419	VENTOLIN NEBULES P.F. - 2.5MG/2.5ML GLAXOSMITHKLINE INC
19058	unit dose vial	2.5	mL	Y		02173360	TEVA-SALBUTAMOL STERINEBS P.F. TEVA CANADA LIMITED
