September Delivery TMs,tm_code,Ingredient Stem
donepezil,8000246,donepezil
dorzolamide and timolol,8000272,dorzolamide and timolol
doxazosin,8000163,doxazosin
doxycycline,8000117,doxycycline
drospirenone and ethinylestradiol,8000345,drospirenone and ethinyl estradiol
duloxetine,8000375,duloxetine
dutasteride,8000330,dutasteride
enalapril,8000118,enalapril
epinephrine,8000003,epinephrine
erythromycin,8000037,erythromycin
escitalopram,8000346,escitalopram
esomeprazole,8000303,esomeprazole
esomeprazole and naproxen,8000398,esomeprazole and naproxen
estradiol,8000213,estradiol
conjugated estrogens,8000021,conjugated estrogens
ethinylestradiol and etonogestrel,8000343,ethinyl estradiol and etonogestrel
ethinylestradiol and levonorgestrel,8000119,ethinyl estradiol and levonorgestrel
ethinylestradiol and norelgestromin,8000334,ethinyl estradiol and norelgestromin
ethinylestradiol and norethindrone,8000049,ethinyl estradiol and norethindrone
ethinylestradiol and norgestimate,8000164,ethinyl estradiol and norgestimate
ezetimibe,8000326,ezetimibe
felodipine,8000165,felodipine
fenofibrate,8000225,fenofibrate
fentanyl,8000127,fentanyl
finasteride,8000166,finasteride
fluoxetine,8000128,fluoxetine
flurazepam,8000091,flurazepam
fluticasone,8000173,fluticasone
fluticasone and salmeterol,8000279,fluticasone and salmeterol
folic acid,8000055,folic acid
fosinopril,8000332,fosinopril
furosemide,8000057,furosemide
fusidic acid,8000104,fusidic acid
gabapentin,8000200,gabapentin
galantamine,8000396,galantamine
gliclazide,8000139,gliclazide
glyburide,8000115,glyburide
haloperidol,8000084,haloperidol
insulin isophane human,8000168,insulin isophane human
hydrochlorothiazide,8000031,hydrochlorothiazide
hydrochlorothiazide and irbesartan,8000284,hydrochlorothiazide and irbesartan
hydrochlorothiazide and lisinopril,8000201,hydrochlorothiazide and lisinopril
hydrochlorothiazide and losartan,8000229,hydrochlorothiazide and losartan
hydrochlorothiazide and olmesartan,8000382,hydrochlorothiazide and olmesartan
hydrochlorothiazide and quinapril,8000262,hydrochlorothiazide and quinapril
hydrochlorothiazide and ramipril,8000368,hydrochlorothiazide and ramipril
hydrochlorothiazide and telmisartan,8000301,hydrochlorothiazide and telmisartan
hydrochlorothiazide and triamterene,8000092,hydrochlorothiazide and triamterene
hydrochlorothiazide and valsartan,8000286,hydrochlorothiazide and valsartan
hydrocortisone,8000008,hydrocortisone
hydromorphone,8000106,hydromorphone
hydroxychloroquine,8000012,hydroxychloroquine
hydroxyzine,8000009,hydroxyzine
ibuprofen,8000043,ibuprofen
indapamide,8000097,indapamide
indapamide and perindopril,8000321,indapamide and perindopril
indomethacin,8000085,indomethacin
insulin aspart,8000307,insulin aspart
insulin detemir,8000353,insulin detemir
insulin glargine,8000317,insulin glargine
insulin lispro,8000168,insulin lispro
ipratropium,8000202,ipratropium
irbesartan,8000259,irbesartan
isosorbide mononitrate,8000203,isosorbide mononitrate
ketorolac,8000169,ketorolac
lamotrigine,8000214,lamotrigine
lansoprazole,8000215,lansoprazole
latanoprost,8000244,latanoprost
levetiracetam,8000328,levetiracetam
levothyroxine,8000001,levothyroxine
lisdexamfetamine,8000387,lisdexamfetamine
lisinopril,8000140,lisinopril
lithium,8000204,lithium (ion)
lithium carbonate,8000041,lithium carbonate
lorazepam,8000109,lorazepam
losartan,8000216,losartan
medroxyprogesterone,8000018,medroxyprogesterone
meloxicam,8000290,meloxicam
mesalamine,8000183,mesalazine
metformin,8000184,metformin
metformin and sitagliptin,8000390,metformin and sitagliptin
methadone,8000285,methadone
methotrexate,8000217,methotrexate
methylphenidate,8000010,methylphenidate
metoclopramide,8000130,metoclopramide
metoprolol,8000063,metoprolol
metronidazole,8000038,metronidazole
minocycline,8000205,minocycline
mirtazapine,8000298,mirtazapine
mometasone,8000148,mometasone
montelukast,8000261,montelukast
morphine,8000071,morphine
moxifloxacin,8000291,moxifloxacin
naproxen,8000218,naproxen
nifedipine,8000123,nifedipine
nitrofurantoin,8000050,nitrofurantoin
nitroglycerin,8000044,nitroglycerin
norethindrone,8000020,norethindrone
nortriptyline,8000026,nortriptyline
nystatin,8000078,nystatin
olanzapine,8000226,olanzapine
olmesartan,8000383,olmesartan
olopatadine,8000251,olopatadine
omeprazole,8000131,omeprazole
oxazepam,8000079,oxazepam
oxybutynin,8000219,oxybutynin
oxycodone,8000045,oxycodone
pantoprazole,8000236,pantoprazole
paroxetine,8000185,paroxetine
penicillin v,8000064,penicillin v
perindopril,8000206,perindopril
phenytoin (base),8000005,phenytoin (base)
phenytoin sodium,8000004,phenytoin sodium
pioglitazone,8000289,pioglitazone
pramipexole,8000253,pramipexole
pravastatin,8000141,pravastatin
prednisolone,8000051,prednisolone
prednisone,8000014,prednisone
pregabalin,8000348,pregabalin
procyclidine,8000107,procyclidine
progesterone,8000220,progesterone
propranolol,8000086,propranolol
quetiapine,8000248,quetiapine
quinapril,8000170,quinapril
quinine,8000029,quinine sulfate
rabeprazole,8000314,rabeprazole
ramipril,8000239,ramipril
ranitidine,8000120,ranitidine
repaglinide,8000273,repaglinide
risedronate,8000278,risedronate
risperidone,8000187,risperidone
rivaroxaban,8000379,rivaroxaban
rivastigmine,8000287,rivastigmine
rizatriptan,8000276,rizatriptan
rosuvastatin,8000322,rosuvastatin
salbutamol,8000132,salbutamol
saxagliptin,8000391,saxagliptin
sertraline,8000171,sertraline
sildenafil,8000268,sildenafil
simvastatin,8000142,simvastatin
sitagliptin,8000374,sitagliptin
solifenacin,8000360,solifenacin
spironolactone,8000015,spironolactone
sulfamethoxazole and trimethoprim,8000080,sulfamethoxazole and trimethoprim
sumatriptan,8000234,sumatriptan
tacrolimus,8000222,tacrolimus
tadalafil,8000331,tadalafil
tamsulosin,8000352,tamsulosin
telmisartan,8000277,telmisartan
temazepam,8000087,temazepam
terazosin,8000247,terazosin
terbinafine,8000188,terbinafine
testosterone,8000006,testosterone
timolol,8000081,timolol
tiotropium,8000320,tiotropium
tolterodine,8000265,tolterodine
topiramate,8000240,topiramate
tramadol,8000369,tramadol
trandolapril,8000250,trandolapril
travoprost,8000381,travoprost
trazodone,8000189,trazodone
triamcinolone,8000030,triamcinolone
valacyclovir,8000233,valacyclovir
valproic acid,8000221,valproic acid
valproic acid (divalproex),8000108,valproic acid (divalproex)
valproic acid (valproate),8000072,valproic acid (valproate)
valsartan,8000249,valsartan
varenicline,8000371,varenicline
venlafaxine,8000254,venlafaxine
verapamil,8000124,verapamil
vitamin d3,8000172,vitamin d3
warfarin,8000013,warfarin
zopiclone,8000143,zopiclone
