mp_code,mp_fr_description,ntp_code,ntp_fr_description,tm_code,tm_fr_description
"02458446","EMERADE (épinéphrine (bitartrate d'épinéphrine) 0,3 mg par 0,3 mL solution injectable seringue) BAUSCH HEALTH, CANADA INC.","9014377","épinéphrine (bitartrate d'épinéphrine) 0,3 mg par 0,3 mL solution injectable seringue","8000003","épinéphrine"
"02487373","DEXMEDETOMIDINE HYDROCHLORIDE INJECTION (dexmédétomidine (chlorhydrate de dexmédétomidine) 400 mcg par 100 mL solution injectable fiole) JUNO PHARMACEUTICALS CORP.","9012487","dexmédétomidine (chlorhydrate de dexmédétomidine) 400 mcg par 100 mL solution injectable fiole","8001118","dexmédétomidine"
"02487365","DEXMEDETOMIDINE HYDROCHLORIDE INJECTION (dexmédétomidine (chlorhydrate de dexmédétomidine) 200 mcg par 50 mL solution injectable fiole) JUNO PHARMACEUTICALS CORP.","9012486","dexmédétomidine (chlorhydrate de dexmédétomidine) 200 mcg par 50 mL solution injectable fiole","8001118","dexmédétomidine"
"02499681","ENSPRYNG (satralizumab 120 mg par 1 mL solution injectable seringue) HOFFMANN-LA ROCHE LIMITED","9014390","satralizumab 120 mg par 1 mL solution injectable seringue","8002346","satralizumab"
"02491931","MORPHINE SULFATE INJECTION USP (sulfate de morphine 100 mg par 100 mL solution injectable sac) STERINOVA INC.","9014366","sulfate de morphine 100 mg par 100 mL solution injectable sac","8000071","morphine"
"02494574","CLADRIBINE INJECTION (cladribine 10 mg par 10 mL solution injectable fiole) GENERIC MEDICAL PARTNERS INC","9013055","cladribine 10 mg par 10 mL solution injectable fiole","8001730","cladribine"
"02474263","HUMIRA (adalimumab 20 mg par 0,2 mL solution injectable seringue) ABBVIE CORPORATION","9014352","adalimumab 20 mg par 0,2 mL solution injectable seringue","8001241","adalimumab"
"02497859","AJOVY (frémanézumab 225 mg par 1,5 mL solution injectable seringue) TEVA CANADA LIMITED","9014362","frémanézumab 225 mg par 1,5 mL solution injectable seringue","8002337","frémanézumab"
"02502712","DARZALEX SC (daratumumab 1800 mg par 15 mL solution injectable fiole) JANSSEN INC","9014341","daratumumab 1800 mg par 15 mL solution injectable fiole","8001739","daratumumab"
"02496526","DURATOCIN (carbétocine 100 mcg par 1 mL solution injectable fiole) FERRING INC","9012930","carbétocine 100 mcg par 1 mL solution injectable fiole","8001609","carbétocine"
"02497867","ENTYVIO (védolizumab 108 mg par 0,68 mL solution injectable stylo) TAKEDA CANADA INC","9014350","védolizumab 108 mg par 0,68 mL solution injectable stylo","8001985","védolizumab"
"77701019","RIXIMYO (rituximab 100 mg par 10 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","9013319","rituximab 100 mg par 10 mL solution injectable fiole","8001923","rituximab"
"77701020","RIXIMYO (rituximab 500 mg par 50 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","9013322","rituximab 500 mg par 50 mL solution injectable fiole","8001923","rituximab"
"02494582","FRAGMIN (daltéparine sodique 16500 unité par 0,66 mL solution injectable seringue) PFIZER CANADA ULC","9014340","daltéparine sodique 16500 unité par 0,66 mL solution injectable seringue","8001254","daltéparine sodique"
"02496771","PEYONA (citrate de caféine 20 mg par 1 mL solution injectable ampoule) CHIESI FARMACEUTICI S.P.A.","9014339","citrate de caféine 20 mg par 1 mL solution injectable ampoule","8002332","caféine"
"02497395","ZIEXTENZO (filgrastim (pegfilgastrim) 6 mg par 0,6 mL solution injectable seringue) SANDOZ CANADA INCORPORATED","9013502","filgrastim (pegfilgastrim) 6 mg par 0,6 mL solution injectable seringue","8002057","filgrastim (pegfilgastrim)"
"02480271","LARTRUVO (olaratumab 190 mg par 19 mL solution injectable fiole) ELI LILLY CANADA INC","9014332","olaratumab 190 mg par 19 mL solution injectable fiole","8001139","olaratumab"
"02498243","SARCLISA (isatuximab 500 mg par 25 mL solution injectable fiole) SANOFI-AVENTIS CANADA INC","9014328","isatuximab 500 mg par 25 mL solution injectable fiole","8002334","isatuximab"
"02498235","SARCLISA (isatuximab 100 mg par 5 mL solution injectable fiole) SANOFI-AVENTIS CANADA INC","9014327","isatuximab 100 mg par 5 mL solution injectable fiole","8002334","isatuximab"
"02496976","BEOVU (brolucizumab 6 mg par 0,05 mL solution injectable seringue) NOVARTIS PHARMACEUTICALS CANADA INC","9014322","brolucizumab 6 mg par 0,05 mL solution injectable seringue","8002331","brolucizumab"
"77701017","RUXIENCE (rituximab 500 mg par 50 mL solution injectable fiole) PFIZER CANADA ULC","9013322","rituximab 500 mg par 50 mL solution injectable fiole","8001923","rituximab"
"77701018","RUXIENCE (rituximab 100 mg par 10 mL solution injectable fiole) PFIZER CANADA ULC","9013319","rituximab 100 mg par 10 mL solution injectable fiole","8001923","rituximab"
"02485656","NIVESTYM (filgrastim 480 mcg par 1,6 mL solution injectable fiole) PFIZER CANADA ULC","9013122","filgrastim 480 mcg par 1,6 mL solution injectable fiole","8001774","filgrastim (classique)"
"02485591","NIVESTYM (filgrastim 300 mcg par 1 mL solution injectable fiole) PFIZER CANADA ULC","9013120","filgrastim 300 mcg par 1 mL solution injectable fiole","8001774","filgrastim (classique)"
"02491311","METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 15 mg par 0,3 mL solution injectable seringue) ACCORD HEALTHCARE INC","9013923","méthotrexate (méthotrexate sodique) 15 mg par 0,3 mL solution injectable seringue","8000217","méthotrexate"
"02485680","NOREPINEPHRINE BITARTRATE INJECTION USP (norépinéphrine (bitartrate de norépinéphrine) 4 mg par 4 mL solution injectable ampoule) GENERIC MEDICAL PARTNERS INC","9013465","norépinéphrine (bitartrate de norépinéphrine) 4 mg par 4 mL solution injectable ampoule","8002036","norépinéphrine"
"02485583","NIVESTYM (filgrastim 480 mcg par 0,8 mL solution injectable seringue) PFIZER CANADA ULC","9013121","filgrastim 480 mcg par 0,8 mL solution injectable seringue","8001774","filgrastim (classique)"
"02485575","NIVESTYM (filgrastim 300 mcg par 0,5 mL solution injectable seringue) PFIZER CANADA ULC","9013119","filgrastim 300 mcg par 0,5 mL solution injectable seringue","8001774","filgrastim (classique)"
"02468549","FULVESTRANT INJECTION (fulvestrant 250 mg par 5 mL solution injectable seringue) MYLAN PHARMACEUTICALS ULC","9013139","fulvestrant 250 mg par 5 mL solution injectable seringue","8001783","fulvestrant"
"02485486","CLINDAMYCIN INJECTION IN 5% DEXTROSE (clindamycine (phosphate de clindamycine) 900 mg par 50 mL solution injectable sac) BAXTER CORPORATION","9001410","clindamycine (phosphate de clindamycine) 900 mg par 50 mL solution injectable sac","8000036","clindamycine"
"02485478","CLINDAMYCIN INJECTION IN 5% DEXTROSE (clindamycine (phosphate de clindamycine) 600 mg par 50 mL solution injectable sac) BAXTER CORPORATION","9001409","clindamycine (phosphate de clindamycine) 600 mg par 50 mL solution injectable sac","8000036","clindamycine"
"02485451","CLINDAMYCIN INJECTION IN 5% DEXTROSE (clindamycine (phosphate de clindamycine) 300 mg par 50 mL solution injectable sac) BAXTER CORPORATION","9014314","clindamycine (phosphate de clindamycine) 300 mg par 50 mL solution injectable sac","8000036","clindamycine"
"02496151","FENTANYL INJECTION BP (fentanyl (citrate de fentanyl) 250 mcg par 5 mL solution injectable fiole) STERIMAX INC","9000885","fentanyl (citrate de fentanyl) 250 mcg par 5 mL solution injectable fiole","8000127","fentanyl"
"02496178","FENTANYL INJECTION BP (fentanyl (citrate de fentanyl) 1000 mcg par 20 mL solution injectable fiole) STERIMAX INC","9000320","fentanyl (citrate de fentanyl) 1000 mcg par 20 mL solution injectable fiole","8000127","fentanyl"
"02472171","ATROPINE SULFATE INJECTION USP (sulfate d'atropine 0,5 mg par 5 mL solution injectable seringue) PFIZER CANADA ULC","9012901","sulfate d'atropine 0,5 mg par 5 mL solution injectable seringue","8001571","atropine"
"02382059","ALLERJECT (épinéphrine 0,15 mg par 0,15 mL solution injectable seringue) KALEO INC","9013250","épinéphrine 0,15 mg par 0,15 mL solution injectable seringue","8000003","épinéphrine"
"02382067","ALLERJECT (épinéphrine 0,3 mg par 0,3 mL solution injectable seringue) KALEO INC","9001299","épinéphrine 0,3 mg par 0,3 mL solution injectable seringue","8000003","épinéphrine"
"02482525","JAMP-ZOLEDRONIC ACID (acide zolédronique (acide zolédronique monohydraté) 4 mg par 5 mL solution injectable fiole) JAMP PHARMA CORPORATION","9012770","acide zolédronique 4 mg par 5 mL solution injectable fiole","8001426","acide zolédronique"
"02491338","METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 17,5 mg par 0,35 mL solution injectable seringue) ACCORD HEALTHCARE INC","9012579","méthotrexate (méthotrexate sodique) 17,5 mg par 0,35 mL solution injectable seringue","8000217","méthotrexate"
"02491346","METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 20 mg par 0,4 mL solution injectable seringue) ACCORD HEALTHCARE INC","9012580","méthotrexate (méthotrexate sodique) 20 mg par 0,4 mL solution injectable seringue","8000217","méthotrexate"
"02491354","METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 22,5 mg par 0,45 mL solution injectable seringue) ACCORD HEALTHCARE INC","9012581","méthotrexate (méthotrexate sodique) 22,5 mg par 0,45 mL solution injectable seringue","8000217","méthotrexate"
"02491362","METHOTREXATE SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 25 mg par 0,5 mL solution injectable seringue) ACCORD HEALTHCARE INC","9012582","méthotrexate (méthotrexate sodique) 25 mg par 0,5 mL solution injectable seringue","8000217","méthotrexate"
"02484153","FULPHILA (filgrastim (pegfilgastrim) 6 mg par 0,6 mL solution injectable seringue) BGP PHARMA ULC","9013502","filgrastim (pegfilgastrim) 6 mg par 0,6 mL solution injectable seringue","8002057","filgrastim (pegfilgastrim)"
"02479621","HEMLIBRA (émicizumab 30 mg par 1 mL solution injectable fiole) HOFFMANN-LA ROCHE LIMITED","9014256","émicizumab 30 mg par 1 mL solution injectable fiole","8002320","émicizumab"
"02479648","HEMLIBRA (émicizumab 60 mg par 0,4 mL solution injectable fiole) HOFFMANN-LA ROCHE LIMITED","9014257","émicizumab 60 mg par 0,4 mL solution injectable fiole","8002320","émicizumab"
"02479656","HEMLIBRA (émicizumab 105 mg par 0,7 mL solution injectable fiole) HOFFMANN-LA ROCHE LIMITED","9014254","émicizumab 105 mg par 0,7 mL solution injectable fiole","8002320","émicizumab"
"02479664","HEMLIBRA (émicizumab 150 mg par 1 mL solution injectable fiole) HOFFMANN-LA ROCHE LIMITED","9014255","émicizumab 150 mg par 1 mL solution injectable fiole","8002320","émicizumab"
"02493373","TOUJEO DOUBLESTAR (insuline glargine 300 unité par mL solution injectable 3 mL stylo) SANOFI-AVENTIS CANADA INC","9014245","insuline glargine 300 unité par mL solution injectable 3 mL stylo","8000317","insuline glargine"
"02487357","ARSENIC TRIOXIDE SOLUTION FOR INJECTION (trioxyde d'arsénic 10 mg par 10 mL solution injectable fiole) PHEBRA PTY LTD","9014217","trioxyde d'arsénic 10 mg par 10 mL solution injectable fiole","8001887","trioxyde d'arsénic"
"02486822","VPI-BENZTROPINE (mésylate de benztropine 2 mg par 2 mL solution injectable fiole) VPI PHARMACEUTICALS INC","9000851","mésylate de benztropine 2 mg par 2 mL solution injectable fiole","8000067","benztropine"
"02483092","SUBLOCADE (buprénorphine 300 mg par 1,5 mL solution injectable à libération prolongée seringue) INDIVIOR UK LIMITED","9014239","buprénorphine 300 mg par 1,5 mL solution injectable à libération prolongée seringue","8000775","buprénorphine"
"02483084","SUBLOCADE (buprénorphine 100 mg par 0,5 mL solution injectable à libération prolongée seringue) INDIVIOR UK LIMITED","9014238","buprénorphine 100 mg par 0,5 mL solution injectable à libération prolongée seringue","8000775","buprénorphine"
"02439387","ROPIVACAINE HYDROCHLORIDE INJECTION, USP (chlorhydrate de ropivacaïne 50 mg par 10 mL solution injectable ampoule) FRESENIUS KABI CANADA LTD","9014247","chlorhydrate de ropivacaïne 50 mg par 10 mL solution injectable ampoule","8001927","ropivacaïne"
"02489244","CARBETOCIN INJECTION (carbétocine 100 mcg par 1 mL solution injectable seringue) JUNO PHARMACEUTICALS CORP.","9014240","carbétocine 100 mcg par 1 mL solution injectable seringue","8001609","carbétocine"
"02481278","LINEZOLID INJECTION (linézolide 600 mg par 300 mL solution injectable sac) JAMP PHARMA CORPORATION","9012829","linézolide 600 mg par 300 mL solution injectable sac","8001489","linézolide"
"02482681","MORPHINE SULFATE INJECTION, USP (sulfate de morphine 2 mg par 1 mL solution injectable fiole) FRESENIUS KABI CANADA LTD","9006227","sulfate de morphine 2 mg par 1 mL solution injectable fiole","8000071","morphine"
"02482746","MORPHINE SULFATE INJECTION, USP (sulfate de morphine 10 mg par 1 mL solution injectable fiole) FRESENIUS KABI CANADA LTD","9014225","sulfate de morphine 10 mg par 1 mL solution injectable fiole","8000071","morphine"
"02487497","CABAZITAXEL FOR INJECTION (cabazitaxel 45 mg par 4,5 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","9014218","cabazitaxel 45 mg par 4,5 mL solution injectable fiole","8001604","cabazitaxel"
"02487500","CABAZITAXEL FOR INJECTION (cabazitaxel 60 mg par 6 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","9014219","cabazitaxel 60 mg par 6 mL solution injectable fiole","8001604","cabazitaxel"
"02492989","NUCALA PRE-FILLED AUTOINJECTOR (mépolizumab 100 mg par 1 mL solution injectable seringue) GLAXOSMITHKLINE INC","9014223","mépolizumab 100 mg par 1 mL solution injectable seringue","8001066","mépolizumab"
"02478390","TRUXIMA (rituximab 500 mg par 50 mL solution injectable fiole) CELLTRION HEALTHCARE CO LTD","9013322","rituximab 500 mg par 50 mL solution injectable fiole","8001923","rituximab"
"02478382","TRUXIMA (rituximab 100 mg par 10 mL solution injectable fiole) CELLTRION HEALTHCARE CO LTD","9013319","rituximab 100 mg par 10 mL solution injectable fiole","8001923","rituximab"
"02492997","NUCALA PRE-FILLED SYRINGE (mépolizumab 100 mg par 1 mL solution injectable seringue) GLAXOSMITHKLINE INC","9014223","mépolizumab 100 mg par 1 mL solution injectable seringue","8001066","mépolizumab"
"02492768","ARSENIC TRIOXIDE FOR INJECTION (trioxyde d'arsénic 10 mg par 10 mL solution injectable fiole) STERIMAX INC","9014217","trioxyde d'arsénic 10 mg par 10 mL solution injectable fiole","8001887","trioxyde d'arsénic"
"02489147","ERFA-AMIKACIN (amikacine (sulfate d'amikacine) 500 mg par 2 mL solution injectable fiole) ERFA CANADA 2012 INC","9012566","amikacine (sulfate d'amikacine) 500 mg par 2 mL solution injectable fiole","8001169","amikacin"
"02492504","DUPIXENT (dupilumab 200 mg par 1,14 mL solution injectable seringue) SANOFI-AVENTIS CANADA INC","9014202","dupilumab 200 mg par 1,14 mL solution injectable seringue","8001148","dupilumab"
"02475472","RADICAVA (édavarone 30 mg par 100 mL solution injectable sac) MITSUBISHI TANABE PHARMA CORPORATION","9014203","édavarone 30 mg par 100 mL solution injectable sac","8002305","édavarone"
"02469871","ADMELOG SOLOSTAR (insuline lispro 100 unité par mL solution injectable 3 mL stylo) SANOFI-AVENTIS CANADA INC","9001406","insuline lispro 100 unité par mL solution injectable 3 mL stylo","8000787","insuline lispro"
"02469901","ADMELOG (insuline lispro 100 unité par mL solution injectable 10 mL fiole) SANOFI-AVENTIS CANADA INC","9000671","insuline lispro 100 unité par mL solution injectable 10 mL fiole","8000787","insuline lispro"
"02469898","ADMELOG (insuline lispro 100 unité par mL solution injectable 3 mL cartouche) SANOFI-AVENTIS CANADA INC","9000673","insuline lispro 100 unité par mL solution injectable 3 mL cartouche","8000787","insuline lispro"
"02481618","POLYSPORIN SINGLES (bacitracine (bacitracine de zinc) 500 unité par g et polymyxine B (sulfate de polymyxine B) 10000 unité par g pommade cutanée sachet) JOHNSON & JOHNSON INC","9014185","bacitracine (bacitracine de zinc) 500 unité par g et polymyxine B (sulfate de polymyxine B) 10000 unité par g pommade cutanée sachet","8002239","bacitracine et polymyxine B"
"02487462","REKOVELLE (follitropine delta 12 mcg par 0,36 mL solution injectable stylo) FERRING INC","9014190","follitropine delta 12 mcg par 0,36 mL solution injectable stylo","8001477","follitropine delta"
"02487470","REKOVELLE (follitropine delta 36 mcg par 1,08 mL solution injectable stylo) FERRING INC","9014191","follitropine delta 36 mcg par 1,08 mL solution injectable stylo","8001477","follitropine delta"
"02487489","REKOVELLE (follitropine delta 72 mcg par 2,16 mL solution injectable stylo) FERRING INC","9014192","follitropine delta 72 mcg par 2,16 mL solution injectable stylo","8001477","follitropine delta"
"02490439","PDP-LEVETIRACETAM (lévétiracétam 500 mg par 5 mL solution injectable fiole) PENDOPHARM DIVISION OF PHARMASCIENCE INC","9014195","lévétiracétam 500 mg par 5 mL solution injectable fiole","8000328","lévétiracétam"
"02491087","EMGALITY (galcanézumab 120 mg par 1 mL solution injectable stylo) ELI LILLY CANADA INC","9014193","galcanézumab 120 mg par 1 mL solution injectable stylo","8002302","galcanézumab"
"02491060","EMGALITY (galcanézumab 120 mg par 1 mL solution injectable seringue) ELI LILLY CANADA INC","9014194","galcanézumab 120 mg par 1 mL solution injectable seringue","8002302","galcanézumab"
"02492393","TECENTRIQ (atézolizumab 840 mg par 14 mL solution injectable fiole) HOFFMANN-LA ROCHE LIMITED","9014159","atézolizumab 840 mg par 14 mL solution injectable fiole","8001570","atézolizumab"
"02489449","ZIRABEV (bévacizumab 400 mg par 16 mL solution injectable fiole) PFIZER CANADA ULC","9012912","bévacizumab 400 mg par 16 mL solution injectable fiole","8001588","bévacizumab"
"02489430","ZIRABEV (bévacizumab 100 mg par 4 mL solution injectable fiole) PFIZER CANADA ULC","9012911","bévacizumab 100 mg par 4 mL solution injectable fiole","8001588","bévacizumab"
"02480042","LEUCOVORIN CALCIUM INJECTION (leucovorine (leucovorine calcique) 50 mg par 5 mL solution injectable fiole) GENERIC MEDICAL PARTNERS INC","9013188","leucovorine (leucovorine calcique) 50 mg par 5 mL solution injectable fiole","8001833","leucovorine"
"02464381","DEXMEDETOMIDINE HYDROCHLORIDE FOR INJECTION (dexmédétomidine (chlorhydrate de dexmédétomidine) 200 mcg par 2 mL solution injectable fiole) AURO PHARMA INC","9012485","dexmédétomidine (chlorhydrate de dexmédétomidine) 200 mcg par 2 mL solution injectable fiole","8001118","dexmédétomidine"
"02454831","METOJECT SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 10 mg par 0,2 mL solution injectable seringue) MEDEXUS INC","9014180","méthotrexate (méthotrexate sodique) 10 mg par 0,2 mL solution injectable seringue","8000217","méthotrexate"
"02454750","METOJECT SUBCUTANEOUS (méthotrexate (méthotrexate sodique) 12,5 mg par 0,25 mL solution injectable seringue) MEDEXUS INC","9014181","méthotrexate (méthotrexate sodique) 12,5 mg par 0,25 mL solution injectable seringue","8000217","méthotrexate"
"00038024","MANNITOL INJECTION USP (mannitol 25 % solution injectable 50 mL fiole) PFIZER CANADA ULC","9013921","mannitol 25 % solution injectable 50 mL fiole","8002138","mannitol"
"00060410","OSMITROL INJECTION 10% (mannitol 10 % solution injectable 1000 mL sac) BAXTER CORPORATION","9013919","mannitol 10 % solution injectable 1000 mL sac","8002138","mannitol"
"02137186","SODIUM THIOSULFATE INJECTION USP (thiosulfate de sodium 2500 mg par 10 mL solution injectable fiole) PFIZER CANADA ULC","9013839","thiosulfate de sodium 2500 mg par 10 mL solution injectable fiole","8002163","thiosulfate de sodium"
"02485540","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (chlorhydrate d'hydromorphone 40 mg par 100 mL solution injectable sac) STERINOVA INC.","9014173","chlorhydrate d'hydromorphone 40 mg par 100 mL solution injectable sac","8000106","hydromorphone"
"02485532","HYDROMORPHONE HYDROCHLORIDE INJECTION USP (chlorhydrate d'hydromorphone 20 mg par 50 mL solution injectable sac) STERINOVA INC.","9014172","chlorhydrate d'hydromorphone 20 mg par 50 mL solution injectable sac","8000106","hydromorphone"
"77700696","BUPIVACAINE INJECTION BP (chlorhydrate de bupivacaïne 50 mg par 20 mL solution injectable fiole) STERIMAX INC","9012923","chlorhydrate de bupivacaïne 50 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"77700656","SENSORCAINE (chlorhydrate de bupivacaïne 25 mg par 10 mL solution injectable ampoule) ASPEN PHARMACARE CANADA INC.","9013269","chlorhydrate de bupivacaïne 25 mg par 10 mL solution injectable ampoule","8001600","bupivacaïne"
"77700657","SENSORCAINE (chlorhydrate de bupivacaïne 50 mg par 20 mL solution injectable fiole) ASPEN PHARMACARE CANADA INC.","9012923","chlorhydrate de bupivacaïne 50 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"77700670","MARCAINE (chlorhydrate de bupivacaïne 25 mg par 10 mL solution injectable fiole) PFIZER CANADA ULC","9012920","chlorhydrate de bupivacaïne 25 mg par 10 mL solution injectable fiole","8001600","bupivacaïne"
"77700671","MARCAINE (chlorhydrate de bupivacaïne 50 mg par 20 mL solution injectable fiole) PFIZER CANADA ULC","9012923","chlorhydrate de bupivacaïne 50 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"77700672","MARCAINE (chlorhydrate de bupivacaïne 50 mg par 10 mL solution injectable fiole) PFIZER CANADA ULC","9012922","chlorhydrate de bupivacaïne 50 mg par 10 mL solution injectable fiole","8001600","bupivacaïne"
"77700673","MARCAINE (chlorhydrate de bupivacaïne 100 mg par 20 mL solution injectable fiole) PFIZER CANADA ULC","9012916","chlorhydrate de bupivacaïne 100 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"77700658","SENSORCAINE (chlorhydrate de bupivacaïne 50 mg par 10 mL solution injectable ampoule) ASPEN PHARMACARE CANADA INC.","9013270","chlorhydrate de bupivacaïne 50 mg par 10 mL solution injectable ampoule","8001600","bupivacaïne"
"77700659","SENSORCAINE (chlorhydrate de bupivacaïne 100 mg par 20 mL solution injectable fiole) ASPEN PHARMACARE CANADA INC.","9012916","chlorhydrate de bupivacaïne 100 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"77700699","BUPIVACAINE INJECTION BP (chlorhydrate de bupivacaïne 50 mg par 10 mL solution injectable fiole) STERIMAX INC","9012922","chlorhydrate de bupivacaïne 50 mg par 10 mL solution injectable fiole","8001600","bupivacaïne"
"77700698","BUPIVACAINE INJECTION BP (chlorhydrate de bupivacaïne 100 mg par 20 mL solution injectable fiole) STERIMAX INC","9012916","chlorhydrate de bupivacaïne 100 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"02460645","BUPIVACAINE HYDROCHLORIDE IN DEXTROSE INJECTION USP (chlorhydrate de bupivacaïne 15 mg par 2 mL solution injectable ampoule) STERIMAX INC","9012918","chlorhydrate de bupivacaïne 15 mg par 2 mL solution injectable ampoule","8001600","bupivacaïne"
"02241914","MARCAINE SPINAL (chlorhydrate de bupivacaïne 15 mg par 2 mL solution injectable ampoule) PFIZER CANADA ULC","9012918","chlorhydrate de bupivacaïne 15 mg par 2 mL solution injectable ampoule","8001600","bupivacaïne"
"02241917","MARCAINE (chlorhydrate de bupivacaïne 150 mg par 20 mL solution injectable fiole) PFIZER CANADA ULC","9012919","chlorhydrate de bupivacaïne 150 mg par 20 mL solution injectable fiole","8001600","bupivacaïne"
"02305909","MARCAINE (chlorhydrate de bupivacaïne 250 mg par 50 mL solution injectable fiole) PFIZER CANADA ULC","9012921","chlorhydrate de bupivacaïne 250 mg par 50 mL solution injectable fiole","8001600","bupivacaïne"
"02305895","MARCAINE (chlorhydrate de bupivacaïne 125 mg par 50 mL solution injectable fiole) PFIZER CANADA ULC","9012917","chlorhydrate de bupivacaïne 125 mg par 50 mL solution injectable fiole","8001600","bupivacaïne"
"02240602","BUSULFEX (busulfan 60 mg par 10 mL solution injectable fiole) OTSUKA PHARMACEUTICAL CO LTD","9012925","busulfan 60 mg par 10 mL solution injectable fiole","8001603","busulfan"
"02463733","BUSULFAN FOR INJECTION (busulfan 60 mg par 10 mL solution injectable fiole) STERIMAX INC","9012925","busulfan 60 mg par 10 mL solution injectable fiole","8001603","busulfan"
"01926691","CALCIMAR (calcitonine de saumon 400 unité par 2 mL solution injectable fiole) SANOFI-AVENTIS CANADA INC","9012927","calcitonine de saumon 400 unité par 2 mL solution injectable fiole","8001605","calcitonine de saumon"
"02460351","ILARIS (canakinumab 150 mg par 1 mL solution injectable fiole) NOVARTIS PHARMACEUTICALS CANADA INC","9012928","canakinumab 150 mg par 1 mL solution injectable fiole","8001606","canakinumab"
"00042544","MIOSTAT OPHTHALMIC LIQ 0.01% (carbachol 0,01 % solution injectable 1,5 mL fiole) ALCON CANADA INC","9012929","carbachol 0,01 % solution injectable 1,5 mL fiole","8001608","carbachol"
"02231593","DURATOCIN (carbétocine 100 mcg par 1 mL solution injectable ampoule) FERRING INC","9014357","carbétocine 100 mcg par 1 mL solution injectable ampoule","8001609","carbétocine"
