"","tm_code_v9","tm_formal_name","tm_code_v11"
"169",9001116,"moxifloxacin",8001118
"170",9001205,"naproxen",8001207
"171",9001215,"nifedipine",8001217
"172",9001223,"nitrofurantoin",8001225
"173",9001226,"nitroglycerin",8001228
"174",9001233,"norethindrone",8001235
"175",9001235,"nortriptyline",8001237
"176",9001237,"nystatin",8001239
"177",9001275,"olanzapine",8001277
"178",9001278,"olmesartan medoxomil",8001280
"179",9001280,"olopatadine",8001282
"180",9001283,"omeprazole",8001285
"181",9001291,"oxazepam",8001293
"182",9001294,"oxybutynin",8001296
"183",9001295,"oxycodone",8001297
"184",9001307,"pantoprazole",8001309
"185",9001310,"paroxetine",8001312
"186",9001321,"penicillin v",8001323
"187",9001328,"perindopril",8001330
"188",9001347,"phenytoin",8001349
"189",9001353,"pioglitazone",8001355
"190",9001379,"pramipexole",8001380
"191",9001382,"pravastatin",8001383
"192",9001386,"prednisolone",8001387
"193",9001388,"prednisone",8001389
"194",9001389,"pregabalin",8001390
"195",9001396,"procyclidine",8001397
"196",9001397,"progesterone",8001398
"197",9001401,"propranolol",8001402
"198",9001411,"quetiapine",8001412
"199",9001413,"quinapril",8001414
"200",9001415,"quinine",8001416
"201",9001417,"rabeprazole sodium",8001418
"202",9001420,"ramipril",8001421
"203",9001423,"ranitidine",8001424
"204",9001428,"repaglinide",8001429
"205",9001437,"risedronate",8001438
"206",9001438,"risperidone",8001439
"207",9001441,"rivaroxaban",8001442
"208",9001442,"rivastigmine",8001443
"209",9001443,"rizatriptan",8001444
"210",9001451,"rosuvastatin",8001452
"211",9001455,"salbutamol",8001456
"212",9001461,"saxagliptin",8001462
"213",9001467,"sertraline",8001468
"214",9001470,"sildenafil",8001471
"215",9001476,"simvastatin",8001477
"216",9001480,"sitagliptin",8001481
"217",9001483,"solifenacin",8001484
"218",9001490,"spironolactone",8001491
"219",9001501,"sulfamethoxazole and trimethoprim",8001502
"220",9001506,"sumatriptan",8001507
"221",9001508,"tacrolimus",8001509
"222",9001509,"tadalafil",8001510
"223",9001512,"tamsulosin",8001513
"224",9001518,"telmisartan",8001519
"225",9001519,"temazepam",8001520
"226",9001526,"terazosin",8001527
"227",9001527,"terbinafine",8001528
"228",9001533,"testosterone",8001534
"229",9001554,"timolol",8001555
"230",9001557,"tiotropium bromide",8001558
"231",9001566,"tolterodine",8001567
"232",9001568,"topiramate",8001569
"233",9001571,"tramadol",8001572
"234",9001572,"trandolapril",8001573
"235",9001578,"travoprost",8001579
"236",9001579,"trazodone",8001580
"237",9001583,"triamcinolone acetonide",8001584
"238",9001602,"valacyclovir",8001602
"239",9001604,"valsartan",8001604
"240",9001607,"varenicline",8001607
"241",9001614,"venlafaxine",8001614
"242",9001615,"verapamil",8001615
"243",9001624,"warfarin",8001624
"244",9001634,"zopiclone",8001634
"245",NA,"esomeprazole and naproxen",8000729
