DPD PHARM_FORM_CODE,DPD PHARMACEUTICAL_FORM,Action:,,NTP Formal Name Dose form
116,INSERT,RoA-based transform,Where RoA = 74 (VAGINAL) transform to:,vaginal delivery system
117,METERED-DOSE PUMP,RoA-based transform,Where RoA = 53 (NASAL) transform to:,nasal spray
117,METERED-DOSE PUMP,RoA-based transform,Where RoA = 66 (SUBLINGUAL) transform to: ,"sublingual spray, solution"
118,"POWDER FOR SUSPENSION, SUSTAINED-RELEASE",Simple transform to:,,powder for prolonged-release suspension for injection
123,GEL (CONTROLLED-RELEASE),Simple transform to:,,periodontal gel
126,POWDER FOR SUSPENSION,RoA-based transform,Where RoA = 22 (INTRAMUSCULAR) transform to:,powder for suspension for injection
126,POWDER FOR SUSPENSION,RoA-based transform,Where RoA = 49 (INTRAVENOUS) transform to:,powder for suspension for injection
126,POWDER FOR SUSPENSION,RoA-based transform,Where RoA = 56 (ORAL) transform to:,powder for oral suspension
126,POWDER FOR SUSPENSION,RoA-based transform,Where RoA = 65 (SUBCUTANEOUS) transform to:,powder for suspension for injection
126,POWDER FOR SUSPENSION,RoA-based transform,Where RoA = 96 (INTRAVESICAL) transform to:,powder for intravesical suspension
129,SWAB,Not Top 250 - no change,,swab
130,INSERT (EXTENDED-RELEASE),Simple transform to:,,intrauterine delivery system
132,TABLET (ORALLY DISINTEGRATING),Simple transform to:,,orodispersible tablet
134,SOLUTION,RoA-based transform,Where RoA = 1 (BLOCK/INFILTRATION) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 3 (BUCCAL) transform to:,mouthwash
134,SOLUTION,RoA-based transform,Where RoA = 4 (INTRACAUDAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 5 (DENTAL) transform to:,dental solution
134,SOLUTION,RoA-based transform,Where RoA = 6 (DIALYSIS) transform to:,solution for haemodialysis
134,SOLUTION,RoA-based transform,Where RoA = 7 (EPIDURAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 10 (INTRA-ARTICULAR) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 11 (INTRA-AMNIOTIC) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 12 (INTRA-ARTERIAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 13 (INTRABURSAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 14 (INTRACARDIAC) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 16 (INTRACRANIAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 19 (INTRADERMAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 22 (INTRAMUSCULAR) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 29 (INHALATION) transform to:,inhalation solution
134,SOLUTION,RoA-based transform,Where RoA = 31 (INTRATHECAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 32 (INTRAOCULAR) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 33 (INTRAPERITONEAL) transform to:,solution for peritoneal dialysis
134,SOLUTION,RoA-based transform,Where RoA = 36 (IRRIGATION) transform to:,irrigation solution
134,SOLUTION,RoA-based transform,Where RoA = 39 (INSTILLATION) transform to:,solution for cardioplegia
134,SOLUTION,RoA-based transform,Where RoA = 40 (INTRASPINAL) transform to: ,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 42 (INTRASYNOVIAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 45 (INTRATRACHEAL) transform to:,"endotracheopulmonary instillation, solution"
134,SOLUTION,RoA-based transform,Where RoA = 49 (INTRAVENOUS) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 53 (NASAL) transform to:,"nasal spray, solution"
134,SOLUTION,RoA-based transform,Where RoA = 55 (OPHTHALMIC) transform to:,"opthalmic drops, solution"
134,SOLUTION,RoA-based transform,Where RoA = 56 (ORAL) transform to:,oral solution
134,SOLUTION,RoA-based transform,Where RoA = 57 (OTIC) transform to:,"otic drops, solution"
134,SOLUTION,RoA-based transform,Where RoA = 59 (PARENTERAL (UNSPECIFIED)) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 60 (RETROBULBAR) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 64 (SUBARACHNOIDAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 65 (SUBCUTANEOUS) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 70 (TOPICAL) transform to:,cutaneous solution
134,SOLUTION,RoA-based transform,Where RoA = 72 (URETHRAL) transform to:,intravesical solution
134,SOLUTION,RoA-based transform,Where RoA = 80 (INTRAVITREAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 82 (INTRAGANGLIONAL) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 85 (PERCUTANEOUS) transform to:,solution for injection
134,SOLUTION,RoA-based transform,Where RoA = 96 (INTRAVESICAL) transform to:,intravesical solution
134,SOLUTION,RoA-based transform,Where RoA = 97 (INTRAVASCULAR) transform to:,solution for injection
135,LIPOSOMES,Simple transform to:,,powder for suspension for infusion
136,PIECE (CHEWABLE),Not Top 250 - no change,,piece (chewable)
137,CAPSULE (DELAYED RELEASE),Simple transform to:,,modified release oral capsule
138,TABLET (COMBINED RELEASE),Simple transform to:,,modified release oral tablet
141,CAPSULE (EXTENDED RELEASE),Simple transform to:,,prolonged release oral capsule
143,SUSPENSION (EXTENDED-RELEASE),Simple transform to:,,prolonged-release suspension for injection
145,PATCH,RoA-based transform,Where RoA = 71 (TRANSDERMAL) transform to:,transdermal patch
145,PATCH,RoA-based transform,Where RoA = 70 (TOPICAL) transform to:,cutaneous patch
148,"GRANULES FOR SUSPENSION, DELAYED RELEASE",Simple transform to:,,gastro-resistant granules for oral suspension
150,TABLET (IMMEDIATE RELEASE),Simple transform to:,,oral tablet
151,TABLET (CHEWABLE),Simple transform to:,,chewable tablet
152,POWDER (EXTENDED RELEASE),Simple transform to:,,"periodontal powder, prolonged release"
153,POWDER (METERED DOSE),Simple transform to:,,inhalation powder
154,VAGINAL TABLET,No change required,,vaginal tablet
155,SOLUTION (EXTENDED RELEASE),Simple transform to:,,solution for injection
156,TABLET FOR SUSPENSION,Simple transform to:,,dispersible oral tablet
157,GRANULES FOR SUSPENSION,Simple transform to:,,granules for oral suspension
158,"SPRAY, METERED DOSE",RoA-based transform,Where RoA = 53 (NASAL) transform to:,nasal spray
158,"SPRAY, METERED DOSE",RoA-based transform,Where RoA = 70 (TOPICAL) transform to:,cutaneous spray
159,TABLET (DELAYED AND EXTENDED RELEASE),Simple transform to:,,modified release tablet
160,PATCH (EXTENDED RELEASE),Simple transform to:,,transdermal patch
161,CAPSULE (IMMEDIATE RELEASE),Simple transform to:,,oral capsule
162,"AEROSOL, METERED DOSE",Simple transform to:,,pressurised inhalation
163,GRANULES FOR SOLUTION,Simple transform to:,,granules for oral solution
164,"SPRAY, BAG-ON-VALVE",Not Top 250 - no change,,"spray, bag-on-valve"
165,"VAGINAL TABLET, EFFERVESCENT",Simple transform to:,,effervescent vaginal tablet
166,"AEROSOL, FOAM",Simple transform to:,,cutaneous foam
167,"FILM, SOLUBLE",Simple transform to:,,orodispersible film
170,TABLET (IMMEDIATE AND DELAYED-RELEASE),Simple transform to:,,modified release tablet
171,CAPSULE (IMMEDIATE AND EXTENDED RELEASE),Simple transform to:,,modified release capsule
172,CAPSULE (IMMEDIATE AND DELAYED RELEASE),Simple transform to:,,modified release capsule
173,TABLET (IMMEDIATE AND EXTENDED RELEASE),Simple transform to:,,modified release tablet
174,OIL,Simple transform to:,,liquid
,,,,
,,,,
,,,,
