"","PHARM_FORM_CODE","ROUTE_OF_ADMINISTRATION_CODE","dpd_pharm_form","dpd_route_admin","n_din"
"279","170","56","TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL",4
"280","79","80","SUSPENSION","INTRAVITREAL",1
"281","171","56","CAPSULE (IMMEDIATE AND EXTENDED RELEASE)","ORAL",1
"282","172","56","CAPSULE (IMMEDIATE AND DELAYED RELEASE)","ORAL",1
"283","167","56","FILM, SOLUBLE","ORAL",2
"284","134","90","SOLUTION","EXTRACORPOREAL",1
"285","23","3","TABLET (EFFERVESCENT)","BUCCAL",5
"286","23","66","TABLET (EFFERVESCENT)","SUBLINGUAL",5
"287","32","29","KIT","INHALATION",1
"288","134","109","SOLUTION","SUBMUCOSAL",1
"289","32","6","KIT","DIALYSIS",1
"290","134","45","SOLUTION","INTRATRACHEAL",2
"291","134","105","SOLUTION","TOPICAL (COMMERCIAL)",1
"292","114","55","GEL","OPHTHALMIC",1
"293","32","96","KIT","INTRAVESICAL",1
"294","126","22","POWDER FOR SUSPENSION","INTRAMUSCULAR",3
"295","32","3","KIT","BUCCAL",1
"296","85","3","TABLET","BUCCAL",1
"297","134","18","SOLUTION","INTRACUTANEOUS",1
"298","174","70","OIL","TOPICAL",1
"299","19","22","EMULSION","INTRAMUSCULAR",2
"300","19","65","EMULSION","SUBCUTANEOUS",2
