"","tm_set","total"
"83","DULOXETINE",10087945
"84","DIGOXIN",9922801
"85","HYDROCHLOROTHIAZIDE!VALSARTAN",9865121
"86","BUDESONIDE!FORMOTEROL",9588272
"87","TEMAZEPAM",9422058
"88","NITROGLYCERIN",9344003
"89","DESOGESTREL!ETHINYLESTRADIOL",9311536
"90","FOLIC ACID",9046507
"91","SPIRONOLACTONE",9032972
"92","VALACYCLOVIR",8671039
"93","FENOFIBRATE",8627665
"94","ESTROGENIC SUB,CONJUGATED",8498236
"95","PRAVASTATIN",8154139
"96","HYDROCHLOROTHIAZIDE!IRBESARTAN",8073118
"97","LOSARTAN",7976251
"98","FLUOXETINE",7880447
"99","LITHIUM",7626865
"100","DUTASTERIDE",7611230
"101","DICLOFENAC",7544925
"102","FUSIDIC ACID",7199048
"103","NITROFURANTOIN",7137771
"104","CARBAMAZEPINE",7051401
"105","ENALAPRIL",6894521
"106","INSULIN GLARGINE",6874230
"107","MONTELUKAST",6783660
"108","SITAGLIPTIN",6759110
"109","FINASTERIDE",6716723
"110","PHENYTOIN",6688730
"111","SILDENAFIL",6627097
"112","CARBIDOPA!LEVODOPA",6614500
"113","ALPRAZOLAM",6584627
"114","LISINOPRIL",6495713
"115","MEDROXYPROGESTERONE",6487432
"116","SULFAMETHOXAZOLE!TRIMETHOPRIM",6470063
"117","TADALAFIL",6415459
"118","INDAPAMIDE!PERINDOPRIL",6400484
"119","DICLOFENAC!MISOPROSTOL",6396072
"120","MOXIFLOXACIN",6177113
"121","METRONIDAZOLE",6161932
"122","CLINDAMYCIN",6063461
"123","METHOTREXATE",6030710
"124","CLONIDINE",5974198
"125","DEXLANSOPRAZOLE",5967043
"126","LATANOPROST",5951877
"127","INDAPAMIDE",5930843
"128","OXYBUTYNIN",5857636
"129","HYDROCORTISONE",5770783
"130","ACETAMINOPHEN!TRAMADOL",5702101
"131","PROPRANOLOL",5673910
"132","LAMOTRIGINE",5485260
"133","HUMAN INSULIN ISOPHANE",5480734
"134","AMOXICILLIN!CLAVULANIC ACID",5476375
"135","INSULIN ASPART",5466997
"136","MELOXICAM",5381701
"137","ARIPIPRAZOLE",5315575
"138","TRANDOLAPRIL",5232531
"139","ACETAMINOPHEN!CODEINE",5201209
"140","BUPRENORPHINE!NALOXONE",5068010
"141","PENICILLIN V",5024098
"142","BACLOFEN",5012252
"143","DIAZEPAM",5003548
"144","PROGESTERONE",4966773
"145","HYDROCHLOROTHIAZIDE!TELMISARTAN",4949904
"146","HYDROCHLOROTHIAZIDE!TRIAMTERENE",4937251
"147","TOLTERODINE",4800990
"148","ISOSORBIDE-5-MONONITRATE",4800596
"149","GALANTAMINE",4786297
"150","IBUPROFEN",4729906
"151","HYDROCHLOROTHIAZIDE!LOSARTAN",4720353
"152","CETIRIZINE",4676451
"153","TOPIRAMATE",4675338
"154","HYDROXYCHLOROQUINE",4624655
"155","PREDNISOLONE",4618013
"156","CICLESONIDE",4600989
"157","FENTANYL",4570566
"158","HYDROXYZINE",4506675
"159","DEXAMETHASONE",4481546
"160","ALENDRONATE!CHOLECALCIFEROL",4353442
"161","IPRATROPIUM",4271949
"162","CANDESARTAN CILEXETIL!HYDROCHLOROTHIAZIDE",4220322
"163","QUINAPRIL",4204541
"164","BUDESONIDE",4182953
"165","INSULIN LISPRO",4174998
"166","ACEBUTOLOL",4095107
"167","TERAZOSIN",4066455
"168","MESALAMINE",4064713
"169","HYDROCHLOROTHIAZIDE!RAMIPRIL",4058760
"170","CLOZAPINE",4036528
"171","TERBINAFINE",3976812
"172","BETAHISTINE",3967562
"173","VARENICLINE",3930113
"174","KETOROLAC",3921100
"175","METFORMIN!SITAGLIPTIN",3899200
"176","DABIGATRAN ETEXILATE",3846001
"177","DOXYCYCLINE",3772623
"178","ALFUZOSIN",3702039
"179","CODEINE",3667357
"180","BENZTROPINE",3617531
"181","RIVAROXABAN",3569022
"182","FOSINOPRIL",3568262
"183","TRIAMCINOLONE ACETONIDE",3539548
"184","QUININE",3499011
"185","AMIODARONE",3494401
"186","FELODIPINE",3343259
"187","SOLIFENACIN",3338782
"188","PRAMIPEXOLE",3329524
"189","BROMAZEPAM",3318234
"190","NORTRIPTYLINE",3303433
"191","CARVEDILOL",3300573
"192","OLMESARTAN MEDOXOMIL",3210041
"193","CLOBETASOL",3192243
"194","CIPROFLOXACIN!DEXAMETHASONE",3183404
"195","VERAPAMIL",3149354
"196","LISDEXAMFETAMINE",3144558
"197","CEFPROZIL",3133392
"198","ETHINYLESTRADIOL!ETONOGESTREL",3090247
"199","BENZOYL PEROXIDE!CLINDAMYCIN",3081017
"200","MINOCYCLINE",3065735
"201","ETHINYLESTRADIOL!NORETHINDRONE",3039890
"202","TESTOSTERONE",3004264
"203","SAXAGLIPTIN",2959400
"204","BIMATOPROST",2909308
"205","EPINEPHRINE",2902323
"206","PIOGLITAZONE",2870412
"207","OLOPATADINE",2823737
"208","INDOMETHACIN",2771143
"209","VACCINE, HEPATITIS A INACTIVATED!VACCINE, HEPATITIS B",2701530
"210","REPAGLINIDE",2675712
"211","PROCYCLIDINE",2670387
"212","TIMOLOL",2637607
"213","TRAMADOL",2591288
"214","DORZOLAMIDE!TIMOLOL",2574200
"215","METOCLOPRAMIDE",2562222
"216","HALOPERIDOL",2552236
"217","HUMAN INSULIN!HUMAN INSULIN ISOPHANE",2513322
"218","ACYCLOVIR",2504623
"219","CHLORHEXIDINE",2477765
"220","ERYTHROMYCIN",2470232
"221","COLCHICINE",2458792
"222","CYPROTERONE!ETHINYLESTRADIOL",2428938
"223","LEVETIRACETAM",2372661
"224","RIVASTIGMINE",2346283
"225","AMPHETAMINE!DEXTROAMPHETAMINE",2330703
"226","NORETHINDRONE",2229596
"227","BECLOMETHASONE",2225607
"228","RIZATRIPTAN",2204329
"229","HYDROCHLOROTHIAZIDE!LISINOPRIL",2199233
"230","DESVENLAFAXINE",2188045
"231","TRAVOPROST",2177480
"232","FLURAZEPAM",2177462
"233","HYDROCHLOROTHIAZIDE!OLMESARTAN MEDOXOMIL",2148722
"234","INSULIN DETEMIR",2125827
"235","NYSTATIN",2123899
"236","CICLOPIROX",2119313
"237","DOXAZOSIN",2101253
"238","DIBUCAINE!ESCULIN!FRAMYCETIN!HYDROCORTISONE",2076646
"239","TACROLIMUS",2053607
"240","ESOMEPRAZOLE!NAPROXEN",2032012
"241","HYDROCHLOROTHIAZIDE!QUINAPRIL",2013990
"242","ATOMOXETINE",2005283
"243","CLOBAZAM",1966090
"244","ETHINYLESTRADIOL!NORELGESTROMIN",1957555
"245","DEXTROAMPHETAMINE",1956638
"246","SUMATRIPTAN",1955637
"247","AZATHIOPRINE",1941925
"248","CALCITRIOL",1931227
"249","LEVOFLOXACIN",1870748
"250","BENZALKONIUM!DEXAMETHASONE!TOBRAMYCIN",1850236
