"","basis_of_strength_ing","n_codes","ai_codes","top250"
"59","CHOLESTYRAMINE RESIN",1,"10235",NA
"60","CHORIOGONADOTROPIN ALPHA",1,"12389",NA
"61","CHORIONIC GONADOTROPIN",1,"7358",NA
"62","CHROMIUM",1,"2001",NA
"63","CILAZAPRIL",1,"951",NA
"64","CIPROFLOXACIN",1,"93","CIPROFLOXACIN"
"65","CITRIC ACID",1,"10021",NA
"66","CLINDAMYCIN",1,"8551","CLINDAMYCIN"
"67","CLODRONATE DISODIUM",1,"925",NA
"68","CLOFEDANOL HYDROCHLORIDE",1,"9523",NA
"69","CODEINE",1,"6750","CODEINE"
"70","COLLAGEN",1,"16865",NA
"71","COLLAGENASE",1,"2150",NA
"72","COPPER",1,"582",NA
"73","CORBADRINE",1,"5645",NA
"74","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN",1,"12153",NA
"75","D&C RED NO. 28",1,"1769",NA
"76","VITAMIN E",1,"701",NA
"77","D-PENICILLAMINE",1,"10302",NA
"78","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 3 SAUKETT",1,"127",NA
"79","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1",1,"128",NA
"80","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 1 MAHONEY",1,"129",NA
"81","DACLIZUMAB BETA",1,"22834",NA
"82","DAPAGLIFLOZIN",1,"22549",NA
"83","DASATINIB",1,"20122",NA
"84","DESMOPRESSIN ACETATE",1,"2155",NA
"85","DEXAMETHASONE",1,"7600","DEXAMETHASONE"
"86","DEXTRAN",1,"9969",NA
"87","DEXTROMETHORPHAN HYDROBROMIDE",1,"10247",NA
"88","DEXTROSE",1,"42",NA
"89","DEXTROSE ANHYDROUS",1,"20521",NA
"90","DICHLOROBENZENE",1,"3989",NA
"91","DILUENT",1,"893",NA
"92","DIPHTHERIA TOXOID",1,"7941",NA
"93","DIPHTHERIA TOXOID ADSORBED",1,"7940",NA
"94","DISODIUM EDETATE",1,"3836",NA
"95","DL-METHIONINE",1,"7216",NA
"96","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT",1,"7636",NA
"97","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT",1,"7638",NA
"98","DONEPEZIL HYDROCHLORIDE",1,"11485",NA
"99","DOXYCYCLINE",1,"8642","DOXYCYCLINE"
"100","ALUMINUM HYDROXIDE",1,"721",NA
"101","MAGNESIUM HYDROXIDE",1,"720",NA
"102","DROMETRIZOLE TRISILOXANE",1,"19130",NA
"103","MEASLES VIRUS VACCINE LIVE ATTENUATED",2,"21537, 7908",NA
"104","ENALAPRIL SODIUM",1,"20170","ENALAPRIL"
"105","ENTECAVIR",1,"13030",NA
"106","ENZALUTAMIDE",1,"22083",NA
"107","EPINEPHRINE RACEMIC",1,"8917","EPINEPHRINE"
"108","EPOETIN ALFA",1,"299",NA
"109","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN",1,"7645",NA
"110","ERYTHROSINE",1,"6817","ERYTHROMYCIN"
"111","ESOMEPRAZOLE",1,"12371","ESOMEPRAZOLE"
"112","ETAFEDRIN HYDROCHLORIDE",1,"8936",NA
"113","IODINE",1,"7218",NA
"114","FACTOR XIII",1,"11246",NA
"115","FAMPRIDINE",1,"21173",NA
"116","CAT (FELIS DOMESTICUS) PELT AND CAT DANDER",1,"11833",NA
"117","FILAMENTOUS HAEMAGGLUTININ",1,"19",NA
"118","FILAMENTOUS HAEMAGGLUTININ ADSORBED",1,"20306",NA
"119","FIMBRIAE TYPES 2 AND 3",1,"20594",NA
"120","FIMBRIAE",1,"18",NA
"121","FLUDROCORTISONE 21-ACETATE",1,"7526",NA
"122","FOLLITROPIN ALFA",1,"11457",NA
"123","FOLLITROPIN BETA",1,"11463",NA
"124","FORMOTEROL FUMARATE DIHYDRATE",1,"12633",NA
"125","FROVATRIPTAN",1,"13350",NA
"126","GLUTATHIONE DISULFIDE",1,"1951",NA
"127","GLYCERINE",1,"7104",NA
"128","GLYCEROL PHENYLBUTYRATE",1,"22705",NA
"129","GLYCOL SALICYLATE",1,"9724",NA
"130","GLYCOPYRRONIUM",1,"21481",NA
"131","GRASS POLLEN ALLERGEN EXTRACT",1,"21252",NA
"132","HAEMAGGLUTININ-STRAIN A",2,"744, 743",NA
"133","INFLUENZA VIRUS TYPE A",2,"20598, 20599",NA
"134","HAEMAGGLUTININ-STRAIN B",3,"742, 22250, 22251",NA
"135","HAEMOPHILUS INFLUENZAE TYPE B-PRP",1,"7795",NA
"136","HAMAMELIS VIRGINIANA",1,"6854",NA
"137","HEPATITIS A VACCINE, INACTIVATED",1,"348",NA
"138","HEPATITIS B IMMUNE GLOBULIN HUMAN",1,"7764",NA
"139","HONEY BEE VENOM PROTEIN",1,"2027",NA
"140","ANTITHROMBIN III",1,"733",NA
"141","ALPHA 1-PROTEINASE INHIBITOR",1,"7762",NA
"142","COAGULATION FACTOR IX",2,"90, 11417",NA
"143","IMMUNE GLOBULIN",1,"7773",NA
"144","TETANUS IMMUNE GLOBULIN",1,"7931",NA
"145","CYTOMEGALOVIRUS IMMUNE GLOBULIN",1,"11482",NA
"146","VON WILLEBRAND FACTOR",1,"13371",NA
"147","ANTIHEMOPHILIC FACTOR",2,"9847, 745",NA
"148","COAGULATION FACTOR II",1,"2931",NA
"149","COAGULATION FACTOR X",1,"4229",NA
"150","COAGULATION FACTOR VII",1,"4235",NA
"151","THROMBIN",1,"11564",NA
"152","SEALER PROTEIN",1,"20462",NA
"153","FIBRINOGEN",1,"17119",NA
"154","C1 ESTERASE INHIBITOR",1,"20597",NA
"155","RABIES VACCINE INACTIVATED",2,"16202, 15082",NA
"156","HUMAN PLASMA PROTEINS",1,"12888",NA
"157","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G1",1,"19827",NA
"158","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G2",1,"19828",NA
"159","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G3",1,"19829",NA
"160","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4",1,"19830",NA
"161","HYDROXYETHYLCELLULOSE",1,"3977",NA
"162","HYOSCINE BUTYLBROMIDE",1,"9008",NA
"163","HYPROLOSE",1,"13317",NA
"164","HYPROMELLOSE",1,"12399",NA
"165","INACTIVATED POLIOVIRUS TYPE I",1,"11933",NA
"166","INACTIVATED POLIOVIRUS TYPE II",1,"11934",NA
"167","INACTIVATED POLIOVIRUS TYPE III",1,"11935",NA
"168","INCOBOTULINUMTOXINA",1,"21616",NA
"169","INDIGO CARMINE",1,"6214",NA
"170","INFLIXIMAB",1,"12094",NA
"171","INSULIN",1,"7326",NA
"172","INSULIN ASPART PROTAMINE",1,"20190","INSULIN ASPART"
"173","INSULIN BIOSYNTHETIC HUMAN BR",1,"7300",NA
"174","INSULIN INJECTION HUMAN BIOSYNTHETIC",1,"7672",NA
"175","INSULIN INJECTION PORK",1,"7659",NA
"176","INSULIN ISOPHANE INJECTION PORK",1,"7650",NA
"177","INSULIN LISPRO PROTAMINE SUSPENSION",1,"12028",NA
"178","INSULIN NPH HUMAN DNA ORIGIN",1,"7311",NA
"179","INSULIN SEMI SYNTHETIC HUMAN",1,"7312",NA
"180","IPRATROPIUM BROMIDE",1,"1945","IPRATROPIUM"
"181","IRINOTECAN HYDROCHLORIDE",1,"11461",NA
"182","IRON",1,"309",NA
"183","ISOPROPYL MYRISTATE",1,"6628",NA
"184","MUMPS VIRUS VACCINE LIVE ATTENUATED",1,"11271",NA
"185","L-ALANINE",1,"2959",NA
"186","L-ARGININE",1,"938",NA
"187","L-ASPARTIC ACID",1,"9397",NA
"188","L-CYSTEINE",1,"5416",NA
"189","L-ISOLEUCINE",1,"944",NA
"190","L-LEUCINE",1,"943",NA
"191","L-LEUCINE HYDROCHLORIDE",1,"751",NA
"192","L-LYSINE",1,"193",NA
"193","LYSINE",1,"9806",NA
"194","L-LYSINE HYDROCHLORIDE",1,"8700",NA
"195","L-MENTHOL",1,"418",NA
"196","L-ORNITHINE DIHYDROCHLORIDE",1,"11709",NA
"197","L-PHENYLALANINE",1,"942",NA
"198","L-PHENYLALANINE HYDROCHLORIDE",1,"750",NA
"199","L-PROLINE",1,"935",NA
"200","L-THREONINE",1,"941",NA
"201","L-TYROSINE",1,"897",NA
"202","L-VALINE",1,"939",NA
"203","LANTHANUM",1,"20021",NA
"204","LAPATINIB",1,"20463",NA
"205","LEVOFLOXACIN",1,"11705","LEVOFLOXACIN"
"206","LIDOCAINE HYDROCHLORIDE",1,"10225",NA
"207","LIPASE",1,"649",NA
"208","MACROGOL",1,"13418",NA
"209","MEDIUM CHAIN TRIGLYCERIDES",1,"11369",NA
"210","MEGLUMINE IODIPAMIDE",1,"9697",NA
"211","MEGLUMINE IOXITALAMATE",1,"271",NA
"212","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE",1,"20580",NA
"213","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE",1,"12152",NA
"214","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE",1,"20582",NA
"215","MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE",1,"20581",NA
"216","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A",1,"7670",NA
"217","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C",1,"7669",NA
"218","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135",1,"7667",NA
"219","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y",1,"7668",NA
"220","MENINGOCOCCAL POLYSACCHARIDE VACCINE GRP C",1,"7920",NA
"221","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP A",1,"19042",NA
"222","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP C",1,"19043",NA
"223","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP W 135",1,"19045",NA
"224","MENINGOCOCCAL POLYSACCHARIDE-DIPHTHERIA TOXOID CONJUGATE, GROUP Y",1,"19044",NA
"225","MEROPENEM",1,"41",NA
"226","METHOTREXATE",1,"5900","METHOTREXATE"
"227","METHOTRIMEPRAZINE",1,"8029",NA
"228","METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL",1,"4070",NA
"229","MINERAL OIL LIGHT",1,"298",NA
"230","MODIFIED RAGWEED TYROSINE ADSORBATE",1,"12719",NA
"231","MOROCTOCOG ALFA",1,"12787",NA
"232","MUPIROCIN",1,"1832",NA
"233","MYROXYLON BALSAMUM",1,"11977",NA
"234","N-ACETYL-L-TYROSINE",1,"1353",NA
"235","OUTER MEMBRANE VESICLES",1,"22179",NA
"236","NEON",1,"2331",NA
"237","NICOTINAMIDE",1,"5015",NA
"238","NICOTINIC ACID",1,"5019",NA
"239","NINTEDANIB",1,"22614",NA
"240","NON POLLEN",1,"3854",NA
"241","NONACOG GAMMA",1,"22522",NA
"242","NORMETHADONE HYDROCHLORIDE",1,"2664",NA
"243","INSULIN ISOPHANE",1,"7323","INSULIN LISPRO"
"244","OIL OF TURPENTINE",1,"3510",NA
"245","VARICELLA-ZOSTER VIRUS VACCINE LIVE ATTENUATED",1,"20380",NA
"246","OLANZAPINE",1,"1","OLANZAPINE"
"247","OMBITASVIR",1,"22554",NA
"248","ONABOTULINUMTOXINA",1,"17056",NA
"249","ONDANSETRON",1,"11104",NA
"250","ORCIPRENALINE SULFATE",1,"9867",NA
"251","DIGOXIN IMMUNE FAB",1,"7676",NA
"252","OXETACAINE",1,"5201",NA
"253","P-HYDROXYEPHEDRINE HYDROCHLORIDE",1,"8934",NA
"254","PANTOPRAZOLE",1,"11086","PANTOPRAZOLE"
"255","PARACHLOROPHENOL",1,"17827",NA
"256","PARITAPREVIR",1,"22556",NA
"257","PATENT BLUE SODIUM",1,"2140",NA
"258","PENTAMIDINE ISETIONATE",1,"20144",NA
"259","PERTACTIN",1,"17",NA
"260","PERTACTIN ADSORBED",1,"20307",NA
"261","PERTUSSIS TOXOID",1,"20",NA
"262","PERTUSSIS TOXOID ADSORBED",1,"20305",NA
"263","PHOSPHOLIPID",1,"10282",NA
"264","PITCHER PLANT",1,"2662",NA
"265","PIZOTIFEN",1,"12057",NA
"266","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 1",1,"20552",NA
"267","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 10A",1,"20649",NA
"268","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 11A",1,"20650",NA
"269","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 12F",1,"20651",NA
"270","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 14",1,"20528",NA
"271","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 15B",1,"20652",NA
"272","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 17F",1,"20653",NA
"273","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 18C",1,"20530",NA
"274","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19A",1,"20654",NA
"275","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 19F",1,"20531",NA
"276","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 2",1,"20646",NA
"277","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 20",1,"20655",NA
"278","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F",1,"20656",NA
"279","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 23F",1,"20532",NA
"280","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 3",1,"20539",NA
"281","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 33F",1,"20657",NA
"282","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 4",1,"20533",NA
"283","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 5",1,"20541",NA
"284","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A",1,"20542",NA
"285","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6B",1,"20534",NA
"286","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 7F",1,"20544",NA
"287","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 8",1,"20647",NA
"288","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9N",1,"20648",NA
"289","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V",1,"20536",NA
"290","PODOPHYLLIN",1,"6689",NA
"291","PODOPHYLLOTOXIN",1,"910",NA
"292","POLISTES SPP VENOM PROTEIN EXTRACT",1,"7639",NA
"293","POLLEN",1,"5183",NA
"294","POLLEN AND NON POLLEN",1,"13830",NA
"295","POTASSIUM",1,"6485",NA
"296","CLAVULANIC ACID",1,"11247",NA
"297","POTASSIUM PHOSPHATE DIBASIC",1,"5319",NA
"298","POTASSIUM PHOSPHATE MONOBASIC",1,"6337",NA
"299","PROCHLORPERAZINE",1,"7991",NA
"300","PROPIVERINE HYDROCHLORIDE",1,"22838",NA
"301","PROPYL ALCOHOL",1,"8887",NA
"302","PROTEASE",1,"648",NA
"303","PROTEIN S",1,"20132",NA
"304","PROXYMETACAINE HYDROCHLORIDE",1,"20365",NA
"305","HAEMOPHILUS INFLUENZAE TYPE B-PRP AND TETANUS TOXOID CONJUGATE",1,"12127",NA
"306","PURIFIED PROTEIN DERIVATIVE OF TUBERCULIN",1,"7783",NA
"307","PYRETHRINS",1,"6441",NA
"308","FILGRASTIM",1,"7657",NA
"309","RABIES IMMUNE GLOBULIN HUMAN",1,"7918",NA
"310","RALTITREXED",1,"11098",NA
"311","HEPATITIS B SURFACE ANTIGEN",1,"7746",NA
"312","ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE",1,"22653",NA
"313","ANTIHEMOPHILIC FACTOR (RECOMBINANT BDD), FC FUSION PROTEIN",1,"22511",NA
"314","RECOMBINANT CHOLERA TOXIN B SUBUNIT",1,"12361",NA
"315","GLUCAGON",1,"12072",NA
"316","INSULIN GLULISINE",1,"18938","INSULIN GLARGINE"
"317","RECOMBINANT HUMAN COAGULATION FACTOR IX, FC FUSION PROTEIN",1,"22263",NA
"318","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 11 L1 PROTEIN",1,"19708",NA
"319","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN",1,"19709",NA
"320","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 18 L1 PROTEIN",1,"19710",NA
"321","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 31 L1 PROTEIN",1,"22570",NA
"322","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN",1,"22571",NA
"323","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 45 L1 PROTEIN",1,"22572",NA
"324","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 52 L1 PROTEIN",1,"22573",NA
"325","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 58 L1 PROTEIN",1,"22574",NA
"326","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 6 L1 PROTEIN",1,"19707",NA
"327","RECOMBINANT NEISSERIA MENINGITIDIS GROUP B FHBP FUSION PROTEIN",1,"22178",NA
"328","RECOMBINANT NEISSERIA MENINGITIDIS GROUP B NADA PROTEIN",1,"22177",NA
"329","RECOMBINANT NEISSERIA MENINGITIDIS GROUP B NHBA FUSION PROTEIN",1,"22176",NA
"330","VITAMIN A",1,"704",NA
"331","RHO D IMMUNE GLOBULIN HUMAN",1,"7768",NA
"332","VITAMIN B2",1,"11171",NA
"333","RISPERIDONE",1,"723","RISPERIDONE"
"334","RIVASTIGMINE",1,"11987","RIVASTIGMINE"
"335","ROTAVIRUS VACCINE",1,"20167",NA
"336","RUPATADINE",1,"22754",NA
"337","VALSARTAN",1,"11702","VALSARTAN"
"338","SACUBITRIL",1,"22647",NA
"339","CALCITONIN",1,"13186",NA
"340","TYPHOID VACCINE",1,"7832",NA
"341","SALMONELLA TYPHI VI CAPSULAR POLYSACCHARIDE VACCINE",1,"12267",NA
"342","SARILUMAB",1,"22840",NA
"343","SELENIUM",1,"2295",NA
"344","SENNOSIDES",1,"5190",NA
"345","SILICONE",1,"6410",NA
"346","SIMETHICONE",1,"719",NA
"347","SIMOCTOCOG ALFA",1,"22528",NA
"348","SODIUM ACETATE TRIHYDRATE",1,"11968",NA
"349","SODIUM CARBOXYMETHYL CELLULOSE",1,"6633",NA
"350","SODIUM CITRATE DIHYDRATE",1,"11969",NA
"351","FOLIC ACID",1,"4991","FOLIC ACID"
"352","SODIUM GLYCEROPHOSPHATE",1,"4771",NA
"353","SODIUM IOXITALAMATE",1,"1203",NA
"354","SODIUM LAURYL SULFOACETATE",1,"3033",NA
"355","SODIUM PHOSPHATE DIBASIC",1,"4759",NA
"356","SODIUM PHOSPHATE MONOBASIC",1,"4753",NA
"357","SODIUM PHOSPHATE MONOBASIC, MONOHYDRATE",1,"20445",NA
"358","VALPROIC ACID",1,"2115",NA
"359","STANDARDIZED BERMUDA GRASS POLLEN",1,"22651",NA
"360","STANDARDIZED CAT HAIR ACETONE PRECIPITATED",1,"256",NA
"361","STANDARDIZED CAT PELT",1,"11607",NA
"362","STANDARDIZED CAT PELT ACETONE PRECIPITATED",1,"257",NA
"363","STANDARDIZED KENTUCKY BLUE/JUNE GRASS POLLEN",1,"22652",NA
"364","STANDARDIZED MEADOW FESCUE GRASS POLLEN",1,"4486",NA
"365","STANDARDIZED ORCHARD GRASS POLLEN",1,"5784",NA
"366","STANDARDIZED PERENNIAL RYE GRASS POLLEN",1,"5158",NA
"367","STANDARDIZED REDTOP GRASS POLLEN",1,"5789",NA
"368","STANDARDIZED SHORT RAGWEED POLLEN ALLERGENIC EXTRACT",1,"22273",NA
"369","STANDARDIZED SWEET VERNAL GRASS POLLEN",1,"20460",NA
"370","STANDARDIZED TIMOTHY GRASS POLLEN",1,"6333",NA
"371","STARCH",1,"7238",NA
"372","STORAX",1,"6944",NA
"373","SULFUR HEXAFLUORIDE",1,"12131",NA
"374","SUMATRIPTAN",1,"11323","SUMATRIPTAN"
"375","SURFACTANT-ASSOCIATED PROTEINS SP-B AND SP-C",1,"12688",NA
"376","SWEET VERNAL GRASS",1,"5788",NA
"377","PACLITAXEL",1,"732",NA
"378","TELMISARTAN",1,"11907","TELMISARTAN"
"379","TENOFOVIR ALAFENAMIDE",1,"22668",NA
"380","TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID",1,"390",NA
"381","TETANUS PROTEIN",1,"7652",NA
"382","TETANUS TOXOID",1,"7935",NA
"383","TETANUS TOXOID ADSORBED",1,"7934",NA
"384","TETRACOSACTIDE",1,"7516",NA
"385","THIAMAZOLE",1,"14593",NA
"386","THYROID",1,"6617",NA
"387","TRAMETINIB",1,"22128",NA
"388","TROMETAMOL",1,"13337",NA
"389","UMECLIDINIUM",1,"22230",NA
"390","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 3 SAUKETT",1,"7653",NA
"391","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 2 MEF1",1,"7654",NA
"392","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY",1,"7655",NA
"393","VARDENAFIL",1,"13311",NA
"394","VARICELLA ZOSTER IMMUNE GLOBULIN HUMAN",1,"7852",NA
"395","VESPULA SPP VENOM PROTEIN EXTRACT",1,"7637",NA
"396","VIBRIO CHOLERAE INABA 48 CLASSICAL BIOTYPE, HEAT INACTIVATED",1,"12358",NA
"397","VIBRIO CHOLERAE INABA 6973 E1 TOR BIOTYPE, FORMALIN INACTIVATED",1,"12357",NA
"398","VIBRIO CHOLERAE OGAWA 50 CLASSICAL BIOTYPE, FORMALIN INACTIVATED",1,"12360",NA
"399","VIBRIO CHOLERAE OGAWA 50 CLASSICAL BIOTYPE, HEAT INACTIVATED",1,"12359",NA
"400","INFLUENZA VIRUS TYPE B",2,"22408, 22409",NA
"401","VITAMIN B1",1,"11170",NA
"402","VITAMIN B12",1,"781",NA
"403","VITAMIN C",1,"646",NA
"404","VITAMIN D2",1,"4924",NA
"405","VITAMIN D3",1,"4922",NA
"406","VITAMIN D",1,"703",NA
"407","VITAMIN K1",1,"4918",NA
"408","VORTIOXETINE",1,"22527",NA
"409","WASP VENOM PROTEIN",1,"2028",NA
"410","WHITE FACED HORNET VENOM PROTEIN",1,"2029",NA
"411","WHITE PETROLATUM",1,"12121",NA
"412","RUBELLA VIRUS VACCINE LIVE ATTENUATED",1,"7897",NA
"413","YELLOW FEVER VACCINE",1,"7903",NA
"414","YELLOW HORNET VENOM PROTEIN",1,"2031",NA
"415","YELLOW JACKET VENOM PROTEIN",1,"2030",NA
"416","ZIPRASIDONE",1,"11753",NA
"417","ZOLEDRONIC ACID",1,"12024",NA
"418","MESNA",1,"1281",NA
"419","SODIUM OXYBATE",1,"15411",NA
"420","ABACAVIR",1,"11893",NA
"421","ABATACEPT",1,"15233",NA
"422","ABCIXIMAB",1,"61",NA
"423","ABIRATERONE ACETATE",1,"20883",NA
"424","ACAMPROSATE CALCIUM",1,"20124",NA
"425","ACARBOSE",1,"917",NA
"426","ACEBUTOLOL",1,"11162","ACEBUTOLOL"
"427","ACENOCOUMAROL",1,"9062",NA
"428","ACETAMINOPHEN",1,"270",NA
"429","SODIUM ACETATE",1,"10292",NA
"430","ACETAZOLAMIDE",1,"6299",NA
"431","ACETIC ACID",1,"47",NA
"432","ACETYLCHOLINE CHLORIDE",1,"4957",NA
"433","ACETYLCYSTEINE",1,"10303",NA
"434","ACITRETIN",1,"1209",NA
"435","ACLIDINIUM BROMIDE",1,"22129",NA
"436","ACYCLOVIR",1,"1950","ACYCLOVIR"
"437","VALACYCLOVIR",1,"11114","VALACYCLOVIR"
"438","ADALIMUMAB",1,"13356",NA
"439","ADAPALENE",1,"224",NA
"440","ADEFOVIR DIPIVOXIL",1,"13233",NA
"441","ADENINE",1,"5028",NA
"442","ADENOSINE",1,"4732",NA
"443","AFATINIB",1,"22160",NA
"444","AFLIBERCEPT",1,"22163",NA
"445","AGALSIDASE ALFA",1,"13300",NA
"446","AGALSIDASE BETA",1,"13296",NA
"447","AIR",1,"2328",NA
