"","ntp_code_v9","ntp_formal_name","ntp_code_v11"
"163",9001510,"buprenorphine (buprenorphine hydrochloride) 8 mg and naloxone (naloxone hydrochloride dihydrate) 2 mg oral tablet",9001524
"164",9001515,"bupropion hydrochloride 100 mg prolonged release oral tablet",9001529
"165",9001516,"bupropion hydrochloride 150 mg prolonged release oral tablet",9001530
"166",9001517,"bupropion hydrochloride 300 mg prolonged release oral tablet",9001531
"167",9001543,"calcitriol 3 mcg per g cutaneous ointment",9001557
"168",9001539,"calcitriol 0.25 mcg oral capsule",9001553
"169",9001540,"calcitriol 0.5 mcg oral capsule",9001554
"170",9001541,"calcitriol 1 mcg per mL solution for injection",9001555
"171",9001542,"calcitriol 2 mcg per mL solution for injection",9001556
"172",9001642,"candesartan cilexetil 16 mg oral tablet",9001654
"173",9001645,"candesartan cilexetil 32 mg oral tablet",9001657
"174",9001646,"candesartan cilexetil 4 mg oral tablet",9001658
"175",9001647,"candesartan cilexetil 8 mg oral tablet",9001659
"176",9001641,"candesartan cilexetil 16 mg and hydrochlorothiazide 12.5 mg oral tablet",9001653
"177",9001643,"candesartan cilexetil 32 mg and hydrochlorothiazide 12.5 mg oral tablet",9001655
"178",9001644,"candesartan cilexetil 32 mg and hydrochlorothiazide 25 mg oral tablet",9001656
"179",9001660,"carbamazepine 100 mg chewable tablet",9001672
"180",9001663,"carbamazepine 200 mg chewable tablet",9001675
"181",9001662,"carbamazepine 100 mg per 5 mL oral suspension",9001674
"182",9001661,"carbamazepine 100 mg oral tablet",9001673
"183",9001664,"carbamazepine 200 mg oral tablet",9001676
"184",9001665,"carbamazepine 200 mg prolonged release oral tablet",9001677
"185",9001666,"carbamazepine 400 mg prolonged release oral tablet",9001678
"186",9001668,"carbidopa 10 mg and levodopa 100 mg oral tablet",9001680
"187",9001672,"carbidopa 25 mg and levodopa 100 mg oral tablet",9001684
"188",9001674,"carbidopa 25 mg and levodopa 250 mg oral tablet",9001686
"189",9001673,"carbidopa 25 mg and levodopa 100 mg prolonged release oral tablet",9001685
"190",9001677,"carbidopa 50 mg and levodopa 200 mg prolonged release oral tablet",9001689
"191",9001694,"carvedilol 12.5 mg oral tablet",9001708
"192",9001695,"carvedilol 25 mg oral tablet",9001709
"193",9001696,"carvedilol 3.125 mg oral tablet",9001710
"194",9001697,"carvedilol 6.25 mg oral tablet",9001711
"195",9001732,"cefprozil 250 mg oral tablet",9001746
"196",9001735,"cefprozil 500 mg oral tablet",9001749
"197",9001730,"cefprozil 125 mg per 5 mL powder for oral solution",9001744
"198",9001733,"cefprozil 250 mg per 5 mL powder for oral solution",9001747
"199",9001731,"cefprozil 125 mg per 5 mL powder for oral suspension",9001745
"200",9001734,"cefprozil 250 mg per 5 mL powder for oral suspension",9001748
"201",9001756,"celecoxib 100 mg oral capsule",9001770
"202",9001757,"celecoxib 200 mg oral capsule",9001771
"203",9001764,"cephalexin 125 mg per 5 mL oral suspension",9001778
"204",9001767,"cephalexin 250 mg per 5 mL oral suspension",9001781
"205",9001766,"cephalexin 250 mg oral tablet",9001780
"206",9001769,"cephalexin 500 mg oral tablet",9001783
"207",9001765,"cephalexin 125 mg per 5 mL powder for oral suspension",9001779
"208",9001768,"cephalexin 250 mg per 5 mL powder for oral suspension",9001782
"209",9001772,"cetirizine hydrochloride 10 mg oral capsule",9001786
"210",9001773,"cetirizine hydrochloride 10 mg oral tablet",9001787
"211",9001775,"cetirizine hydrochloride 20 mg oral tablet",9001789
"212",9001777,"cetirizine hydrochloride 5 mg oral tablet",9001791
"213",9001774,"cetirizine hydrochloride 10 mg orodispersible tablet",9001788
"214",9001778,"cetirizine hydrochloride 5 mg per 5 mL syrup",9001792
"215",9001841,"chlorhexidine gluconate 2 % cutaneous gel",9001856
"216",9001851,"chlorhexidine gluconate 4 % cutaneous gel",9001866
"217",9001822,"chlorhexidine gluconate 0.05 % cutaneous liquid",9001837
"218",9001835,"chlorhexidine gluconate 0.5 mg per mL cutaneous liquid",9001850
"219",9001842,"chlorhexidine gluconate 2 % cutaneous liquid",9001857
"220",9001848,"chlorhexidine gluconate 20 % cutaneous liquid",9001863
"221",9001852,"chlorhexidine gluconate 4 % cutaneous liquid",9001867
"222",9001823,"chlorhexidine gluconate 0.05 % cutaneous solution",9001838
"223",9001834,"chlorhexidine gluconate 0.5 % cutaneous solution",9001849
"224",9001843,"chlorhexidine gluconate 2 % cutaneous solution",9001858
"225",9001849,"chlorhexidine gluconate 20 % cutaneous solution",9001864
"226",9001853,"chlorhexidine gluconate 4 % cutaneous solution",9001868
"227",9001819,"chlorhexidine acetate 10 % dental solution",9001834
"228",9001825,"chlorhexidine gluconate 0.12 % gargle/mouthwash",9001840
"229",9001820,"chlorhexidine acetate 10 % kit",9001835
"230",9001844,"chlorhexidine gluconate 2 % lotion",9001859
"231",9001854,"chlorhexidine gluconate 4 % lotion",9001869
"232",9001826,"chlorhexidine gluconate 0.12 % mouthwash",9001841
"233",9001827,"chlorhexidine gluconate 0.12 % oral liquid",9001842
"234",9001855,"chlorhexidine gluconate 4 % pressurised inhalation",9001870
"235",9001824,"chlorhexidine gluconate 0.05 % sponge",9001839
"236",9001845,"chlorhexidine gluconate 2 % sponge",9001860
"237",9001856,"chlorhexidine gluconate 4 % sponge",9001871
"238",9001846,"chlorhexidine gluconate 2 % swab",9001861
"239",9001847,"chlorhexidine gluconate 2 % wipe",9001862
"240",9006134,"vitamin d3 (cholecalciferol) 10000 unit oral capsule",9006132
"241",9001922,"ciclesonide 50 mcg per actuation nasal spray",9001933
"242",9001924,"ciclesonide 50 mcg per spray nasal spray",9001934
"243",9001920,"ciclesonide 100 mcg per actuation pressurised inhalation",9001931
"244",9001921,"ciclesonide 200 mcg per actuation pressurised inhalation",9001932
"245",9001923,"ciclesonide 50 mcg per actuation pressurised inhalation",NA
"246",9001926,"ciclopirox olamine 1 % cutaneous cream",9001936
"247",9001925,"ciclopirox 8 % cutaneous solution",9001935
"248",9001927,"ciclopirox olamine 1 % lotion",9001937
"249",9001928,"ciclopirox olamine 1.5 % shampoo",9001938
"250",9001949,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % ophthalmic ointment",9001960
"251",9001950,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % opthalmic drops, solution",9001961
"252",9001958,"ciprofloxacin 10 g per 100 mL oral suspension",9001969
"253",9001951,"ciprofloxacin (ciprofloxacin hydrochloride) 250 mg oral tablet",9001962
"254",9001952,"ciprofloxacin (ciprofloxacin hydrochloride) 500 mg oral tablet",9001963
"255",9001953,"ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet",9001964
"256",9001956,"ciprofloxacin (ciprofloxacin lactate) 0.2 % solution for injection",9001967
"257",9001957,"ciprofloxacin (ciprofloxacin lactate) 2 mg per mL solution for injection",9001968
"258",9001959,"ciprofloxacin 10 mg per mL solution for injection",9001970
"259",9001960,"ciprofloxacin 2 mg per mL solution for injection",9001971
"260",9001948,"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % and dexamethasone 0.1 % otic drops, suspension",9001958
"261",9001963,"citalopram (citalopram hydrobromide) 10 mg oral tablet",9001974
"262",9001964,"citalopram (citalopram hydrobromide) 20 mg oral tablet",9001975
"263",9001965,"citalopram (citalopram hydrobromide) 30 mg oral tablet",9001976
"264",9001966,"citalopram (citalopram hydrobromide) 40 mg oral tablet",9001977
"265",9001971,"clarithromycin 125 mg per 5 mL granules for oral suspension",9001982
"266",9001973,"clarithromycin 250 mg per 5 mL granules for oral suspension",9001984
"267",9001972,"clarithromycin 250 mg oral tablet",9001983
"268",9001974,"clarithromycin 500 mg oral tablet",9001985
"269",9001975,"clarithromycin 500 mg prolonged release oral tablet",9001986
"270",9001979,"clindamycin (clindamycin phosphate) 1 % cutaneous solution",9001990
"271",9001977,"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",9001988
"272",9001978,"clindamycin (clindamycin hydrochloride) 300 mg oral capsule",9001989
"273",9001985,"clindamycin hydrochloride 150 mg oral capsule",9001996
"274",9001986,"clindamycin hydrochloride 300 mg oral capsule",9001997
"275",9001980,"clindamycin (clindamycin phosphate) 1 % pad",9001991
"276",9001981,"clindamycin (clindamycin phosphate) 12 mg per mL solution for injection",9001992
"277",9001982,"clindamycin (clindamycin phosphate) 150 mg per mL solution for injection",9001993
"278",9001983,"clindamycin (clindamycin phosphate) 18 mg per mL solution for injection",9001994
"279",9001984,"clindamycin (clindamycin phosphate) 20 mg per g vaginal cream",9001995
"280",9001991,"clobazam 10 mg oral tablet",9002002
"281",9001992,"clobetasol propionate 0.05 % cutaneous cream",9002003
"282",9001993,"clobetasol propionate 0.05 % cutaneous foam",9002004
"283",9001994,"clobetasol propionate 0.05 % cutaneous liquid",9002005
"284",9001995,"clobetasol propionate 0.05 % cutaneous ointment",9002006
"285",9001996,"clobetasol propionate 0.05 % cutaneous solution",9002007
"286",9001997,"clobetasol propionate 0.05 % lotion",9002008
"287",9001998,"clobetasol propionate 0.05 % shampoo",9002009
"288",9002009,"clonazepam 0.25 mg oral tablet",9002020
"289",9002010,"clonazepam 0.5 mg oral tablet",9002021
"290",9002011,"clonazepam 1 mg oral tablet",9002022
"291",9002012,"clonazepam 2 mg oral tablet",9002023
"292",9002013,"clonidine hydrochloride 0.025 mg oral tablet",9002024
"293",9002014,"clonidine hydrochloride 0.1 mg oral tablet",9002025
"294",9002015,"clonidine hydrochloride 0.2 mg oral tablet",9002026
"295",9002016,"clopidogrel (clopidogrel bisulfate) 300 mg oral tablet",9002027
"296",9002017,"clopidogrel (clopidogrel bisulfate) 75 mg oral tablet",9002028
"297",9002051,"clozapine 100 mg oral tablet",9002063
"298",9002052,"clozapine 200 mg oral tablet",9002064
"299",9002053,"clozapine 25 mg oral tablet",9002065
"300",9002054,"clozapine 50 mg oral tablet",9002066
"301",9002092,"codeine phosphate 0.2 % oral liquid",9002103
"302",9002096,"codeine phosphate 15 mg oral tablet",9002107
"303",9002099,"codeine phosphate 30 mg oral tablet",9002110
"304",9002100,"codeine phosphate 30 mg per mL solution for injection",9002111
"305",9002102,"codeine phosphate 60 mg per mL solution for injection",9002113
"306",9002101,"codeine phosphate 5 mg per mL syrup",9002112
"307",9002103,"colchicine 0.6 mg oral tablet",9002114
"308",9002147,"cyclobenzaprine hydrochloride 10 mg oral tablet",9002156
"309",9002168,"cyproterone acetate 2 mg and ethinyl estradiol 0.035 mg oral tablet",9002177
"310",9002169,"cyproterone acetate 2 mg and ethinyl estradiol 35 mcg oral tablet",9002178
"311",9002182,"dabigatran etexilate (dabigatran etexilate mesilate) 110 mg oral capsule",9002191
"312",9002183,"dabigatran etexilate (dabigatran etexilate mesilate) 150 mg oral capsule",9002192
"313",9002184,"dabigatran etexilate (dabigatran etexilate mesilate) 75 mg oral capsule",9002193
"314",9002293,"desogestrel 0.1 mg and desogestrel 0.125 mg and desogestrel 0.15 mg and ethinyl estradiol 0.025 mg oral tablet",9002303
"315",9002294,"desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet",9002304
"316",9002301,"desvenlafaxine (desvenlafaxine succinate) 100 mg prolonged release oral tablet",9002311
"317",9002302,"desvenlafaxine (desvenlafaxine succinate) 50 mg prolonged release oral tablet",9002312
"318",9002315,"dexamethasone 0.7 mg intravitreal implant",9002327
"319",9002310,"dexamethasone 0.1 % ophthalmic ointment",9002323
"320",9002311,"dexamethasone 0.1 % opthalmic drops",NA
"321",9002325,"dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL opthalmic drops",9002335
"322",9002331,"dexamethasone sodium phosphate 1 mg per mL opthalmic drops",9002341
"323",9002329,"dexamethasone sodium phosphate 0.1 % opthalmic drops, solution",9002339
"324",9002313,"dexamethasone 0.5 mg per 5 mL oral liquid",9002325
"325",9002314,"dexamethasone 0.5 mg per 5 mL oral solution",9002326
"326",9002312,"dexamethasone 0.5 mg oral tablet",9002324
"327",9002316,"dexamethasone 0.75 mg oral tablet",9002328
"328",9002323,"dexamethasone 2 mg oral tablet",9002333
"329",9002324,"dexamethasone 4 mg oral tablet",9002334
"330",9002326,"dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL otic drops",9002336
"331",9002332,"dexamethasone sodium phosphate 1 mg per mL otic drops",9002342
"332",9002330,"dexamethasone sodium phosphate 0.1 % otic drops, solution",9002340
"333",9002307,"dexamethasone (dexamethasone sodium phosphate) 10 mg per mL solution for injection",9002317
"334",9002327,"dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per mL solution for injection",9002337
"335",9002328,"dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per mL solution for injection",9002338
"336",9002334,"dexlansoprazole 30 mg modified release oral capsule",9002344
"337",9002335,"dexlansoprazole 60 mg modified release oral capsule",9002345
"338",9002353,"dextroamphetamine sulfate 5 mg oral tablet",9002363
"339",9002351,"dextroamphetamine sulfate 10 mg prolonged release oral capsule",9002361
"340",9002352,"dextroamphetamine sulfate 15 mg prolonged release oral capsule",9002362
"341",9002485,"diazepam 1 mg per mL oral solution",9002495
"342",9002486,"diazepam 10 mg oral tablet",9002496
"343",9002487,"diazepam 2 mg oral tablet",9002497
"344",9002488,"diazepam 5 mg oral tablet",9002498
"345",9002489,"diazepam 5 mg per mL rectal gel",9002499
"346",9002490,"diazepam 5 mg per mL solution for injection",9002500
"347",9002497,"dibucaine hydrochloride 5 mg per g and esculin 10 mg per g and framycetin sulfate 10 mg per g and hydrocortisone (hydrocortisone acetate) 5 mg per g rectal ointment",9002507
"348",9002498,"dibucaine hydrochloride 5 mg per g and esculin 10 mg per g and framycetin sulfate 10 mg per g and hydrocortisone 5 mg per g rectal ointment",9002508
"349",9002495,"dibucaine hydrochloride 5 mg and esculin 10 mg and framycetin sulfate 10 mg and hydrocortisone (hydrocortisone acetate) 5 mg suppository",9002505
"350",9002496,"dibucaine hydrochloride 5 mg and esculin 10 mg and framycetin sulfate 10 mg and hydrocortisone 5 mg suppository",9002506
"351",9002499,"diclofenac diethylamine 1.16 % cutaneous gel",9002509
"352",9002500,"diclofenac diethylamine 2.32 % cutaneous gel",9002510
"353",9002504,"diclofenac sodium 1.5 % cutaneous solution",9002514
"354",9002507,"diclofenac sodium 25 mg gastro-resistant tablet",9002517
"355",9002512,"diclofenac sodium 50 mg gastro-resistant tablet",9002522
"356",9002503,"diclofenac sodium 0.1 % opthalmic drops, solution",9002513
"357",9002501,"diclofenac potassium 50 mg oral tablet",9002511
"358",9002508,"diclofenac sodium 25 mg oral tablet",9002518
"359",9002513,"diclofenac sodium 50 mg oral tablet",9002523
"360",9002502,"diclofenac potassium 50 mg per pck powder for oral solution",9002512
