"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","audit_id"
40016,"powder for suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre",29020
40017,"powder for solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29021
40016,"powder for suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension",29022
40018,"powder for prolonged-release suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29023
40019,"suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension",29024
40020,"prolonged-release suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29025
40001,"solution for injection","7-60","EPIDURAL, RETROBULBAR","Épidurale, Rétrobulbaire","134","SOLUTION","Solution",29026
40021,"pressurised inhalation","29","INHALATION","Inhalation","162","AEROSOL, METERED DOSE","Aérosol, dose mesurée",29027
40022,"inhalation powder capsule","29","INHALATION","Inhalation","5","CAPSULE","Capsule",29028
40023,"medicinal gas","29","INHALATION","Inhalation","25","GAS","Gaz",29029
40024,"inhalation vapour (liquid)","29","INHALATION","Inhalation","34","LIQUID","Liquide",29030
40087,"otic gel","57","OTIC","Otique","114","GEL","Gel",29437
40021,"pressurised inhalation","29","INHALATION","Inhalation","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée",29031
40025,"inhalation powder","29","INHALATION","Inhalation","1-55","METERED-DOSE AEROSOL, POWDER","Aérosol à dose mesurée, Poudre",29032
40025,"inhalation powder","29","INHALATION","Inhalation","55","POWDER","Poudre",29033
40026,"powder for nebuliser solution","29","INHALATION","Inhalation","56","POWDER FOR SOLUTION","Poudre pour solution",29034
40025,"inhalation powder","29","INHALATION","Inhalation","153","POWDER (METERED DOSE)","Poudre (à dose mesurée)",29035
40027,"inhalation solution","29","INHALATION","Inhalation","134","SOLUTION","Solution",29036
40028,"nebuliser suspension","29","INHALATION","Inhalation","79","SUSPENSION","Suspension",29037
40026,"powder for nebuliser solution","29","INHALATION","Inhalation","2","AEROSOL","Aérosol",29038
40027,"inhalation solution","29","INHALATION","Inhalation","88","TINCTURE","Teinture",29039
40029,"nasal spray","29-53","INHALATION, NASAL","Inhalation, Nasale","34","LIQUID","Liquide",29040
40030,"nasal powder","29-53","INHALATION, NASAL","Inhalation, Nasale","55","POWDER","Poudre",29041
40021,"pressurised inhalation","29-56","INHALATION, ORAL","Inhalation, Orale","1","METERED-DOSE AEROSOL","Aérosol à dose mesurée",29042
40025,"inhalation powder","29-56","INHALATION, ORAL","Inhalation, Orale","55","POWDER","Poudre",29043
40031,"nebuliser solution","29-56","INHALATION, ORAL","Inhalation, Orale","134","SOLUTION","Solution",29044
40027,"inhalation solution","29-70","INHALATION, TOPICAL","Inhalation, Topique","88","TINCTURE","Teinture",29045
40017,"powder for solution for injection","39","INSTILLATION","Instillation","56","POWDER FOR SOLUTION","Poudre pour solution",29046
40032,"solution for cardioplegia","39","INSTILLATION","Instillation","134","SOLUTION","Solution",29047
40001,"solution for injection","11","INTRA-AMNIOTIC","Intra-amniotique","134","SOLUTION","Solution",29048
40001,"solution for injection","12","INTRA-ARTERIAL",NA,"34","LIQUID","Liquide",29049
40017,"powder for solution for injection","12","INTRA-ARTERIAL",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29050
40001,"solution for injection","12","INTRA-ARTERIAL",NA,"134","SOLUTION","Solution",29051
40015,"emulsion for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"19","EMULSION","Émulsion",29052
40001,"solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"34","LIQUID","Liquide",29053
40016,"powder for suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"55","POWDER","Poudre",29054
40017,"powder for solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29055
40016,"powder for suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension",29056
40018,"powder for prolonged-release suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29057
40001,"solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"134","SOLUTION","Solution",29058
40019,"suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"79","SUSPENSION","Suspension",29059
40020,"prolonged-release suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29060
40001,"solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","34","LIQUID","Liquide",29061
40017,"powder for solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29062
40001,"solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","134","SOLUTION","Solution",29063
40015,"emulsion for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","19","EMULSION","Émulsion",29064
40016,"powder for suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","55","POWDER","Poudre",29065
40016,"powder for suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension",29066
40018,"powder for prolonged-release suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29067
40019,"suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","79","SUSPENSION","Suspension",29068
40020,"prolonged-release suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29069
40001,"solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","134","SOLUTION","Solution",29070
40015,"emulsion for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","19","EMULSION","Émulsion",29071
40001,"solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","34","LIQUID","Liquide",29072
40016,"powder for suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","55","POWDER","Poudre",29073
40017,"powder for solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","56","POWDER FOR SOLUTION","Poudre pour solution",29074
40016,"powder for suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension",29075
40018,"powder for prolonged-release suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29076
40019,"suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","79","SUSPENSION","Suspension",29077
40020,"prolonged-release suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle, Intramusculaire, Intrathécale, Intraveineuse, Intraventriculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29078
40001,"solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","134","SOLUTION","Solution",29079
40015,"emulsion for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","19","EMULSION","Émulsion",29080
40001,"solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","34","LIQUID","Liquide",29081
40016,"powder for suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","55","POWDER","Poudre",29082
40017,"powder for solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29083
40016,"powder for suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension",29084
40018,"powder for prolonged-release suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29085
40019,"suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension",29086
40020,"prolonged-release suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle, Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29087
40001,"solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle, Intraveineuse","34","LIQUID","Liquide",29088
40001,"solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle, Intraveineuse","134","SOLUTION","Solution",29089
40017,"powder for solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29090
40001,"solution for injection","10","INTRA-ARTICULAR","Intra-articulaire","34","LIQUID","Liquide",29091
40001,"solution for injection","10","INTRA-ARTICULAR","Intra-articulaire","134","SOLUTION","Solution",29092
40019,"suspension for injection","10","INTRA-ARTICULAR","Intra-articulaire","79","SUSPENSION","Suspension",29093
40001,"solution for injection","10-13","INTRA-ARTICULAR, INTRABURSAL","Intra-articulaire, Intrabursique","134","SOLUTION","Solution",29094
40019,"suspension for injection","10-13","INTRA-ARTICULAR, INTRABURSAL","Intra-articulaire, Intrabursique","79","SUSPENSION","Suspension",29095
40019,"suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","79","SUSPENSION","Suspension",29096
40015,"emulsion for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","19","EMULSION","Émulsion",29097
40001,"solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","34","LIQUID","Liquide",29098
40016,"powder for suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","55","POWDER","Poudre",29099
40017,"powder for solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution",29100
40018,"powder for prolonged-release suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29101
40001,"solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","134","SOLUTION","Solution",29102
40020,"prolonged-release suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intradermique, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29103
40019,"suspension for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","79","SUSPENSION","Suspension",29104
40001,"solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","34","LIQUID","Liquide",29105
40017,"powder for solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","56","POWDER FOR SOLUTION","Poudre pour solution",29106
40001,"solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire, Intrabursique, Intradermique, Intrasynoviale","134","SOLUTION","Solution",29107
40019,"suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","79","SUSPENSION","Suspension",29108
40020,"prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)",NA,29231
40015,"emulsion for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","19","EMULSION","Émulsion",29109
40016,"powder for suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","55","POWDER","Poudre",29110
40017,"powder for solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution",29111
40016,"powder for suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension",29112
40018,"powder for prolonged-release suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29113
40001,"solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","134","SOLUTION","Solution",29114
40020,"prolonged-release suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire, Intrabursique, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29115
40015,"emulsion for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"19","EMULSION","Émulsion",29116
40001,"solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"34","LIQUID","Liquide",29117
40016,"powder for suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"55","POWDER","Poudre",29118
40017,"powder for solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29119
40016,"powder for suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension",29120
40018,"powder for prolonged-release suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29121
40001,"solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"134","SOLUTION","Solution",29122
40019,"suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"79","SUSPENSION","Suspension",29123
40020,"prolonged-release suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29124
40001,"solution for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR",NA,"134","SOLUTION","Solution",29125
40015,"emulsion for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR",NA,"19","EMULSION","Émulsion",29126
40001,"solution for injection","10-21-22","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR",NA,"34","LIQUID","Liquide",29127
40016,"powder for suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR",NA,"55","POWDER","Poudre",29128
40017,"powder for solution for injection","10-21-22","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29129
40019,"suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","79","SUSPENSION","Suspension",29130
40016,"powder for suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension",29131
40018,"powder for prolonged-release suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29132
40020,"prolonged-release suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire, Intralésionnelle, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29133
40015,"emulsion for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"19","EMULSION","Émulsion",29134
40001,"solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"34","LIQUID","Liquide",29135
