"mp_code"|"formal_description_mp"|"formal_description_tm"|"tm_code"
"02257599"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acebutolol"|9000012
"02257602"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acebutolol"|9000012
"02257610"|"SANDOZ ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acebutolol"|9000012
"02286246"|"ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 100 mg oral tablet] SANIS HEALTH INC"|"acebutolol"|9000012
"02286254"|"ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 200 mg oral tablet] SANIS HEALTH INC"|"acebutolol"|9000012
"02286262"|"ACEBUTOLOL [acebutolol (acebutolol hydrochloride) 400 mg oral tablet] SANIS HEALTH INC"|"acebutolol"|9000012
"00293490"|"ATASOL 8 TAB [acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet] CHURCH & DWIGHT CANADA CORP"|"acetaminophen and caffeine and codeine"|9000019
"00293504"|"ATASOL 15 TAB [acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 15 mg oral tablet] CHURCH & DWIGHT CANADA CORP"|"acetaminophen and caffeine and codeine"|9000019
"00293512"|"ATASOL 30 TAB [acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 30 mg oral tablet] CHURCH & DWIGHT CANADA CORP"|"acetaminophen and caffeine and codeine"|9000019
"00653233"|"RATIO-LENOLTEC NO 1 [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and caffeine and codeine"|9000019
"00653241"|"RATIO-LENOLTEC NO 2 [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and caffeine and codeine"|9000019
"00653276"|"RATIO-LENOLTEC NO 3 [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and caffeine and codeine"|9000019
"00706221"|"ACETAMINOPHEN 325 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE [acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] VITA HEALTH PRODUCTS INC"|"acetaminophen and caffeine and codeine"|9000019
"00852163"|"TRIATEC-8 [acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] LABORATOIRE RIVA INC"|"acetaminophen and caffeine and codeine"|9000019
"01977881"|"TRIATEC-8 FORT [acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet] LABORATOIRE RIVA INC"|"acetaminophen and caffeine and codeine"|9000019
"01996541"|"ACETAMINOPHENE CODEINE ET CAFEINE CAPLETS [acetaminophen 325 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet] LABORATOIRE RIVA INC"|"acetaminophen and caffeine and codeine"|9000019
"01996568"|"ACETAMINOPHENE CODEINE ET CAFEINE FORT [acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet] LABORATOIRE RIVA INC"|"acetaminophen and caffeine and codeine"|9000019
"02025337"|"ACETAMINOPHEN, CAFFEINE & CODEINE [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and caffeine and codeine"|9000019
"02028174"|"ACETAMINOPHEN, CAFFEINE & CODEINE [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and caffeine and codeine"|9000019
"02143933"|"ACETAMINOPHEN WITH CODEINE - CAPLET [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and caffeine and codeine"|9000019
"02154234"|"ACETAMINOPHEN 300 MG WITH 15 MG CAFFEINE AND 8 MG CODEINE PHOSPHATE [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] VITA HEALTH PRODUCTS INC"|"acetaminophen and caffeine and codeine"|9000019
"02163926"|"TYLENOL WITH CODEINE NO. 3 - TAB [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet] JANSSEN INC"|"acetaminophen and caffeine and codeine"|9000019
"02163934"|"TYLENOL WITH CODEINE NO. 2 - TAB [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet] JANSSEN INC"|"acetaminophen and caffeine and codeine"|9000019
"02237420"|"ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and caffeine and codeine"|9000019
"02246085"|"ACETAMINOPHEN, CAFFEINE & 8MG CODEINE PHOSPHATE TABLETS [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] JAMP PHARMA CORPORATION"|"acetaminophen and caffeine and codeine"|9000019
"02248817"|"ACETAMINOPHEN, CAFFEINE AND 8 MG OF CODEINE PHOSPHATE TABLETS [acetaminophen 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] PHARMETICS (2011) INC"|"acetaminophen and caffeine and codeine"|9000019
"02251914"|"ACETAMINOPHEN, CAFFEINE, AND 8MG OF CODEINE PHOSPHATE TABLETS [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] PHARMETICS (2011) INC"|"acetaminophen and caffeine and codeine"|9000019
"02453703"|"WAMPOLE-ACETAMINOPHEN/CODEINE/CAFFEINE [acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet] JAMP PHARMA CORPORATION"|"acetaminophen and caffeine and codeine"|9000019
"00816027"|"PMS-ACETAMINOPHEN W CODEINE ELIXIR [acetaminophen 160 mg per 5 mL and codeine phosphate 8 mg per 5 mL oral solution] PHARMASCIENCE INC"|"acetaminophen and codeine"|9000030
"00608882"|"RATIO-EMTEC-30 [acetaminophen 300 mg and codeine phosphate 30 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and codeine"|9000030
"00621463"|"RATIO-LENOLTEC NO 4 [acetaminophen 300 mg and codeine phosphate 60 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and codeine"|9000030
"00789828"|"TRIATEC-30 [acetaminophen 300 mg and codeine phosphate 30 mg oral tablet] LABORATOIRE RIVA INC"|"acetaminophen and codeine"|9000030
"01999648"|"ACET CODEINE 30 TAB [acetaminophen 300 mg and codeine phosphate 30 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and codeine"|9000030
"01999656"|"ACET CODEINE 60 TAB [acetaminophen 300 mg and codeine phosphate 60 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and codeine"|9000030
"02163918"|"TYLENOL WITH CODEINE NO. 4 - TAB [acetaminophen 300 mg and codeine phosphate 60 mg oral tablet] JANSSEN INC"|"acetaminophen and codeine"|9000030
"02232658"|"PROCET-30 [acetaminophen 300 mg and codeine phosphate 30 mg oral tablet] PRO DOC LIMITEE"|"acetaminophen and codeine"|9000030
"02254263"|"PHL-ACET-CODEINE 60 [acetaminophen 300 mg and codeine phosphate 60 mg oral tablet] PHARMEL INC"|"acetaminophen and codeine"|9000030
"02254271"|"PHL-ACET-CODEINE 30 [acetaminophen 300 mg and codeine phosphate 30 mg oral tablet] PHARMEL INC"|"acetaminophen and codeine"|9000030
"00608165"|"RATIO-OXYCOCET [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and oxycodone"|9000054
"01916475"|"PERCOCET [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] BRISTOL-MYERS SQUIBB CANADA"|"acetaminophen and oxycodone"|9000054
"01916491"|"PERCOCET-DEMI [acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet] BRISTOL-MYERS SQUIBB CANADA"|"acetaminophen and oxycodone"|9000054
"01916548"|"ENDOCET [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] BRISTOL-MYERS SQUIBB CANADA"|"acetaminophen and oxycodone"|9000054
"02242468"|"RIVACOCET [acetaminophen 325 mg and oxycodone (oxycodone hydrochloride) 5 mg oral tablet] LABORATOIRE RIVA INC"|"acetaminophen and oxycodone"|9000054
"02245758"|"PMS-OXYCODONE - ACETAMINOPHEN [acetaminophen 325 mg and oxycodone (oxycodone hydrochloride) 5 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and oxycodone"|9000054
"02307898"|"SANDOZ OXYCODONE/ACETAMINOPHEN [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] SANDOZ CANADA INCORPORATED"|"acetaminophen and oxycodone"|9000054
"02324628"|"APO-OXYCODONE/ACET [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] APOTEX INC"|"acetaminophen and oxycodone"|9000054
"02327171"|"OXYCODONE-ACET [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] PRO DOC LIMITEE"|"acetaminophen and oxycodone"|9000054
"02361361"|"OXYCODONE/ACET [acetaminophen 325 mg and oxycodone hydrochloride 5 mg oral tablet] SANIS HEALTH INC"|"acetaminophen and oxycodone"|9000054
"02264846"|"TRAMACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] JANSSEN INC"|"acetaminophen and tramadol"|9000059
"02336790"|"APO-TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] APOTEX INC"|"acetaminophen and tramadol"|9000059
"02347180"|"TEVA-TRAMADOL/ACETAMINOPHEN [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] TEVA CANADA LIMITED"|"acetaminophen and tramadol"|9000059
"02383209"|"ACT TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] ACTAVIS PHARMA COMPANY"|"acetaminophen and tramadol"|9000059
"02388197"|"RAN-TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] RANBAXY PHARMACEUTICALS CANADA INC."|"acetaminophen and tramadol"|9000059
"02388308"|"JAMP-ACET-TRAMADOL [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] JAMP PHARMA CORPORATION"|"acetaminophen and tramadol"|9000059
"02388324"|"MAR-TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] MARCAN PHARMACEUTICALS INC"|"acetaminophen and tramadol"|9000059
"02389800"|"MINT-TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] MINT PHARMACEUTICALS INC"|"acetaminophen and tramadol"|9000059
"02391554"|"PRIVA-TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] PHARMAPAR INC"|"acetaminophen and tramadol"|9000059
"02401657"|"PMS-TRAMADOL-ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] PHARMASCIENCE INC"|"acetaminophen and tramadol"|9000059
"02417502"|"TRAMADOL-ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] PRO DOC LIMITEE"|"acetaminophen and tramadol"|9000059
"02425599"|"MYLAN-TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acetaminophen and tramadol"|9000059
"02426803"|"TRAMADOL/ACET [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] SANIS HEALTH INC"|"acetaminophen and tramadol"|9000059
"02429969"|"TRAMADOL / ACETAMINOPHEN [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] SIVEM PHARMACEUTICALS ULC"|"acetaminophen and tramadol"|9000059
"02439050"|"AURO-TRAMADOL/ACETAMINOPHEN [acetaminophen 325 mg and tramadol hydrochloride 37.5 mg oral tablet] AURO PHARMA INC"|"acetaminophen and tramadol"|9000059
"02039524"|"ZOVIRAX [acyclovir 5 % per w/w cutaneous cream] VALEANT CANADA LP/VALEANT CANADA S.E.C."|"acyclovir"|9000073
"00569771"|"ZOVIRAX [acyclovir 5 % per w/w cutaneous ointment] VALEANT CANADA LP/VALEANT CANADA S.E.C."|"acyclovir"|9000073
"00886157"|"ZOVIRAX [acyclovir 200 mg per 5 mL oral suspension] GLAXOSMITHKLINE INC"|"acyclovir"|9000073
"02078627"|"RATIO-ACYCLOVIR [acyclovir 200 mg oral tablet] TEVA CANADA LIMITED"|"acyclovir"|9000073
"02078635"|"RATIO-ACYCLOVIR [acyclovir 400 mg oral tablet] TEVA CANADA LIMITED"|"acyclovir"|9000073
"02078651"|"RATIO-ACYCLOVIR [acyclovir 800 mg oral tablet] TEVA CANADA LIMITED"|"acyclovir"|9000073
"02207621"|"APO-ACYCLOVIR - TAB 200MG [acyclovir 200 mg oral tablet] APOTEX INC"|"acyclovir"|9000073
"02207648"|"APO-ACYCLOVIR - TAB 400MG [acyclovir 400 mg oral tablet] APOTEX INC"|"acyclovir"|9000073
"02207656"|"APO-ACYCLOVIR - TAB 800MG [acyclovir 800 mg oral tablet] APOTEX INC"|"acyclovir"|9000073
"02242463"|"MYLAN-ACYCLOVIR [acyclovir 400 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acyclovir"|9000073
"02242464"|"MYLAN-ACYCLOVIR [acyclovir 800 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acyclovir"|9000073
"02242784"|"MYLAN-ACYCLOVIR [acyclovir 200 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"acyclovir"|9000073
"02285959"|"TEVA-ACYCLOVIR [acyclovir 200 mg oral tablet] TEVA CANADA LIMITED"|"acyclovir"|9000073
"02285967"|"TEVA-ACYCLOVIR [acyclovir 400 mg oral tablet] TEVA CANADA LIMITED"|"acyclovir"|9000073
"02285975"|"TEVA-ACYCLOVIR [acyclovir 800 mg oral tablet] TEVA CANADA LIMITED"|"acyclovir"|9000073
"02286564"|"ACYCLOVIR [acyclovir 400 mg oral tablet] SANIS HEALTH INC"|"acyclovir"|9000073
"02231190"|"ACYCLOVIR SODIUM FOR INJECTION [acyclovir (acyclovir sodium) 500 mg per vial powder for solution for injection] NOVOPHARM LIMITED"|"acyclovir"|9000073
"02236916"|"ACYCLOVIR SODIUM INJECTION [acyclovir (acyclovir sodium) 25 mg per mL solution for injection] HOSPIRA HEALTHCARE CORPORATION"|"acyclovir"|9000073
"02236926"|"ACYCLOVIR SODIUM INJECTION [acyclovir (acyclovir sodium) 50 mg per mL solution for injection] FRESENIUS KABI CANADA LTD"|"acyclovir"|9000073
"02245329"|"FOSAMAX [alendronic acid (alendronate sodium) 70 mg oral tablet] MERCK CANADA INC"|"alendronate"|9000099
"02247373"|"TEVA-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] TEVA CANADA LIMITED"|"alendronate"|9000099
"02248251"|"TEVA-ALENDRONATE [alendronic acid (alendronate sodium) 5 mg oral tablet] TEVA CANADA LIMITED"|"alendronate"|9000099
"02248727"|"APO-ALENDRONATE [alendronic acid (alendronate sodium) 5 mg oral tablet] APOTEX INC"|"alendronate"|9000099
"02248728"|"APO-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] APOTEX INC"|"alendronate"|9000099
"02248730"|"APO-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] APOTEX INC"|"alendronate"|9000099
"02261715"|"TEVA-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] TEVA CANADA LIMITED"|"alendronate"|9000099
"02273179"|"PMS-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] PHARMASCIENCE INC"|"alendronate"|9000099
"02282763"|"DOM-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] DOMINION PHARMACAL"|"alendronate"|9000099
"02284006"|"PMS-ALENDRONATE-FC [alendronic acid (alendronate sodium) 70 mg oral tablet] PHARMASCIENCE INC"|"alendronate"|9000099
"02288087"|"SANDOZ ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] SANDOZ CANADA INCORPORATED"|"alendronate"|9000099
"02288109"|"SANDOZ ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] SANDOZ CANADA INCORPORATED"|"alendronate"|9000099
"02299712"|"ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] SIVEM PHARMACEUTICALS ULC"|"alendronate"|9000099
"02303078"|"ALENDRONATE-70 [alendronic acid (alendronate sodium) 70 mg oral tablet] PRO DOC LIMITEE"|"alendronate"|9000099
"02381478"|"ACH-ALENDRONATE [alendronic acid (alendronate sodium) 5 mg oral tablet] ACCORD HEALTHCARE INC"|"alendronate"|9000099
"02381486"|"ACH-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] ACCORD HEALTHCARE INC"|"alendronate"|9000099
"02381494"|"ACH-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] ACCORD HEALTHCARE INC"|"alendronate"|9000099
"02384698"|"RAN-ALENDRONATE [alendronic acid (alendronate sodium) 5 mg oral tablet] RANBAXY PHARMACEUTICALS CANADA INC."|"alendronate"|9000099
"02384701"|"RAN-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] RANBAXY PHARMACEUTICALS CANADA INC."|"alendronate"|9000099
"02384728"|"RAN-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] RANBAXY PHARMACEUTICALS CANADA INC."|"alendronate"|9000099
"02385031"|"JAMP-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] JAMP PHARMA CORPORATION"|"alendronate"|9000099
"02388545"|"AURO-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] AURO PHARMA INC"|"alendronate"|9000099
"02388553"|"AURO-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] AURO PHARMA INC"|"alendronate"|9000099
"02394863"|"MINT-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] MINT PHARMACEUTICALS INC"|"alendronate"|9000099
"02394871"|"MINT-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] MINT PHARMACEUTICALS INC"|"alendronate"|9000099
"02401126"|"ACCEL-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] ACCEL PHARMA INC"|"alendronate"|9000099
"02401134"|"ACCEL-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] ACCEL PHARMA INC"|"alendronate"|9000099
"02428717"|"VAN-ALENDRONATE [alendronic acid (alendronate sodium) 5 mg oral tablet] VANC PHARMACEUTICALS INC"|"alendronate"|9000099
"02428725"|"VAN-ALENDRONATE [alendronic acid (alendronate sodium) 10 mg oral tablet] VANC PHARMACEUTICALS INC"|"alendronate"|9000099
"02428733"|"VAN-ALENDRONATE [alendronic acid (alendronate sodium) 70 mg oral tablet] VANC PHARMACEUTICALS INC"|"alendronate"|9000099
"02403633"|"TEVA-ALENDRONATE/CHOLECALCIFEROL [alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 2800 unit oral tablet] TEVA CANADA LIMITED"|"alendronate and cholecalciferol"|9000100
"02403641"|"TEVA-ALENDRONATE/CHOLECALCIFEROL [alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 5600 unit oral tablet] TEVA CANADA LIMITED"|"alendronate and cholecalciferol"|9000100
"02454467"|"APO-ALENDRONATE/VITAMIN D3 [alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 2800 unit oral tablet] APOTEX INC"|"alendronate and cholecalciferol"|9000100
"02454475"|"APO-ALENDRONATE/VITAMIN D3 [alendronic acid (alendronate sodium) 70 mg and vitamin d3 (cholecalciferol) 5600 unit oral tablet] APOTEX INC"|"alendronate and cholecalciferol"|9000100
"02245565"|"XATRAL [alfuzosin hydrochloride 10 mg prolonged release oral tablet] SANOFI-AVENTIS CANADA INC"|"alfuzosin"|9000103
"02304678"|"SANDOZ ALFUZOSIN [alfuzosin hydrochloride 10 mg prolonged release oral tablet] SANDOZ CANADA INCORPORATED"|"alfuzosin"|9000103
"02314282"|"TEVA-ALFUZOSIN PR [alfuzosin hydrochloride 10 mg prolonged release oral tablet] TEVA CANADA LIMITED"|"alfuzosin"|9000103
"02315866"|"APO-ALFUZOSIN [alfuzosin hydrochloride 10 mg prolonged release oral tablet] APOTEX INC"|"alfuzosin"|9000103
"02414759"|"ALFUZOSIN [alfuzosin hydrochloride 10 mg prolonged release oral tablet] PRO DOC LIMITEE"|"alfuzosin"|9000103
"02443201"|"AURO-ALFUZOSIN [alfuzosin hydrochloride 10 mg prolonged release oral tablet] AURO PHARMA INC"|"alfuzosin"|9000103
"02447576"|"ALFUZOSIN [alfuzosin hydrochloride 10 mg prolonged release oral tablet] SIVEM PHARMACEUTICALS ULC"|"alfuzosin"|9000103
"00294322"|"ALLOPURINOL [allopurinol 300 mg oral tablet] APOTEX INC"|"allopurinol"|9000108
"00402796"|"ZYLOPRIM [allopurinol 300 mg oral tablet] AA PHARMA INC"|"allopurinol"|9000108
"00402818"|"ZYLOPRIM [allopurinol 100 mg oral tablet] AA PHARMA INC"|"allopurinol"|9000108
"00479799"|"ZYLOPRIM [allopurinol 200 mg oral tablet] AA PHARMA INC"|"allopurinol"|9000108
"00555681"|"ALLOPURINOL-100 [allopurinol 100 mg oral tablet] PRO DOC LIMITEE"|"allopurinol"|9000108
"00555703"|"ALLOPURINOL-300 [allopurinol 300 mg oral tablet] PRO DOC LIMITEE"|"allopurinol"|9000108
"02130157"|"ALLOPURINOL-200 [allopurinol 200 mg oral tablet] PRO DOC LIMITEE"|"allopurinol"|9000108
"02396327"|"MAR-ALLOPURINOL [allopurinol 100 mg oral tablet] MARCAN PHARMACEUTICALS INC"|"allopurinol"|9000108
"02396335"|"MAR-ALLOPURINOL [allopurinol 200 mg oral tablet] MARCAN PHARMACEUTICALS INC"|"allopurinol"|9000108
"02396343"|"MAR-ALLOPURINOL [allopurinol 300 mg oral tablet] MARCAN PHARMACEUTICALS INC"|"allopurinol"|9000108
"02402769"|"APO-ALLOPURINOL [allopurinol 100 mg oral tablet] APOTEX INC"|"allopurinol"|9000108
"02402777"|"APO-ALLOPURINOL [allopurinol 200 mg oral tablet] APOTEX INC"|"allopurinol"|9000108
"02402785"|"APO-ALLOPURINOL [allopurinol 300 mg oral tablet] APOTEX INC"|"allopurinol"|9000108
"02421593"|"JAMP-ALLOPURINOL [allopurinol 100 mg oral tablet] JAMP PHARMA CORPORATION"|"allopurinol"|9000108
"02421607"|"JAMP-ALLOPURINOL [allopurinol 200 mg oral tablet] JAMP PHARMA CORPORATION"|"allopurinol"|9000108
"02421615"|"JAMP-ALLOPURINOL [allopurinol 300 mg oral tablet] JAMP PHARMA CORPORATION"|"allopurinol"|9000108
"00548359"|"XANAX TAB 0.25MG [alprazolam 0.25 mg oral tablet] PFIZER CANADA INC"|"alprazolam"|9000113
"00548367"|"XANAX TAB 0.5MG [alprazolam 0.5 mg oral tablet] PFIZER CANADA INC"|"alprazolam"|9000113
"00723770"|"XANAX TAB 1MG [alprazolam 1 mg oral tablet] PFIZER CANADA INC"|"alprazolam"|9000113
"00813958"|"XANAX TS TAB 2MG [alprazolam 2 mg oral tablet] PFIZER CANADA INC"|"alprazolam"|9000113
"00865397"|"APO-ALPRAZ TAB 0.25MG [alprazolam 0.25 mg oral tablet] APOTEX INC"|"alprazolam"|9000113
"00865400"|"APO-ALPRAZ TAB 0.5MG [alprazolam 0.5 mg oral tablet] APOTEX INC"|"alprazolam"|9000113
"01908170"|"ALPRAZOLAM-0.5 TAB 0.5MG [alprazolam 0.5 mg oral tablet] PRO DOC LIMITEE"|"alprazolam"|9000113
"01908189"|"ALPRAZOLAM-0.25 TAB 0.25MG [alprazolam 0.25 mg oral tablet] PRO DOC LIMITEE"|"alprazolam"|9000113
"01913484"|"TEVA-ALPRAZOLAM [alprazolam 0.25 mg oral tablet] TEVA CANADA LIMITED"|"alprazolam"|9000113
"01913492"|"TEVA-ALPRAZOLAM [alprazolam 0.5 mg oral tablet] TEVA CANADA LIMITED"|"alprazolam"|9000113
"02137534"|"MYLAN-ALPRAZOLAM [alprazolam 0.25 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"alprazolam"|9000113
"02137542"|"MYLAN-ALPRAZOLAM [alprazolam 0.5 mg oral tablet] MYLAN PHARMACEUTICALS ULC"|"alprazolam"|9000113
