"tm_code"|"formal_description_tm"|"en_display"|"fr_display"|"status"|"tm_status_effective_time"
9000577|"dexamethasone"|NA|NA|"active"|"20040809"
9000581|"dexlansoprazole"|NA|NA|"active"|"20161130"
9000591|"dextroamphetamine"|NA|NA|"active"|"20151203"
9000605|"diazepam"|NA|NA|"active"|"20060306"
9000609|"dibucaine and esculin and framycetin and hydrocortisone"|NA|NA|"active"|"20060518"
9000610|"diclofenac"|NA|NA|"active"|"20060404"
9000611|"diclofenac and misoprostol"|NA|NA|"active"|"20130125"
9000618|"digoxin"|NA|NA|"active"|"20070213"
9000620|"diltiazem"|NA|NA|"active"|"20030323"
9000642|"divalproex"|NA|NA|"active"|"20010824"
9000650|"domperidone"|NA|NA|"active"|"20110609"
9000651|"donepezil"|NA|NA|"active"|"20060821"
9000654|"dorzolamide and timolol"|NA|NA|"active"|"20110207"
9000655|"doxazosin"|NA|NA|"active"|"20011022"
9000658|"doxycycline"|NA|NA|"active"|"20040716"
9000665|"drospirenone and ethinylestradiol"|NA|NA|"active"|"20110624"
9000668|"duloxetine"|NA|NA|"active"|"20160513"
9000669|"dutasteride"|NA|NA|"active"|"20090320"
9000690|"enalapril"|NA|NA|"active"|"20100114"
9000709|"epinephrine"|NA|NA|"active"|"20080605"
9000724|"erythromycin"|NA|NA|"active"|"20080221"
9000726|"escitalopram"|NA|NA|"active"|"20070228"
9000729|"esomeprazole"|NA|NA|"active"|"20121218"
9000730|"estradiol"|NA|NA|"active"|"20060605"
9000734|"estrogenic sub,conjugated"|NA|NA|"active"|"20020517"
9000742|"ethinylestradiol and etonogestrel"|NA|NA|"active"|"20130123"
9000743|"ethinylestradiol and levonorgestrel"|NA|NA|"active"|"20080716"
9000744|"ethinylestradiol and norelgestromin"|NA|NA|"active"|"20090210"
9000745|"ethinylestradiol and norethindrone"|NA|NA|"active"|"20060306"
9000746|"ethinylestradiol and norgestimate"|NA|NA|"active"|"20060322"
9000757|"ezetimibe"|NA|NA|"active"|"20120208"
9000760|"felodipine"|NA|NA|"active"|"20060829"
9000761|"fenofibrate"|NA|NA|"active"|"20051206"
9000762|"fentanyl"|NA|NA|"active"|"20091102"
9000768|"finasteride"|NA|NA|"active"|"20070802"
9000789|"fluoxetine"|NA|NA|"active"|"20030508"
9000792|"flurazepam"|NA|NA|"active"|"20060329"
9000795|"fluticasone"|NA|NA|"active"|"20060411"
9000796|"fluticasone and salmeterol"|NA|NA|"active"|"20071003"
9000800|"folic acid"|NA|NA|"active"|"20110610"
9000805|"fosinopril"|NA|NA|"active"|"20090819"
9000811|"furosemide"|NA|NA|"active"|"20100302"
9000812|"fusidic acid"|NA|NA|"active"|"20141117"
9000814|"gabapentin"|NA|NA|"active"|"20020415"
9000819|"galantamine"|NA|NA|"active"|"20061031"
9000832|"gliclazide"|NA|NA|"active"|"20060310"
9000837|"glyburide"|NA|NA|"active"|"20060310"
9000858|"haloperidol"|NA|NA|"active"|"20040429"
9000885|"human insulin isophane"|NA|NA|"active"|"20130927"
9000887|"hydrochlorothiazide"|NA|NA|"active"|"20090903"
9000888|"hydrochlorothiazide and irbesartan"|NA|NA|"active"|"20100114"
9000889|"hydrochlorothiazide and lisinopril"|NA|NA|"active"|"20090903"
9000890|"hydrochlorothiazide and losartan"|NA|NA|"active"|"20110210"
9000893|"hydrochlorothiazide and olmesartan medoxomil"|NA|NA|"active"|"20120808"
9000895|"hydrochlorothiazide and quinapril"|NA|NA|"active"|"20090903"
9000896|"hydrochlorothiazide and ramipril"|NA|NA|"active"|"20100204"
9000898|"hydrochlorothiazide and telmisartan"|NA|NA|"active"|"20120307"
9000899|"hydrochlorothiazide and triamterene"|NA|NA|"active"|"20090903"
9000900|"hydrochlorothiazide and valsartan"|NA|NA|"active"|"20090812"
9000904|"hydrocortisone"|NA|NA|"active"|"20060124"
9000909|"hydromorphone"|NA|NA|"active"|"20080606"
9000916|"hydroxychloroquine"|NA|NA|"active"|"20060303"
9000919|"hydroxyzine"|NA|NA|"active"|"20100930"
9000922|"ibuprofen"|NA|NA|"active"|"20060309"
9000938|"indapamide"|NA|NA|"active"|"20090921"
9000939|"indapamide and perindopril"|NA|NA|"active"|"20090921"
9000941|"indomethacin"|NA|NA|"active"|"20100930"
9000944|"insulin aspart"|NA|NA|"active"|"20150805"
9000946|"insulin detemir"|NA|NA|"active"|"20140619"
9000947|"insulin glargine"|NA|NA|"active"|"20100506"
9000948|"insulin lispro"|NA|NA|"active"|"20130822"
9000965|"ipratropium"|NA|NA|"active"|"20010522"
9000967|"irbesartan"|NA|NA|"active"|"20090812"
9000974|"isosorbide-5-mononitrate"|NA|NA|"active"|"20060517"
9000985|"ketorolac"|NA|NA|"active"|"20060503"
9000993|"lamotrigine"|NA|NA|"active"|"20051115"
9000997|"lansoprazole"|NA|NA|"active"|"20090611"
9000999|"latanoprost"|NA|NA|"active"|"20111017"
9001008|"levetiracetam"|NA|NA|"active"|"20061201"
9001012|"levofloxacin"|NA|NA|"active"|"20120124"
9001015|"levothyroxine"|NA|NA|"active"|"20150505"
9001029|"lisdexamfetamine"|NA|NA|"active"|"20151203"
9001030|"lisinopril"|NA|NA|"active"|"20100114"
9001031|"lithium"|NA|NA|"active"|"20051208"
9001040|"lorazepam"|NA|NA|"active"|"20020528"
9001041|"losartan"|NA|NA|"active"|"20090921"
9001056|"medroxyprogesterone"|NA|NA|"active"|"20040908"
9001060|"meloxicam"|NA|NA|"active"|"20040503"
9001072|"mesalamine"|NA|NA|"active"|"20060504"
9001073|"metformin"|NA|NA|"active"|"20060303"
9001076|"metformin and sitagliptin"|NA|NA|"active"|"20111004"
9001078|"methadone"|NA|NA|"active"|"20091130"
9001082|"methotrexate"|NA|NA|"active"|"20090127"
9001089|"methylphenidate"|NA|NA|"active"|"20131108"
9001092|"metoclopramide"|NA|NA|"active"|"20060303"
9001094|"metoprolol"|NA|NA|"active"|"20030303"
9001095|"metronidazole"|NA|NA|"active"|"20050502"
9001108|"minocycline"|NA|NA|"active"|"20050504"
9001111|"mirtazapine"|NA|NA|"active"|"20040601"
9001118|"mometasone"|NA|NA|"active"|"20051123"
9001120|"montelukast"|NA|NA|"active"|"20080805"
9001121|"morphine"|NA|NA|"active"|"20050525"
9001122|"moxifloxacin"|NA|NA|"active"|"20051108"
9001214|"naproxen"|NA|NA|"active"|"20060309"
9001224|"nifedipine"|NA|NA|"active"|"20040430"
9001232|"nitrofurantoin"|NA|NA|"active"|"20110518"
9001235|"nitroglycerin"|NA|NA|"active"|"20060116"
9001242|"norethindrone"|NA|NA|"active"|"20060323"
9001244|"nortriptyline"|NA|NA|"active"|"20080319"
9001246|"nystatin"|NA|NA|"active"|"20060227"
9001284|"olanzapine"|NA|NA|"active"|"20050805"
9001287|"olmesartan medoxomil"|NA|NA|"active"|"20120514"
9001289|"olopatadine"|NA|NA|"active"|"20130731"
9001292|"omeprazole"|NA|NA|"active"|"20060517"
9001300|"oxazepam"|NA|NA|"active"|"20020517"
9001303|"oxybutynin"|NA|NA|"active"|"20131230"
9001304|"oxycodone"|NA|NA|"active"|"20081216"
9001316|"pantoprazole"|NA|NA|"active"|"20080411"
9001319|"paroxetine"|NA|NA|"active"|"20130527"
9001330|"penicillin v"|NA|NA|"active"|"19990412"
9001337|"perindopril"|NA|NA|"active"|"20160715"
9001356|"phenytoin"|NA|NA|"active"|"20060412"
9001362|"pioglitazone"|NA|NA|"active"|"20071219"
9001389|"pramipexole"|NA|NA|"active"|"20081215"
9001392|"pravastatin"|NA|NA|"active"|"20040517"
9001396|"prednisolone"|NA|NA|"active"|"20050419"
9001398|"prednisone"|NA|NA|"active"|"20050805"
9001399|"pregabalin"|NA|NA|"active"|"20071128"
9001406|"procyclidine"|NA|NA|"active"|"20150424"
9001407|"progesterone"|NA|NA|"active"|"20090529"
9001411|"propranolol"|NA|NA|"active"|"20060228"
9001421|"quetiapine"|NA|NA|"active"|"20070303"
9001423|"quinapril"|NA|NA|"active"|"20100726"
9001425|"quinine"|NA|NA|"active"|"20131118"
9001427|"rabeprazole sodium"|NA|NA|"active"|"20080616"
9001430|"ramipril"|NA|NA|"active"|"20090901"
9001433|"ranitidine"|NA|NA|"active"|"20010531"
9001438|"repaglinide"|NA|NA|"active"|"20040806"
9001447|"risedronate"|NA|NA|"active"|"20100728"
9001448|"risperidone"|NA|NA|"active"|"20061024"
9001451|"rivaroxaban"|NA|NA|"active"|"20131204"
9001452|"rivastigmine"|NA|NA|"active"|"20150527"
9001453|"rizatriptan"|NA|NA|"active"|"20080114"
9001461|"rosuvastatin"|NA|NA|"active"|"20060714"
9001465|"salbutamol"|NA|NA|"active"|"20071003"
9001471|"saxagliptin"|NA|NA|"active"|"20150220"
9001477|"sertraline"|NA|NA|"active"|"20021127"
9001480|"sildenafil"|NA|NA|"active"|"20121115"
9001486|"simvastatin"|NA|NA|"active"|"20040817"
9001490|"sitagliptin"|NA|NA|"active"|"20120627"
9001493|"solifenacin"|NA|NA|"active"|"20131230"
9001500|"spironolactone"|NA|NA|"active"|"20130125"
9001511|"sulfamethoxazole and trimethoprim"|NA|NA|"active"|"20060228"
9001516|"sumatriptan"|NA|NA|"active"|"20051028"
9001518|"tacrolimus"|NA|NA|"active"|"20090709"
9001519|"tadalafil"|NA|NA|"active"|"20080408"
9001522|"tamsulosin"|NA|NA|"active"|"20100430"
9001528|"telmisartan"|NA|NA|"active"|"20120209"
9001529|"temazepam"|NA|NA|"active"|"20061122"
9001536|"terazosin"|NA|NA|"active"|"20100430"
9001537|"terbinafine"|NA|NA|"active"|"20060420"
9001543|"testosterone"|NA|NA|"active"|"20080207"
9001564|"timolol"|NA|NA|"active"|"20080206"
9001567|"tiotropium bromide"|NA|NA|"active"|"20101102"
9001576|"tolterodine"|NA|NA|"active"|"20131230"
9001578|"topiramate"|NA|NA|"active"|"20051205"
9001581|"tramadol"|NA|NA|"active"|"20140205"
9001582|"trandolapril"|NA|NA|"active"|"20151007"
9001588|"travoprost"|NA|NA|"active"|"20130208"
9001589|"trazodone"|NA|NA|"active"|"20020302"
9001593|"triamcinolone acetonide"|NA|NA|"active"|"20050810"
9001613|"valacyclovir"|NA|NA|"active"|"20060816"
9001615|"valsartan"|NA|NA|"active"|"20090812"
9001618|"varenicline"|NA|NA|"active"|"20080704"
9001625|"venlafaxine"|NA|NA|"active"|"20080509"
9001626|"verapamil"|NA|NA|"active"|"20030323"
9001635|"warfarin"|NA|NA|"active"|"20050512"
9001645|"zopiclone"|NA|NA|"active"|"20060309"
