"mp_code","drug_identification_number","brand_name","company_name","mp_formal_name","mp_en_description","mp_fr_description","mp_status","mp_status_effective_time"
"700158","02137232","MORPHINE SULPHATE INJECTION 1MG/ML","HOSPIRA HEALTHCARE CORPORATION","MORPHINE SULPHATE INJECTION 1MG/ML (morphine sulfate 5 mg per 5 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"00804541","00804541","PREVEX B","GLAXOSMITHKLINE INC","PREVEX B (betamethasone (betamethasone valerate) 0.1 % cutaneous cream) GLAXOSMITHKLINE INC",NA,NA,"inactive",2017-09-15
"00372838","00372838","ORTHO 1/35 TABLETS (28 DAY)","JANSSEN INC","ORTHO 1/35 TABLETS (28 DAY) ethinyl estradiol 35 mcg and norethindrone 1 mg oral tablet with lactose oral tablet) JANSSEN INC",NA,NA,"active",1980-12-31
"02100495","02100495","VERELAN","RECRO GAINESVILLE LLC","VERELAN (verapamil hydrochloride 240 mg prolonged-release oral capsule) RECRO GAINESVILLE LLC",NA,NA,"inactive",2017-07-11
"01996568","01996568","ACETAMINOPHENE CODEINE ET CAFEINE FORT","LABORATOIRE RIVA INC","ACETAMINOPHENE CODEINE ET CAFEINE FORT (acetaminophen 500 mg and caffeine citrate 30 mg and codeine phosphate 8 mg oral tablet) LABORATOIRE RIVA INC",NA,NA,"inactive",2017-07-07
"02069571","02069571","PMS-SALBUTAMOL","PHARMASCIENCE INC","PMS-SALBUTAMOL (salbutamol (salbutamol sulfate) 5 mg per mL nebuliser solution 10 mL bottle) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"02023865","02023865","DEXAMETHASONE","EBERTH PHARMACEUTICALS INC","DEXAMETHASONE (dexamethasone sodium phosphate 0.1 % ophthalmic/otic drops) EBERTH PHARMACEUTICALS INC",NA,NA,"inactive",2017-07-18
"01940112","01940112","RIVASONE SCALP LOT 0.1%","LABORATOIRE RIVA INC","RIVASONE SCALP LOT 0.1% (betamethasone (betamethasone valerate) 0.1 % lotion) LABORATOIRE RIVA INC",NA,NA,"inactive",2017-07-10
"01977571","01977571","TESTOSTERONE PROPIONATE INJECTION, USP","STERIMAX INC","TESTOSTERONE PROPIONATE INJECTION, USP (testosterone propionate 1000 mg per 10 mL solution for injection vial) STERIMAX INC",NA,NA,"inactive",2017-08-10
"01977881","01977881","TRIATEC-8 FORT","LABORATOIRE RIVA INC","TRIATEC-8 FORT (acetaminophen 500 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet) LABORATOIRE RIVA INC",NA,NA,"inactive",2017-07-19
"700157","01964437","MORPHINE SULFATE INJ 2MG/ML USP","SANDOZ CANADA INCORPORATED","MORPHINE SULFATE INJ 2MG/ML USP (morphine sulfate 2 mg per mL solution for injection 50 mL vial) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"700156","01964437","MORPHINE SULFATE INJ 2MG/ML USP","SANDOZ CANADA INCORPORATED","MORPHINE SULFATE INJ 2MG/ML USP (morphine sulfate 2 mg per 1 mL solution for injection vial) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"02460602","02460602","HYDROMORPHONE HYDROCHLORIDE INJECTION","STERIMAX INC","HYDROMORPHONE HYDROCHLORIDE INJECTION (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) STERIMAX INC",NA,NA,"active",2017-02-06
"700153","01980696","MORPHINE SULFATE INJ 1MG/ML USP","SANDOZ CANADA INCORPORATED","MORPHINE SULFATE INJ 1MG/ML USP (morphine sulfate 5 mg per 5 mL solution for injection vial) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"700152","00498335","TREMYTOINE INJ 50MG/ML","OMEGA LABORATORIES LTD","TREMYTOINE INJ 50MG/ML (phenytoin sodium 250 mg per 5 mL solution for injection vial) OMEGA LABORATORIES LTD",NA,NA,"inactive",2017-08-11
"01949055","01949055","MORPHINE-EPD INJECTION 1MG/ML USP","HOSPIRA HEALTHCARE CORPORATION","MORPHINE-EPD INJECTION 1MG/ML USP (morphine sulfate 5 mg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"700149","00869325","MORPHINE EXTRA FORTE INJECTION 50MG/ML USP","HOSPIRA HEALTHCARE CORPORATION","MORPHINE EXTRA FORTE INJECTION 50MG/ML USP (morphine sulfate 50 mg per mL solution for injection 20 mL vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"700143","00888346","FENTANYL CITRATE INJECTION","HOSPIRA HEALTHCARE CORPORATION","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection vial) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"700141","00888346","FENTANYL CITRATE INJECTION","HOSPIRA HEALTHCARE CORPORATION","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 1000 mcg per 20 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"700140","00888346","FENTANYL CITRATE INJECTION","HOSPIRA HEALTHCARE CORPORATION","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 500 mcg per 10 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"700139","00888346","FENTANYL CITRATE INJECTION","HOSPIRA HEALTHCARE CORPORATION","FENTANYL CITRATE INJECTION (fentanyl (fentanyl citrate) 250 mcg per 5 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"00739944","00739944","PMS-TESTOSTERONE ENANTHATE INJ 200MG/ML USP","PHARMASCIENCE INC","PMS-TESTOSTERONE ENANTHATE INJ 200MG/ML USP (testosterone enanthate 2000 mg per 10 mL solution for injection vial) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"02452308","02452308","JAMP-AZITHROMYCIN","JAMP PHARMA CORPORATION","JAMP-AZITHROMYCIN (azithromycin (azithromycin dihydrate) 250 mg oral tablet) JAMP PHARMA CORPORATION",NA,NA,"active",2016-09-29
"00842834","00842834","APO-METOCLOP TAB 10MG","APOTEX INC","APO-METOCLOP TAB 10MG (metoclopramide hydrochloride 10 mg oral tablet) APOTEX INC",NA,NA,"inactive",2017-08-22
"02448742","02448742","AURO-OLANZAPINE ODT","AURO PHARMA INC","AURO-OLANZAPINE ODT (olanzapine 15 mg orodispersible tablet) AURO PHARMA INC",NA,NA,"active",2015-12-01
"00790419","00790419","APO-SALVENT AEM 100MCG","APOTEX INC","APO-SALVENT AEM 100MCG (salbutamol 100 mcg per actuation pressurised inhalation) APOTEX INC",NA,NA,"inactive",2017-08-22
"00785261","00785261","PMS-DEXAMETHASONE SOD PHOSPHATE DPS 1MG/ML","PHARMASCIENCE INC","PMS-DEXAMETHASONE SOD PHOSPHATE DPS 1MG/ML (dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL ophthalmic/otic drops) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"700137","00676411","MORPHINE HP 25 - 25MG/ML","SANDOZ CANADA INCORPORATED","MORPHINE HP 25 - 25MG/ML (morphine sulfate 100 mg per 4 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"700136","00676411","MORPHINE HP 25 - 25MG/ML","SANDOZ CANADA INCORPORATED","MORPHINE HP 25 - 25MG/ML (morphine sulfate 25 mg per 1 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"00725749","00725749","MEPERIDINE HYDROCHLORIDE INJECTION USP","SANDOZ CANADA INCORPORATED","MEPERIDINE HYDROCHLORIDE INJECTION USP (meperidine (meperidine hydrochloride) 100 mg per mL solution for injection) SANDOZ CANADA INCORPORATED",NA,NA,"inactive",2017-08-16
"02433079","02433079","JAMP-AMOXICILLIN","JAMP PHARMA CORPORATION","JAMP-AMOXICILLIN (amoxicillin (amoxicillin trihydrate) 500 mg oral capsule) JAMP PHARMA CORPORATION",NA,NA,"active",2015-12-07
"00627100","00627100","DILAUDID","PURDUE PHARMA","DILAUDID (hydromorphone hydrochloride 2 mg per 1 mL solution for injection ampoule) PURDUE PHARMA",NA,NA,"inactive",2017-07-28
"700135","00622133","DILAUDID HP","PURDUE PHARMA","DILAUDID HP (hydromorphone hydrochloride 10 mg per mL solution for injection 50 mL vial) PURDUE PHARMA",NA,NA,"inactive",2017-07-28
"700130","00565040","FUROSEMIDE INJECTION USP","HOSPIRA HEALTHCARE CORPORATION","FUROSEMIDE INJECTION USP (furosemide 40 mg per 4 mL solution for injection ampoule) HOSPIRA HEALTHCARE CORPORATION",NA,NA,"inactive",2017-08-03
"02306069","02306069","PMS-RIVASTIGMINE","PHARMASCIENCE INC","PMS-RIVASTIGMINE (rivastigmine (rivastigmine hydrogen tartrate) 6 mg oral capsule) PHARMASCIENCE INC",NA,NA,"inactive",2017-08-25
"02395355","02395355","TELMISARTAN/HCTZ","SANIS HEALTH INC","TELMISARTAN/HCTZ (hydrochlorothiazide 12.5 mg and telmisartan 80 mg oral tablet) SANIS HEALTH INC",NA,NA,"active",2012-11-12
"02155974","02155974","CIPRO","BAYER INC","CIPRO (ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet) BAYER INC",NA,NA,"active",1996-10-11
"00817198","00817198","CIPRO TAB 750MG","MILES CANADA INC. - PHARMACEUTICAL DIVISION","CIPRO TAB 750MG (ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet) MILES CANADA INC. - PHARMACEUTICAL DIVISION",NA,NA,"inactive",2017-08-17
"02412675","02412675","RAMIPRIL-HCTZ","SANIS HEALTH INC","RAMIPRIL-HCTZ (hydrochlorothiazide 25 mg and ramipril 10 mg oral tablet) SANIS HEALTH INC",NA,NA,"inactive",2017-08-02
"02412667","02412667","RAMIPRIL-HCTZ","SANIS HEALTH INC","RAMIPRIL-HCTZ (hydrochlorothiazide 25 mg and ramipril 5 mg oral tablet) SANIS HEALTH INC",NA,NA,"inactive",2017-08-02
"02384906","02384906","AURO-PIOGLITAZONE","AURO PHARMA INC","AURO-PIOGLITAZONE (pioglitazone (pioglitazone hydrochloride) 15 mg oral tablet) AURO PHARMA INC",NA,NA,"inactive",2017-08-11
"02384426","02384426","MYLAN-BISOPROLOL","MYLAN PHARMACEUTICALS ULC","MYLAN-BISOPROLOL (bisoprolol fumarate 10 mg oral tablet) MYLAN PHARMACEUTICALS ULC",NA,NA,"inactive",2017-08-02
"02353334","02353334","CIPROFLOXACIN","SANIS HEALTH INC","CIPROFLOXACIN (ciprofloxacin (ciprofloxacin hydrochloride) 750 mg oral tablet) SANIS HEALTH INC",NA,NA,"inactive",2017-08-02
