rc_formal_name,formal_name,mp_code
"VIIBRYD (vilazodone hydrochloride 40 mg oral tablet) ALLERGAN INC","VIIBRYD (vilazodone hydrochloride 40 mg oral tablet) FOREST LABORATORIES CANADA INC","02443740"
"RIVA-ZOPICLONE (zopiclone 5 mg oral tablet) LABORATOIRE RIVA INC","RIVA ZOPICLONE (zopiclone 5 mg oral tablet) LABORATOIRE RIVA INC","02278030"
"BACLOFEN-20 (baclofen 20 mg oral tablet) PRO DOC LIMITEE","BACLOFEN-20 - TAB (baclofen 20 mg oral tablet) PRO DOC LIMITEE","02152592"
"SULFATRIM DS (sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet) AA PHARMA INC","APO SULFATRIM DS TAB (sulfamethoxazole 800 mg and trimethoprim 160 mg oral tablet) APOTEX INC","00445282"
"ROSIGLITAZONE (rosiglitazone (rosiglitazone maleate) 2 mg oral tablet) AA PHARMA INC","APO-ROSIGLITAZONE (rosiglitazone (rosiglitazone maleate) 2 mg oral tablet) APOTEX INC","02403366"
"DIAZEPAM (diazepam 5 mg oral tablet) AA PHARMA INC","APO-DIAZEPAM (diazepam 5 mg oral tablet) APOTEX INC","00362158"
"VIIBRYD (vilazodone hydrochloride 10 mg oral tablet) ALLERGAN INC","VIIBRYD (vilazodone hydrochloride 10 mg oral tablet) FOREST LABORATORIES CANADA INC","02443724"
"ACT OLANZAPINE ODT (olanzapine 20 mg orodispersible tablet) TEVA CANADA LIMITED","ACT OLANZAPINE ODT (olanzapine 20 mg orodispersible tablet) ACTAVIS PHARMA COMPANY","02327597"
"ACT OLANZAPINE ODT (olanzapine 5 mg orodispersible tablet) TEVA CANADA LIMITED","ACT OLANZAPINE ODT (olanzapine 5 mg orodispersible tablet) ACTAVIS PHARMA COMPANY","02327562"
"SULFATRIM PEDIATRIC (sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet) AA PHARMA INC","APO SULFATRIM PEDIATRIC (sulfamethoxazole 100 mg and trimethoprim 20 mg oral tablet) APOTEX INC","00445266"
"BACLOFEN-10 (baclofen 10 mg oral tablet) PRO DOC LIMITEE","BACLOFEN-10 - TAB (baclofen 10 mg oral tablet) PRO DOC LIMITEE","02152584"
"VIIBRYD (vilazodone hydrochloride 20 mg oral tablet) ALLERGAN INC","VIIBRYD (vilazodone hydrochloride 20 mg oral tablet) FOREST LABORATORIES CANADA INC","02443732"
"ROSIGLITAZONE (rosiglitazone (rosiglitazone maleate) 4 mg oral tablet) AA PHARMA INC","APO-ROSIGLITAZONE (rosiglitazone (rosiglitazone maleate) 4 mg oral tablet) APOTEX INC","02403374"
"ROSIGLITAZONE (rosiglitazone (rosiglitazone maleate) 8 mg oral tablet) AA PHARMA INC","APO-ROSIGLITAZONE (rosiglitazone (rosiglitazone maleate) 8 mg oral tablet) APOTEX INC","02403382"
"CIMETIDINE (cimetidine 200 mg oral tablet) AA PHARMA INC","APO CIMETIDINE TAB 200MG (cimetidine 200 mg oral tablet) APOTEX INC","00584215"
"APO-BACLOFEN (baclofen 10 mg oral tablet) APOTEX INC","APO-BACLOFEN TABLETS - 10MG (baclofen 10 mg oral tablet) APOTEX INC","02139332"
"SULFATRIM (sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet) AA PHARMA INC","APO SULFATRIM TAB (sulfamethoxazole 400 mg and trimethoprim 80 mg oral tablet) APOTEX INC","00445274"
"CIMETIDINE (cimetidine 300 mg oral tablet) AA PHARMA INC","APO CIMETIDINE TAB 300MG (cimetidine 300 mg oral tablet) APOTEX INC","00487872"
"CIMETIDINE (cimetidine 600 mg oral tablet) AA PHARMA INC","APO CIMETIDINE TAB 600MG (cimetidine 600 mg oral tablet) APOTEX INC","00600067"
"ACT OLANZAPINE ODT (olanzapine 10 mg orodispersible tablet) TEVA CANADA LIMITED","ACT OLANZAPINE ODT (olanzapine 10 mg orodispersible tablet) ACTAVIS PHARMA COMPANY","02327570"
"APO-BACLOFEN (baclofen 20 mg oral tablet) APOTEX INC","APO-BACLOFEN TABLETS - 20MG (baclofen 20 mg oral tablet) APOTEX INC","02139391"
