"tm_formal_name","n_dins","n_ntps","status","tm_status_effective_time","tm_code"
"levetiracetam",52,1,"active",2003-07-23,8000328
"carvedilol",44,1,"active",2003-08-04,8000329
"dutasteride",12,1,"active",2003-11-14,8000330
"tadalafil",53,1,"active",2003-11-25,8000331
"fosinopril",16,1,"active",2003-12-05,8000332
"ethinyl estradiol and norelgestromin",1,1,"active",2003-12-24,8000334
"ciprofloxacin and dexamethasone (base)",1,1,"active",2004-05-13,8000338
"ethinyl estradiol and etonogestrel",1,1,"active",2004-12-02,8000343
"drospirenone and ethinyl estradiol",8,1,"active",2004-12-22,8000345
"escitalopram",42,2,"active",2005-02-14,8000346
"atomoxetine",57,1,"active",2005-02-24,8000347
"pregabalin",82,1,"active",2005-07-18,8000348
"acetaminophen and tramadol",14,1,"active",2005-07-22,8000349
"tamsulosin",10,2,"active",2005-10-11,8000352
"insulin detemir",2,1,"active",2005-11-14,8000353
"solifenacin",26,1,"active",2006-06-23,8000360
"ciclesonide",4,2,"active",2006-09-27,8000367
"hydrochlorothiazide and ramipril",17,1,"active",2006-11-16,8000368
"tramadol",20,3,"active",2006-12-07,8000369
"varenicline",3,2,"active",2007-04-11,8000371
"buprenorphine and naloxone",6,1,"active",2007-11-26,8000372
"sitagliptin",3,1,"active",2008-01-02,8000374
"duloxetine",28,1,"active",2008-01-18,8000375
"dabigatran",3,1,"active",2008-07-03,8000378
"rivaroxaban",4,1,"active",2008-09-16,8000379
"travoprost",5,1,"active",2008-11-10,8000381
"hydrochlorothiazide and olmesartan",12,1,"active",2008-12-22,8000382
"olmesartan",14,1,"active",2008-12-22,8000383
"desvenlafaxine",2,1,"active",2009-03-05,8000385
"lisdexamfetamine",7,1,"active",2009-08-04,8000387
"aripiprazole",8,3,"active",2009-09-30,8000389
"metformin and sitagliptin",6,2,"active",2009-10-08,8000390
"saxagliptin",2,1,"active",2009-10-29,8000391
"buprenorphine",4,1,"active",2010-05-26,8000775
"dexlansoprazole",2,1,"active",2010-08-05,8000394
"naloxone and oxycodone",4,1,"active",2010-10-05,8000783
"galantamine",24,1,"active",2010-11-12,8000396
"esomeprazole and naproxen",4,1,"active",2011-02-04,8000398
